Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1336.0,53.44,-0.942,27.423,-1.089,-16.918,35.676,-0.854,-27.016,8.352,-4.205,-16.977,8.054,21.706,14.515,35.75,-0.873,26.105,7.666,-4.884,15.428,8.416,21.315,0.0,0.0,0.0
1337.0,53.48,-0.954,27.421,-1.088,-16.931,35.669,-0.849,-27.024,8.342,-4.201,-16.971,8.086,21.7,14.501,35.754,-0.87,26.131,7.685,-4.882,15.465,8.46,21.32,0.0,0.0,0.0
1338.0,53.52,-0.964,27.418,-1.093,-16.945,35.652,-0.853,-27.048,8.331,-4.209,-16.992,8.148,21.683,14.484,35.768,-0.872,26.177,7.721,-4.873,15.512,8.587,21.328,0.0,0.0,0.0
1339.0,53.56,-0.972,27.411,-1.101,-16.96,35.643,-0.864,-27.108,8.355,-4.191,-17.011,8.246,21.684,14.464,35.78,-0.877,26.236,7.768,-4.814,15.504,8.786,21.359,0.0,0.0,0.0
1340.0,53.6,-0.981,27.409,-1.12,-16.966,35.664,-0.881,-27.263,8.447,-3.948,-16.928,8.528,21.804,14.448,35.811,-0.884,26.366,7.839,-4.528,15.327,9.168,21.525,0.0,0.0,0.0
1341.0,53.64,-0.98,27.409,-1.174,-16.947,35.711,-0.934,-27.634,8.553,-3.014,-16.649,9.653,22.335,14.448,35.88,-0.898,26.6,7.888,-3.706,14.834,9.818,22.004,0.0,0.0,0.0
1342.0,53.68,-0.931,27.403,-1.282,-16.863,35.799,-1.094,-28.213,8.729,-0.98,-16.018,12.281,23.376,14.509,35.982,-0.896,26.737,7.855,-2.164,14.249,10.646,23.098,0.0,0.0,0.0
1343.0,53.72,-0.83,27.389,-1.456,-16.706,35.995,-1.385,-28.848,9.3,2.261,-14.896,16.415,24.534,14.651,36.069,-0.869,26.542,7.734,0.051,13.441,11.686,24.808,0.0,0.0,0.0
1344.0,53.76,-0.702,27.383,-1.664,-16.49,36.299,-1.721,-29.234,10.649,6.314,-13.403,21.299,25.399,14.845,36.117,-0.833,25.976,7.632,2.719,12.192,13.045,26.823,0.0,0.0,0.0
1345.0,53.8,-0.564,27.39,-1.853,-16.186,36.657,-2.024,-29.205,12.853,10.445,-11.689,26.084,25.856,15.043,36.115,-0.838,25.066,7.695,5.567,10.511,14.902,28.768,0.0,0.0,0.0
1346.0,53.84,-0.473,27.403,-1.966,-15.931,37.038,-2.2,-28.759,15.534,14.079,-10.028,30.369,26.098,15.184,36.073,-0.882,23.923,7.994,8.26,8.695,16.918,30.474,0.0,0.0,0.0
1347.0,53.88,-0.443,27.42,-1.996,-15.765,37.377,-2.272,-28.079,18.195,16.949,-8.598,34.008,26.234,15.265,36.041,-0.879,22.728,8.489,10.457,7.034,18.84,31.767,0.0,0.0,0.0
1348.0,53.92,-0.442,27.451,-1.959,-15.64,37.66,-2.267,-27.32,20.409,18.953,-7.53,36.914,26.165,15.312,36.037,-0.805,21.686,8.978,12.016,5.746,20.472,32.611,0.0,0.0,0.0
1349.0,53.96,-0.445,27.48,-1.899,-15.54,37.882,-2.229,-26.619,21.809,20.11,-6.861,38.888,25.998,15.344,36.02,-0.763,20.996,9.322,12.929,4.914,21.605,33.007,0.0,0.0,0.0
1350.0,54.0,-0.435,27.509,-1.856,-15.468,38.01,-2.185,-26.163,22.299,20.514,-6.408,39.587,25.919,15.384,35.996,-0.802,20.695,9.506,13.294,4.446,22.245,32.984,0.0,0.0,0.0
1351.0,54.04,-0.405,27.525,-1.83,-15.419,38.038,-2.097,-25.97,22.085,20.454,-5.976,39.067,26.186,15.43,35.968,-0.912,20.672,9.578,13.299,4.125,22.628,32.582,0.0,0.0,0.0
1352.0,54.08,-0.362,27.523,-1.8,-15.398,37.974,-1.924,-26.004,21.322,20.087,-5.291,37.168,26.881,15.479,35.946,-1.055,20.782,9.597,13.137,3.865,23.095,31.82,0.0,0.0,0.0
1353.0,54.12,-0.342,27.519,-1.766,-15.411,37.878,-1.751,-26.225,20.397,19.52,-4.387,34.086,27.972,15.49,35.95,-1.149,20.894,9.602,12.976,3.66,23.976,30.655,0.0,0.0,0.0
1354.0,54.16,-0.341,27.535,-1.753,-15.432,37.811,-1.652,-26.408,19.527,18.871,-3.554,30.536,28.976,15.467,35.979,-1.199,21.024,9.619,12.847,3.61,24.912,29.457,0.0,0.0,0.0
