Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1899.0,75.96,0.078,26.077,-0.315,-15.504,35.301,-1.092,-26.433,7.97,-3.51,-19.728,4.967,23.471,15.844,34.109,-0.17,26.59,5.433,-3.185,20.096,4.945,24.327,0.0,0.0,0.0
1900.0,76.0,0.073,26.08,-0.313,-15.511,35.296,-1.108,-26.422,7.96,-3.549,-19.736,4.961,23.439,15.838,34.119,-0.157,26.598,5.446,-3.156,20.072,4.953,24.35,0.0,0.0,0.0
1901.0,76.04,0.057,26.088,-0.299,-15.538,35.281,-1.143,-26.389,7.933,-3.681,-19.776,4.938,23.325,15.812,34.152,-0.089,26.605,5.483,-3.049,19.946,4.955,24.425,0.0,0.0,0.0
1902.0,76.08,0.046,26.096,-0.287,-15.564,35.263,-1.185,-26.377,7.91,-3.768,-19.828,4.955,23.252,15.788,34.186,-0.03,26.623,5.528,-2.943,19.806,4.99,24.503,0.0,0.0,0.0
1903.0,76.12,0.039,26.104,-0.278,-15.573,35.258,-1.22,-26.376,7.897,-3.813,-19.871,5.01,23.225,15.776,34.209,0.027,26.643,5.552,-2.834,19.641,5.024,24.568,0.0,0.0,0.0
1904.0,76.16,0.03,26.109,-0.267,-15.59,35.243,-1.242,-26.379,7.877,-3.813,-19.944,5.082,23.242,15.759,34.232,0.063,26.655,5.579,-2.746,19.532,5.1,24.621,0.0,0.0,0.0
1905.0,76.2,0.021,26.119,-0.258,-15.604,35.238,-1.257,-26.394,7.871,-3.8,-20.026,5.212,23.276,15.744,34.256,0.077,26.669,5.602,-2.654,19.419,5.192,24.677,0.0,0.0,0.0
1906.0,76.24,-0.001,26.124,-0.256,-15.629,35.233,-1.268,-26.426,7.862,-3.764,-20.105,5.359,23.33,15.721,34.275,0.074,26.656,5.62,-2.592,19.371,5.32,24.727,0.0,0.0,0.0
1907.0,76.28,-0.011,26.131,-0.255,-15.643,35.23,-1.269,-26.465,7.86,-3.706,-20.166,5.504,23.396,15.706,34.296,0.06,26.652,5.643,-2.554,19.377,5.437,24.772,0.0,0.0,0.0
1908.0,76.32,-0.028,26.134,-0.254,-15.662,35.232,-1.266,-26.517,7.87,-3.651,-20.217,5.655,23.457,15.686,34.308,0.046,26.654,5.662,-2.517,19.399,5.535,24.811,0.0,0.0,0.0
1909.0,76.36,-0.039,26.136,-0.259,-15.675,35.232,-1.26,-26.565,7.872,-3.582,-20.23,5.805,23.521,15.673,34.32,0.012,26.661,5.675,-2.509,19.439,5.619,24.83,0.0,0.0,0.0
1910.0,76.4,-0.048,26.139,-0.27,-15.689,35.228,-1.256,-26.605,7.871,-3.538,-20.224,5.957,23.557,15.658,34.334,-0.028,26.68,5.704,-2.507,19.46,5.672,24.836,0.0,0.0,0.0
1911.0,76.44,-0.051,26.129,-0.283,-15.695,35.218,-1.247,-26.703,7.903,-3.469,-20.169,6.192,23.589,15.652,34.347,-0.069,26.717,5.739,-2.463,19.406,5.674,24.878,0.0,0.0,0.0
1912.0,76.48,-0.057,26.123,-0.308,-15.703,35.209,-1.247,-26.989,7.973,-3.225,-20.022,6.695,23.743,15.636,34.375,-0.091,26.848,5.815,-2.265,19.149,5.697,25.016,0.0,0.0,0.0
1913.0,76.52,-0.051,26.113,-0.328,-15.691,35.211,-1.283,-27.629,8.146,-2.553,-19.424,7.659,24.118,15.623,34.403,-0.039,27.22,5.947,-1.718,18.534,5.731,25.334,0.0,0.0,0.0
1914.0,76.56,-0.052,26.101,-0.346,-15.666,35.222,-1.363,-28.714,8.484,-1.154,-17.989,9.194,24.716,15.595,34.438,0.069,27.946,6.165,-0.536,17.334,5.736,25.95,0.0,0.0,0.0
1915.0,76.6,-0.069,26.085,-0.376,-15.64,35.246,-1.413,-29.997,9.059,1.177,-15.971,11.096,25.429,15.541,34.486,0.195,28.951,6.55,1.588,15.508,5.633,26.983,0.0,0.0,0.0
1916.0,76.64,-0.098,26.075,-0.411,-15.635,35.298,-1.389,-31.01,9.954,4.345,-13.724,13.463,26.277,15.446,34.559,0.366,29.942,7.257,4.878,13.037,5.389,28.413,0.0,0.0,0.0
1917.0,76.68,-0.136,26.067,-0.462,-15.643,35.383,-1.392,-31.592,11.382,8.225,-11.199,16.12,27.16,15.314,34.66,0.62,30.442,8.449,9.113,10.153,4.953,29.947,0.0,0.0,0.0
