Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1296.0,51.84,-0.074,25.852,-0.692,-15.965,34.459,-1.678,-27.2,7.273,-4.561,-17.124,3.611,21.393,15.444,34.226,-0.728,26.643,5.73,-3.812,15.985,2.578,22.506,0.0,0.0,0.0
1297.0,51.88,-0.078,25.845,-0.702,-15.973,34.446,-1.685,-27.212,7.263,-4.573,-17.147,3.602,21.391,15.437,34.221,-0.748,26.647,5.733,-3.852,16.006,2.571,22.477,0.0,0.0,0.0
1298.0,51.92,-0.081,25.845,-0.713,-15.975,34.446,-1.691,-27.212,7.263,-4.595,-17.2,3.609,21.389,15.433,34.221,-0.766,26.659,5.741,-3.886,16.025,2.557,22.441,0.0,0.0,0.0
1299.0,51.96,-0.082,25.844,-0.73,-15.977,34.44,-1.706,-27.187,7.253,-4.615,-17.241,3.614,21.393,15.432,34.217,-0.79,26.673,5.748,-3.924,16.056,2.538,22.414,0.0,0.0,0.0
1300.0,52.0,-0.095,25.843,-0.74,-15.994,34.43,-1.708,-27.185,7.238,-4.639,-17.262,3.615,21.374,15.414,34.219,-0.801,26.686,5.764,-3.952,16.082,2.509,22.393,0.0,0.0,0.0
1301.0,52.04,-0.104,25.843,-0.747,-16.007,34.42,-1.704,-27.186,7.223,-4.656,-17.254,3.68,21.372,15.402,34.23,-0.813,26.704,5.786,-3.986,16.139,2.458,22.372,0.0,0.0,0.0
1302.0,52.08,-0.112,25.84,-0.755,-16.023,34.415,-1.695,-27.217,7.234,-4.598,-17.169,3.994,21.434,15.388,34.242,-0.818,26.73,5.808,-3.998,16.2,2.349,22.38,0.0,0.0,0.0
1303.0,52.12,-0.136,25.85,-0.757,-16.062,34.424,-1.643,-27.299,7.221,-4.247,-16.822,4.995,21.705,15.351,34.291,-0.755,26.766,5.894,-3.974,16.233,2.129,22.434,0.0,0.0,0.0
1304.0,52.16,-0.161,25.883,-0.707,-16.101,34.443,-1.58,-27.461,7.135,-3.29,-15.896,7.515,22.33,15.3,34.379,-0.563,26.881,6.062,-3.809,16.194,1.695,22.569,0.0,0.0,0.0
1305.0,52.2,-0.191,25.916,-0.62,-16.131,34.474,-1.55,-27.629,6.981,-1.329,-14.201,11.524,22.891,15.241,34.476,-0.28,27.064,6.263,-3.472,16.087,0.734,22.703,0.0,0.0,0.0
1306.0,52.24,-0.236,25.934,-0.523,-16.172,34.515,-1.511,-27.651,6.986,1.713,-12.001,16.1,22.962,15.169,34.547,0.03,27.286,6.423,-2.924,15.941,-0.984,22.755,0.0,0.0,0.0
1307.0,52.28,-0.29,25.953,-0.41,-16.236,34.592,-1.37,-27.371,7.388,5.583,-9.654,20.428,22.594,15.086,34.606,0.347,27.478,6.516,-2.172,15.808,-3.454,22.637,0.0,0.0,0.0
1308.0,52.32,-0.401,25.97,-0.286,-16.314,34.675,-1.141,-26.802,8.369,9.71,-7.308,23.94,21.813,14.962,34.65,0.67,27.463,6.514,-1.279,15.807,-6.486,22.26,0.0,0.0,0.0
1309.0,52.36,-0.499,26.006,-0.13,-16.333,34.803,-0.82,-25.995,9.833,13.518,-5.005,26.384,20.838,14.865,34.654,1.018,27.281,6.404,-0.362,16.031,-9.605,21.58,0.0,0.0,0.0
1310.0,52.4,-0.586,26.038,0.025,-16.33,34.976,-0.451,-25.018,11.39,16.518,-2.93,27.761,19.816,14.8,34.638,1.243,26.986,6.212,0.495,16.456,-12.675,20.529,0.0,0.0,0.0
1311.0,52.44,-0.655,26.059,0.146,-16.298,35.13,-0.098,-24.173,12.681,18.592,-1.255,28.246,18.863,14.777,34.607,1.305,26.584,5.976,1.2,17.085,-15.481,19.186,0.0,0.0,0.0
1312.0,52.48,-0.676,26.057,0.183,-16.24,35.244,0.185,-23.488,13.589,19.933,-0.025,28.274,18.113,14.8,34.56,1.331,26.154,5.724,1.695,17.868,-17.816,17.588,0.0,0.0,0.0
1313.0,52.52,-0.67,26.058,0.222,-16.195,35.336,0.356,-22.917,14.095,20.641,0.81,28.28,17.803,14.834,34.519,1.342,25.819,5.532,1.846,18.739,-19.508,15.86,0.0,0.0,0.0
1314.0,52.56,-0.638,26.074,0.278,-16.152,35.393,0.455,-22.444,14.325,20.989,1.424,28.279,17.792,14.871,34.501,1.34,25.696,5.457,1.612,19.725,-20.53,14.305,0.0,0.0,0.0
1315.0,52.6,-0.601,26.062,0.302,-16.121,35.396,0.502,-22.116,14.343,21.109,1.865,28.171,17.814,14.896,34.508,1.265,25.803,5.5,1.196,20.796,-21.057,13.01,0.0,0.0,0.0
1316.0,52.64,-0.564,26.018,0.296,-16.106,35.349,0.511,-22.054,14.209,21.039,2.138,27.814,17.933,14.91,34.513,1.139,26.057,5.61,0.674,21.774,-21.302,11.939,0.0,0.0,0.0
1317.0,52.68,-0.579,25.948,0.259,-16.121,35.289,0.468,-22.317,13.979,20.785,2.225,27.172,18.297,14.896,34.498,1.004,26.324,5.723,0.082,22.625,-21.371,11.131,0.0,0.0,0.0
