Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
416.0,16.64,0.163,26.063,-0.714,-15.616,34.869,-1.457,-26.331,7.084,-2.475,-16.925,8.343,23.79,15.807,34.181,-0.524,26.915,5.43,-2.035,17.347,6.795,24.567,0.0,0.0,0.0
417.0,16.68,0.165,26.073,-0.678,-15.614,34.884,-1.419,-26.33,7.1,-2.459,-16.898,8.305,23.799,15.81,34.192,-0.474,26.936,5.446,-2.02,17.363,6.751,24.585,0.0,0.0,0.0
418.0,16.72,0.169,26.079,-0.658,-15.608,34.889,-1.399,-26.332,7.106,-2.427,-16.874,8.318,23.825,15.813,34.196,-0.456,26.953,5.455,-2.004,17.367,6.734,24.596,0.0,0.0,0.0
419.0,16.76,0.171,26.082,-0.648,-15.606,34.894,-1.389,-26.334,7.108,-2.409,-16.876,8.345,23.836,15.816,34.2,-0.444,26.955,5.457,-1.985,17.351,6.75,24.608,0.0,0.0,0.0
420.0,16.8,0.173,26.087,-0.632,-15.603,34.901,-1.373,-26.332,7.114,-2.397,-16.882,8.367,23.86,15.821,34.206,-0.423,26.949,5.457,-1.958,17.326,6.76,24.636,0.0,0.0,0.0
421.0,16.84,0.182,26.091,-0.623,-15.598,34.902,-1.358,-26.331,7.119,-2.389,-16.886,8.384,23.872,15.826,34.21,-0.42,26.958,5.465,-1.942,17.323,6.761,24.661,0.0,0.0,0.0
422.0,16.88,0.191,26.089,-0.615,-15.587,34.91,-1.341,-26.323,7.131,-2.368,-16.967,8.495,23.951,15.839,34.207,-0.399,26.95,5.472,-1.865,17.268,6.759,24.755,0.0,0.0,0.0
423.0,16.92,0.217,26.09,-0.609,-15.57,34.943,-1.321,-26.342,7.173,-2.128,-17.061,8.83,24.272,15.869,34.221,-0.348,26.948,5.479,-1.601,17.114,6.879,25.094,0.0,0.0,0.0
424.0,16.96,0.251,26.086,-0.581,-15.52,34.993,-1.263,-26.548,7.217,-1.258,-17.0,9.809,25.064,15.923,34.216,-0.246,27.061,5.42,-0.857,16.588,7.002,25.822,0.0,0.0,0.0
425.0,17.0,0.319,26.055,-0.538,-15.42,35.059,-1.194,-26.903,7.34,0.533,-16.566,12.215,26.252,16.019,34.186,-0.111,27.212,5.291,0.567,15.436,6.88,26.917,0.0,0.0,0.0
