Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
75.0,3.0,0.014,25.771,-0.728,-15.805,34.574,-1.629,-26.682,7.144,-3.589,-15.43,7.942,21.817,15.569,34.298,-0.431,28.023,6.194,-2.716,15.632,5.583,22.951,0.0,0.0,0.0
76.0,3.04,0.012,25.78,-0.724,-15.801,34.576,-1.629,-26.69,7.153,-3.582,-15.425,7.958,21.821,15.568,34.312,-0.427,28.04,6.213,-2.689,15.624,5.615,22.969,0.0,0.0,0.0
77.0,3.08,0.01,25.785,-0.72,-15.81,34.588,-1.634,-26.704,7.161,-3.571,-15.439,7.972,21.829,15.566,34.324,-0.422,28.063,6.234,-2.656,15.618,5.641,22.983,0.0,0.0,0.0
78.0,3.12,0.008,25.791,-0.715,-15.811,34.592,-1.647,-26.718,7.17,-3.554,-15.448,7.994,21.844,15.564,34.337,-0.412,28.083,6.249,-2.601,15.597,5.676,23.019,0.0,0.0,0.0
79.0,3.16,0.006,25.797,-0.706,-15.82,34.595,-1.653,-26.73,7.174,-3.54,-15.461,8.025,21.856,15.558,34.353,-0.4,28.099,6.271,-2.56,15.578,5.704,23.047,0.0,0.0,0.0
80.0,3.2,0.002,25.806,-0.704,-15.821,34.601,-1.668,-26.738,7.178,-3.529,-15.469,8.054,21.866,15.557,34.366,-0.392,28.117,6.292,-2.513,15.561,5.75,23.072,0.0,0.0,0.0
81.0,3.24,0.0,25.814,-0.699,-15.824,34.613,-1.679,-26.744,7.194,-3.537,-15.482,8.083,21.862,15.555,34.369,-0.376,28.129,6.302,-2.478,15.538,5.802,23.087,0.0,0.0,0.0
82.0,3.28,-0.008,25.823,-0.698,-15.827,34.619,-1.691,-26.8,7.229,-3.541,-15.509,8.178,21.838,15.551,34.36,-0.362,28.155,6.306,-2.426,15.593,5.999,23.134,0.0,0.0,0.0
83.0,3.32,-0.011,25.845,-0.682,-15.806,34.678,-1.692,-27.074,7.44,-3.527,-15.648,8.67,21.822,15.544,34.35,-0.346,28.439,6.393,-2.122,15.843,6.666,23.366,0.0,0.0,0.0
84.0,3.36,-0.024,25.887,-0.674,-15.768,34.817,-1.706,-28.006,8.028,-3.379,-16.03,9.716,21.706,15.516,34.389,-0.364,29.314,6.74,-1.295,16.295,8.25,23.9,0.0,0.0,0.0
85.0,3.4,-0.03,25.92,-0.666,-15.711,34.95,-1.734,-29.745,8.966,-3.012,-17.058,11.141,21.667,15.492,34.464,-0.396,30.615,7.36,0.024,17.444,10.831,24.952,0.0,0.0,0.0
86.0,3.44,-0.025,25.924,-0.667,-15.653,35.048,-1.831,-31.907,10.256,-2.478,-18.748,12.784,21.909,15.464,34.582,-0.452,32.147,8.321,1.615,18.941,14.087,26.161,0.0,0.0,0.0
87.0,3.48,-0.003,25.921,-0.682,-15.595,35.161,-1.923,-34.118,11.838,-1.832,-20.739,14.385,22.453,15.442,34.705,-0.508,33.839,9.618,3.347,20.175,17.6,27.033,0.0,0.0,0.0
88.0,3.52,0.005,25.927,-0.704,-15.535,35.325,-1.992,-36.111,13.61,-0.962,-22.818,16.022,23.419,15.413,34.8,-0.572,35.47,11.178,5.162,20.846,21.106,27.454,0.0,0.0,0.0
89.0,3.56,0.038,25.941,-0.748,-15.435,35.55,-2.089,-37.776,15.513,0.386,-24.672,17.659,24.993,15.392,34.895,-0.631,36.849,12.966,7.128,20.65,24.31,27.568,0.0,0.0,0.0
90.0,3.6,0.089,25.945,-0.836,-15.302,35.798,-2.236,-39.029,17.525,2.462,-26.039,19.181,27.379,15.394,35.008,-0.709,37.8,14.88,9.326,19.599,26.987,27.584,0.0,0.0,0.0
