Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1969.0,78.76,0.001,25.99,-0.667,-15.863,34.631,-1.295,-27.065,7.434,-4.506,-20.738,1.78,22.241,15.619,34.13,-0.49,27.092,5.616,-3.243,17.871,0.815,23.321,0.0,0.0,0.0
1970.0,78.8,0.002,25.995,-0.668,-15.861,34.636,-1.3,-27.071,7.439,-4.484,-20.746,1.803,22.27,15.622,34.135,-0.504,27.104,5.623,-3.237,17.884,0.842,23.332,0.0,0.0,0.0
1971.0,78.84,0.002,26.0,-0.67,-15.863,34.64,-1.305,-27.081,7.445,-4.466,-20.754,1.817,22.287,15.621,34.142,-0.513,27.122,5.635,-3.232,17.893,0.862,23.337,0.0,0.0,0.0
1972.0,78.88,0.003,26.006,-0.67,-15.862,34.649,-1.306,-27.09,7.457,-4.452,-20.757,1.826,22.3,15.622,34.148,-0.521,27.134,5.644,-3.227,17.893,0.865,23.338,0.0,0.0,0.0
1973.0,78.92,0.003,26.01,-0.668,-15.862,34.651,-1.309,-27.091,7.458,-4.443,-20.749,1.827,22.304,15.625,34.156,-0.528,27.147,5.651,-3.227,17.901,0.873,23.336,0.0,0.0,0.0
1974.0,78.96,0.004,26.015,-0.673,-15.861,34.655,-1.319,-27.094,7.464,-4.44,-20.746,1.821,22.305,15.625,34.163,-0.539,27.15,5.661,-3.233,17.908,0.884,23.332,0.0,0.0,0.0
1975.0,79.0,0.005,26.019,-0.678,-15.86,34.66,-1.332,-27.096,7.471,-4.444,-20.761,1.811,22.303,15.627,34.166,-0.549,27.153,5.663,-3.224,17.903,0.89,23.345,0.0,0.0,0.0
1976.0,79.04,0.006,26.019,-0.682,-15.86,34.662,-1.341,-27.095,7.469,-4.442,-20.762,1.786,22.303,15.628,34.166,-0.563,27.159,5.662,-3.217,17.917,0.891,23.353,0.0,0.0,0.0
1977.0,79.08,0.008,26.023,-0.686,-15.854,34.671,-1.349,-27.097,7.481,-4.437,-20.757,1.773,22.301,15.633,34.17,-0.571,27.16,5.66,-3.219,17.933,0.894,23.362,0.0,0.0,0.0
1978.0,79.12,0.008,26.026,-0.69,-15.856,34.67,-1.358,-27.092,7.474,-4.431,-20.757,1.756,22.307,15.632,34.17,-0.578,27.156,5.655,-3.217,17.964,0.901,23.38,0.0,0.0,0.0
1979.0,79.16,0.009,26.024,-0.69,-15.862,34.663,-1.36,-27.066,7.451,-4.445,-20.758,1.815,22.319,15.632,34.167,-0.578,27.157,5.657,-3.238,18.018,1.01,23.407,0.0,0.0,0.0
1980.0,79.2,0.004,26.015,-0.688,-15.883,34.659,-1.315,-26.957,7.393,-4.405,-20.793,2.309,22.483,15.632,34.138,-0.518,27.086,5.582,-3.322,18.336,1.662,23.523,0.0,0.0,0.0
1981.0,79.24,-0.006,26.026,-0.63,-15.902,34.656,-1.193,-26.783,7.215,-4.057,-20.863,3.851,22.936,15.637,34.162,-0.367,26.761,5.496,-3.332,18.991,2.766,23.733,0.0,0.0,0.0
1982.0,79.28,-0.018,26.021,-0.5,-15.925,34.641,-1.07,-26.658,6.936,-3.044,-20.596,7.17,23.826,15.637,34.171,-0.147,26.509,5.383,-2.925,19.359,5.273,24.214,0.0,0.0,0.0
1983.0,79.32,-0.011,26.001,-0.401,-15.918,34.665,-1.042,-26.438,6.631,-1.143,-20.154,11.973,24.865,15.668,34.207,-0.03,26.233,5.259,-1.878,19.787,9.506,24.878,0.0,0.0,0.0
1984.0,79.36,-0.004,25.978,-0.344,-15.915,34.718,-1.01,-26.088,6.507,1.603,-19.763,17.338,25.559,15.703,34.265,-0.035,25.963,5.121,-0.033,20.296,14.543,25.315,0.0,0.0,0.0
1985.0,79.4,-0.004,25.951,-0.326,-15.918,34.777,-0.936,-25.593,6.698,4.895,-19.484,22.477,25.712,15.722,34.306,-0.127,25.802,5.152,2.496,20.874,19.578,25.268,0.0,0.0,0.0
1986.0,79.44,-0.008,25.91,-0.344,-15.904,34.825,-0.868,-25.006,7.272,8.224,-19.364,26.817,25.483,15.731,34.312,-0.239,25.758,5.499,5.379,21.473,24.036,24.858,0.0,0.0,0.0
1987.0,79.48,-0.011,25.877,-0.414,-15.88,34.89,-0.831,-24.384,8.158,11.146,-19.27,30.139,25.217,15.737,34.331,-0.433,25.622,6.182,8.176,22.091,27.703,24.327,0.0,0.0,0.0
1988.0,79.52,-0.012,25.853,-0.527,-15.856,34.952,-0.854,-23.804,9.171,13.428,-19.187,32.428,25.452,15.737,34.35,-0.7,25.344,7.121,10.651,22.79,30.373,24.351,0.0,0.0,0.0
1989.0,79.56,-0.015,25.819,-0.687,-15.84,34.976,-0.977,-23.295,10.119,15.05,-19.152,33.996,26.07,15.726,34.354,-1.017,25.031,8.192,12.605,23.395,32.431,24.692,0.0,0.0,0.0
1990.0,79.6,-0.017,25.786,-0.873,-15.825,34.991,-1.164,-22.84,10.946,16.126,-19.109,34.905,27.281,15.706,34.374,-1.314,24.83,9.193,14.012,23.881,33.755,25.685,0.0,0.0,0.0
1991.0,79.64,-0.027,25.781,-0.97,-15.824,35.028,-1.248,-22.428,11.506,16.818,-18.882,35.536,27.891,15.677,34.436,-1.422,24.737,9.933,14.954,23.88,34.672,26.324,0.0,0.0,0.0
1992.0,79.68,-0.042,25.787,-0.97,-15.837,35.041,-1.232,-22.026,11.748,17.207,-18.592,35.985,27.726,15.652,34.472,-1.432,24.681,10.325,15.439,23.597,35.294,26.257,0.0,0.0,0.0
1993.0,79.72,-0.065,25.783,-0.945,-15.867,35.014,-1.215,-21.763,11.795,17.35,-18.384,36.295,27.126,15.613,34.483,-1.426,24.587,10.501,15.644,23.202,35.629,26.031,0.0,0.0,0.0
1994.0,79.76,-0.083,25.763,-0.979,-15.887,34.978,-1.289,-21.723,11.88,17.396,-18.258,36.456,26.959,15.581,34.474,-1.484,24.481,10.616,15.723,22.956,35.745,26.101,0.0,0.0,0.0
1995.0,79.8,-0.088,25.763,-1.027,-15.889,34.988,-1.396,-21.846,12.055,17.433,-18.234,36.446,27.475,15.571,34.49,-1.486,24.394,10.678,15.793,22.78,35.7,26.403,0.0,0.0,0.0
1996.0,79.84,-0.085,25.778,-1.019,-15.885,35.025,-1.423,-21.97,12.139,17.43,-18.35,36.362,27.846,15.572,34.511,-1.391,24.341,10.668,15.873,22.519,35.674,26.417,0.0,0.0,0.0
1997.0,79.88,-0.101,25.781,-0.972,-15.902,35.03,-1.375,-22.071,12.032,17.314,-18.482,36.287,27.578,15.553,34.501,-1.322,24.33,10.644,15.886,22.341,35.666,26.319,0.0,0.0,0.0
1998.0,79.92,-0.118,25.764,-0.964,-15.927,34.986,-1.388,-22.152,11.892,17.14,-18.571,36.204,27.246,15.528,34.498,-1.313,24.377,10.654,15.85,22.423,35.555,26.601,0.0,0.0,0.0
1999.0,79.96,-0.104,25.765,-0.972,-15.923,34.958,-1.459,-22.256,11.869,17.014,-18.639,36.07,27.442,15.531,34.544,-1.226,24.458,10.633,15.824,22.563,35.355,26.995,0.0,0.0,0.0
2000.0,80.0,-0.062,25.789,-0.917,-15.882,34.999,-1.439,-22.396,11.859,16.914,-18.738,35.844,27.82,15.571,34.565,-1.075,24.484,10.559,15.855,22.517,35.236,27.101,0.0,0.0,0.0
2001.0,80.04,-0.055,25.804,-0.836,-15.862,35.046,-1.297,-22.508,11.696,16.746,-18.791,35.621,27.709,15.593,34.535,-0.989,24.486,10.469,15.866,22.338,35.163,27.047,0.0,0.0,0.0
2002.0,80.08,-0.05,25.794,-0.802,-15.859,35.025,-1.255,-22.586,11.483,16.511,-18.736,35.362,27.531,15.6,34.514,-0.941,24.556,10.347,15.766,22.247,34.97,27.105,0.0,0.0,0.0
2003.0,80.12,-0.032,25.795,-0.782,-15.846,35.003,-1.258,-22.811,11.262,16.199,-18.703,34.917,27.628,15.612,34.525,-0.866,24.671,10.198,15.576,22.26,34.658,27.272,0.0,0.0,0.0
2004.0,80.16,-0.013,25.813,-0.743,-15.817,35.015,-1.18,-23.296,10.928,15.655,-18.806,34.203,27.721,15.633,34.531,-0.798,24.873,9.972,15.25,22.262,34.221,27.364,0.0,0.0,0.0
2005.0,80.2,0.008,25.824,-0.698,-15.791,35.003,-1.071,-24.059,10.388,14.693,-18.999,33.116,27.557,15.651,34.518,-0.754,25.273,9.571,14.545,22.201,33.477,27.259,0.0,0.0,0.0
2006.0,80.24,0.01,25.833,-0.659,-15.793,34.951,-1.007,-25.027,9.728,13.252,-19.185,31.729,27.085,15.647,34.494,-0.749,25.894,8.998,13.278,22.03,32.259,27.026,0.0,0.0,0.0
