Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
137.0,5.48,-0.739,27.59,-0.404,-16.846,35.411,0.226,-26.298,8.137,-5.446,-16.315,7.889,20.171,14.665,36.146,0.304,25.973,8.184,-4.485,16.034,10.273,21.62,0.0,0.0,0.0
138.0,5.52,-0.736,27.578,-0.442,-16.837,35.418,0.188,-26.309,8.142,-5.444,-16.313,7.921,20.167,14.678,36.109,0.248,26.025,8.133,-4.464,15.984,10.266,21.598,0.0,0.0,0.0
139.0,5.56,-0.733,27.557,-0.496,-16.819,35.435,0.152,-26.265,8.1,-5.307,-16.168,8.021,20.262,14.7,36.041,0.163,26.031,8.015,-4.412,15.94,10.224,21.626,0.0,0.0,0.0
140.0,5.6,-0.726,27.556,-0.53,-16.802,35.453,0.126,-26.223,8.053,-5.119,-15.935,8.145,20.369,14.719,36.012,0.115,25.999,7.93,-4.344,15.915,10.208,21.699,0.0,0.0,0.0
141.0,5.64,-0.726,27.564,-0.557,-16.79,35.484,0.108,-26.267,8.055,-4.927,-15.707,8.302,20.451,14.724,36.005,0.059,25.975,7.886,-4.298,15.882,10.203,21.755,0.0,0.0,0.0
142.0,5.68,-0.719,27.57,-0.59,-16.771,35.522,0.089,-26.34,8.09,-4.78,-15.596,8.472,20.51,14.739,36.006,-0.018,26.013,7.879,-4.293,15.902,10.223,21.76,0.0,0.0,0.0
143.0,5.72,-0.707,27.573,-0.62,-16.746,35.554,0.081,-26.418,8.137,-4.605,-15.638,8.728,20.662,14.759,36.002,-0.099,26.09,7.87,-4.289,15.956,10.17,21.795,0.0,0.0,0.0
144.0,5.76,-0.675,27.574,-0.64,-16.695,35.621,0.087,-26.522,8.221,-4.237,-15.771,9.136,21.054,14.794,35.999,-0.168,26.214,7.87,-4.256,16.049,9.911,21.918,0.0,0.0,0.0
145.0,5.8,-0.632,27.583,-0.682,-16.615,35.741,0.066,-26.75,8.35,-3.414,-15.973,10.1,21.874,14.851,35.987,-0.263,26.399,7.85,-4.161,16.104,9.168,22.162,0.0,0.0,0.0
146.0,5.84,-0.559,27.587,-0.748,-16.489,35.894,-0.023,-27.182,8.541,-1.874,-16.383,11.798,23.252,14.933,35.951,-0.382,26.604,7.777,-3.917,16.218,7.526,22.607,0.0,0.0,0.0
147.0,5.88,-0.446,27.59,-0.853,-16.307,36.114,-0.212,-27.85,8.923,0.534,-16.653,14.701,25.077,15.067,35.867,-0.514,26.756,7.61,-3.486,16.337,4.831,23.123,0.0,0.0,0.0
148.0,5.92,-0.31,27.582,-0.986,-16.07,36.41,-0.431,-28.599,9.77,3.753,-16.593,18.452,27.014,15.246,35.714,-0.663,26.955,7.362,-2.774,16.262,1.276,23.437,0.0,0.0,0.0
149.0,5.96,-0.174,27.592,-1.104,-15.804,36.736,-0.493,-29.304,11.254,7.366,-16.087,22.504,28.716,15.437,35.551,-0.857,27.294,7.099,-1.68,15.941,-2.437,23.365,0.0,0.0,0.0
150.0,6.0,-0.098,27.603,-1.198,-15.556,37.039,-0.427,-29.846,13.261,10.985,-15.265,26.392,30.147,15.571,35.389,-1.086,27.661,6.9,-0.34,15.302,-5.638,22.933,0.0,0.0,0.0
151.0,6.04,-0.04,27.605,-1.264,-15.339,37.323,-0.321,-30.148,15.525,14.179,-14.243,29.801,31.4,15.669,35.292,-1.286,27.933,6.855,1.076,14.345,-8.493,21.997,0.0,0.0,0.0
152.0,6.08,-0.001,27.649,-1.285,-15.17,37.599,-0.221,-30.144,17.743,16.721,-13.234,32.603,32.462,15.736,35.28,-1.384,27.944,6.889,2.12,13.759,-10.101,21.461,0.0,0.0,0.0
153.0,6.12,0.084,27.667,-1.232,-14.975,37.811,-0.079,-29.906,19.526,18.574,-12.311,34.71,33.313,15.846,35.325,-1.442,27.965,7.053,2.622,13.745,-9.688,22.131,0.0,0.0,0.0
154.0,6.16,0.1,27.712,-1.229,-14.883,37.962,0.055,-29.625,20.715,19.72,-11.653,36.221,33.706,15.888,35.378,-1.599,28.1,7.186,2.855,13.557,-9.706,22.045,0.0,0.0,0.0
155.0,6.2,0.112,27.735,-1.189,-14.827,38.055,0.157,-29.398,21.416,20.394,-11.22,37.071,34.016,15.914,35.337,-1.644,28.103,7.097,2.787,13.536,-10.004,21.755,0.0,0.0,0.0
156.0,6.24,0.169,27.747,-1.107,-14.739,38.123,0.293,-29.245,21.79,20.788,-10.939,37.485,34.23,15.987,35.292,-1.596,28.009,6.955,2.551,13.737,-10.093,21.798,0.0,0.0,0.0
157.0,6.28,0.211,27.767,-1.062,-14.662,38.181,0.415,-29.187,21.97,20.959,-10.762,37.555,34.407,16.045,35.285,-1.588,27.951,6.868,2.325,13.911,-10.091,21.812,0.0,0.0,0.0
158.0,6.32,0.248,27.777,-1.033,-14.605,38.212,0.495,-29.197,22.016,20.978,-10.683,37.434,34.61,16.097,35.258,-1.573,27.876,6.779,2.186,13.982,-10.15,21.788,0.0,0.0,0.0
159.0,6.36,0.287,27.782,-1.018,-14.561,38.224,0.532,-29.212,21.941,20.917,-10.636,37.305,34.648,16.145,35.231,-1.54,27.831,6.706,2.096,14.02,-10.129,21.83,0.0,0.0,0.0
160.0,6.4,0.323,27.774,-1.03,-14.527,38.209,0.523,-29.18,21.817,20.814,-10.645,37.445,34.551,16.186,35.217,-1.533,27.822,6.66,2.051,14.09,-10.132,21.864,0.0,0.0,0.0
161.0,6.44,0.347,27.764,-1.056,-14.509,38.186,0.47,-29.249,21.719,20.641,-10.616,37.226,34.449,16.213,35.201,-1.544,27.797,6.628,2.011,14.131,-10.131,21.872,0.0,0.0,0.0
162.0,6.48,0.37,27.75,-1.097,-14.488,38.16,0.396,-29.298,21.651,20.484,-10.635,37.128,34.33,16.236,35.186,-1.568,27.804,6.605,2.01,14.129,-10.107,21.885,0.0,0.0,0.0
163.0,6.52,0.381,27.745,-1.134,-14.479,38.152,0.33,-29.352,21.69,20.397,-10.739,37.136,34.326,16.247,35.183,-1.585,27.819,6.612,2.04,14.113,-10.098,21.892,0.0,0.0,0.0
164.0,6.56,0.381,27.743,-1.16,-14.477,38.153,0.285,-29.416,21.783,20.363,-10.897,37.255,34.267,16.248,35.184,-1.6,27.829,6.621,2.068,14.11,-10.086,21.911,0.0,0.0,0.0
165.0,6.6,0.375,27.743,-1.174,-14.483,38.153,0.246,-29.486,21.916,20.358,-11.045,37.52,34.166,16.241,35.186,-1.608,27.827,6.619,2.073,14.093,-10.09,21.906,0.0,0.0,0.0
166.0,6.64,0.365,27.738,-1.205,-14.493,38.152,0.191,-29.519,22.101,20.421,-11.166,37.728,34.283,16.227,35.188,-1.632,27.828,6.639,2.058,14.123,-10.071,21.908,0.0,0.0,0.0
167.0,6.68,0.35,27.736,-1.227,-14.503,38.16,0.168,-29.592,22.293,20.494,-11.26,37.964,34.295,16.212,35.183,-1.669,27.814,6.635,2.063,14.12,-10.059,21.93,0.0,0.0,0.0
168.0,6.72,0.332,27.734,-1.237,-14.523,38.146,0.158,-29.65,22.46,20.568,-11.288,38.174,34.245,16.191,35.181,-1.697,27.802,6.642,2.041,14.138,-10.052,21.92,0.0,0.0,0.0
169.0,6.76,0.32,27.725,-1.242,-14.532,38.142,0.166,-29.693,22.582,20.642,-11.302,38.33,34.223,16.177,35.178,-1.717,27.764,6.629,1.994,14.159,-10.046,21.908,0.0,0.0,0.0
170.0,6.8,0.311,27.724,-1.245,-14.537,38.144,0.168,-29.716,22.655,20.678,-11.321,38.431,34.212,16.174,35.175,-1.731,27.755,6.62,1.97,14.176,-10.046,21.901,0.0,0.0,0.0
171.0,6.84,0.31,27.72,-1.247,-14.532,38.147,0.172,-29.718,22.672,20.688,-11.319,38.443,34.257,16.177,35.166,-1.752,27.736,6.604,1.954,14.19,-10.04,21.916,0.0,0.0,0.0
172.0,6.88,0.313,27.715,-1.247,-14.535,38.14,0.178,-29.687,22.616,20.689,-11.319,38.504,34.261,16.176,35.165,-1.756,27.717,6.602,1.929,14.206,-10.051,21.914,0.0,0.0,0.0
173.0,6.92,0.318,27.709,-1.249,-14.526,38.132,0.189,-29.72,22.542,20.66,-11.16,38.303,34.373,16.184,35.158,-1.772,27.71,6.58,1.906,14.214,-10.073,21.905,0.0,0.0,0.0
174.0,6.96,0.336,27.707,-1.247,-14.512,38.119,0.219,-29.803,22.288,20.467,-11.086,37.738,34.317,16.209,35.146,-1.789,27.706,6.552,1.859,14.252,-10.06,21.912,0.0,0.0,0.0
175.0,7.0,0.354,27.694,-1.242,-14.506,38.081,0.206,-29.817,21.971,20.239,-11.053,37.202,34.334,16.227,35.137,-1.772,27.687,6.517,1.8,14.256,-10.068,21.887,0.0,0.0,0.0
176.0,7.04,0.366,27.689,-1.244,-14.506,38.049,0.184,-29.841,21.675,20.003,-11.131,36.66,34.463,16.235,35.151,-1.733,27.684,6.528,1.811,14.258,-10.068,21.888,0.0,0.0,0.0
