Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2887.0,115.48,-0.274,26.091,-0.682,-16.086,34.706,-1.597,-26.817,7.115,-4.15,-17.516,4.306,22.21,15.269,34.469,-0.231,27.272,6.115,-3.004,16.439,4.193,23.347,0.0,0.0,0.0
2888.0,115.52,-0.272,26.095,-0.671,-16.084,34.715,-1.597,-26.828,7.13,-4.128,-17.493,4.326,22.224,15.271,34.468,-0.22,27.297,6.114,-2.954,16.461,4.193,23.398,0.0,0.0,0.0
2889.0,115.56,-0.27,26.104,-0.664,-16.079,34.73,-1.602,-26.85,7.151,-4.129,-17.514,4.343,22.226,15.276,34.476,-0.212,27.321,6.125,-2.917,16.487,4.199,23.434,0.0,0.0,0.0
2890.0,115.6,-0.265,26.111,-0.66,-16.07,34.749,-1.603,-26.877,7.179,-4.101,-17.509,4.382,22.243,15.286,34.478,-0.214,27.346,6.127,-2.887,16.501,4.207,23.463,0.0,0.0,0.0
2891.0,115.64,-0.256,26.112,-0.654,-16.056,34.761,-1.603,-26.896,7.205,-4.091,-17.52,4.427,22.249,15.299,34.477,-0.212,27.371,6.129,-2.875,16.514,4.222,23.473,0.0,0.0,0.0
2892.0,115.68,-0.245,26.123,-0.647,-16.044,34.772,-1.597,-26.904,7.223,-4.083,-17.521,4.481,22.26,15.312,34.485,-0.216,27.393,6.14,-2.879,16.526,4.247,23.46,0.0,0.0,0.0
2893.0,115.72,-0.236,26.129,-0.642,-16.032,34.785,-1.597,-26.909,7.238,-4.066,-17.525,4.533,22.281,15.325,34.491,-0.214,27.411,6.145,-2.865,16.495,4.286,23.46,0.0,0.0,0.0
2894.0,115.76,-0.233,26.133,-0.63,-16.03,34.79,-1.593,-26.916,7.245,-4.044,-17.534,4.578,22.304,15.327,34.496,-0.201,27.431,6.161,-2.844,16.468,4.322,23.444,0.0,0.0,0.0
2895.0,115.8,-0.229,26.133,-0.629,-16.027,34.792,-1.594,-26.931,7.253,-4.024,-17.531,4.631,22.322,15.331,34.496,-0.201,27.452,6.168,-2.842,16.406,4.377,23.388,0.0,0.0,0.0
2896.0,115.84,-0.224,26.134,-0.633,-16.019,34.796,-1.606,-26.941,7.259,-4.011,-17.505,4.699,22.337,15.339,34.493,-0.203,27.497,6.193,-2.821,16.252,4.536,23.275,0.0,0.0,0.0
2897.0,115.88,-0.223,26.132,-0.639,-16.02,34.806,-1.6,-26.976,7.293,-3.98,-17.462,4.833,22.363,15.345,34.486,-0.216,27.589,6.251,-2.693,15.838,4.833,23.088,0.0,0.0,0.0
2898.0,115.92,-0.23,26.14,-0.647,-16.027,34.858,-1.592,-27.137,7.404,-3.699,-17.28,5.378,22.608,15.327,34.493,-0.219,27.781,6.339,-2.312,15.379,5.484,23.111,0.0,0.0,0.0
2899.0,115.96,-0.222,26.137,-0.661,-15.984,34.963,-1.602,-27.668,7.615,-2.561,-16.732,6.731,23.499,15.324,34.483,-0.229,28.184,6.475,-1.413,15.117,6.836,23.649,0.0,0.0,0.0
2900.0,116.0,-0.22,26.146,-0.685,-15.928,35.123,-1.582,-28.578,8.037,-0.061,-15.776,9.597,25.202,15.309,34.51,-0.263,28.918,6.789,0.252,14.963,9.395,24.589,0.0,0.0,0.0
2901.0,116.04,-0.225,26.162,-0.704,-15.863,35.402,-1.473,-29.432,8.98,3.83,-14.457,14.267,27.244,15.289,34.554,-0.336,29.918,7.419,2.742,14.506,12.863,25.647,0.0,0.0,0.0
2902.0,116.08,-0.234,26.178,-0.747,-15.751,35.701,-1.375,-29.899,10.78,8.66,-12.953,20.151,29.125,15.243,34.619,-0.387,30.774,8.438,5.714,13.903,16.5,26.755,0.0,0.0,0.0
2903.0,116.12,-0.238,26.197,-0.801,-15.647,36.023,-1.293,-29.739,13.603,13.711,-11.213,26.499,30.428,15.201,34.739,-0.46,31.191,9.738,8.717,13.222,20.123,27.74,0.0,0.0,0.0
2904.0,116.16,-0.26,26.231,-0.829,-15.535,36.396,-1.134,-28.988,17.251,18.282,-9.271,32.58,31.123,15.183,34.857,-0.606,31.144,11.146,11.495,12.429,23.503,28.521,0.0,0.0,0.0
2905.0,116.2,-0.31,26.286,-0.81,-15.393,36.808,-0.893,-27.724,21.173,21.856,-7.312,37.926,31.45,15.17,34.904,-0.8,30.621,12.475,13.865,11.629,26.596,29.131,0.0,0.0,0.0
2906.0,116.24,-0.349,26.383,-0.777,-15.209,37.241,-0.649,-26.266,24.765,24.317,-5.463,42.327,31.405,15.163,34.937,-1.015,29.792,13.604,15.732,10.923,29.282,29.568,0.0,0.0,0.0
