Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2605.0,104.2,-0.814,28.056,5.525,-16.96,36.171,5.971,-26.274,8.94,0.874,-16.331,9.422,26.591,14.359,37.007,6.299,26.433,9.228,2.103,17.758,12.324,28.643,0.0,0.0,0.0
2606.0,104.24,-0.87,28.045,5.536,-17.018,36.151,6.038,-26.468,8.945,1.021,-16.486,9.592,26.709,14.295,37.012,6.258,26.387,9.25,1.986,17.618,12.308,28.508,0.0,0.0,0.0
2607.0,104.28,-0.905,28.034,5.553,-17.054,36.135,6.12,-26.64,8.943,1.22,-16.621,9.713,26.887,14.254,37.01,6.232,26.342,9.246,1.961,17.518,12.313,28.468,0.0,0.0,0.0
2608.0,104.32,-0.933,28.026,5.575,-17.078,36.136,6.197,-26.782,8.94,1.463,-16.688,9.873,27.093,14.227,37.006,6.232,26.311,9.229,1.996,17.439,12.312,28.493,0.0,0.0,0.0
2609.0,104.36,-0.952,28.026,5.597,-17.09,36.154,6.25,-26.873,8.936,1.728,-16.703,10.14,27.303,14.212,37.0,6.25,26.318,9.219,2.056,17.388,12.26,28.55,0.0,0.0,0.0
2610.0,104.4,-0.952,28.021,5.607,-17.083,36.172,6.28,-26.91,8.913,2.018,-16.679,10.529,27.534,14.215,36.992,6.264,26.367,9.22,2.094,17.356,12.119,28.594,0.0,0.0,0.0
2611.0,104.44,-0.934,28.024,5.608,-17.06,36.218,6.277,-26.902,8.912,2.426,-16.625,11.073,27.88,14.234,36.999,6.273,26.449,9.254,2.086,17.311,11.858,28.606,0.0,0.0,0.0
2612.0,104.48,-0.923,28.044,5.6,-17.036,36.337,6.254,-26.914,8.953,3.193,-16.466,11.947,28.493,14.247,37.028,6.272,26.549,9.326,2.055,17.177,11.4,28.622,0.0,0.0,0.0
2613.0,104.52,-0.912,28.076,5.578,-17.001,36.508,6.206,-27.029,9.023,4.612,-16.106,13.308,29.576,14.264,37.052,6.242,26.691,9.396,2.084,16.928,10.472,28.705,0.0,0.0,0.0
