Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
407.0,16.28,-0.043,26.042,-0.575,-15.682,35.095,-1.615,-26.921,8.107,-5.175,-19.251,3.708,21.353,15.628,34.119,-0.049,27.59,5.757,-2.793,15.195,3.869,22.765,0.0,0.0,0.0
408.0,16.32,-0.045,26.04,-0.586,-15.683,35.094,-1.624,-26.925,8.11,-5.169,-19.272,3.746,21.376,15.628,34.116,-0.072,27.584,5.752,-2.83,15.181,3.885,22.728,0.0,0.0,0.0
409.0,16.36,-0.053,26.036,-0.602,-15.693,35.08,-1.627,-26.931,8.09,-5.169,-19.267,3.779,21.382,15.618,34.12,-0.096,27.597,5.763,-2.864,15.196,3.904,22.698,0.0,0.0,0.0
410.0,16.4,-0.053,26.034,-0.622,-15.698,35.071,-1.64,-26.947,8.085,-5.183,-19.251,3.88,21.374,15.615,34.122,-0.137,27.617,5.771,-2.913,15.258,3.943,22.678,0.0,0.0,0.0
411.0,16.44,-0.05,26.024,-0.64,-15.699,35.065,-1.633,-26.981,8.093,-5.168,-19.17,4.202,21.385,15.617,34.121,-0.174,27.651,5.781,-2.962,15.358,3.985,22.691,0.0,0.0,0.0
412.0,16.48,-0.037,26.02,-0.669,-15.687,35.05,-1.625,-27.116,8.098,-4.935,-19.004,5.135,21.556,15.629,34.144,-0.196,27.719,5.829,-2.988,15.45,3.983,22.731,0.0,0.0,0.0
413.0,16.52,-0.006,26.01,-0.694,-15.647,35.023,-1.636,-27.545,8.101,-4.193,-18.718,7.144,22.063,15.652,34.179,-0.174,27.847,5.923,-2.985,15.481,3.896,22.718,0.0,0.0,0.0
414.0,16.56,0.042,26.007,-0.715,-15.566,35.061,-1.686,-28.297,8.252,-2.726,-18.181,10.471,22.807,15.692,34.198,-0.121,28.053,6.029,-2.934,15.352,3.61,22.62,0.0,0.0,0.0
415.0,16.6,0.099,26.0,-0.724,-15.434,35.179,-1.737,-29.257,8.712,-0.453,-17.563,14.665,23.575,15.753,34.174,-0.078,28.327,6.101,-2.8,15.004,2.966,22.437,0.0,0.0,0.0
416.0,16.64,0.17,26.009,-0.751,-15.273,35.37,-1.773,-30.383,9.69,2.46,-16.907,19.229,24.066,15.835,34.15,-0.099,28.585,6.137,-2.541,14.515,1.716,22.221,0.0,0.0,0.0
417.0,16.68,0.239,26.015,-0.803,-15.112,35.603,-1.781,-31.552,11.274,5.623,-16.31,23.545,24.337,15.913,34.115,-0.16,28.695,6.089,-2.181,14.084,-0.433,21.956,0.0,0.0,0.0
418.0,16.72,0.304,26.015,-0.828,-14.911,35.831,-1.777,-32.635,13.382,8.642,-15.806,27.286,24.537,16.005,34.023,-0.179,28.67,5.888,-1.779,13.837,-3.124,21.591,0.0,0.0,0.0
419.0,16.76,0.368,26.011,-0.817,-14.73,36.092,-1.737,-33.51,15.767,11.187,-15.33,30.408,24.658,16.111,33.883,-0.168,28.597,5.606,-1.471,13.845,-5.747,21.009,0.0,0.0,0.0
420.0,16.8,0.408,26.035,-0.789,-14.577,36.374,-1.669,-34.237,18.206,13.15,-14.932,32.956,24.751,16.189,33.792,-0.205,28.478,5.396,-1.398,14.054,-7.993,20.224,0.0,0.0,0.0
421.0,16.84,0.435,26.062,-0.761,-14.478,36.589,-1.556,-34.882,20.506,14.604,-14.625,34.945,24.754,16.254,33.738,-0.256,28.373,5.281,-1.603,14.343,-9.608,19.318,0.0,0.0,0.0
422.0,16.88,0.479,26.093,-0.703,-14.351,36.801,-1.387,-35.405,22.538,15.671,-14.279,36.44,24.621,16.328,33.713,-0.316,28.371,5.266,-2.016,14.7,-10.586,18.451,0.0,0.0,0.0
423.0,16.92,0.509,26.125,-0.633,-14.229,36.974,-1.199,-35.781,24.247,16.481,-13.914,37.566,24.344,16.393,33.68,-0.387,28.439,5.282,-2.553,15.024,-11.018,17.76,0.0,0.0,0.0
424.0,16.96,0.538,26.156,-0.581,-14.12,37.135,-1.028,-35.934,25.479,17.082,-13.602,38.474,24.025,16.453,33.658,-0.483,28.529,5.326,-3.069,15.364,-11.135,17.28,0.0,0.0,0.0
425.0,17.0,0.559,26.184,-0.541,-14.038,37.246,-0.929,-35.849,26.144,17.532,-13.354,39.242,23.743,16.498,33.647,-0.56,28.586,5.367,-3.44,15.684,-11.148,17.046,0.0,0.0,0.0
426.0,17.04,0.58,26.196,-0.516,-13.981,37.314,-0.908,-35.482,26.11,17.837,-13.192,39.851,23.593,16.532,33.626,-0.608,28.594,5.371,-3.621,15.952,-11.143,17.033,0.0,0.0,0.0
427.0,17.08,0.613,26.197,-0.533,-13.943,37.336,-0.928,-34.826,25.353,17.997,-13.0,40.098,23.527,16.575,33.608,-0.645,28.579,5.335,-3.65,16.17,-11.144,17.17,0.0,0.0,0.0
428.0,17.12,0.65,26.195,-0.551,-13.914,37.311,-0.995,-33.761,23.906,18.01,-12.781,39.999,23.612,16.615,33.583,-0.678,28.57,5.272,-3.55,16.35,-11.107,17.452,0.0,0.0,0.0
429.0,17.16,0.702,26.166,-0.606,-13.927,37.168,-1.071,-32.625,22.192,17.828,-12.641,39.313,24.163,16.666,33.578,-0.714,28.559,5.215,-3.391,16.462,-10.995,17.804,0.0,0.0,0.0
430.0,17.2,0.766,26.145,-0.657,-13.953,37.009,-1.094,-31.857,20.739,17.387,-12.704,38.155,25.408,16.708,33.631,-0.741,28.549,5.226,-3.2,16.497,-10.739,18.208,0.0,0.0,0.0
431.0,17.24,0.776,26.141,-0.652,-14.014,36.916,-1.032,-31.523,19.879,17.009,-13.035,37.491,26.12,16.7,33.7,-0.757,28.563,5.277,-3.009,16.472,-10.38,18.595,0.0,0.0,0.0
432.0,17.28,0.732,26.15,-0.636,-14.074,36.915,-1.039,-31.555,19.813,16.897,-13.416,37.463,26.407,16.644,33.739,-0.727,28.592,5.331,-2.86,16.438,-10.021,18.921,0.0,0.0,0.0
433.0,17.32,0.67,26.153,-0.609,-14.136,36.952,-1.056,-31.87,20.333,17.11,-13.701,37.821,26.471,16.573,33.756,-0.645,28.611,5.367,-2.682,16.388,-9.778,19.197,0.0,0.0,0.0
434.0,17.36,0.597,26.167,-0.564,-14.202,36.997,-1.029,-32.123,20.959,17.493,-13.946,38.57,26.261,16.49,33.765,-0.562,28.617,5.391,-2.468,16.32,-9.647,19.438,0.0,0.0,0.0
435.0,17.4,0.521,26.176,-0.525,-14.275,37.024,-1.022,-32.211,21.485,17.89,-14.165,39.47,25.928,16.402,33.786,-0.476,28.594,5.417,-2.263,16.218,-9.576,19.617,0.0,0.0,0.0
436.0,17.44,0.484,26.178,-0.508,-14.317,37.018,-1.033,-32.118,21.821,18.258,-14.303,40.263,25.743,16.353,33.822,-0.411,28.553,5.459,-2.134,16.126,-9.546,19.696,0.0,0.0,0.0
437.0,17.48,0.458,26.18,-0.502,-14.354,36.999,-1.069,-31.994,21.971,18.497,-14.058,40.602,25.619,16.311,33.858,-0.363,28.529,5.509,-2.072,15.987,-9.479,19.705,0.0,0.0,0.0
438.0,17.52,0.442,26.173,-0.504,-14.361,36.971,-1.114,-31.751,21.898,18.685,-13.315,40.488,25.212,16.287,33.871,-0.335,28.528,5.541,-2.089,15.855,-9.415,19.618,0.0,0.0,0.0
439.0,17.56,0.436,26.165,-0.537,-14.382,36.93,-1.188,-31.246,21.394,18.71,-12.717,40.289,24.371,16.273,33.871,-0.347,28.542,5.554,-2.139,15.711,-9.363,19.501,0.0,0.0,0.0
440.0,17.6,0.455,26.146,-0.601,-14.39,36.847,-1.277,-30.722,20.631,18.461,-12.467,39.805,24.129,16.287,33.863,-0.391,28.539,5.541,-2.207,15.571,-9.34,19.37,0.0,0.0,0.0
441.0,17.64,0.486,26.13,-0.651,-14.408,36.754,-1.305,-30.425,19.9,18.106,-12.384,39.127,24.322,16.31,33.871,-0.432,28.508,5.534,-2.267,15.403,-9.316,19.253,0.0,0.0,0.0
442.0,17.68,0.5,26.129,-0.675,-14.414,36.696,-1.269,-30.35,19.476,17.889,-12.261,38.59,24.306,16.319,33.885,-0.484,28.468,5.532,-2.361,15.253,-9.243,19.14,0.0,0.0,0.0
443.0,17.72,0.492,26.126,-0.68,-14.426,36.683,-1.278,-30.406,19.318,17.699,-12.237,38.303,24.309,16.308,33.888,-0.495,28.428,5.539,-2.504,15.139,-9.126,19.023,0.0,0.0,0.0
