Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
661.0,26.44,-0.271,27.505,-0.913,-15.944,36.315,0.202,-26.816,8.952,-1.936,-14.489,5.135,23.095,15.384,35.445,-1.114,26.767,7.145,-4.894,18.136,4.906,22.166,0.0,0.0,0.0
662.0,26.48,-0.27,27.503,-0.922,-15.941,36.317,0.191,-26.825,8.956,-1.93,-14.498,5.149,23.104,15.386,35.438,-1.129,26.762,7.136,-4.895,18.12,4.901,22.17,0.0,0.0,0.0
663.0,26.52,-0.269,27.5,-0.929,-15.943,36.313,0.185,-26.824,8.953,-1.936,-14.502,5.157,23.095,15.386,35.442,-1.143,26.768,7.135,-4.882,18.121,4.888,22.18,0.0,0.0,0.0
664.0,26.56,-0.265,27.499,-0.939,-15.938,36.313,0.183,-26.821,8.955,-1.926,-14.477,5.204,23.109,15.389,35.44,-1.157,26.785,7.128,-4.859,18.114,4.812,22.207,0.0,0.0,0.0
665.0,26.6,-0.261,27.487,-0.948,-15.932,36.301,0.186,-26.805,8.968,-1.849,-14.359,5.376,23.201,15.394,35.443,-1.182,26.83,7.129,-4.811,18.093,4.644,22.262,0.0,0.0,0.0
666.0,26.64,-0.274,27.472,-0.964,-15.932,36.31,0.168,-26.833,9.034,-1.335,-13.871,6.283,23.565,15.372,35.464,-1.23,26.961,7.185,-4.72,17.969,4.265,22.314,0.0,0.0,0.0
667.0,26.68,-0.244,27.459,-0.987,-15.889,36.317,0.118,-26.951,9.033,-0.062,-13.713,8.862,24.685,15.381,35.495,-1.289,27.221,7.265,-4.521,17.739,3.46,22.342,0.0,0.0,0.0
668.0,26.72,-0.227,27.431,-1.04,-15.869,36.39,-0.011,-27.242,9.25,2.369,-13.93,13.782,26.471,15.367,35.509,-1.344,27.542,7.347,-4.122,17.248,1.995,22.347,0.0,0.0,0.0
669.0,26.76,-0.203,27.43,-1.138,-15.809,36.601,-0.167,-27.586,10.081,5.93,-14.356,20.262,27.983,15.376,35.488,-1.455,27.976,7.381,-3.34,16.47,-0.273,22.237,0.0,0.0,0.0
670.0,26.8,-0.192,27.436,-1.26,-15.704,36.869,-0.277,-27.923,11.871,10.35,-14.637,26.915,29.284,15.38,35.445,-1.619,28.377,7.342,-2.041,15.484,-3.002,22.027,0.0,0.0,0.0
671.0,26.84,-0.216,27.439,-1.365,-15.632,37.148,-0.264,-28.03,14.682,15.031,-14.656,33.132,30.582,15.342,35.401,-1.784,28.496,7.299,-0.508,14.662,-5.685,21.822,0.0,0.0,0.0
672.0,26.88,-0.295,27.439,-1.404,-15.592,37.473,-0.16,-27.772,18.287,19.207,-14.216,38.815,31.806,15.254,35.356,-1.963,28.305,7.275,1.078,13.974,-8.012,21.533,0.0,0.0,0.0
673.0,26.92,-0.401,27.498,-1.378,-15.541,37.841,-0.019,-27.091,22.147,22.429,-13.095,43.737,32.767,15.16,35.387,-2.108,27.899,7.364,2.283,13.408,-9.762,21.144,0.0,0.0,0.0
674.0,26.96,-0.465,27.562,-1.297,-15.418,38.192,0.112,-26.104,25.631,24.657,-11.282,47.522,33.454,15.102,35.481,-2.214,27.685,7.613,2.792,13.243,-9.597,21.557,0.0,0.0,0.0
675.0,27.0,-0.547,27.649,-1.234,-15.324,38.485,0.236,-24.961,28.17,26.013,-9.115,49.905,33.774,15.024,35.588,-2.376,27.635,7.851,3.121,13.081,-9.578,21.658,0.0,0.0,0.0
676.0,27.04,-0.646,27.705,-1.2,-15.285,38.643,0.341,-23.9,29.609,26.753,-6.886,50.824,33.92,14.93,35.63,-2.445,27.536,7.911,3.211,13.049,-9.927,21.441,0.0,0.0,0.0
677.0,27.08,-0.687,27.691,-1.162,-15.282,38.637,0.433,-23.055,29.949,27.104,-4.823,50.321,34.049,14.884,35.636,-2.433,27.423,7.871,3.069,13.199,-10.029,21.469,0.0,0.0,0.0
678.0,27.12,-0.706,27.664,-1.179,-15.313,38.531,0.487,-22.532,29.273,27.089,-3.115,48.529,34.274,14.847,35.671,-2.481,27.379,7.875,2.906,13.284,-10.06,21.417,0.0,0.0,0.0
679.0,27.16,-0.707,27.626,-1.23,-15.403,38.312,0.514,-22.415,27.752,26.713,-1.944,45.649,34.682,14.812,35.71,-2.537,27.344,7.898,2.771,13.329,-10.04,21.35,0.0,0.0,0.0
