Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1502.0,60.08,0.012,25.799,-0.917,-15.796,34.657,-1.896,-26.347,6.806,-2.153,-14.163,7.626,22.938,15.696,33.905,-1.164,25.847,5.1,-3.5,15.365,7.778,22.505,0.0,0.0,0.0
1503.0,60.12,0.017,25.808,-0.926,-15.79,34.668,-1.932,-26.35,6.82,-2.202,-14.188,7.648,22.904,15.703,33.909,-1.167,25.872,5.102,-3.449,15.348,7.813,22.536,0.0,0.0,0.0
1504.0,60.16,0.018,25.811,-0.933,-15.784,34.674,-1.965,-26.364,6.835,-2.236,-14.212,7.661,22.883,15.707,33.912,-1.168,25.892,5.106,-3.408,15.34,7.846,22.568,0.0,0.0,0.0
1505.0,60.2,0.022,25.817,-0.939,-15.779,34.679,-1.99,-26.373,6.844,-2.257,-14.229,7.665,22.868,15.71,33.921,-1.167,25.92,5.118,-3.372,15.334,7.877,22.584,0.0,0.0,0.0
1506.0,60.24,0.028,25.822,-0.945,-15.777,34.681,-2.011,-26.373,6.847,-2.274,-14.245,7.679,22.859,15.714,33.932,-1.168,25.949,5.133,-3.353,15.34,7.912,22.59,0.0,0.0,0.0
1507.0,60.28,0.027,25.829,-0.943,-15.778,34.684,-2.017,-26.386,6.856,-2.284,-14.268,7.706,22.857,15.715,33.939,-1.161,25.964,5.143,-3.343,15.336,7.948,22.589,0.0,0.0,0.0
1508.0,60.32,0.026,25.832,-0.941,-15.778,34.686,-2.019,-26.405,6.862,-2.299,-14.278,7.772,22.839,15.715,33.945,-1.161,25.982,5.151,-3.345,15.336,8.001,22.577,0.0,0.0,0.0
1509.0,60.36,0.029,25.833,-0.942,-15.776,34.685,-2.014,-26.445,6.875,-2.327,-14.259,7.932,22.777,15.718,33.942,-1.168,26.011,5.153,-3.349,15.342,8.115,22.563,0.0,0.0,0.0
1510.0,60.4,0.027,25.83,-0.935,-15.778,34.676,-1.992,-26.531,6.9,-2.359,-14.155,8.276,22.62,15.714,33.935,-1.177,26.093,5.157,-3.341,15.342,8.426,22.567,0.0,0.0,0.0
1511.0,60.44,0.014,25.825,-0.933,-15.79,34.665,-1.971,-26.668,6.946,-2.369,-13.99,8.917,22.358,15.696,33.93,-1.205,26.322,5.186,-3.231,15.327,8.989,22.594,0.0,0.0,0.0
1512.0,60.48,0.0,25.821,-0.939,-15.801,34.656,-1.948,-26.914,7.045,-2.265,-13.784,9.889,22.049,15.665,33.926,-1.253,26.823,5.261,-2.788,15.194,9.759,22.706,0.0,0.0,0.0
