Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4020.0,160.8,-0.132,25.92,-0.678,-15.826,34.887,-1.457,-27.402,7.847,-3.878,-15.275,1.983,20.836,15.524,34.267,-0.792,27.096,5.978,-3.559,15.589,4.425,22.332,0.0,0.0,0.0
4021.0,160.84,-0.118,25.917,-0.698,-15.804,34.891,-1.483,-27.389,7.859,-3.909,-15.28,2.029,20.821,15.543,34.254,-0.81,27.106,5.964,-3.592,15.626,4.455,22.314,0.0,0.0,0.0
4022.0,160.88,-0.112,25.912,-0.706,-15.798,34.885,-1.494,-27.383,7.858,-3.937,-15.3,2.085,20.801,15.548,34.251,-0.815,27.112,5.956,-3.587,15.634,4.486,22.321,0.0,0.0,0.0
4023.0,160.92,-0.109,25.908,-0.715,-15.792,34.886,-1.504,-27.38,7.858,-3.948,-15.308,2.145,20.804,15.551,34.249,-0.825,27.114,5.952,-3.579,15.659,4.489,22.338,0.0,0.0,0.0
4024.0,160.96,-0.104,25.907,-0.724,-15.786,34.887,-1.519,-27.361,7.847,-3.931,-15.293,2.184,20.837,15.558,34.243,-0.839,27.114,5.943,-3.583,15.7,4.47,22.353,0.0,0.0,0.0
4025.0,161.0,-0.101,25.901,-0.731,-15.78,34.887,-1.523,-27.354,7.843,-3.909,-15.294,2.212,20.873,15.564,34.232,-0.849,27.107,5.923,-3.59,15.732,4.422,22.369,0.0,0.0,0.0
4026.0,161.04,-0.1,25.901,-0.739,-15.781,34.883,-1.532,-27.354,7.836,-3.91,-15.304,2.278,20.898,15.565,34.237,-0.855,27.109,5.928,-3.572,15.735,4.356,22.391,0.0,0.0,0.0
4027.0,161.08,-0.093,25.898,-0.743,-15.773,34.882,-1.534,-27.356,7.838,-3.895,-15.266,2.365,20.913,15.573,34.233,-0.859,27.109,5.918,-3.58,15.755,4.267,22.397,0.0,0.0,0.0
4028.0,161.12,-0.086,25.897,-0.766,-15.762,34.905,-1.535,-27.318,7.851,-3.806,-15.193,2.555,21.043,15.583,34.226,-0.878,27.128,5.921,-3.624,15.798,4.127,22.385,0.0,0.0,0.0
4029.0,161.16,-0.09,25.903,-0.8,-15.768,34.95,-1.544,-27.249,7.843,-3.438,-15.068,3.11,21.49,15.584,34.235,-0.883,27.144,5.935,-3.642,15.836,3.868,22.405,0.0,0.0,0.0
4030.0,161.2,-0.063,25.907,-0.827,-15.735,34.978,-1.562,-27.185,7.733,-2.413,-14.831,4.519,22.655,15.61,34.258,-0.86,27.191,5.969,-3.591,15.903,3.315,22.509,0.0,0.0,0.0
4031.0,161.24,-0.007,25.897,-0.842,-15.674,35.003,-1.576,-27.036,7.585,-0.475,-14.572,7.469,24.635,15.658,34.279,-0.816,27.24,5.982,-3.387,15.987,2.226,22.729,0.0,0.0,0.0
4032.0,161.28,0.036,25.892,-0.849,-15.62,35.09,-1.573,-26.76,7.667,2.371,-14.101,12.35,26.789,15.7,34.277,-0.771,27.283,5.949,-3.074,16.082,0.599,22.916,0.0,0.0,0.0
4033.0,161.32,0.075,25.868,-0.845,-15.535,35.253,-1.55,-26.303,8.244,5.962,-13.509,18.678,28.274,15.766,34.199,-0.735,27.337,5.824,-2.762,16.186,-1.417,22.917,0.0,0.0,0.0
4034.0,161.36,0.099,25.875,-0.84,-15.421,35.488,-1.506,-25.614,9.59,9.981,-12.829,25.448,28.624,15.822,34.137,-0.739,27.297,5.684,-2.477,16.381,-3.759,22.74,0.0,0.0,0.0
4035.0,161.4,0.09,25.895,-0.823,-15.34,35.746,-1.379,-24.616,11.604,13.962,-12.132,31.709,27.859,15.858,34.068,-0.773,27.117,5.498,-2.254,16.71,-6.249,22.324,0.0,0.0,0.0
4036.0,161.44,0.056,25.925,-0.778,-15.27,36.027,-1.161,-23.49,13.982,17.425,-11.35,36.761,26.381,15.873,33.994,-0.826,26.875,5.32,-2.134,17.157,-8.752,21.592,0.0,0.0,0.0
4037.0,161.48,0.013,25.973,-0.718,-15.185,36.327,-0.864,-22.401,16.235,20.014,-10.508,40.283,24.77,15.88,33.932,-0.927,26.618,5.153,-2.174,17.705,-11.079,20.533,0.0,0.0,0.0
4038.0,161.52,-0.026,26.023,-0.678,-15.111,36.593,-0.57,-21.527,17.919,21.633,-9.682,42.312,23.539,15.896,33.865,-1.112,26.399,5.002,-2.408,18.301,-13.094,19.244,0.0,0.0,0.0
4039.0,161.56,-0.024,26.08,-0.64,-15.032,36.777,-0.335,-20.838,18.895,22.499,-8.977,43.3,22.833,15.928,33.813,-1.342,26.217,4.873,-2.748,18.997,-14.87,17.805,0.0,0.0,0.0
4040.0,161.6,0.009,26.127,-0.638,-14.959,36.878,-0.184,-20.307,19.328,22.926,-8.427,43.693,22.417,15.968,33.794,-1.556,26.115,4.816,-3.173,19.76,-16.363,16.271,0.0,0.0,0.0
4041.0,161.64,0.051,26.149,-0.658,-14.894,36.914,-0.087,-19.903,19.478,23.124,-8.103,43.848,22.167,16.01,33.796,-1.737,26.098,4.814,-3.628,20.587,-17.566,14.702,0.0,0.0,0.0
4042.0,161.68,0.081,26.164,-0.682,-14.86,36.929,-0.054,-19.647,19.506,23.181,-7.95,43.923,22.073,16.035,33.814,-1.88,26.182,4.873,-3.986,21.433,-18.594,13.19,0.0,0.0,0.0
4043.0,161.72,0.09,26.168,-0.729,-14.856,36.923,-0.098,-19.563,19.521,23.154,-7.867,43.949,22.069,16.031,33.83,-1.994,26.305,4.93,-4.233,22.283,-19.465,11.791,0.0,0.0,0.0
4044.0,161.76,0.087,26.171,-0.76,-14.859,36.916,-0.148,-19.578,19.53,23.103,-7.829,43.934,22.055,16.024,33.838,-2.06,26.398,4.971,-4.392,23.114,-20.186,10.541,0.0,0.0,0.0
