Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
800.0,32.0,-0.071,25.922,-0.799,-16.105,34.227,-1.286,-26.531,6.37,-2.411,-20.718,6.5,24.903,15.435,34.293,-1.153,26.686,5.75,-3.813,22.024,5.34,24.112,0.0,0.0,0.0
801.0,32.04,-0.045,25.922,-0.829,-16.073,34.238,-1.338,-26.432,6.362,-2.531,-20.664,6.423,24.794,15.471,34.27,-1.169,26.606,5.693,-3.911,21.944,5.223,24.016,0.0,0.0,0.0
802.0,32.08,-0.018,25.924,-0.848,-16.039,34.252,-1.366,-26.351,6.368,-2.637,-20.603,6.344,24.699,15.508,34.255,-1.178,26.582,5.663,-3.989,21.901,5.087,23.936,0.0,0.0,0.0
803.0,32.12,0.011,25.919,-0.862,-16.006,34.254,-1.383,-26.286,6.368,-2.733,-20.574,6.277,24.612,15.543,34.238,-1.181,26.605,5.646,-4.044,21.868,4.942,23.875,0.0,0.0,0.0
804.0,32.16,0.034,25.918,-0.873,-15.977,34.259,-1.39,-26.252,6.375,-2.789,-20.562,6.252,24.56,15.57,34.224,-1.183,26.643,5.639,-4.089,21.863,4.829,23.822,0.0,0.0,0.0
805.0,32.2,0.047,25.916,-0.88,-15.957,34.27,-1.393,-26.243,6.389,-2.797,-20.595,6.285,24.562,15.588,34.211,-1.194,26.667,5.627,-4.12,21.899,4.752,23.794,0.0,0.0,0.0
806.0,32.24,0.052,25.91,-0.892,-15.95,34.273,-1.393,-26.257,6.408,-2.776,-20.668,6.4,24.594,15.595,34.203,-1.222,26.679,5.615,-4.132,21.953,4.684,23.804,0.0,0.0,0.0
807.0,32.28,0.054,25.906,-0.906,-15.948,34.289,-1.398,-26.315,6.454,-2.616,-20.78,6.687,24.762,15.596,34.208,-1.246,26.689,5.614,-4.119,22.027,4.577,23.866,0.0,0.0,0.0
808.0,32.32,0.063,25.903,-0.927,-15.929,34.318,-1.434,-26.451,6.517,-2.127,-20.921,7.378,25.294,15.601,34.227,-1.257,26.743,5.637,-4.045,22.127,4.316,24.027,0.0,0.0,0.0
809.0,32.36,0.091,25.902,-0.963,-15.883,34.371,-1.525,-26.759,6.628,-1.084,-20.968,8.82,26.327,15.618,34.268,-1.259,26.888,5.698,-3.86,22.223,3.657,24.294,0.0,0.0,0.0
810.0,32.4,0.121,25.912,-1.014,-15.83,34.472,-1.659,-27.128,6.866,0.728,-20.788,11.231,27.878,15.637,34.312,-1.253,27.158,5.792,-3.504,22.211,2.291,24.647,0.0,0.0,0.0
811.0,32.44,0.149,25.912,-1.062,-15.77,34.598,-1.797,-27.439,7.35,3.241,-20.329,14.505,29.713,15.65,34.328,-1.224,27.546,5.88,-2.948,21.998,0.118,24.896,0.0,0.0,0.0
812.0,32.48,0.159,25.907,-1.097,-15.707,34.741,-1.914,-27.576,8.201,6.184,-19.601,18.478,31.405,15.65,34.326,-1.178,27.972,5.958,-2.223,21.602,-2.74,24.848,0.0,0.0,0.0
813.0,32.52,0.147,25.915,-1.108,-15.659,34.895,-1.966,-27.45,9.427,9.206,-18.614,22.76,32.63,15.625,34.338,-1.105,28.193,5.985,-1.423,21.173,-6.112,24.316,0.0,0.0,0.0
