Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
941.000;37.640;-0.007;7.170;-0.167;-0.048;13.922;-0.309;-0.168;25.867;-0.543;-0.418;41.753;-1.161;-0.409;46.053;1.946;0.098;52.582;3.132;-6.631;56.771;4.416;7.036;56.595;2.644;-2.080;58.982;11.294;4.447;58.898;10.448;-1.886;36.542;-2.568;-16.036;34.591;-1.244;-20.783;21.448;-2.407;-26.031;6.922;-3.692;-23.147;6.634;8.785;-20.003;6.239;23.407;-21.000;4.942;24.361;-19.418;3.436;31.560;-18.755;3.639;33.954;-18.368;3.387;36.479;-17.981;3.614;38.090;-20.867;5.777;24.319;-19.865;5.939;31.808;-18.210;6.423;35.509;-17.312;6.909;38.273;-16.738;7.208;40.212;-19.741;6.827;23.803;-19.210;8.441;31.844;-17.724;9.198;35.499;-16.550;9.647;38.634;-15.835;10.006;40.646;-19.726;7.832;23.458;-18.354;10.572;30.962;-16.985;11.273;34.480;-15.787;11.583;37.040;-14.913;11.568;38.911;-18.562;8.429;25.187;-17.521;11.690;26.397;-16.127;13.281;28.277;-16.517;16.031;28.577;1.339;36.598;-2.436;15.461;34.037;-0.426;20.516;20.392;-1.596;26.103;5.310;-2.890;22.854;6.684;9.319;19.307;8.051;24.266;19.282;6.571;25.614;18.288;5.781;32.314;17.806;5.072;35.149;16.837;4.700;37.374;16.068;4.457;38.877;19.358;7.482;25.588;19.038;8.152;32.200;18.211;8.480;36.498;16.923;8.695;39.537;15.954;8.969;41.377;18.800;8.542;25.526;19.233;10.525;32.442;18.797;11.415;37.001;17.690;11.971;39.768;16.770;12.419;41.699;18.750;9.396;25.185;18.713;13.110;31.687;17.856;14.825;35.082;16.988;15.613;37.420;16.050;16.297;39.323;18.167;10.480;25.550;18.332;14.156;26.698;18.390;16.326;29.090;18.363;19.071;28.903;0.000;0.000;0.000;-7.560;-12.272;-0.926;-9.539;-33.118;-0.305;-11.862;-57.589;0.424;-10.364;-101.672;-7.733;7.642;-12.325;-1.455;9.466;-33.169;-0.394;11.606;-57.639;0.850;10.821;-102.005;-8.019
942.000;37.680;-0.007;7.170;-0.165;-0.052;13.921;-0.307;-0.179;25.865;-0.538;-0.433;41.751;-1.160;-0.425;46.051;1.947;0.079;52.580;3.134;-6.653;56.764;4.421;7.014;56.597;2.649;-2.103;58.973;11.300;4.424;58.893;10.454;-1.899;36.539;-2.566;-16.048;34.590;-1.243;-20.803;21.449;-2.404;-26.058;6.925;-3.687;-23.189;6.651;8.794;-20.062;6.273;23.418;-21.066;4.971;24.370;-19.494;3.482;31.574;-18.854;3.714;33.967;-18.443;3.443;36.498;-18.060;3.674;38.110;-20.933;5.805;24.325;-19.941;5.987;31.811;-18.299;6.453;35.525;-17.400;6.968;38.285;-16.828;7.240;40.230;-19.790;6.862;23.815;-19.244;8.517;31.845;-17.819;9.247;35.511;-16.634;9.713;38.644;-15.935;10.084;40.660;-19.773;7.864;23.471;-18.434;10.622;30.963;-17.081;11.330;34.485;-15.863;11.633;37.050;-15.015;11.596;38.932;-18.622;8.457;25.185;-17.588;11.726;26.399;-16.190;13.323;28.293;-16.587;16.075;28.577;1.326;36.596;-2.434;15.448;34.041;-0.421;20.515;20.399;-1.592;26.116;5.321;-2.886;22.873;6.714;9.322;19.336;8.107;24.267;19.297;6.620;25.620;18.318;5.853;32.316;17.837;5.152;35.161;16.870;4.786;37.379;16.100;4.536;38.881;19.369;7.531;25.591;19.084;8.218;32.198;18.258;8.546;36.496;16.948;8.778;39.536;15.983;9.053;41.377;18.835;8.606;25.524;19.282;10.591;32.439;18.850;11.490;36.999;17.741;12.035;39.766;16.806;12.485;41.689;18.789;9.460;25.181;18.768;13.166;31.686;17.911;14.859;35.096;17.041;15.680;37.422;16.110;16.352;39.332;18.224;10.537;25.540;18.375;14.217;26.685;18.437;16.390;29.075;18.421;19.135;28.892;0.000;0.000;0.000;-7.560;-12.272;-0.929;-9.539;-33.117;-0.311;-11.862;-57.587;0.415;-10.369;-101.672;-7.720;7.642;-12.324;-1.458;9.465;-33.169;-0.400;11.605;-57.639;0.842;10.820;-102.009;-8.013
943.000;37.720;-0.008;7.170;-0.164;-0.053;13.920;-0.305;-0.182;25.864;-0.536;-0.439;41.749;-1.168;-0.434;46.051;1.939;0.065;52.579;3.131;-6.667;56.762;4.417;7.001;56.597;2.650;-2.120;58.970;11.298;4.407;58.892;10.454;-1.904;36.536;-2.571;-16.051;34.589;-1.253;-20.811;21.448;-2.398;-26.073;6.924;-3.664;-23.229;6.678;8.822;-20.133;6.329;23.455;-21.147;5.041;24.407;-19.568;3.552;31.615;-18.923;3.786;34.003;-18.505;3.536;36.536;-18.119;3.773;38.146;-21.016;5.875;24.362;-20.025;6.056;31.851;-18.387;6.522;35.556;-17.491;7.026;38.324;-16.915;7.288;40.268;-19.870;6.913;23.859;-19.339;8.574;31.873;-17.848;9.315;35.521;-16.625;9.762;38.645;-15.910;10.131;40.655;-19.846;7.916;23.513;-18.504;10.685;30.989;-17.104;11.341;34.518;-15.892;11.660;37.061;-14.992;11.627;38.919;-18.719;8.527;25.216;-17.646;11.782;26.429;-16.256;13.377;28.312;-16.623;16.132;28.596;1.321;36.593;-2.438;15.443;34.041;-0.417;20.518;20.402;-1.578;26.127;5.328;-2.861;22.893;6.751;9.344;19.367;8.183;24.285;19.330;6.699;25.640;18.370;5.946;32.338;17.879;5.256;35.189;16.917;4.887;37.409;16.157;4.653;38.918;19.404;7.609;25.608;19.106;8.324;32.223;18.312;8.654;36.515;17.009;8.885;39.555;16.042;9.166;41.394;18.863;8.689;25.545;19.323;10.683;32.460;18.904;11.562;37.020;17.786;12.103;39.785;16.862;12.556;41.713;18.817;9.542;25.201;18.814;13.260;31.696;17.951;14.947;35.107;17.089;15.743;37.448;16.159;16.405;39.363;18.263;10.624;25.570;18.441;14.298;26.685;18.518;16.482;29.074;18.493;19.226;28.872;0.000;0.000;0.000;-7.560;-12.271;-0.930;-9.538;-33.117;-0.311;-11.859;-57.587;0.417;-10.366;-101.676;-7.714;7.642;-12.324;-1.461;9.466;-33.170;-0.402;11.607;-57.642;0.842;10.818;-102.015;-8.007
944.000;37.760;-0.008;7.171;-0.164;-0.053;13.922;-0.306;-0.182;25.867;-0.538;-0.441;41.752;-1.184;-0.438;46.056;1.921;0.059;52.582;3.112;-6.674;56.765;4.397;6.995;56.600;2.635;-2.130;58.971;11.280;4.397;58.892;10.439;-1.904;36.537;-2.583;-16.051;34.592;-1.268;-20.817;21.450;-2.394;-26.085;6.925;-3.639;-23.268;6.707;8.856;-20.199;6.395;23.501;-21.227;5.116;24.453;-19.649;3.667;31.653;-18.961;3.892;34.034;-18.469;3.681;36.563;-18.054;3.940;38.162;-21.100;5.951;24.407;-20.116;6.149;31.888;-18.486;6.605;35.601;-17.575;7.080;38.374;-17.022;7.345;40.325;-19.937;6.981;23.898;-19.417;8.663;31.900;-17.911;9.400;35.534;-16.593;9.837;38.649;-15.894;10.200;40.666;-19.908;7.979;23.549;-18.582;10.763;31.018;-17.175;11.402;34.540;-15.948;11.711;37.085;-15.061;11.663;38.949;-18.757;8.575;25.254;-17.700;11.841;26.466;-16.315;13.433;28.342;-16.668;16.190;28.632;1.320;36.595;-2.449;15.445;34.047;-0.419;20.518;20.407;-1.564;26.125;5.330;-2.829;22.904;6.800;9.370;19.390;8.287;24.306;19.353;6.823;25.666;18.383;6.079;32.368;17.898;5.395;35.215;16.933;5.049;37.439;16.180;4.819;38.952;19.436;7.733;25.633;19.149;8.450;32.242;18.348;8.797;36.539;17.048;9.038;39.577;16.099;9.316;41.427;18.893;8.798;25.568;19.387;10.802;32.477;18.964;11.664;37.047;17.852;12.189;39.815;16.919;12.643;41.739;18.848;9.651;25.223;18.868;13.383;31.714;18.025;15.035;35.144;17.161;15.847;37.465;16.208;16.494;39.373;18.355;10.739;25.577;18.491;14.420;26.681;18.591;16.604;29.067;18.612;19.348;28.874;0.000;0.000;0.000;-7.560;-12.271;-0.928;-9.535;-33.115;-0.310;-11.853;-57.584;0.416;-10.359;-101.681;-7.716;7.641;-12.324;-1.462;9.466;-33.169;-0.402;11.609;-57.640;0.843;10.818;-102.015;-8.003
945.000;37.800;-0.008;7.172;-0.165;-0.053;13.925;-0.307;-0.181;25.872;-0.540;-0.445;41.757;-1.199;-0.444;46.060;1.904;0.048;52.580;3.095;-6.687;56.759;4.379;6.982;56.602;2.623;-2.147;58.964;11.266;4.381;58.889;10.427;-1.907;36.541;-2.593;-16.054;34.591;-1.277;-20.820;21.448;-2.392;-26.087;6.921;-3.623;-23.307;6.745;8.878;-20.286;6.482;23.530;-21.331;5.212;24.484;-19.699;3.794;31.692;-18.937;4.035;34.039;-18.257;3.857;36.521;-17.651;4.120;38.057;-21.206;6.047;24.436;-20.221;6.257;31.919;-18.576;6.652;35.629;-17.600;7.092;38.391;-16.991;7.302;40.332;-20.038;7.063;23.933;-19.534;8.765;31.927;-18.028;9.502;35.571;-16.617;9.883;38.665;-15.885;10.233;40.673;-19.999;8.064;23.578;-18.688;10.864;31.045;-17.267;11.492;34.564;-16.040;11.800;37.100;-15.198;11.716;38.983;-18.876;8.676;25.275;-17.768;11.922;26.496;-16.385;13.498;28.365;-16.709;16.257;28.671;1.318;36.600;-2.459;15.447;34.056;-0.427;20.517;20.419;-1.554;26.121;5.346;-2.800;22.901;6.873;9.388;19.385;8.430;24.313;19.344;6.965;25.675;18.377;6.259;32.389;17.915;5.636;35.241;16.962;5.313;37.477;16.213;5.117;38.997;19.428;7.875;25.637;19.164;8.636;32.243;18.399;9.002;36.546;17.128;9.254;39.602;16.208;9.547;41.464;18.883;8.952;25.571;19.420;10.973;32.476;19.019;11.815;37.055;17.937;12.330;39.838;17.022;12.788;41.769;18.843;9.804;25.223;18.897;13.574;31.702;18.097;15.210;35.153;17.249;16.011;37.493;16.342;16.662;39.423;18.291;10.895;25.572;18.535;14.589;26.655;18.651;16.768;29.038;18.675;19.513;28.848;0.000;0.000;0.000;-7.561;-12.271;-0.926;-9.534;-33.115;-0.312;-11.850;-57.583;0.409;-10.357;-101.688;-7.724;7.641;-12.324;-1.464;9.468;-33.170;-0.407;11.613;-57.640;0.834;10.824;-102.014;-8.008
946.000;37.840;-0.007;7.173;-0.165;-0.052;13.926;-0.308;-0.179;25.875;-0.543;-0.443;41.760;-1.205;-0.444;46.058;1.896;0.041;52.570;3.093;-6.696;56.749;4.372;6.974;56.594;2.624;-2.160;58.956;11.261;4.368;58.882;10.426;-1.905;36.543;-2.598;-16.056;34.581;-1.268;-20.828;21.440;-2.367;-26.102;6.917;-3.582;-23.394;6.820;8.930;-20.460;6.653;23.598;-21.524;5.377;24.553;-19.818;3.992;31.763;-18.871;4.164;34.046;-17.720;3.930;36.330;-16.748;4.179;37.668;-21.383;6.210;24.501;-20.467;6.472;31.987;-18.766;6.713;35.721;-17.209;6.935;38.243;-16.078;6.922;39.947;-20.201;7.252;23.998;-19.719;8.947;31.997;-18.106;9.518;35.651;-16.325;9.627;38.568;-15.290;9.808;40.461;-20.173;8.257;23.642;-18.824;11.069;31.074;-17.306;11.684;34.567;-16.085;12.000;37.088;-15.233;11.911;38.966;-19.035;8.830;25.345;-17.870;12.059;26.562;-16.459;13.622;28.429;-16.712;16.387;28.739;1.319;36.602;-2.465;15.456;34.064;-0.468;20.521;20.437;-1.519;26.120;5.376;-2.680;22.885;7.015;9.484;19.351;8.707;24.378;19.341;7.281;25.767;18.438;6.671;32.499;18.031;6.145;35.369;17.243;5.870;37.668;16.597;5.704;39.238;19.435;8.189;25.724;19.203;9.015;32.311;18.572;9.492;36.621;17.547;9.828;39.764;16.825;10.174;41.702;18.857;9.262;25.616;19.452;11.333;32.536;19.276;12.207;37.111;18.352;12.759;39.952;17.582;13.225;41.944;18.820;10.111;25.263;18.945;13.872;31.783;18.289;15.490;35.282;17.567;16.295;37.669;16.801;16.964;39.652;18.288;11.207;25.662;18.546;14.892;26.674;18.693;17.099;29.041;18.736;19.841;28.810;0.000;0.000;0.000;-7.561;-12.271;-0.926;-9.535;-33.115;-0.314;-11.851;-57.583;0.403;-10.362;-101.689;-7.730;7.640;-12.325;-1.463;9.467;-33.171;-0.411;11.612;-57.643;0.824;10.826;-102.014;-8.015
947.000;37.880;-0.006;7.175;-0.168;-0.050;13.931;-0.312;-0.177;25.883;-0.548;-0.457;41.768;-1.187;-0.457;46.053;1.918;0.031;52.548;3.131;-6.706;56.728;4.398;6.966;56.570;2.663;-2.177;58.944;11.288;4.352;58.868;10.460;-1.915;36.552;-2.586;-16.067;34.549;-1.218;-20.943;21.430;-2.160;-26.333;6.931;-3.202;-23.730;7.080;9.321;-20.939;7.223;24.007;-22.138;5.993;24.990;-20.374;4.652;32.163;-19.064;4.733;34.316;-16.946;4.306;35.704;-15.356;4.441;36.203;-21.921;6.808;24.905;-20.968;7.219;32.405;-18.809;7.136;35.912;-16.039;6.734;37.083;-14.094;6.225;37.457;-20.709;7.760;24.451;-20.073;9.716;32.297;-17.908;9.668;35.823;-15.195;8.963;37.761;-13.449;8.478;38.947;-20.591;8.780;24.044;-18.921;11.764;31.308;-17.124;12.406;34.662;-15.784;12.770;37.124;-14.908;12.783;38.994;-19.302;9.263;25.711;-17.822;12.375;26.904;-16.273;13.837;28.762;-16.253;16.619;29.016;1.310;36.614;-2.455;15.458;34.100;-0.482;20.565;20.481;-1.302;26.209;5.429;-2.208;22.913;7.339;9.895;19.308;9.370;24.718;19.413;8.036;26.156;18.765;7.644;32.933;18.663;7.256;35.832;18.307;7.060;38.248;17.992;6.922;39.919;19.503;8.943;26.086;19.470;9.944;32.634;19.222;10.597;36.951;18.976;11.049;40.256;18.864;11.519;42.297;18.778;10.076;25.873;19.658;12.251;32.795;20.065;13.192;37.319;19.809;13.795;40.287;19.584;14.307;42.400;18.756;10.919;25.502;19.077;14.741;32.049;18.886;16.302;35.645;18.661;17.117;38.126;18.380;17.811;40.225;18.195;11.908;25.966;18.439;15.617;26.869;18.661;17.901;29.167;18.611;20.632;28.835;0.000;0.000;0.000;-7.564;-12.270;-0.920;-9.538;-33.115;-0.295;-11.854;-57.586;0.438;-10.362;-101.686;-7.691;7.637;-12.327;-1.457;9.464;-33.173;-0.396;11.608;-57.645;0.849;10.821;-102.020;-7.981
948.000;37.920;-0.003;7.178;-0.177;-0.045;13.936;-0.318;-0.166;25.894;-0.536;-0.487;41.781;-1.110;-0.492;46.045;2.010;-0.001;52.521;3.258;-6.739;56.705;4.513;6.935;56.540;2.794;-2.216;58.926;11.406;4.314;58.847;10.586;-1.932;36.567;-2.531;-16.071;34.491;-1.084;-21.262;21.420;-1.615;-27.000;6.973;-2.201;-24.485;7.724;10.292;-21.826;8.577;24.969;-23.234;7.514;26.041;-21.442;6.411;33.210;-19.885;6.251;35.219;-17.473;5.536;34.643;-16.364;5.458;33.393;-22.839;8.245;25.876;-21.533;9.021;33.401;-18.536;8.301;36.066;-16.030;7.066;34.845;-15.009;6.232;33.282;-21.500;9.070;25.442;-20.181;11.266;32.897;-17.345;10.390;35.802;-14.498;8.495;35.810;-12.810;7.183;35.463;-21.236;10.013;24.966;-18.824;13.171;31.840;-16.528;13.660;34.909;-14.993;14.029;37.194;-13.971;14.053;38.988;-19.814;10.364;26.528;-17.698;13.151;27.537;-15.772;14.399;29.231;-15.349;17.161;29.246;1.293;36.637;-2.399;15.455;34.190;-0.412;20.675;20.589;-0.728;26.445;5.556;-1.078;23.034;7.997;10.907;19.292;10.703;25.594;19.603;9.522;27.115;19.808;9.596;33.860;20.265;9.573;36.739;20.544;9.647;39.174;20.733;9.658;40.870;19.648;10.425;26.979;20.223;11.847;33.395;20.592;12.787;37.576;21.474;13.488;40.725;22.085;14.070;42.645;18.817;11.506;26.695;20.291;14.158;33.376;21.453;15.357;37.648;22.072;16.134;40.529;22.516;16.762;42.575;18.725;12.322;26.277;19.517;16.504;32.586;19.925;18.146;36.168;20.499;19.056;38.551;20.998;19.843;40.576;18.156;13.272;26.748;18.282;17.039;27.392;18.615;19.488;29.504;18.359;22.179;28.986;0.000;0.000;0.000;-7.567;-12.269;-0.903;-9.545;-33.113;-0.243;-11.867;-57.582;0.531;-10.374;-101.686;-7.577;7.635;-12.332;-1.431;9.453;-33.171;-0.342;11.588;-57.635;0.936;10.804;-102.024;-7.877
949.000;37.960;-0.000;7.179;-0.186;-0.041;13.938;-0.316;-0.166;25.899;-0.491;-0.551;41.785;-1.028;-0.568;46.042;2.114;-0.086;52.509;3.409;-6.826;56.688;4.672;6.850;56.531;2.966;-2.311;58.885;11.578;4.220;58.810;10.763;-1.974;36.569;-2.462;-16.098;34.434;-0.907;-21.784;21.460;-0.705;-28.068;7.121;-0.482;-25.554;8.942;11.886;-22.889;10.991;26.468;-24.364;10.166;27.655;-22.489;9.419;34.786;-20.695;9.141;36.600;-19.208;8.414;34.762;-19.523;8.644;33.136;-23.866;10.807;27.420;-22.139;11.980;34.800;-18.797;10.588;36.558;-17.737;9.390;33.986;-18.244;9.049;32.034;-22.566;11.516;26.943;-20.592;13.922;33.822;-17.358;12.130;35.638;-15.432;9.681;34.367;-14.607;8.153;33.073;-22.196;12.357;26.385;-19.052;15.643;32.731;-16.251;15.562;35.388;-14.355;15.782;37.397;-13.119;15.716;39.050;-20.671;12.718;27.739;-18.142;15.240;28.443;-15.988;16.379;29.887;-15.293;19.043;29.412;1.250;36.651;-2.329;15.425;34.350;-0.278;20.777;20.789;0.235;26.692;5.801;0.801;23.201;9.075;12.562;19.374;12.836;26.985;19.859;11.802;28.599;20.947;12.730;35.128;21.904;13.288;37.800;22.644;13.818;40.062;23.146;14.175;41.652;19.822;12.683;28.361;21.117;14.868;34.425;21.963;16.374;38.314;23.547;17.471;41.033;24.516;18.311;42.693;18.961;13.765;28.002;21.042;17.140;34.154;22.623;18.891;38.043;23.854;20.030;40.572;24.725;20.958;42.348;18.801;14.528;27.512;20.078;19.330;33.280;20.975;21.185;36.632;22.126;22.270;38.701;23.106;23.140;40.504;18.272;15.437;27.946;18.294;19.264;28.187;18.774;21.930;29.963;18.408;24.561;29.246;0.000;0.000;0.000;-7.573;-12.267;-0.879;-9.563;-33.108;-0.175;-11.899;-57.574;0.653;-10.420;-101.695;-7.405;7.630;-12.340;-1.390;9.431;-33.171;-0.254;11.545;-57.625;1.079;10.763;-102.025;-7.707
