Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
857.000;34.280;0.048;7.148;-0.182;0.041;13.879;-0.358;-0.038;25.787;-0.675;-0.279;41.647;-1.774;-0.420;46.058;1.192;-0.092;52.664;2.143;-6.940;56.735;3.150;6.808;56.772;2.163;-2.820;58.810;10.334;3.745;58.828;9.863;-1.695;36.394;-3.073;-15.851;34.503;-2.295;-20.762;21.348;-3.331;-26.189;6.809;-4.477;-22.579;7.589;7.750;-18.498;8.508;22.164;-18.852;6.865;22.851;-16.279;4.561;29.529;-15.828;3.829;31.744;-15.319;2.577;33.963;-15.034;2.144;35.553;-18.982;7.693;22.963;-17.524;6.907;30.281;-15.858;6.995;34.032;-14.409;7.233;36.607;-13.337;7.264;38.349;-18.594;8.858;22.763;-17.643;9.542;30.772;-15.947;10.033;34.411;-13.972;10.323;37.163;-12.883;10.509;39.026;-18.826;9.905;22.572;-17.661;11.946;30.303;-15.585;12.477;33.500;-13.673;12.736;35.599;-12.176;12.660;37.019;-17.757;10.837;24.182;-17.903;14.040;26.043;-16.917;15.660;28.127;-18.160;17.978;29.073;1.523;36.459;-2.835;15.607;34.127;-0.317;20.785;20.497;-0.912;26.508;5.433;-1.569;21.362;7.047;9.973;15.385;8.702;24.193;15.115;7.134;25.278;13.104;5.468;31.489;12.097;4.293;33.999;10.901;3.504;35.963;9.975;2.949;37.284;15.274;8.025;25.404;14.138;7.786;31.921;12.501;7.420;35.967;10.561;7.291;38.674;9.305;7.347;40.353;14.761;9.192;25.448;14.433;10.055;32.551;12.976;10.143;36.964;11.256;10.275;39.451;9.947;10.469;41.191;14.864;10.084;25.244;14.274;12.700;32.152;12.802;13.589;35.699;11.565;13.911;37.962;10.380;14.208;39.826;14.408;11.112;25.664;14.607;14.544;27.385;14.376;16.192;30.182;14.429;18.892;30.713;0.000;0.000;0.000;-7.622;-12.214;-1.158;-9.924;-33.052;-0.455;-12.627;-57.514;0.370;-11.635;-101.697;-7.566;7.589;-12.386;-1.191;9.056;-33.226;-0.152;10.779;-57.691;1.068;9.524;-102.030;-7.868
858.000;34.320;0.048;7.147;-0.186;0.040;13.877;-0.366;-0.040;25.783;-0.692;-0.287;41.643;-1.795;-0.426;46.056;1.172;-0.096;52.665;2.122;-6.942;56.737;3.136;6.804;56.773;2.130;-2.812;58.817;10.314;3.752;58.834;9.833;-1.702;36.389;-3.092;-15.855;34.494;-2.301;-20.755;21.335;-3.330;-26.171;6.790;-4.467;-22.550;7.580;7.756;-18.457;8.509;22.165;-18.812;6.871;22.853;-16.238;4.573;29.524;-15.763;3.847;31.744;-15.258;2.594;33.961;-14.971;2.164;35.551;-18.944;7.699;22.966;-17.470;6.912;30.280;-15.794;7.007;34.027;-14.346;7.245;36.600;-13.265;7.286;38.336;-18.553;8.870;22.761;-17.595;9.545;30.769;-15.890;10.038;34.408;-13.916;10.331;37.160;-12.827;10.517;39.023;-18.788;9.914;22.572;-17.611;11.957;30.298;-15.523;12.482;33.497;-13.613;12.748;35.595;-12.121;12.687;37.020;-17.732;10.844;24.180;-17.853;14.045;26.038;-16.870;15.672;28.118;-18.111;17.989;29.065;1.517;36.455;-2.856;15.604;34.128;-0.349;20.787;20.501;-0.957;26.517;5.440;-1.628;21.391;7.052;9.923;15.441;8.706;24.151;15.172;7.136;25.238;13.167;5.459;31.450;12.161;4.286;33.962;10.970;3.490;35.925;10.047;2.933;37.247;15.333;8.027;25.366;14.206;7.774;31.881;12.561;7.407;35.925;10.615;7.272;38.632;9.367;7.328;40.317;14.813;9.189;25.409;14.493;10.047;32.511;13.034;10.124;36.924;11.307;10.259;39.408;9.996;10.447;41.146;14.914;10.081;25.206;14.339;12.692;32.118;12.880;13.561;35.671;11.644;13.867;37.940;10.468;14.152;39.812;14.463;11.112;25.637;14.663;14.535;27.358;14.438;16.184;30.154;14.478;18.885;30.678;0.000;0.000;0.000;-7.622;-12.215;-1.148;-9.922;-33.051;-0.447;-12.622;-57.511;0.375;-11.631;-101.694;-7.568;7.588;-12.386;-1.191;9.061;-33.226;-0.150;10.789;-57.689;1.071;9.537;-102.028;-7.865
859.000;34.360;0.046;7.145;-0.190;0.037;13.873;-0.376;-0.046;25.776;-0.715;-0.299;41.636;-1.822;-0.436;46.053;1.145;-0.107;52.667;2.093;-6.951;56.739;3.122;6.792;56.775;2.079;-2.802;58.826;10.287;3.761;58.843;9.789;-1.714;36.381;-3.116;-15.866;34.481;-2.308;-20.755;21.317;-3.325;-26.159;6.767;-4.450;-22.519;7.572;7.765;-18.403;8.518;22.166;-18.755;6.879;22.856;-16.175;4.600;29.529;-15.691;3.871;31.748;-15.186;2.624;33.966;-14.894;2.198;35.556;-18.887;7.708;22.967;-17.392;6.934;30.282;-15.708;7.037;34.025;-14.273;7.283;36.593;-13.170;7.335;38.315;-18.493;8.880;22.758;-17.534;9.564;30.767;-15.815;10.067;34.402;-13.847;10.365;37.148;-12.752;10.550;39.007;-18.734;9.924;22.571;-17.547;11.991;30.289;-15.463;12.507;33.493;-13.564;12.778;35.595;-12.070;12.711;37.018;-17.681;10.864;24.187;-17.800;14.060;26.027;-16.806;15.693;28.096;-18.056;18.002;29.052;1.505;36.448;-2.884;15.595;34.127;-0.394;20.785;20.503;-1.018;26.521;5.445;-1.708;21.429;7.059;9.856;15.519;8.716;24.101;15.256;7.151;25.190;13.257;5.472;31.407;12.253;4.305;33.919;11.069;3.512;35.888;10.145;2.963;37.213;15.418;8.042;25.317;14.304;7.789;31.836;12.657;7.429;35.877;10.699;7.290;38.582;9.451;7.349;40.267;14.890;9.202;25.364;14.590;10.057;32.463;13.123;10.134;36.874;11.395;10.286;39.354;10.086;10.474;41.094;14.990;10.094;25.161;14.438;12.698;32.073;12.984;13.555;35.631;11.750;13.849;37.904;10.586;14.122;39.785;14.554;11.123;25.589;14.762;14.547;27.314;14.553;16.194;30.101;14.576;18.895;30.628;0.000;0.000;0.000;-7.620;-12.217;-1.136;-9.914;-33.052;-0.432;-12.606;-57.510;0.395;-11.607;-101.693;-7.552;7.590;-12.385;-1.192;9.069;-33.224;-0.145;10.804;-57.688;1.084;9.558;-102.027;-7.848
860.000;34.400;0.045;7.144;-0.193;0.034;13.870;-0.384;-0.051;25.769;-0.734;-0.306;41.629;-1.847;-0.442;46.049;1.122;-0.116;52.666;2.071;-6.954;56.739;3.130;6.784;56.774;2.020;-2.770;58.832;10.273;3.790;58.849;9.742;-1.722;36.373;-3.137;-15.874;34.472;-2.310;-20.760;21.306;-3.318;-26.160;6.754;-4.431;-22.503;7.572;7.779;-18.370;8.534;22.172;-18.721;6.891;22.864;-16.126;4.624;29.534;-15.652;3.896;31.754;-15.132;2.645;33.969;-14.841;2.222;35.560;-18.851;7.720;22.975;-17.339;6.959;30.288;-15.628;7.077;34.019;-14.189;7.332;36.589;-13.089;7.388;38.312;-18.460;8.891;22.763;-17.486;9.595;30.771;-15.743;10.104;34.396;-13.755;10.422;37.129;-12.663;10.607;38.990;-18.703;9.940;22.575;-17.502;12.013;30.290;-15.429;12.517;33.501;-13.526;12.796;35.605;-12.032;12.729;37.028;-17.639;10.880;24.186;-17.760;14.079;26.027;-16.764;15.716;28.094;-18.017;18.024;29.048;1.497;36.441;-2.909;15.589;34.121;-0.436;20.785;20.499;-1.065;26.528;5.443;-1.762;21.454;7.072;9.807;15.566;8.749;24.060;15.312;7.202;25.152;13.320;5.517;31.368;12.315;4.366;33.887;11.126;3.583;35.859;10.207;3.042;37.189;15.477;8.092;25.280;14.359;7.844;31.797;12.707;7.494;35.834;10.742;7.371;38.526;9.479;7.413;40.200;14.944;9.232;25.326;14.659;10.109;32.418;13.163;10.218;36.823;11.429;10.376;39.294;10.115;10.577;41.029;15.043;10.124;25.120;14.499;12.747;32.026;13.047;13.591;35.589;11.829;13.897;37.863;10.656;14.167;39.739;14.608;11.155;25.522;14.824;14.598;27.251;14.615;16.247;30.039;14.652;18.947;30.568;0.000;0.000;0.000;-7.619;-12.218;-1.128;-9.909;-33.053;-0.417;-12.598;-57.510;0.418;-11.597;-101.693;-7.530;7.591;-12.384;-1.193;9.073;-33.224;-0.140;10.813;-57.688;1.096;9.571;-102.025;-7.843
861.000;34.440;0.044;7.143;-0.197;0.032;13.868;-0.392;-0.055;25.766;-0.750;-0.313;41.625;-1.867;-0.446;46.048;1.105;-0.119;52.666;2.057;-6.950;56.739;3.169;6.779;56.776;1.948;-2.709;58.837;10.276;3.847;58.855;9.693;-1.730;36.369;-3.154;-15.880;34.467;-2.312;-20.766;21.299;-3.310;-26.166;6.745;-4.414;-22.494;7.576;7.792;-18.344;8.550;22.180;-18.703;6.915;22.880;-16.091;4.652;29.536;-15.621;3.952;31.776;-15.100;2.712;33.991;-14.806;2.304;35.585;-18.835;7.743;22.992;-17.290;6.988;30.296;-15.537;7.129;34.006;-14.110;7.394;36.589;-13.030;7.439;38.325;-18.437;8.904;22.772;-17.439;9.611;30.776;-15.669;10.150;34.386;-13.661;10.480;37.107;-12.576;10.673;38.971;-18.681;9.955;22.584;-17.464;12.033;30.293;-15.397;12.530;33.504;-13.478;12.822;35.604;-11.981;12.767;37.024;-17.630;10.900;24.189;-17.730;14.101;26.029;-16.737;15.740;28.088;-17.983;18.050;29.048;1.489;36.437;-2.929;15.582;34.121;-0.472;20.803;20.503;-1.097;26.573;5.453;-1.787;21.498;7.107;9.777;15.608;8.816;24.026;15.354;7.278;25.128;13.372;5.592;31.340;12.363;4.444;33.862;11.159;3.671;35.830;10.228;3.128;37.152;15.518;8.169;25.253;14.396;7.937;31.768;12.735;7.586;35.799;10.748;7.479;38.473;9.467;7.511;40.133;14.985;9.299;25.290;14.691;10.205;32.377;13.161;10.338;36.769;11.402;10.484;39.224;10.070;10.690;40.944;15.081;10.190;25.080;14.518;12.838;31.979;13.067;13.671;35.541;11.843;13.970;37.817;10.654;14.237;39.683;14.632;11.224;25.473;14.828;14.677;27.189;14.596;16.334;29.990;14.605;19.039;30.496;0.000;0.000;0.000;-7.619;-12.219;-1.119;-9.909;-33.053;-0.403;-12.596;-57.510;0.437;-11.594;-101.691;-7.508;7.591;-12.385;-1.188;9.078;-33.223;-0.127;10.823;-57.686;1.120;9.591;-102.023;-7.819
862.000;34.480;0.043;7.142;-0.201;0.030;13.867;-0.400;-0.062;25.764;-0.765;-0.321;41.623;-1.888;-0.449;46.049;1.086;-0.114;52.670;2.045;-6.934;56.744;3.217;6.783;56.778;1.873;-2.629;58.841;10.286;3.921;58.858;9.644;-1.739;36.366;-3.172;-15.886;34.462;-2.315;-20.775;21.295;-3.307;-26.179;6.742;-4.403;-22.492;7.584;7.798;-18.326;8.569;22.180;-18.686;6.943;22.894;-16.031;4.699;29.543;-15.553;4.062;31.799;-15.081;2.880;34.053;-14.782;2.484;35.650;-18.826;7.769;23.008;-17.233;7.018;30.294;-15.446;7.252;33.985;-14.070;7.549;36.580;-13.028;7.623;38.339;-18.418;8.916;22.778;-17.395;9.633;30.772;-15.605;10.184;34.363;-13.610;10.529;37.080;-12.514;10.740;38.936;-18.666;9.966;22.587;-17.432;12.053;30.289;-15.347;12.554;33.499;-13.442;12.845;35.599;-11.955;12.780;37.030;-17.618;10.927;24.200;-17.704;14.116;26.017;-16.709;15.761;28.086;-17.952;18.074;29.043;1.481;36.434;-2.950;15.572;34.121;-0.510;20.833;20.515;-1.120;26.649;5.477;-1.794;21.548;7.159;9.758;15.628;8.904;23.997;15.367;7.340;25.091;13.447;5.702;31.332;12.369;4.590;33.870;10.892;4.020;35.722;9.713;3.645;36.896;15.520;8.234;25.212;14.457;8.008;31.741;12.732;7.658;35.752;10.457;7.587;38.218;8.968;7.700;39.690;14.995;9.399;25.259;14.704;10.294;32.340;13.076;10.395;36.709;11.071;10.556;38.982;9.508;10.762;40.496;15.093;10.291;25.051;14.530;12.910;31.941;13.054;13.659;35.486;11.596;13.858;37.637;10.172;14.070;39.339;14.631;11.313;25.457;14.683;14.789;27.145;14.270;16.433;29.944;13.991;19.118;30.477;0.000;0.000;0.000;-7.618;-12.221;-1.110;-9.904;-33.053;-0.387;-12.588;-57.509;0.462;-11.574;-101.688;-7.482;7.592;-12.384;-1.181;9.083;-33.222;-0.107;10.834;-57.683;1.154;9.615;-102.022;-7.781
863.000;34.520;0.042;7.140;-0.206;0.026;13.862;-0.409;-0.071;25.756;-0.779;-0.332;41.614;-1.909;-0.453;46.046;1.071;-0.102;52.671;2.038;-6.911;56.748;3.263;6.796;56.776;1.818;-2.553;58.840;10.301;3.992;58.853;9.611;-1.751;36.356;-3.189;-15.895;34.451;-2.304;-20.807;21.296;-3.275;-26.237;6.757;-4.347;-22.513;7.596;7.843;-18.301;8.579;22.216;-18.657;6.957;22.942;-15.966;4.819;29.610;-15.474;4.385;31.915;-15.030;3.400;34.262;-14.741;3.144;35.889;-18.809;7.782;23.054;-17.191;7.069;30.333;-15.322;7.478;33.970;-13.994;7.850;36.571;-13.006;8.014;38.354;-18.406;8.913;22.808;-17.335;9.696;30.779;-15.480;10.251;34.326;-13.513;10.664;37.050;-12.421;10.915;38.904;-18.648;9.966;22.615;-17.384;12.086;30.301;-15.285;12.593;33.499;-13.391;12.887;35.611;-11.917;12.823;37.055;-17.594;10.939;24.220;-17.681;14.134;26.026;-16.673;15.791;28.094;-17.918;18.102;29.052;1.468;36.425;-2.970;15.560;34.116;-0.555;20.915;20.537;-1.100;26.834;5.529;-1.704;21.609;7.239;9.818;15.533;9.027;24.043;15.272;7.408;25.117;13.420;5.948;31.392;11.917;5.216;33.929;9.696;5.382;34.949;8.021;5.629;35.159;15.394;8.308;25.216;14.501;8.126;31.807;12.148;7.866;35.536;8.974;8.107;36.654;6.931;8.456;36.974;14.887;9.519;25.306;14.555;10.476;32.322;12.315;10.469;36.416;9.490;10.615;37.616;7.327;10.811;37.864;14.973;10.411;25.094;14.351;13.013;31.890;12.562;13.480;35.234;10.420;13.357;36.660;8.345;13.309;37.472;14.508;11.436;25.492;14.007;14.967;27.025;12.856;16.351;29.827;11.699;18.715;30.629;0.000;0.000;0.000;-7.617;-12.222;-1.101;-9.899;-33.054;-0.368;-12.578;-57.508;0.492;-11.552;-101.687;-7.452;7.593;-12.385;-1.175;9.090;-33.221;-0.087;10.847;-57.681;1.189;9.638;-102.021;-7.745
864.000;34.560;0.041;7.139;-0.212;0.023;13.860;-0.420;-0.080;25.751;-0.800;-0.346;41.611;-1.914;-0.455;46.041;1.074;-0.084;52.667;2.054;-6.884;56.751;3.302;6.818;56.764;1.815;-2.502;58.834;10.327;4.041;58.840;9.617;-1.766;36.354;-3.196;-15.904;34.461;-2.258;-20.951;21.350;-3.130;-26.530;6.860;-4.095;-22.629;7.645;8.050;-18.204;8.563;22.378;-18.563;6.939;23.127;-15.781;4.947;29.772;-15.129;4.842;32.108;-14.584;4.248;34.552;-14.207;4.248;36.182;-18.714;7.764;23.236;-16.991;7.094;30.494;-15.011;7.599;34.041;-13.745;8.014;36.665;-12.805;8.224;38.469;-18.297;8.906;22.962;-17.125;9.713;30.914;-15.140;10.313;34.381;-13.162;10.727;37.098;-12.084;10.979;38.959;-18.530;9.954;22.768;-17.160;12.089;30.431;-15.015;12.595;33.604;-13.157;12.879;35.746;-11.699;12.818;37.207;-17.447;10.907;24.347;-17.490;14.124;26.160;-16.445;15.770;28.209;-17.653;18.088;29.197;1.454;36.423;-2.984;15.543;34.119;-0.598;21.147;20.607;-0.903;27.341;5.672;-1.240;21.681;7.454;10.103;15.075;9.354;24.155;14.851;7.655;25.254;12.811;6.496;31.500;10.616;6.227;33.619;8.381;6.849;32.855;7.503;7.315;31.468;14.871;8.570;25.291;13.842;8.660;31.968;10.451;8.482;34.855;7.353;8.775;33.589;6.005;9.029;32.002;14.338;9.803;25.431;13.667;11.073;32.239;10.381;10.977;35.503;7.375;10.881;34.822;5.753;10.890;33.357;14.342;10.688;25.177;13.266;13.451;31.676;10.897;13.677;34.496;8.395;13.127;34.572;6.314;12.750;33.870;13.849;11.747;25.480;12.367;15.157;26.627;10.383;15.931;29.341;8.187;17.364;30.174;0.000;0.000;0.000;-7.617;-12.223;-1.085;-9.895;-33.054;-0.338;-12.568;-57.508;0.539;-11.531;-101.687;-7.401;7.593;-12.385;-1.168;9.096;-33.221;-0.062;10.860;-57.680;1.237;9.658;-102.021;-7.696
865.000;34.600;0.041;7.140;-0.223;0.021;13.864;-0.436;-0.086;25.759;-0.816;-0.358;41.620;-1.905;-0.456;46.044;1.095;-0.069;52.662;2.100;-6.865;56.749;3.360;6.835;56.755;1.857;-2.473;58.821;10.383;4.069;58.824;9.665;-1.781;36.365;-3.192;-15.901;34.499;-2.163;-21.265;21.465;-2.644;-27.195;7.060;-3.175;-22.838;7.899;8.823;-17.879;8.879;22.981;-18.305;7.317;23.815;-15.295;5.459;30.373;-14.405;5.657;32.623;-13.623;5.471;35.077;-13.058;5.694;36.635;-18.446;8.145;23.917;-16.441;7.575;31.097;-14.307;8.091;34.528;-13.141;8.510;37.186;-12.240;8.739;39.008;-17.937;9.253;23.549;-16.518;10.210;31.448;-14.370;10.829;34.816;-12.427;11.213;37.561;-11.372;11.473;39.435;-18.143;10.301;23.338;-16.459;12.541;30.913;-14.218;13.044;34.037;-12.409;13.326;36.206;-11.001;13.254;37.715;-16.941;11.226;24.854;-16.836;14.494;26.600;-15.708;16.127;28.597;-16.748;18.534;29.562;1.440;36.434;-2.987;15.511;34.166;-0.615;21.588;20.802;-0.328;28.305;6.031;-0.010;21.702;8.005;10.824;13.921;10.139;24.311;13.831;8.473;25.545;11.007;7.424;31.423;8.120;6.935;32.416;7.237;7.398;30.193;7.903;7.958;28.726;13.664;9.368;25.487;11.664;9.777;31.975;7.451;9.095;33.461;5.997;8.919;30.479;6.584;8.870;28.466;12.962;10.485;25.511;11.033;12.175;31.802;6.872;11.384;33.681;5.032;10.681;31.308;4.987;10.445;29.135;12.818;11.323;25.157;10.322;14.367;30.949;7.300;14.066;32.876;5.409;12.853;31.640;4.380;12.029;29.843;12.085;12.334;25.210;9.478;15.177;25.715;6.878;15.277;28.061;4.178;15.584;28.495;0.000;0.000;0.000;-7.618;-12.225;-1.058;-9.892;-33.055;-0.282;-12.560;-57.507;0.630;-11.512;-101.687;-7.299;7.592;-12.388;-1.149;9.098;-33.221;-0.008;10.867;-57.677;1.332;9.676;-102.018;-7.591
