Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3842.000;153.680;0.018;7.160;-0.128;0.009;13.900;-0.280;-0.040;25.825;-0.588;-0.402;41.708;-1.221;-0.459;45.988;1.933;-0.155;52.454;3.278;-6.937;56.533;4.635;6.756;56.537;3.069;-2.509;58.484;11.670;4.030;58.486;10.922;-1.841;36.485;-2.615;-15.933;34.378;-1.168;-21.072;21.255;-2.041;-26.752;6.751;-3.007;-22.168;5.322;8.978;-17.045;3.557;23.050;-17.438;1.950;23.967;-14.187;0.066;30.457;-12.992;0.373;32.641;-11.877;0.138;34.938;-11.042;0.478;36.347;-17.494;2.791;24.050;-15.070;2.332;31.108;-13.226;2.999;34.662;-12.154;3.590;37.345;-11.428;3.911;39.230;-16.904;4.097;23.487;-15.004;4.937;31.463;-13.332;5.487;35.094;-11.766;5.988;38.007;-10.875;6.290;39.958;-17.143;5.124;23.300;-14.793;7.187;30.780;-12.776;7.840;34.016;-11.227;8.183;36.358;-10.058;8.131;38.060;-15.822;5.855;24.845;-15.074;9.145;26.138;-13.299;10.504;27.848;-13.475;13.014;29.063;1.384;36.563;-2.499;15.565;34.069;-0.365;21.032;20.515;-1.552;27.074;5.535;-2.864;22.040;5.922;8.884;16.265;6.072;23.304;16.182;4.492;24.436;14.487;2.762;30.732;13.447;1.724;33.340;12.257;1.025;35.286;11.266;0.635;36.618;16.245;5.397;24.550;15.231;5.125;31.050;13.827;4.718;35.185;12.211;4.387;38.099;11.148;4.338;39.906;15.612;6.406;24.565;15.261;7.433;31.666;14.098;7.384;36.159;12.632;7.350;38.806;11.474;7.441;40.657;15.570;7.298;24.341;14.829;9.998;31.265;13.742;10.767;34.953;13.023;11.083;37.444;12.273;11.323;39.529;15.087;8.312;24.725;14.875;11.787;26.385;14.709;13.602;29.018;14.479;16.335;29.231;0.000;0.000;0.000;-7.610;-12.241;-0.925;-9.713;-33.096;-0.390;-12.177;-57.580;0.233;-11.183;-101.742;-8.026;7.583;-12.335;-1.658;9.580;-33.170;-0.770;11.929;-57.627;0.272;11.452;-102.057;-8.784
3843.000;153.720;0.018;7.160;-0.130;0.009;13.900;-0.284;-0.040;25.825;-0.598;-0.404;41.708;-1.236;-0.461;45.989;1.916;-0.156;52.457;3.259;-6.937;56.537;4.621;6.755;56.540;3.043;-2.503;58.490;11.651;4.036;58.492;10.897;-1.842;36.484;-2.629;-15.931;34.373;-1.185;-21.061;21.247;-2.059;-26.732;6.740;-3.024;-22.140;5.320;8.958;-17.006;3.568;23.028;-17.401;1.922;23.933;-14.139;0.095;30.440;-12.945;0.389;32.613;-11.819;0.155;34.909;-10.982;0.492;36.317;-17.441;2.764;24.007;-15.034;2.353;31.084;-13.197;3.011;34.636;-12.106;3.616;37.322;-11.384;3.930;39.209;-16.877;4.094;23.466;-14.954;4.959;31.439;-13.314;5.533;35.069;-11.710;6.023;37.985;-10.839;6.319;39.945;-17.112;5.124;23.275;-14.748;7.204;30.759;-12.746;7.855;33.997;-11.176;8.254;36.312;-10.029;8.167;38.027;-15.787;5.882;24.842;-15.041;9.157;26.121;-13.267;10.512;27.837;-13.454;13.033;29.029;1.383;36.563;-2.513;15.564;34.072;-0.376;21.035;20.518;-1.555;27.081;5.538;-2.859;22.048;5.934;8.889;16.275;6.098;23.307;16.195;4.516;24.440;14.487;2.790;30.745;13.468;1.752;33.342;12.259;1.060;35.293;11.267;0.652;36.619;16.256;5.421;24.552;15.245;5.155;31.059;13.850;4.754;35.197;12.224;4.426;38.102;11.165;4.367;39.912;15.617;6.445;24.566;15.283;7.467;31.668;14.105;7.436;36.159;12.664;7.418;38.810;11.495;7.496;40.655;15.580;7.337;24.342;14.849;10.025;31.274;13.752;10.813;34.960;13.051;11.129;37.449;12.308;11.366;39.537;15.079;8.354;24.737;14.904;11.817;26.387;14.756;13.626;29.010;14.504;16.357;29.240;0.000;0.000;0.000;-7.610;-12.241;-0.923;-9.712;-33.097;-0.390;-12.176;-57.580;0.231;-11.179;-101.740;-8.028;7.583;-12.336;-1.654;9.580;-33.169;-0.765;11.928;-57.625;0.277;11.453;-102.054;-8.786
3844.000;153.760;0.018;7.158;-0.131;0.009;13.897;-0.288;-0.039;25.819;-0.608;-0.401;41.703;-1.246;-0.457;45.985;1.907;-0.151;52.454;3.250;-6.931;56.535;4.614;6.761;56.535;3.037;-2.496;58.482;11.646;4.042;58.481;10.893;-1.839;36.479;-2.639;-15.932;34.372;-1.191;-21.056;21.244;-2.059;-26.719;6.735;-3.020;-22.119;5.326;8.959;-16.977;3.585;23.024;-17.361;1.958;23.940;-14.114;0.139;30.436;-12.867;0.439;32.610;-11.756;0.186;34.894;-10.904;0.522;36.293;-17.410;2.799;24.018;-15.000;2.359;31.086;-13.153;3.031;34.628;-12.048;3.624;37.308;-11.295;3.950;39.181;-16.841;4.106;23.468;-14.922;4.976;31.438;-13.281;5.544;35.063;-11.676;6.034;37.981;-10.810;6.323;39.945;-17.073;5.139;23.274;-14.716;7.231;30.749;-12.728;7.879;34.000;-11.174;8.274;36.327;-10.019;8.197;38.036;-15.757;5.898;24.837;-15.007;9.179;26.119;-13.231;10.536;27.826;-13.420;13.051;29.029;1.385;36.557;-2.522;15.565;34.065;-0.388;21.034;20.511;-1.562;27.078;5.530;-2.859;22.052;5.934;8.892;16.288;6.106;23.312;16.209;4.537;24.452;14.468;2.796;30.753;13.462;1.772;33.348;12.250;1.080;35.298;11.261;0.672;36.627;16.280;5.441;24.566;15.263;5.165;31.063;13.842;4.776;35.199;12.199;4.474;38.096;11.151;4.405;39.912;15.626;6.458;24.570;15.287;7.467;31.676;14.141;7.439;36.168;12.685;7.439;38.818;11.502;7.521;40.653;15.593;7.350;24.347;14.853;10.041;31.282;13.747;10.807;34.980;13.050;11.126;37.454;12.314;11.366;39.544;15.103;8.350;24.725;14.919;11.830;26.390;14.779;13.638;29.017;14.545;16.370;29.254;0.000;0.000;0.000;-7.610;-12.241;-0.921;-9.712;-33.095;-0.387;-12.175;-57.577;0.235;-11.176;-101.743;-8.024;7.583;-12.336;-1.651;9.580;-33.171;-0.762;11.927;-57.628;0.282;11.451;-102.053;-8.788
3845.000;153.800;0.018;7.158;-0.133;0.012;13.897;-0.292;-0.030;25.819;-0.618;-0.384;41.703;-1.261;-0.437;45.987;1.891;-0.127;52.457;3.232;-6.903;56.543;4.596;6.789;56.532;3.017;-2.467;58.488;11.627;4.072;58.483;10.873;-1.825;36.479;-2.652;-15.917;34.378;-1.203;-21.044;21.250;-2.061;-26.710;6.740;-3.009;-22.103;5.342;8.969;-16.955;3.614;23.035;-17.352;2.006;23.954;-14.056;0.159;30.444;-12.841;0.463;32.599;-11.664;0.211;34.882;-10.821;0.549;36.286;-17.411;2.846;24.035;-14.967;2.393;31.094;-13.081;3.075;34.629;-11.978;3.668;37.298;-11.221;4.001;39.168;-16.812;4.148;23.472;-14.891;5.000;31.441;-13.241;5.603;35.065;-11.622;6.083;37.979;-10.744;6.378;39.937;-17.055;5.178;23.284;-14.683;7.267;30.754;-12.691;7.915;33.991;-11.173;8.257;36.338;-9.958;8.196;38.007;-15.735;5.935;24.848;-14.972;9.211;26.122;-13.205;10.563;27.819;-13.358;13.077;29.027;1.400;36.556;-2.536;15.577;34.057;-0.401;21.041;20.499;-1.567;27.080;5.515;-2.856;22.057;5.929;8.896;16.294;6.112;23.317;16.207;4.534;24.454;14.479;2.807;30.755;13.467;1.782;33.351;12.250;1.090;35.301;11.259;0.679;36.628;16.274;5.439;24.567;15.262;5.174;31.068;13.863;4.775;35.205;12.206;4.483;38.103;11.159;4.407;39.918;15.630;6.469;24.575;15.299;7.475;31.677;14.134;7.448;36.168;12.683;7.435;38.821;11.507;7.519;40.661;15.598;7.362;24.352;14.856;10.057;31.288;13.771;10.816;34.974;13.065;11.142;37.459;12.319;11.378;39.545;15.108;8.374;24.746;14.924;11.844;26.384;14.771;13.654;29.039;14.529;16.388;29.236;0.000;0.000;0.000;-7.611;-12.241;-0.920;-9.716;-33.096;-0.378;-12.183;-57.578;0.253;-11.188;-101.739;-8.004;7.583;-12.337;-1.650;9.579;-33.170;-0.757;11.927;-57.627;0.290;11.451;-102.053;-8.774
3846.000;153.840;0.018;7.158;-0.134;0.012;13.896;-0.295;-0.029;25.817;-0.624;-0.382;41.701;-1.271;-0.435;45.986;1.880;-0.124;52.456;3.219;-6.900;56.543;4.584;6.792;56.531;3.004;-2.462;58.487;11.615;4.076;58.481;10.860;-1.823;36.477;-2.660;-15.914;34.377;-1.210;-21.042;21.249;-2.057;-26.711;6.738;-2.994;-22.095;5.351;8.980;-16.935;3.637;23.041;-17.327;2.027;23.967;-14.043;0.196;30.451;-12.806;0.476;32.612;-11.665;0.256;34.894;-10.794;0.589;36.283;-17.385;2.867;24.047;-14.948;2.417;31.109;-13.071;3.104;34.645;-11.961;3.719;37.317;-11.227;4.055;39.196;-16.805;4.151;23.486;-14.865;5.053;31.448;-13.225;5.642;35.073;-11.627;6.133;37.992;-10.745;6.438;39.946;-17.039;5.178;23.291;-14.672;7.296;30.756;-12.673;7.955;33.998;-11.152;8.304;36.348;-9.965;8.253;38.036;-15.713;5.954;24.843;-14.962;9.237;26.117;-13.177;10.600;27.827;-13.380;13.120;29.018;1.401;36.554;-2.545;15.579;34.051;-0.414;21.040;20.491;-1.574;27.076;5.503;-2.856;22.056;5.926;8.896;16.299;6.121;23.319;16.216;4.566;24.463;14.500;2.816;30.753;13.478;1.793;33.359;12.281;1.114;35.318;11.284;0.717;36.645;16.290;5.470;24.580;15.274;5.179;31.069;13.881;4.807;35.213;12.261;4.489;38.121;11.198;4.427;39.928;15.641;6.472;24.577;15.312;7.497;31.680;14.165;7.469;36.174;12.701;7.469;38.826;11.538;7.558;40.675;15.609;7.365;24.352;14.874;10.070;31.287;13.805;10.819;34.972;13.091;11.154;37.452;12.335;11.405;39.534;15.115;8.385;24.747;14.945;11.855;26.386;14.796;13.670;29.044;14.586;16.407;29.242;0.000;0.000;0.000;-7.611;-12.241;-0.918;-9.707;-33.097;-0.382;-12.164;-57.580;0.244;-11.150;-101.739;-8.021;7.583;-12.337;-1.649;9.587;-33.169;-0.757;11.944;-57.624;0.291;11.484;-102.045;-8.781
3847.000;153.880;0.019;7.157;-0.135;0.013;13.895;-0.297;-0.028;25.816;-0.628;-0.381;41.699;-1.273;-0.433;45.985;1.879;-0.122;52.457;3.220;-6.899;56.541;4.583;6.793;56.534;3.003;-2.463;58.491;11.613;4.076;58.488;10.858;-1.823;36.476;-2.663;-15.914;34.376;-1.212;-21.045;21.249;-2.058;-26.717;6.739;-2.994;-22.095;5.362;8.979;-16.929;3.654;23.040;-17.319;2.047;23.964;-14.019;0.217;30.448;-12.778;0.509;32.605;-11.630;0.283;34.891;-10.762;0.617;36.281;-17.376;2.887;24.044;-14.922;2.457;31.097;-13.048;3.138;34.634;-11.942;3.735;37.304;-11.187;4.072;39.174;-16.782;4.190;23.476;-14.862;5.053;31.446;-13.217;5.679;35.065;-11.575;6.162;37.971;-10.679;6.486;39.916;-17.027;5.216;23.285;-14.666;7.322;30.748;-12.664;7.984;33.990;-11.118;8.368;36.314;-9.925;8.302;37.998;-15.693;5.975;24.840;-14.961;9.268;26.100;-13.183;10.623;27.816;-13.328;13.158;28.983;1.402;36.552;-2.548;15.581;34.053;-0.417;21.039;20.492;-1.579;27.071;5.504;-2.864;22.052;5.929;8.889;16.297;6.125;23.311;16.218;4.568;24.455;14.490;2.819;30.743;13.474;1.792;33.352;12.257;1.115;35.311;11.285;0.708;36.653;16.295;5.472;24.572;15.272;5.178;31.062;13.868;4.795;35.203;12.214;4.496;38.100;11.172;4.439;39.920;15.634;6.481;24.567;15.313;7.499;31.673;14.151;7.476;36.171;12.675;7.452;38.812;11.520;7.547;40.666;15.602;7.374;24.344;14.877;10.074;31.281;13.803;10.842;34.955;13.100;11.159;37.449;12.333;11.399;39.527;15.115;8.389;24.742;14.942;11.854;26.392;14.807;13.671;29.047;14.559;16.405;29.227;0.000;0.000;0.000;-7.611;-12.241;-0.917;-9.707;-33.097;-0.377;-12.164;-57.580;0.253;-11.150;-101.741;-8.001;7.583;-12.337;-1.649;9.588;-33.170;-0.754;11.945;-57.625;0.295;11.484;-102.046;-8.781
3848.000;153.920;0.019;7.157;-0.135;0.013;13.895;-0.300;-0.027;25.816;-0.636;-0.381;41.699;-1.286;-0.433;45.985;1.865;-0.119;52.457;3.205;-6.897;56.542;4.568;6.795;56.536;2.985;-2.458;58.493;11.596;4.080;58.490;10.840;-1.823;36.475;-2.674;-15.912;34.374;-1.219;-21.050;21.248;-2.060;-26.728;6.741;-2.989;-22.100;5.372;8.982;-16.928;3.677;23.039;-17.314;2.066;23.965;-14.018;0.232;30.447;-12.783;0.540;32.607;-11.617;0.312;34.890;-10.743;0.653;36.274;-17.368;2.907;24.043;-14.924;2.497;31.097;-13.054;3.151;34.643;-11.951;3.745;37.312;-11.180;4.093;39.174;-16.806;4.196;23.481;-14.870;5.087;31.446;-13.186;5.697;35.067;-11.601;6.164;37.985;-10.683;6.494;39.918;-17.046;5.226;23.286;-14.666;7.348;30.747;-12.679;8.027;33.988;-11.111;8.449;36.302;-9.922;8.382;37.988;-15.691;6.001;24.846;-14.961;9.288;26.091;-13.180;10.652;27.808;-13.341;13.188;28.971;1.402;36.552;-2.560;15.582;34.052;-0.435;21.034;20.490;-1.599;27.060;5.501;-2.886;22.050;5.931;8.869;16.305;6.132;23.297;16.222;4.555;24.431;14.487;2.819;30.731;13.479;1.782;33.323;12.249;1.095;35.274;11.261;0.685;36.602;16.291;5.460;24.545;15.283;5.178;31.046;13.858;4.756;35.180;12.175;4.464;38.058;11.100;4.414;39.858;15.646;6.482;24.556;15.316;7.499;31.659;14.156;7.455;36.155;12.653;7.422;38.781;11.469;7.522;40.616;15.614;7.375;24.333;14.869;10.072;31.274;13.802;10.851;34.934;13.075;11.145;37.432;12.326;11.388;39.517;15.139;8.381;24.719;14.953;11.860;26.369;14.810;13.681;29.031;14.569;16.416;29.215;0.000;0.000;0.000;-7.611;-12.241;-0.915;-9.707;-33.094;-0.377;-12.163;-57.575;0.251;-11.149;-101.739;-8.005;7.582;-12.337;-1.649;9.588;-33.169;-0.754;11.946;-57.623;0.297;11.484;-102.048;-8.779
3849.000;153.960;0.019;7.157;-0.137;0.013;13.895;-0.305;-0.027;25.816;-0.651;-0.379;41.698;-1.311;-0.430;45.987;1.841;-0.119;52.458;3.184;-6.897;56.541;4.549;6.794;56.537;2.964;-2.458;58.492;11.577;4.080;58.491;10.820;-1.822;36.474;-2.695;-15.913;34.378;-1.232;-21.059;21.254;-2.065;-26.747;6.749;-2.986;-22.117;5.384;8.986;-16.939;3.697;23.044;-17.335;2.082;23.966;-14.050;0.255;30.450;-12.785;0.553;32.594;-11.512;0.352;34.834;-10.558;0.707;36.161;-17.389;2.923;24.042;-14.970;2.501;31.107;-13.093;3.118;34.669;-11.885;3.726;37.287;-10.966;4.037;39.087;-16.805;4.241;23.479;-14.878;5.103;31.458;-13.250;5.668;35.096;-11.576;6.090;38.003;-10.650;6.395;39.937;-17.061;5.264;23.291;-14.681;7.364;30.764;-12.709;8.034;34.009;-11.150;8.457;36.328;-10.016;8.390;38.052;-15.699;6.016;24.849;-14.965;9.295;26.104;-13.192;10.649;27.813;-13.338;13.170;29.011;1.403;36.550;-2.581;15.580;34.049;-0.456;21.032;20.487;-1.622;27.057;5.498;-2.910;22.055;5.922;8.851;16.319;6.118;23.285;16.238;4.534;24.415;14.535;2.819;30.723;13.442;1.756;33.308;12.084;1.149;35.174;10.949;0.789;36.396;16.301;5.439;24.528;15.317;5.165;31.032;13.920;4.694;35.178;12.049;4.418;37.948;10.817;4.358;39.645;15.659;6.466;24.549;15.337;7.489;31.643;14.181;7.421;36.148;12.638;7.393;38.742;11.342;7.452;40.502;15.621;7.359;24.326;14.894;10.061;31.250;13.778;10.826;34.917;13.029;11.110;37.410;12.274;11.353;39.493;15.145;8.366;24.693;14.954;11.844;26.361;14.791;13.671;29.019;14.559;16.407;29.206;0.000;0.000;0.000;-7.611;-12.241;-0.912;-9.706;-33.093;-0.378;-12.161;-57.572;0.245;-11.146;-101.735;-8.020;7.582;-12.337;-1.650;9.588;-33.169;-0.754;11.947;-57.622;0.298;11.484;-102.046;-8.778
3850.000;154.000;0.019;7.156;-0.140;0.013;13.893;-0.312;-0.027;25.811;-0.668;-0.379;41.694;-1.332;-0.428;45.983;1.824;-0.115;52.453;3.177;-6.893;56.534;4.546;6.797;56.534;2.955;-2.452;58.484;11.573;4.086;58.484;10.813;-1.823;36.469;-2.714;-15.913;34.368;-1.246;-21.062;21.245;-2.071;-26.753;6.741;-2.983;-22.124;5.391;8.992;-16.948;3.720;23.054;-17.339;2.060;23.953;-14.033;0.272;30.449;-12.672;0.582;32.537;-10.746;0.514;34.240;-9.366;1.007;35.047;-17.365;2.903;24.017;-15.107;2.514;31.138;-13.123;2.862;34.714;-10.938;3.263;36.743;-9.364;3.369;38.044;-16.787;4.315;23.471;-14.961;5.077;31.485;-13.254;5.580;35.132;-11.147;5.831;37.730;-9.737;6.048;39.360;-17.061;5.341;23.292;-14.785;7.412;30.781;-12.980;8.199;34.108;-11.673;8.694;36.539;-10.654;8.759;38.333;-15.713;6.034;24.869;-14.958;9.306;26.148;-13.142;10.650;27.872;-13.353;13.174;29.052;1.402;36.546;-2.602;15.585;34.040;-0.480;21.028;20.480;-1.643;27.045;5.492;-2.928;22.080;5.917;8.852;16.386;6.113;23.312;16.330;4.511;24.445;14.516;2.770;30.713;12.996;1.677;33.125;10.845;1.506;34.206;9.174;1.593;34.539;16.392;5.416;24.563;15.427;5.119;31.050;13.946;4.665;35.185;11.301;4.482;37.280;9.449;4.550;38.261;15.739;6.453;24.580;15.463;7.452;31.667;14.272;7.330;36.184;12.364;7.258;38.561;10.687;7.324;39.961;15.700;7.347;24.359;14.968;10.027;31.271;13.787;10.793;34.936;13.045;11.105;37.421;12.322;11.378;39.511;15.213;8.363;24.732;14.988;11.847;26.390;14.780;13.684;28.990;14.479;16.414;29.164;0.000;0.000;0.000;-7.612;-12.241;-0.907;-9.704;-33.094;-0.377;-12.157;-57.574;0.241;-11.140;-101.738;-8.024;7.581;-12.338;-1.649;9.586;-33.170;-0.759;11.944;-57.625;0.286;11.479;-102.048;-8.792
