Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1420.000;56.800;0.042;7.220;-0.322;0.013;14.019;-0.576;-0.126;26.051;-0.965;-0.270;41.932;-1.742;-0.293;46.253;1.375;0.052;52.751;2.648;-6.864;56.762;3.396;6.908;56.925;2.870;-3.007;58.926;10.700;3.570;59.004;10.448;-1.775;36.716;-3.094;-15.729;35.131;-1.877;-21.275;22.280;-2.749;-27.404;8.077;-3.712;-22.089;7.565;8.006;-16.089;6.869;21.794;-16.430;5.262;22.777;-12.947;3.733;29.263;-12.028;4.020;31.459;-11.009;3.891;33.871;-10.331;4.142;35.378;-16.426;6.108;22.787;-13.713;6.092;29.801;-11.675;6.860;33.230;-10.409;7.512;35.825;-9.451;7.957;37.576;-15.894;7.453;22.192;-13.565;8.696;30.001;-11.739;9.334;33.541;-9.978;9.935;36.373;-9.065;10.329;38.297;-16.137;8.471;21.968;-13.413;10.927;29.204;-11.282;11.728;32.352;-9.706;12.299;34.632;-8.557;12.385;36.346;-14.732;9.269;23.428;-13.951;12.596;24.614;-12.275;13.910;26.045;-12.254;16.607;26.776;1.450;36.752;-2.967;15.562;34.191;-0.899;21.098;20.695;-2.099;27.217;5.778;-3.425;22.225;6.295;8.304;16.559;6.621;22.693;16.461;5.049;23.906;14.494;3.515;30.184;13.609;2.104;32.621;12.583;1.000;34.551;11.757;0.266;35.850;16.493;5.961;23.964;15.225;6.083;30.475;13.771;5.759;34.635;11.831;5.556;37.363;10.576;5.554;39.043;15.761;7.042;23.912;15.222;8.476;30.924;14.097;8.779;35.455;12.409;8.824;37.989;11.031;9.021;39.674;15.734;7.919;23.632;14.644;11.066;30.284;13.137;12.426;33.589;11.794;12.931;35.826;10.576;13.405;37.631;15.198;8.960;23.977;14.887;12.543;25.213;14.110;14.573;27.645;13.813;17.309;27.609;0.000;0.000;0.000;-7.658;-12.226;-0.691;-9.699;-32.981;0.506;-12.097;-57.346;1.911;-10.747;-101.494;-5.969;7.546;-12.419;-1.117;9.280;-33.122;0.407;11.315;-57.425;2.195;10.375;-101.805;-6.710
1421.000;56.840;0.042;7.220;-0.323;0.013;14.020;-0.577;-0.124;26.053;-0.966;-0.265;41.934;-1.739;-0.288;46.256;1.379;0.052;52.754;2.653;-6.862;56.767;3.409;6.909;56.928;2.867;-2.997;58.930;10.708;3.579;59.007;10.450;-1.771;36.719;-3.093;-15.727;35.136;-1.874;-21.272;22.284;-2.744;-27.400;8.079;-3.706;-22.084;7.569;8.010;-16.078;6.878;21.799;-16.425;5.270;22.781;-12.932;3.744;29.260;-11.919;4.037;31.456;-10.962;3.910;33.860;-10.278;4.188;35.361;-16.427;6.116;22.793;-13.711;6.093;29.798;-11.664;6.863;33.235;-10.406;7.524;35.819;-9.434;7.976;37.561;-15.890;7.449;22.201;-13.558;8.690;30.006;-11.721;9.339;33.539;-9.972;9.941;36.370;-9.057;10.342;38.291;-16.131;8.468;21.974;-13.406;10.928;29.209;-11.284;11.732;32.359;-9.711;12.293;34.635;-8.551;12.398;36.340;-14.732;9.265;23.428;-13.950;12.603;24.617;-12.263;13.911;26.082;-12.251;16.621;26.763;1.454;36.754;-2.966;15.561;34.189;-0.902;21.096;20.694;-2.110;27.214;5.780;-3.446;22.227;6.291;8.286;16.567;6.610;22.677;16.473;5.011;23.882;14.503;3.490;30.164;13.625;2.071;32.595;12.592;0.963;34.530;11.773;0.223;35.831;16.503;5.923;23.936;15.224;6.062;30.459;13.765;5.721;34.612;11.830;5.527;37.344;10.575;5.522;39.024;15.768;7.017;23.903;15.230;8.445;30.913;14.075;8.747;35.439;12.402;8.787;37.974;11.018;8.972;39.655;15.736;7.895;23.624;14.656;11.035;30.268;13.114;12.385;33.585;11.788;12.889;35.809;10.550;13.323;37.611;15.206;8.950;23.972;14.884;12.530;25.209;14.119;14.550;27.639;13.816;17.285;27.610;0.000;0.000;0.000;-7.659;-12.226;-0.688;-9.699;-32.980;0.510;-12.098;-57.343;1.915;-10.748;-101.490;-5.973;7.545;-12.419;-1.114;9.278;-33.121;0.420;11.312;-57.422;2.222;10.374;-101.803;-6.695
1422.000;56.880;0.042;7.220;-0.325;0.014;14.019;-0.581;-0.123;26.052;-0.973;-0.265;41.933;-1.745;-0.286;46.255;1.376;0.063;52.752;2.656;-6.850;56.766;3.419;6.921;56.925;2.864;-2.977;58.929;10.714;3.599;59.005;10.449;-1.771;36.718;-3.098;-15.726;35.135;-1.879;-21.269;22.283;-2.752;-27.395;8.079;-3.716;-22.081;7.563;7.999;-16.079;6.867;21.785;-16.423;5.292;22.772;-12.927;3.729;29.241;-11.937;4.068;31.430;-10.906;3.903;33.828;-10.205;4.167;35.323;-16.440;6.137;22.794;-13.697;6.083;29.791;-11.664;6.857;33.220;-10.403;7.514;35.806;-9.429;7.942;37.552;-15.890;7.445;22.188;-13.559;8.669;29.995;-11.725;9.325;33.530;-9.982;9.923;36.361;-9.038;10.311;38.271;-16.136;8.467;21.965;-13.407;10.917;29.198;-11.278;11.723;32.346;-9.709;12.284;34.633;-8.572;12.359;36.354;-14.743;9.272;23.431;-13.950;12.591;24.605;-12.262;13.905;26.040;-12.259;16.599;26.780;1.454;36.753;-2.972;15.566;34.188;-0.909;21.100;20.692;-2.122;27.216;5.775;-3.462;22.234;6.281;8.273;16.581;6.593;22.667;16.479;5.009;23.874;14.517;3.471;30.149;13.634;2.056;32.583;12.609;0.945;34.513;11.780;0.199;35.804;16.510;5.921;23.931;15.235;6.038;30.448;13.774;5.700;34.603;11.842;5.510;37.327;10.570;5.487;38.995;15.815;7.002;23.879;15.231;8.426;30.904;14.102;8.706;35.433;12.400;8.757;37.964;11.022;8.949;39.650;15.784;7.879;23.600;14.662;11.014;30.265;13.137;12.337;33.586;11.780;12.853;35.807;10.556;13.304;37.613;15.222;8.938;23.970;14.896;12.513;25.197;14.130;14.536;27.638;13.838;17.272;27.611;0.000;0.000;0.000;-7.659;-12.226;-0.684;-9.695;-32.980;0.512;-12.088;-57.344;1.916;-10.729;-101.493;-5.979;7.545;-12.420;-1.112;9.284;-33.121;0.428;11.326;-57.423;2.236;10.398;-101.800;-6.703
1423.000;56.920;0.042;7.220;-0.327;0.014;14.020;-0.586;-0.122;26.053;-0.981;-0.259;41.934;-1.754;-0.277;46.256;1.367;0.076;52.753;2.648;-6.831;56.775;3.421;6.939;56.917;2.853;-2.948;58.926;10.715;3.628;58.993;10.443;-1.767;36.719;-3.107;-15.723;35.138;-1.884;-21.266;22.287;-2.760;-27.392;8.083;-3.729;-22.077;7.561;7.988;-16.074;6.860;21.776;-16.422;5.278;22.762;-12.904;3.723;29.218;-11.799;4.045;31.395;-10.792;3.890;33.763;-10.062;4.170;35.241;-16.442;6.124;22.786;-13.706;6.056;29.772;-11.655;6.829;33.203;-10.389;7.489;35.794;-9.423;7.924;37.543;-15.885;7.437;22.173;-13.551;8.657;29.984;-11.719;9.290;33.517;-9.942;9.901;36.343;-9.033;10.273;38.273;-16.143;8.457;21.955;-13.401;10.889;29.189;-11.275;11.693;32.337;-9.712;12.257;34.622;-8.575;12.333;36.343;-14.757;9.255;23.420;-13.953;12.573;24.593;-12.255;13.883;26.061;-12.264;16.589;26.757;1.458;36.753;-2.981;15.566;34.180;-0.923;21.095;20.686;-2.139;27.206;5.771;-3.484;22.226;6.278;8.251;16.575;6.591;22.645;16.495;5.010;23.851;14.510;3.461;30.129;13.652;2.060;32.565;12.616;0.949;34.492;11.785;0.199;35.780;16.528;5.922;23.908;15.238;6.043;30.428;13.770;5.693;34.580;11.831;5.511;37.304;10.575;5.500;38.984;15.811;6.988;23.865;15.237;8.430;30.883;14.095;8.711;35.409;12.402;8.757;37.939;11.012;8.943;39.615;15.774;7.865;23.586;14.668;11.026;30.243;13.135;12.368;33.549;11.791;12.865;35.777;10.554;13.315;37.575;15.221;8.930;23.942;14.902;12.508;25.188;14.130;14.535;27.631;13.841;17.271;27.593;0.000;0.000;0.000;-7.659;-12.226;-0.679;-9.695;-32.983;0.519;-12.089;-57.349;1.925;-10.726;-101.490;-5.977;7.545;-12.420;-1.107;9.283;-33.122;0.434;11.324;-57.423;2.243;10.391;-101.799;-6.706
1424.000;56.960;0.043;7.219;-0.328;0.015;14.018;-0.587;-0.120;26.049;-0.984;-0.263;41.930;-1.757;-0.280;46.253;1.365;0.078;52.751;2.649;-6.828;56.772;3.430;6.941;56.914;2.854;-2.942;58.916;10.723;3.634;58.984;10.448;-1.769;36.715;-3.110;-15.725;35.131;-1.884;-21.264;22.279;-2.763;-27.385;8.073;-3.734;-22.070;7.550;7.981;-16.065;6.847;21.767;-16.422;5.275;22.757;-12.878;3.720;29.202;-11.771;4.039;31.353;-10.640;3.887;33.712;-9.935;4.183;35.200;-16.451;6.120;22.784;-13.696;6.045;29.763;-11.653;6.821;33.197;-10.398;7.481;35.795;-9.419;7.916;37.537;-15.906;7.397;22.175;-13.528;8.662;29.970;-11.706;9.290;33.506;-9.953;9.890;36.335;-9.032;10.261;38.260;-16.138;8.421;21.946;-13.402;10.882;29.181;-11.293;11.688;32.340;-9.729;12.266;34.621;-8.593;12.359;36.343;-14.764;9.224;23.393;-13.948;12.566;24.599;-12.265;13.871;26.044;-12.255;16.577;26.743;1.456;36.750;-2.985;15.568;34.187;-0.930;21.103;20.693;-2.145;27.221;5.779;-3.489;22.244;6.288;8.248;16.597;6.602;22.645;16.506;5.020;23.849;14.552;3.482;30.133;13.687;2.074;32.574;12.655;0.951;34.502;11.840;0.208;35.803;16.538;5.932;23.905;15.269;6.040;30.429;13.789;5.707;34.580;11.859;5.510;37.306;10.597;5.495;38.981;15.799;7.018;23.868;15.267;8.426;30.884;14.111;8.723;35.407;12.406;8.758;37.933;11.024;8.943;39.616;15.766;7.895;23.591;14.685;11.033;30.243;13.146;12.351;33.554;11.811;12.883;35.775;10.565;13.319;37.570;15.255;8.938;23.944;14.918;12.512;25.189;14.146;14.540;27.630;13.848;17.275;27.595;0.000;0.000;0.000;-7.660;-12.226;-0.679;-9.696;-32.983;0.521;-12.091;-57.349;1.928;-10.727;-101.500;-5.987;7.544;-12.421;-1.108;9.283;-33.122;0.433;11.324;-57.424;2.242;10.392;-101.799;-6.710
1425.000;57.000;0.043;7.219;-0.329;0.015;14.017;-0.590;-0.118;26.047;-0.988;-0.252;41.928;-1.760;-0.264;46.252;1.366;0.098;52.751;2.655;-6.802;56.782;3.445;6.968;56.903;2.854;-2.904;58.916;10.736;3.672;58.974;10.454;-1.762;36.714;-3.112;-15.717;35.135;-1.878;-21.259;22.284;-2.764;-27.385;8.082;-3.744;-22.064;7.555;7.969;-16.054;6.847;21.754;-16.410;5.254;22.743;-12.843;3.736;29.183;-11.710;4.066;31.319;-10.528;3.915;33.639;-9.771;4.240;35.094;-16.438;6.099;22.767;-13.694;6.036;29.748;-11.633;6.828;33.175;-10.360;7.475;35.771;-9.395;7.916;37.519;-15.884;7.380;22.166;-13.514;8.660;29.953;-11.682;9.275;33.490;-9.916;9.892;36.316;-8.987;10.272;38.235;-16.117;8.400;21.936;-13.387;10.884;29.165;-11.285;11.689;32.322;-9.718;12.274;34.612;-8.600;12.352;36.346;-14.758;9.229;23.386;-13.940;12.564;24.583;-12.248;13.876;26.022;-12.270;16.572;26.756;1.464;36.747;-2.989;15.571;34.176;-0.946;21.099;20.678;-2.161;27.209;5.759;-3.503;22.244;6.265;8.241;16.610;6.577;22.649;16.530;4.988;23.851;14.576;3.461;30.144;13.719;2.042;32.571;12.695;0.932;34.507;11.878;0.178;35.801;16.560;5.900;23.906;15.294;6.022;30.432;13.818;5.683;34.583;11.888;5.478;37.305;10.634;5.461;38.987;15.812;6.993;23.874;15.281;8.417;30.886;14.136;8.679;35.411;12.422;8.724;37.932;11.040;8.910;39.615;15.779;7.871;23.597;14.703;11.012;30.240;13.174;12.307;33.565;11.818;12.834;35.774;10.572;13.273;37.570;15.248;8.918;23.949;14.930;12.489;25.194;14.166;14.513;27.650;13.876;17.249;27.613;0.000;0.000;0.000;-7.661;-12.226;-0.673;-9.693;-32.981;0.527;-12.083;-57.346;1.937;-10.713;-101.488;-5.993;7.543;-12.421;-1.110;9.286;-33.121;0.432;11.332;-57.422;2.243;10.403;-101.797;-6.704
1426.000;57.040;0.043;7.219;-0.330;0.016;14.016;-0.592;-0.116;26.047;-0.992;-0.250;41.928;-1.760;-0.259;46.252;1.369;0.107;52.751;2.665;-6.790;56.786;3.464;6.979;56.900;2.856;-2.882;58.919;10.749;3.693;58.974;10.459;-1.762;36.714;-3.112;-15.714;35.135;-1.858;-21.257;22.286;-2.741;-27.384;8.084;-3.716;-22.052;7.547;7.993;-16.031;6.829;21.771;-16.385;5.254;22.760;-12.799;3.723;29.188;-11.590;4.051;31.308;-10.376;3.939;33.590;-9.532;4.263;34.996;-16.425;6.098;22.790;-13.668;6.032;29.770;-11.593;6.797;33.189;-10.305;7.451;35.778;-9.332;7.878;37.526;-15.836;7.383;22.174;-13.509;8.631;29.973;-11.631;9.262;33.493;-9.836;9.882;36.307;-8.900;10.272;38.221;-16.080;8.407;21.946;-13.379;10.856;29.190;-11.270;11.677;32.355;-9.801;12.193;34.692;-8.670;12.285;36.417;-14.725;9.209;23.407;-13.901;12.537;24.606;-12.236;13.849;26.039;-12.204;16.548;26.761;1.464;36.747;-2.992;15.577;34.174;-0.967;21.101;20.674;-2.178;27.207;5.753;-3.516;22.262;6.239;8.241;16.652;6.531;22.663;16.558;4.935;23.863;14.631;3.409;30.164;13.784;1.984;32.594;12.760;0.866;34.535;11.981;0.107;35.849;16.584;5.847;23.917;15.354;5.954;30.444;13.886;5.627;34.603;11.948;5.411;37.323;10.691;5.399;39.001;15.851;6.943;23.890;15.334;8.360;30.904;14.195;8.620;35.432;12.486;8.672;37.946;11.091;8.828;39.621;15.815;7.821;23.615;14.757;10.943;30.260;13.204;12.257;33.580;11.857;12.761;35.803;10.620;13.191;37.606;15.297;8.852;23.950;14.966;12.430;25.216;14.210;14.449;27.653;13.893;17.182;27.647;0.000;0.000;0.000;-7.662;-12.225;-0.663;-9.689;-32.981;0.541;-12.072;-57.346;1.955;-10.700;-101.487;-5.980;7.541;-12.422;-1.117;9.293;-33.120;0.426;11.349;-57.418;2.238;10.421;-101.794;-6.710
1427.000;57.080;0.043;7.217;-0.333;0.017;14.014;-0.597;-0.114;26.042;-1.000;-0.252;41.923;-1.767;-0.254;46.251;1.372;0.125;52.752;2.684;-6.768;56.796;3.468;7.002;56.894;2.868;-2.862;58.943;10.750;3.714;58.990;10.464;-1.765;36.709;-3.117;-15.719;35.155;-1.830;-21.249;22.309;-2.672;-27.361;8.111;-3.603;-22.002;7.564;8.102;-15.945;6.834;21.880;-16.254;5.239;22.841;-12.638;3.704;29.249;-11.378;4.019;31.357;-10.035;3.906;33.547;-9.074;4.255;34.870;-16.305;6.083;22.878;-13.569;5.982;29.861;-11.492;6.711;33.290;-10.108;7.340;35.844;-9.096;7.773;37.567;-15.797;7.375;22.300;-13.431;8.599;30.086;-11.529;9.189;33.599;-9.672;9.776;36.378;-8.692;10.136;38.275;-16.052;8.402;22.076;-13.343;10.817;29.333;-11.261;11.634;32.486;-9.706;12.199;34.784;-8.582;12.252;36.514;-14.656;9.212;23.542;-13.816;12.541;24.780;-12.102;13.818;26.238;-12.050;16.535;26.893;1.461;36.743;-3.002;15.578;34.173;-0.999;21.097;20.669;-2.202;27.196;5.744;-3.533;22.281;6.191;8.245;16.707;6.426;22.692;16.606;4.800;23.880;14.748;3.259;30.171;13.899;1.836;32.615;12.885;0.714;34.552;12.088;-0.035;35.861;16.623;5.713;23.932;15.442;5.814;30.478;13.959;5.457;34.623;12.002;5.236;37.329;10.724;5.206;38.992;15.955;6.817;23.920;15.418;8.195;30.940;14.296;8.467;35.477;12.551;8.496;37.974;11.140;8.625;39.638;15.914;7.695;23.646;14.838;10.793;30.316;13.266;12.060;33.654;11.910;12.518;35.875;10.675;12.935;37.683;15.345;8.748;23.998;15.015;12.312;25.289;14.281;14.306;27.748;13.944;17.037;27.757;0.000;0.000;0.000;-7.664;-12.225;-0.646;-9.689;-32.980;0.560;-12.069;-57.344;1.974;-10.705;-101.496;-5.975;7.539;-12.423;-1.121;9.298;-33.121;0.428;11.362;-57.419;2.245;10.427;-101.794;-6.707
1428.000;57.120;0.043;7.221;-0.339;0.019;14.021;-0.604;-0.105;26.056;-1.005;-0.242;41.938;-1.744;-0.236;46.259;1.415;0.153;52.750;2.770;-6.735;56.824;3.436;7.041;56.870;3.007;-2.912;59.015;10.750;3.667;59.037;10.545;-1.757;36.727;-3.101;-15.715;35.235;-1.784;-21.222;22.372;-2.432;-27.308;8.156;-3.147;-21.847;7.713;8.528;-15.644;7.109;22.280;-15.832;5.419;23.148;-12.065;3.861;29.509;-10.820;4.074;31.589;-8.854;4.077;33.337;-7.558;4.495;34.306;-15.915;6.259;23.209;-13.267;6.077;30.215;-11.193;6.702;33.706;-8.992;7.271;35.697;-7.340;7.598;36.857;-15.521;7.698;22.709;-13.271;8.658;30.560;-11.315;9.106;34.131;-8.818;9.641;36.413;-7.308;9.904;37.944;-15.878;8.694;22.540;-13.323;10.965;29.880;-11.284;11.765;33.076;-9.826;12.325;35.437;-8.702;12.438;37.165;-14.502;9.541;24.115;-13.424;12.780;25.368;-11.466;13.817;26.744;-10.923;16.402;27.655;1.468;36.760;-2.991;15.592;34.193;-0.999;21.101;20.690;-2.220;27.190;5.765;-3.569;22.318;6.095;8.248;16.779;6.192;22.747;16.746;4.601;23.909;14.907;2.890;30.176;14.073;1.435;32.607;13.071;0.305;34.533;12.267;-0.447;35.836;16.766;5.511;23.986;15.594;5.456;30.521;14.013;5.021;34.632;11.907;4.749;37.229;10.563;4.703;38.839;16.013;6.553;24.011;15.536;7.835;31.019;14.337;7.981;35.544;12.483;7.964;37.961;10.990;8.026;39.556;15.956;7.435;23.752;14.908;10.397;30.445;13.259;11.489;33.797;11.816;11.844;36.000;10.536;12.168;37.795;15.405;8.473;24.107;15.016;11.986;25.508;14.237;13.884;28.048;13.839;16.604;28.171;0.000;0.000;0.000;-7.662;-12.227;-0.631;-9.682;-32.981;0.584;-12.057;-57.343;2.011;-10.688;-101.482;-5.954;7.541;-12.423;-1.109;9.304;-33.119;0.447;11.374;-57.416;2.274;10.439;-101.791;-6.684
