Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
614.000;24.560;0.039;7.159;-0.253;0.084;13.900;-0.476;0.174;25.827;-0.851;-0.101;41.701;-1.722;-0.237;46.002;1.334;0.024;52.459;2.546;-6.821;56.477;3.768;6.891;56.617;2.380;-2.507;58.557;10.837;4.040;58.624;10.174;-1.523;36.464;-3.081;-15.684;34.461;-2.039;-20.863;21.344;-2.965;-26.588;6.845;-3.987;-22.180;5.845;8.074;-17.246;4.600;22.238;-17.837;3.032;23.122;-15.025;0.949;29.807;-14.050;0.903;32.096;-13.302;0.332;34.475;-12.634;0.411;36.006;-17.801;3.876;23.174;-15.788;3.393;30.391;-13.917;3.660;34.039;-12.090;3.942;36.393;-10.787;3.940;37.970;-17.086;5.042;22.740;-15.451;5.960;30.728;-13.887;6.055;34.501;-11.722;6.195;37.073;-10.398;6.142;38.785;-17.172;6.085;22.501;-15.003;8.248;29.990;-13.161;8.734;33.321;-11.351;8.856;35.483;-9.888;8.635;36.922;-15.927;6.825;24.085;-14.973;10.047;25.457;-13.317;11.466;27.274;-13.710;14.080;28.177;1.698;36.531;-2.875;15.783;33.954;-0.439;21.370;20.433;-1.349;27.544;5.489;-2.355;21.870;4.981;9.148;15.395;4.076;23.221;15.365;2.424;24.397;13.833;0.923;30.802;12.690;-0.117;33.379;11.051;-0.573;35.071;9.696;-0.847;36.070;15.400;3.335;24.471;14.751;3.299;31.015;13.275;3.083;35.166;10.921;2.962;37.542;9.256;3.004;38.816;14.695;4.388;24.512;14.817;5.683;31.501;13.907;5.806;36.094;11.831;5.815;38.377;10.009;5.935;39.580;14.628;5.271;24.259;14.339;8.250;31.013;13.505;9.278;34.602;12.095;9.404;36.809;10.614;9.524;38.471;14.171;6.238;24.566;14.020;9.777;26.039;13.914;11.643;28.749;13.570;14.373;28.808;0.000;0.000;0.000;-7.593;-12.257;-0.851;-9.592;-33.134;-0.160;-11.938;-57.642;0.652;-10.477;-101.891;-7.519;7.613;-12.367;-1.231;9.197;-33.253;0.138;11.057;-57.771;1.746;9.945;-102.172;-7.009
615.000;24.600;0.041;7.159;-0.252;0.089;13.899;-0.473;0.184;25.825;-0.847;-0.089;41.700;-1.708;-0.229;46.001;1.351;0.029;52.459;2.566;-6.815;56.478;3.779;6.898;56.615;2.407;-2.510;58.559;10.853;4.039;58.624;10.197;-1.510;36.464;-3.072;-15.672;34.460;-2.048;-20.852;21.343;-2.989;-26.576;6.845;-4.028;-22.187;5.839;8.041;-17.274;4.587;22.213;-17.864;3.025;23.098;-15.065;0.936;29.781;-14.104;0.879;32.068;-13.350;0.311;34.455;-12.683;0.384;35.987;-17.829;3.868;23.152;-15.833;3.384;30.366;-13.956;3.643;34.012;-12.137;3.920;36.368;-10.823;3.907;37.935;-17.115;5.031;22.717;-15.489;5.943;30.706;-13.925;6.035;34.478;-11.770;6.163;37.053;-10.447;6.102;38.767;-17.203;6.074;22.478;-15.044;8.230;29.969;-13.199;8.711;33.303;-11.396;8.818;35.466;-9.918;8.622;36.894;-15.957;6.812;24.061;-15.005;10.033;25.437;-13.349;11.448;27.258;-13.742;14.063;28.162;1.711;36.531;-2.863;15.792;33.951;-0.411;21.375;20.428;-1.320;27.545;5.482;-2.324;21.859;4.969;9.173;15.369;4.058;23.238;15.334;2.411;24.417;13.784;0.901;30.822;12.652;-0.132;33.391;11.011;-0.587;35.084;9.658;-0.864;36.084;15.370;3.321;24.492;14.726;3.283;31.032;13.241;3.069;35.179;10.898;2.951;37.562;9.230;2.980;38.833;14.673;4.376;24.522;14.790;5.665;31.520;13.874;5.789;36.115;11.794;5.803;38.393;9.980;5.925;39.606;14.609;5.259;24.270;14.312;8.237;31.035;13.487;9.256;34.625;12.069;9.380;36.830;10.595;9.500;38.497;14.142;6.224;24.587;14.001;9.766;26.053;13.899;11.631;28.769;13.551;14.360;28.824;0.000;0.000;0.000;-7.596;-12.254;-0.860;-9.600;-33.132;-0.173;-11.953;-57.640;0.633;-10.498;-101.887;-7.544;7.611;-12.369;-1.227;9.188;-33.255;0.137;11.040;-57.773;1.738;9.922;-102.166;-7.035
616.000;24.640;0.043;7.158;-0.250;0.092;13.899;-0.471;0.189;25.824;-0.844;-0.086;41.700;-1.692;-0.229;45.999;1.370;0.029;52.459;2.588;-6.817;56.478;3.799;6.897;56.616;2.431;-2.514;58.559;10.874;4.035;58.625;10.220;-1.504;36.465;-3.062;-15.668;34.457;-2.049;-20.844;21.339;-3.005;-26.565;6.840;-4.061;-22.188;5.826;8.011;-17.289;4.566;22.188;-17.877;3.008;23.075;-15.085;0.916;29.759;-14.128;0.853;32.043;-13.378;0.287;34.429;-12.704;0.354;35.958;-17.845;3.852;23.130;-15.857;3.365;30.340;-13.977;3.611;33.985;-12.158;3.890;36.338;-10.840;3.877;37.902;-17.122;5.015;22.688;-15.509;5.912;30.683;-13.940;6.006;34.450;-11.786;6.130;37.025;-10.462;6.063;38.737;-17.213;6.058;22.452;-15.070;8.201;29.948;-13.224;8.680;33.282;-11.423;8.786;35.445;-9.946;8.573;36.872;-15.979;6.791;24.038;-15.022;10.007;25.416;-13.365;11.423;27.249;-13.769;14.040;28.142;1.716;36.532;-2.849;15.795;33.952;-0.387;21.378;20.429;-1.300;27.548;5.483;-2.309;21.853;4.964;9.184;15.351;4.045;23.244;15.315;2.397;24.421;13.751;0.881;30.826;12.626;-0.155;33.388;10.982;-0.611;35.082;9.627;-0.891;36.079;15.353;3.307;24.497;14.698;3.262;31.035;13.213;3.046;35.179;10.870;2.927;37.561;9.202;2.955;38.832;14.643;4.362;24.533;14.771;5.642;31.525;13.844;5.763;36.118;11.764;5.779;38.395;9.947;5.891;39.604;14.581;5.246;24.281;14.291;8.208;31.044;13.465;9.224;34.632;12.038;9.340;36.837;10.565;9.463;38.506;14.115;6.208;24.590;13.986;9.748;26.061;13.877;11.611;28.783;13.539;14.342;28.828;0.000;0.000;0.000;-7.597;-12.253;-0.870;-9.607;-33.130;-0.190;-11.967;-57.637;0.608;-10.518;-101.885;-7.571;7.610;-12.369;-1.226;9.180;-33.255;0.131;11.023;-57.774;1.724;9.898;-102.160;-7.065
617.000;24.680;0.043;7.158;-0.247;0.093;13.898;-0.468;0.192;25.822;-0.845;-0.082;41.698;-1.683;-0.226;45.997;1.382;0.031;52.458;2.602;-6.814;56.477;3.816;6.900;56.615;2.447;-2.510;58.554;10.891;4.039;58.620;10.238;-1.500;36.464;-3.057;-15.664;34.456;-2.053;-20.837;21.338;-3.022;-26.555;6.839;-4.094;-22.188;5.817;7.981;-17.300;4.549;22.161;-17.890;2.996;23.050;-15.104;0.904;29.738;-14.143;0.840;32.022;-13.396;0.262;34.401;-12.715;0.329;35.927;-17.862;3.840;23.107;-15.872;3.344;30.313;-13.989;3.589;33.961;-12.172;3.867;36.311;-10.854;3.866;37.874;-17.128;5.002;22.660;-15.552;5.882;30.662;-13.961;5.975;34.427;-11.786;6.096;37.001;-10.468;6.024;38.718;-17.219;6.045;22.425;-15.084;8.175;29.928;-13.247;8.652;33.260;-11.434;8.756;35.420;-9.957;8.534;36.846;-15.998;6.771;24.009;-15.035;9.985;25.399;-13.384;11.401;27.224;-13.787;14.013;28.133;1.720;36.531;-2.843;15.797;33.949;-0.374;21.384;20.427;-1.291;27.558;5.482;-2.305;21.854;4.959;9.184;15.340;4.035;23.241;15.306;2.380;24.412;13.745;0.866;30.819;12.624;-0.175;33.381;10.977;-0.630;35.075;9.624;-0.912;36.075;15.343;3.290;24.488;14.686;3.241;31.029;13.200;3.024;35.173;10.862;2.907;37.556;9.195;2.944;38.827;14.629;4.349;24.534;14.763;5.625;31.522;13.815;5.730;36.107;11.747;5.754;38.387;9.920;5.859;39.583;14.567;5.233;24.284;14.285;8.185;31.041;13.451;9.198;34.629;12.013;9.310;36.830;10.543;9.434;38.500;14.116;6.198;24.595;13.975;9.735;26.064;13.856;11.595;28.784;13.521;14.326;28.829;0.000;0.000;0.000;-7.597;-12.252;-0.881;-9.614;-33.129;-0.208;-11.982;-57.636;0.581;-10.543;-101.886;-7.601;7.610;-12.369;-1.228;9.174;-33.257;0.120;11.009;-57.776;1.701;9.879;-102.154;-7.098
618.000;24.720;0.044;7.157;-0.245;0.093;13.896;-0.466;0.192;25.820;-0.846;-0.079;41.696;-1.679;-0.223;45.995;1.389;0.037;52.457;2.614;-6.806;56.478;3.832;6.907;56.611;2.461;-2.500;58.547;10.908;4.048;58.611;10.253;-1.497;36.462;-3.055;-15.662;34.455;-2.054;-20.834;21.338;-3.031;-26.551;6.840;-4.110;-22.188;5.814;7.966;-17.306;4.541;22.147;-17.896;2.991;23.034;-15.111;0.902;29.724;-14.150;0.840;32.005;-13.392;0.254;34.383;-12.711;0.323;35.909;-17.871;3.834;23.092;-15.882;3.323;30.296;-13.990;3.582;33.946;-12.171;3.860;36.292;-10.854;3.868;37.857;-17.137;4.992;22.646;-15.576;5.875;30.648;-13.956;5.967;34.407;-11.753;6.083;36.970;-10.448;6.006;38.697;-17.225;6.035;22.411;-15.089;8.170;29.916;-13.259;8.644;33.245;-11.442;8.746;35.402;-9.963;8.533;36.827;-15.991;6.759;23.988;-15.043;9.976;25.386;-13.400;11.397;27.200;-13.793;14.006;28.119;1.723;36.529;-2.840;15.800;33.943;-0.370;21.389;20.422;-1.292;27.566;5.478;-2.310;21.861;4.951;9.179;15.346;4.023;23.235;15.312;2.361;24.403;13.747;0.848;30.812;12.630;-0.194;33.374;10.980;-0.655;35.064;9.629;-0.935;36.068;15.346;3.272;24.479;14.688;3.223;31.023;13.195;3.004;35.166;10.851;2.885;37.543;9.186;2.924;38.817;14.633;4.337;24.529;14.765;5.610;31.517;13.817;5.708;36.101;11.742;5.733;38.378;9.911;5.844;39.567;14.570;5.221;24.279;14.290;8.174;31.035;13.454;9.170;34.626;12.012;9.285;36.827;10.538;9.405;38.494;14.121;6.184;24.590;13.980;9.721;26.060;13.856;11.579;28.776;13.518;14.309;28.828;0.000;0.000;0.000;-7.597;-12.252;-0.888;-9.620;-33.128;-0.223;-11.995;-57.635;0.557;-10.566;-101.886;-7.636;7.610;-12.369;-1.231;9.169;-33.257;0.108;10.999;-57.778;1.679;9.862;-102.147;-7.130
619.000;24.760;0.044;7.157;-0.244;0.093;13.895;-0.466;0.192;25.817;-0.848;-0.076;41.694;-1.674;-0.218;45.993;1.398;0.044;52.455;2.629;-6.795;56.480;3.856;6.917;56.605;2.474;-2.482;58.541;10.931;4.066;58.600;10.271;-1.496;36.462;-3.052;-15.660;34.453;-2.051;-20.832;21.337;-3.030;-26.549;6.841;-4.113;-22.185;5.814;7.961;-17.300;4.539;22.141;-17.888;2.986;23.028;-15.100;0.889;29.710;-14.131;0.832;31.989;-13.357;0.256;34.370;-12.675;0.329;35.895;-17.864;3.830;23.085;-15.878;3.319;30.291;-13.973;3.581;33.936;-12.145;3.864;36.276;-10.823;3.876;37.835;-17.142;4.977;22.647;-15.549;5.878;30.640;-13.921;5.966;34.391;-11.708;6.072;36.939;-10.387;5.985;38.653;-17.222;6.020;22.409;-15.087;8.168;29.908;-13.248;8.644;33.237;-11.434;8.742;35.392;-9.956;8.523;36.817;-15.975;6.756;23.982;-15.044;9.975;25.377;-13.404;11.395;27.195;-13.786;14.010;28.101;1.724;36.527;-2.837;15.801;33.938;-0.369;21.388;20.417;-1.298;27.564;5.472;-2.324;21.869;4.943;9.169;15.368;4.010;23.229;15.334;2.354;24.399;13.768;0.835;30.806;12.647;-0.207;33.367;10.999;-0.670;35.056;9.644;-0.943;36.056;15.369;3.264;24.476;14.709;3.209;31.019;13.213;2.989;35.161;10.856;2.869;37.530;9.192;2.910;38.806;14.659;4.327;24.521;14.791;5.596;31.514;13.847;5.697;36.102;11.758;5.718;38.373;9.924;5.833;39.557;14.597;5.212;24.272;14.320;8.165;31.031;13.481;9.153;34.624;12.045;9.266;36.830;10.560;9.380;38.487;14.124;6.170;24.572;14.011;9.715;26.059;13.892;11.569;28.778;13.555;14.300;28.837;0.000;0.000;0.000;-7.597;-12.252;-0.889;-9.622;-33.128;-0.228;-12.000;-57.635;0.548;-10.577;-101.885;-7.653;7.610;-12.369;-1.232;9.166;-33.257;0.100;10.993;-57.777;1.663;9.852;-102.141;-7.154
620.000;24.800;0.044;7.156;-0.245;0.093;13.893;-0.467;0.192;25.813;-0.849;-0.073;41.691;-1.669;-0.212;45.990;1.407;0.057;52.453;2.644;-6.778;56.481;3.888;6.932;56.597;2.478;-2.449;58.535;10.955;4.098;58.590;10.282;-1.494;36.459;-3.048;-15.659;34.453;-2.043;-20.834;21.339;-3.019;-26.555;6.844;-4.098;-22.181;5.815;7.974;-17.284;4.539;22.150;-17.871;2.985;23.038;-15.070;0.878;29.709;-14.075;0.841;31.986;-13.285;0.288;34.365;-12.584;0.361;35.881;-17.846;3.829;23.096;-15.857;3.332;30.299;-13.936;3.590;33.934;-12.102;3.877;36.271;-10.773;3.892;37.825;-17.127;4.971;22.658;-15.518;5.874;30.644;-13.871;5.964;34.387;-11.648;6.071;36.917;-10.305;5.983;38.614;-17.206;6.015;22.419;-15.069;8.165;29.912;-13.222;8.647;33.241;-11.416;8.743;35.405;-9.948;8.517;36.839;-15.967;6.751;23.987;-15.026;9.971;25.385;-13.382;11.390;27.206;-13.760;14.009;28.103;1.726;36.523;-2.835;15.802;33.932;-0.373;21.388;20.410;-1.309;27.561;5.465;-2.343;21.878;4.934;9.155;15.390;3.998;23.220;15.355;2.346;24.393;13.796;0.822;30.797;12.671;-0.221;33.359;11.026;-0.682;35.051;9.668;-0.960;36.044;15.392;3.256;24.472;14.739;3.194;31.014;13.247;2.973;35.157;10.882;2.852;37.524;9.211;2.898;38.791;14.690;4.312;24.513;14.818;5.584;31.510;13.873;5.676;36.101;11.777;5.700;38.368;9.942;5.815;39.550;14.627;5.196;24.264;14.349;8.153;31.029;13.500;9.140;34.622;12.070;9.249;36.819;10.575;9.359;38.468;14.142;6.162;24.557;14.037;9.707;26.056;13.917;11.556;28.775;13.577;14.286;28.838;0.000;0.000;0.000;-7.599;-12.251;-0.887;-9.627;-33.127;-0.232;-12.007;-57.635;0.537;-10.591;-101.883;-7.681;7.608;-12.370;-1.233;9.161;-33.258;0.090;10.984;-57.779;1.643;9.836;-102.140;-7.183
621.000;24.840;0.044;7.155;-0.244;0.094;13.892;-0.467;0.193;25.811;-0.854;-0.071;41.688;-1.675;-0.205;45.989;1.405;0.070;52.453;2.649;-6.757;56.486;3.916;6.948;56.593;2.462;-2.404;58.533;10.970;4.141;58.584;10.276;-1.493;36.456;-3.053;-15.657;34.454;-2.032;-20.837;21.341;-2.999;-26.561;6.848;-4.067;-22.175;5.810;8.001;-17.262;4.525;22.173;-17.855;2.963;23.062;-15.048;0.867;29.730;-14.034;0.838;32.003;-13.269;0.308;34.383;-12.566;0.387;35.898;-17.825;3.807;23.119;-15.828;3.334;30.320;-13.899;3.631;33.943;-12.082;3.932;36.295;-10.776;3.971;37.868;-17.099;4.976;22.673;-15.515;5.852;30.662;-13.836;5.977;34.398;-11.621;6.111;36.941;-10.300;6.039;38.655;-17.182;6.018;22.434;-15.038;8.149;29.931;-13.206;8.636;33.276;-11.441;8.759;35.475;-10.032;8.552;36.969;-15.943;6.721;24.008;-14.950;9.947;25.416;-13.252;11.355;27.219;-13.588;13.996;28.069;1.727;36.520;-2.842;15.805;33.927;-0.393;21.389;20.404;-1.331;27.561;5.458;-2.368;21.890;4.923;9.137;15.415;3.987;23.213;15.379;2.331;24.379;13.821;0.797;30.781;12.699;-0.251;33.340;11.052;-0.716;35.029;9.695;-0.996;36.023;15.418;3.240;24.458;14.769;3.171;31.000;13.267;2.934;35.139;10.896;2.820;37.497;9.222;2.855;38.761;14.708;4.282;24.521;14.842;5.557;31.497;13.869;5.635;36.084;11.752;5.655;38.335;9.910;5.759;39.507;14.641;5.166;24.271;14.367;8.122;31.032;13.509;9.084;34.625;12.074;9.183;36.815;10.575;9.274;38.462;14.163;6.149;24.551;14.035;9.689;26.058;13.863;11.524;28.776;13.481;14.248;28.867;0.000;0.000;0.000;-7.599;-12.251;-0.885;-9.631;-33.127;-0.237;-12.015;-57.635;0.523;-10.612;-101.883;-7.705;7.607;-12.370;-1.239;9.157;-33.258;0.077;10.976;-57.780;1.622;9.818;-102.140;-7.204
622.000;24.880;0.044;7.155;-0.243;0.095;13.892;-0.468;0.197;25.810;-0.858;-0.074;41.688;-1.672;-0.201;45.988;1.411;0.086;52.454;2.662;-6.733;56.494;3.947;6.968;56.587;2.452;-2.357;58.541;10.987;4.186;58.586;10.273;-1.497;36.456;-3.050;-15.656;34.444;-2.005;-20.843;21.342;-2.953;-26.576;6.861;-4.000;-22.213;5.796;8.062;-17.329;4.485;22.226;-17.992;2.933;23.113;-15.318;0.746;29.802;-14.373;0.678;32.099;-13.745;0.121;34.524;-13.170;0.188;36.093;-17.916;3.774;23.165;-15.925;3.234;30.374;-14.189;3.560;34.078;-12.625;3.869;36.603;-11.532;3.945;38.330;-17.149;5.001;22.676;-15.530;5.739;30.739;-13.973;5.920;34.524;-12.034;6.096;37.277;-10.894;6.102;39.118;-17.215;6.053;22.454;-14.971;7.995;30.033;-13.381;8.507;33.534;-12.046;8.743;35.992;-11.000;8.614;37.767;-15.874;6.640;24.108;-14.628;9.823;25.498;-12.772;11.139;27.208;-12.905;13.857;27.842;1.724;36.522;-2.844;15.809;33.935;-0.428;21.407;20.415;-1.357;27.595;5.472;-2.383;21.919;4.916;9.131;15.432;3.962;23.228;15.405;2.296;24.373;13.876;0.713;30.751;12.747;-0.337;33.314;11.102;-0.819;34.997;9.750;-1.090;36.001;15.440;3.206;24.455;14.804;3.095;30.997;13.180;2.830;35.089;10.752;2.697;37.380;9.047;2.705;38.602;14.730;4.224;24.553;14.848;5.462;31.504;13.683;5.530;36.042;11.510;5.506;38.224;9.617;5.584;39.315;14.654;5.108;24.307;14.338;8.004;31.063;13.432;8.874;34.669;11.935;8.905;36.821;10.407;8.930;38.444;14.164;6.096;24.577;13.829;9.616;26.162;13.405;11.334;28.945;12.703;13.975;29.269;0.000;0.000;0.000;-7.599;-12.251;-0.884;-9.632;-33.127;-0.244;-12.020;-57.634;0.506;-10.630;-101.880;-7.726;7.608;-12.369;-1.246;9.156;-33.257;0.065;10.972;-57.779;1.603;9.804;-102.139;-7.227
