Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2753.000;110.120;0.045;7.262;-0.207;0.015;14.100;-0.359;-0.131;26.199;-0.572;-0.473;42.076;-1.381;-0.539;46.367;1.728;-0.209;52.804;3.044;-7.117;56.756;4.109;6.627;57.017;3.117;-3.025;58.798;11.319;3.538;58.923;10.845;-1.906;36.839;-2.729;-15.923;35.023;-1.481;-21.163;22.155;-2.983;-26.953;7.932;-4.643;-22.376;6.124;7.336;-17.171;3.895;21.500;-17.411;2.140;21.899;-13.305;-1.199;27.178;-11.662;-1.901;28.910;-9.075;-1.798;29.348;-7.560;-1.091;29.287;-17.465;2.939;22.173;-14.335;0.798;28.719;-11.101;0.119;31.224;-8.116;0.607;31.351;-6.166;1.027;30.900;-17.043;4.255;22.167;-14.127;3.269;29.627;-10.939;2.458;32.256;-7.562;2.677;32.223;-5.428;2.803;31.881;-17.317;5.256;22.276;-14.154;5.714;29.601;-11.061;5.505;31.834;-8.310;5.313;32.397;-6.279;4.946;32.372;-15.949;5.770;23.679;-15.218;8.509;26.033;-13.693;9.502;27.968;-13.861;11.839;29.492;1.318;36.915;-2.590;15.473;34.569;-0.506;21.364;21.234;-2.157;27.876;6.496;-3.982;22.645;5.199;7.697;16.501;3.235;22.047;16.013;1.369;22.567;13.040;-1.513;27.900;10.829;-2.799;29.589;8.382;-2.662;29.948;6.730;-2.312;29.706;16.073;2.225;22.880;13.794;0.539;29.031;10.150;-0.524;31.382;6.741;-0.229;31.148;4.716;0.175;30.780;15.643;3.451;23.277;13.745;2.687;30.074;10.189;1.738;33.010;7.118;1.807;33.114;5.025;2.194;32.617;15.754;4.364;23.321;13.540;5.185;30.184;10.591;4.969;32.617;8.030;4.490;32.929;5.813;4.324;32.775;15.199;5.265;23.736;14.542;8.238;26.190;12.895;8.898;29.017;11.955;11.136;30.314;0.000;0.000;0.000;-7.674;-12.207;-0.834;-10.078;-32.861;0.172;-12.900;-57.106;1.352;-12.583;-101.400;-6.980;7.526;-12.404;-1.379;9.561;-33.020;-0.416;11.950;-57.220;0.716;11.709;-101.575;-8.674
2754.000;110.160;0.044;7.261;-0.208;0.013;14.097;-0.362;-0.134;26.193;-0.583;-0.480;42.069;-1.387;-0.546;46.363;1.726;-0.217;52.805;3.045;-7.121;56.762;4.122;6.622;57.013;3.106;-3.015;58.800;11.325;3.548;58.920;10.840;-1.913;36.833;-2.736;-15.932;35.008;-1.486;-21.164;22.138;-2.997;-26.948;7.913;-4.667;-22.385;6.110;7.316;-17.202;3.886;21.484;-17.438;2.129;21.884;-13.322;-1.220;27.153;-11.676;-1.897;28.890;-9.099;-1.804;29.327;-7.587;-1.090;29.276;-17.488;2.928;22.156;-14.360;0.787;28.705;-11.126;0.129;31.217;-8.140;0.606;31.329;-6.190;1.023;30.875;-17.059;4.251;22.148;-14.159;3.271;29.621;-10.962;2.459;32.232;-7.593;2.673;32.222;-5.463;2.801;31.852;-17.338;5.246;22.258;-14.177;5.709;29.583;-11.096;5.490;31.831;-8.347;5.300;32.411;-6.321;4.905;32.366;-15.988;5.764;23.657;-15.240;8.503;26.012;-13.706;9.494;27.948;-13.871;11.829;29.475;1.311;36.910;-2.598;15.464;34.567;-0.525;21.357;21.235;-2.183;27.871;6.499;-4.015;22.653;5.198;7.670;16.524;3.231;22.026;16.027;1.361;22.542;13.083;-1.518;27.885;10.870;-2.811;29.578;8.422;-2.675;29.933;6.769;-2.327;29.696;16.088;2.218;22.854;13.840;0.526;29.020;10.191;-0.515;31.359;6.796;-0.242;31.149;4.779;0.184;30.761;15.666;3.431;23.259;13.779;2.681;30.061;10.237;1.730;33.001;7.160;1.789;33.100;5.066;2.179;32.607;15.774;4.345;23.301;13.566;5.184;30.174;10.617;4.953;32.592;8.063;4.472;32.915;5.844;4.305;32.788;15.219;5.261;23.718;14.573;8.226;26.180;12.896;8.889;28.994;12.003;11.139;30.303;0.000;0.000;0.000;-7.672;-12.209;-0.831;-10.073;-32.861;0.173;-12.890;-57.105;1.351;-12.570;-101.397;-6.979;7.528;-12.403;-1.382;9.562;-33.018;-0.419;11.950;-57.218;0.712;11.705;-101.574;-8.675
2755.000;110.200;0.043;7.258;-0.208;0.011;14.092;-0.366;-0.137;26.184;-0.596;-0.485;42.060;-1.399;-0.550;46.360;1.720;-0.219;52.809;3.046;-7.120;56.768;4.132;6.622;57.014;3.097;-3.003;58.806;11.329;3.559;58.923;10.835;-1.917;36.823;-2.748;-15.935;34.993;-1.495;-21.162;22.121;-3.013;-26.940;7.894;-4.690;-22.388;6.097;7.299;-17.214;3.881;21.476;-17.452;2.119;21.867;-13.344;-1.220;27.160;-11.707;-1.920;28.886;-9.118;-1.800;29.331;-7.597;-1.107;29.300;-17.500;2.919;22.137;-14.397;0.767;28.696;-11.159;0.109;31.219;-8.177;0.621;31.354;-6.232;1.039;30.882;-17.084;4.251;22.140;-14.185;3.256;29.608;-10.991;2.460;32.239;-7.617;2.679;32.226;-5.489;2.816;31.850;-17.360;5.249;22.250;-14.208;5.708;29.576;-11.134;5.493;31.830;-8.394;5.283;32.431;-6.368;4.890;32.355;-16.011;5.761;23.650;-15.260;8.500;26.005;-13.738;9.489;27.946;-13.879;11.834;29.459;1.307;36.901;-2.610;15.458;34.560;-0.539;21.349;21.227;-2.203;27.861;6.492;-4.043;22.653;5.190;7.646;16.536;3.222;22.008;16.038;1.350;22.518;13.098;-1.520;27.872;10.892;-2.821;29.566;8.441;-2.681;29.923;6.791;-2.322;29.683;16.093;2.208;22.829;13.862;0.516;29.004;10.220;-0.533;31.362;6.810;-0.257;31.132;4.793;0.174;30.751;15.690;3.443;23.236;13.805;2.674;30.041;10.259;1.715;32.989;7.189;1.789;33.090;5.100;2.184;32.586;15.803;4.356;23.281;13.588;5.177;30.159;10.642;4.950;32.581;8.087;4.474;32.901;5.869;4.300;32.775;15.225;5.256;23.692;14.596;8.220;26.168;12.901;8.879;29.006;11.991;11.158;30.251;0.000;0.000;0.000;-7.671;-12.209;-0.829;-10.069;-32.857;0.173;-12.884;-57.096;1.351;-12.564;-101.396;-6.974;7.529;-12.402;-1.385;9.565;-33.017;-0.424;11.956;-57.217;0.705;11.714;-101.572;-8.684
2756.000;110.240;0.042;7.256;-0.209;0.010;14.088;-0.370;-0.140;26.176;-0.611;-0.494;42.053;-1.411;-0.560;46.356;1.713;-0.228;52.810;3.045;-7.128;56.769;4.138;6.613;57.015;3.091;-3.005;58.805;11.331;3.557;58.922;10.831;-1.925;36.816;-2.760;-15.937;34.979;-1.502;-21.155;22.105;-3.021;-26.922;7.875;-4.701;-22.381;6.080;7.291;-17.212;3.870;21.474;-17.453;2.113;21.867;-13.347;-1.240;27.153;-11.711;-1.915;28.889;-9.119;-1.802;29.332;-7.593;-1.119;29.302;-17.509;2.911;22.141;-14.391;0.781;28.696;-11.164;0.101;31.211;-8.171;0.614;31.342;-6.223;1.033;30.883;-17.094;4.222;22.140;-14.206;3.239;29.614;-10.996;2.431;32.242;-7.620;2.671;32.202;-5.487;2.797;31.850;-17.367;5.227;22.249;-14.222;5.686;29.578;-11.149;5.474;31.843;-8.394;5.270;32.425;-6.365;4.893;32.381;-16.002;5.750;23.660;-15.263;8.489;26.007;-13.738;9.476;27.947;-13.903;11.819;29.461;1.299;36.895;-2.623;15.453;34.556;-0.558;21.341;21.225;-2.233;27.850;6.491;-4.086;22.654;5.188;7.610;16.554;3.219;21.980;16.040;1.351;22.495;13.123;-1.533;27.841;10.914;-2.822;29.534;8.464;-2.678;29.899;6.811;-2.328;29.665;16.099;2.208;22.808;13.883;0.510;28.975;10.251;-0.530;31.352;6.842;-0.233;31.111;4.821;0.184;30.737;15.702;3.428;23.213;13.833;2.668;30.015;10.288;1.724;32.960;7.219;1.792;33.073;5.129;2.188;32.568;15.811;4.341;23.256;13.615;5.164;30.133;10.681;4.947;32.559;8.117;4.471;32.879;5.899;4.292;32.753;15.244;5.255;23.675;14.619;8.220;26.131;12.983;8.884;28.967;12.038;11.124;30.256;0.000;0.000;0.000;-7.671;-12.210;-0.828;-10.069;-32.859;0.173;-12.884;-57.100;1.348;-12.566;-101.393;-6.988;7.529;-12.402;-1.388;9.567;-33.017;-0.431;11.960;-57.217;0.694;11.720;-101.572;-8.692
2757.000;110.280;0.041;7.254;-0.209;0.008;14.084;-0.372;-0.142;26.169;-0.619;-0.494;42.046;-1.416;-0.558;46.352;1.712;-0.225;52.811;3.046;-7.123;56.774;4.140;6.618;57.012;3.087;-2.995;58.812;11.331;3.566;58.926;10.828;-1.926;36.809;-2.766;-15.939;34.970;-1.504;-21.152;22.094;-3.025;-26.913;7.864;-4.706;-22.378;6.070;7.288;-17.219;3.860;21.473;-17.468;2.095;21.867;-13.364;-1.234;27.163;-11.718;-1.911;28.891;-9.127;-1.802;29.338;-7.595;-1.132;29.329;-17.519;2.895;22.138;-14.403;0.767;28.699;-11.175;0.101;31.218;-8.184;0.617;31.338;-6.230;1.011;30.880;-17.105;4.219;22.137;-14.214;3.226;29.611;-11.011;2.435;32.241;-7.634;2.672;32.208;-5.503;2.802;31.843;-17.378;5.216;22.246;-14.232;5.680;29.575;-11.178;5.474;31.849;-8.403;5.258;32.422;-6.371;4.896;32.392;-16.011;5.744;23.661;-15.274;8.480;25.998;-13.744;9.471;27.933;-13.900;11.809;29.456;1.298;36.888;-2.630;15.453;34.547;-0.571;21.331;21.214;-2.256;27.829;6.477;-4.119;22.646;5.171;7.582;16.560;3.197;21.958;16.059;1.328;22.472;13.127;-1.555;27.822;10.925;-2.842;29.518;8.482;-2.701;29.886;6.832;-2.341;29.648;16.118;2.185;22.785;13.887;0.489;28.952;10.266;-0.568;31.326;6.863;-0.256;31.100;4.843;0.158;30.720;15.713;3.412;23.191;13.850;2.632;30.000;10.314;1.689;32.952;7.240;1.764;33.061;5.147;2.150;32.561;15.824;4.325;23.236;13.631;5.132;30.114;10.706;4.918;32.553;8.148;4.448;32.877;5.931;4.283;32.727;15.243;5.236;23.647;14.635;8.192;26.120;12.958;8.851;28.954;12.108;11.121;30.257;0.000;0.000;0.000;-7.671;-12.210;-0.827;-10.067;-32.860;0.173;-12.881;-57.100;1.347;-12.560;-101.395;-6.988;7.529;-12.401;-1.391;9.569;-33.015;-0.436;11.964;-57.213;0.686;11.725;-101.571;-8.700
2758.000;110.320;0.041;7.253;-0.210;0.008;14.082;-0.376;-0.142;26.165;-0.631;-0.501;42.042;-1.421;-0.566;46.349;1.709;-0.234;52.812;3.046;-7.133;56.774;4.136;6.608;57.014;3.091;-3.010;58.813;11.329;3.552;58.927;10.830;-1.930;36.805;-2.773;-15.943;34.955;-1.511;-21.153;22.078;-3.036;-26.912;7.845;-4.721;-22.376;6.059;7.274;-17.219;3.853;21.457;-17.449;2.093;21.855;-13.340;-1.237;27.144;-11.699;-1.898;28.886;-9.100;-1.789;29.320;-7.574;-1.105;29.307;-17.504;2.892;22.128;-14.394;0.779;28.685;-11.136;0.179;31.183;-8.155;0.679;31.312;-6.206;1.102;30.859;-17.100;4.204;22.122;-14.216;3.237;29.606;-11.002;2.453;32.224;-7.628;2.693;32.186;-5.501;2.841;31.806;-17.376;5.202;22.229;-14.246;5.683;29.567;-11.164;5.473;31.827;-8.401;5.296;32.396;-6.371;4.923;32.368;-16.013;5.749;23.660;-15.266;8.500;25.972;-13.705;9.499;27.889;-13.855;11.843;29.403;1.294;36.885;-2.638;15.449;34.546;-0.583;21.324;21.212;-2.268;27.819;6.474;-4.131;22.641;5.154;7.571;16.559;3.166;21.949;16.062;1.293;22.461;13.133;-1.596;27.811;10.943;-2.886;29.510;8.486;-2.756;29.862;6.836;-2.386;29.640;16.125;2.150;22.774;13.891;0.450;28.937;10.264;-0.618;31.298;6.874;-0.301;31.094;4.856;0.112;30.700;15.708;3.366;23.182;13.861;2.588;29.987;10.321;1.624;32.952;7.243;1.705;33.049;5.151;2.097;32.551;15.815;4.280;23.228;13.636;5.089;30.109;10.715;4.862;32.546;8.153;4.386;32.870;5.934;4.233;32.732;15.269;5.182;23.674;14.633;8.150;26.114;12.962;8.803;28.959;12.084;11.066;30.254;0.000;0.000;0.000;-7.669;-12.211;-0.827;-10.062;-32.860;0.173;-12.872;-57.099;1.346;-12.547;-101.394;-6.990;7.531;-12.400;-1.393;9.576;-33.013;-0.439;11.976;-57.210;0.681;11.747;-101.570;-8.695
2759.000;110.360;0.040;7.251;-0.210;0.007;14.077;-0.381;-0.144;26.156;-0.648;-0.513;42.033;-1.436;-0.576;46.341;1.700;-0.235;52.804;3.047;-7.134;56.767;4.131;6.608;57.007;3.098;-3.018;58.806;11.328;3.544;58.921;10.834;-1.940;36.796;-2.789;-15.955;34.957;-1.510;-21.160;22.084;-3.017;-26.913;7.856;-4.683;-22.348;6.097;7.300;-17.159;3.928;21.471;-17.345;2.129;21.840;-13.093;-1.101;27.113;-11.460;-1.783;28.832;-8.882;-1.597;29.284;-7.409;-0.810;29.187;-17.412;2.926;22.116;-14.220;0.841;28.661;-10.976;0.266;31.190;-8.001;0.895;31.321;-6.063;1.371;30.873;-17.052;4.335;22.134;-14.114;3.303;29.613;-10.874;2.632;32.196;-7.546;2.933;32.246;-5.450;3.182;31.758;-17.394;5.330;22.268;-14.256;5.733;29.618;-11.189;5.561;31.919;-8.431;5.476;32.528;-6.384;5.206;32.538;-16.044;5.859;23.751;-15.261;8.662;26.001;-13.582;9.700;27.805;-13.738;12.089;29.246;1.284;36.877;-2.654;15.440;34.551;-0.601;21.318;21.217;-2.282;27.814;6.479;-4.141;22.636;5.116;7.562;16.559;3.073;21.938;16.072;1.197;22.442;13.150;-1.712;27.782;10.939;-3.012;29.471;8.495;-2.885;29.840;6.841;-2.527;29.626;16.129;2.052;22.759;13.908;0.319;28.922;10.263;-0.753;31.235;6.882;-0.453;31.072;4.870;-0.018;30.675;15.707;3.285;23.171;13.855;2.450;29.968;10.328;1.471;32.939;7.246;1.557;33.035;5.152;1.946;32.545;15.819;4.197;23.221;13.615;4.965;30.111;10.706;4.739;32.549;8.148;4.232;32.863;5.929;4.071;32.726;15.244;5.095;23.648;14.604;8.035;26.132;12.958;8.667;28.979;12.005;10.897;30.280;0.000;0.000;0.000;-7.668;-12.212;-0.826;-10.060;-32.862;0.173;-12.869;-57.103;1.346;-12.542;-101.395;-6.989;7.532;-12.399;-1.394;9.575;-33.012;-0.441;11.974;-57.210;0.678;11.742;-101.572;-8.696
2760.000;110.400;0.040;7.254;-0.213;0.005;14.084;-0.391;-0.149;26.167;-0.674;-0.519;42.045;-1.444;-0.578;46.347;1.696;-0.220;52.804;3.054;-7.121;56.776;4.095;6.627;56.997;3.141;-3.042;58.814;11.314;3.523;58.920;10.858;-1.945;36.809;-2.803;-15.959;35.014;-1.504;-21.168;22.138;-2.883;-26.925;7.906;-4.408;-22.297;6.363;7.524;-17.077;4.423;21.630;-17.018;2.609;22.015;-12.160;-0.192;27.056;-10.404;-0.866;28.638;-7.794;-0.479;28.964;-6.367;0.392;28.944;-17.156;3.393;22.301;-13.535;1.615;28.710;-10.289;1.121;31.281;-7.371;1.899;31.538;-5.475;2.591;31.210;-17.021;4.948;22.234;-13.691;4.040;29.767;-10.567;3.549;32.542;-7.279;4.097;32.735;-5.229;4.613;32.261;-17.499;5.882;22.424;-14.118;6.478;29.804;-11.628;6.500;32.677;-9.028;6.733;33.797;-6.998;6.607;34.149;-16.161;6.506;23.982;-15.260;9.530;26.029;-13.541;10.716;27.572;-13.633;13.290;28.657;1.279;36.891;-2.667;15.438;34.569;-0.604;21.332;21.239;-2.274;27.846;6.505;-4.119;22.632;5.050;7.567;16.513;2.893;21.921;16.020;1.017;22.396;13.097;-1.982;27.682;10.893;-3.272;29.372;8.433;-3.180;29.719;6.777;-2.835;29.504;16.071;1.869;22.723;13.842;0.047;28.859;10.206;-1.061;31.166;6.814;-0.790;30.992;4.789;-0.366;30.647;15.655;3.077;23.155;13.768;2.180;29.932;10.255;1.138;32.900;7.179;1.214;32.987;5.085;1.593;32.491;15.755;3.990;23.216;13.542;4.664;30.096;10.630;4.408;32.542;8.064;3.901;32.853;5.844;3.760;32.708;15.203;4.882;23.654;14.451;7.797;26.156;12.832;8.372;29.031;11.655;10.512;30.299;0.000;0.000;0.000;-7.667;-12.212;-0.831;-10.060;-32.861;0.169;-12.870;-57.100;1.342;-12.535;-101.391;-6.989;7.533;-12.399;-1.387;9.573;-33.011;-0.429;11.969;-57.207;0.696;11.739;-101.570;-8.682
2761.000;110.440;0.042;7.258;-0.220;0.009;14.092;-0.399;-0.142;26.183;-0.680;-0.515;42.062;-1.422;-0.573;46.352;1.725;-0.209;52.795;3.099;-7.119;56.779;4.030;6.641;56.981;3.272;-3.142;58.833;11.301;3.429;58.930;10.939;-1.939;36.828;-2.791;-15.950;35.081;-1.480;-21.207;22.163;-2.486;-27.018;7.885;-3.597;-22.270;7.085;8.262;-16.836;5.899;22.194;-16.602;4.131;22.765;-10.826;2.249;27.324;-8.674;1.738;28.525;-6.045;2.036;28.693;-4.530;2.745;28.718;-16.822;4.895;23.054;-12.266;3.915;29.048;-9.025;3.371;31.672;-6.164;4.166;32.320;-4.239;4.855;32.327;-16.824;6.539;22.720;-12.756;6.362;30.220;-10.332;5.733;33.623;-7.159;6.492;34.382;-5.098;7.110;34.137;-17.391;7.424;22.926;-13.616;8.751;30.119;-12.072;9.229;33.586;-9.905;9.822;35.360;-8.042;10.062;36.218;-15.962;8.315;24.557;-14.809;11.608;26.010;-12.977;13.136;27.023;-13.291;15.848;27.620;1.284;36.910;-2.653;15.442;34.604;-0.588;21.371;21.284;-2.230;27.925;6.561;-4.044;22.648;4.910;7.601;16.455;2.512;21.903;15.988;0.606;22.316;12.952;-2.506;27.483;10.757;-3.899;29.088;8.270;-3.855;29.407;6.606;-3.538;29.203;16.014;1.454;22.656;13.661;-0.512;28.720;10.052;-1.742;31.023;6.645;-1.524;30.798;4.617;-1.161;30.403;15.548;2.694;23.129;13.539;1.590;29.852;10.014;0.473;32.749;6.939;0.439;32.836;4.826;0.754;32.373;15.647;3.606;23.214;13.250;4.083;30.051;10.309;3.793;32.462;7.748;3.259;32.756;5.535;3.065;32.588;15.003;4.435;23.720;14.032;7.271;26.186;12.183;7.712;28.935;10.862;9.709;30.292;0.000;0.000;0.000;-7.667;-12.211;-0.838;-10.064;-32.857;0.172;-12.876;-57.094;1.358;-12.532;-101.394;-6.950;7.534;-12.403;-1.352;9.567;-33.014;-0.380;11.954;-57.211;0.761;11.742;-101.574;-8.637
