Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1049.000;41.960;0.043;7.169;-0.182;0.098;13.915;-0.471;0.216;25.846;-1.131;-0.124;41.694;-2.374;-0.217;46.010;0.484;0.024;52.438;1.368;-6.818;56.363;2.875;6.840;56.670;1.049;-2.299;58.375;9.834;4.223;58.522;8.963;-1.557;36.423;-3.579;-15.611;34.502;-2.542;-20.433;21.272;-2.424;-25.763;6.650;-2.294;-21.982;6.469;10.058;-17.726;6.193;24.604;-18.200;4.617;25.366;-15.659;2.321;31.994;-15.178;2.280;34.409;-14.982;1.781;36.889;-14.744;1.816;38.544;-18.267;5.453;25.481;-16.471;4.616;32.688;-14.988;4.962;36.425;-14.414;5.362;39.295;-14.018;5.492;41.298;-17.692;6.679;25.132;-16.364;7.148;33.221;-15.062;7.582;37.044;-14.299;8.183;40.264;-14.061;8.406;42.405;-17.854;7.737;24.964;-16.060;9.474;32.737;-14.302;9.919;36.190;-13.197;10.195;38.705;-12.270;10.059;40.545;-16.698;8.403;26.619;-16.152;11.583;28.435;-14.832;13.086;30.456;-15.712;15.584;31.345;1.667;36.503;-3.440;15.817;34.126;-1.319;20.690;20.358;-1.432;26.075;5.140;-1.557;22.083;6.196;10.557;17.549;7.153;25.434;17.447;5.585;26.509;15.605;3.545;32.669;14.930;2.143;35.124;14.155;1.029;37.122;13.513;0.271;38.509;17.564;6.479;26.658;16.356;5.867;33.158;15.006;5.258;37.266;14.059;4.650;40.386;13.415;4.411;42.368;16.942;7.532;26.712;16.489;8.261;33.872;15.609;8.215;38.424;14.688;8.134;41.270;13.899;8.263;43.304;16.949;8.433;26.519;16.087;10.928;33.534;14.892;11.999;37.124;14.100;12.504;39.551;13.335;12.916;41.603;16.398;9.447;27.031;16.229;12.837;28.828;16.125;14.548;31.585;15.802;17.278;31.722;0.000;0.000;0.000;-7.641;-12.233;-0.761;-9.536;-33.154;-0.540;-11.761;-57.714;-0.280;-10.499;-101.897;-9.189;7.537;-12.349;-1.765;9.334;-33.267;-1.219;11.442;-57.823;-0.578;10.368;-102.144;-9.986
1050.000;42.000;0.043;7.168;-0.182;0.098;13.912;-0.472;0.216;25.840;-1.136;-0.126;41.689;-2.376;-0.217;46.005;0.480;0.028;52.435;1.359;-6.814;56.368;2.839;6.851;56.659;1.073;-2.324;58.371;9.819;4.202;58.510;8.976;-1.559;36.417;-3.582;-15.612;34.495;-2.539;-20.440;21.269;-2.430;-25.777;6.651;-2.309;-21.984;6.464;10.039;-17.714;6.179;24.579;-18.182;4.597;25.342;-15.659;2.311;31.976;-15.175;2.288;34.401;-14.982;1.771;36.875;-14.750;1.809;38.530;-18.244;5.433;25.455;-16.468;4.608;32.669;-14.986;4.964;36.404;-14.415;5.347;39.272;-14.010;5.491;41.271;-17.702;6.586;25.129;-16.370;7.137;33.194;-15.066;7.561;37.023;-14.297;8.187;40.243;-14.069;8.405;42.386;-17.812;7.644;24.946;-16.050;9.464;32.716;-14.297;9.911;36.175;-13.184;10.206;38.684;-12.261;10.077;40.527;-16.685;8.390;26.600;-16.138;11.569;28.415;-14.824;13.072;30.419;-15.697;15.569;31.318;1.665;36.498;-3.444;15.816;34.119;-1.334;20.679;20.347;-1.454;26.053;5.124;-1.587;22.077;6.188;10.533;17.565;7.148;25.415;17.467;5.586;26.493;15.639;3.557;32.652;14.949;2.150;35.108;14.164;1.036;37.111;13.534;0.283;38.507;17.584;6.481;26.642;16.381;5.863;33.140;15.030;5.262;37.253;14.077;4.660;40.367;13.433;4.417;42.348;16.956;7.532;26.698;16.524;8.266;33.852;15.638;8.218;38.406;14.699;8.137;41.253;13.918;8.272;43.291;16.966;8.432;26.504;16.119;10.923;33.521;14.911;11.999;37.110;14.130;12.505;39.536;13.345;12.909;41.582;16.423;9.456;27.014;16.249;12.842;28.808;16.160;14.550;31.546;15.836;17.278;31.709;0.000;0.000;0.000;-7.640;-12.234;-0.758;-9.533;-33.154;-0.544;-11.756;-57.713;-0.293;-10.493;-101.887;-9.224;7.537;-12.348;-1.769;9.337;-33.264;-1.231;11.449;-57.818;-0.599;10.376;-102.148;-10.012
1051.000;42.040;0.043;7.166;-0.182;0.098;13.910;-0.474;0.215;25.835;-1.146;-0.127;41.684;-2.384;-0.217;46.002;0.473;0.027;52.437;1.347;-6.820;56.376;2.787;6.857;56.653;1.104;-2.370;58.370;9.795;4.161;58.502;8.992;-1.561;36.412;-3.590;-15.611;34.491;-2.546;-20.441;21.266;-2.441;-25.781;6.650;-2.326;-21.993;6.465;10.025;-17.727;6.188;24.570;-18.201;4.601;25.329;-15.674;2.320;31.963;-15.182;2.290;34.385;-14.980;1.767;36.858;-14.747;1.813;38.513;-18.262;5.437;25.442;-16.476;4.616;32.656;-14.965;4.974;36.387;-14.381;5.365;39.252;-13.988;5.513;41.254;-17.705;6.636;25.106;-16.392;7.133;33.183;-15.051;7.564;36.996;-14.253;8.180;40.210;-13.990;8.416;42.347;-17.847;7.691;24.932;-16.067;9.463;32.701;-14.299;9.902;36.155;-13.309;10.117;38.703;-12.269;9.972;40.480;-16.712;8.400;26.596;-16.152;11.578;28.396;-14.819;13.080;30.404;-15.707;15.570;31.308;1.663;36.493;-3.453;15.815;34.111;-1.349;20.671;20.338;-1.475;26.039;5.115;-1.614;22.075;6.188;10.509;17.576;7.160;25.394;17.479;5.589;26.467;15.663;3.574;32.634;14.963;2.151;35.089;14.194;1.037;37.084;13.553;0.281;38.472;17.597;6.484;26.615;16.403;5.879;33.120;15.057;5.267;37.236;14.102;4.669;40.354;13.467;4.433;42.338;16.985;7.507;26.681;16.545;8.284;33.834;15.655;8.227;38.384;14.709;8.140;41.231;13.929;8.282;43.268;16.982;8.406;26.485;16.126;10.940;33.503;14.935;12.003;37.086;14.146;12.499;39.524;13.381;12.902;41.578;16.437;9.468;27.000;16.272;12.851;28.791;16.176;14.559;31.527;15.863;17.288;31.687;0.000;0.000;0.000;-7.640;-12.234;-0.758;-9.532;-33.153;-0.550;-11.754;-57.711;-0.304;-10.494;-101.886;-9.253;7.537;-12.347;-1.775;9.340;-33.262;-1.245;11.455;-57.815;-0.624;10.378;-102.146;-10.039
1052.000;42.080;0.043;7.164;-0.181;0.100;13.906;-0.476;0.221;25.827;-1.156;-0.115;41.676;-2.398;-0.205;45.996;0.456;0.036;52.434;1.322;-6.819;56.373;2.726;6.867;56.649;1.126;-2.410;58.357;9.764;4.125;58.489;8.999;-1.550;36.405;-3.602;-15.600;34.492;-2.564;-20.433;21.268;-2.455;-25.775;6.652;-2.334;-21.996;6.468;10.020;-17.741;6.191;24.568;-18.214;4.606;25.329;-15.701;2.318;31.959;-15.220;2.290;34.383;-15.009;1.752;36.858;-14.780;1.794;38.514;-18.272;5.442;25.442;-16.492;4.617;32.658;-14.994;4.981;36.384;-14.417;5.360;39.251;-14.017;5.532;41.249;-17.729;6.630;25.102;-16.452;7.130;33.182;-15.074;7.561;37.002;-14.274;8.187;40.221;-14.036;8.407;42.363;-17.862;7.685;24.927;-16.086;9.476;32.695;-14.322;9.911;36.152;-13.189;10.219;38.662;-12.289;10.026;40.510;-16.709;8.396;26.589;-16.165;11.582;28.390;-14.866;13.066;30.415;-15.684;15.587;31.300;1.674;36.484;-3.465;15.825;34.098;-1.359;20.676;20.324;-1.490;26.039;5.099;-1.635;22.082;6.179;10.487;17.595;7.159;25.372;17.491;5.586;26.443;15.651;3.557;32.615;14.978;2.160;35.073;14.211;1.042;37.064;13.566;0.298;38.457;17.608;6.481;26.590;16.422;5.874;33.099;15.077;5.273;37.217;14.126;4.682;40.330;13.477;4.440;42.310;16.992;7.518;26.658;16.552;8.275;33.814;15.674;8.230;38.367;14.724;8.148;41.207;13.937;8.284;43.242;16.995;8.418;26.463;16.134;10.959;33.480;14.967;12.012;37.057;14.166;12.507;39.496;13.394;12.905;41.549;16.466;9.456;26.960;16.291;12.854;28.761;16.205;14.570;31.507;15.877;17.298;31.652;0.000;0.000;0.000;-7.640;-12.234;-0.758;-9.533;-33.151;-0.559;-11.754;-57.705;-0.326;-10.503;-101.885;-9.280;7.536;-12.347;-1.783;9.336;-33.263;-1.260;11.449;-57.817;-0.645;10.358;-102.148;-10.067
1053.000;42.120;0.043;7.164;-0.181;0.101;13.904;-0.479;0.226;25.825;-1.168;-0.108;41.673;-2.412;-0.200;45.993;0.441;0.036;52.430;1.308;-6.828;56.363;2.688;6.865;56.651;1.140;-2.448;58.347;9.743;4.091;58.484;9.004;-1.544;36.402;-3.616;-15.596;34.486;-2.582;-20.428;21.263;-2.467;-25.769;6.649;-2.340;-22.007;6.469;10.020;-17.771;6.198;24.574;-18.248;4.607;25.335;-15.742;2.338;31.971;-15.264;2.287;34.390;-15.062;1.771;36.855;-14.804;1.832;38.506;-18.307;5.444;25.447;-16.540;4.625;32.667;-15.040;4.994;36.401;-14.479;5.385;39.268;-14.088;5.543;41.269;-17.760;6.630;25.111;-16.463;7.173;33.190;-15.124;7.604;37.002;-14.326;8.198;40.223;-14.070;8.418;42.362;-17.887;7.688;24.932;-16.145;9.472;32.709;-14.385;9.907;36.163;-13.315;10.162;38.696;-12.344;10.030;40.513;-16.713;8.400;26.597;-16.198;11.585;28.401;-14.891;13.089;30.402;-15.762;15.584;31.312;1.680;36.481;-3.478;15.830;34.092;-1.367;20.678;20.316;-1.502;26.036;5.091;-1.651;22.086;6.167;10.474;17.606;7.145;25.361;17.504;5.578;26.433;15.686;3.563;32.604;14.985;2.146;35.064;14.201;1.022;37.053;13.574;0.270;38.450;17.623;6.473;26.580;16.425;5.885;33.091;15.079;5.279;37.205;14.114;4.676;40.316;13.473;4.442;42.300;16.991;7.547;26.641;16.573;8.264;33.801;15.674;8.222;38.354;14.708;8.133;41.193;13.913;8.270;43.225;17.007;8.447;26.450;16.151;10.961;33.468;14.967;12.004;37.042;14.167;12.504;39.478;13.376;12.900;41.524;16.469;9.456;26.966;16.315;12.841;28.746;16.213;14.564;31.505;15.879;17.293;31.623;0.000;0.000;0.000;-7.640;-12.234;-0.760;-9.533;-33.153;-0.566;-11.755;-57.711;-0.338;-10.503;-101.883;-9.308;7.536;-12.346;-1.787;9.336;-33.263;-1.273;11.448;-57.817;-0.668;10.359;-102.142;-10.095
1054.000;42.160;0.043;7.163;-0.181;0.102;13.903;-0.481;0.228;25.822;-1.173;-0.111;41.670;-2.418;-0.205;45.991;0.436;0.028;52.431;1.301;-6.841;56.357;2.670;6.854;56.657;1.148;-2.476;58.340;9.735;4.064;58.484;9.008;-1.544;36.399;-3.622;-15.595;34.482;-2.595;-20.425;21.257;-2.477;-25.764;6.640;-2.347;-22.024;6.471;10.019;-17.817;6.209;24.580;-18.289;4.612;25.340;-15.790;2.355;31.991;-15.299;2.336;34.423;-15.123;1.811;36.871;-14.858;1.861;38.521;-18.348;5.449;25.448;-16.609;4.655;32.679;-15.113;5.021;36.414;-14.551;5.432;39.280;-14.161;5.595;41.281;-17.796;6.648;25.120;-16.513;7.186;33.196;-15.177;7.620;37.018;-14.375;8.237;40.216;-14.103;8.459;42.353;-17.930;7.704;24.941;-16.201;9.507;32.708;-14.438;9.926;36.174;-13.319;10.233;38.671;-12.386;10.053;40.504;-16.806;8.423;26.607;-16.256;11.608;28.400;-14.940;13.115;30.415;-15.820;15.620;31.287;1.680;36.479;-3.483;15.830;34.093;-1.368;20.684;20.320;-1.502;26.049;5.098;-1.650;22.098;6.171;10.475;17.615;7.147;25.364;17.518;5.568;26.433;15.681;3.544;32.607;15.010;2.133;35.065;14.234;1.015;37.057;13.601;0.267;38.453;17.633;6.463;26.578;16.440;5.874;33.095;15.111;5.264;37.209;14.140;4.656;40.325;13.500;4.417;42.307;17.012;7.520;26.648;16.581;8.266;33.809;15.688;8.212;38.357;14.715;8.119;41.194;13.923;8.255;43.226;17.018;8.420;26.455;16.170;10.921;33.481;14.968;11.974;37.061;14.139;12.470;39.495;13.385;12.873;41.553;16.479;9.440;26.940;16.312;12.842;28.755;16.208;14.559;31.508;15.897;17.290;31.639;0.000;0.000;0.000;-7.639;-12.234;-0.763;-9.532;-33.152;-0.570;-11.754;-57.709;-0.343;-10.499;-101.881;-9.329;7.537;-12.345;-1.787;9.338;-33.259;-1.277;11.453;-57.810;-0.679;10.372;-102.129;-10.119
1055.000;42.200;0.043;7.162;-0.181;0.102;13.902;-0.481;0.229;25.820;-1.174;-0.111;41.668;-2.415;-0.208;45.988;0.439;0.019;52.427;1.306;-6.851;56.355;2.668;6.846;56.653;1.158;-2.491;58.339;9.737;4.049;58.481;9.015;-1.543;36.396;-3.622;-15.594;34.474;-2.606;-20.418;21.246;-2.491;-25.750;6.625;-2.364;-22.032;6.468;10.010;-17.848;6.223;24.580;-18.326;4.658;25.345;-15.830;2.374;32.001;-15.367;2.353;34.417;-15.161;1.845;36.884;-14.909;1.906;38.537;-18.397;5.493;25.458;-16.648;4.692;32.681;-15.180;5.059;36.416;-14.616;5.477;39.289;-14.240;5.618;41.295;-17.841;6.629;25.127;-16.587;7.198;33.194;-15.269;7.635;37.015;-14.466;8.229;40.227;-14.166;8.471;42.358;-17.962;7.686;24.942;-16.248;9.527;32.706;-14.491;9.963;36.164;-13.343;10.277;38.667;-12.457;10.073;40.521;-16.831;8.438;26.600;-16.289;11.622;28.397;-14.971;13.141;30.417;-15.862;15.649;31.265;1.681;36.477;-3.481;15.830;34.095;-1.356;20.691;20.323;-1.494;26.064;5.102;-1.647;22.112;6.172;10.475;17.629;7.143;25.360;17.530;5.568;26.433;15.718;3.551;32.602;15.014;2.128;35.058;14.241;1.015;37.055;13.615;0.269;38.456;17.645;6.463;26.579;16.460;5.865;33.091;15.107;5.265;37.207;14.144;4.658;40.315;13.488;4.419;42.293;17.029;7.516;26.643;16.599;8.263;33.803;15.693;8.209;38.355;14.724;8.123;41.192;13.917;8.270;43.218;17.035;8.416;26.449;16.175;10.932;33.477;14.981;11.970;37.054;14.167;12.490;39.483;13.393;12.886;41.535;16.482;9.439;26.941;16.322;12.834;28.762;16.212;14.557;31.504;15.897;17.288;31.634;0.000;0.000;0.000;-7.638;-12.234;-0.764;-9.531;-33.151;-0.577;-11.753;-57.706;-0.358;-10.496;-101.879;-9.347;7.538;-12.345;-1.783;9.339;-33.255;-1.276;11.453;-57.801;-0.681;10.364;-102.135;-10.136
1056.000;42.240;0.043;7.162;-0.181;0.102;13.900;-0.482;0.230;25.817;-1.178;-0.109;41.665;-2.419;-0.207;45.986;0.437;0.023;52.427;1.304;-6.846;56.357;2.664;6.852;56.649;1.163;-2.491;58.335;9.736;4.051;58.474;9.020;-1.540;36.394;-3.626;-15.592;34.471;-2.620;-20.414;21.244;-2.512;-25.745;6.624;-2.392;-22.044;6.470;9.988;-17.881;6.230;24.564;-18.374;4.671;25.334;-15.873;2.402;31.994;-15.398;2.393;34.426;-15.203;1.877;36.892;-14.982;1.930;38.549;-18.452;5.505;25.449;-16.713;4.700;32.667;-15.240;5.079;36.409;-14.684;5.476;39.281;-14.317;5.667;41.284;-17.864;6.634;25.105;-16.636;7.217;33.179;-15.337;7.641;36.994;-14.535;8.284;40.209;-14.254;8.522;42.343;-17.992;7.683;24.928;-16.317;9.540;32.686;-14.552;9.966;36.159;-13.450;10.263;38.663;-12.521;10.092;40.499;-16.853;8.441;26.590;-16.328;11.630;28.377;-15.029;13.131;30.415;-15.852;15.672;31.235;1.683;36.474;-3.483;15.829;34.096;-1.354;20.700;20.328;-1.496;26.084;5.110;-1.653;22.125;6.183;10.468;17.634;7.155;25.351;17.529;5.576;26.423;15.707;3.553;32.594;15.034;2.151;35.051;14.263;1.028;37.048;13.622;0.271;38.436;17.640;6.472;26.568;16.467;5.879;33.082;15.124;5.281;37.196;14.161;4.682;40.307;13.489;4.440;42.280;17.026;7.526;26.635;16.601;8.282;33.796;15.693;8.237;38.344;14.714;8.160;41.173;13.903;8.295;43.199;17.033;8.426;26.439;16.188;10.935;33.467;14.988;11.988;37.044;14.165;12.512;39.474;13.398;12.915;41.528;16.487;9.448;26.932;16.328;12.848;28.744;16.221;14.568;31.488;15.892;17.296;31.623;0.000;0.000;0.000;-7.638;-12.235;-0.764;-9.531;-33.152;-0.583;-11.753;-57.708;-0.369;-10.495;-101.882;-9.360;7.539;-12.345;-1.781;9.343;-33.252;-1.280;11.460;-57.795;-0.692;10.373;-102.125;-10.156
1057.000;42.280;0.044;7.161;-0.181;0.104;13.899;-0.484;0.235;25.815;-1.185;-0.109;41.663;-2.429;-0.209;45.986;0.426;0.023;52.428;1.294;-6.847;56.360;2.649;6.852;56.650;1.157;-2.496;58.337;9.724;4.046;58.476;9.012;-1.538;36.391;-3.636;-15.590;34.465;-2.637;-20.411;21.237;-2.537;-25.740;6.615;-2.427;-22.055;6.465;9.958;-17.910;6.232;24.541;-18.403;4.658;25.309;-15.895;2.402;31.977;-15.435;2.397;34.391;-15.210;1.891;36.856;-14.952;1.952;38.507;-18.477;5.494;25.421;-16.759;4.718;32.648;-15.294;5.080;36.387;-14.749;5.525;39.252;-14.363;5.688;41.254;-17.924;6.607;25.096;-16.731;7.213;33.158;-15.385;7.646;36.980;-14.585;8.303;40.193;-14.331;8.548;42.330;-18.022;7.673;24.902;-16.367;9.546;32.664;-14.599;9.956;36.139;-13.461;10.281;38.626;-12.560;10.087;40.474;-16.884;8.438;26.570;-16.366;11.636;28.356;-15.064;13.135;30.373;-15.888;15.667;31.223;1.686;36.472;-3.492;15.831;34.097;-1.354;20.710;20.331;-1.492;26.103;5.116;-1.645;22.136;6.197;10.472;17.635;7.185;25.353;17.535;5.611;26.429;15.718;3.606;32.603;15.013;2.180;35.054;14.238;1.062;37.046;13.608;0.318;38.445;17.647;6.506;26.574;16.455;5.912;33.081;15.106;5.307;37.193;14.121;4.716;40.297;13.444;4.472;42.267;17.028;7.555;26.638;16.591;8.315;33.793;15.668;8.274;38.337;14.660;8.184;41.163;13.842;8.331;43.185;17.035;8.455;26.442;16.176;10.977;33.455;14.966;12.021;37.031;14.138;12.531;39.456;13.332;12.924;41.496;16.479;9.488;26.942;16.318;12.876;28.729;16.215;14.606;31.488;15.881;17.335;31.605;0.000;0.000;0.000;-7.638;-12.235;-0.768;-9.530;-33.151;-0.589;-11.753;-57.706;-0.380;-10.491;-101.877;-9.379;7.540;-12.345;-1.779;9.337;-33.260;-1.283;11.446;-57.813;-0.702;10.366;-102.125;-10.175
