Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
357.000;14.280;0.091;7.169;-0.234;0.121;13.920;-0.443;0.104;25.864;-0.799;-0.100;41.730;-1.820;-0.170;46.082;1.218;0.194;52.574;2.392;-6.750;56.454;3.489;6.962;56.890;2.167;-2.527;58.793;10.531;4.021;59.001;9.900;-1.559;36.488;-3.116;-15.657;34.817;-1.848;-21.001;21.907;-2.888;-26.908;7.639;-4.037;-22.557;7.545;7.985;-17.702;7.358;22.147;-17.975;5.690;23.065;-14.223;4.338;29.436;-12.897;4.752;31.487;-11.535;4.722;33.669;-10.619;5.112;35.013;-18.101;6.525;23.126;-15.476;6.436;30.154;-13.256;7.205;33.529;-11.327;7.867;35.715;-9.946;8.260;37.170;-17.619;7.879;22.620;-15.607;9.029;30.462;-13.587;9.581;33.989;-11.184;10.214;36.281;-9.758;10.548;37.876;-17.940;8.882;22.413;-15.688;11.328;29.758;-13.397;12.120;32.778;-11.381;12.526;34.772;-9.847;12.600;36.152;-16.762;9.834;23.919;-16.270;13.125;25.226;-14.932;14.600;26.938;-14.750;17.260;27.775;1.663;36.541;-2.939;15.745;34.120;-0.651;21.555;20.689;-1.555;27.977;5.844;-2.555;22.710;6.026;9.088;16.650;5.899;23.380;16.087;4.263;24.451;14.036;3.025;30.770;12.359;2.759;33.324;10.204;3.280;34.448;8.634;3.784;34.889;16.313;5.141;24.566;15.373;5.065;31.121;13.263;5.261;35.013;10.445;5.882;36.800;8.651;6.486;37.704;16.017;6.459;24.618;15.868;7.303;31.694;13.980;7.725;35.949;11.518;8.265;37.697;9.590;8.778;38.588;16.235;7.332;24.425;16.036;9.864;31.235;14.208;10.751;34.490;11.995;11.018;35.868;9.921;11.248;36.649;15.927;8.343;24.824;16.530;11.784;26.263;16.043;13.446;29.108;15.935;16.122;29.739;0.000;0.000;0.000;-7.732;-12.169;-0.864;-10.226;-32.976;0.178;-13.154;-57.403;1.401;-12.749;-101.597;-6.310;7.471;-12.447;-1.292;9.390;-33.198;-0.143;11.643;-57.557;1.205;11.162;-101.890;-7.794
358.000;14.320;0.088;7.168;-0.237;0.114;13.918;-0.449;0.089;25.861;-0.808;-0.127;41.728;-1.828;-0.201;46.081;1.213;0.159;52.577;2.387;-6.778;56.462;3.511;6.928;56.889;2.129;-2.523;58.805;10.533;4.022;59.010;9.872;-1.582;36.484;-3.125;-15.675;34.791;-1.862;-21.015;21.882;-2.906;-26.916;7.613;-4.061;-22.573;7.529;7.964;-17.725;7.357;22.128;-18.001;5.683;23.042;-14.252;4.319;29.415;-12.908;4.745;31.467;-11.598;4.732;33.658;-10.640;5.123;34.972;-18.122;6.518;23.101;-15.498;6.445;30.131;-13.277;7.208;33.504;-11.366;7.864;35.697;-9.989;8.267;37.154;-17.645;7.875;22.597;-15.628;9.014;30.440;-13.573;9.576;33.944;-11.150;10.223;36.229;-9.753;10.544;37.852;-17.972;8.876;22.398;-15.717;11.332;29.731;-13.389;12.107;32.733;-11.389;12.540;34.725;-9.850;12.618;36.099;-16.801;9.826;23.893;-16.303;13.124;25.208;-14.974;14.600;26.909;-14.773;17.257;27.751;1.641;36.539;-2.947;15.725;34.127;-0.656;21.541;20.702;-1.563;27.970;5.864;-2.564;22.699;6.054;9.077;16.638;5.939;23.366;16.070;4.299;24.432;14.015;3.052;30.755;12.322;2.742;33.295;10.158;3.266;34.396;8.581;3.770;34.807;16.291;5.178;24.548;15.343;5.082;31.110;13.217;5.263;34.993;10.370;5.886;36.741;8.571;6.466;37.650;15.993;6.503;24.606;15.816;7.339;31.677;13.880;7.758;35.899;11.418;8.300;37.630;9.472;8.815;38.482;16.211;7.377;24.414;15.979;9.904;31.223;14.155;10.794;34.466;11.923;11.014;35.845;9.867;11.258;36.669;15.898;8.382;24.789;16.474;11.830;26.249;15.956;13.495;29.052;15.815;16.164;29.705;0.000;0.000;0.000;-7.727;-12.173;-0.858;-10.224;-32.977;0.192;-13.156;-57.400;1.424;-12.755;-101.596;-6.282;7.476;-12.445;-1.286;9.392;-33.195;-0.129;11.640;-57.553;1.229;11.151;-101.890;-7.757
359.000;14.360;0.086;7.166;-0.239;0.111;13.913;-0.455;0.083;25.852;-0.826;-0.141;41.718;-1.848;-0.213;46.076;1.197;0.159;52.577;2.378;-6.771;56.471;3.511;6.933;56.880;2.104;-2.500;58.815;10.523;4.044;59.010;9.851;-1.593;36.474;-3.145;-15.684;34.777;-1.885;-21.018;21.867;-2.939;-26.913;7.598;-4.105;-22.586;7.524;7.924;-17.757;7.363;22.093;-18.027;5.682;23.009;-14.306;4.360;29.385;-12.941;4.756;31.429;-11.590;4.732;33.607;-10.624;5.122;34.914;-18.144;6.518;23.064;-15.536;6.443;30.104;-13.302;7.230;33.468;-11.384;7.893;35.659;-10.001;8.291;37.113;-17.687;7.861;22.579;-15.667;9.044;30.400;-13.522;9.597;33.861;-11.134;10.232;36.148;-9.696;10.573;37.731;-18.003;8.863;22.368;-15.736;11.358;29.691;-13.392;12.116;32.680;-11.391;12.542;34.680;-9.888;12.613;36.094;-16.823;9.841;23.864;-16.337;13.136;25.168;-15.015;14.615;26.883;-14.825;17.281;27.698;1.630;36.531;-2.966;15.710;34.126;-0.672;21.527;20.701;-1.580;27.957;5.864;-2.583;22.685;6.081;9.055;16.623;6.001;23.343;16.065;4.368;24.414;13.999;3.112;30.734;12.305;2.731;33.264;10.090;3.280;34.268;8.501;3.818;34.574;16.291;5.246;24.529;15.326;5.148;31.087;13.204;5.288;34.974;10.306;5.896;36.638;8.462;6.531;37.409;15.988;6.552;24.580;15.805;7.385;31.649;13.854;7.809;35.880;11.318;8.381;37.519;9.355;8.902;38.328;16.201;7.427;24.385;15.934;9.971;31.180;14.068;10.893;34.404;11.879;11.116;35.837;9.845;11.350;36.716;15.902;8.426;24.785;16.429;11.900;26.219;15.885;13.576;29.021;15.711;16.251;29.646;0.000;0.000;0.000;-7.725;-12.173;-0.857;-10.223;-32.979;0.200;-13.156;-57.402;1.441;-12.754;-101.597;-6.258;7.478;-12.444;-1.284;9.396;-33.195;-0.123;11.647;-57.555;1.241;11.161;-101.889;-7.748
360.000;14.400;0.085;7.164;-0.242;0.108;13.910;-0.463;0.077;25.846;-0.845;-0.154;41.712;-1.870;-0.226;46.073;1.179;0.146;52.577;2.365;-6.775;56.486;3.505;6.929;56.867;2.079;-2.490;58.827;10.509;4.054;59.009;9.828;-1.603;36.467;-3.166;-15.690;34.756;-1.907;-21.016;21.840;-2.964;-26.903;7.565;-4.133;-22.583;7.519;7.900;-17.758;7.392;22.076;-18.025;5.706;22.988;-14.303;4.364;29.371;-12.943;4.778;31.403;-11.544;4.742;33.560;-10.554;5.135;34.849;-18.140;6.543;23.039;-15.546;6.484;30.085;-13.296;7.272;33.446;-11.358;7.919;35.624;-9.990;8.333;37.086;-17.684;7.919;22.553;-15.657;9.084;30.377;-13.487;9.610;33.815;-11.027;10.266;36.046;-9.594;10.565;37.641;-18.004;8.916;22.345;-15.754;11.400;29.661;-13.345;12.161;32.631;-11.403;12.572;34.655;-9.889;12.686;36.054;-16.857;9.861;23.834;-16.357;13.172;25.152;-15.039;14.660;26.824;-14.880;17.306;27.708;1.619;36.525;-2.987;15.701;34.127;-0.694;21.512;20.704;-1.604;27.935;5.867;-2.610;22.677;6.129;9.032;16.627;6.108;23.328;16.075;4.468;24.388;13.988;3.236;30.728;12.315;2.804;33.260;10.059;3.438;34.121;8.459;4.025;34.195;16.293;5.349;24.499;15.338;5.265;31.070;13.239;5.381;34.974;10.268;6.016;36.502;8.360;6.624;37.126;15.991;6.688;24.563;15.811;7.520;31.630;13.866;7.914;35.865;11.309;8.492;37.462;9.307;9.011;38.168;16.210;7.560;24.368;15.921;10.086;31.154;14.021;10.997;34.371;11.893;11.233;35.865;9.877;11.474;36.785;15.903;8.529;24.760;16.329;12.027;26.199;15.750;13.701;28.985;15.432;16.368;29.585;0.000;0.000;0.000;-7.724;-12.175;-0.850;-10.221;-32.977;0.213;-13.152;-57.397;1.462;-12.750;-101.595;-6.230;7.479;-12.444;-1.281;9.394;-33.193;-0.109;11.643;-57.551;1.266;11.149;-101.888;-7.704
361.000;14.440;0.084;7.161;-0.245;0.107;13.904;-0.474;0.074;25.835;-0.876;-0.163;41.701;-1.903;-0.235;46.066;1.149;0.143;52.574;2.342;-6.771;56.493;3.490;6.932;56.852;2.051;-2.475;58.824;10.491;4.068;58.996;9.804;-1.610;36.455;-3.198;-15.702;34.732;-1.944;-21.009;21.810;-3.007;-26.874;7.527;-4.183;-22.579;7.516;7.858;-17.782;7.432;22.045;-18.039;5.744;22.950;-14.311;4.384;29.333;-12.966;4.796;31.363;-11.472;4.737;33.480;-10.452;5.115;34.749;-18.156;6.581;23.000;-15.586;6.517;30.060;-13.291;7.303;33.399;-11.337;7.943;35.555;-9.932;8.340;36.987;-17.691;7.962;22.518;-15.696;9.113;30.345;-13.385;9.601;33.709;-10.931;10.199;35.886;-9.362;10.484;37.352;-18.028;8.966;22.317;-15.778;11.435;29.628;-13.409;12.201;32.594;-11.412;12.643;34.603;-9.934;12.720;36.043;-16.875;9.896;23.790;-16.393;13.205;25.115;-15.094;14.696;26.793;-14.926;17.349;27.656;1.612;36.515;-3.019;15.692;34.128;-0.724;21.489;20.699;-1.625;27.897;5.856;-2.620;22.659;6.172;9.025;16.646;6.219;23.322;16.123;4.556;24.379;13.927;3.396;30.705;12.253;2.952;33.250;9.942;3.643;33.972;8.373;4.309;33.907;16.344;5.437;24.483;15.350;5.394;31.070;13.274;5.496;35.000;10.237;6.173;36.381;8.300;6.802;36.880;16.002;6.779;24.562;15.831;7.654;31.632;13.910;8.020;35.882;11.300;8.615;37.404;9.269;9.130;38.026;16.216;7.651;24.360;15.935;10.220;31.144;14.062;11.123;34.381;11.947;11.382;35.930;9.991;11.649;36.964;15.901;8.644;24.767;16.250;12.160;26.190;15.543;13.828;28.995;15.196;16.498;29.567;0.000;0.000;0.000;-7.724;-12.175;-0.850;-10.224;-32.977;0.212;-13.158;-57.397;1.459;-12.765;-101.594;-6.225;7.479;-12.444;-1.281;9.395;-33.194;-0.108;11.643;-57.554;1.269;11.149;-101.893;-7.702
362.000;14.480;0.084;7.159;-0.248;0.106;13.900;-0.485;0.072;25.826;-0.910;-0.168;41.691;-1.943;-0.239;46.060;1.114;0.148;52.570;2.315;-6.758;56.498;3.476;6.943;56.838;2.022;-2.451;58.813;10.475;4.092;58.976;9.781;-1.614;36.444;-3.236;-15.704;34.712;-1.974;-20.996;21.787;-3.042;-26.845;7.501;-4.223;-22.566;7.549;7.819;-17.790;7.533;22.007;-18.060;5.848;22.912;-14.349;4.476;29.311;-12.951;4.824;31.307;-11.074;4.843;33.151;-9.884;5.265;34.247;-18.173;6.685;22.961;-15.600;6.622;30.029;-13.306;7.325;33.375;-11.204;7.927;35.385;-9.646;8.301;36.656;-17.702;8.060;22.483;-15.696;9.224;30.305;-13.333;9.653;33.649;-10.775;10.242;35.721;-9.167;10.488;37.151;-18.032;9.056;22.282;-15.790;11.545;29.589;-13.432;12.291;32.557;-11.450;12.723;34.578;-9.963;12.758;36.010;-16.884;10.011;23.777;-16.348;13.303;25.090;-15.029;14.779;26.778;-14.844;17.449;27.582;1.608;36.505;-3.056;15.693;34.120;-0.759;21.463;20.688;-1.644;27.841;5.841;-2.623;22.636;6.254;9.035;16.662;6.423;23.355;16.143;4.728;24.402;13.936;3.676;30.748;12.152;3.295;33.254;9.845;4.271;33.407;8.539;5.083;32.669;16.365;5.609;24.501;15.425;5.596;31.108;13.323;5.692;35.040;10.124;6.510;35.834;8.166;7.222;35.594;16.009;6.996;24.595;15.903;7.842;31.668;14.013;8.156;35.937;11.277;8.776;37.247;9.181;9.280;37.606;16.233;7.867;24.395;15.984;10.376;31.185;14.131;11.278;34.453;12.175;11.568;36.137;10.261;11.834;37.247;15.878;8.853;24.807;16.133;12.397;26.222;15.232;13.980;29.068;14.686;16.609;29.668;0.000;0.000;0.000;-7.724;-12.175;-0.848;-10.227;-32.977;0.220;-13.164;-57.397;1.475;-12.776;-101.595;-6.201;7.479;-12.444;-1.279;9.395;-33.194;-0.100;11.644;-57.554;1.284;11.149;-101.892;-7.678
363.000;14.520;0.084;7.157;-0.253;0.104;13.896;-0.497;0.068;25.819;-0.936;-0.183;41.683;-1.977;-0.251;46.057;1.083;0.147;52.571;2.290;-6.749;56.515;3.461;6.953;56.822;2.002;-2.433;58.807;10.463;4.110;58.953;9.766;-1.626;36.435;-3.268;-15.718;34.700;-1.991;-20.982;21.766;-3.065;-26.799;7.471;-4.251;-22.570;7.670;7.793;-17.846;7.843;21.992;-18.115;6.141;22.881;-14.412;4.712;29.285;-13.016;4.978;31.304;-10.511;5.357;32.078;-8.975;6.006;32.201;-18.210;6.981;22.921;-15.713;6.910;30.021;-13.263;7.362;33.312;-10.586;7.949;34.560;-8.637;8.292;35.079;-17.783;8.372;22.477;-15.760;9.519;30.290;-13.270;9.850;33.575;-10.508;10.353;35.387;-8.687;10.564;36.540;-18.109;9.374;22.277;-15.835;11.867;29.566;-13.496;12.547;32.573;-11.591;12.962;34.650;-10.148;13.003;36.126;-16.839;10.299;23.762;-16.201;13.597;25.127;-14.791;14.989;26.794;-14.477;17.666;27.528;1.596;36.497;-3.089;15.696;34.122;-0.798;21.398;20.680;-1.639;27.700;5.823;-2.568;22.543;6.449;9.100;16.620;6.893;23.448;16.118;5.164;24.495;13.965;4.135;30.870;12.035;3.952;33.270;9.986;5.097;32.595;9.365;5.791;31.165;16.321;6.051;24.582;15.546;6.028;31.242;13.287;6.173;35.097;10.071;7.096;34.852;8.450;7.740;33.687;15.998;7.407;24.710;16.009;8.334;31.775;14.075;8.569;36.024;11.175;9.143;36.965;9.065;9.631;36.675;16.198;8.281;24.500;16.007;10.847;31.273;14.131;11.662;34.590;12.321;11.881;36.419;10.536;12.137;37.728;15.899;9.335;24.961;15.746;12.905;26.328;14.476;14.192;29.216;13.232;16.487;30.088;0.000;0.000;0.000;-7.724;-12.176;-0.840;-10.226;-32.977;0.236;-13.164;-57.396;1.499;-12.773;-101.593;-6.179;7.479;-12.444;-1.271;9.393;-33.193;-0.088;11.641;-57.550;1.302;11.141;-101.889;-7.655
364.000;14.560;0.083;7.156;-0.258;0.103;13.893;-0.510;0.063;25.813;-0.964;-0.201;41.678;-2.006;-0.264;46.052;1.060;0.145;52.564;2.279;-6.737;56.532;3.451;6.967;56.791;1.998;-2.416;58.801;10.456;4.128;58.924;9.763;-1.641;36.428;-3.294;-15.737;34.689;-1.983;-20.940;21.733;-3.005;-26.691;7.414;-4.134;-22.571;7.989;7.919;-17.956;8.633;22.152;-18.296;6.921;23.022;-14.605;5.286;29.339;-13.010;5.457;31.240;-10.691;6.147;30.434;-9.992;6.923;29.128;-18.352;7.765;23.060;-15.898;7.525;30.206;-12.784;7.797;32.921;-9.820;8.391;32.485;-8.176;8.706;31.311;-17.937;9.225;22.623;-15.883;10.120;30.454;-13.026;10.338;33.439;-9.769;10.548;34.281;-7.624;10.528;34.576;-18.275;10.263;22.448;-15.859;12.512;29.783;-13.736;13.067;32.950;-12.120;13.434;35.247;-10.817;13.424;36.849;-16.819;10.974;23.974;-15.577;14.089;25.469;-13.866;15.121;27.220;-12.997;17.635;28.076;1.581;36.493;-3.119;15.693;34.146;-0.848;21.299;20.685;-1.577;27.495;5.806;-2.383;22.392;6.836;9.285;16.514;7.783;23.660;16.105;6.025;24.738;14.200;4.906;31.152;12.030;4.855;33.282;10.419;5.962;31.872;10.676;6.350;30.231;16.250;6.924;24.815;15.761;6.887;31.516;13.180;7.050;35.140;10.107;7.757;33.995;9.296;8.154;32.102;15.945;8.287;24.928;16.116;9.241;31.981;14.075;9.452;36.119;11.058;9.765;36.636;9.094;10.138;35.753;16.100;9.167;24.706;15.941;11.763;31.453;14.073;12.431;34.823;12.376;12.570;36.786;10.721;12.731;38.270;15.675;10.231;25.197;14.990;13.775;26.578;13.371;14.659;29.484;11.509;16.369;30.570;0.000;0.000;0.000;-7.724;-12.176;-0.833;-10.227;-32.979;0.253;-13.165;-57.400;1.528;-12.772;-101.595;-6.142;7.479;-12.445;-1.265;9.393;-33.193;-0.071;11.640;-57.550;1.331;11.136;-101.889;-7.617
365.000;14.600;0.082;7.157;-0.267;0.100;13.895;-0.526;0.057;25.817;-0.996;-0.216;41.680;-2.047;-0.276;46.060;1.032;0.142;52.571;2.285;-6.724;56.574;3.433;6.986;56.764;2.030;-2.417;58.820;10.454;4.130;58.911;9.784;-1.655;36.429;-3.331;-15.749;34.718;-2.000;-20.892;21.725;-2.783;-26.577;7.364;-3.649;-22.544;8.577;8.397;-17.978;10.027;22.656;-18.525;8.340;23.519;-15.255;6.427;29.783;-13.300;6.495;31.341;-11.850;7.228;29.443;-12.236;7.893;27.958;-18.457;9.183;23.543;-16.202;8.692;30.695;-12.383;8.563;32.299;-10.185;8.895;30.176;-9.894;9.142;28.167;-17.913;10.550;23.165;-15.902;11.325;30.792;-12.368;10.973;32.943;-9.109;10.575;32.260;-7.155;10.256;31.383;-18.100;11.606;22.972;-15.787;13.657;30.305;-14.100;13.970;33.765;-13.054;14.137;36.351;-12.180;14.036;38.219;-16.604;12.163;24.448;-14.539;14.774;26.148;-12.633;15.195;27.915;-10.940;17.163;28.950;1.568;36.496;-3.159;15.692;34.204;-0.906;21.167;20.707;-1.356;27.218;5.788;-1.855;22.121;7.553;9.737;16.190;9.457;24.091;16.062;7.702;25.192;14.811;6.236;31.541;12.389;6.148;33.310;11.182;7.110;31.514;11.893;7.369;29.985;16.075;8.611;25.284;16.179;8.383;31.958;13.381;8.076;35.430;10.568;8.431;33.636;10.314;8.674;31.568;15.735;9.882;25.372;16.143;10.766;32.386;14.244;10.513;36.562;11.171;10.401;36.736;9.411;10.518;35.446;15.731;10.778;25.161;15.583;13.209;31.959;13.914;13.415;35.523;12.569;13.209;37.744;11.302;13.057;39.572;15.127;11.744;25.750;13.356;14.795;27.444;11.707;15.037;30.474;9.448;15.909;31.782;0.000;0.000;0.000;-7.721;-12.179;-0.817;-10.225;-32.978;0.280;-13.164;-57.395;1.566;-12.773;-101.597;-6.088;7.481;-12.445;-1.252;9.395;-33.191;-0.047;11.642;-57.546;1.368;11.135;-101.892;-7.557
