Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2222.000;88.880;0.051;7.218;-0.147;0.062;14.015;-0.228;0.037;26.042;-0.301;-0.181;41.931;-0.846;-0.304;46.220;2.185;0.053;52.799;3.166;-6.839;56.875;3.769;6.943;56.894;3.653;-3.179;58.891;11.215;3.403;58.900;11.159;-1.607;36.728;-2.326;-15.657;34.903;-1.517;-20.762;21.943;-2.919;-26.405;7.619;-4.467;-22.905;4.668;7.705;-19.038;1.169;21.923;-19.914;-0.327;22.724;-18.314;-2.603;29.700;-17.677;-2.602;32.119;-17.292;-3.013;34.603;-16.905;-2.906;36.227;-19.834;0.513;22.790;-18.865;-0.146;30.160;-17.441;0.277;33.959;-16.605;0.717;36.780;-16.076;0.979;38.738;-18.767;1.637;22.394;-18.336;2.357;30.481;-17.028;2.807;34.264;-16.042;3.308;37.466;-15.585;3.624;39.560;-18.776;2.671;22.149;-17.559;4.575;29.845;-15.868;4.867;33.328;-14.666;5.055;35.854;-13.750;4.886;37.697;-17.704;3.232;23.914;-16.603;6.322;25.232;-14.980;7.103;27.160;-14.256;9.521;28.358;1.612;36.780;-2.090;15.658;34.263;0.331;21.147;20.739;-0.840;27.214;5.791;-2.135;22.432;5.003;9.766;17.001;3.735;24.310;16.898;1.988;25.341;15.624;0.084;31.703;14.788;-1.009;34.350;13.575;-1.650;36.369;12.641;-2.066;37.735;16.963;2.889;25.481;16.456;2.415;32.071;15.193;1.954;36.234;13.575;1.660;39.136;12.525;1.622;40.951;16.346;4.078;25.600;16.604;4.673;32.753;16.103;4.600;37.329;15.193;4.487;40.200;14.485;4.548;42.267;16.347;4.984;25.430;16.209;7.214;32.531;15.565;7.814;36.280;14.906;7.933;38.828;14.224;8.081;40.945;15.924;5.900;25.929;15.830;9.274;27.744;15.360;10.916;30.468;14.984;13.587;31.015;0.000;0.000;0.000;-7.636;-12.213;-1.070;-9.754;-33.021;-0.046;-12.244;-57.447;1.156;-11.019;-101.590;-6.591;7.572;-12.383;-1.321;9.217;-33.141;-0.098;11.146;-57.511;1.337;10.080;-101.893;-7.323
2223.000;88.920;0.051;7.217;-0.148;0.062;14.012;-0.232;0.035;26.037;-0.312;-0.175;41.926;-0.856;-0.294;46.216;2.176;0.068;52.797;3.157;-6.820;56.879;3.770;6.962;56.885;3.641;-3.150;58.885;11.214;3.432;58.888;11.152;-1.604;36.724;-2.336;-15.653;34.905;-1.519;-20.762;21.944;-2.922;-26.407;7.619;-4.473;-22.898;4.694;7.701;-19.017;1.233;21.923;-19.893;-0.266;22.725;-18.289;-2.511;29.710;-17.652;-2.494;32.121;-17.263;-2.921;34.603;-16.848;-2.810;36.219;-19.811;0.574;22.791;-18.860;-0.079;30.161;-17.429;0.370;33.951;-16.571;0.812;36.773;-16.031;1.069;38.728;-18.733;1.700;22.388;-18.313;2.439;30.476;-16.990;2.892;34.260;-16.046;3.394;37.463;-15.570;3.711;39.552;-18.752;2.734;22.140;-17.552;4.646;29.835;-15.858;4.952;33.324;-14.666;5.152;35.839;-13.787;4.933;37.695;-17.705;3.292;23.900;-16.591;6.388;25.220;-14.988;7.184;27.141;-14.232;9.597;28.330;1.615;36.775;-2.101;15.663;34.248;0.315;21.145;20.721;-0.862;27.204;5.770;-2.163;22.418;4.968;9.737;16.985;3.683;24.277;16.879;1.934;25.306;15.625;0.018;31.664;14.795;-1.079;34.318;13.561;-1.735;36.341;12.647;-2.160;37.718;16.942;2.835;25.449;16.434;2.353;32.037;15.191;1.867;36.202;13.585;1.577;39.103;12.524;1.515;40.911;16.288;4.082;25.561;16.573;4.605;32.720;16.082;4.517;37.295;15.165;4.398;40.167;14.448;4.459;42.230;16.312;4.987;25.395;16.179;7.133;32.503;15.536;7.769;36.246;14.879;7.850;38.794;14.177;7.991;40.905;15.905;5.840;25.897;15.795;9.210;27.714;15.357;10.845;30.434;14.978;13.509;31.010;0.000;0.000;0.000;-7.636;-12.213;-1.070;-9.751;-33.017;-0.048;-12.238;-57.440;1.151;-11.013;-101.597;-6.578;7.572;-12.383;-1.320;9.223;-33.141;-0.097;11.160;-57.510;1.338;10.107;-101.891;-7.320
2224.000;88.960;0.051;7.216;-0.151;0.062;14.011;-0.238;0.033;26.034;-0.323;-0.176;41.924;-0.863;-0.292;46.212;2.170;0.075;52.794;3.151;-6.810;56.879;3.773;6.972;56.879;3.632;-3.133;58.877;11.215;3.448;58.877;11.148;-1.606;36.722;-2.343;-15.657;34.905;-1.523;-20.769;21.945;-2.922;-26.418;7.619;-4.467;-22.898;4.725;7.709;-19.004;1.298;21.932;-19.872;-0.192;22.743;-18.260;-2.415;29.731;-17.626;-2.403;32.132;-17.219;-2.804;34.611;-16.796;-2.702;36.226;-19.796;0.648;22.807;-18.849;-0.005;30.173;-17.387;0.453;33.959;-16.514;0.891;36.780;-15.983;1.141;38.739;-18.708;1.765;22.400;-18.280;2.498;30.489;-16.946;2.972;34.261;-15.990;3.487;37.468;-15.526;3.819;39.557;-18.719;2.804;22.149;-17.516;4.735;29.832;-15.826;5.040;33.323;-14.627;5.238;35.845;-13.734;5.070;37.699;-17.683;3.356;23.899;-16.573;6.467;25.224;-14.967;7.245;27.152;-14.215;9.670;28.319;1.613;36.772;-2.110;15.661;34.239;0.301;21.136;20.710;-0.885;27.188;5.757;-2.196;22.404;4.938;9.703;16.974;3.635;24.243;16.863;1.873;25.265;15.605;-0.032;31.627;14.767;-1.139;34.275;13.547;-1.792;36.292;12.627;-2.214;37.665;16.926;2.774;25.406;16.418;2.295;31.999;15.178;1.811;36.162;13.564;1.514;39.058;12.505;1.435;40.867;16.322;3.966;25.531;16.577;4.557;32.687;16.072;4.442;37.262;15.158;4.321;40.130;14.431;4.376;42.190;16.323;4.871;25.364;16.184;7.076;32.481;15.578;7.713;36.214;14.924;7.786;38.767;14.192;7.920;40.868;15.904;5.791;25.874;15.791;9.162;27.687;15.302;10.805;30.430;14.930;13.480;30.956;0.000;0.000;0.000;-7.636;-12.213;-1.065;-9.753;-33.021;-0.045;-12.241;-57.447;1.152;-11.019;-101.608;-6.577;7.572;-12.383;-1.315;9.223;-33.141;-0.091;11.160;-57.510;1.346;10.109;-101.893;-7.311
2225.000;89.000;0.051;7.216;-0.153;0.062;14.010;-0.243;0.033;26.032;-0.333;-0.174;41.922;-0.871;-0.287;46.213;2.166;0.085;52.798;3.151;-6.799;56.886;3.774;6.983;56.880;3.624;-3.116;58.887;11.213;3.465;58.884;11.141;-1.605;36.720;-2.351;-15.657;34.905;-1.523;-20.769;21.945;-2.913;-26.420;7.621;-4.448;-22.883;4.756;7.728;-18.965;1.364;21.954;-19.823;-0.139;22.764;-18.225;-2.348;29.746;-17.566;-2.296;32.161;-17.163;-2.713;34.637;-16.741;-2.598;36.251;-19.740;0.701;22.824;-18.795;0.098;30.197;-17.349;0.545;33.978;-16.481;0.985;36.795;-15.931;1.261;38.745;-18.673;1.849;22.413;-18.232;2.613;30.496;-16.924;3.072;34.279;-15.955;3.584;37.481;-15.488;3.929;39.568;-18.693;2.881;22.164;-17.480;4.810;29.843;-15.759;5.129;33.338;-14.582;5.355;35.849;-13.696;5.186;37.707;-17.647;3.424;23.904;-16.536;6.537;25.224;-14.912;7.326;27.142;-14.177;9.751;28.320;1.614;36.770;-2.119;15.662;34.232;0.288;21.126;20.700;-0.910;27.166;5.744;-2.233;22.389;4.921;9.670;16.968;3.615;24.213;16.850;1.858;25.240;15.614;-0.066;31.600;14.793;-1.163;34.252;13.580;-1.829;36.273;12.664;-2.255;37.647;16.916;2.758;25.383;16.422;2.254;31.969;15.210;1.775;36.142;13.622;1.468;39.052;12.583;1.407;40.873;16.277;3.943;25.519;16.581;4.525;32.663;16.069;4.402;37.242;15.171;4.274;40.106;14.432;4.323;42.163;16.278;4.849;25.352;16.192;7.055;32.446;15.593;7.633;36.206;14.928;7.733;38.761;14.241;7.859;40.877;15.840;5.784;25.867;15.779;9.136;27.665;15.288;10.777;30.424;14.900;13.452;30.939;0.000;0.000;0.000;-7.636;-12.214;-1.060;-9.753;-33.019;-0.037;-12.242;-57.441;1.163;-11.021;-101.603;-6.557;7.572;-12.384;-1.310;9.223;-33.142;-0.080;11.160;-57.511;1.365;10.109;-101.894;-7.281
2226.000;89.040;0.051;7.215;-0.155;0.062;14.008;-0.246;0.033;26.029;-0.337;-0.168;41.920;-0.868;-0.279;46.211;2.171;0.094;52.798;3.158;-6.785;56.891;3.787;6.996;56.875;3.627;-3.096;58.889;11.223;3.486;58.881;11.147;-1.602;36.719;-2.350;-15.656;34.909;-1.518;-20.767;21.949;-2.909;-26.416;7.625;-4.447;-22.874;4.788;7.732;-18.952;1.428;21.960;-19.819;-0.070;22.775;-18.208;-2.254;29.763;-17.537;-2.177;32.187;-17.130;-2.583;34.676;-16.748;-2.463;36.299;-19.741;0.771;22.833;-18.766;0.170;30.210;-17.336;0.646;33.981;-16.456;1.094;36.803;-15.910;1.374;38.754;-18.661;1.910;22.422;-18.205;2.689;30.505;-16.907;3.154;34.279;-15.920;3.724;37.465;-15.472;4.038;39.560;-18.680;2.946;22.170;-17.475;4.913;29.840;-15.781;5.238;33.329;-14.549;5.448;35.852;-13.707;5.273;37.729;-17.618;3.496;23.918;-16.529;6.619;25.221;-14.897;7.407;27.132;-14.172;9.833;28.315;1.617;36.768;-2.120;15.666;34.223;0.283;21.118;20.690;-0.927;27.144;5.733;-2.265;22.371;4.906;9.638;16.953;3.598;24.180;16.836;1.822;25.199;15.586;-0.100;31.564;14.774;-1.194;34.218;13.562;-1.845;36.242;12.644;-2.273;37.615;16.893;2.723;25.341;16.412;2.238;31.937;15.196;1.746;36.109;13.587;1.443;39.017;12.535;1.382;40.831;16.297;3.914;25.473;16.572;4.501;32.631;16.060;4.370;37.209;15.126;4.239;40.070;14.387;4.293;42.127;16.294;4.819;25.307;16.182;7.029;32.419;15.603;7.605;36.174;14.930;7.692;38.732;14.221;7.818;40.841;15.868;5.745;25.802;15.762;9.117;27.642;15.248;10.749;30.380;14.861;13.421;30.912;0.000;0.000;0.000;-7.636;-12.214;-1.058;-9.751;-33.019;-0.033;-12.237;-57.442;1.171;-11.009;-101.599;-6.553;7.572;-12.384;-1.308;9.223;-33.142;-0.075;11.160;-57.510;1.374;10.112;-101.894;-7.270
2227.000;89.080;0.051;7.216;-0.157;0.062;14.010;-0.250;0.033;26.032;-0.345;-0.167;41.922;-0.883;-0.276;46.214;2.156;0.099;52.800;3.143;-6.779;56.895;3.777;7.002;56.876;3.602;-3.081;58.896;11.208;3.500;58.887;11.124;-1.603;36.721;-2.361;-15.656;34.912;-1.516;-20.767;21.952;-2.893;-26.415;7.627;-4.415;-22.862;4.826;7.768;-18.929;1.507;22.000;-19.797;0.009;22.815;-18.163;-2.169;29.815;-17.513;-2.069;32.228;-17.078;-2.483;34.719;-16.685;-2.354;36.339;-19.717;0.850;22.870;-18.742;0.262;30.256;-17.301;0.744;34.030;-16.411;1.208;36.843;-15.886;1.490;38.799;-18.622;2.021;22.452;-18.178;2.784;30.535;-16.846;3.284;34.300;-15.860;3.812;37.497;-15.394;4.145;39.586;-18.669;3.052;22.200;-17.440;5.009;29.869;-15.724;5.329;33.355;-14.519;5.551;35.871;-13.645;5.384;37.734;-17.576;3.580;23.962;-16.491;6.700;25.244;-14.869;7.490;27.157;-14.116;9.915;28.323;1.617;36.770;-2.133;15.666;34.225;0.261;21.118;20.692;-0.947;27.143;5.733;-2.282;22.375;4.916;9.626;16.961;3.616;24.173;16.850;1.849;25.197;15.592;-0.084;31.557;14.772;-1.172;34.214;13.566;-1.818;36.233;12.645;-2.254;37.602;16.910;2.749;25.340;16.420;2.254;31.932;15.183;1.778;36.103;13.574;1.475;39.003;12.518;1.418;40.815;16.277;3.953;25.476;16.571;4.520;32.624;16.059;4.403;37.201;15.115;4.263;40.061;14.377;4.324;42.118;16.283;4.859;25.309;16.193;7.057;32.408;15.621;7.629;36.175;14.962;7.737;38.718;14.246;7.869;40.824;15.883;5.776;25.812;15.758;9.142;27.628;15.250;10.783;30.373;14.852;13.456;30.890;0.000;0.000;0.000;-7.637;-12.214;-1.051;-9.750;-33.018;-0.018;-12.235;-57.439;1.196;-11.007;-101.603;-6.519;7.572;-12.385;-1.306;9.224;-33.142;-0.063;11.161;-57.510;1.397;10.110;-101.893;-7.242
2228.000;89.120;0.051;7.215;-0.160;0.062;14.009;-0.254;0.032;26.031;-0.352;-0.169;41.922;-0.886;-0.276;46.214;2.155;0.097;52.801;3.145;-6.781;56.894;3.787;7.000;56.880;3.594;-3.075;58.897;11.213;3.506;58.891;11.121;-1.605;36.721;-2.365;-15.659;34.906;-1.511;-20.770;21.946;-2.880;-26.419;7.622;-4.392;-22.856;4.842;7.788;-18.909;1.540;22.019;-19.780;0.048;22.841;-18.138;-2.125;29.835;-17.469;-2.012;32.245;-17.002;-2.438;34.738;-16.605;-2.309;36.357;-19.700;0.888;22.896;-18.729;0.314;30.275;-17.258;0.802;34.054;-16.374;1.234;36.865;-15.837;1.533;38.816;-18.634;2.010;22.485;-18.153;2.837;30.559;-16.829;3.318;34.334;-15.826;3.853;37.517;-15.341;4.185;39.602;-18.650;3.039;22.225;-17.409;5.068;29.877;-15.719;5.400;33.369;-14.528;5.626;35.882;-13.605;5.467;37.722;-17.562;3.598;23.938;-16.470;6.744;25.263;-14.845;7.537;27.163;-14.083;9.960;28.328;1.614;36.770;-2.139;15.665;34.226;0.246;21.120;20.692;-0.967;27.150;5.733;-2.309;22.389;4.918;9.602;16.986;3.624;24.153;16.867;1.861;25.178;15.629;-0.072;31.537;14.820;-1.169;34.195;13.609;-1.822;36.218;12.691;-2.258;37.588;16.928;2.762;25.322;16.457;2.270;31.911;15.237;1.773;36.081;13.621;1.467;38.979;12.559;1.416;40.787;16.269;4.027;25.440;16.613;4.523;32.603;16.099;4.393;37.179;15.146;4.265;40.034;14.387;4.307;42.084;16.298;4.933;25.277;16.235;7.046;32.391;15.656;7.620;36.178;15.032;7.729;38.705;14.315;7.830;40.813;15.902;5.781;25.804;15.763;9.143;27.619;15.251;10.776;30.335;14.812;13.438;30.879;0.000;0.000;0.000;-7.637;-12.214;-1.043;-9.750;-33.019;-0.001;-12.235;-57.442;1.223;-11.009;-101.606;-6.484;7.571;-12.385;-1.305;9.228;-33.142;-0.052;11.173;-57.508;1.418;10.124;-101.893;-7.216
2229.000;89.160;0.051;7.215;-0.163;0.062;14.009;-0.259;0.032;26.031;-0.359;-0.169;41.921;-0.894;-0.274;46.214;2.147;0.105;52.802;3.138;-6.772;56.897;3.792;7.009;56.878;3.582;-3.055;58.895;11.214;3.526;58.886;11.114;-1.606;36.720;-2.372;-15.661;34.908;-1.507;-20.775;21.949;-2.868;-26.427;7.625;-4.371;-22.856;4.865;7.809;-18.897;1.597;22.041;-19.773;0.105;22.863;-18.108;-2.048;29.858;-17.387;-1.943;32.267;-16.901;-2.360;34.739;-16.451;-2.216;36.343;-19.698;0.946;22.917;-18.675;0.403;30.293;-17.237;0.868;34.078;-16.340;1.319;36.881;-15.791;1.598;38.831;-18.622;2.068;22.507;-18.144;2.904;30.584;-16.824;3.371;34.348;-15.750;3.888;37.508;-15.246;4.179;39.594;-18.644;3.095;22.245;-17.397;5.133;29.891;-15.690;5.464;33.377;-14.489;5.682;35.884;-13.561;5.534;37.723;-17.548;3.658;23.965;-16.460;6.809;25.270;-14.839;7.593;27.175;-14.069;10.020;28.325;1.614;36.769;-2.147;15.666;34.221;0.232;21.123;20.687;-0.981;27.154;5.729;-2.322;22.396;4.923;9.591;16.998;3.634;24.145;16.887;1.876;25.171;15.640;-0.060;31.530;14.811;-1.163;34.178;13.606;-1.815;36.197;12.675;-2.240;37.562;16.948;2.777;25.315;16.473;2.299;31.905;15.240;1.778;36.073;13.594;1.488;38.957;12.525;1.415;40.760;16.343;3.973;25.431;16.624;4.538;32.599;16.108;4.398;37.172;15.108;4.246;40.014;14.309;4.295;42.048;16.349;4.878;25.264;16.250;7.064;32.383;15.696;7.636;36.152;15.045;7.733;38.693;14.330;7.854;40.801;15.895;5.793;25.773;15.772;9.156;27.611;15.246;10.806;30.312;14.780;13.466;30.838;0.000;0.000;0.000;-7.638;-12.215;-1.035;-9.750;-33.022;0.019;-12.234;-57.446;1.257;-11.003;-101.607;-6.454;7.571;-12.386;-1.300;9.228;-33.141;-0.035;11.173;-57.505;1.450;10.131;-101.891;-7.179
2230.000;89.200;0.051;7.215;-0.165;0.062;14.008;-0.264;0.032;26.029;-0.366;-0.167;41.919;-0.901;-0.270;46.215;2.143;0.111;52.805;3.138;-6.762;56.903;3.802;7.019;56.876;3.569;-3.032;58.901;11.218;3.549;58.889;11.107;-1.605;36.719;-2.378;-15.658;34.908;-1.504;-20.778;21.952;-2.872;-26.437;7.632;-4.383;-22.857;4.902;7.800;-18.886;1.671;22.034;-19.749;0.187;22.865;-18.087;-1.930;29.860;-17.294;-1.838;32.276;-16.799;-2.235;34.725;-16.317;-2.098;36.320;-19.673;1.028;22.919;-18.648;0.511;30.285;-17.263;0.970;34.074;-16.319;1.418;36.881;-15.757;1.659;38.833;-18.610;2.136;22.499;-18.148;3.001;30.571;-16.845;3.452;34.352;-15.724;3.901;37.494;-15.104;4.157;39.553;-18.632;3.167;22.233;-17.400;5.215;29.879;-15.698;5.567;33.363;-14.485;5.787;35.878;-13.560;5.641;37.718;-17.568;3.753;23.975;-16.439;6.880;25.258;-14.812;7.677;27.158;-14.047;10.110;28.301;1.615;36.767;-2.154;15.667;34.216;0.219;21.122;20.682;-0.997;27.151;5.722;-2.342;22.407;4.932;9.577;17.020;3.663;24.141;16.914;1.913;25.166;15.683;-0.024;31.526;14.848;-1.112;34.185;13.634;-1.794;36.195;12.720;-2.218;37.572;16.974;2.814;25.310;16.520;2.316;31.892;15.278;1.797;36.068;13.620;1.505;38.940;12.534;1.436;40.734;16.335;4.079;25.418;16.662;4.587;32.588;16.126;4.423;37.171;15.109;4.278;40.000;14.291;4.321;42.027;16.364;4.985;25.256;16.288;7.114;32.367;15.734;7.702;36.131;15.081;7.776;38.679;14.359;7.888;40.785;15.936;5.832;25.781;15.785;9.194;27.595;15.255;10.845;30.299;14.763;13.505;30.807;0.000;0.000;0.000;-7.637;-12.215;-1.032;-9.752;-33.020;0.026;-12.239;-57.443;1.267;-11.012;-101.606;-6.438;7.571;-12.386;-1.295;9.227;-33.142;-0.024;11.171;-57.508;1.468;10.124;-101.896;-7.162
