Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
131.000;5.240;0.025;7.166;-0.283;0.032;13.911;-0.606;0.022;25.841;-1.247;-0.360;41.702;-2.296;-0.453;46.002;0.723;-0.217;52.402;1.937;-7.070;56.357;3.305;6.603;56.627;1.590;-2.611;58.512;10.260;3.918;58.641;9.441;-1.784;36.442;-3.560;-15.888;34.405;-2.290;-20.886;21.271;-3.137;-26.409;6.756;-4.073;-22.638;6.879;8.197;-18.404;6.956;22.598;-18.867;5.408;23.503;-16.489;4.107;30.516;-15.872;3.750;32.864;-15.186;2.784;35.145;-14.668;2.685;36.731;-19.064;6.231;23.499;-17.760;6.415;30.854;-15.773;7.056;34.322;-14.942;7.405;37.107;-14.274;7.511;39.037;-18.404;7.457;23.185;-18.060;9.172;30.794;-16.053;10.426;34.017;-14.518;11.598;36.775;-13.653;12.217;38.661;-18.746;8.403;22.823;-17.883;11.657;29.793;-14.796;12.850;31.943;-12.731;13.786;33.579;-11.205;14.155;34.920;-17.650;9.322;24.320;-17.394;12.732;25.645;-16.256;14.600;27.438;-17.191;17.156;28.070;1.440;36.529;-3.430;15.640;34.048;-1.209;20.787;20.423;-2.080;26.476;5.363;-3.044;22.118;6.241;8.914;17.246;7.017;23.554;17.158;5.491;24.852;15.569;4.365;31.316;14.712;3.278;33.952;13.628;2.512;35.968;12.692;2.038;37.313;17.233;6.402;24.858;16.421;6.837;31.410;15.082;6.958;35.601;13.018;7.085;38.254;11.640;7.295;39.822;16.534;7.492;24.843;16.570;9.307;31.687;15.248;10.104;36.118;13.394;10.541;38.495;11.847;10.915;39.993;16.511;8.352;24.514;16.070;11.881;30.885;14.587;13.569;34.103;13.228;14.307;36.194;11.840;14.821;37.861;16.070;9.372;24.774;15.792;13.065;25.872;15.262;15.107;28.368;14.743;17.805;28.216;0.000;0.000;0.000;-7.625;-12.252;-0.606;-9.528;-33.132;0.059;-11.761;-57.645;0.840;-10.383;-101.859;-7.526;7.561;-12.371;-1.482;9.278;-33.250;-0.482;11.295;-57.759;0.693;10.104;-102.108;-8.550
132.000;5.280;0.025;7.166;-0.282;0.032;13.911;-0.603;0.022;25.841;-1.242;-0.359;41.703;-2.281;-0.451;46.002;0.741;-0.214;52.403;1.960;-7.067;56.358;3.328;6.606;56.627;1.613;-2.608;58.511;10.283;3.921;58.640;9.465;-1.783;36.444;-3.549;-15.888;34.404;-2.278;-20.884;21.270;-3.132;-26.407;6.754;-4.075;-22.636;6.881;8.194;-18.403;6.964;22.592;-18.866;5.418;23.498;-16.489;4.122;30.517;-15.856;3.780;32.876;-15.197;2.836;35.151;-14.653;2.731;36.729;-19.063;6.240;23.494;-17.770;6.434;30.850;-15.776;7.076;34.316;-14.963;7.432;37.100;-14.281;7.554;39.024;-18.402;7.466;23.180;-18.066;9.184;30.786;-16.061;10.441;34.011;-14.535;11.613;36.762;-13.656;12.241;38.639;-18.745;8.412;22.819;-17.886;11.670;29.783;-14.799;12.863;31.930;-12.726;13.793;33.564;-11.208;14.166;34.914;-17.651;9.334;24.324;-17.392;12.738;25.643;-16.251;14.608;27.437;-17.194;17.161;28.069;1.441;36.530;-3.419;15.641;34.046;-1.198;20.786;20.420;-2.075;26.473;5.360;-3.045;22.114;6.244;8.911;17.242;7.026;23.548;17.149;5.496;24.847;15.567;4.380;31.312;14.708;3.292;33.951;13.621;2.532;35.971;12.698;2.055;37.324;17.221;6.407;24.852;16.423;6.852;31.406;15.071;6.972;35.592;13.011;7.114;38.245;11.634;7.318;39.814;16.537;7.506;24.833;16.580;9.325;31.680;15.243;10.130;36.107;13.391;10.568;38.487;11.837;10.949;39.975;16.514;8.366;24.504;16.073;11.899;30.875;14.590;13.583;34.096;13.228;14.323;36.191;11.839;14.843;37.854;16.059;9.396;24.786;15.798;13.077;25.858;15.275;15.113;28.342;14.752;17.812;28.214;0.000;0.000;0.000;-7.625;-12.252;-0.608;-9.529;-33.132;0.056;-11.764;-57.644;0.835;-10.387;-101.858;-7.538;7.561;-12.371;-1.484;9.277;-33.247;-0.486;11.291;-57.754;0.685;10.095;-102.106;-8.567
133.000;5.320;0.025;7.166;-0.281;0.032;13.911;-0.602;0.023;25.841;-1.239;-0.353;41.704;-2.268;-0.444;46.002;0.758;-0.205;52.403;1.981;-7.056;56.359;3.350;6.616;56.625;1.636;-2.597;58.509;10.307;3.932;58.636;9.488;-1.779;36.446;-3.539;-15.886;34.407;-2.267;-20.884;21.275;-3.128;-26.408;6.760;-4.079;-22.637;6.887;8.189;-18.404;6.970;22.587;-18.866;5.425;23.493;-16.492;4.133;30.514;-15.851;3.798;32.876;-15.194;2.859;35.149;-14.640;2.752;36.723;-19.065;6.248;23.489;-17.780;6.451;30.841;-15.783;7.089;34.308;-14.974;7.451;37.094;-14.290;7.580;39.017;-18.395;7.476;23.174;-18.073;9.189;30.782;-16.062;10.450;34.008;-14.527;11.620;36.757;-13.650;12.250;38.635;-18.739;8.421;22.812;-17.888;11.675;29.779;-14.804;12.869;31.918;-12.730;13.797;33.554;-11.207;14.162;34.900;-17.656;9.340;24.319;-17.387;12.743;25.638;-16.252;14.612;27.426;-17.185;17.165;28.071;1.445;36.531;-3.409;15.645;34.041;-1.187;20.789;20.413;-2.073;26.474;5.351;-3.053;22.114;6.238;8.904;17.244;7.021;23.539;17.148;5.491;24.840;15.564;4.378;31.307;14.706;3.290;33.946;13.609;2.535;35.962;12.696;2.053;37.320;17.223;6.402;24.844;16.417;6.851;31.400;15.060;6.968;35.584;13.006;7.112;38.237;11.625;7.310;39.803;16.540;7.502;24.824;16.584;9.317;31.672;15.247;10.122;36.103;13.387;10.563;38.481;11.829;10.949;39.965;16.517;8.362;24.495;16.074;11.897;30.866;14.590;13.579;34.093;13.232;14.319;36.183;11.843;14.847;37.845;16.036;9.398;24.785;15.799;13.075;25.853;15.267;15.117;28.331;14.751;17.817;28.202;0.000;0.000;0.000;-7.625;-12.251;-0.610;-9.531;-33.132;0.053;-11.769;-57.643;0.831;-10.397;-101.854;-7.551;7.561;-12.371;-1.485;9.275;-33.246;-0.490;11.286;-57.751;0.678;10.086;-102.108;-8.578
134.000;5.360;0.025;7.166;-0.281;0.032;13.910;-0.601;0.024;25.839;-1.238;-0.348;41.703;-2.261;-0.438;46.001;0.769;-0.196;52.404;1.997;-7.046;56.362;3.371;6.627;56.625;1.656;-2.586;58.504;10.329;3.944;58.629;9.510;-1.776;36.446;-3.534;-15.883;34.410;-2.262;-20.884;21.279;-3.128;-26.411;6.766;-4.085;-22.639;6.892;8.184;-18.405;6.972;22.583;-18.872;5.426;23.489;-16.496;4.130;30.503;-15.839;3.803;32.870;-15.185;2.865;35.141;-14.630;2.761;36.715;-19.072;6.248;23.485;-17.782;6.455;30.835;-15.792;7.089;34.303;-14.984;7.454;37.088;-14.295;7.589;39.009;-18.387;7.478;23.171;-18.074;9.195;30.773;-16.048;10.455;34.000;-14.519;11.622;36.752;-13.646;12.253;38.630;-18.729;8.420;22.810;-17.889;11.672;29.778;-14.806;12.868;31.914;-12.739;13.803;33.550;-11.213;14.163;34.893;-17.661;9.342;24.311;-17.385;12.743;25.632;-16.260;14.608;27.421;-17.167;17.172;28.061;1.448;36.530;-3.404;15.648;34.035;-1.183;20.790;20.407;-2.075;26.474;5.344;-3.061;22.115;6.227;8.895;17.250;7.009;23.530;17.150;5.480;24.832;15.559;4.364;31.304;14.709;3.272;33.935;13.604;2.521;35.954;12.699;2.031;37.314;17.227;6.391;24.837;16.409;6.840;31.392;15.058;6.958;35.575;13.007;7.093;38.229;11.618;7.298;39.787;16.540;7.493;24.814;16.575;9.301;31.666;15.249;10.095;36.100;13.381;10.543;38.474;11.825;10.932;39.958;16.521;8.353;24.485;16.072;11.883;30.861;14.596;13.565;34.091;13.237;14.308;36.177;11.844;14.837;37.834;16.041;9.377;24.763;15.796;13.060;25.843;15.258;15.110;28.333;14.744;17.808;28.179;0.000;0.000;0.000;-7.625;-12.251;-0.611;-9.534;-33.131;0.049;-11.775;-57.642;0.824;-10.407;-101.851;-7.566;7.561;-12.371;-1.486;9.272;-33.247;-0.495;11.280;-57.753;0.669;10.074;-102.107;-8.591
135.000;5.400;0.026;7.165;-0.281;0.033;13.909;-0.601;0.025;25.837;-1.239;-0.347;41.701;-2.254;-0.436;45.999;0.780;-0.192;52.403;2.014;-7.042;56.361;3.391;6.631;56.623;1.676;-2.580;58.495;10.351;3.949;58.620;9.532;-1.774;36.444;-3.530;-15.881;34.408;-2.258;-20.882;21.278;-3.129;-26.409;6.766;-4.093;-22.640;6.891;8.176;-18.408;6.970;22.574;-18.874;5.419;23.479;-16.499;4.120;30.490;-15.844;3.799;32.859;-15.189;2.861;35.133;-14.641;2.758;36.709;-19.071;6.242;23.475;-17.789;6.461;30.827;-15.801;7.090;34.295;-14.989;7.449;37.077;-14.299;7.589;38.997;-18.391;7.472;23.164;-18.086;9.194;30.762;-16.051;10.447;33.998;-14.531;11.623;36.744;-13.665;12.253;38.627;-18.730;8.414;22.802;-17.896;11.667;29.771;-14.814;12.867;31.907;-12.751;13.810;33.542;-11.227;14.175;34.887;-17.665;9.339;24.304;-17.388;12.738;25.623;-16.264;14.603;27.414;-17.166;17.170;28.052;1.450;36.528;-3.400;15.650;34.030;-1.180;20.789;20.402;-2.081;26.469;5.339;-3.077;22.117;6.217;8.882;17.257;6.993;23.519;17.158;5.468;24.820;15.569;4.350;31.295;14.721;3.256;33.923;13.623;2.503;35.944;12.725;2.017;37.311;17.234;6.379;24.827;16.421;6.821;31.382;15.076;6.948;35.565;13.025;7.075;38.221;11.637;7.289;39.779;16.545;7.481;24.801;16.579;9.290;31.657;15.258;10.076;36.090;13.402;10.515;38.471;11.846;10.909;39.954;16.527;8.341;24.473;16.084;11.867;30.853;14.624;13.549;34.080;13.263;14.297;36.172;11.872;14.823;37.831;16.055;9.358;24.750;15.806;13.044;25.834;15.268;15.096;28.325;14.755;17.795;28.168;0.000;0.000;0.000;-7.625;-12.251;-0.611;-9.534;-33.129;0.045;-11.775;-57.639;0.815;-10.408;-101.847;-7.583;7.561;-12.371;-1.486;9.268;-33.249;-0.500;11.273;-57.759;0.658;10.063;-102.104;-8.608
136.000;5.440;0.026;7.164;-0.281;0.033;13.908;-0.601;0.026;25.835;-1.239;-0.345;41.699;-2.246;-0.433;45.997;0.791;-0.186;52.401;2.030;-7.035;56.358;3.411;6.638;56.619;1.696;-2.573;58.486;10.373;3.956;58.610;9.554;-1.773;36.444;-3.524;-15.880;34.408;-2.255;-20.881;21.279;-3.134;-26.408;6.767;-4.106;-22.643;6.894;8.164;-18.415;6.976;22.563;-18.880;5.424;23.468;-16.507;4.128;30.482;-15.869;3.811;32.847;-15.202;2.873;35.126;-14.654;2.768;36.702;-19.076;6.246;23.463;-17.809;6.466;30.817;-15.816;7.095;34.287;-14.995;7.442;37.068;-14.324;7.583;38.994;-18.405;7.471;23.153;-18.107;9.195;30.751;-16.082;10.436;34.000;-14.558;11.634;36.731;-13.690;12.267;38.611;-18.739;8.415;22.790;-17.910;11.677;29.753;-14.827;12.880;31.889;-12.759;13.821;33.526;-11.246;14.191;34.881;-17.669;9.346;24.299;-17.392;12.741;25.613;-16.270;14.607;27.407;-17.174;17.174;28.041;1.451;36.527;-3.394;15.651;34.026;-1.176;20.783;20.396;-2.088;26.455;5.331;-3.096;22.111;6.208;8.866;17.258;6.978;23.510;17.166;5.452;24.807;15.582;4.342;31.284;14.732;3.242;33.914;13.641;2.489;35.932;12.735;2.014;37.297;17.241;6.363;24.813;16.440;6.800;31.371;15.097;6.931;35.555;13.044;7.062;38.214;11.662;7.275;39.777;16.549;7.470;24.792;16.598;9.283;31.647;15.277;10.057;36.079;13.433;10.501;38.463;11.869;10.895;39.938;16.531;8.330;24.464;16.109;11.852;30.844;14.650;13.542;34.073;13.307;14.291;36.169;11.921;14.816;37.834;16.068;9.352;24.750;15.825;13.032;25.830;15.283;15.083;28.319;14.785;17.785;28.166;0.000;0.000;0.000;-7.625;-12.251;-0.611;-9.534;-33.129;0.042;-11.776;-57.637;0.809;-10.409;-101.845;-7.596;7.561;-12.371;-1.486;9.269;-33.248;-0.501;11.275;-57.755;0.655;10.066;-102.101;-8.618
137.000;5.480;0.026;7.164;-0.280;0.034;13.907;-0.599;0.027;25.834;-1.236;-0.343;41.699;-2.236;-0.430;45.996;0.806;-0.181;52.400;2.051;-7.031;56.356;3.434;6.642;56.619;1.720;-2.569;58.480;10.397;3.960;58.606;9.578;-1.771;36.444;-3.517;-15.878;34.409;-2.249;-20.879;21.280;-3.136;-26.405;6.768;-4.116;-22.643;6.900;8.155;-18.419;6.988;22.555;-18.887;5.440;23.463;-16.507;4.149;30.476;-15.863;3.841;32.842;-15.199;2.914;35.125;-14.646;2.813;36.700;-19.087;6.263;23.459;-17.812;6.468;30.809;-15.827;7.115;34.281;-15.001;7.462;37.061;-14.346;7.609;38.993;-18.411;7.482;23.145;-18.108;9.207;30.745;-16.085;10.443;33.992;-14.566;11.644;36.719;-13.683;12.281;38.591;-18.743;8.426;22.781;-17.914;11.693;29.741;-14.830;12.893;31.878;-12.760;13.822;33.523;-11.253;14.195;34.884;-17.667;9.357;24.290;-17.391;12.753;25.604;-16.268;14.619;27.397;-17.178;17.183;28.032;1.453;36.527;-3.386;15.653;34.023;-1.170;20.781;20.393;-2.090;26.448;5.327;-3.108;22.107;6.208;8.856;17.257;6.979;23.502;17.170;5.450;24.795;15.590;4.345;31.273;14.740;3.244;33.903;13.652;2.492;35.920;12.730;2.025;37.278;17.245;6.362;24.801;16.448;6.800;31.361;15.102;6.934;35.546;13.044;7.071;38.203;11.666;7.279;39.771;16.550;7.473;24.784;16.608;9.290;31.638;15.277;10.059;36.066;13.435;10.513;38.447;11.867;10.905;39.918;16.532;8.334;24.456;16.119;11.852;30.832;14.651;13.556;34.057;13.322;14.296;36.156;11.939;14.817;37.824;16.077;9.358;24.744;15.831;13.036;25.820;15.278;15.088;28.310;14.790;17.792;28.153;0.000;0.000;0.000;-7.625;-12.251;-0.613;-9.535;-33.128;0.037;-11.776;-57.637;0.800;-10.410;-101.844;-7.610;7.560;-12.371;-1.488;9.270;-33.246;-0.507;11.277;-57.751;0.645;10.066;-102.094;-8.643
138.000;5.520;0.026;7.164;-0.278;0.034;13.906;-0.597;0.028;25.833;-1.232;-0.344;41.698;-2.225;-0.431;45.996;0.820;-0.182;52.401;2.072;-7.032;56.355;3.456;6.641;56.622;1.742;-2.571;58.478;10.420;3.958;58.606;9.601;-1.772;36.443;-3.508;-15.879;34.406;-2.239;-20.877;21.276;-3.130;-26.401;6.764;-4.114;-22.638;6.904;8.156;-18.412;7.001;22.556;-18.880;5.454;23.465;-16.492;4.175;30.476;-15.810;3.901;32.846;-15.149;3.008;35.137;-14.585;2.922;36.708;-19.081;6.276;23.461;-17.798;6.483;30.806;-15.824;7.154;34.277;-15.000;7.512;37.059;-14.344;7.666;38.990;-18.407;7.499;23.140;-18.098;9.229;30.742;-16.074;10.471;33.979;-14.552;11.658;36.715;-13.669;12.297;38.586;-18.745;8.444;22.775;-17.907;11.708;29.740;-14.820;12.907;31.875;-12.757;13.838;33.524;-11.242;14.211;34.876;-17.662;9.368;24.279;-17.387;12.769;25.599;-16.251;14.639;27.389;-17.179;17.197;28.024;1.452;36.527;-3.378;15.653;34.023;-1.165;20.783;20.394;-2.092;26.453;5.330;-3.116;22.111;6.216;8.847;17.263;6.993;23.489;17.172;5.467;24.786;15.591;4.354;31.261;14.742;3.260;33.894;13.655;2.502;35.912;12.733;2.037;37.270;17.248;6.378;24.792;16.457;6.815;31.350;15.106;6.952;35.536;13.048;7.085;38.191;11.664;7.288;39.754;16.554;7.482;24.773;16.607;9.308;31.625;15.271;10.078;36.052;13.426;10.535;38.431;11.858;10.927;39.902;16.535;8.342;24.444;16.115;11.867;30.821;14.650;13.575;34.038;13.314;14.312;36.142;11.933;14.833;37.811;16.082;9.371;24.731;15.829;13.048;25.802;15.271;15.102;28.291;14.779;17.805;28.132;0.000;0.000;0.000;-7.626;-12.251;-0.614;-9.535;-33.128;0.032;-11.776;-57.637;0.791;-10.412;-101.841;-7.627;7.560;-12.371;-1.492;9.270;-33.246;-0.515;11.277;-57.751;0.632;10.063;-102.088;-8.663
139.000;5.560;0.026;7.163;-0.277;0.034;13.905;-0.594;0.028;25.830;-1.226;-0.345;41.696;-2.214;-0.432;45.994;0.835;-0.182;52.400;2.091;-7.033;56.354;3.477;6.640;56.623;1.763;-2.573;58.474;10.442;3.957;58.602;9.624;-1.773;36.442;-3.498;-15.879;34.403;-2.226;-20.875;21.271;-3.120;-26.397;6.756;-4.108;-22.632;6.906;8.161;-18.404;7.015;22.560;-18.869;5.471;23.472;-16.475;4.224;30.487;-15.745;4.002;32.866;-15.094;3.164;35.165;-14.509;3.109;36.730;-19.071;6.292;23.467;-17.791;6.509;30.811;-15.812;7.186;34.278;-14.997;7.565;37.060;-14.333;7.718;38.988;-18.406;7.517;23.139;-18.088;9.253;30.744;-16.064;10.502;33.976;-14.532;11.688;36.712;-13.668;12.322;38.594;-18.750;8.463;22.774;-17.903;11.723;29.744;-14.824;12.922;31.893;-12.772;13.861;33.544;-11.249;14.225;34.889;-17.661;9.385;24.279;-17.384;12.789;25.595;-16.241;14.664;27.392;-17.182;17.221;28.016;1.452;36.526;-3.369;15.652;34.023;-1.158;20.786;20.395;-2.089;26.460;5.333;-3.118;22.116;6.225;8.842;17.267;7.009;23.482;17.168;5.488;24.783;15.590;4.365;31.252;14.741;3.286;33.891;13.656;2.518;35.915;12.747;2.053;37.282;17.244;6.399;24.788;16.459;6.838;31.343;15.100;6.977;35.528;13.050;7.107;38.184;11.660;7.310;39.741;16.558;7.492;24.765;16.604;9.323;31.616;15.274;10.091;36.048;13.419;10.549;38.421;11.851;10.937;39.894;16.537;8.352;24.436;16.114;11.889;30.812;14.659;13.582;34.038;13.311;14.332;36.134;11.933;14.857;37.805;16.083;9.386;24.720;15.827;13.064;25.792;15.287;15.117;28.278;14.780;17.817;28.121;0.000;0.000;0.000;-7.626;-12.251;-0.615;-9.531;-33.128;0.026;-11.768;-57.637;0.778;-10.401;-101.841;-7.642;7.560;-12.371;-1.495;9.273;-33.244;-0.523;11.284;-57.748;0.619;10.077;-102.089;-8.677
