Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
4035.000;161.400;0.028;7.274;-0.189;-0.032;14.121;-0.349;-0.248;26.237;-0.608;-0.595;42.126;-1.098;-0.719;46.382;2.046;-0.540;52.872;3.324;-7.502;56.799;4.094;6.262;57.138;3.454;-3.615;59.079;11.346;2.957;59.241;11.040;-2.021;36.917;-2.556;-16.047;35.005;-1.562;-21.313;22.151;-3.028;-27.133;7.945;-4.648;-22.364;8.366;7.209;-16.948;8.689;21.172;-17.672;7.246;22.328;-13.514;5.825;28.358;-11.650;6.428;29.943;-9.866;6.540;31.811;-8.637;7.049;32.823;-17.614;8.089;22.292;-14.257;8.139;29.011;-11.061;8.399;31.596;-8.516;8.618;33.155;-6.760;8.721;34.198;-16.712;9.293;21.589;-13.827;10.614;29.021;-10.949;10.661;31.950;-7.933;10.466;33.369;-5.930;10.327;34.179;-16.793;10.336;21.272;-13.259;12.704;27.983;-10.359;12.476;30.591;-8.295;12.324;32.495;-6.761;11.949;33.825;-15.109;10.917;22.574;-12.971;13.779;23.278;-10.563;14.305;24.583;-8.956;16.538;25.071;1.203;36.992;-2.404;15.304;34.572;-0.349;20.899;21.167;-1.986;27.083;6.350;-3.796;22.071;7.009;7.946;16.271;7.473;22.414;15.901;5.794;23.431;13.292;4.269;29.481;11.328;3.565;31.708;9.009;3.596;32.572;7.335;3.677;32.895;15.975;6.700;23.524;14.251;6.536;30.054;10.954;6.244;33.040;7.637;6.395;33.631;5.565;6.712;33.710;15.495;7.905;23.630;14.279;8.967;30.548;11.097;8.875;33.959;8.115;8.945;34.557;5.951;9.204;34.387;15.559;8.800;23.424;13.973;11.427;29.971;11.217;11.871;32.630;8.789;11.572;33.574;6.607;11.514;34.022;15.093;9.853;23.704;14.767;13.364;25.158;13.344;14.890;27.821;12.641;17.476;28.443;0.000;0.000;0.000;-7.653;-12.218;-0.871;-10.018;-32.847;0.051;-12.793;-57.064;1.132;-12.408;-101.355;-7.201;7.546;-12.386;-1.437;9.617;-32.996;-0.529;12.047;-57.192;0.538;11.861;-101.532;-8.895
4036.000;161.440;0.028;7.273;-0.193;-0.033;14.120;-0.357;-0.248;26.233;-0.625;-0.593;42.122;-1.125;-0.715;46.381;2.021;-0.533;52.869;3.305;-7.496;56.794;4.078;6.268;57.136;3.438;-3.610;59.068;11.333;2.963;59.232;11.027;-2.020;36.912;-2.580;-16.042;35.003;-1.581;-21.329;22.156;-3.043;-27.172;7.957;-4.659;-22.421;8.383;7.207;-17.033;8.715;21.181;-17.768;7.277;22.343;-13.600;5.897;28.347;-11.707;6.516;29.922;-9.955;6.642;31.803;-8.724;7.171;32.804;-17.713;8.121;22.308;-14.354;8.158;29.018;-11.091;8.404;31.537;-8.550;8.610;33.095;-6.790;8.704;34.132;-16.770;9.341;21.585;-13.908;10.636;29.027;-11.003;10.623;31.914;-7.955;10.450;33.307;-5.979;10.287;34.179;-16.861;10.388;21.271;-13.354;12.722;27.989;-10.380;12.444;30.547;-8.337;12.288;32.464;-6.829;11.895;33.818;-15.211;10.960;22.597;-13.037;13.798;23.272;-10.641;14.312;24.583;-9.039;16.547;25.076;1.204;36.987;-2.428;15.306;34.566;-0.368;20.910;21.161;-1.994;27.104;6.345;-3.790;22.089;7.012;7.951;16.284;7.485;22.420;15.922;5.800;23.437;13.310;4.284;29.486;11.340;3.572;31.709;9.019;3.581;32.572;7.347;3.665;32.898;15.993;6.707;23.526;14.254;6.562;30.057;10.963;6.247;33.050;7.614;6.393;33.589;5.543;6.719;33.665;15.508;7.923;23.634;14.268;8.977;30.540;11.083;8.884;33.952;8.102;8.959;34.534;5.940;9.216;34.343;15.571;8.819;23.428;13.966;11.451;29.963;11.209;11.879;32.629;8.772;11.575;33.566;6.590;11.504;34.016;15.084;9.866;23.688;14.760;13.377;25.155;13.318;14.903;27.797;12.625;17.489;28.435;0.000;0.000;0.000;-7.656;-12.217;-0.866;-10.030;-32.847;0.067;-12.816;-57.064;1.161;-12.452;-101.346;-7.164;7.544;-12.388;-1.432;9.607;-32.999;-0.516;12.029;-57.196;0.558;11.827;-101.537;-8.858
4037.000;161.480;0.028;7.272;-0.197;-0.033;14.119;-0.365;-0.247;26.232;-0.641;-0.596;42.120;-1.154;-0.722;46.381;1.988;-0.548;52.870;3.268;-7.508;56.799;4.043;6.256;57.132;3.398;-3.617;59.072;11.295;2.956;59.230;10.987;-2.022;36.909;-2.605;-16.047;34.999;-1.611;-21.340;22.154;-3.064;-27.190;7.957;-4.670;-22.461;8.408;7.203;-17.099;8.766;21.188;-17.844;7.328;22.352;-13.647;5.973;28.344;-11.749;6.593;29.906;-10.015;6.734;31.772;-8.761;7.268;32.740;-17.789;8.172;22.316;-14.421;8.217;29.018;-11.141;8.455;31.505;-8.597;8.657;33.061;-6.834;8.740;34.095;-16.846;9.343;21.625;-13.977;10.692;29.023;-11.043;10.644;31.878;-7.998;10.459;33.271;-6.023;10.306;34.146;-16.909;10.373;21.300;-13.415;12.777;27.980;-10.426;12.469;30.511;-8.410;12.277;32.441;-6.893;11.915;33.794;-15.225;10.982;22.570;-13.104;13.850;23.279;-10.691;14.360;24.569;-9.091;16.594;25.074;1.201;36.984;-2.453;15.302;34.570;-0.392;20.915;21.168;-2.006;27.120;6.355;-3.790;22.106;7.016;7.954;16.304;7.483;22.426;15.956;5.797;23.443;13.336;4.282;29.497;11.377;3.533;31.710;9.059;3.537;32.572;7.386;3.624;32.894;16.026;6.704;23.533;14.270;6.539;30.061;10.965;6.210;33.037;7.611;6.372;33.542;5.535;6.669;33.604;15.532;7.931;23.632;14.286;8.964;30.543;11.084;8.855;33.949;8.107;8.937;34.512;5.945;9.181;34.303;15.599;8.826;23.428;13.962;11.437;29.967;11.215;11.877;32.627;8.789;11.568;33.561;6.603;11.486;33.988;15.097;9.856;23.692;14.758;13.370;25.145;13.321;14.896;27.806;12.606;17.482;28.416;0.000;0.000;0.000;-7.656;-12.217;-0.860;-10.033;-32.851;0.081;-12.824;-57.073;1.186;-12.466;-101.357;-7.134;7.544;-12.389;-1.424;9.603;-32.998;-0.506;12.021;-57.192;0.572;11.812;-101.536;-8.838
4038.000;161.520;0.029;7.274;-0.200;-0.028;14.122;-0.372;-0.237;26.238;-0.655;-0.588;42.126;-1.177;-0.713;46.386;1.966;-0.531;52.870;3.254;-7.486;56.803;4.045;6.275;57.130;3.361;-3.575;59.081;11.284;2.997;59.237;10.957;-2.012;36.914;-2.625;-16.034;35.002;-1.630;-21.328;22.158;-3.080;-27.179;7.961;-4.683;-22.465;8.439;7.196;-17.121;8.830;21.189;-17.882;7.402;22.358;-13.692;6.039;28.347;-11.799;6.681;29.911;-10.021;6.864;31.771;-8.783;7.384;32.768;-17.837;8.246;22.326;-14.454;8.295;29.019;-11.162;8.546;31.492;-8.631;8.765;33.053;-6.881;8.840;34.107;-16.855;9.455;21.597;-14.037;10.777;29.027;-11.099;10.742;31.871;-8.078;10.516;33.300;-6.090;10.391;34.150;-16.947;10.491;21.280;-13.467;12.858;27.976;-10.485;12.542;30.499;-8.478;12.360;32.445;-6.979;11.992;33.817;-15.289;11.067;22.585;-13.111;13.905;23.269;-10.730;14.434;24.571;-9.113;16.665;25.034;1.211;36.990;-2.473;15.315;34.580;-0.406;20.935;21.179;-2.016;27.147;6.367;-3.795;22.141;7.008;7.953;16.344;7.449;22.430;15.997;5.772;23.446;13.378;4.234;29.495;11.417;3.475;31.701;9.098;3.467;32.560;7.423;3.548;32.869;16.062;6.679;23.540;14.313;6.507;30.066;10.965;6.160;33.004;7.602;6.315;33.456;5.527;6.619;33.476;15.554;7.906;23.635;14.308;8.917;30.544;11.103;8.819;33.940;8.104;8.868;34.473;5.943;9.119;34.265;15.622;8.802;23.433;14.001;11.398;29.971;11.227;11.822;32.624;8.824;11.507;33.571;6.633;11.414;33.967;15.130;9.824;23.698;14.779;13.328;25.165;13.374;14.852;27.830;12.619;17.429;28.433;0.000;0.000;0.000;-7.658;-12.216;-0.857;-10.042;-32.847;0.093;-12.840;-57.065;1.208;-12.497;-101.355;-7.097;7.542;-12.391;-1.417;9.598;-32.999;-0.489;12.011;-57.192;0.600;11.789;-101.535;-8.804
4039.000;161.560;0.032;7.275;-0.204;-0.023;14.124;-0.380;-0.226;26.241;-0.671;-0.576;42.129;-1.204;-0.701;46.388;1.939;-0.520;52.867;3.232;-7.467;56.809;4.056;6.291;57.119;3.293;-3.511;59.094;11.269;3.058;59.242;10.905;-2.000;36.916;-2.649;-16.025;35.009;-1.650;-21.309;22.164;-3.103;-27.149;7.967;-4.709;-22.453;8.504;7.171;-17.127;8.964;21.164;-17.883;7.554;22.337;-13.710;6.215;28.340;-11.794;6.868;29.891;-10.040;7.036;31.750;-8.780;7.547;32.723;-17.843;8.398;22.305;-14.497;8.477;29.015;-11.196;8.710;31.477;-8.644;8.922;33.021;-6.901;9.007;34.087;-16.856;9.567;21.586;-14.055;10.958;28.992;-11.117;10.881;31.822;-8.134;10.648;33.274;-6.130;10.512;34.084;-16.935;10.601;21.255;-13.524;13.025;27.942;-10.486;12.689;30.422;-8.479;12.521;32.366;-7.002;12.167;33.765;-15.314;11.209;22.559;-13.038;13.990;23.221;-10.645;14.506;24.518;-8.971;16.718;24.855;1.223;36.992;-2.495;15.325;34.589;-0.425;20.948;21.187;-2.028;27.164;6.375;-3.800;22.160;6.985;7.954;16.364;7.390;22.441;16.012;5.711;23.454;13.439;4.153;29.512;11.450;3.357;31.691;9.130;3.349;32.546;7.455;3.429;32.859;16.078;6.618;23.550;14.333;6.425;30.087;10.951;6.068;32.971;7.586;6.210;33.357;5.507;6.488;33.351;15.609;7.811;23.656;14.313;8.849;30.558;11.094;8.705;33.936;8.088;8.734;34.446;5.930;8.987;34.209;15.668;8.707;23.452;14.002;11.311;29.988;11.232;11.710;32.643;8.813;11.390;33.578;6.632;11.279;34.021;15.163;9.754;23.725;14.789;13.252;25.199;13.383;14.760;27.889;12.615;17.336;28.479;0.000;0.000;0.000;-7.661;-12.214;-0.853;-10.049;-32.843;0.100;-12.853;-57.058;1.220;-12.520;-101.358;-7.080;7.539;-12.393;-1.407;9.588;-33.000;-0.476;11.993;-57.190;0.617;11.766;-101.537;-8.774
4040.000;161.600;0.032;7.278;-0.210;-0.020;14.130;-0.394;-0.218;26.252;-0.704;-0.579;42.139;-1.251;-0.703;46.393;1.894;-0.512;52.854;3.208;-7.445;56.812;4.076;6.307;57.094;3.203;-3.428;59.109;11.252;3.139;59.244;10.835;-2.000;36.923;-2.691;-16.025;35.036;-1.667;-21.276;22.199;-3.103;-27.080;8.012;-4.691;-22.380;8.704;7.163;-17.039;9.345;21.121;-17.770;7.913;22.297;-13.596;6.700;28.350;-11.747;7.307;29.920;-9.869;7.527;31.706;-8.569;8.051;32.618;-17.736;8.757;22.252;-14.481;8.970;29.008;-11.193;9.237;31.513;-8.607;9.432;32.992;-6.804;9.516;33.953;-16.816;9.954;21.557;-14.060;11.441;28.964;-11.121;11.395;31.798;-8.098;11.172;33.172;-6.076;11.034;33.935;-16.902;10.988;21.210;-13.523;13.525;27.867;-10.479;13.212;30.333;-8.470;13.064;32.277;-6.993;12.722;33.679;-15.263;11.674;22.556;-12.754;14.304;23.101;-10.298;14.649;24.274;-8.454;16.742;24.445;1.223;37.002;-2.538;15.330;34.617;-0.466;20.965;21.222;-2.058;27.193;6.416;-3.818;22.190;6.950;7.947;16.399;7.264;22.445;16.067;5.580;23.446;13.488;3.960;29.492;11.502;3.161;31.671;9.184;3.136;32.526;7.509;3.204;32.840;16.125;6.487;23.547;14.397;6.241;30.093;10.959;5.867;32.938;7.591;6.001;33.263;5.511;6.263;33.216;15.624;7.704;23.659;14.357;8.648;30.573;11.099;8.503;33.917;8.086;8.524;34.395;5.925;8.751;34.162;15.687;8.601;23.463;14.023;11.132;30.015;11.247;11.477;32.673;8.817;11.165;33.597;6.637;11.031;34.040;15.176;9.621;23.754;14.784;13.098;25.248;13.380;14.590;27.940;12.600;17.154;28.562;0.000;0.000;0.000;-7.661;-12.215;-0.851;-10.048;-32.843;0.106;-12.850;-57.059;1.229;-12.513;-101.362;-7.053;7.540;-12.394;-1.396;9.584;-33.001;-0.464;11.983;-57.192;0.630;11.751;-101.537;-8.759
4041.000;161.640;0.034;7.289;-0.219;-0.018;14.151;-0.414;-0.218;26.291;-0.743;-0.592;42.178;-1.281;-0.714;46.409;1.873;-0.517;52.827;3.242;-7.430;56.811;4.143;6.316;57.045;3.166;-3.353;59.131;11.276;3.211;59.243;10.810;-2.010;36.962;-2.723;-16.035;35.150;-1.679;-21.210;22.303;-2.953;-26.930;8.104;-4.362;-22.165;9.248;7.387;-16.739;10.433;21.223;-17.476;9.014;22.457;-13.166;8.043;28.493;-11.264;8.698;29.975;-9.214;8.837;31.548;-7.772;9.351;32.222;-17.451;9.857;22.386;-14.228;10.308;29.158;-11.146;10.577;31.902;-8.405;10.805;33.136;-6.479;10.825;33.823;-16.494;11.010;21.653;-13.809;12.793;29.028;-10.889;12.791;31.929;-7.725;12.625;33.041;-5.664;12.405;33.667;-16.563;12.032;21.253;-13.308;14.860;27.861;-10.427;14.708;30.505;-8.459;14.605;32.549;-7.085;14.282;34.056;-14.959;12.852;22.621;-12.128;15.172;23.031;-9.640;15.270;24.158;-7.569;17.145;24.204;1.213;37.043;-2.572;15.327;34.698;-0.491;20.986;21.318;-2.095;27.241;6.528;-3.868;22.226;6.879;7.917;16.420;6.967;22.433;16.102;5.262;23.413;13.554;3.577;29.446;11.580;2.717;31.615;9.254;2.684;32.473;7.578;2.728;32.789;16.155;6.168;23.523;14.449;5.801;30.070;10.989;5.396;32.890;7.603;5.535;33.135;5.528;5.833;33.083;15.631;7.361;23.666;14.432;8.230;30.595;11.109;8.052;33.889;8.097;8.017;34.370;5.940;8.243;34.100;15.685;8.261;23.479;14.053;10.703;30.053;11.263;10.995;32.721;8.847;10.637;33.649;6.663;10.518;34.080;15.198;9.273;23.778;14.745;12.718;25.358;13.322;14.154;28.056;12.493;16.693;28.722;0.000;0.000;0.000;-7.664;-12.213;-0.848;-10.057;-32.842;0.117;-12.866;-57.059;1.249;-12.539;-101.362;-7.016;7.537;-12.398;-1.374;9.575;-33.003;-0.436;11.967;-57.191;0.666;11.735;-101.541;-8.717
4042.000;161.680;0.037;7.308;-0.233;-0.016;14.187;-0.440;-0.222;26.358;-0.792;-0.595;42.245;-1.328;-0.718;46.448;1.856;-0.525;52.795;3.345;-7.426;56.804;4.237;6.317;56.996;3.199;-3.312;59.181;11.331;3.250;59.273;10.836;-2.013;37.030;-2.771;-16.033;35.292;-1.709;-21.116;22.379;-2.523;-26.735;8.106;-3.424;-21.828;10.243;8.057;-16.234;12.605;21.581;-16.961;11.297;22.954;-12.533;10.819;28.982;-10.535;11.516;30.356;-8.339;11.809;31.721;-6.843;12.319;32.268;-16.945;12.132;22.819;-13.604;13.062;29.472;-10.747;13.508;32.396;-7.826;13.726;33.228;-5.799;13.698;33.492;-16.013;13.158;21.998;-13.226;15.593;29.180;-10.251;15.801;32.122;-6.922;15.546;32.666;-4.782;15.219;32.739;-16.053;14.135;21.488;-12.833;17.598;27.861;-10.311;18.093;30.867;-8.752;18.445;33.165;-7.586;18.426;34.869;-14.311;14.987;22.801;-11.218;17.028;23.119;-8.743;16.911;24.190;-6.307;18.277;24.127;1.211;37.110;-2.619;15.320;34.804;-0.520;21.010;21.439;-2.112;27.299;6.667;-3.872;22.259;6.624;7.946;16.442;6.240;22.492;16.164;4.480;23.413;13.617;2.618;29.396;11.677;1.709;31.569;9.345;1.643;32.415;7.667;1.669;32.723;16.200;5.385;23.538;14.478;4.887;30.088;11.012;4.399;32.867;7.627;4.486;33.066;5.550;4.753;32.940;15.641;6.619;23.732;14.447;7.225;30.660;11.111;6.975;33.943;8.093;6.913;34.386;5.932;7.074;34.102;15.683;7.525;23.572;14.019;9.713;30.209;11.248;9.923;32.876;8.853;9.558;33.789;6.673;9.314;34.180;15.175;8.467;23.854;14.603;11.851;25.601;13.172;13.162;28.353;12.267;15.655;29.086;0.000;0.000;0.000;-7.667;-12.211;-0.848;-10.068;-32.844;0.142;-12.886;-57.065;1.304;-12.550;-101.369;-6.953;7.536;-12.404;-1.328;9.562;-33.007;-0.372;11.940;-57.193;0.751;11.725;-101.547;-8.654
4043.000;161.720;0.041;7.321;-0.247;-0.010;14.212;-0.463;-0.210;26.406;-0.823;-0.579;42.292;-1.389;-0.706;46.482;1.862;-0.535;52.754;3.554;-7.429;56.781;4.410;6.312;56.945;3.351;-3.303;59.234;11.471;3.259;59.312;10.965;-1.999;37.074;-2.821;-16.018;35.411;-1.731;-20.989;22.403;-1.709;-26.482;8.026;-1.684;-21.397;11.696;9.246;-15.587;15.878;22.130;-16.313;14.713;23.679;-11.840;15.016;29.685;-9.860;15.961;30.986;-7.414;16.350;31.952;-5.849;16.858;32.253;-16.292;15.522;23.430;-12.929;17.326;29.892;-9.977;18.120;32.689;-6.978;18.476;33.075;-4.946;18.409;32.849;-15.413;16.391;22.578;-12.584;19.853;29.288;-9.665;20.593;32.216;-6.315;20.283;32.405;-4.245;19.805;31.986;-15.417;17.258;21.908;-12.378;21.674;27.741;-10.452;22.931;30.973;-9.506;23.989;33.381;-8.791;24.488;35.252;-13.680;18.291;23.088;-10.371;20.140;23.388;-7.940;19.930;24.461;-5.354;20.970;24.262;1.224;37.154;-2.672;15.323;34.877;-0.546;21.039;21.516;-2.089;27.355;6.749;-3.794;22.302;6.063;8.047;16.474;4.892;22.606;16.247;3.023;23.418;13.811;0.863;29.338;11.868;-0.222;31.441;9.547;-0.403;32.281;7.870;-0.447;32.590;16.231;3.923;23.575;14.583;3.113;30.132;11.085;2.382;32.819;7.718;2.359;33.000;5.634;2.535;32.847;15.655;5.195;23.861;14.423;5.425;30.793;11.159;4.845;34.087;8.113;4.684;34.478;5.950;4.764;34.178;15.676;6.108;23.746;13.950;7.918;30.478;11.207;7.864;33.174;8.807;7.386;34.071;6.643;7.019;34.460;15.102;6.993;24.093;14.390;10.250;26.010;12.961;11.336;28.844;11.936;13.736;29.717;0.000;0.000;0.000;-7.667;-12.211;-0.851;-10.081;-32.837;0.166;-12.915;-57.051;1.361;-12.556;-101.363;-6.842;7.537;-12.410;-1.267;9.547;-33.008;-0.285;11.905;-57.189;0.868;11.716;-101.542;-8.543
