Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
151.000;6.040;-0.031;7.213;-0.138;-0.096;14.004;-0.264;-0.256;26.018;-0.487;-0.779;41.888;-1.333;-0.807;46.141;1.676;-0.428;52.543;2.812;-7.221;56.517;4.405;6.361;56.768;2.078;-2.461;58.814;11.111;4.025;58.934;9.999;-2.179;36.632;-2.643;-16.241;34.547;-1.107;-21.204;21.509;-2.497;-26.689;7.098;-4.033;-23.318;3.649;8.043;-19.573;-0.558;22.184;-20.469;-2.140;22.754;-17.388;-6.243;28.335;-16.184;-6.934;30.402;-15.203;-8.149;32.404;-14.303;-8.513;33.766;-20.316;-1.349;23.014;-17.733;-4.071;29.574;-15.962;-5.065;33.091;-14.649;-5.711;35.676;-13.793;-6.239;37.457;-19.358;-0.118;22.752;-16.781;-1.874;30.491;-15.174;-2.901;34.023;-13.432;-3.761;36.745;-12.423;-4.357;38.567;-19.315;0.958;22.830;-16.177;0.512;30.344;-14.661;-0.004;33.859;-13.842;-0.387;36.497;-13.278;-0.976;38.393;-17.768;0.951;24.392;-15.802;3.289;26.406;-13.727;3.783;28.185;-13.356;6.200;29.536;1.046;36.743;-2.557;15.251;34.374;-0.652;20.870;20.910;-2.016;27.080;6.029;-3.525;22.556;3.174;8.247;17.506;-0.602;22.554;17.447;-2.447;23.399;16.151;-5.216;29.441;15.655;-6.780;31.876;14.987;-7.981;33.866;14.445;-8.778;35.273;17.473;-1.568;23.648;16.741;-2.893;30.087;15.572;-3.940;34.182;14.379;-4.696;37.214;13.602;-5.052;39.130;16.818;-0.443;23.843;16.717;-0.675;31.054;15.918;-1.370;35.559;14.731;-1.816;38.324;13.855;-1.970;40.320;16.772;0.474;23.777;16.168;1.875;31.045;15.141;2.231;34.817;14.458;2.206;37.340;13.798;2.206;39.469;16.318;1.305;24.429;16.000;4.524;26.372;15.681;5.918;29.267;15.309;8.590;29.812;0.000;0.000;0.000;-7.555;-12.288;-0.733;-9.604;-33.148;0.065;-12.009;-57.635;1.000;-11.136;-101.908;-6.802;7.621;-12.296;-1.770;9.735;-33.164;-0.476;12.216;-57.660;1.043;11.723;-102.193;-7.572
152.000;6.080;-0.030;7.212;-0.137;-0.091;14.001;-0.265;-0.242;26.013;-0.491;-0.760;41.883;-1.325;-0.786;46.137;1.689;-0.406;52.541;2.830;-7.199;56.514;4.427;6.383;56.766;2.100;-2.439;58.804;11.135;4.047;58.924;10.024;-2.161;36.630;-2.638;-16.228;34.539;-1.104;-21.179;21.504;-2.516;-26.651;7.096;-4.078;-23.271;3.674;8.001;-19.516;-0.497;22.144;-20.401;-2.081;22.720;-17.330;-6.182;28.300;-16.057;-6.910;30.354;-15.112;-8.049;32.383;-14.210;-8.430;33.739;-20.248;-1.291;22.979;-17.690;-4.009;29.542;-15.925;-5.000;33.064;-14.607;-5.622;35.643;-13.707;-6.161;37.398;-19.330;-0.048;22.717;-16.762;-1.773;30.459;-15.111;-2.811;33.986;-13.378;-3.660;36.704;-12.343;-4.255;38.511;-19.290;1.039;22.800;-16.132;0.604;30.311;-14.665;0.085;33.843;-13.856;-0.280;36.480;-13.289;-0.842;38.383;-17.721;1.019;24.366;-15.726;3.357;26.345;-13.633;3.854;28.105;-13.248;6.274;29.447;1.063;36.739;-2.553;15.266;34.363;-0.659;20.869;20.894;-2.028;27.062;6.008;-3.541;22.555;3.169;8.240;17.522;-0.585;22.560;17.461;-2.437;23.400;16.170;-5.208;29.446;15.678;-6.768;31.877;14.986;-7.976;33.867;14.466;-8.777;35.281;17.486;-1.558;23.648;16.761;-2.869;30.098;15.597;-3.906;34.199;14.398;-4.665;37.216;13.600;-5.005;39.126;16.829;-0.434;23.851;16.737;-0.663;31.055;15.926;-1.347;35.563;14.751;-1.773;38.318;13.854;-1.954;40.303;16.782;0.483;23.784;16.200;1.898;31.042;15.160;2.249;34.823;14.474;2.225;37.332;13.810;2.216;39.460;16.311;1.327;24.433;16.020;4.543;26.368;15.704;5.938;29.257;15.340;8.606;29.824;0.000;0.000;0.000;-7.555;-12.288;-0.734;-9.599;-33.147;0.057;-11.999;-57.635;0.986;-11.118;-101.905;-6.836;7.621;-12.296;-1.775;9.741;-33.161;-0.484;12.230;-57.655;1.031;11.750;-102.189;-7.579
153.000;6.120;-0.029;7.211;-0.136;-0.087;13.999;-0.265;-0.230;26.009;-0.491;-0.739;41.880;-1.309;-0.766;46.134;1.712;-0.386;52.540;2.863;-7.178;56.514;4.461;6.405;56.762;2.138;-2.418;58.798;11.171;4.068;58.916;10.062;-2.144;36.629;-2.628;-16.208;34.533;-1.092;-21.155;21.499;-2.535;-26.622;7.094;-4.130;-23.226;3.724;7.957;-19.447;-0.387;22.111;-20.328;-1.973;22.683;-17.233;-6.035;28.289;-15.985;-6.710;30.361;-14.979;-7.923;32.347;-14.075;-8.281;33.707;-20.186;-1.180;22.942;-17.621;-3.861;29.523;-15.843;-4.877;33.034;-14.468;-5.519;35.594;-13.578;-6.088;37.345;-19.255;0.119;22.671;-16.720;-1.580;30.446;-15.052;-2.694;33.946;-13.235;-3.571;36.609;-12.162;-4.182;38.389;-19.249;1.205;22.763;-16.175;0.746;30.286;-14.772;0.224;33.858;-14.041;-0.133;36.514;-13.515;-0.715;38.424;-17.670;1.149;24.360;-15.568;3.460;26.297;-13.459;3.962;27.975;-12.967;6.416;29.217;1.081;36.737;-2.542;15.278;34.349;-0.652;20.862;20.877;-2.031;27.034;5.987;-3.555;22.544;3.145;8.233;17.526;-0.612;22.566;17.477;-2.459;23.402;16.189;-5.240;29.438;15.678;-6.831;31.855;14.974;-8.044;33.842;14.457;-8.868;35.243;17.502;-1.580;23.651;16.792;-2.901;30.099;15.618;-3.958;34.195;14.346;-4.725;37.180;13.513;-5.068;39.073;16.835;-0.453;23.862;16.752;-0.689;31.064;15.951;-1.394;35.568;14.701;-1.848;38.296;13.754;-2.032;40.257;16.790;0.464;23.796;16.214;1.850;31.053;15.140;2.163;34.823;14.432;2.137;37.323;13.736;2.082;39.440;16.304;1.301;24.413;16.026;4.508;26.388;15.689;5.896;29.280;15.312;8.562;29.851;0.000;0.000;0.000;-7.555;-12.288;-0.734;-9.601;-33.150;0.051;-12.002;-57.640;0.972;-11.120;-101.900;-6.867;7.620;-12.296;-1.777;9.737;-33.160;-0.496;12.222;-57.652;1.008;11.738;-102.189;-7.607
154.000;6.160;-0.026;7.208;-0.135;-0.081;13.994;-0.264;-0.216;25.999;-0.496;-0.721;41.871;-1.295;-0.743;46.125;1.736;-0.350;52.536;2.899;-7.144;56.507;4.498;6.440;56.761;2.180;-2.388;58.786;11.213;4.099;58.907;10.106;-2.127;36.621;-2.621;-16.192;34.529;-1.080;-21.132;21.494;-2.546;-26.593;7.088;-4.167;-23.128;3.792;7.910;-19.345;-0.119;22.112;-20.180;-1.712;22.679;-16.975;-5.702;28.322;-15.707;-6.381;30.374;-14.665;-7.628;32.308;-13.713;-7.989;33.634;-20.086;-0.915;22.949;-17.488;-3.554;29.533;-15.727;-4.637;33.044;-14.276;-5.343;35.538;-13.289;-5.918;37.235;-19.137;0.471;22.663;-16.657;-1.288;30.465;-15.025;-2.415;33.968;-13.046;-3.333;36.534;-11.884;-3.971;38.247;-19.206;1.552;22.770;-16.210;1.131;30.333;-15.037;0.644;33.957;-14.457;0.262;36.666;-14.053;-0.295;38.613;-17.639;1.486;24.392;-15.323;3.754;26.247;-13.099;4.178;27.800;-12.448;6.675;28.873;1.098;36.728;-2.534;15.296;34.338;-0.643;20.863;20.862;-2.034;27.016;5.968;-3.571;22.556;3.101;8.230;17.572;-0.682;22.583;17.526;-2.546;23.397;16.244;-5.377;29.404;15.699;-7.005;31.795;14.933;-8.233;33.741;14.358;-9.061;35.117;17.543;-1.668;23.650;16.823;-3.053;30.087;15.633;-4.159;34.155;14.115;-4.930;37.023;13.120;-5.304;38.831;16.844;-0.561;23.901;16.819;-0.810;31.065;15.928;-1.596;35.562;14.500;-2.071;38.188;13.380;-2.299;40.052;16.787;0.356;23.841;16.264;1.719;31.063;15.092;1.943;34.822;14.281;1.790;37.287;13.482;1.693;39.366;16.373;1.189;24.417;16.018;4.396;26.441;15.656;5.735;29.319;15.237;8.372;29.983;0.000;0.000;0.000;-7.559;-12.285;-0.736;-9.606;-33.147;0.041;-12.009;-57.636;0.954;-11.133;-101.899;-6.892;7.616;-12.297;-1.784;9.731;-33.159;-0.512;12.214;-57.650;0.981;11.728;-102.189;-7.637
155.000;6.200;-0.027;7.202;-0.140;-0.079;13.983;-0.271;-0.205;25.979;-0.503;-0.706;41.853;-1.279;-0.725;46.105;1.760;-0.321;52.520;2.930;-7.116;56.491;4.519;6.472;56.744;2.227;-2.373;58.764;11.244;4.116;58.885;10.150;-2.112;36.605;-2.613;-16.178;34.533;-1.065;-21.120;21.501;-2.507;-26.583;7.096;-4.101;-23.043;4.086;8.013;-19.160;0.517;22.262;-19.861;-1.132;22.810;-16.492;-4.946;28.459;-15.171;-5.701;30.475;-13.945;-6.954;32.304;-12.914;-7.313;33.571;-19.836;-0.336;23.096;-17.174;-2.836;29.698;-15.370;-4.020;33.190;-13.705;-4.683;35.551;-12.530;-5.306;37.105;-19.047;1.059;22.831;-16.563;-0.504;30.676;-14.936;-1.675;34.198;-12.746;-2.501;36.591;-11.285;-3.049;38.093;-19.181;2.152;22.939;-16.382;1.939;30.544;-15.417;1.498;34.279;-15.074;1.170;37.018;-14.816;0.636;38.995;-17.623;2.271;24.659;-15.002;4.372;26.333;-12.622;4.616;27.742;-11.692;7.009;28.845;1.113;36.711;-2.524;15.311;34.318;-0.632;20.868;20.839;-2.038;27.009;5.942;-3.592;22.604;3.015;8.230;17.680;-0.831;22.622;17.670;-2.704;23.381;16.372;-5.686;29.314;15.669;-7.387;31.635;14.735;-8.605;33.465;13.955;-9.434;34.734;17.678;-1.830;23.651;16.985;-3.364;30.068;15.459;-4.589;34.012;13.440;-5.410;36.531;12.117;-5.813;38.108;16.971;-0.800;23.965;16.876;-1.139;31.077;15.681;-2.114;35.472;13.824;-2.653;37.835;12.363;-2.901;39.442;16.890;0.116;23.918;16.300;1.344;31.122;14.937;1.379;34.805;13.818;1.032;37.127;12.761;0.750;39.069;16.372;0.969;24.503;15.902;4.074;26.643;15.401;5.244;29.633;14.755;7.782;30.478;0.000;0.000;0.000;-7.554;-12.289;-0.731;-9.607;-33.153;0.034;-12.018;-57.647;0.932;-11.143;-101.907;-6.915;7.622;-12.296;-1.769;9.732;-33.161;-0.511;12.210;-57.654;0.965;11.716;-102.196;-7.656
156.000;6.240;-0.024;7.204;-0.143;-0.066;13.986;-0.275;-0.164;25.985;-0.509;-0.654;41.861;-1.239;-0.667;46.106;1.812;-0.247;52.517;3.002;-7.050;56.489;4.558;6.547;56.742;2.318;-2.333;58.775;11.297;4.160;58.896;10.228;-2.063;36.618;-2.589;-16.126;34.585;-1.036;-21.147;21.541;-2.258;-26.695;7.123;-3.608;-22.901;4.759;8.535;-18.692;1.945;22.834;-19.206;0.222;23.353;-15.473;-3.251;29.033;-14.076;-3.941;30.967;-12.533;-5.042;32.684;-11.378;-5.291;33.867;-19.257;1.016;23.640;-16.474;-1.296;30.252;-14.546;-2.526;33.670;-12.414;-3.078;35.701;-10.881;-3.482;36.993;-18.644;2.471;23.418;-16.185;1.142;31.287;-14.409;0.009;34.797;-11.794;-0.583;36.850;-10.044;-0.954;38.071;-18.889;3.548;23.512;-16.286;3.600;31.157;-15.577;3.244;34.939;-15.411;2.918;37.715;-15.210;2.373;39.696;-17.299;3.815;25.260;-14.713;5.991;26.910;-12.267;6.137;28.220;-11.096;8.413;29.339;1.162;36.722;-2.499;15.361;34.329;-0.600;20.910;20.852;-2.033;27.043;5.956;-3.617;22.709;2.894;8.237;17.844;-1.114;22.697;17.941;-3.015;23.338;16.655;-6.304;29.081;15.730;-8.063;31.280;14.478;-9.265;32.965;13.542;-10.068;34.145;17.906;-2.155;23.645;17.194;-4.044;29.983;15.156;-5.447;33.622;12.633;-6.376;35.613;10.969;-6.815;36.812;17.154;-1.187;24.056;16.934;-1.861;31.067;15.195;-3.187;35.185;12.915;-3.900;37.078;11.103;-4.248;38.250;17.038;-0.274;24.051;16.257;0.521;31.234;14.634;0.126;34.742;13.168;-0.553;36.798;11.807;-1.135;38.464;16.374;0.490;24.652;15.471;3.252;27.150;14.676;3.946;30.200;13.589;6.114;31.501;0.000;0.000;0.000;-7.552;-12.289;-0.745;-9.606;-33.152;0.019;-12.018;-57.643;0.915;-11.135;-101.906;-6.913;7.627;-12.297;-1.743;9.733;-33.161;-0.495;12.206;-57.654;0.970;11.734;-102.195;-7.657
157.000;6.280;-0.019;7.210;-0.143;-0.052;13.998;-0.272;-0.130;26.008;-0.494;-0.595;41.888;-1.160;-0.612;46.123;1.932;-0.205;52.525;3.203;-7.013;56.529;4.648;6.605;56.727;2.530;-2.353;58.887;11.402;4.150;58.981;10.391;-2.010;36.653;-2.533;-16.064;34.674;-0.996;-21.285;21.608;-1.622;-27.056;7.168;-2.314;-22.731;6.042;9.779;-17.872;4.693;24.040;-18.116;2.918;24.599;-13.958;0.192;30.314;-12.421;-0.234;32.188;-10.334;-0.812;33.692;-8.976;-0.722;34.665;-18.240;3.714;24.858;-15.198;1.946;31.496;-13.071;0.955;34.869;-10.503;1.003;36.447;-8.582;1.054;37.147;-17.879;5.156;24.633;-15.171;4.463;32.491;-13.362;3.512;36.074;-10.349;3.447;37.596;-8.271;3.478;38.203;-18.208;6.218;24.672;-15.667;6.859;32.270;-15.072;6.622;36.110;-15.033;6.345;38.883;-14.881;5.825;40.876;-16.675;6.778;26.395;-14.122;9.099;27.929;-11.541;9.262;29.123;-10.118;11.386;30.252;1.214;36.751;-2.438;15.399;34.358;-0.524;20.942;20.891;-1.984;27.069;6.005;-3.598;22.821;2.611;8.243;18.025;-1.801;22.714;18.255;-3.711;23.192;16.995;-7.488;28.586;15.936;-9.373;30.630;14.479;-10.649;32.078;13.385;-11.494;33.078;18.147;-2.880;23.557;17.397;-5.290;29.728;14.903;-7.105;32.875;12.114;-8.301;34.304;10.287;-8.871;35.162;17.319;-2.021;24.075;16.925;-3.237;30.940;14.716;-5.035;34.602;12.201;-6.027;36.001;10.247;-6.601;36.794;17.130;-1.122;24.136;16.027;-0.947;31.261;14.184;-1.942;34.504;12.549;-2.979;36.225;10.983;-3.866;37.539;16.357;-0.517;24.738;14.839;1.681;27.577;13.706;1.689;30.667;12.065;3.349;32.125;0.000;0.000;0.000;-7.551;-12.287;-0.792;-9.623;-33.145;-0.006;-12.055;-57.630;0.917;-11.142;-101.901;-6.864;7.634;-12.300;-1.689;9.715;-33.160;-0.432;12.157;-57.648;1.044;11.711;-102.185;-7.605
158.000;6.320;-0.007;7.215;-0.138;-0.034;14.008;-0.249;-0.107;26.027;-0.423;-0.528;41.910;-1.042;-0.557;46.141;2.097;-0.180;52.529;3.469;-6.998;56.578;4.738;6.650;56.700;2.817;-2.430;59.051;11.514;4.087;59.110;10.597;-1.954;36.683;-2.434;-15.997;34.812;-0.923;-21.457;21.747;-0.500;-27.490;7.308;-0.033;-22.421;8.088;11.736;-16.647;9.031;25.642;-16.748;7.269;26.376;-12.010;5.477;32.048;-10.442;5.472;33.896;-8.101;5.531;35.037;-6.610;6.113;35.524;-16.938;8.073;26.559;-13.463;7.272;33.179;-11.036;6.888;36.477;-8.280;7.475;37.487;-6.297;7.965;37.571;-16.705;9.465;26.208;-13.652;9.835;33.922;-11.543;9.455;37.486;-8.323;9.916;38.410;-6.183;10.246;38.374;-17.092;10.519;26.139;-14.317;12.113;33.499;-13.835;12.333;37.313;-13.813;12.372;40.111;-13.655;12.079;42.149;-15.424;11.292;27.694;-12.860;13.759;28.875;-10.123;13.945;29.937;-8.388;15.868;30.986;1.271;36.772;-2.332;15.428;34.367;-0.387;20.969;20.903;-1.855;27.095;6.021;-3.477;22.924;1.982;8.240;18.196;-3.219;22.562;18.598;-5.143;22.841;17.381;-9.458;27.810;16.307;-11.554;29.618;14.825;-12.992;30.814;13.650;-13.954;31.590;18.403;-4.357;23.264;17.581;-7.378;29.166;15.015;-9.708;31.894;12.151;-11.146;32.887;10.266;-11.885;33.434;17.469;-3.588;23.883;16.897;-5.494;30.549;14.554;-7.838;33.805;12.013;-9.143;34.854;10.037;-9.909;35.390;17.210;-2.715;24.016;15.757;-3.367;31.041;13.797;-4.854;34.001;12.113;-6.237;35.408;10.552;-7.399;36.495;16.387;-2.289;24.608;14.218;-0.863;27.604;12.823;-1.482;30.539;10.866;-0.351;32.108;0.000;0.000;0.000;-7.562;-12.274;-0.875;-9.661;-33.132;-0.066;-12.125;-57.616;0.884;-11.170;-101.903;-6.774;7.631;-12.313;-1.605;9.676;-33.167;-0.324;12.075;-57.649;1.181;11.686;-102.187;-7.511
159.000;6.360;-0.000;7.220;-0.130;-0.022;14.018;-0.212;-0.088;26.045;-0.308;-0.437;41.931;-0.897;-0.482;46.164;2.287;-0.158;52.544;3.752;-6.990;56.632;4.795;6.694;56.688;3.150;-2.555;59.243;11.608;3.980;59.269;10.822;-1.881;36.713;-2.304;-15.915;35.024;-0.799;-21.576;22.075;1.157;-27.834;7.764;3.319;-21.916;10.860;14.233;-15.114;14.604;27.148;-15.078;12.911;28.092;-9.909;12.167;33.527;-8.207;12.631;35.251;-5.697;13.303;35.712;-4.273;14.179;35.695;-15.322;13.713;28.205;-11.397;13.860;34.590;-8.558;14.087;37.551;-5.780;15.204;37.817;-3.975;15.962;37.226;-15.127;14.961;27.725;-11.850;16.462;35.066;-9.243;16.734;38.362;-5.980;17.477;38.511;-4.056;18.049;37.698;-15.545;15.980;27.514;-12.727;18.580;34.471;-12.224;19.367;38.210;-12.150;19.776;40.978;-11.908;19.808;43.028;-13.982;16.996;28.832;-11.294;19.526;29.736;-8.505;19.817;30.719;-6.528;21.588;31.591;1.343;36.788;-2.191;15.466;34.340;-0.185;20.998;20.870;-1.614;27.113;5.982;-3.195;23.022;0.983;8.222;18.383;-5.392;22.159;18.928;-7.249;22.292;17.959;-12.179;26.647;16.957;-14.568;28.138;15.524;-16.224;29.082;14.396;-17.337;29.717;18.678;-6.533;22.802;17.913;-10.325;28.199;15.482;-13.177;30.520;12.757;-14.992;31.238;10.947;-15.968;31.650;17.655;-5.920;23.400;17.004;-8.677;29.781;14.830;-11.606;32.658;12.441;-13.264;33.506;10.531;-14.268;33.856;17.323;-5.090;23.623;15.621;-6.770;30.457;13.763;-8.785;33.126;12.186;-10.465;34.296;10.700;-11.893;35.143;16.384;-4.888;24.233;13.877;-4.228;27.218;12.412;-5.444;29.928;10.180;-4.905;31.446;0.000;0.000;0.000;-7.561;-12.268;-0.966;-9.695;-33.123;-0.142;-12.200;-57.605;0.825;-11.199;-101.918;-6.642;7.640;-12.319;-1.510;9.641;-33.176;-0.198;11.990;-57.659;1.341;11.650;-102.205;-7.374
