Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
230.000;9.200;0.056;7.167;-0.103;0.049;13.915;-0.212;-0.041;25.853;-0.421;-0.316;41.734;-1.164;-0.390;46.056;1.838;0.058;52.628;2.802;-6.799;56.659;3.900;6.944;56.758;2.863;-2.659;58.633;11.102;3.904;58.680;10.606;-1.740;36.508;-2.564;-15.743;34.847;-1.627;-21.224;22.067;-3.016;-27.281;7.942;-4.551;-22.388;4.458;7.073;-16.879;0.303;20.688;-17.433;-1.354;21.403;-14.641;-4.214;27.765;-13.806;-4.677;30.065;-13.089;-5.614;32.388;-12.664;-5.831;33.991;-17.470;-0.524;21.563;-15.338;-1.884;28.628;-13.000;-1.833;31.948;-11.889;-1.726;34.673;-11.099;-1.702;36.559;-16.604;0.761;21.195;-15.086;0.744;29.098;-12.730;0.766;32.317;-11.076;1.108;35.233;-10.180;1.218;37.202;-16.812;1.811;21.097;-14.775;3.108;28.702;-12.437;3.317;31.843;-11.189;3.614;34.282;-10.254;3.510;36.120;-15.624;2.333;22.723;-14.976;5.453;24.262;-13.464;6.521;26.163;-13.097;9.052;27.289;1.481;36.573;-2.361;15.530;34.201;-0.054;21.532;20.858;-1.016;28.166;6.109;-2.079;22.272;3.791;9.276;15.456;0.599;23.139;14.798;-1.278;23.822;12.391;-3.648;29.658;11.207;-4.710;32.142;9.696;-5.146;34.069;8.561;-5.440;35.309;14.986;-0.426;24.095;13.494;-1.605;30.433;11.609;-1.935;34.349;9.709;-2.058;37.088;8.550;-2.016;38.835;14.716;0.918;24.394;13.905;0.531;31.410;12.178;0.854;35.658;10.846;0.973;38.341;9.899;1.205;40.297;14.944;1.810;24.362;13.910;3.200;31.374;11.763;4.275;34.495;10.324;4.741;36.617;8.949;5.183;38.315;14.502;2.653;24.897;14.709;5.770;27.088;14.025;6.971;30.088;14.044;9.543;31.068;0.000;0.000;0.000;-7.679;-12.184;-1.093;-9.832;-32.929;-0.710;-12.360;-57.283;-0.261;-11.183;-101.510;-8.820;7.524;-12.386;-1.547;9.398;-33.089;-0.862;11.597;-57.393;-0.057;10.871;-101.828;-9.640
231.000;9.240;0.056;7.170;-0.107;0.049;13.920;-0.217;-0.041;25.863;-0.424;-0.306;41.744;-1.178;-0.373;46.064;1.822;0.082;52.631;2.785;-6.768;56.669;3.900;6.972;56.755;2.825;-2.606;58.643;11.089;3.955;58.684;10.576;-1.735;36.518;-2.572;-15.739;34.872;-1.619;-21.232;22.094;-2.983;-27.303;7.971;-4.490;-22.395;4.524;7.139;-16.872;0.409;20.760;-17.420;-1.242;21.484;-14.601;-4.075;27.865;-13.763;-4.500;30.146;-12.996;-5.417;32.462;-12.520;-5.609;34.053;-17.460;-0.412;21.641;-15.327;-1.740;28.705;-12.971;-1.660;32.015;-11.842;-1.552;34.734;-11.054;-1.522;36.621;-16.580;0.861;21.276;-15.051;0.899;29.163;-12.715;0.933;32.379;-11.046;1.284;35.298;-10.152;1.404;37.267;-16.778;1.917;21.173;-14.764;3.242;28.761;-12.429;3.457;31.905;-11.168;3.776;34.341;-10.252;3.681;36.189;-15.615;2.449;22.787;-14.959;5.576;24.314;-13.433;6.651;26.191;-13.066;9.176;27.328;1.486;36.581;-2.373;15.538;34.202;-0.077;21.547;20.861;-1.038;28.188;6.115;-2.100;22.311;3.803;9.265;15.516;0.621;23.141;14.859;-1.253;23.829;12.462;-3.627;29.668;11.265;-4.677;32.161;9.770;-5.109;34.082;8.633;-5.409;35.318;15.051;-0.402;24.101;13.558;-1.568;30.444;11.688;-1.910;34.357;9.770;-2.018;37.094;8.621;-1.984;38.849;14.780;0.952;24.395;13.978;0.550;31.415;12.234;0.892;35.662;10.920;1.015;38.344;9.965;1.244;40.297;15.012;1.843;24.364;13.991;3.222;31.379;11.876;4.315;34.498;10.422;4.764;36.623;9.041;5.196;38.317;14.566;2.673;24.904;14.763;5.798;27.088;14.093;6.985;30.083;14.068;9.548;31.086;0.000;0.000;0.000;-7.680;-12.185;-1.081;-9.832;-32.932;-0.697;-12.358;-57.287;-0.246;-11.188;-101.512;-8.806;7.523;-12.387;-1.543;9.397;-33.090;-0.854;11.597;-57.393;-0.046;10.865;-101.830;-9.618
232.000;9.280;0.054;7.173;-0.108;0.045;13.926;-0.220;-0.049;25.874;-0.429;-0.316;41.754;-1.197;-0.381;46.074;1.797;0.075;52.637;2.755;-6.774;56.676;3.874;6.965;56.760;2.782;-2.603;58.657;11.056;3.958;58.697;10.535;-1.745;36.527;-2.586;-15.748;34.884;-1.617;-21.244;22.104;-2.961;-27.320;7.978;-4.446;-22.399;4.577;7.188;-16.858;0.519;20.814;-17.410;-1.136;21.546;-14.576;-3.925;27.940;-13.706;-4.305;30.225;-12.942;-5.181;32.528;-12.386;-5.360;34.095;-17.452;-0.305;21.699;-15.312;-1.601;28.769;-12.967;-1.541;32.084;-11.833;-1.404;34.806;-11.061;-1.394;36.700;-16.560;0.980;21.324;-15.056;1.035;29.215;-12.738;1.112;32.436;-11.029;1.502;35.349;-10.161;1.617;37.330;-16.769;2.024;21.217;-14.768;3.386;28.805;-12.417;3.645;31.957;-11.235;3.922;34.410;-10.300;3.866;36.250;-15.621;2.570;22.846;-14.948;5.689;24.353;-13.460;6.773;26.253;-13.055;9.305;27.363;1.476;36.590;-2.389;15.533;34.220;-0.102;21.553;20.883;-1.064;28.205;6.142;-2.128;22.346;3.836;9.247;15.574;0.659;23.134;14.906;-1.217;23.823;12.533;-3.583;29.668;11.350;-4.632;32.168;9.857;-5.064;34.086;8.723;-5.360;35.326;15.094;-0.365;24.093;13.637;-1.542;30.436;11.766;-1.877;34.356;9.858;-1.976;37.096;8.703;-1.947;38.846;14.835;0.985;24.393;14.063;0.592;31.413;12.315;0.899;35.660;10.965;1.034;38.332;10.009;1.276;40.283;15.062;1.878;24.362;14.049;3.244;31.379;11.897;4.313;34.493;10.472;4.802;36.602;9.056;5.190;38.279;14.629;2.710;24.904;14.809;5.836;27.089;14.119;7.026;30.075;14.099;9.587;31.082;0.000;0.000;0.000;-7.676;-12.188;-1.074;-9.833;-32.930;-0.681;-12.365;-57.280;-0.219;-11.210;-101.509;-8.771;7.527;-12.385;-1.542;9.397;-33.086;-0.847;11.591;-57.388;-0.032;10.844;-101.828;-9.592
233.000;9.320;0.054;7.172;-0.109;0.044;13.925;-0.221;-0.050;25.873;-0.432;-0.317;41.753;-1.204;-0.378;46.071;1.788;0.080;52.628;2.744;-6.766;56.670;3.870;6.971;56.750;2.765;-2.589;58.650;11.048;3.972;58.688;10.520;-1.747;36.525;-2.590;-15.750;34.882;-1.601;-21.253;22.103;-2.938;-27.334;7.978;-4.417;-22.404;4.631;7.221;-16.853;0.639;20.852;-17.390;-1.011;21.589;-14.533;-3.770;27.993;-13.635;-4.140;30.248;-12.719;-4.987;32.522;-12.072;-5.154;34.055;-17.440;-0.180;21.741;-15.282;-1.447;28.803;-12.929;-1.410;32.125;-11.764;-1.298;34.830;-10.959;-1.313;36.710;-16.571;1.088;21.357;-15.042;1.194;29.246;-12.732;1.291;32.467;-11.035;1.705;35.374;-10.138;1.827;37.342;-16.783;2.136;21.247;-14.778;3.538;28.829;-12.439;3.801;31.991;-11.231;4.088;34.467;-10.367;4.017;36.341;-15.612;2.696;22.870;-14.955;5.825;24.365;-13.442;6.909;26.258;-13.043;9.441;27.372;1.474;36.589;-2.396;15.536;34.219;-0.122;21.557;20.883;-1.088;28.213;6.142;-2.156;22.368;3.834;9.226;15.610;0.656;23.122;14.957;-1.222;23.805;12.587;-3.600;29.651;11.401;-4.659;32.145;9.888;-5.095;34.065;8.756;-5.393;35.306;15.149;-0.370;24.075;13.679;-1.546;30.426;11.832;-1.902;34.349;9.896;-2.009;37.075;8.732;-1.981;38.819;14.882;0.975;24.384;14.097;0.564;31.403;12.357;0.891;35.654;11.004;1.027;38.315;10.019;1.262;40.252;15.108;1.867;24.353;14.104;3.258;31.371;11.967;4.305;34.492;10.503;4.766;36.620;9.112;5.145;38.319;14.651;2.713;24.887;14.837;5.828;27.086;14.162;7.009;30.072;14.114;9.561;31.099;0.000;0.000;0.000;-7.678;-12.187;-1.070;-9.829;-32.934;-0.672;-12.355;-57.290;-0.205;-11.194;-101.517;-8.760;7.525;-12.386;-1.544;9.398;-33.090;-0.841;11.597;-57.394;-0.016;10.850;-101.835;-9.568
234.000;9.360;0.054;7.172;-0.112;0.042;13.924;-0.228;-0.057;25.871;-0.444;-0.333;41.750;-1.222;-0.389;46.068;1.765;0.082;52.625;2.713;-6.764;56.665;3.849;6.972;56.748;2.727;-2.578;58.642;11.023;3.982;58.681;10.487;-1.761;36.522;-2.605;-15.767;34.869;-1.582;-21.278;22.100;-2.936;-27.369;7.986;-4.432;-22.401;4.797;7.204;-16.810;0.993;20.829;-17.324;-0.669;21.589;-14.360;-3.329;28.030;-13.341;-3.599;30.215;-11.762;-4.194;32.204;-10.663;-4.155;33.464;-17.364;0.165;21.730;-15.232;-0.995;28.822;-12.864;-1.031;32.175;-11.151;-0.933;34.582;-9.946;-0.989;36.234;-16.523;1.499;21.310;-15.016;1.660;29.256;-12.887;1.911;32.644;-11.459;2.423;35.667;-10.729;2.661;37.692;-16.765;2.525;21.197;-14.742;3.965;28.812;-12.556;4.289;32.059;-11.457;4.553;34.593;-10.653;4.488;36.494;-15.545;3.078;22.838;-14.891;6.225;24.304;-13.337;7.328;26.206;-12.961;9.889;27.258;1.460;36.587;-2.413;15.528;34.228;-0.159;21.561;20.896;-1.115;28.229;6.160;-2.172;22.394;3.841;9.218;15.651;0.652;23.126;14.991;-1.242;23.795;12.627;-3.641;29.639;11.403;-4.704;32.121;9.879;-5.169;34.005;8.717;-5.476;35.216;15.176;-0.388;24.066;13.733;-1.587;30.422;11.845;-1.967;34.329;9.833;-2.055;37.006;8.623;-1.997;38.718;14.909;0.956;24.392;14.138;0.542;31.404;12.362;0.840;35.640;10.930;0.969;38.272;9.901;1.194;40.187;15.130;1.850;24.364;14.126;3.210;31.383;11.996;4.219;34.510;10.499;4.660;36.612;9.074;5.048;38.281;14.684;2.696;24.898;14.811;5.813;27.090;14.115;6.969;30.081;14.011;9.509;31.135;0.000;0.000;0.000;-7.678;-12.187;-1.062;-9.829;-32.937;-0.659;-12.353;-57.295;-0.186;-11.195;-101.522;-8.733;7.524;-12.386;-1.542;9.402;-33.091;-0.833;11.607;-57.397;-0.002;10.863;-101.837;-9.546
235.000;9.400;0.053;7.172;-0.117;0.039;13.925;-0.236;-0.065;25.873;-0.455;-0.358;41.752;-1.231;-0.407;46.068;1.751;0.094;52.625;2.686;-6.751;56.663;3.834;6.984;56.749;2.691;-2.553;58.637;11.003;4.005;58.678;10.456;-1.782;36.522;-2.614;-15.786;34.883;-1.568;-21.299;22.114;-2.854;-27.393;8.001;-4.275;-22.334;5.301;7.370;-16.662;2.055;21.008;-17.125;0.371;21.847;-13.951;-2.006;28.289;-12.679;-2.233;30.368;-10.212;-2.364;31.261;-8.613;-1.921;31.469;-17.114;1.212;21.939;-14.879;0.371;29.074;-12.072;0.236;32.126;-9.276;0.390;33.236;-7.319;0.365;33.831;-16.389;2.558;21.434;-14.687;3.077;29.418;-13.011;3.605;33.026;-11.967;4.362;36.176;-11.531;4.668;38.275;-16.615;3.579;21.282;-14.457;5.303;28.866;-12.663;5.710;32.344;-11.755;6.080;34.963;-11.131;6.047;36.931;-15.292;4.204;22.891;-14.615;7.424;24.269;-12.996;8.574;26.088;-12.652;11.174;27.053;1.440;36.591;-2.424;15.510;34.257;-0.191;21.560;20.931;-1.137;28.246;6.202;-2.183;22.423;3.846;9.221;15.685;0.618;23.154;15.053;-1.282;23.790;12.690;-3.805;29.584;11.394;-4.924;32.015;9.723;-5.382;33.758;8.452;-5.650;34.864;15.226;-0.430;24.072;13.794;-1.743;30.420;11.732;-2.191;34.242;9.416;-2.229;36.663;7.993;-2.166;38.203;14.951;0.835;24.435;14.162;0.394;31.422;12.223;0.540;35.606;10.463;0.672;38.048;9.204;0.849;39.826;15.147;1.735;24.411;14.120;3.017;31.430;11.887;3.895;34.528;10.227;4.216;36.501;8.635;4.503;38.033;14.654;2.635;24.909;14.688;5.702;27.228;13.811;6.726;30.252;13.332;9.167;31.429;0.000;0.000;0.000;-7.677;-12.189;-1.055;-9.827;-32.937;-0.643;-12.351;-57.293;-0.159;-11.192;-101.522;-8.688;7.526;-12.387;-1.530;9.404;-33.091;-0.810;11.608;-57.395;0.036;10.863;-101.839;-9.502
236.000;9.440;0.051;7.174;-0.123;0.040;13.928;-0.241;-0.054;25.879;-0.455;-0.365;41.759;-1.205;-0.412;46.069;1.775;0.110;52.626;2.699;-6.730;56.673;3.846;7.003;56.745;2.684;-2.522;58.664;11.003;4.036;58.698;10.448;-1.780;36.529;-2.599;-15.776;34.879;-1.560;-21.378;22.094;-2.475;-27.569;7.964;-3.486;-22.256;6.472;8.143;-16.327;4.643;21.781;-16.796;3.011;22.860;-13.286;1.454;29.391;-11.728;1.309;31.323;-9.156;1.500;30.933;-7.862;2.069;30.039;-16.698;3.850;22.820;-14.076;3.949;29.914;-10.749;4.072;32.448;-7.753;4.192;32.189;-5.779;4.108;31.663;-15.985;5.264;22.049;-13.914;6.665;29.956;-12.450;7.597;33.585;-11.740;8.830;36.685;-11.508;9.488;38.735;-16.227;6.272;21.812;-13.656;8.726;29.097;-12.187;9.591;32.630;-11.481;10.308;35.254;-11.035;10.509;37.259;-14.781;6.948;23.358;-13.842;10.269;24.273;-12.081;11.510;25.874;-11.436;14.149;26.527;1.441;36.601;-2.404;15.516;34.305;-0.157;21.591;20.994;-1.104;28.306;6.282;-2.151;22.470;3.842;9.264;15.691;0.532;23.250;15.177;-1.409;23.793;12.972;-4.227;29.472;11.422;-5.507;31.699;9.426;-5.846;33.156;7.964;-6.035;34.014;15.293;-0.556;24.101;13.924;-2.193;30.402;11.341;-2.893;33.891;8.550;-3.046;35.676;6.709;-2.968;36.677;14.936;0.652;24.554;14.125;-0.050;31.459;11.725;-0.312;35.418;9.391;-0.366;37.339;7.610;-0.310;38.604;15.069;1.563;24.564;13.861;2.513;31.552;11.332;2.946;34.492;9.317;2.893;36.131;7.462;2.883;37.367;14.554;2.387;25.082;14.099;5.276;27.613;12.951;5.909;30.710;11.948;8.026;32.153;0.000;0.000;0.000;-7.666;-12.195;-1.062;-9.819;-32.943;-0.632;-12.347;-57.301;-0.127;-11.175;-101.529;-8.624;7.537;-12.384;-1.497;9.411;-33.089;-0.758;11.610;-57.394;0.109;10.878;-101.842;-9.432
237.000;9.480;0.056;7.174;-0.126;0.049;13.929;-0.241;-0.036;25.880;-0.438;-0.350;41.760;-1.183;-0.411;46.071;1.810;0.097;52.629;2.762;-6.733;56.700;3.884;7.001;56.729;2.724;-2.521;58.721;11.030;4.038;58.735;10.477;-1.760;36.530;-2.582;-15.748;34.901;-1.587;-21.511;22.088;-1.569;-27.881;7.925;-1.548;-22.202;8.571;9.852;-15.848;9.250;23.242;-16.322;7.788;24.648;-12.669;7.579;31.283;-10.978;7.863;33.121;-8.574;7.955;32.157;-7.856;8.274;30.680;-16.198;8.592;24.416;-13.434;10.198;31.315;-10.275;11.017;33.866;-7.391;10.779;33.026;-5.560;10.414;32.190;-15.520;9.901;23.360;-13.142;12.856;30.771;-11.830;14.578;34.155;-11.340;16.400;36.953;-11.092;17.522;38.788;-15.745;10.845;22.929;-12.890;14.648;29.538;-11.535;16.288;32.822;-11.028;17.507;35.280;-10.666;18.161;37.204;-14.257;11.818;24.298;-13.230;15.204;24.480;-11.311;16.687;25.764;-10.579;19.379;25.932;1.461;36.603;-2.378;15.509;34.344;-0.084;21.630;21.052;-0.999;28.395;6.361;-2.010;22.499;3.723;9.376;15.596;0.182;23.365;15.341;-1.774;23.789;13.111;-5.130;29.116;11.433;-6.564;31.149;9.239;-6.978;32.225;7.614;-7.151;32.712;15.353;-0.932;24.146;13.874;-3.076;30.287;10.750;-4.312;33.153;7.573;-4.711;34.094;5.525;-4.722;34.547;14.820;0.147;24.676;13.732;-0.985;31.432;10.790;-1.972;34.852;7.999;-2.357;36.027;5.924;-2.489;36.701;14.843;1.066;24.738;13.185;1.476;31.632;10.416;1.234;34.295;8.160;0.648;35.461;6.131;0.222;36.279;14.230;1.792;25.262;12.947;4.291;28.005;11.445;4.321;31.058;9.826;5.888;32.638;0.000;0.000;0.000;-7.667;-12.191;-1.096;-9.831;-32.937;-0.634;-12.371;-57.292;-0.091;-11.173;-101.535;-8.507;7.539;-12.390;-1.438;9.395;-33.092;-0.668;11.573;-57.395;0.236;10.870;-101.849;-9.314
238.000;9.520;0.060;7.174;-0.132;0.058;13.929;-0.241;-0.021;25.881;-0.413;-0.303;41.759;-1.201;-0.380;46.082;1.805;0.086;52.637;2.801;-6.740;56.725;3.882;6.997;56.725;2.769;-2.548;58.769;11.034;4.012;58.769;10.502;-1.719;36.529;-2.590;-15.713;35.036;-1.602;-21.596;22.279;-0.008;-28.098;8.180;1.753;-22.205;11.534;12.419;-15.584;15.406;24.965;-15.995;14.294;26.693;-12.440;15.790;33.168;-10.656;16.597;34.749;-8.514;16.300;33.363;-7.975;16.125;31.789;-15.851;15.007;26.259;-13.201;18.368;32.539;-10.309;20.007;34.880;-7.630;19.217;33.783;-6.004;18.443;32.814;-15.270;16.043;24.931;-12.876;20.790;31.368;-11.770;23.369;34.186;-11.460;25.885;36.438;-11.347;27.433;37.947;-15.479;16.846;24.265;-12.656;22.186;29.727;-11.427;24.658;32.500;-11.093;26.576;34.535;-10.908;27.754;36.221;-13.981;18.161;25.313;-13.076;21.504;24.651;-11.159;23.287;25.556;-10.337;25.935;25.208;1.501;36.597;-2.378;15.514;34.348;-0.025;21.679;21.065;-0.833;28.494;6.384;-1.727;22.489;3.311;9.537;15.417;-0.765;23.388;15.401;-2.736;23.679;13.167;-6.645;28.572;11.418;-8.385;30.290;9.105;-9.015;30.990;7.440;-9.323;31.201;15.280;-1.922;24.076;13.578;-4.632;29.970;10.196;-6.449;32.170;6.930;-7.146;32.431;4.845;-7.375;32.424;14.604;-0.970;24.649;13.080;-2.671;31.202;9.790;-4.345;34.003;6.924;-5.119;34.592;4.768;-5.450;34.725;14.486;-0.064;24.761;12.189;-0.313;31.495;9.240;-1.281;33.774;6.969;-2.247;34.592;4.935;-3.022;35.071;13.736;0.559;25.315;11.591;2.528;27.995;9.658;1.988;30.760;7.455;2.905;32.131;0.000;0.000;0.000;-7.662;-12.189;-1.149;-9.853;-32.934;-0.657;-12.425;-57.287;-0.078;-11.192;-101.548;-8.346;7.546;-12.396;-1.347;9.370;-33.100;-0.546;11.511;-57.405;0.394;10.852;-101.862;-9.153
