Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1296.000;51.840;0.008;7.168;-0.078;-0.009;13.916;-0.254;-0.074;25.852;-0.692;-0.513;41.717;-1.658;-0.585;46.044;1.555;-0.220;52.425;3.171;-7.043;56.554;4.115;6.717;56.465;3.331;-3.009;58.524;11.378;3.561;58.481;11.004;-1.914;36.459;-2.954;-15.965;34.459;-1.679;-21.302;21.546;-3.048;-27.200;7.273;-4.562;-22.481;5.617;7.374;-17.125;3.611;21.393;-17.577;1.945;22.064;-14.676;-0.590;28.530;-13.717;-0.718;30.863;-12.919;-1.394;33.130;-12.172;-1.384;34.626;-17.680;2.769;22.226;-15.913;1.612;29.363;-14.250;1.817;33.114;-12.400;2.044;35.461;-11.055;2.123;37.000;-17.003;3.998;21.970;-15.814;4.155;29.949;-14.035;4.441;33.623;-11.769;4.627;36.104;-10.384;4.710;37.767;-17.217;5.034;21.836;-15.641;6.550;29.549;-13.448;6.802;32.724;-11.385;6.830;34.665;-9.735;6.577;35.879;-16.090;5.718;23.504;-15.557;8.815;25.314;-14.008;10.019;27.374;-14.487;12.368;28.809;1.309;36.556;-2.815;15.444;34.226;-0.728;20.763;20.690;-2.193;26.642;5.730;-3.813;21.699;4.472;8.040;15.985;2.578;22.506;15.650;0.858;23.366;14.166;-1.592;29.401;12.829;-2.638;31.916;11.329;-3.074;33.721;10.124;-3.229;34.918;15.925;1.692;23.620;15.537;0.376;30.003;13.703;-0.303;33.973;11.420;-0.397;36.414;9.941;-0.341;37.901;15.485;2.798;23.906;16.064;2.567;30.905;14.937;2.151;35.395;13.222;2.131;37.901;11.867;2.276;39.610;15.642;3.701;23.822;16.094;5.215;30.917;14.944;5.693;34.606;13.748;5.730;36.945;12.565;5.815;38.831;15.288;4.630;24.408;15.752;7.662;26.709;15.751;8.700;29.845;15.690;11.223;30.941;0.000;0.000;0.000;-7.600;-12.239;-1.028;-9.784;-33.109;-0.587;-12.344;-57.609;-0.073;-11.610;-101.798;-8.349;7.590;-12.307;-1.830;9.524;-33.168;-1.066;11.797;-57.658;-0.169;11.077;-102.119;-9.118
1297.000;51.880;0.007;7.167;-0.081;-0.012;13.912;-0.259;-0.078;25.845;-0.701;-0.523;41.710;-1.669;-0.595;46.040;1.547;-0.233;52.425;3.166;-7.053;56.553;4.129;6.704;56.466;3.301;-2.998;58.528;11.378;3.572;58.486;10.983;-1.922;36.451;-2.964;-15.972;34.447;-1.685;-21.311;21.534;-3.057;-27.212;7.263;-4.573;-22.498;5.608;7.367;-17.146;3.603;21.392;-17.615;1.956;22.067;-14.736;-0.570;28.541;-13.771;-0.739;30.867;-12.967;-1.391;33.149;-12.261;-1.390;34.665;-17.721;2.779;22.232;-15.971;1.634;29.365;-14.289;1.808;33.118;-12.442;2.044;35.464;-11.121;2.114;37.024;-17.033;3.986;21.973;-15.857;4.158;29.947;-14.071;4.440;33.619;-11.824;4.635;36.116;-10.440;4.717;37.779;-17.241;5.023;21.838;-15.670;6.541;29.551;-13.490;6.793;32.734;-11.454;6.804;34.692;-9.788;6.594;35.894;-16.142;5.712;23.512;-15.584;8.807;25.318;-14.045;9.996;27.397;-14.508;12.370;28.797;1.301;36.550;-2.826;15.438;34.221;-0.748;20.762;20.689;-2.222;26.647;5.733;-3.852;21.712;4.469;8.005;16.007;2.571;22.477;15.665;0.851;23.340;14.201;-1.607;29.367;12.859;-2.645;31.892;11.363;-3.082;33.691;10.153;-3.227;34.885;15.938;1.685;23.594;15.554;0.356;29.978;13.723;-0.322;33.939;11.420;-0.394;36.370;9.936;-0.320;37.851;15.504;2.796;23.879;16.084;2.572;30.879;14.941;2.145;35.358;13.222;2.118;37.863;11.850;2.275;39.556;15.665;3.699;23.794;16.121;5.200;30.885;14.974;5.659;34.582;13.789;5.695;36.913;12.575;5.772;38.780;15.315;4.625;24.379;15.772;7.652;26.677;15.777;8.687;29.812;15.730;11.211;30.909;0.000;0.000;0.000;-7.597;-12.242;-1.018;-9.779;-33.111;-0.576;-12.338;-57.611;-0.060;-11.600;-101.796;-8.354;7.593;-12.306;-1.827;9.530;-33.167;-1.058;11.807;-57.657;-0.155;11.088;-102.117;-9.110
1298.000;51.920;0.007;7.167;-0.085;-0.013;13.912;-0.265;-0.081;25.845;-0.713;-0.527;41.710;-1.677;-0.597;46.040;1.537;-0.231;52.425;3.153;-7.047;56.554;4.146;6.707;56.466;3.256;-2.958;58.531;11.376;3.610;58.489;10.951;-1.927;36.451;-2.973;-15.975;34.446;-1.691;-21.313;21.534;-3.071;-27.212;7.263;-4.595;-22.522;5.611;7.355;-17.200;3.609;21.389;-17.666;1.961;22.065;-14.765;-0.581;28.544;-13.814;-0.721;30.878;-13.026;-1.390;33.140;-12.298;-1.370;34.645;-17.778;2.783;22.229;-16.014;1.646;29.365;-14.347;1.809;33.116;-12.501;2.055;35.462;-11.183;2.124;37.025;-17.102;3.979;21.974;-15.917;4.166;29.949;-14.135;4.448;33.614;-11.901;4.624;36.117;-10.501;4.724;37.766;-17.310;5.020;21.841;-15.749;6.545;29.550;-13.575;6.790;32.741;-11.531;6.791;34.712;-9.907;6.562;35.966;-16.203;5.714;23.503;-15.641;8.814;25.321;-14.102;10.022;27.371;-14.582;12.363;28.819;1.297;36.550;-2.836;15.433;34.222;-0.766;20.765;20.694;-2.248;26.659;5.741;-3.886;21.726;4.470;7.971;16.025;2.557;22.441;15.680;0.823;23.295;14.226;-1.630;29.332;12.897;-2.681;31.854;11.384;-3.108;33.645;10.177;-3.254;34.841;15.950;1.659;23.548;15.582;0.327;29.937;13.766;-0.344;33.905;11.443;-0.424;36.327;9.960;-0.351;37.808;15.527;2.796;23.838;16.119;2.540;30.841;14.970;2.103;35.323;13.241;2.076;37.816;11.853;2.231;39.498;15.693;3.698;23.756;16.149;5.175;30.859;15.024;5.600;34.562;13.822;5.615;36.893;12.632;5.682;38.776;15.329;4.608;24.336;15.785;7.637;26.645;15.785;8.671;29.760;15.752;11.175;30.902;0.000;0.000;0.000;-7.597;-12.242;-1.012;-9.784;-33.109;-0.565;-12.347;-57.605;-0.045;-11.618;-101.805;-8.338;7.593;-12.306;-1.825;9.529;-33.167;-1.053;11.807;-57.656;-0.147;11.090;-102.111;-9.110
1299.000;51.960;0.006;7.167;-0.089;-0.014;13.912;-0.275;-0.083;25.845;-0.730;-0.531;41.710;-1.695;-0.599;46.042;1.521;-0.229;52.433;3.137;-7.036;56.569;4.159;6.713;56.468;3.196;-2.907;58.554;11.364;3.658;58.506;10.904;-1.931;36.450;-2.990;-15.977;34.440;-1.706;-21.302;21.526;-3.087;-27.188;7.253;-4.614;-22.528;5.608;7.346;-17.242;3.614;21.393;-17.711;1.970;22.071;-14.811;-0.569;28.556;-13.873;-0.711;30.872;-13.050;-1.381;33.140;-12.302;-1.375;34.636;-17.827;2.792;22.234;-16.070;1.642;29.372;-14.404;1.834;33.125;-12.545;2.070;35.463;-11.213;2.150;37.013;-17.133;3.996;21.972;-15.988;4.172;29.948;-14.174;4.474;33.614;-11.910;4.660;36.085;-10.505;4.742;37.732;-17.343;5.034;21.836;-15.801;6.556;29.556;-13.642;6.812;32.746;-11.585;6.820;34.689;-9.936;6.565;35.905;-16.234;5.729;23.517;-15.690;8.828;25.313;-14.141;10.028;27.378;-14.616;12.379;28.810;1.292;36.550;-2.855;15.432;34.218;-0.789;20.771;20.695;-2.278;26.673;5.748;-3.924;21.747;4.464;7.938;16.055;2.538;22.415;15.706;0.802;23.269;14.283;-1.655;29.308;12.947;-2.721;31.825;11.407;-3.137;33.604;10.187;-3.288;34.786;15.968;1.640;23.523;15.630;0.316;29.908;13.801;-0.384;33.879;11.454;-0.446;36.278;9.954;-0.382;37.743;15.557;2.778;23.813;16.143;2.526;30.818;14.990;2.063;35.291;13.245;2.034;37.772;11.821;2.194;39.422;15.724;3.680;23.730;16.196;5.154;30.828;15.066;5.556;34.540;13.864;5.583;36.860;12.632;5.647;38.716;15.360;4.584;24.332;15.798;7.619;26.619;15.788;8.649;29.762;15.735;11.166;30.873;0.000;0.000;0.000;-7.596;-12.244;-1.000;-9.778;-33.111;-0.546;-12.336;-57.608;-0.017;-11.594;-101.790;-8.321;7.593;-12.307;-1.818;9.531;-33.167;-1.037;11.809;-57.655;-0.119;11.089;-102.109;-9.093
1300.000;52.000;0.005;7.166;-0.092;-0.018;13.911;-0.280;-0.095;25.842;-0.740;-0.550;41.707;-1.699;-0.616;46.040;1.519;-0.237;52.433;3.136;-7.035;56.577;4.184;6.709;56.461;3.165;-2.875;58.562;11.371;3.688;58.507;10.884;-1.948;36.448;-2.996;-15.994;34.430;-1.707;-21.310;21.514;-3.100;-27.185;7.237;-4.639;-22.536;5.599;7.324;-17.262;3.615;21.374;-17.728;1.951;22.046;-14.827;-0.543;28.544;-13.873;-0.681;30.847;-12.953;-1.354;33.100;-12.187;-1.326;34.586;-17.839;2.775;22.205;-16.101;1.652;29.353;-14.428;1.815;33.110;-12.546;2.061;35.424;-11.160;2.133;36.927;-17.162;3.999;21.952;-16.023;4.189;29.934;-14.249;4.495;33.607;-11.898;4.674;36.019;-10.424;4.727;37.604;-17.379;5.037;21.814;-15.874;6.565;29.532;-13.734;6.816;32.739;-11.637;6.812;34.661;-9.966;6.547;35.845;-16.262;5.741;23.502;-15.707;8.834;25.282;-14.154;10.031;27.351;-14.608;12.393;28.774;1.276;36.549;-2.861;15.415;34.219;-0.801;20.769;20.703;-2.297;26.687;5.764;-3.951;21.769;4.459;7.912;16.083;2.509;22.393;15.744;0.764;23.236;14.314;-1.712;29.275;13.007;-2.806;31.787;11.420;-3.191;33.533;10.172;-3.327;34.688;16.000;1.605;23.490;15.679;0.270;29.882;13.842;-0.433;33.845;11.418;-0.489;36.177;9.873;-0.398;37.593;15.587;2.745;23.791;16.184;2.474;30.789;15.001;1.993;35.259;13.200;1.961;37.695;11.708;2.126;39.284;15.748;3.648;23.710;16.228;5.107;30.817;15.147;5.498;34.539;13.922;5.507;36.835;12.661;5.548;38.673;15.398;4.554;24.308;15.812;7.580;26.606;15.810;8.600;29.749;15.738;11.116;30.861;0.000;0.000;0.000;-7.595;-12.245;-0.995;-9.779;-33.112;-0.532;-12.340;-57.609;0.008;-11.597;-101.790;-8.289;7.594;-12.307;-1.815;9.531;-33.168;-1.025;11.809;-57.656;-0.099;11.089;-102.110;-9.073
1301.000;52.040;0.003;7.166;-0.094;-0.023;13.911;-0.284;-0.104;25.843;-0.748;-0.571;41.708;-1.701;-0.633;46.041;1.520;-0.241;52.436;3.139;-7.028;56.593;4.204;6.713;56.451;3.145;-2.844;58.574;11.378;3.718;58.507;10.872;-1.965;36.448;-2.999;-16.007;34.420;-1.705;-21.317;21.502;-3.107;-27.185;7.223;-4.656;-22.534;5.619;7.311;-17.253;3.680;21.372;-17.713;2.013;22.047;-14.814;-0.387;28.544;-13.746;-0.479;30.794;-12.377;-0.982;32.882;-11.294;-0.783;34.141;-17.833;2.836;22.202;-16.149;1.748;29.347;-14.447;1.822;33.111;-12.209;2.086;35.122;-10.558;2.136;36.329;-17.173;4.037;21.961;-16.058;4.293;29.943;-14.338;4.477;33.657;-11.587;4.566;35.596;-9.666;4.548;36.597;-17.385;5.076;21.815;-15.917;6.671;29.505;-13.804;6.859;32.697;-11.473;6.842;34.289;-9.612;6.503;35.117;-16.262;5.809;23.470;-15.651;8.923;25.215;-14.035;10.060;27.296;-14.301;12.411;28.782;1.258;36.551;-2.866;15.402;34.231;-0.814;20.771;20.720;-2.321;26.704;5.786;-3.986;21.802;4.448;7.883;16.140;2.459;22.371;15.814;0.732;23.219;14.422;-1.794;29.251;13.079;-2.914;31.740;11.403;-3.243;33.427;10.096;-3.341;34.519;16.072;1.571;23.475;15.763;0.195;29.866;13.881;-0.533;33.811;11.319;-0.531;35.969;9.635;-0.376;37.211;15.634;2.697;23.773;16.248;2.410;30.777;15.014;1.859;35.228;13.028;1.853;37.538;11.401;2.037;38.986;15.791;3.601;23.697;16.271;5.030;30.802;15.221;5.375;34.525;13.936;5.351;36.784;12.599;5.370;38.567;15.418;4.498;24.289;15.820;7.512;26.598;15.797;8.529;29.748;15.691;11.042;30.863;0.000;0.000;0.000;-7.595;-12.245;-0.989;-9.783;-33.110;-0.521;-12.349;-57.604;0.025;-11.614;-101.783;-8.282;7.594;-12.307;-1.814;9.528;-33.167;-1.012;11.801;-57.656;-0.072;11.068;-102.108;-9.048
1302.000;52.080;0.003;7.165;-0.098;-0.025;13.910;-0.290;-0.112;25.840;-0.756;-0.595;41.705;-1.701;-0.651;46.040;1.525;-0.232;52.437;3.149;-7.002;56.622;4.213;6.737;56.426;3.139;-2.802;58.601;11.379;3.759;58.507;10.866;-1.984;36.444;-3.001;-16.023;34.414;-1.695;-21.340;21.503;-3.074;-27.217;7.233;-4.599;-22.518;5.764;7.368;-17.169;3.994;21.434;-17.595;2.302;22.097;-14.686;0.053;28.622;-13.561;0.132;30.830;-11.157;0.384;31.859;-9.629;1.060;31.932;-17.724;3.126;22.240;-16.142;2.040;29.435;-14.141;1.941;33.026;-11.252;2.479;33.851;-9.235;2.778;33.699;-17.071;4.367;22.021;-16.144;4.652;30.015;-14.116;4.623;33.599;-10.820;4.642;34.097;-8.751;4.622;33.455;-17.313;5.396;21.866;-16.025;7.080;29.524;-13.938;7.206;32.611;-11.213;7.070;33.313;-9.218;6.626;33.023;-16.286;6.133;23.509;-15.456;9.253;25.192;-13.674;10.202;27.298;-13.476;12.469;28.919;1.239;36.550;-2.868;15.388;34.242;-0.818;20.775;20.736;-2.329;26.730;5.808;-3.999;21.841;4.409;7.879;16.199;2.348;22.379;15.871;0.580;23.192;14.514;-1.953;29.228;13.126;-3.091;31.699;11.328;-3.343;33.277;9.943;-3.376;34.273;16.109;1.425;23.446;15.853;-0.021;29.853;13.787;-0.722;33.725;11.007;-0.636;35.588;9.167;-0.307;36.538;15.676;2.569;23.794;16.307;2.248;30.782;14.869;1.630;35.177;12.618;1.670;37.231;10.746;1.920;38.331;15.824;3.475;23.724;16.271;4.865;30.832;15.186;5.096;34.518;13.755;4.977;36.674;12.238;4.946;38.306;15.440;4.359;24.284;15.755;7.368;26.642;15.656;8.351;29.797;15.449;10.819;30.995;0.000;0.000;0.000;-7.593;-12.247;-0.980;-9.777;-33.112;-0.499;-12.338;-57.606;0.063;-11.595;-101.786;-8.235;7.595;-12.307;-1.806;9.536;-33.167;-0.995;11.818;-57.654;-0.044;11.100;-102.105;-9.018
1303.000;52.120;0.000;7.168;-0.104;-0.034;13.915;-0.297;-0.136;25.850;-0.757;-0.651;41.717;-1.657;-0.708;46.044;1.576;-0.265;52.444;3.202;-7.014;56.669;4.243;6.726;56.395;3.189;-2.813;58.649;11.408;3.748;58.518;10.905;-2.027;36.457;-2.974;-16.061;34.424;-1.643;-21.399;21.502;-2.880;-27.299;7.221;-4.247;-22.404;6.220;7.669;-16.822;4.995;21.705;-17.051;3.179;22.382;-14.178;1.483;28.919;-12.584;1.865;30.890;-10.407;2.694;29.801;-10.004;3.242;28.274;-17.114;4.019;22.458;-15.624;3.418;29.788;-12.678;3.732;32.530;-10.162;4.505;30.996;-9.630;4.717;29.033;-16.753;5.384;22.284;-15.581;6.070;30.146;-12.672;6.146;32.959;-9.967;6.243;31.173;-9.779;6.178;29.016;-17.048;6.396;22.111;-15.598;8.400;29.596;-13.184;8.644;32.225;-10.628;8.431;31.152;-9.657;7.976;29.387;-16.049;7.259;23.631;-15.147;10.389;25.203;-13.225;11.264;27.318;-12.735;13.348;29.114;1.196;36.569;-2.836;15.352;34.291;-0.755;20.773;20.802;-2.284;26.766;5.894;-3.975;21.881;4.354;7.908;16.233;2.128;22.433;15.933;0.333;23.191;14.585;-2.313;29.159;13.139;-3.457;31.586;11.201;-3.587;33.046;9.711;-3.507;33.873;16.150;1.181;23.457;15.905;-0.363;29.862;13.487;-1.060;33.534;10.434;-0.840;34.927;8.477;-0.456;35.576;15.699;2.280;23.871;16.262;1.901;30.800;14.401;1.212;35.030;11.747;1.305;36.595;9.695;1.612;37.283;15.818;3.191;23.816;16.176;4.467;30.884;14.825;4.489;34.472;13.104;4.251;36.376;11.348;4.111;37.741;15.438;4.061;24.348;15.451;7.023;26.846;15.156;7.845;30.048;14.505;10.065;31.538;0.000;0.000;0.000;-7.591;-12.249;-0.977;-9.784;-33.112;-0.478;-12.354;-57.604;0.103;-11.616;-101.803;-8.179;7.599;-12.308;-1.781;9.529;-33.167;-0.956;11.799;-57.652;0.012;11.075;-102.105;-8.961
1304.000;52.160;0.000;7.177;-0.110;-0.040;13.932;-0.291;-0.161;25.882;-0.707;-0.720;41.752;-1.524;-0.794;46.060;1.720;-0.350;52.455;3.355;-7.069;56.744;4.329;6.674;56.347;3.356;-2.892;58.737;11.504;3.670;58.548;11.039;-2.075;36.496;-2.875;-16.101;34.443;-1.580;-21.497;21.471;-2.392;-27.461;7.134;-3.290;-22.081;7.347;8.437;-15.895;7.514;22.330;-15.887;5.816;23.232;-12.485;4.645;29.138;-10.168;5.451;29.669;-10.239;6.185;27.364;-11.496;6.361;26.276;-15.930;6.661;23.245;-13.666;6.765;30.242;-9.868;7.533;30.975;-9.778;7.970;27.997;-10.428;7.492;26.118;-15.793;7.982;22.900;-13.672;9.518;30.046;-9.913;9.915;31.154;-9.463;9.522;27.998;-11.117;9.266;26.624;-16.119;8.923;22.660;-13.866;11.721;29.423;-10.740;11.997;30.871;-9.565;11.544;28.483;-10.376;10.809;26.732;-15.095;9.956;23.800;-14.013;13.190;24.965;-11.861;14.300;26.808;-10.935;16.244;28.590;1.147;36.617;-2.723;15.300;34.379;-0.562;20.801;20.928;-2.104;26.881;6.062;-3.809;21.929;4.244;8.051;16.194;1.695;22.569;15.985;-0.166;23.215;14.661;-3.056;29.042;13.113;-4.226;31.398;11.039;-4.332;32.633;9.456;-4.180;33.251;16.144;0.685;23.507;15.889;-1.058;29.892;13.049;-1.904;33.221;9.784;-1.726;34.054;7.738;-1.358;34.328;15.637;1.736;24.030;16.052;1.170;30.869;13.617;0.308;34.761;10.705;0.278;35.792;8.540;0.559;35.886;15.694;2.655;24.011;15.777;3.647;31.039;14.035;3.363;34.418;12.019;2.875;35.954;10.052;2.560;36.951;15.214;3.475;24.514;14.677;6.180;27.301;13.985;6.618;30.550;12.798;8.392;32.288;0.000;0.000;0.000;-7.591;-12.248;-0.987;-9.793;-33.108;-0.452;-12.375;-57.596;0.171;-11.626;-101.798;-8.073;7.603;-12.314;-1.725;9.519;-33.167;-0.871;11.772;-57.646;0.132;11.061;-102.100;-8.853
