Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
335.000;13.400;-0.318;7.368;-1.727;-0.541;14.536;-1.950;-0.840;27.519;-0.569;-1.201;43.410;-0.158;-1.095;47.316;3.203;-0.597;53.387;5.048;-7.575;57.282;5.838;6.181;57.692;5.084;-3.643;59.650;13.038;2.926;59.846;12.677;-2.695;38.287;-1.836;-16.668;36.095;0.597;-22.093;23.166;-0.509;-28.090;8.876;-1.731;-21.254;9.177;8.618;-14.055;10.477;22.043;-14.129;8.849;23.000;-10.331;8.061;29.356;-9.108;8.662;31.459;-7.914;8.923;33.783;-7.200;9.332;35.238;-14.310;9.676;23.012;-11.591;10.204;29.914;-9.496;11.322;33.310;-8.015;12.250;35.711;-6.992;12.755;37.408;-13.868;11.019;22.475;-11.827;12.700;30.074;-9.624;13.696;33.350;-7.477;14.820;35.753;-6.309;15.423;37.474;-14.273;11.988;22.212;-12.060;14.969;29.262;-9.585;15.931;32.087;-7.444;16.531;33.864;-5.825;16.672;35.139;-13.098;12.983;23.631;-12.919;16.391;24.825;-11.480;18.032;26.450;-11.697;20.704;27.237;0.532;38.360;-1.829;14.761;35.463;0.068;20.667;22.077;-1.446;27.196;7.281;-3.119;21.611;8.547;8.042;15.535;10.396;22.276;15.348;8.808;23.522;13.840;8.037;30.035;12.555;7.548;32.681;10.728;7.403;34.484;9.529;7.511;35.693;15.422;9.719;23.519;14.941;10.321;30.084;13.179;10.316;34.145;10.880;10.555;36.567;9.320;10.803;37.946;14.937;11.039;23.433;15.094;12.601;30.439;13.746;12.900;34.928;11.535;13.154;37.054;9.835;13.559;38.367;15.016;11.910;23.147;14.826;15.080;29.865;13.883;15.975;33.468;12.423;16.074;35.585;10.839;16.288;37.137;14.540;12.792;23.509;14.723;16.378;24.936;14.596;18.341;27.571;14.798;21.070;27.861;0.000;0.000;0.000;-6.968;-12.302;2.893;-8.221;-25.593;20.093;-9.691;-41.196;40.284;-4.242;-69.910;4.726;7.976;-11.939;1.774;8.757;-29.900;12.354;9.674;-50.984;24.774;6.709;-95.000;33.283
336.000;13.440;-0.318;7.369;-1.727;-0.541;14.539;-1.951;-0.840;27.525;-0.573;-1.199;43.416;-0.168;-1.093;47.320;3.191;-0.595;53.388;5.038;-7.570;57.286;5.833;6.185;57.690;5.066;-3.631;59.653;13.028;2.938;59.847;12.662;-2.694;38.293;-1.844;-16.668;36.105;0.591;-22.100;23.177;-0.517;-28.104;8.889;-1.741;-21.268;9.191;8.608;-14.069;10.492;22.033;-14.147;8.864;22.991;-10.348;8.086;29.349;-9.139;8.689;31.453;-7.937;8.937;33.772;-7.216;9.355;35.221;-14.329;9.690;23.004;-11.625;10.213;29.908;-9.536;11.339;33.306;-8.060;12.279;35.708;-7.035;12.781;37.405;-13.879;11.026;22.470;-11.860;12.714;30.064;-9.671;13.727;33.343;-7.538;14.829;35.747;-6.337;15.461;37.434;-14.284;11.990;22.205;-12.093;14.974;29.255;-9.619;15.939;32.081;-7.470;16.542;33.854;-5.860;16.659;35.142;-13.131;12.999;23.630;-12.944;16.404;24.818;-11.500;18.046;26.435;-11.731;20.715;27.230;0.533;38.365;-1.837;14.766;35.466;0.063;20.671;22.077;-1.447;27.199;7.280;-3.115;21.611;8.557;8.045;15.535;10.420;22.274;15.334;8.837;23.524;13.869;8.068;30.022;12.542;7.585;32.676;10.713;7.435;34.477;9.514;7.548;35.685;15.408;9.749;23.521;14.922;10.353;30.080;13.205;10.370;34.155;10.871;10.598;36.552;9.292;10.818;37.915;14.937;11.052;23.439;15.109;12.632;30.437;13.712;12.928;34.917;11.507;13.184;37.038;9.803;13.589;38.346;15.012;11.923;23.150;14.829;15.118;29.859;13.877;16.008;33.463;12.417;16.112;35.582;10.846;16.334;37.146;14.562;12.816;23.507;14.710;16.410;24.925;14.602;18.365;27.554;14.784;21.094;27.860;0.000;0.000;0.000;-6.968;-12.302;2.893;-8.220;-25.593;20.093;-9.691;-41.196;40.284;-4.242;-69.910;4.725;7.976;-11.939;1.774;8.757;-29.899;12.355;9.675;-50.983;24.777;6.710;-94.998;33.290
337.000;13.480;-0.318;7.370;-1.728;-0.542;14.541;-1.953;-0.841;27.528;-0.579;-1.196;43.420;-0.184;-1.089;47.322;3.169;-0.589;53.385;5.008;-7.564;57.283;5.808;6.191;57.687;5.033;-3.620;59.649;13.002;2.948;59.842;12.632;-2.692;38.296;-1.857;-16.666;36.113;0.579;-22.108;23.189;-0.532;-28.123;8.905;-1.760;-21.288;9.209;8.592;-14.092;10.518;22.018;-14.158;8.901;22.976;-10.360;8.105;29.334;-9.144;8.733;31.438;-7.952;8.992;33.754;-7.229;9.393;35.208;-14.342;9.727;22.991;-11.654;10.246;29.891;-9.560;11.377;33.286;-8.076;12.312;35.687;-7.054;12.821;37.383;-13.907;11.055;22.456;-11.892;12.746;30.049;-9.681;13.752;33.312;-7.535;14.876;35.704;-6.334;15.522;37.385;-14.310;12.023;22.190;-12.128;14.996;29.241;-9.642;15.967;32.061;-7.507;16.577;33.836;-5.886;16.707;35.108;-13.159;13.027;23.618;-12.959;16.429;24.806;-11.529;18.073;26.412;-11.747;20.744;27.205;0.535;38.367;-1.850;14.766;35.466;0.051;20.668;22.076;-1.450;27.191;7.276;-3.109;21.602;8.569;8.046;15.524;10.453;22.270;15.323;8.866;23.521;13.853;8.104;30.021;12.527;7.639;32.677;10.680;7.506;34.469;9.488;7.607;35.685;15.397;9.777;23.516;14.913;10.397;30.075;13.144;10.409;34.135;10.831;10.655;36.530;9.248;10.878;37.888;14.926;11.093;23.431;15.090;12.682;30.425;13.646;12.991;34.875;11.480;13.249;37.018;9.776;13.655;38.325;15.005;11.964;23.143;14.825;15.168;29.848;13.866;16.065;33.448;12.409;16.155;35.568;10.836;16.382;37.130;14.506;12.849;23.490;14.716;16.441;24.916;14.597;18.411;27.547;14.789;21.142;27.830;0.000;0.000;0.000;-6.968;-12.302;2.893;-8.221;-25.592;20.093;-9.691;-41.193;40.285;-4.241;-69.912;4.726;7.976;-11.939;1.774;8.758;-29.898;12.358;9.676;-50.980;24.783;6.711;-94.997;33.299
338.000;13.520;-0.319;7.373;-1.728;-0.542;14.546;-1.955;-0.842;27.537;-0.584;-1.192;43.429;-0.201;-1.084;47.330;3.146;-0.584;53.388;4.982;-7.556;57.290;5.785;6.199;57.686;5.003;-3.607;59.654;12.976;2.961;59.843;12.603;-2.690;38.304;-1.870;-16.666;36.129;0.564;-22.120;23.210;-0.542;-28.149;8.931;-1.766;-21.315;9.241;8.588;-14.122;10.552;22.016;-14.201;8.921;22.974;-10.394;8.156;29.332;-9.187;8.778;31.430;-8.001;9.050;33.741;-7.235;9.481;35.164;-14.389;9.746;22.987;-11.705;10.291;29.894;-9.601;11.431;33.282;-8.127;12.368;35.686;-7.099;12.873;37.380;-13.931;11.091;22.455;-11.937;12.781;30.045;-9.718;13.788;33.304;-7.529;14.950;35.654;-6.330;15.552;37.353;-14.338;12.055;22.190;-12.177;15.050;29.232;-9.681;15.996;32.050;-7.558;16.603;33.822;-5.926;16.756;35.078;-13.208;13.060;23.628;-12.972;16.464;24.801;-11.508;18.111;26.394;-11.740;20.787;27.166;0.537;38.375;-1.863;14.769;35.470;0.039;20.670;22.078;-1.460;27.191;7.276;-3.117;21.597;8.585;8.035;15.511;10.488;22.256;15.304;8.885;23.503;13.806;8.140;30.006;12.498;7.693;32.658;10.636;7.574;34.447;9.448;7.683;35.667;15.374;9.797;23.495;14.892;10.431;30.063;13.093;10.456;34.110;10.771;10.694;36.494;9.184;10.924;37.847;14.908;11.140;23.413;15.069;12.723;30.410;13.608;13.029;34.855;11.430;13.278;36.982;9.706;13.695;38.259;14.991;12.011;23.125;14.814;15.203;29.820;13.856;16.101;33.424;12.389;16.196;35.542;10.803;16.418;37.092;14.518;12.878;23.470;14.681;16.479;24.893;14.573;18.440;27.521;14.745;21.169;27.832;0.000;0.000;0.000;-6.968;-12.302;2.892;-8.221;-25.592;20.094;-9.692;-41.193;40.286;-4.240;-69.912;4.729;7.976;-11.939;1.774;8.758;-29.897;12.359;9.676;-50.979;24.784;6.712;-94.996;33.299
339.000;13.560;-0.319;7.376;-1.729;-0.542;14.551;-1.957;-0.842;27.546;-0.591;-1.194;43.438;-0.221;-1.087;47.339;3.124;-0.594;53.391;4.962;-7.563;57.297;5.771;6.191;57.685;4.977;-3.607;59.660;12.959;2.961;59.846;12.580;-2.691;38.312;-1.886;-16.667;36.137;0.555;-22.125;23.218;-0.550;-28.158;8.939;-1.771;-21.322;9.266;8.587;-14.135;10.593;22.017;-14.209;8.972;22.981;-10.390;8.215;29.325;-9.165;8.863;31.411;-7.930;9.167;33.712;-7.183;9.589;35.148;-14.412;9.793;22.998;-11.736;10.344;29.899;-9.637;11.481;33.289;-8.156;12.446;35.671;-7.108;12.970;37.347;-13.962;11.100;22.470;-11.991;12.824;30.050;-9.743;13.859;33.287;-7.560;15.011;35.632;-6.343;15.623;37.315;-14.371;12.065;22.198;-12.248;15.091;29.237;-9.735;16.001;32.056;-7.608;16.661;33.814;-5.982;16.805;35.079;-13.271;13.100;23.645;-12.905;16.515;24.812;-11.424;18.129;26.370;-11.556;20.835;27.054;0.536;38.383;-1.879;14.767;35.482;0.025;20.671;22.090;-1.472;27.196;7.289;-3.126;21.597;8.607;8.021;15.504;10.523;22.237;15.292;8.929;23.489;13.767;8.183;29.981;12.443;7.776;32.625;10.597;7.668;34.420;9.409;7.800;35.638;15.364;9.840;23.481;14.885;10.478;30.046;13.038;10.489;34.076;10.666;10.727;36.419;9.061;10.969;37.747;14.904;11.176;23.394;15.045;12.750;30.393;13.560;13.074;34.828;11.346;13.314;36.923;9.610;13.728;38.186;14.988;12.046;23.105;14.807;15.235;29.797;13.844;16.147;33.397;12.369;16.235;35.516;10.784;16.468;37.065;14.488;12.919;23.451;14.679;16.513;24.878;14.544;18.479;27.490;14.759;21.204;27.812;0.000;0.000;0.000;-6.968;-12.302;2.892;-8.222;-25.591;20.092;-9.693;-41.192;40.283;-4.240;-69.907;4.729;7.976;-11.939;1.774;8.758;-29.898;12.358;9.676;-50.980;24.784;6.712;-94.997;33.295
340.000;13.600;-0.319;7.376;-1.730;-0.542;14.553;-1.961;-0.842;27.549;-0.601;-1.198;43.442;-0.244;-1.091;47.341;3.095;-0.595;53.388;4.928;-7.562;57.296;5.743;6.191;57.681;4.937;-3.599;59.659;12.927;2.968;59.843;12.542;-2.694;38.314;-1.905;-16.669;36.138;0.536;-22.128;23.217;-0.554;-28.160;8.937;-1.758;-21.327;9.294;8.603;-14.148;10.669;22.035;-14.237;9.045;23.002;-10.365;8.341;29.323;-9.162;9.025;31.387;-7.796;9.361;33.643;-7.011;9.816;35.047;-14.455;9.862;23.024;-11.757;10.428;29.911;-9.663;11.605;33.288;-8.151;12.581;35.649;-7.077;13.123;37.303;-13.984;11.197;22.479;-12.058;12.912;30.065;-9.843;13.955;33.308;-7.576;15.077;35.599;-6.285;15.721;37.214;-14.420;12.151;22.210;-12.314;15.156;29.244;-9.802;16.094;32.052;-7.618;16.727;33.775;-5.999;16.880;35.046;-13.263;13.189;23.695;-12.702;16.593;24.819;-11.078;18.117;26.328;-11.028;20.855;26.884;0.533;38.386;-1.898;14.768;35.486;0.017;20.675;22.099;-1.473;27.204;7.303;-3.119;21.591;8.646;8.016;15.484;10.587;22.218;15.281;9.008;23.473;13.734;8.313;29.969;12.397;7.950;32.611;10.585;7.866;34.439;9.420;8.024;35.675;15.357;9.919;23.465;14.855;10.566;30.027;13.028;10.629;34.055;10.668;10.870;36.416;9.062;11.115;37.743;14.876;11.266;23.363;15.060;12.836;30.366;13.563;13.178;34.803;11.391;13.443;36.929;9.674;13.859;38.217;14.970;12.135;23.073;14.805;15.317;29.769;13.848;16.220;33.385;12.411;16.319;35.513;10.810;16.553;37.044;14.498;12.991;23.433;14.675;16.590;24.848;14.547;18.565;27.467;14.778;21.290;27.766;0.000;0.000;0.000;-6.968;-12.302;2.891;-8.222;-25.592;20.090;-9.694;-41.192;40.281;-4.240;-69.909;4.725;7.976;-11.939;1.773;8.758;-29.899;12.358;9.676;-50.983;24.784;6.711;-95.000;33.285
341.000;13.640;-0.319;7.377;-1.731;-0.542;14.554;-1.965;-0.842;27.551;-0.612;-1.199;43.443;-0.266;-1.091;47.344;3.073;-0.592;53.389;4.908;-7.554;57.305;5.723;6.199;57.674;4.910;-3.585;59.668;12.904;2.983;59.844;12.516;-2.695;38.314;-1.923;-16.667;36.136;0.532;-22.132;23.218;-0.550;-28.172;8.939;-1.746;-21.355;9.365;8.622;-14.211;10.813;22.068;-14.303;9.185;23.047;-10.259;8.570;29.301;-9.003;9.349;31.271;-7.470;9.785;33.392;-6.541;10.359;34.658;-14.540;9.996;23.078;-11.780;10.570;29.930;-9.643;11.787;33.246;-8.015;12.803;35.539;-6.866;13.376;37.131;-14.071;11.330;22.520;-12.170;13.054;30.098;-9.848;14.052;33.312;-7.466;15.255;35.435;-6.070;15.887;36.964;-14.518;12.282;22.247;-12.426;15.313;29.253;-9.852;16.274;31.998;-7.680;16.887;33.695;-5.989;17.057;34.869;-13.365;13.335;23.758;-12.305;16.675;24.807;-10.369;17.943;26.243;-9.906;20.643;26.794;0.532;38.386;-1.917;14.776;35.490;-0.007;20.658;22.110;-1.446;27.159;7.321;-3.036;21.512;8.732;8.075;15.377;10.762;22.231;15.205;9.194;23.509;13.721;8.617;30.040;12.534;8.385;32.725;10.890;8.363;34.732;9.883;8.526;36.099;15.287;10.105;23.492;14.844;10.828;30.037;13.104;11.111;34.100;11.011;11.453;36.683;9.609;11.757;38.213;14.793;11.486;23.348;15.110;13.063;30.382;14.026;13.489;34.926;12.145;13.733;37.327;10.609;14.188;38.814;14.896;12.353;23.056;14.820;15.521;29.801;14.004;16.319;33.499;12.707;16.402;35.741;11.351;16.647;37.492;14.383;13.186;23.472;14.575;16.787;24.862;14.561;18.758;27.464;14.758;21.487;27.763;0.000;0.000;0.000;-6.968;-12.302;2.890;-8.222;-25.591;20.090;-9.694;-41.191;40.280;-4.239;-69.909;4.724;7.976;-11.939;1.773;8.758;-29.897;12.356;9.677;-50.978;24.780;6.711;-95.003;33.282
342.000;13.680;-0.319;7.381;-1.732;-0.545;14.561;-1.967;-0.851;27.565;-0.617;-1.222;43.458;-0.280;-1.110;47.357;3.054;-0.597;53.398;4.883;-7.548;57.336;5.695;6.206;57.663;4.880;-3.572;59.695;12.872;2.997;59.852;12.483;-2.715;38.326;-1.933;-16.690;36.146;0.549;-22.149;23.226;-0.488;-28.183;8.947;-1.634;-21.430;9.504;8.769;-14.371;11.137;22.248;-14.503;9.487;23.273;-10.284;9.019;29.374;-8.753;9.938;31.101;-6.878;10.580;32.851;-5.669;11.294;33.760;-14.767;10.290;23.312;-11.953;10.902;30.122;-9.396;12.177;33.134;-7.360;13.272;35.047;-5.900;13.825;36.367;-14.198;11.642;22.711;-12.434;13.425;30.250;-9.820;14.371;33.297;-7.172;15.558;35.040;-5.450;16.138;36.218;-14.639;12.599;22.411;-12.653;15.673;29.345;-9.960;16.765;31.933;-7.653;17.398;33.461;-5.913;17.595;34.555;-13.362;13.618;23.963;-11.562;16.650;24.880;-9.240;17.304;26.201;-7.859;19.652;26.828;0.512;38.401;-1.930;14.772;35.545;-0.047;20.593;22.151;-1.317;27.027;7.348;-2.721;21.309;8.978;8.333;15.108;11.298;22.378;15.022;9.782;23.718;13.913;9.451;30.344;13.312;9.387;33.161;12.364;9.378;35.555;11.823;9.575;37.160;15.111;10.690;23.668;14.994;11.613;30.170;13.917;12.235;34.389;12.863;12.724;37.490;12.140;13.110;39.421;14.586;12.067;23.468;15.225;13.808;30.481;15.007;14.354;35.089;13.956;14.671;37.932;13.053;15.147;39.865;14.669;12.926;23.149;14.936;16.218;29.867;14.601;17.051;33.674;13.999;17.247;36.220;13.389;17.544;38.342;14.171;13.776;23.631;14.435;17.415;24.861;14.456;19.489;27.400;14.752;22.218;27.590;0.000;0.000;0.000;-6.969;-12.302;2.889;-8.225;-25.589;20.090;-9.699;-41.186;40.282;-4.245;-69.906;4.732;7.975;-11.940;1.773;8.757;-29.896;12.363;9.675;-50.976;24.795;6.705;-94.999;33.293
343.000;13.720;-0.319;7.389;-1.735;-0.548;14.576;-1.976;-0.862;27.591;-0.642;-1.255;43.484;-0.348;-1.133;47.388;2.989;-0.585;53.415;4.842;-7.503;57.413;5.640;6.253;57.625;4.810;-3.499;59.778;12.801;3.070;59.879;12.405;-2.741;38.346;-1.986;-16.713;36.170;0.535;-22.181;23.241;-0.316;-28.225;8.950;-1.256;-21.542;9.773;9.190;-14.604;11.760;22.674;-14.817;10.056;23.772;-10.441;9.899;29.724;-8.739;11.056;31.155;-6.598;11.985;32.356;-5.242;12.866;32.780;-15.118;10.846;23.800;-12.292;11.664;30.584;-9.244;12.937;33.116;-6.761;14.114;34.349;-4.963;14.728;35.107;-14.400;12.125;23.262;-12.914;14.119;30.651;-10.094;15.150;33.486;-7.093;16.380;34.539;-5.110;16.913;35.226;-14.771;13.078;22.870;-13.151;16.420;29.632;-10.169;17.629;31.863;-7.687;18.335;33.048;-5.805;18.542;33.871;-13.622;14.113;24.355;-11.124;16.672;25.415;-8.663;16.695;26.775;-6.610;18.482;27.404;0.486;38.425;-1.984;14.756;35.630;-0.108;20.478;22.186;-1.016;26.802;7.326;-2.019;21.019;9.417;8.966;14.770;12.364;22.836;14.910;11.015;24.288;14.878;11.134;30.957;15.154;11.374;33.779;15.151;11.592;36.357;15.319;11.913;38.024;14.970;11.920;24.168;15.657;13.269;30.524;15.555;14.227;34.730;15.879;14.978;37.965;16.194;15.531;39.964;14.380;13.271;23.852;15.890;15.504;30.598;16.506;16.481;35.077;16.479;17.064;38.048;16.478;17.729;40.129;14.419;14.104;23.462;15.400;17.826;29.919;15.688;18.825;33.713;15.977;19.134;36.314;16.277;19.508;38.490;13.842;14.924;23.958;14.214;18.658;24.860;14.469;20.951;27.220;14.741;23.688;27.137;0.000;0.000;0.000;-6.970;-12.302;2.887;-8.228;-25.585;20.087;-9.705;-41.178;40.279;-4.251;-69.904;4.732;7.974;-11.941;1.771;8.755;-29.899;12.359;9.672;-50.980;24.788;6.699;-94.998;33.303
