Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
90.000;3.600;0.044;7.169;-0.160;-0.005;13.919;-0.353;-0.210;25.858;-0.748;-0.678;41.705;-1.966;-0.826;46.177;0.969;-0.509;52.866;1.805;-7.336;56.942;2.925;6.358;57.005;1.366;-2.937;59.338;9.838;3.603;59.368;9.094;-2.037;36.423;-3.209;-16.032;34.563;-2.374;-21.520;21.972;-4.432;-27.585;8.056;-6.707;-23.021;7.045;5.217;-17.876;5.849;19.199;-18.750;4.436;20.176;-16.299;2.484;27.053;-15.289;2.113;29.283;-13.325;1.453;30.925;-11.969;1.352;31.898;-18.621;5.272;20.159;-16.946;5.139;27.475;-15.058;4.992;31.165;-12.442;4.879;32.693;-10.543;4.651;33.419;-17.617;6.298;19.636;-16.303;7.720;27.606;-14.860;7.854;31.536;-12.076;7.589;33.428;-10.205;7.282;34.476;-17.593;7.316;19.309;-15.596;9.884;26.689;-14.161;10.543;30.136;-12.182;10.481;32.217;-10.640;10.045;33.518;-16.191;7.900;20.896;-14.925;11.073;22.127;-13.454;12.300;23.903;-12.477;14.797;24.687;1.183;36.533;-3.008;15.279;34.333;-0.799;21.009;20.966;-2.165;27.342;6.193;-3.674;21.572;5.563;7.763;14.972;4.499;21.803;14.815;2.794;22.924;12.572;1.311;29.160;10.908;0.449;31.561;8.795;0.240;32.780;7.197;0.120;33.366;14.811;3.705;22.993;13.423;3.694;29.540;10.856;3.294;33.146;7.843;3.171;34.698;5.905;3.288;35.493;14.107;4.940;22.985;13.272;6.054;29.978;10.914;5.995;34.025;8.180;5.853;35.435;6.074;5.914;36.018;14.115;5.831;22.749;12.815;8.592;29.386;10.805;9.348;32.617;8.866;9.296;34.352;7.008;9.234;35.581;13.569;6.720;23.107;12.975;10.240;24.382;11.906;11.829;27.090;11.010;14.387;27.565;0.000;0.000;0.000;-7.700;-12.187;-0.901;-10.191;-33.018;0.070;-13.115;-57.472;1.209;-12.960;-101.640;-6.374;7.495;-12.398;-1.590;9.434;-33.124;-0.579;11.710;-57.455;0.608;10.960;-101.943;-7.858
91.000;3.640;0.048;7.168;-0.165;0.005;13.916;-0.366;-0.184;25.854;-0.783;-0.642;41.702;-1.991;-0.791;46.171;0.948;-0.474;52.858;1.794;-7.302;56.935;2.903;6.395;56.996;1.371;-2.916;59.325;9.827;3.625;59.354;9.096;-2.002;36.421;-3.239;-15.997;34.558;-2.419;-21.482;21.972;-4.505;-27.544;8.060;-6.810;-22.996;7.040;5.116;-17.872;5.832;19.104;-18.747;4.416;20.075;-16.282;2.450;26.951;-15.285;2.099;29.189;-13.341;1.420;30.826;-11.968;1.353;31.778;-18.620;5.252;20.058;-16.948;5.115;27.380;-15.063;4.964;31.068;-12.443;4.856;32.596;-10.549;4.625;33.332;-17.626;6.276;19.541;-16.300;7.690;27.509;-14.849;7.846;31.434;-12.067;7.577;33.328;-10.213;7.268;34.405;-17.610;7.293;19.216;-15.602;9.866;26.594;-14.164;10.516;30.044;-12.207;10.452;32.139;-10.631;10.055;33.413;-16.188;7.878;20.794;-14.917;11.051;22.025;-13.497;12.292;23.803;-12.485;14.769;24.608;1.217;36.529;-3.034;15.312;34.313;-0.807;21.024;20.944;-2.201;27.337;6.168;-3.742;21.543;5.509;7.684;14.919;4.413;21.709;14.761;2.701;22.820;12.501;1.183;29.049;10.835;0.336;31.450;8.699;0.127;32.655;7.108;-0.000;33.255;14.756;3.613;22.890;13.335;3.580;29.439;10.773;3.176;33.043;7.739;3.048;34.575;5.811;3.159;35.394;14.038;4.832;22.894;13.198;5.951;29.884;10.825;5.874;33.925;8.089;5.735;35.328;5.979;5.789;35.897;14.040;5.722;22.659;12.744;8.478;29.299;10.743;9.220;32.535;8.784;9.183;34.255;6.916;9.118;35.469;13.501;6.626;23.016;12.915;10.145;24.309;11.834;11.726;27.012;10.943;14.285;27.494;0.000;0.000;0.000;-7.704;-12.184;-0.905;-10.202;-33.013;0.059;-13.135;-57.465;1.191;-12.985;-101.630;-6.410;7.491;-12.402;-1.575;9.426;-33.127;-0.569;11.698;-57.456;0.612;10.946;-101.931;-7.900
92.000;3.680;0.054;7.167;-0.172;0.019;13.913;-0.383;-0.151;25.848;-0.820;-0.597;41.697;-2.019;-0.746;46.167;0.924;-0.425;52.854;1.778;-7.252;56.934;2.883;6.446;56.988;1.363;-2.870;59.319;9.811;3.671;59.345;9.086;-1.960;36.418;-3.271;-15.957;34.562;-2.461;-21.459;21.987;-4.573;-27.541;8.088;-6.909;-23.004;7.040;5.021;-17.896;5.798;19.010;-18.776;4.379;19.978;-16.323;2.404;26.852;-15.328;2.038;29.088;-13.378;1.364;30.731;-12.004;1.283;31.680;-18.644;5.214;19.960;-16.980;5.090;27.288;-15.095;4.924;30.982;-12.486;4.789;32.510;-10.585;4.567;33.233;-17.652;6.245;19.448;-16.354;7.642;27.425;-14.883;7.796;31.351;-12.096;7.492;33.237;-10.236;7.177;34.300;-17.627;7.261;19.123;-15.624;9.821;26.513;-14.184;10.481;29.959;-12.222;10.393;32.056;-10.661;9.989;33.346;-16.210;7.854;20.721;-14.939;11.020;21.959;-13.489;12.248;23.725;-12.492;14.725;24.547;1.259;36.525;-3.064;15.351;34.294;-0.825;21.043;20.921;-2.240;27.334;6.140;-3.804;21.512;5.468;7.607;14.852;4.354;21.614;14.679;2.641;22.721;12.403;1.115;28.940;10.714;0.267;31.328;8.589;0.049;32.530;6.994;-0.086;33.121;14.674;3.552;22.794;13.233;3.506;29.333;10.653;3.109;32.917;7.643;2.971;34.454;5.690;3.068;35.214;13.974;4.744;22.807;13.106;5.866;29.788;10.714;5.793;33.812;7.977;5.660;35.204;5.871;5.714;35.784;13.969;5.634;22.570;12.668;8.398;29.208;10.645;9.144;32.429;8.702;9.110;34.152;6.821;9.052;35.346;13.432;6.561;22.915;12.857;10.083;24.221;11.770;11.661;26.915;10.895;14.222;27.413;0.000;0.000;0.000;-7.711;-12.180;-0.903;-10.208;-33.006;0.049;-13.140;-57.454;1.168;-12.980;-101.619;-6.455;7.485;-12.408;-1.556;9.416;-33.130;-0.559;11.683;-57.455;0.613;10.930;-101.921;-7.937
93.000;3.720;0.060;7.166;-0.177;0.033;13.911;-0.396;-0.121;25.844;-0.849;-0.546;41.694;-2.040;-0.690;46.162;0.906;-0.365;52.850;1.761;-7.188;56.936;2.870;6.511;56.977;1.353;-2.805;59.308;9.802;3.737;59.328;9.078;-1.916;36.417;-3.295;-15.917;34.571;-2.483;-21.440;22.011;-4.617;-27.545;8.128;-6.975;-23.015;7.053;4.953;-17.911;5.783;18.943;-18.796;4.368;19.912;-16.341;2.367;26.785;-15.340;2.001;29.014;-13.401;1.307;30.647;-12.028;1.227;31.598;-18.668;5.204;19.897;-16.996;5.057;27.219;-15.109;4.886;30.910;-12.510;4.731;32.449;-10.606;4.510;33.162;-17.683;6.206;19.389;-16.353;7.611;27.355;-14.897;7.738;31.289;-12.115;7.446;33.183;-10.255;7.146;34.252;-17.650;7.225;19.061;-15.628;9.794;26.448;-14.196;10.418;29.903;-12.244;10.348;31.994;-10.670;9.906;33.256;-16.242;7.830;20.653;-14.949;10.989;21.885;-13.505;12.212;23.668;-12.490;14.683;24.487;1.304;36.519;-3.087;15.394;34.273;-0.849;21.057;20.890;-2.285;27.315;6.099;-3.873;21.478;5.422;7.532;14.805;4.303;21.533;14.617;2.588;22.637;12.344;1.057;28.852;10.655;0.196;31.235;8.514;-0.009;32.433;6.918;-0.140;33.022;14.614;3.499;22.711;13.188;3.431;29.253;10.583;3.053;32.831;7.586;2.929;34.371;5.622;2.994;35.103;13.916;4.718;22.718;13.054;5.802;29.707;10.657;5.722;33.731;7.911;5.606;35.117;5.800;5.665;35.681;13.921;5.610;22.485;12.620;8.351;29.121;10.589;9.088;32.348;8.623;9.037;34.070;6.761;8.998;35.293;13.384;6.519;22.843;12.801;10.039;24.124;11.717;11.611;26.843;10.837;14.173;27.328;0.000;0.000;0.000;-7.717;-12.175;-0.902;-10.215;-33.002;0.047;-13.148;-57.451;1.162;-12.978;-101.608;-6.488;7.479;-12.414;-1.544;9.409;-33.132;-0.552;11.675;-57.453;0.613;10.936;-101.913;-7.973
94.000;3.760;0.064;7.165;-0.182;0.045;13.910;-0.408;-0.090;25.842;-0.875;-0.494;41.693;-2.067;-0.632;46.161;0.881;-0.299;52.847;1.743;-7.116;56.943;2.855;6.582;56.964;1.334;-2.728;59.307;9.786;3.814;59.317;9.060;-1.871;36.418;-3.321;-15.873;34.591;-2.501;-21.417;22.039;-4.638;-27.545;8.166;-7.000;-23.014;7.081;4.928;-17.911;5.796;18.916;-18.794;4.386;19.885;-16.347;2.382;26.749;-15.351;1.999;28.983;-13.404;1.310;30.619;-12.030;1.230;31.569;-18.667;5.222;19.871;-16.990;5.054;27.189;-15.096;4.891;30.879;-12.503;4.728;32.416;-10.600;4.500;33.130;-17.676;6.226;19.364;-16.335;7.635;27.329;-14.875;7.756;31.253;-12.104;7.440;33.159;-10.237;7.142;34.215;-17.641;7.242;19.036;-15.623;9.803;26.422;-14.171;10.415;29.873;-12.224;10.346;31.963;-10.667;9.890;33.241;-16.218;7.834;20.618;-14.944;10.993;21.849;-13.493;12.219;23.661;-12.475;14.699;24.447;1.348;36.515;-3.114;15.437;34.247;-0.881;21.067;20.854;-2.327;27.289;6.052;-3.925;21.457;5.381;7.480;14.786;4.267;21.480;14.599;2.551;22.584;12.322;1.036;28.803;10.626;0.179;31.187;8.506;-0.021;32.389;6.898;-0.138;32.946;14.599;3.462;22.657;13.161;3.416;29.197;10.570;3.012;32.779;7.583;2.901;34.335;5.616;2.986;35.059;13.900;4.692;22.664;13.059;5.778;29.660;10.651;5.704;33.688;7.915;5.578;35.078;5.803;5.643;35.636;13.909;5.583;22.432;12.623;8.312;29.079;10.597;9.057;32.307;8.641;9.029;34.032;6.765;8.982;35.235;13.349;6.486;22.792;12.806;10.005;24.080;11.722;11.582;26.793;10.856;14.146;27.287;0.000;0.000;0.000;-7.721;-12.174;-0.897;-10.218;-32.998;0.049;-13.150;-57.445;1.160;-12.973;-101.600;-6.519;7.475;-12.417;-1.533;9.404;-33.131;-0.546;11.668;-57.446;0.612;10.941;-101.904;-8.005
95.000;3.800;0.069;7.164;-0.186;0.058;13.908;-0.419;-0.056;25.837;-0.904;-0.436;41.689;-2.097;-0.565;46.160;0.854;-0.219;52.848;1.719;-7.027;56.956;2.835;6.670;56.954;1.305;-2.630;59.312;9.764;3.911;59.311;9.034;-1.823;36.416;-3.350;-15.828;34.611;-2.521;-21.392;22.069;-4.649;-27.542;8.206;-7.000;-23.004;7.120;4.924;-17.896;5.836;18.906;-18.778;4.423;19.878;-16.319;2.400;26.741;-15.336;2.037;28.979;-13.366;1.337;30.601;-11.998;1.244;31.558;-18.652;5.260;19.862;-16.970;5.092;27.184;-15.064;4.903;30.864;-12.449;4.765;32.387;-10.554;4.527;33.119;-17.652;6.275;19.344;-16.348;7.644;27.320;-14.840;7.786;31.241;-12.046;7.484;33.127;-10.197;7.153;34.204;-17.627;7.290;19.023;-15.586;9.834;26.416;-14.132;10.444;29.870;-12.179;10.359;31.956;-10.602;9.924;33.215;-16.204;7.879;20.618;-14.904;11.027;21.845;-13.443;12.236;23.624;-12.461;14.717;24.455;1.397;36.508;-3.145;15.482;34.217;-0.922;21.085;20.813;-2.373;27.277;5.998;-3.976;21.463;5.344;7.440;14.812;4.251;21.453;14.627;2.547;22.559;12.359;1.016;28.780;10.666;0.172;31.165;8.550;-0.031;32.377;6.946;-0.138;32.949;14.636;3.458;22.635;13.206;3.398;29.178;10.619;3.011;32.763;7.632;2.892;34.317;5.669;2.980;35.051;13.936;4.671;22.641;13.097;5.752;29.636;10.700;5.696;33.661;7.972;5.580;35.064;5.861;5.638;35.628;13.944;5.562;22.410;12.659;8.310;29.052;10.667;9.054;32.289;8.697;9.014;34.016;6.839;8.966;35.245;13.382;6.469;22.764;12.844;9.991;24.059;11.768;11.564;26.776;10.897;14.125;27.281;0.000;0.000;0.000;-7.725;-12.171;-0.895;-10.216;-32.996;0.046;-13.139;-57.444;1.150;-12.943;-101.593;-6.550;7.471;-12.420;-1.529;9.406;-33.134;-0.545;11.678;-57.449;0.609;10.965;-101.898;-8.034
96.000;3.840;0.071;7.161;-0.189;0.066;13.903;-0.428;-0.035;25.828;-0.927;-0.389;41.680;-2.128;-0.507;46.155;0.824;-0.146;52.847;1.689;-6.945;56.967;2.814;6.750;56.939;1.269;-2.536;59.313;9.739;4.004;59.300;9.001;-1.786;36.408;-3.377;-15.795;34.629;-2.531;-21.373;22.089;-4.636;-27.537;8.229;-6.963;-22.985;7.155;4.956;-17.854;5.884;18.936;-18.738;4.461;19.907;-16.281;2.453;26.766;-15.291;2.088;29.003;-13.322;1.382;30.622;-11.950;1.295;31.575;-18.604;5.297;19.889;-16.920;5.147;27.212;-15.009;4.957;30.897;-12.398;4.804;32.411;-10.498;4.574;33.130;-17.606;6.324;19.374;-16.276;7.708;27.342;-14.772;7.843;31.259;-11.988;7.536;33.149;-10.132;7.225;34.221;-17.573;7.343;19.051;-15.531;9.879;26.435;-14.076;10.498;29.881;-12.089;10.425;31.949;-10.529;9.983;33.228;-16.161;7.929;20.647;-14.842;11.068;21.866;-13.392;12.286;23.636;-12.364;14.751;24.458;1.435;36.496;-3.175;15.519;34.188;-0.964;21.103;20.775;-2.410;27.275;5.949;-4.008;21.484;5.312;7.420;14.861;4.242;21.449;14.680;2.544;22.557;12.402;1.026;28.780;10.728;0.165;31.168;8.613;-0.037;32.380;7.005;-0.135;32.942;14.687;3.455;22.634;13.272;3.381;29.174;10.685;3.001;32.761;7.695;2.896;34.317;5.727;2.984;35.036;13.985;4.666;22.635;13.146;5.743;29.631;10.762;5.687;33.660;8.035;5.580;35.068;5.922;5.644;35.622;13.996;5.557;22.404;12.711;8.275;29.059;10.735;9.047;32.291;8.767;8.990;34.023;6.908;8.950;35.252;13.460;6.470;22.776;12.876;9.979;24.065;11.777;11.551;26.772;10.898;14.110;27.272;0.000;0.000;0.000;-7.729;-12.169;-0.889;-10.213;-32.993;0.048;-13.129;-57.439;1.149;-12.924;-101.591;-6.569;7.467;-12.423;-1.528;9.409;-33.133;-0.549;11.688;-57.445;0.599;10.989;-101.895;-8.055
97.000;3.880;0.074;7.161;-0.192;0.075;13.902;-0.438;-0.010;25.826;-0.954;-0.344;41.677;-2.167;-0.449;46.156;0.785;-0.071;52.846;1.655;-6.860;56.981;2.791;6.833;56.923;1.226;-2.436;59.316;9.710;4.103;59.288;8.963;-1.750;36.406;-3.409;-15.763;34.648;-2.542;-21.359;22.111;-4.620;-27.543;8.254;-6.916;-22.965;7.191;4.998;-17.806;5.938;18.971;-18.692;4.512;19.943;-16.219;2.519;26.797;-15.201;2.150;29.029;-13.245;1.449;30.659;-11.881;1.349;31.622;-18.555;5.347;19.922;-16.854;5.208;27.240;-14.920;5.024;30.917;-12.309;4.867;32.428;-10.406;4.637;33.142;-17.551;6.386;19.403;-16.179;7.769;27.364;-14.666;7.937;31.265;-11.873;7.627;33.151;-10.013;7.315;34.214;-17.528;7.399;19.081;-15.457;9.940;26.456;-13.992;10.556;29.900;-12.017;10.481;31.971;-10.460;10.025;33.248;-16.101;7.987;20.680;-14.775;11.120;21.881;-13.313;12.327;23.612;-12.248;14.751;24.504;1.471;36.489;-3.212;15.555;34.162;-1.017;21.126;20.740;-2.449;27.284;5.905;-4.031;21.525;5.291;7.419;14.944;4.251;21.473;14.760;2.546;22.578;12.494;1.041;28.806;10.819;0.175;31.192;8.699;-0.030;32.401;7.101;-0.151;32.986;14.768;3.457;22.653;13.354;3.397;29.192;10.775;3.016;32.789;7.778;2.890;34.340;5.831;2.975;35.115;14.070;4.670;22.659;13.234;5.762;29.649;10.854;5.704;33.683;8.122;5.582;35.089;6.013;5.658;35.657;14.081;5.561;22.427;12.795;8.310;29.074;10.813;9.069;32.310;8.852;9.019;34.034;6.988;8.964;35.255;13.543;6.472;22.790;12.894;9.985;24.079;11.757;11.538;26.786;10.817;14.077;27.277;0.000;0.000;0.000;-7.732;-12.168;-0.879;-10.206;-32.989;0.050;-13.110;-57.431;1.140;-12.891;-101.585;-6.601;7.463;-12.424;-1.532;9.415;-33.133;-0.560;11.705;-57.443;0.581;11.026;-101.889;-8.084
98.000;3.920;0.075;7.158;-0.196;0.080;13.895;-0.449;0.005;25.814;-0.985;-0.310;41.664;-2.213;-0.404;46.149;0.742;-0.010;52.842;1.618;-6.789;56.990;2.766;6.902;56.906;1.179;-2.348;59.313;9.679;4.190;59.273;8.921;-1.723;36.394;-3.449;-15.734;34.661;-2.563;-21.346;22.123;-4.610;-27.548;8.266;-6.872;-22.950;7.220;5.037;-17.769;5.993;19.006;-18.658;4.576;19.982;-16.162;2.569;26.826;-15.128;2.208;29.058;-13.184;1.519;30.686;-11.800;1.427;31.620;-18.523;5.411;19.961;-16.781;5.274;27.271;-14.832;5.059;30.932;-12.215;4.912;32.433;-10.294;4.691;33.099;-17.534;6.424;19.445;-16.134;7.801;27.381;-14.488;8.067;31.227;-11.710;7.769;33.120;-9.866;7.468;34.215;-17.516;7.431;19.119;-15.396;9.991;26.477;-13.918;10.638;29.910;-11.947;10.552;31.985;-10.374;10.086;33.238;-16.067;8.042;20.698;-14.689;11.159;21.902;-13.178;12.345;23.668;-12.120;14.799;24.482;1.498;36.473;-3.255;15.580;34.128;-1.070;21.141;20.698;-2.481;27.288;5.854;-4.040;21.576;5.277;7.439;15.050;4.283;21.528;14.874;2.594;22.637;12.600;1.080;28.858;10.903;0.201;31.234;8.655;0.085;32.237;6.990;0.067;32.608;14.892;3.504;22.718;13.492;3.421;29.243;10.928;3.051;32.847;7.914;2.918;34.396;5.963;3.017;35.160;14.186;4.691;22.716;13.360;5.806;29.694;10.988;5.770;33.729;8.257;5.651;35.137;6.151;5.724;35.716;14.198;5.582;22.482;12.923;8.335;29.122;10.947;9.081;32.362;8.987;9.028;34.091;7.120;8.979;35.306;13.605;6.505;22.859;12.733;10.004;24.143;11.312;11.387;26.786;9.993;13.755;27.262;0.000;0.000;0.000;-7.733;-12.168;-0.868;-10.201;-32.991;0.055;-13.098;-57.435;1.139;-12.874;-101.582;-6.627;7.461;-12.425;-1.536;9.419;-33.133;-0.569;11.716;-57.443;0.566;11.042;-101.888;-8.109
