Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2135.000;85.400;0.051;7.181;-0.315;0.048;13.941;-0.659;-0.022;25.897;-1.327;-0.320;41.741;-2.636;-0.458;46.174;0.277;-0.188;52.763;1.172;-7.155;56.705;1.812;6.623;56.994;1.594;-3.480;58.817;9.224;3.099;58.955;9.120;-1.734;36.466;-3.850;-15.763;34.603;-2.938;-21.061;21.551;-3.542;-26.916;7.125;-4.210;-22.081;9.453;7.258;-16.575;12.159;20.781;-16.936;10.711;21.828;-13.295;9.673;28.346;-12.080;9.505;30.487;-10.511;8.954;32.488;-9.482;9.036;33.803;-17.082;11.544;21.813;-14.657;12.057;28.858;-12.551;12.700;32.389;-10.256;13.316;34.233;-8.601;13.708;35.369;-16.540;12.767;21.202;-14.701;14.720;28.956;-12.791;15.356;32.541;-10.170;15.968;34.574;-8.451;16.309;35.846;-16.876;13.750;20.898;-14.764;16.954;28.005;-12.480;17.915;30.976;-10.200;18.371;32.631;-8.456;18.449;33.733;-15.570;14.728;22.235;-15.311;18.189;23.522;-14.092;19.910;25.015;-14.590;22.603;25.570;1.486;36.543;-3.646;15.575;34.232;-1.330;21.141;20.701;-1.981;27.294;5.746;-2.701;22.278;8.756;8.496;16.435;12.101;22.358;15.995;10.717;23.613;12.971;9.927;29.639;11.122;9.247;31.910;9.203;9.000;33.401;7.794;8.822;34.347;16.150;11.617;23.642;13.995;12.208;29.917;11.493;12.255;33.571;8.896;12.404;35.678;7.243;12.623;36.950;15.647;12.773;23.395;14.094;14.604;30.269;11.979;14.991;34.419;9.773;15.302;36.443;8.022;15.625;37.711;15.781;13.635;23.101;13.992;17.086;29.563;12.061;18.129;32.782;10.293;18.449;34.642;8.583;18.758;36.037;15.193;14.729;23.299;15.200;18.363;24.568;14.324;20.522;26.945;14.558;23.264;27.001;0.000;0.000;0.000;-7.647;-12.224;-0.840;-9.618;-33.012;0.194;-11.935;-57.416;1.409;-10.376;-101.495;-6.719;7.560;-12.410;-1.122;9.339;-33.142;0.235;11.425;-57.480;1.828;10.732;-101.796;-7.431
2136.000;85.440;0.054;7.182;-0.315;0.058;13.943;-0.650;0.009;25.902;-1.293;-0.276;41.749;-2.566;-0.414;46.177;0.352;-0.140;52.768;1.249;-7.110;56.706;1.883;6.668;57.003;1.680;-3.444;58.817;9.300;3.135;58.959;9.203;-1.692;36.478;-3.793;-15.728;34.615;-2.903;-21.033;21.570;-3.548;-26.897;7.152;-4.259;-22.103;9.458;7.227;-16.646;12.139;20.772;-17.012;10.676;21.819;-13.405;9.640;28.346;-12.166;9.459;30.482;-10.601;8.937;32.504;-9.591;9.000;33.835;-17.154;11.510;21.801;-14.746;12.028;28.857;-12.667;12.676;32.389;-10.390;13.325;34.267;-8.742;13.693;35.421;-16.615;12.731;21.206;-14.800;14.666;28.959;-12.896;15.335;32.544;-10.220;15.943;34.552;-8.531;16.247;35.873;-16.939;13.721;20.900;-14.849;16.917;28.016;-12.574;17.853;30.989;-10.288;18.319;32.638;-8.536;18.409;33.727;-15.654;14.677;22.214;-15.381;18.161;23.518;-14.166;19.875;25.008;-14.674;22.561;25.585;1.528;36.553;-3.586;15.609;34.223;-1.247;21.166;20.688;-1.917;27.308;5.728;-2.656;22.274;8.724;8.534;16.412;12.050;22.388;15.961;10.648;23.637;12.938;9.869;29.663;11.089;9.176;31.933;9.176;8.935;33.423;7.754;8.760;34.348;16.108;11.550;23.663;13.967;12.158;29.948;11.442;12.172;33.591;8.848;12.325;35.695;7.183;12.530;36.954;15.614;12.742;23.414;14.053;14.534;30.300;11.924;14.903;34.446;9.715;15.228;36.462;7.939;15.547;37.695;15.754;13.605;23.126;13.965;17.015;29.597;12.030;18.059;32.818;10.252;18.371;34.674;8.544;18.664;36.076;15.200;14.678;23.400;15.210;18.301;24.645;14.367;20.449;27.009;14.536;23.195;27.058;0.000;0.000;0.000;-7.649;-12.222;-0.842;-9.624;-33.010;0.221;-11.945;-57.413;1.469;-10.384;-101.497;-6.638;7.559;-12.412;-1.110;9.335;-33.142;0.268;11.418;-57.478;1.886;10.733;-101.800;-7.352
2137.000;85.480;0.056;7.184;-0.314;0.067;13.947;-0.642;0.036;25.910;-1.261;-0.234;41.760;-2.504;-0.373;46.185;0.421;-0.102;52.779;1.321;-7.069;56.723;1.941;6.710;57.008;1.760;-3.413;58.836;9.362;3.167;58.972;9.276;-1.654;36.493;-3.742;-15.692;34.638;-2.863;-21.003;21.597;-3.539;-26.873;7.184;-4.286;-22.101;9.478;7.210;-16.671;12.145;20.770;-17.042;10.673;21.812;-13.440;9.631;28.337;-12.198;9.477;30.480;-10.649;8.963;32.500;-9.635;9.053;33.827;-17.184;11.507;21.793;-14.787;12.042;28.859;-12.695;12.718;32.370;-10.420;13.370;34.249;-8.798;13.746;35.437;-16.624;12.739;21.202;-14.822;14.681;28.958;-12.940;15.311;32.549;-10.324;15.906;34.603;-8.599;16.247;35.867;-16.939;13.717;20.896;-14.877;16.914;28.015;-12.627;17.864;30.992;-10.330;18.314;32.649;-8.591;18.365;33.761;-15.670;14.697;22.229;-15.406;18.165;23.514;-14.184;19.875;25.018;-14.704;22.563;25.576;1.566;36.564;-3.533;15.643;34.221;-1.187;21.203;20.686;-1.882;27.349;5.726;-2.650;22.309;8.704;8.543;16.431;12.009;22.404;15.969;10.617;23.651;12.969;9.828;29.675;11.106;9.134;31.942;9.204;8.891;33.427;7.781;8.718;34.352;16.119;11.519;23.681;13.990;12.099;29.957;11.480;12.142;33.609;8.866;12.283;35.706;7.220;12.476;36.992;15.649;12.680;23.442;14.105;14.485;30.315;11.956;14.855;34.456;9.753;15.182;36.475;7.964;15.499;37.690;15.785;13.543;23.151;14.005;16.975;29.617;12.070;18.028;32.833;10.289;18.341;34.685;8.581;18.634;36.086;15.236;14.637;23.408;15.244;18.265;24.632;14.421;20.409;27.034;14.600;23.154;27.080;0.000;0.000;0.000;-7.647;-12.224;-0.839;-9.619;-33.009;0.246;-11.937;-57.409;1.520;-10.369;-101.496;-6.562;7.561;-12.411;-1.101;9.338;-33.141;0.297;11.422;-57.475;1.939;10.746;-101.798;-7.277
2138.000;85.520;0.058;7.186;-0.317;0.074;13.950;-0.641;0.054;25.916;-1.249;-0.207;41.767;-2.472;-0.344;46.188;0.456;-0.067;52.781;1.358;-7.031;56.730;1.977;6.747;57.007;1.796;-3.375;58.845;9.396;3.205;58.978;9.310;-1.630;36.502;-3.718;-15.667;34.653;-2.846;-20.980;21.615;-3.537;-26.853;7.206;-4.301;-22.088;9.501;7.198;-16.666;12.171;20.757;-17.044;10.718;21.804;-13.441;9.678;28.328;-12.207;9.528;30.480;-10.679;8.995;32.503;-9.645;9.094;33.814;-17.189;11.551;21.788;-14.783;12.071;28.847;-12.681;12.776;32.355;-10.417;13.400;34.239;-8.779;13.804;35.396;-16.648;12.746;21.200;-14.827;14.707;28.943;-12.940;15.348;32.539;-10.289;15.946;34.567;-8.584;16.254;35.866;-16.958;13.740;20.887;-14.871;16.945;28.000;-12.612;17.870;30.983;-10.321;18.339;32.643;-8.590;18.419;33.765;-15.669;14.726;22.218;-15.378;18.187;23.493;-14.146;19.906;24.995;-14.664;22.592;25.565;1.590;36.572;-3.506;15.665;34.216;-1.155;21.235;20.687;-1.867;27.392;5.734;-2.654;22.359;8.699;8.544;16.495;11.986;22.407;16.041;10.600;23.653;13.039;9.787;29.683;11.190;9.104;31.958;9.281;8.849;33.442;7.870;8.668;34.383;16.193;11.501;23.684;14.054;12.080;29.963;11.555;12.088;33.616;8.957;12.227;35.734;7.307;12.440;37.012;15.714;12.667;23.439;14.155;14.443;30.325;12.028;14.823;34.471;9.803;15.147;36.474;8.029;15.454;37.713;15.854;13.531;23.151;14.072;16.948;29.628;12.144;17.994;32.841;10.349;18.296;34.705;8.652;18.594;36.119;15.278;14.618;23.402;15.294;18.232;24.695;14.472;20.386;27.058;14.649;23.132;27.087;0.000;0.000;0.000;-7.651;-12.222;-0.836;-9.626;-33.007;0.270;-11.947;-57.406;1.568;-10.380;-101.500;-6.497;7.557;-12.414;-1.092;9.332;-33.142;0.328;11.413;-57.474;1.996;10.734;-101.800;-7.207
2139.000;85.560;0.060;7.186;-0.320;0.079;13.951;-0.643;0.066;25.919;-1.244;-0.186;41.771;-2.458;-0.319;46.192;0.475;-0.035;52.785;1.386;-6.994;56.742;2.014;6.785;57.003;1.817;-3.326;58.850;9.431;3.253;58.974;9.337;-1.612;36.508;-3.706;-15.649;34.665;-2.834;-20.969;21.630;-3.521;-26.850;7.222;-4.280;-22.069;9.529;7.211;-16.627;12.209;20.763;-17.006;10.723;21.805;-13.409;9.711;28.334;-12.208;9.581;30.500;-10.651;9.033;32.509;-9.617;9.138;33.819;-17.136;11.558;21.780;-14.737;12.141;28.842;-12.663;12.827;32.367;-10.381;13.454;34.255;-8.763;13.830;35.448;-16.590;12.799;21.197;-14.771;14.756;28.937;-12.886;15.403;32.529;-10.229;15.988;34.560;-8.518;16.308;35.847;-16.896;13.781;20.888;-14.819;16.986;27.996;-12.574;17.939;30.973;-10.281;18.387;32.641;-8.546;18.455;33.759;-15.620;14.762;22.214;-15.328;18.230;23.492;-14.090;19.948;24.992;-14.607;22.640;25.534;1.609;36.576;-3.495;15.682;34.211;-1.143;21.265;20.686;-1.875;27.435;5.738;-2.684;22.421;8.696;8.521;16.583;11.974;22.394;16.123;10.575;23.641;13.147;9.784;29.685;11.304;9.088;31.962;9.401;8.833;33.452;7.977;8.668;34.377;16.270;11.477;23.669;14.165;12.056;29.963;11.694;12.089;33.634;9.085;12.242;35.744;7.447;12.438;37.040;15.801;12.656;23.432;14.268;14.451;30.321;12.156;14.816;34.480;9.940;15.135;36.490;8.154;15.451;37.710;15.941;13.520;23.144;14.173;16.935;29.634;12.269;17.977;32.849;10.494;18.279;34.717;8.778;18.580;36.106;15.372;14.604;23.401;15.383;18.232;24.671;14.573;20.371;27.046;14.754;23.116;27.103;0.000;0.000;0.000;-7.652;-12.222;-0.828;-9.623;-33.007;0.299;-11.941;-57.406;1.622;-10.378;-101.497;-6.433;7.556;-12.415;-1.083;9.331;-33.141;0.361;11.413;-57.472;2.057;10.735;-101.800;-7.130
2140.000;85.600;0.062;7.187;-0.324;0.085;13.953;-0.650;0.081;25.922;-1.250;-0.164;41.774;-2.465;-0.292;46.196;0.471;-0.000;52.789;1.390;-6.952;56.755;2.040;6.826;56.996;1.808;-3.262;58.851;9.449;3.318;58.966;9.338;-1.593;36.511;-3.713;-15.630;34.675;-2.837;-20.958;21.640;-3.503;-26.848;7.233;-4.239;-22.045;9.548;7.238;-16.579;12.236;20.774;-16.957;10.779;21.828;-13.322;9.758;28.342;-12.104;9.628;30.491;-10.522;9.099;32.491;-9.492;9.222;33.803;-17.098;11.613;21.807;-14.659;12.173;28.858;-12.542;12.882;32.351;-10.260;13.544;34.224;-8.624;13.930;35.387;-16.555;12.816;21.213;-14.693;14.812;28.945;-12.769;15.457;32.518;-10.111;16.042;34.533;-8.384;16.370;35.799;-16.869;13.811;20.898;-14.751;17.019;27.999;-12.478;17.981;30.970;-10.221;18.440;32.640;-8.475;18.532;33.739;-15.562;14.798;22.226;-15.259;18.264;23.483;-14.030;19.973;24.985;-14.514;22.668;25.543;1.627;36.577;-3.503;15.701;34.203;-1.157;21.293;20.681;-1.896;27.473;5.736;-2.712;22.482;8.697;8.503;16.670;11.981;22.387;16.212;10.597;23.637;13.255;9.806;29.690;11.418;9.107;31.976;9.527;8.840;33.466;8.104;8.668;34.391;16.364;11.498;23.667;14.280;12.105;29.963;11.813;12.102;33.636;9.210;12.248;35.750;7.561;12.459;37.030;15.893;12.666;23.423;14.387;14.469;30.318;12.263;14.838;34.471;10.046;15.149;36.474;8.263;15.451;37.702;16.033;13.529;23.134;14.281;16.946;29.630;12.382;17.982;32.847;10.612;18.297;34.717;8.899;18.591;36.112;15.463;14.612;23.397;15.490;18.231;24.694;14.644;20.387;27.033;14.856;23.130;27.088;0.000;0.000;0.000;-7.654;-12.221;-0.817;-9.625;-33.007;0.332;-11.941;-57.407;1.680;-10.377;-101.495;-6.378;7.554;-12.418;-1.075;9.328;-33.140;0.383;11.410;-57.467;2.094;10.732;-101.797;-7.095
2141.000;85.640;0.064;7.187;-0.331;0.091;13.953;-0.661;0.094;25.922;-1.266;-0.145;41.774;-2.490;-0.267;46.199;0.453;0.034;52.792;1.389;-6.911;56.767;2.057;6.867;56.989;1.795;-3.202;58.851;9.460;3.377;58.957;9.335;-1.578;36.511;-3.733;-15.611;34.684;-2.837;-20.949;21.651;-3.473;-26.849;7.246;-4.177;-22.011;9.552;7.291;-16.506;12.232;20.816;-16.870;10.748;21.872;-13.200;9.787;28.379;-11.910;9.676;30.515;-10.367;9.152;32.495;-9.307;9.290;33.781;-16.998;11.584;21.845;-14.528;12.159;28.894;-12.393;12.921;32.358;-10.063;13.535;34.182;-8.416;13.917;35.332;-16.483;12.804;21.256;-14.595;14.814;28.974;-12.648;15.472;32.532;-9.986;16.072;34.526;-8.253;16.381;35.787;-16.795;13.791;20.941;-14.678;17.027;28.026;-12.389;17.991;30.996;-10.137;18.446;32.661;-8.374;18.531;33.733;-15.467;14.794;22.266;-15.176;18.260;23.520;-13.896;19.981;24.983;-14.397;22.670;25.555;1.643;36.575;-3.527;15.718;34.197;-1.192;21.311;20.674;-1.931;27.491;5.729;-2.747;22.528;8.694;8.483;16.749;11.982;22.386;16.298;10.599;23.634;13.363;9.806;29.695;11.519;9.115;31.982;9.629;8.852;33.474;8.201;8.703;34.396;16.448;11.500;23.662;14.385;12.093;29.967;11.900;12.106;33.633;9.260;12.265;35.710;7.619;12.487;36.997;15.976;12.660;23.431;14.484;14.471;30.320;12.360;14.836;34.468;10.111;15.160;36.441;8.314;15.471;37.646;16.112;13.522;23.139;14.388;16.958;29.623;12.490;17.984;32.848;10.687;18.279;34.705;8.984;18.565;36.114;15.546;14.619;23.392;15.556;18.244;24.651;14.720;20.395;27.002;14.951;23.136;27.079;0.000;0.000;0.000;-7.658;-12.220;-0.799;-9.628;-33.003;0.369;-11.944;-57.401;1.741;-10.379;-101.490;-6.326;7.550;-12.421;-1.067;9.328;-33.141;0.413;11.413;-57.464;2.150;10.734;-101.791;-7.042
2142.000;85.680;0.064;7.187;-0.339;0.092;13.952;-0.673;0.098;25.921;-1.281;-0.134;41.773;-2.510;-0.247;46.200;0.436;0.063;52.792;1.379;-6.873;56.782;2.060;6.905;56.976;1.773;-3.146;58.857;9.456;3.433;58.950;9.319;-1.572;36.510;-3.749;-15.604;34.696;-2.816;-20.946;21.660;-3.421;-26.850;7.252;-4.090;-21.972;9.547;7.365;-16.423;12.212;20.876;-16.788;10.717;21.941;-13.010;9.759;28.411;-11.682;9.636;30.497;-10.124;9.153;32.469;-9.036;9.284;33.732;-16.919;11.552;21.915;-14.373;12.119;28.943;-12.108;12.843;32.332;-9.732;13.489;34.051;-7.993;13.838;35.069;-16.391;12.743;21.344;-14.480;14.784;29.019;-12.492;15.451;32.565;-9.751;16.044;34.466;-7.979;16.369;35.668;-16.680;13.730;21.010;-14.554;17.022;28.065;-12.277;18.007;31.010;-9.983;18.433;32.664;-8.227;18.501;33.749;-15.382;14.756;22.290;-15.080;18.253;23.539;-13.790;19.965;24.978;-14.245;22.659;25.567;1.649;36.573;-3.549;15.727;34.187;-1.242;21.321;20.663;-1.968;27.504;5.716;-2.770;22.555;8.674;8.473;16.796;11.956;22.392;16.340;10.562;23.634;13.436;9.754;29.708;11.611;9.040;31.995;9.681;8.787;33.464;8.257;8.617;34.388;16.485;11.464;23.661;14.447;12.042;29.986;11.922;12.019;33.621;9.205;12.164;35.613;7.536;12.400;36.862;16.011;12.631;23.442;14.559;14.435;30.336;12.373;14.791;34.449;10.057;15.106;36.359;8.220;15.400;37.506;16.147;13.494;23.151;14.451;16.916;29.638;12.543;17.917;32.847;10.711;18.199;34.690;8.987;18.471;36.076;15.583;14.584;23.409;15.608;18.195;24.699;14.752;20.346;27.043;14.983;23.087;27.114;0.000;0.000;0.000;-7.660;-12.220;-0.775;-9.626;-33.002;0.411;-11.938;-57.398;1.803;-10.370;-101.488;-6.274;7.547;-12.423;-1.059;9.325;-33.140;0.441;11.410;-57.460;2.201;10.719;-101.788;-6.990
2143.000;85.720;0.065;7.188;-0.348;0.094;13.955;-0.686;0.105;25.926;-1.301;-0.123;41.778;-2.533;-0.225;46.206;0.414;0.098;52.799;1.358;-6.825;56.809;2.042;6.953;56.963;1.742;-3.086;58.881;9.433;3.494;58.955;9.289;-1.566;36.516;-3.767;-15.596;34.706;-2.796;-20.936;21.673;-3.358;-26.838;7.268;-3.979;-21.902;9.570;7.450;-16.285;12.239;20.933;-16.640;10.749;21.999;-12.800;9.804;28.437;-11.448;9.676;30.518;-9.876;9.195;32.489;-8.810;9.303;33.773;-16.771;11.584;21.970;-14.182;12.175;28.995;-11.743;12.793;32.287;-9.174;13.432;33.748;-7.348;13.767;34.606;-16.196;12.854;21.354;-14.285;14.869;29.051;-12.261;15.504;32.572;-9.478;16.128;34.402;-7.664;16.409;35.551;-16.542;13.825;21.049;-14.378;17.080;28.081;-12.084;18.065;31.016;-9.778;18.515;32.625;-7.986;18.579;33.649;-15.210;14.802;22.328;-14.923;18.294;23.543;-13.619;19.994;24.979;-14.024;22.696;25.564;1.655;36.577;-3.574;15.736;34.181;-1.299;21.340;20.656;-2.011;27.535;5.707;-2.797;22.576;8.629;8.461;16.797;11.867;22.402;16.357;10.448;23.629;13.460;9.592;29.690;11.648;8.858;31.983;9.681;8.594;33.410;8.245;8.427;34.314;16.487;11.352;23.653;14.460;11.886;30.005;11.790;11.834;33.536;8.955;11.986;35.327;7.152;12.245;36.368;16.010;12.527;23.468;14.567;14.304;30.344;12.254;14.603;34.400;9.788;14.908;36.151;7.877;15.211;37.168;16.140;13.392;23.179;14.452;16.779;29.646;12.507;17.762;32.830;10.595;17.996;34.626;8.820;18.227;35.954;15.594;14.473;23.412;15.586;18.094;24.687;14.770;20.202;27.106;14.908;22.949;27.180;0.000;0.000;0.000;-7.662;-12.220;-0.748;-9.630;-32.997;0.452;-11.943;-57.387;1.860;-10.391;-101.481;-6.233;7.544;-12.425;-1.054;9.324;-33.137;0.461;11.412;-57.451;2.239;10.714;-101.782;-6.947
