Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
307.000;12.280;0.053;7.131;-0.212;0.026;13.847;-0.405;-0.115;25.728;-0.737;-0.443;41.596;-1.712;-0.482;46.043;1.399;-0.069;52.696;2.581;-6.969;56.636;3.738;6.748;56.937;2.434;-2.726;58.808;10.822;3.825;58.951;10.199;-1.882;36.346;-3.004;-15.949;34.523;-1.599;-20.879;21.359;-2.268;-26.329;6.809;-3.007;-22.196;6.518;9.145;-17.584;6.095;23.398;-17.772;4.399;24.321;-14.459;3.227;31.068;-13.472;3.387;33.286;-12.147;3.253;35.520;-11.243;3.553;36.895;-17.963;5.222;24.364;-16.061;5.338;31.632;-14.381;6.264;35.270;-12.766;7.079;37.661;-11.612;7.543;39.284;-17.533;6.589;23.834;-16.534;7.908;31.945;-15.575;8.568;35.861;-13.933;9.245;38.753;-12.958;9.581;40.657;-17.897;7.565;23.586;-16.718;10.160;31.200;-15.733;11.256;34.694;-14.522;11.944;37.185;-13.408;12.265;38.893;-16.991;8.611;25.206;-16.923;12.005;26.447;-15.741;13.569;28.116;-15.957;16.229;28.944;1.342;36.421;-2.868;15.426;34.149;-0.814;20.709;20.554;-1.725;26.547;5.527;-2.731;22.219;5.781;9.318;17.292;5.689;24.024;16.623;4.182;25.171;14.907;2.948;31.624;13.642;2.368;34.330;12.027;2.563;36.151;10.774;2.794;37.286;17.005;5.004;25.293;16.486;4.895;31.857;15.009;5.063;36.032;12.759;5.867;38.397;11.321;6.535;39.771;16.803;6.329;25.274;17.322;7.039;32.424;16.402;7.448;36.978;14.688;8.150;39.393;13.299;8.779;40.959;17.135;7.164;25.075;17.922;9.528;32.043;17.585;10.539;35.743;16.463;11.070;38.059;15.296;11.637;39.871;17.001;8.173;25.586;18.070;11.541;26.988;17.956;13.346;29.693;18.118;16.040;30.230;0.000;0.000;0.000;-7.686;-12.197;-0.886;-10.092;-33.004;0.239;-12.917;-57.430;1.561;-12.493;-101.689;-5.811;7.517;-12.413;-1.349;9.326;-33.211;-0.145;11.449;-57.627;1.268;10.723;-101.978;-7.625
308.000;12.320;0.055;7.132;-0.215;0.030;13.849;-0.411;-0.107;25.732;-0.748;-0.425;41.599;-1.733;-0.464;46.048;1.377;-0.048;52.699;2.560;-6.947;56.639;3.729;6.768;56.941;2.399;-2.690;58.813;10.804;3.859;58.957;10.169;-1.867;36.350;-3.023;-15.939;34.534;-1.625;-20.877;21.370;-2.295;-26.336;6.822;-3.036;-22.217;6.532;9.123;-17.619;6.111;23.384;-17.806;4.420;24.307;-14.500;3.240;31.054;-13.528;3.397;33.270;-12.180;3.265;35.504;-11.289;3.569;36.886;-17.997;5.243;24.351;-16.103;5.348;31.620;-14.412;6.267;35.255;-12.799;7.099;37.643;-11.633;7.570;39.256;-17.569;6.614;23.813;-16.575;7.919;31.927;-15.619;8.587;35.843;-13.957;9.269;38.730;-12.989;9.607;40.637;-17.933;7.594;23.564;-16.756;10.171;31.185;-15.765;11.265;34.681;-14.541;11.943;37.169;-13.423;12.291;38.869;-17.037;8.627;25.185;-16.954;12.020;26.439;-15.778;13.587;28.101;-15.991;16.248;28.929;1.357;36.423;-2.885;15.439;34.147;-0.824;20.722;20.550;-1.727;26.560;5.522;-2.726;22.230;5.786;9.324;17.302;5.706;24.032;16.614;4.180;25.169;14.906;2.963;31.624;13.669;2.393;34.347;12.047;2.587;36.170;10.794;2.807;37.307;16.989;5.005;25.285;16.497;4.917;31.861;15.015;5.110;36.035;12.765;5.898;38.397;11.322;6.570;39.762;16.814;6.351;25.282;17.334;7.066;32.429;16.397;7.483;36.977;14.663;8.192;39.378;13.285;8.834;40.949;17.148;7.186;25.081;17.928;9.545;32.047;17.587;10.587;35.744;16.474;11.102;38.059;15.299;11.672;39.864;17.005;8.197;25.576;18.085;11.563;26.989;17.967;13.372;29.691;18.127;16.068;30.218;0.000;0.000;0.000;-7.688;-12.195;-0.886;-10.098;-33.002;0.249;-12.927;-57.428;1.581;-12.504;-101.688;-5.782;7.515;-12.416;-1.336;9.323;-33.212;-0.125;11.446;-57.625;1.297;10.726;-101.972;-7.601
309.000;12.360;0.056;7.134;-0.219;0.034;13.852;-0.417;-0.100;25.738;-0.757;-0.411;41.604;-1.752;-0.449;46.052;1.354;-0.031;52.700;2.533;-6.924;56.646;3.713;6.789;56.935;2.364;-2.655;58.814;10.783;3.894;58.952;10.138;-1.854;36.355;-3.039;-15.929;34.543;-1.648;-20.871;21.384;-2.323;-26.334;6.840;-3.069;-22.231;6.545;9.095;-17.652;6.118;23.363;-17.845;4.433;24.282;-14.529;3.240;31.032;-13.562;3.410;33.251;-12.211;3.276;35.476;-11.314;3.565;36.858;-18.041;5.255;24.328;-16.154;5.352;31.595;-14.465;6.271;35.243;-12.803;7.071;37.607;-11.619;7.526;39.211;-17.596;6.630;23.792;-16.618;7.908;31.912;-15.651;8.575;35.827;-13.969;9.214;38.687;-12.934;9.579;40.554;-17.971;7.601;23.546;-16.806;10.163;31.172;-15.786;11.258;34.662;-14.553;11.927;37.132;-13.425;12.234;38.834;-17.069;8.632;25.170;-16.987;12.030;26.432;-15.793;13.589;28.097;-15.999;16.257;28.900;1.370;36.427;-2.899;15.451;34.147;-0.832;20.733;20.550;-1.731;26.572;5.523;-2.725;22.239;5.796;9.323;17.307;5.728;24.030;16.623;4.205;25.168;14.907;2.999;31.626;13.641;2.420;34.336;12.009;2.631;36.145;10.756;2.874;37.276;17.004;5.028;25.285;16.493;4.935;31.861;14.972;5.147;36.025;12.691;5.947;38.366;11.248;6.623;39.730;16.824;6.348;25.281;17.328;7.084;32.425;16.357;7.522;36.962;14.609;8.232;39.355;13.222;8.885;40.912;17.151;7.185;25.081;17.940;9.586;32.038;17.571;10.587;35.738;16.449;11.136;38.052;15.274;11.696;39.861;17.016;8.220;25.581;18.087;11.582;26.993;17.960;13.404;29.705;18.118;16.109;30.184;0.000;0.000;0.000;-7.690;-12.194;-0.882;-10.102;-33.001;0.264;-12.932;-57.427;1.609;-12.508;-101.689;-5.739;7.513;-12.418;-1.324;9.316;-33.214;-0.097;11.432;-57.625;1.342;10.706;-101.977;-7.544
310.000;12.400;0.058;7.136;-0.221;0.037;13.856;-0.420;-0.093;25.745;-0.758;-0.403;41.610;-1.771;-0.442;46.058;1.328;-0.022;52.700;2.502;-6.916;56.645;3.683;6.797;56.937;2.330;-2.646;58.816;10.751;3.902;58.956;10.105;-1.846;36.359;-3.053;-15.921;34.548;-1.666;-20.866;21.391;-2.344;-26.331;6.848;-3.095;-22.233;6.556;9.073;-17.659;6.137;23.347;-17.856;4.435;24.257;-14.548;3.247;31.008;-13.547;3.418;33.213;-12.141;3.319;35.410;-11.201;3.644;36.754;-18.048;5.258;24.302;-16.195;5.339;31.577;-14.488;6.158;35.245;-12.708;6.934;37.529;-11.393;7.397;39.024;-17.617;6.627;23.780;-16.658;7.921;31.898;-15.702;8.532;35.841;-13.912;9.175;38.616;-12.723;9.539;40.389;-17.984;7.599;23.532;-16.854;10.163;31.157;-15.817;11.200;34.674;-14.503;11.869;37.094;-13.292;12.116;38.748;-17.095;8.644;25.153;-16.890;12.044;26.410;-15.652;13.564;28.110;-15.735;16.254;28.861;1.378;36.431;-2.912;15.459;34.158;-0.840;20.749;20.564;-1.726;26.596;5.539;-2.706;22.252;5.817;9.340;17.304;5.756;24.046;16.620;4.241;25.184;14.848;3.022;31.633;13.569;2.451;34.325;11.916;2.694;36.112;10.643;2.963;37.215;17.000;5.063;25.304;16.478;4.959;31.878;14.886;5.182;36.017;12.556;6.008;38.285;11.056;6.714;39.569;16.817;6.389;25.293;17.306;7.114;32.436;16.284;7.542;36.968;14.473;8.255;39.316;13.028;8.938;40.807;17.152;7.224;25.093;17.922;9.612;32.054;17.547;10.601;35.750;16.363;11.122;38.034;15.124;11.699;39.794;16.963;8.264;25.571;18.049;11.627;26.993;17.878;13.453;29.699;18.016;16.158;30.185;0.000;0.000;0.000;-7.693;-12.192;-0.882;-10.108;-33.000;0.279;-12.944;-57.428;1.642;-12.522;-101.693;-5.703;7.511;-12.421;-1.314;9.309;-33.218;-0.077;11.421;-57.632;1.375;10.690;-101.981;-7.514
311.000;12.440;0.060;7.137;-0.224;0.043;13.858;-0.424;-0.081;25.750;-0.763;-0.388;41.614;-1.791;-0.427;46.060;1.303;-0.009;52.697;2.473;-6.902;56.645;3.649;6.811;56.932;2.300;-2.634;58.820;10.717;3.915;58.957;10.073;-1.831;36.362;-3.068;-15.903;34.559;-1.680;-20.863;21.404;-2.353;-26.344;6.865;-3.097;-22.230;6.577;9.066;-17.642;6.164;23.333;-17.832;4.450;24.240;-14.505;3.283;30.982;-13.516;3.473;33.195;-11.903;3.430;35.258;-10.846;3.833;36.489;-18.022;5.274;24.286;-16.170;5.335;31.559;-14.419;6.089;35.233;-12.458;6.881;37.348;-10.965;7.337;38.669;-17.592;6.674;23.763;-16.615;7.916;31.890;-15.720;8.434;35.857;-13.659;9.105;38.461;-12.216;9.485;40.030;-17.968;7.631;23.526;-16.811;10.165;31.155;-15.754;11.153;34.672;-14.281;11.809;37.017;-12.987;12.044;38.608;-17.036;8.674;25.160;-16.755;12.072;26.402;-15.419;13.546;28.082;-15.390;16.225;28.876;1.393;36.434;-2.927;15.474;34.162;-0.850;20.778;20.568;-1.721;26.639;5.542;-2.684;22.259;5.823;9.349;17.267;5.768;24.043;16.580;4.246;25.177;14.818;3.022;31.625;13.453;2.453;34.293;11.740;2.744;36.009;10.396;3.097;36.998;16.956;5.071;25.296;16.414;4.964;31.877;14.764;5.162;35.998;12.320;6.063;38.112;10.716;6.845;39.215;16.767;6.399;25.291;17.251;7.120;32.433;16.165;7.512;36.961;14.266;8.270;39.211;12.675;8.996;40.522;17.098;7.235;25.094;17.867;9.626;32.054;17.517;10.580;35.747;16.268;11.086;37.987;14.930;11.695;39.662;16.947;8.261;25.580;17.975;11.651;26.989;17.758;13.493;29.702;17.876;16.204;30.160;0.000;0.000;0.000;-7.694;-12.192;-0.879;-10.109;-33.002;0.297;-12.945;-57.432;1.678;-12.518;-101.700;-5.652;7.510;-12.422;-1.305;9.307;-33.219;-0.056;11.417;-57.633;1.410;10.687;-101.986;-7.465
312.000;12.480;0.062;7.140;-0.226;0.047;13.864;-0.426;-0.072;25.760;-0.762;-0.379;41.624;-1.799;-0.420;46.065;1.287;0.000;52.693;2.452;-6.894;56.640;3.624;6.819;56.930;2.270;-2.625;58.828;10.686;3.924;58.966;10.040;-1.822;36.371;-3.074;-15.899;34.565;-1.675;-20.881;21.418;-2.331;-26.388;6.888;-3.057;-22.244;6.669;9.121;-17.605;6.349;23.433;-17.703;4.582;24.277;-14.326;3.541;30.914;-13.130;3.990;33.037;-10.856;4.687;34.183;-9.475;5.591;34.448;-17.906;5.402;24.326;-16.104;5.401;31.602;-13.982;6.029;35.105;-11.267;7.077;36.029;-9.302;7.637;36.101;-17.556;6.799;23.911;-16.561;7.991;31.979;-15.146;8.402;35.808;-12.014;9.088;36.934;-9.890;9.501;37.025;-17.931;7.760;23.675;-16.867;10.205;31.242;-15.436;11.031;34.562;-12.904;11.520;35.774;-10.865;11.558;36.101;-17.092;8.907;25.288;-16.440;12.257;26.434;-14.709;13.472;28.074;-13.973;15.963;29.104;1.402;36.443;-2.931;15.481;34.180;-0.850;20.819;20.596;-1.682;26.718;5.582;-2.602;22.258;5.842;9.420;17.167;5.766;24.109;16.448;4.217;25.213;14.629;2.948;31.644;13.134;2.378;34.227;11.111;3.031;35.552;9.642;3.666;36.143;16.820;5.043;25.339;16.333;4.829;31.932;14.541;5.069;36.008;11.754;6.208;37.551;9.971;7.169;38.096;16.677;6.402;25.364;17.172;7.029;32.498;15.970;7.416;36.997;13.656;8.354;38.798;11.762;9.149;39.545;17.026;7.233;25.174;17.774;9.510;32.165;17.418;10.427;35.794;15.777;10.914;37.743;14.015;11.526;38.962;16.844;8.226;25.659;17.626;11.702;27.094;17.187;13.558;29.800;16.953;16.255;30.296;0.000;0.000;0.000;-7.696;-12.190;-0.878;-10.112;-33.002;0.305;-12.949;-57.433;1.693;-12.522;-101.701;-5.627;7.507;-12.424;-1.298;9.306;-33.220;-0.042;11.417;-57.632;1.432;10.696;-101.987;-7.435
313.000;12.520;0.063;7.146;-0.229;0.050;13.875;-0.429;-0.065;25.782;-0.761;-0.394;41.645;-1.800;-0.438;46.076;1.284;-0.017;52.687;2.457;-6.899;56.651;3.642;6.808;56.911;2.225;-2.594;58.862;10.676;3.952;58.987;9.999;-1.829;36.390;-3.074;-15.906;34.602;-1.643;-21.041;21.496;-2.160;-26.715;7.010;-2.732;-22.191;6.995;9.320;-17.107;6.894;23.532;-16.977;5.079;24.343;-13.030;4.319;30.694;-11.447;5.040;32.613;-9.319;6.204;31.653;-8.782;7.024;30.298;-17.186;5.898;24.388;-14.735;6.050;31.609;-11.653;6.991;34.104;-9.498;8.178;32.492;-8.921;8.534;30.563;-17.022;7.361;24.023;-15.239;8.694;31.883;-12.448;9.407;34.811;-9.738;9.950;33.173;-9.069;9.942;31.113;-17.487;8.253;23.857;-15.752;10.828;31.222;-13.458;11.617;33.932;-10.936;11.967;32.741;-9.557;11.744;31.221;-16.570;9.504;25.353;-15.737;12.805;26.338;-13.631;13.897;27.852;-12.134;15.939;29.034;1.395;36.467;-2.931;15.475;34.249;-0.813;20.951;20.699;-1.456;27.004;5.723;-2.167;22.162;5.916;9.777;16.568;5.765;24.402;15.773;4.144;25.400;13.839;2.641;31.676;11.806;2.516;33.975;9.816;4.016;34.062;8.817;5.233;33.407;16.154;4.959;25.566;15.770;4.403;32.150;13.452;4.910;35.902;10.472;6.403;35.734;8.957;7.452;34.732;16.086;6.349;25.736;16.741;6.576;32.778;14.798;7.087;36.966;11.936;8.201;37.350;10.104;9.022;36.484;16.460;7.177;25.584;17.332;8.951;32.573;16.586;9.659;36.047;14.243;10.088;36.948;12.101;10.641;36.683;16.392;8.096;26.242;16.381;11.624;27.742;15.360;13.169;30.516;14.143;15.472;31.404;0.000;0.000;0.000;-7.700;-12.188;-0.872;-10.116;-32.999;0.325;-12.952;-57.429;1.729;-12.525;-101.704;-5.578;7.504;-12.428;-1.288;9.301;-33.223;-0.019;11.412;-57.634;1.472;10.690;-101.988;-7.390
314.000;12.560;0.064;7.156;-0.237;0.049;13.894;-0.439;-0.072;25.817;-0.771;-0.414;41.681;-1.797;-0.462;46.092;1.295;-0.044;52.668;2.513;-6.904;56.660;3.736;6.790;56.872;2.185;-2.524;58.910;10.711;4.015;59.012;9.970;-1.844;36.426;-3.076;-15.902;34.660;-1.571;-21.432;21.636;-1.637;-27.544;7.240;-1.710;-21.978;7.810;9.904;-15.511;8.208;23.648;-15.108;6.440;24.468;-9.925;6.017;29.472;-7.762;6.994;30.163;-7.325;7.927;27.849;-8.536;8.093;26.708;-15.296;7.263;24.519;-11.160;7.800;30.702;-7.472;9.276;30.763;-7.808;9.724;27.771;-9.275;9.570;26.355;-15.353;8.683;24.197;-11.776;10.477;30.763;-7.859;11.586;31.379;-7.745;11.490;28.067;-9.074;11.039;26.417;-15.873;9.587;24.109;-12.448;12.563;30.317;-9.315;13.533;31.317;-8.620;13.345;28.700;-9.329;12.945;26.803;-14.740;10.886;25.124;-13.693;14.241;25.755;-11.233;15.445;26.601;-9.000;16.881;27.473;1.379;36.505;-2.931;15.452;34.321;-0.732;21.262;20.839;-0.842;27.683;5.937;-0.964;21.854;6.014;10.640;15.003;5.763;24.929;14.227;4.049;25.702;11.833;1.827;31.483;9.226;2.098;33.035;8.235;3.971;31.911;8.767;4.840;30.543;14.572;4.844;25.993;13.765;3.375;32.420;10.382;3.813;35.222;8.479;5.487;33.127;8.603;6.255;31.179;14.468;6.221;26.310;14.585;5.629;33.271;11.564;5.931;36.606;9.131;7.031;35.076;9.052;7.529;32.949;14.830;7.067;26.280;15.133;7.977;33.423;14.027;8.100;36.663;11.661;8.484;35.975;10.299;9.110;34.325;14.575;7.872;26.979;13.534;11.064;28.868;11.666;11.745;31.651;9.553;13.189;32.663;0.000;0.000;0.000;-7.701;-12.189;-0.852;-10.113;-33.002;0.374;-12.945;-57.435;1.812;-12.521;-101.714;-5.470;7.503;-12.430;-1.277;9.301;-33.226;0.021;11.412;-57.639;1.544;10.684;-102.000;-7.294
315.000;12.600;0.059;7.163;-0.248;0.035;13.908;-0.452;-0.109;25.843;-0.775;-0.460;41.705;-1.819;-0.517;46.110;1.298;-0.113;52.653;2.603;-6.947;56.673;3.873;6.728;56.833;2.166;-2.483;58.963;10.782;4.047;59.040;9.966;-1.885;36.448;-3.094;-15.914;34.721;-1.494;-21.893;21.795;-0.600;-28.502;7.508;0.389;-21.222;8.801;10.979;-12.693;10.039;23.587;-11.989;8.456;24.372;-5.811;8.224;27.259;-4.081;9.555;26.303;-5.258;10.016;23.917;-6.922;9.859;23.967;-12.179;9.273;24.482;-6.531;10.073;28.855;-3.851;11.826;26.590;-6.055;11.439;24.652;-8.035;11.293;24.161;-12.414;10.599;24.130;-7.369;12.817;28.976;-4.211;13.816;27.158;-5.955;13.137;24.425;-7.742;12.496;23.383;-13.006;11.489;24.145;-8.211;14.993;28.747;-5.111;15.689;27.686;-6.188;15.106;25.160;-7.786;14.645;23.935;-11.813;12.825;24.570;-10.812;16.249;24.726;-8.244;17.650;24.855;-5.651;18.693;24.889;1.338;36.529;-2.946;15.378;34.390;-0.607;21.594;21.022;0.194;28.464;6.247;1.079;21.267;6.008;12.025;12.686;5.359;25.576;11.835;3.475;26.012;8.406;1.062;30.996;5.532;1.787;31.375;6.173;3.344;29.684;7.433;4.050;28.776;12.025;4.288;26.385;9.919;2.516;32.534;5.643;3.351;33.452;6.166;4.602;30.477;7.710;5.486;29.366;11.903;5.736;26.933;10.479;4.853;33.480;6.266;5.265;34.847;5.874;6.275;31.997;7.649;6.299;30.723;12.220;6.597;27.009;10.828;7.191;33.874;8.546;7.116;36.162;7.368;7.489;34.102;7.539;8.290;32.029;11.699;7.421;27.477;9.860;10.283;29.206;7.054;9.972;31.291;4.358;10.396;31.648;0.000;0.000;0.000;-7.696;-12.194;-0.830;-10.113;-33.004;0.436;-12.951;-57.433;1.922;-12.547;-101.718;-5.342;7.507;-12.429;-1.249;9.302;-33.225;0.082;11.408;-57.637;1.644;10.670;-102.004;-7.164
