Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
416.000;16.640;0.027;7.225;-0.223;0.069;14.027;-0.411;0.163;26.063;-0.714;-0.054;41.945;-1.458;-0.110;46.145;1.410;0.165;52.554;2.208;-6.568;56.624;3.815;6.974;56.702;1.252;-1.676;59.049;10.378;4.791;59.087;9.155;-1.531;36.725;-2.824;-15.616;34.869;-1.457;-20.706;21.671;-1.940;-26.331;7.084;-2.475;-21.940;7.667;9.566;-16.925;8.343;23.790;-17.197;6.678;24.430;-14.048;4.131;30.726;-13.064;3.577;32.960;-12.094;2.437;35.052;-11.427;2.174;36.562;-17.288;7.504;24.588;-15.145;6.369;31.676;-13.412;6.270;35.386;-11.633;6.377;37.808;-10.371;6.350;39.417;-16.922;8.724;24.402;-15.145;8.919;32.384;-13.497;8.740;36.113;-11.455;8.815;38.785;-10.243;8.706;40.577;-17.153;9.749;24.295;-15.101;11.370;31.981;-12.995;11.632;35.205;-11.251;11.724;37.433;-9.890;11.537;38.974;-16.059;10.553;25.829;-15.581;13.649;27.884;-14.262;15.137;29.931;-15.256;17.469;31.108;1.693;36.775;-2.690;15.807;34.182;-0.524;21.083;20.525;-1.242;26.915;5.430;-2.035;22.497;6.211;9.898;17.347;6.796;24.566;16.911;5.128;25.453;14.802;2.841;31.421;13.522;1.306;33.635;12.105;0.353;35.327;10.946;-0.186;36.458;17.090;5.997;25.675;15.841;5.082;32.116;14.252;4.189;36.118;12.090;3.915;38.646;10.649;3.825;40.167;16.755;7.153;25.864;16.179;7.310;33.052;14.911;6.759;37.512;12.902;6.715;39.810;11.206;6.902;41.176;16.888;8.059;25.761;16.148;9.961;32.907;14.380;10.554;36.366;12.724;10.586;38.374;11.076;10.685;39.870;16.480;9.155;26.291;16.819;12.410;28.296;16.523;13.860;31.230;16.703;16.525;31.890;0.000;0.000;0.000;-7.593;-12.264;-0.741;-9.335;-33.161;0.141;-11.381;-57.691;1.177;-9.650;-101.906;-6.646;7.602;-12.351;-1.441;9.096;-33.266;-0.107;10.850;-57.819;1.460;9.273;-102.149;-7.350
417.000;16.680;0.027;7.228;-0.217;0.070;14.033;-0.396;0.166;26.074;-0.678;-0.050;41.956;-1.410;-0.110;46.150;1.455;0.154;52.555;2.249;-6.588;56.614;3.844;6.959;56.714;1.309;-1.712;59.042;10.419;4.757;59.090;9.209;-1.528;36.737;-2.780;-15.614;34.885;-1.418;-20.704;21.687;-1.913;-26.330;7.100;-2.459;-21.927;7.659;9.579;-16.898;8.306;23.799;-17.177;6.633;24.435;-14.028;4.116;30.738;-13.016;3.561;32.938;-11.983;2.458;35.039;-11.293;2.201;36.540;-17.267;7.459;24.594;-15.113;6.317;31.678;-13.360;6.207;35.381;-11.594;6.329;37.805;-10.328;6.250;39.410;-16.893;8.677;24.415;-15.102;8.879;32.393;-13.451;8.687;36.116;-11.398;8.752;38.784;-10.188;8.624;40.576;-17.120;9.700;24.308;-15.061;11.336;31.986;-12.966;11.592;35.213;-11.236;11.660;37.443;-9.846;11.486;38.960;-16.033;10.510;25.839;-15.546;13.603;27.902;-14.235;15.086;29.941;-15.212;17.417;31.133;1.697;36.787;-2.646;15.810;34.192;-0.474;21.095;20.538;-1.208;26.936;5.446;-2.020;22.515;6.199;9.915;17.363;6.751;24.585;16.931;5.083;25.470;14.831;2.774;31.425;13.547;1.231;33.636;12.123;0.287;35.333;10.963;-0.277;36.449;17.113;5.950;25.694;15.864;5.005;32.125;14.283;4.112;36.132;12.103;3.822;38.652;10.667;3.734;40.179;16.775;7.113;25.881;16.207;7.244;33.067;14.922;6.665;37.529;12.911;6.627;39.817;11.220;6.801;41.191;16.912;8.018;25.780;16.160;9.890;32.929;14.370;10.469;36.400;12.761;10.493;38.403;11.086;10.589;39.870;16.504;9.101;26.317;16.832;12.344;28.342;16.504;13.803;31.261;16.714;16.465;31.928;0.000;0.000;0.000;-7.593;-12.264;-0.752;-9.338;-33.160;0.127;-11.386;-57.690;1.160;-9.660;-101.911;-6.643;7.603;-12.350;-1.447;9.091;-33.269;-0.117;10.839;-57.825;1.445;9.252;-102.160;-7.344
418.000;16.720;0.028;7.229;-0.214;0.071;14.036;-0.387;0.168;26.079;-0.658;-0.044;41.961;-1.390;-0.105;46.153;1.480;0.156;52.551;2.292;-6.589;56.600;3.902;6.960;56.716;1.379;-1.719;58.996;10.494;4.751;59.052;9.288;-1.522;36.743;-2.761;-15.608;34.889;-1.400;-20.702;21.692;-1.888;-26.332;7.106;-2.427;-21.917;7.668;9.607;-16.874;8.318;23.825;-17.157;6.659;24.471;-13.972;4.125;30.744;-12.873;3.616;32.942;-11.819;2.552;35.030;-11.081;2.312;36.511;-17.253;7.484;24.634;-15.062;6.337;31.699;-13.309;6.216;35.395;-11.511;6.340;37.813;-10.259;6.233;39.427;-16.867;8.698;24.437;-15.055;8.870;32.408;-13.376;8.697;36.115;-11.320;8.753;38.780;-10.094;8.639;40.562;-17.102;9.723;24.332;-15.002;11.345;32.005;-12.932;11.583;35.234;-11.164;11.666;37.458;-9.793;11.486;38.992;-16.012;10.521;25.859;-15.496;13.614;27.910;-14.180;15.094;29.959;-15.130;17.437;31.148;1.702;36.792;-2.626;15.813;34.197;-0.456;21.104;20.544;-1.191;26.952;5.455;-2.004;22.525;6.197;9.929;17.367;6.734;24.596;16.932;5.061;25.478;14.825;2.751;31.433;13.530;1.209;33.643;12.105;0.266;35.331;10.936;-0.286;36.444;17.112;5.929;25.702;15.866;4.984;32.133;14.265;4.077;36.134;12.088;3.781;38.656;10.645;3.692;40.176;16.769;7.109;25.894;16.207;7.220;33.076;14.909;6.628;37.538;12.890;6.600;39.823;11.193;6.774;41.190;16.910;8.014;25.795;16.156;9.861;32.943;14.352;10.445;36.406;12.726;10.485;38.409;11.062;10.567;39.888;16.494;9.085;26.331;16.824;12.325;28.358;16.512;13.774;31.276;16.695;16.435;31.953;0.000;0.000;0.000;-7.593;-12.263;-0.756;-9.340;-33.161;0.123;-11.390;-57.692;1.155;-9.669;-101.914;-6.638;7.602;-12.350;-1.450;9.090;-33.269;-0.121;10.837;-57.827;1.440;9.244;-102.160;-7.349
419.000;16.760;0.028;7.230;-0.213;0.072;14.037;-0.384;0.171;26.081;-0.647;-0.042;41.964;-1.376;-0.102;46.154;1.505;0.162;52.546;2.346;-6.580;56.591;3.980;6.968;56.712;1.452;-1.707;58.949;10.582;4.763;59.007;9.375;-1.520;36.746;-2.748;-15.606;34.894;-1.388;-20.702;21.695;-1.873;-26.334;7.107;-2.409;-21.919;7.681;9.623;-16.876;8.345;23.837;-17.160;6.696;24.491;-13.961;4.169;30.761;-12.786;3.669;32.950;-11.660;2.664;34.988;-10.842;2.472;36.434;-17.260;7.520;24.654;-15.068;6.365;31.713;-13.280;6.252;35.403;-11.482;6.385;37.816;-10.217;6.299;39.420;-16.873;8.731;24.449;-15.042;8.934;32.423;-13.346;8.731;36.122;-11.278;8.783;38.763;-10.033;8.692;40.533;-17.113;9.758;24.342;-15.007;11.382;32.016;-12.926;11.624;35.245;-11.185;11.715;37.476;-9.818;11.531;39.012;-16.005;10.557;25.874;-15.478;13.650;27.918;-14.142;15.141;29.941;-15.111;17.464;31.155;1.705;36.795;-2.613;15.817;34.200;-0.444;21.108;20.547;-1.176;26.956;5.456;-1.985;22.521;6.204;9.944;17.351;6.749;24.608;16.920;5.087;25.497;14.808;2.788;31.463;13.508;1.238;33.659;12.065;0.305;35.334;10.882;-0.223;36.443;17.104;5.954;25.722;15.847;5.003;32.148;14.251;4.101;36.149;12.071;3.821;38.669;10.624;3.740;40.185;16.754;7.131;25.902;16.188;7.244;33.089;14.898;6.655;37.546;12.871;6.620;39.838;11.172;6.807;41.200;16.895;8.036;25.805;16.140;9.888;32.951;14.328;10.469;36.416;12.730;10.510;38.418;11.054;10.591;39.885;16.503;9.092;26.347;16.814;12.345;28.356;16.496;13.794;31.295;16.676;16.462;31.945;0.000;0.000;0.000;-7.594;-12.263;-0.757;-9.342;-33.162;0.125;-11.393;-57.695;1.160;-9.673;-101.916;-6.636;7.601;-12.350;-1.451;9.089;-33.269;-0.119;10.835;-57.825;1.446;9.239;-102.162;-7.339
420.000;16.800;0.028;7.232;-0.212;0.073;14.040;-0.379;0.174;26.088;-0.632;-0.040;41.970;-1.356;-0.099;46.158;1.533;0.169;52.543;2.395;-6.568;56.584;4.055;6.977;56.708;1.513;-1.686;58.910;10.663;4.782;58.969;9.449;-1.517;36.753;-2.730;-15.602;34.901;-1.373;-20.698;21.702;-1.859;-26.331;7.114;-2.397;-21.920;7.694;9.639;-16.882;8.367;23.861;-17.165;6.712;24.511;-13.918;4.178;30.778;-12.780;3.718;32.931;-11.371;2.799;34.890;-10.418;2.679;36.258;-17.267;7.536;24.674;-15.076;6.377;31.736;-13.259;6.271;35.422;-11.411;6.375;37.783;-10.097;6.300;39.348;-16.891;8.755;24.465;-15.074;8.957;32.443;-13.371;8.758;36.146;-11.236;8.830;38.747;-9.953;8.734;40.489;-17.127;9.779;24.359;-15.029;11.409;32.035;-12.972;11.627;35.282;-11.231;11.720;37.512;-9.870;11.533;39.053;-16.014;10.583;25.900;-15.468;13.672;27.941;-14.114;15.152;29.963;-15.066;17.487;31.168;1.707;36.802;-2.594;15.822;34.206;-0.423;21.107;20.551;-1.152;26.949;5.457;-1.958;22.506;6.210;9.971;17.327;6.761;24.636;16.903;5.103;25.534;14.788;2.828;31.502;13.400;1.343;33.744;11.628;0.744;35.252;10.196;0.497;36.146;17.094;5.968;25.762;15.824;5.007;32.168;14.231;4.121;36.176;11.907;3.892;38.577;10.331;3.893;39.960;16.732;7.117;25.928;16.160;7.261;33.109;14.860;6.669;37.558;12.821;6.626;39.841;11.122;6.802;41.205;16.865;8.023;25.829;16.110;9.903;32.975;14.308;10.489;36.437;12.685;10.519;38.440;11.047;10.612;39.949;16.446;9.113;26.360;16.775;12.353;28.389;16.444;13.808;31.307;16.611;16.473;31.973;0.000;0.000;0.000;-7.594;-12.262;-0.756;-9.343;-33.162;0.129;-11.396;-57.696;1.167;-9.677;-101.917;-6.625;7.601;-12.351;-1.450;9.087;-33.270;-0.116;10.831;-57.827;1.449;9.231;-102.164;-7.337
421.000;16.840;0.029;7.233;-0.209;0.075;14.042;-0.373;0.182;26.091;-0.623;-0.033;41.974;-1.346;-0.090;46.160;1.549;0.184;52.538;2.433;-6.552;56.576;4.107;6.992;56.705;1.556;-1.664;58.886;10.716;4.803;58.947;9.498;-1.510;36.756;-2.720;-15.597;34.902;-1.358;-20.695;21.705;-1.847;-26.330;7.119;-2.389;-21.921;7.703;9.649;-16.886;8.384;23.873;-17.163;6.721;24.521;-13.906;4.176;30.767;-12.720;3.701;32.921;-11.005;2.979;34.685;-9.807;2.979;35.852;-17.268;7.545;24.685;-15.082;6.384;31.741;-13.254;6.165;35.422;-11.169;6.322;37.575;-9.608;6.287;38.896;-16.922;8.735;24.495;-15.064;8.975;32.458;-13.341;8.728;36.158;-11.105;8.790;38.617;-9.595;8.714;40.167;-17.149;9.791;24.377;-15.041;11.413;32.054;-12.974;11.633;35.302;-11.238;11.724;37.541;-9.933;11.495;39.124;-16.013;10.595;25.920;-15.365;13.680;27.957;-13.875;15.084;29.966;-14.707;17.441;31.216;1.714;36.806;-2.585;15.826;34.210;-0.420;21.114;20.556;-1.143;26.958;5.465;-1.942;22.509;6.216;9.991;17.324;6.761;24.662;16.885;5.099;25.555;14.763;2.864;31.542;13.272;1.530;33.857;11.036;1.613;34.849;9.387;2.031;34.983;17.078;5.963;25.782;15.843;4.998;32.193;14.205;4.138;36.193;11.541;4.127;38.236;9.727;4.355;39.263;16.730;7.109;25.955;16.167;7.273;33.139;14.818;6.676;37.558;12.745;6.627;39.809;11.023;6.818;41.141;16.866;8.014;25.855;16.115;9.900;33.001;14.327;10.475;36.454;12.683;10.525;38.450;11.049;10.622;39.962;16.482;9.105;26.411;16.739;12.367;28.413;16.392;13.816;31.355;16.529;16.489;31.995;0.000;0.000;0.000;-7.593;-12.263;-0.759;-9.339;-33.163;0.121;-11.389;-57.697;1.154;-9.670;-101.918;-6.639;7.602;-12.349;-1.461;9.092;-33.269;-0.129;10.841;-57.827;1.435;9.246;-102.165;-7.344
422.000;16.880;0.029;7.232;-0.206;0.078;14.042;-0.368;0.191;26.090;-0.615;-0.022;41.972;-1.340;-0.074;46.158;1.561;0.215;52.533;2.459;-6.520;56.574;4.129;7.026;56.696;1.585;-1.636;58.883;10.740;4.833;58.942;9.526;-1.500;36.755;-2.714;-15.587;34.910;-1.342;-20.687;21.715;-1.829;-26.323;7.132;-2.368;-21.954;7.756;9.692;-16.966;8.495;23.951;-17.136;6.756;24.546;-13.662;4.361;30.775;-12.522;3.921;32.917;-10.062;4.207;33.684;-8.617;5.048;33.648;-17.272;7.574;24.716;-15.050;6.401;31.785;-12.947;6.075;35.298;-10.146;6.660;36.334;-8.149;7.102;36.342;-17.006;8.905;24.542;-15.157;8.978;32.555;-13.310;8.682;36.172;-10.354;8.892;37.678;-8.256;9.112;38.168;-17.343;9.920;24.473;-15.348;11.403;32.159;-13.296;11.740;35.412;-11.494;11.901;37.614;-10.115;11.747;39.143;-16.213;10.755;26.151;-15.058;13.766;28.033;-13.085;14.778;29.866;-13.144;17.119;31.391;1.725;36.804;-2.579;15.839;34.207;-0.399;21.117;20.558;-1.095;26.950;5.472;-1.865;22.479;6.220;10.074;17.268;6.760;24.755;16.765;5.059;25.626;14.648;2.952;31.714;12.885;1.933;34.020;10.622;2.788;34.041;9.544;3.755;33.139;16.957;5.925;25.845;15.829;4.981;32.306;14.163;4.200;36.322;11.015;4.658;37.443;8.995;5.221;37.484;16.687;7.133;26.050;16.165;7.242;33.223;14.829;6.629;37.659;12.379;6.748;39.568;10.384;7.107;40.385;16.851;8.034;25.952;16.140;9.897;33.065;14.273;10.588;36.459;12.610;10.733;38.420;10.956;10.902;39.905;16.469;9.084;26.525;16.527;12.374;28.562;15.959;13.777;31.462;15.932;16.440;32.157;0.000;0.000;0.000;-7.592;-12.263;-0.763;-9.338;-33.164;0.112;-11.388;-57.699;1.139;-9.672;-101.922;-6.647;7.603;-12.348;-1.467;9.094;-33.269;-0.138;10.845;-57.829;1.422;9.252;-102.167;-7.355
423.000;16.920;0.030;7.233;-0.204;0.085;14.042;-0.365;0.217;26.090;-0.609;0.003;41.973;-1.333;-0.036;46.153;1.576;0.301;52.513;2.505;-6.444;56.561;4.118;7.119;56.672;1.667;-1.604;58.884;10.757;4.873;58.937;9.587;-1.474;36.755;-2.708;-15.570;34.943;-1.322;-20.687;21.752;-1.705;-26.342;7.173;-2.129;-22.005;7.935;9.954;-17.061;8.830;24.272;-16.809;7.003;24.773;-12.557;5.207;30.717;-11.011;5.212;32.589;-9.329;6.767;31.649;-9.471;7.800;30.342;-17.064;7.784;24.973;-14.258;6.741;31.921;-11.065;7.166;34.409;-8.906;8.898;33.158;-8.313;9.882;31.466;-17.137;9.216;24.863;-14.956;9.240;32.767;-12.269;9.267;35.909;-9.224;10.407;35.402;-7.834;11.143;33.913;-17.686;10.143;24.867;-15.752;11.616;32.494;-13.957;12.357;35.847;-12.098;12.888;37.890;-10.452;13.111;39.115;-16.542;11.116;26.573;-15.242;14.108;28.270;-12.763;14.825;29.801;-11.982;16.843;31.569;1.751;36.805;-2.570;15.868;34.221;-0.349;21.131;20.569;-0.944;26.948;5.479;-1.602;22.422;6.278;10.366;17.114;6.879;25.094;16.384;5.222;25.968;13.845;3.198;31.927;11.607;2.948;33.786;10.364;4.510;32.583;10.799;5.267;31.117;16.673;6.053;26.218;15.619;4.867;32.660;13.067;4.557;36.265;10.132;5.859;35.362;9.113;6.797;33.787;16.574;7.313;26.380;16.154;7.194;33.521;14.278;6.797;37.748;11.293;7.485;38.404;9.448;8.321;37.581;16.852;8.188;26.310;16.367;9.854;33.344;14.405;10.802;36.605;12.600;11.075;38.459;10.844;11.445;39.780;16.586;9.193;27.002;16.099;12.506;29.007;14.701;13.497;31.867;13.808;15.978;32.657;0.000;0.000;0.000;-7.590;-12.265;-0.759;-9.332;-33.167;0.117;-11.377;-57.705;1.145;-9.660;-101.929;-6.630;7.604;-12.346;-1.474;9.100;-33.269;-0.140;10.856;-57.830;1.426;9.263;-102.175;-7.332
424.000;16.960;0.030;7.231;-0.204;0.093;14.039;-0.358;0.251;26.086;-0.581;0.059;41.969;-1.308;0.041;46.149;1.620;0.442;52.499;2.597;-6.325;56.572;4.047;7.285;56.638;1.875;-1.617;58.924;10.771;4.882;58.956;9.733;-1.423;36.753;-2.683;-15.521;34.993;-1.263;-20.759;21.799;-1.261;-26.549;7.217;-1.258;-22.089;8.452;10.758;-17.000;9.809;25.064;-16.077;8.095;25.509;-10.682;7.850;30.447;-8.814;9.098;31.422;-9.429;10.299;29.345;-10.958;10.182;28.678;-16.476;8.802;25.747;-12.479;8.871;32.082;-9.133;11.088;32.236;-9.858;12.481;29.568;-11.369;12.208;28.217;-17.040;10.075;25.682;-13.795;11.088;32.892;-10.325;12.547;34.406;-9.065;14.152;31.849;-9.687;14.399;29.789;-17.767;10.826;25.758;-15.560;12.941;33.022;-14.268;14.157;36.384;-12.363;15.410;38.081;-10.639;16.194;38.905;-16.810;12.162;27.182;-15.792;15.395;28.679;-13.144;16.541;29.702;-12.145;18.624;31.274;1.801;36.798;-2.543;15.922;34.216;-0.246;21.213;20.538;-0.537;27.061;5.419;-0.858;22.293;6.326;11.094;16.588;7.002;25.822;15.220;5.540;26.546;11.834;4.090;31.871;9.337;5.509;32.477;10.072;6.977;30.830;11.507;6.461;30.065;15.663;6.262;26.889;13.914;4.922;33.118;10.440;6.039;35.474;9.479;7.996;33.057;10.412;8.528;31.256;16.129;7.506;27.086;15.133;7.040;34.102;12.290;7.422;37.632;9.878;9.110;36.621;9.666;10.085;34.677;16.650;8.264;27.109;16.163;9.470;34.099;14.516;10.786;37.348;12.546;11.533;38.914;10.721;12.376;39.874;16.502;9.227;27.823;15.923;12.515;29.861;13.815;13.263;32.402;12.342;15.422;33.263;0.000;0.000;0.000;-7.584;-12.269;-0.754;-9.328;-33.175;0.135;-11.374;-57.718;1.178;-9.658;-101.939;-6.592;7.610;-12.342;-1.471;9.104;-33.268;-0.131;10.858;-57.833;1.443;9.259;-102.185;-7.302
