Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1077.000;43.080;0.021;7.266;-0.180;-0.035;14.108;-0.272;-0.227;26.214;-0.336;-0.542;42.099;-0.987;-0.593;46.341;2.049;-0.266;52.790;3.159;-7.090;56.891;4.206;6.618;56.905;2.772;-2.746;59.293;11.153;3.800;59.299;10.468;-1.989;36.878;-2.381;-15.904;35.246;-1.309;-21.557;22.637;-2.841;-27.805;8.701;-4.535;-22.455;5.977;7.060;-16.366;2.767;20.728;-16.836;1.049;21.295;-13.302;-2.071;27.092;-11.679;-2.346;29.004;-9.992;-2.974;30.851;-8.817;-3.063;32.036;-16.884;1.860;21.532;-14.392;0.021;28.314;-11.735;-0.156;31.490;-9.456;-0.149;33.424;-7.812;-0.234;34.637;-16.228;3.107;21.314;-14.169;2.513;29.068;-11.699;2.182;32.314;-8.973;1.976;34.215;-7.128;1.831;35.339;-16.411;4.159;21.297;-13.977;4.899;28.850;-11.681;4.640;31.894;-9.432;4.322;33.565;-7.664;3.847;34.519;-15.050;4.565;22.909;-13.533;7.260;24.867;-11.518;7.732;26.663;-10.353;9.797;28.142;1.235;36.947;-2.252;15.324;34.663;-0.459;20.655;21.255;-2.270;26.547;6.435;-4.272;21.377;5.258;7.511;15.415;3.539;21.946;15.177;1.692;22.762;13.175;-0.581;28.819;12.072;-1.719;31.333;10.536;-2.305;33.171;9.374;-2.688;34.359;15.292;2.571;22.984;14.226;1.630;29.462;12.571;0.699;33.422;10.141;0.434;35.738;8.556;0.408;37.112;14.760;3.837;23.267;14.494;3.796;30.323;12.947;3.426;34.725;10.684;3.312;36.786;8.865;3.388;37.995;14.841;4.749;23.168;14.103;6.457;30.148;12.274;7.093;33.466;10.434;7.143;35.317;8.678;7.205;36.688;14.351;5.431;23.965;12.311;8.233;25.791;10.718;9.570;28.188;9.128;11.814;28.088;0.000;0.000;0.000;-7.634;-12.232;-0.846;-9.818;-33.013;0.095;-12.382;-57.409;1.199;-11.259;-101.617;-6.743;7.566;-12.377;-1.407;9.428;-33.100;-0.178;11.614;-57.427;1.266;10.762;-101.933;-7.529
1078.000;43.120;0.021;7.263;-0.185;-0.033;14.101;-0.286;-0.221;26.202;-0.372;-0.541;42.086;-1.040;-0.594;46.336;2.002;-0.269;52.789;3.128;-7.091;56.892;4.181;6.616;56.902;2.741;-2.743;59.285;11.129;3.803;59.290;10.441;-1.987;36.863;-2.429;-15.901;35.233;-1.356;-21.547;22.619;-2.871;-27.787;8.678;-4.546;-22.461;6.012;7.073;-16.398;2.871;20.768;-16.876;1.131;21.332;-13.342;-1.939;27.152;-11.714;-2.172;29.064;-10.029;-2.750;30.937;-8.859;-2.829;32.129;-16.915;1.944;21.560;-14.429;0.154;28.371;-11.756;0.002;31.530;-9.451;-0.002;33.444;-7.824;-0.118;34.678;-16.251;3.223;21.356;-14.216;2.662;29.117;-11.762;2.253;32.371;-8.988;2.141;34.232;-7.139;1.973;35.346;-16.436;4.280;21.336;-14.034;5.034;28.883;-11.727;4.782;31.923;-9.471;4.458;33.606;-7.692;4.013;34.554;-15.095;4.677;22.940;-13.540;7.370;24.877;-11.532;7.845;26.674;-10.363;9.914;28.144;1.237;36.934;-2.300;15.326;34.653;-0.505;20.658;21.244;-2.301;26.551;6.424;-4.286;21.410;5.345;7.512;15.482;3.747;21.970;15.250;1.880;22.787;13.298;-0.327;28.883;12.185;-1.448;31.420;10.696;-2.019;33.271;9.537;-2.403;34.462;15.352;2.765;22.992;14.352;1.903;29.506;12.695;1.004;33.487;10.278;0.756;35.808;8.679;0.746;37.166;14.838;4.042;23.300;14.602;4.082;30.349;13.064;3.750;34.767;10.803;3.671;36.825;8.969;3.747;38.012;14.910;4.953;23.190;14.190;6.735;30.140;12.304;7.401;33.432;10.447;7.467;35.255;8.669;7.511;36.598;14.415;5.646;23.968;12.375;8.443;25.813;10.744;9.800;28.168;9.151;12.040;28.048;0.000;0.000;0.000;-7.634;-12.232;-0.840;-9.816;-33.012;0.103;-12.377;-57.406;1.209;-11.251;-101.614;-6.725;7.566;-12.377;-1.402;9.429;-33.101;-0.167;11.615;-57.428;1.282;10.766;-101.936;-7.500
1079.000;43.160;0.020;7.261;-0.191;-0.033;14.097;-0.302;-0.220;26.194;-0.409;-0.538;42.077;-1.091;-0.592;46.332;1.955;-0.270;52.784;3.093;-7.092;56.886;4.151;6.615;56.897;2.708;-2.742;59.273;11.099;3.804;59.279;10.410;-1.984;36.854;-2.475;-15.896;35.222;-1.407;-21.541;22.605;-2.905;-27.780;8.660;-4.561;-22.483;6.057;7.082;-16.454;2.987;20.803;-16.947;1.262;21.388;-13.411;-1.808;27.213;-11.770;-1.955;29.136;-10.073;-2.548;30.999;-8.933;-2.579;32.222;-17.003;2.075;21.617;-14.497;0.296;28.422;-11.816;0.177;31.579;-9.512;0.191;33.495;-7.886;0.089;34.731;-16.330;3.318;21.392;-14.297;2.809;29.164;-11.849;2.400;32.418;-9.085;2.248;34.271;-7.227;2.089;35.372;-16.505;4.377;21.361;-14.111;5.199;28.914;-11.804;4.968;31.952;-9.553;4.673;33.639;-7.789;4.218;34.611;-15.122;4.779;22.944;-13.634;7.518;24.906;-11.629;8.008;26.709;-10.478;10.099;28.163;1.240;36.924;-2.346;15.326;34.643;-0.551;20.659;21.234;-2.334;26.552;6.413;-4.306;21.439;5.439;7.504;15.542;3.976;21.979;15.308;2.100;22.807;13.418;-0.057;28.947;12.364;-1.174;31.503;10.892;-1.763;33.363;9.749;-2.139;34.573;15.406;2.988;22.998;14.468;2.177;29.535;12.862;1.316;33.542;10.460;1.094;35.886;8.881;1.082;37.266;14.894;4.292;23.311;14.700;4.379;30.357;13.204;4.086;34.783;10.969;4.020;36.872;9.120;4.090;38.035;14.965;5.203;23.193;14.305;7.027;30.106;12.342;7.737;33.370;10.460;7.802;35.184;8.684;7.866;36.529;14.475;5.874;23.916;12.420;8.692;25.765;10.797;10.046;28.090;9.170;12.264;28.018;0.000;0.000;0.000;-7.634;-12.233;-0.832;-9.812;-33.013;0.117;-12.368;-57.407;1.230;-11.232;-101.615;-6.692;7.566;-12.379;-1.393;9.435;-33.100;-0.151;11.630;-57.426;1.306;10.792;-101.928;-7.469
1080.000;43.200;0.020;7.259;-0.197;-0.033;14.093;-0.316;-0.218;26.188;-0.445;-0.528;42.070;-1.143;-0.580;46.331;1.908;-0.256;52.786;3.057;-7.073;56.893;4.123;6.633;56.894;2.673;-2.718;59.270;11.071;3.827;59.271;10.379;-1.977;36.846;-2.522;-15.888;35.213;-1.457;-21.542;22.601;-2.941;-27.790;8.661;-4.581;-22.529;6.121;7.088;-16.549;3.121;20.838;-17.011;1.399;21.432;-13.511;-1.591;27.298;-11.894;-1.746;29.216;-10.181;-2.330;31.081;-9.041;-2.337;32.304;-17.057;2.214;21.653;-14.591;0.479;28.478;-11.937;0.404;31.650;-9.657;0.421;33.584;-8.029;0.336;34.818;-16.441;3.449;21.427;-14.424;3.007;29.213;-11.986;2.622;32.484;-9.224;2.468;34.340;-7.358;2.336;35.431;-16.627;4.506;21.392;-14.223;5.403;28.940;-11.907;5.191;31.986;-9.663;4.919;33.680;-7.902;4.502;34.675;-15.260;4.946;22.978;-13.743;7.691;24.920;-11.734;8.192;26.717;-10.597;10.285;28.178;1.247;36.914;-2.393;15.330;34.627;-0.597;20.652;21.214;-2.369;26.534;6.389;-4.327;21.446;5.537;7.498;15.581;4.223;21.993;15.350;2.348;22.833;13.518;0.255;29.004;12.480;-0.821;31.593;11.029;-1.406;33.472;9.905;-1.761;34.705;15.453;3.239;23.011;14.533;2.508;29.567;12.960;1.700;33.595;10.567;1.499;35.948;9.000;1.507;37.343;14.947;4.516;23.334;14.796;4.698;30.363;13.305;4.458;34.797;11.035;4.407;36.870;9.211;4.514;38.070;15.009;5.426;23.200;14.395;7.358;30.083;12.354;8.111;33.310;10.445;8.156;35.102;8.659;8.228;36.433;14.542;6.149;23.915;12.472;8.991;25.735;10.862;10.363;28.062;9.236;12.581;27.963;0.000;0.000;0.000;-7.635;-12.233;-0.826;-9.810;-33.011;0.133;-12.364;-57.403;1.258;-11.221;-101.615;-6.653;7.566;-12.380;-1.387;9.436;-33.100;-0.135;11.632;-57.423;1.334;10.802;-101.934;-7.434
1081.000;43.240;0.021;7.256;-0.205;-0.031;14.088;-0.336;-0.215;26.177;-0.488;-0.522;42.059;-1.203;-0.574;46.325;1.850;-0.249;52.782;3.007;-7.065;56.889;4.081;6.640;56.890;2.624;-2.706;59.256;11.031;3.839;59.257;10.335;-1.972;36.834;-2.577;-15.886;35.211;-1.512;-21.545;22.598;-2.986;-27.800;8.658;-4.614;-22.581;6.193;7.083;-16.647;3.281;20.866;-17.113;1.558;21.463;-13.619;-1.408;27.355;-12.020;-1.534;29.285;-10.288;-2.092;31.161;-9.153;-2.099;32.390;-17.164;2.374;21.679;-14.721;0.671;28.537;-12.069;0.635;31.706;-9.773;0.670;33.629;-8.161;0.592;34.886;-16.542;3.620;21.452;-14.550;3.219;29.247;-12.097;2.852;32.505;-9.346;2.710;34.381;-7.481;2.590;35.476;-16.728;4.679;21.413;-14.351;5.605;28.963;-12.050;5.405;32.010;-9.809;5.152;33.716;-8.043;4.722;34.695;-15.368;5.118;23.008;-13.854;7.873;24.929;-11.851;8.381;26.726;-10.731;10.481;28.191;1.252;36.902;-2.448;15.334;34.615;-0.655;20.658;21.204;-2.405;26.543;6.382;-4.338;21.472;5.659;7.495;15.624;4.502;22.006;15.412;2.651;22.869;13.603;0.612;29.067;12.604;-0.460;31.664;11.184;-1.026;33.560;10.055;-1.382;34.788;15.505;3.543;23.043;14.633;2.875;29.602;13.064;2.093;33.637;10.679;1.900;36.010;9.104;1.912;37.395;14.980;4.831;23.347;14.871;5.072;30.367;13.376;4.848;34.806;11.118;4.809;36.878;9.291;4.928;38.072;15.042;5.738;23.204;14.451;7.716;30.052;12.335;8.456;33.234;10.410;8.492;34.985;8.548;8.551;36.208;14.583;6.448;23.896;12.554;9.317;25.722;10.926;10.692;28.052;9.298;12.907;27.945;0.000;0.000;0.000;-7.635;-12.233;-0.813;-9.800;-33.009;0.146;-12.341;-57.397;1.272;-11.179;-101.621;-6.619;7.565;-12.381;-1.374;9.445;-33.099;-0.115;11.653;-57.420;1.364;10.844;-101.932;-7.397
1082.000;43.280;0.021;7.253;-0.214;-0.030;14.082;-0.355;-0.212;26.167;-0.531;-0.516;42.048;-1.268;-0.566;46.322;1.790;-0.237;52.781;2.962;-7.053;56.885;4.047;6.651;56.890;2.577;-2.687;59.245;10.995;3.857;59.248;10.293;-1.967;36.821;-2.634;-15.875;35.206;-1.568;-21.550;22.597;-3.029;-27.823;8.662;-4.643;-22.635;6.278;7.078;-16.737;3.460;20.890;-17.207;1.725;21.496;-13.721;-1.168;27.426;-12.112;-1.271;29.352;-10.400;-1.800;31.241;-9.260;-1.792;32.464;-17.251;2.544;21.704;-14.842;0.906;28.582;-12.182;0.903;31.755;-9.914;0.952;33.693;-8.294;0.892;34.939;-16.643;3.793;21.477;-14.676;3.459;29.280;-12.234;3.113;32.544;-9.484;2.978;34.429;-7.606;2.842;35.499;-16.824;4.854;21.428;-14.485;5.834;28.984;-12.156;5.664;32.021;-9.917;5.436;33.726;-8.163;4.989;34.720;-15.503;5.329;23.046;-13.938;8.081;24.922;-11.904;8.585;26.709;-10.799;10.706;28.155;1.257;36.888;-2.506;15.338;34.599;-0.713;20.669;21.187;-2.433;26.562;6.362;-4.333;21.487;5.765;7.497;15.632;4.760;22.013;15.464;2.927;22.898;13.743;0.934;29.140;12.820;-0.138;31.748;11.418;-0.713;33.680;10.330;-1.087;34.939;15.537;3.824;23.056;14.707;3.255;29.622;13.196;2.500;33.695;10.831;2.301;36.088;9.279;2.322;37.499;15.003;5.091;23.368;14.894;5.465;30.367;13.426;5.258;34.807;11.187;5.242;36.890;9.354;5.348;38.077;15.044;5.997;23.209;14.415;8.097;29.995;12.147;8.804;33.077;10.136;8.817;34.738;8.245;8.824;35.918;14.563;6.738;23.857;12.571;9.673;25.640;11.009;11.017;27.980;9.378;13.234;27.978;0.000;0.000;0.000;-7.635;-12.234;-0.800;-9.800;-33.010;0.171;-12.342;-57.398;1.311;-11.178;-101.618;-6.573;7.565;-12.383;-1.364;9.445;-33.098;-0.089;11.653;-57.417;1.408;10.841;-101.934;-7.345
1083.000;43.320;0.022;7.251;-0.220;-0.027;14.079;-0.373;-0.202;26.160;-0.575;-0.501;42.039;-1.334;-0.550;46.320;1.727;-0.219;52.782;2.906;-7.033;56.887;3.998;6.670;56.890;2.520;-2.664;59.242;10.945;3.880;59.243;10.239;-1.954;36.811;-2.693;-15.862;35.203;-1.632;-21.559;22.601;-3.072;-27.856;8.673;-4.664;-22.677;6.396;7.076;-16.788;3.713;20.912;-17.243;1.978;21.523;-13.811;-0.873;27.485;-12.196;-0.946;29.420;-10.478;-1.472;31.308;-9.352;-1.436;32.543;-17.276;2.800;21.721;-14.932;1.226;28.623;-12.247;1.208;31.793;-9.978;1.273;33.735;-8.358;1.234;34.982;-16.682;4.075;21.490;-14.735;3.756;29.294;-12.308;3.468;32.567;-9.561;3.361;34.440;-7.671;3.212;35.487;-16.873;5.130;21.438;-14.560;6.139;28.987;-12.228;5.983;32.030;-9.985;5.768;33.718;-8.221;5.356;34.708;-15.565;5.601;23.065;-13.918;8.333;24.899;-11.869;8.817;26.682;-10.707;10.948;28.067;1.270;36.878;-2.564;15.349;34.586;-0.761;20.691;21.177;-2.450;26.596;6.356;-4.316;21.500;5.895;7.510;15.606;5.047;22.033;15.470;3.236;22.919;13.953;1.245;29.171;13.133;0.164;31.819;11.852;-0.449;33.833;10.876;-0.857;35.171;15.542;4.134;23.073;14.853;3.543;29.629;13.406;2.768;33.729;11.154;2.523;36.198;9.605;2.521;37.611;15.015;5.368;23.418;14.998;5.797;30.370;13.505;5.652;34.809;11.262;5.654;36.883;9.431;5.739;38.074;15.037;6.273;23.250;14.429;8.420;29.953;11.870;8.987;32.857;9.770;8.923;34.390;7.815;8.840;35.456;14.603;7.087;23.863;12.707;10.094;25.638;11.145;11.389;28.078;9.561;13.639;28.086;0.000;0.000;0.000;-7.635;-12.235;-0.792;-9.799;-33.007;0.192;-12.340;-57.393;1.347;-11.169;-101.614;-6.534;7.565;-12.383;-1.356;9.447;-33.098;-0.067;11.656;-57.415;1.445;10.850;-101.923;-7.311
1084.000;43.360;0.024;7.248;-0.229;-0.023;14.072;-0.394;-0.194;26.148;-0.622;-0.490;42.026;-1.397;-0.538;46.313;1.665;-0.204;52.777;2.850;-7.017;56.883;3.943;6.685;56.883;2.459;-2.644;59.242;10.886;3.900;59.242;10.178;-1.943;36.797;-2.751;-15.850;35.198;-1.693;-21.582;22.611;-3.095;-27.916;8.700;-4.644;-22.672;6.593;7.086;-16.694;4.112;20.906;-17.234;2.426;21.553;-13.893;-0.382;27.578;-12.299;-0.515;29.488;-10.589;-1.031;31.381;-9.431;-1.012;32.588;-17.257;3.251;21.737;-14.934;1.742;28.665;-12.299;1.674;31.842;-10.047;1.685;33.788;-8.430;1.623;35.038;-16.582;4.419;21.495;-14.713;4.277;29.293;-12.321;3.962;32.592;-9.483;3.785;34.409;-7.618;3.623;35.500;-16.711;5.489;21.407;-14.444;6.649;28.949;-12.160;6.453;32.007;-9.884;6.163;33.672;-8.122;5.670;34.629;-15.398;5.974;23.005;-13.632;8.675;24.840;-11.617;9.111;26.651;-10.261;11.144;28.007;1.282;36.863;-2.621;15.357;34.561;-0.802;20.712;21.157;-2.460;26.630;6.341;-4.292;21.511;6.052;7.532;15.575;5.412;22.067;15.501;3.608;22.919;14.253;1.614;29.192;13.614;0.433;31.855;12.670;-0.321;34.002;11.964;-0.856;35.460;15.561;4.507;23.071;15.046;3.894;29.638;13.919;3.011;33.793;11.956;2.658;36.496;10.612;2.554;38.103;15.053;5.582;23.555;15.183;6.139;30.380;13.727;6.048;34.837;11.500;6.005;36.926;9.679;6.074;38.134;15.004;6.482;23.370;14.499;8.743;29.933;11.605;8.997;32.589;9.466;8.857;34.042;7.477;8.660;35.027;14.623;7.474;23.886;12.798;10.523;25.667;11.290;11.771;28.166;9.673;13.994;28.287;0.000;0.000;0.000;-7.638;-12.234;-0.781;-9.797;-33.007;0.219;-12.332;-57.394;1.393;-11.145;-101.614;-6.476;7.562;-12.387;-1.343;9.450;-33.098;-0.039;11.667;-57.412;1.491;10.877;-101.929;-7.253
1085.000;43.400;0.024;7.243;-0.241;-0.021;14.063;-0.417;-0.189;26.132;-0.666;-0.483;42.011;-1.440;-0.532;46.301;1.632;-0.193;52.768;2.838;-7.006;56.877;3.917;6.697;56.872;2.441;-2.637;59.252;10.857;3.907;59.249;10.153;-1.936;36.781;-2.796;-15.842;35.205;-1.730;-21.685;22.651;-2.998;-28.142;8.777;-4.400;-22.579;7.021;7.220;-16.169;4.991;20.919;-16.943;3.451;21.610;-14.213;0.499;27.860;-12.702;0.300;29.827;-11.111;-0.375;31.779;-9.992;-0.407;33.022;-16.871;4.281;21.757;-15.036;2.858;28.814;-12.622;2.462;32.135;-10.413;2.276;34.177;-8.911;2.037;35.544;-16.063;5.391;21.492;-14.483;5.301;29.354;-12.206;4.741;32.725;-9.304;4.285;34.460;-7.527;3.877;35.629;-16.079;6.464;21.361;-13.867;7.598;28.925;-11.611;7.162;31.986;-9.399;6.580;33.618;-7.681;5.853;34.505;-14.638;6.714;23.014;-12.386;9.057;24.885;-10.341;9.144;26.713;-8.517;10.836;27.986;1.288;36.847;-2.664;15.363;34.521;-0.802;20.803;21.141;-2.367;26.816;6.354;-4.097;21.649;6.368;7.695;15.632;6.104;22.215;15.594;4.354;23.058;14.459;2.233;29.327;14.161;0.895;31.892;13.684;-0.162;34.065;13.338;-0.888;35.570;15.674;5.250;23.219;15.300;4.570;29.768;14.596;3.564;33.967;13.254;3.011;36.976;12.323;2.794;38.843;15.194;6.159;23.791;15.450;6.815;30.510;14.034;6.738;34.970;11.801;6.651;37.098;10.004;6.712;38.339;15.081;7.052;23.595;14.714;9.373;30.032;11.573;9.406;32.418;9.305;9.052;33.751;7.329;8.751;34.737;14.740;8.184;24.059;12.841;11.205;25.832;11.286;12.388;28.357;9.633;14.583;28.494;0.000;0.000;0.000;-7.638;-12.235;-0.765;-9.792;-33.004;0.255;-12.322;-57.386;1.452;-11.123;-101.612;-6.401;7.562;-12.389;-1.319;9.453;-33.098;0.005;11.672;-57.408;1.560;10.891;-101.928;-7.177
