Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
812.000;32.480;0.036;7.195;-0.147;0.070;13.968;-0.353;0.133;25.948;-0.800;-0.178;41.825;-1.592;-0.308;46.073;1.642;-0.070;52.367;3.336;-6.955;56.359;4.402;6.817;56.461;3.869;-3.075;57.924;11.845;3.501;57.973;11.590;-1.598;36.592;-2.967;-15.658;34.756;-2.033;-21.049;21.851;-3.167;-27.006;7.587;-4.420;-22.590;5.991;7.644;-17.661;4.020;21.842;-18.108;2.376;22.623;-14.385;-0.141;28.674;-13.017;-0.089;30.812;-11.868;-0.673;32.988;-10.958;-0.547;34.385;-18.150;3.205;22.788;-15.396;2.010;29.657;-13.176;2.015;33.110;-11.417;2.145;35.496;-10.138;2.090;37.091;-17.557;4.429;22.396;-15.231;4.664;30.219;-13.012;4.835;33.656;-11.047;5.027;36.365;-9.929;5.121;38.217;-17.747;5.498;22.303;-14.964;6.952;29.781;-12.609;7.260;32.816;-10.688;7.344;34.874;-9.162;7.131;36.249;-16.320;6.131;23.868;-15.472;9.184;25.571;-13.828;10.475;27.406;-14.294;12.919;28.677;1.623;36.664;-2.783;15.653;34.115;-0.506;21.401;20.625;-1.431;27.754;5.714;-2.453;21.989;5.093;9.050;15.296;4.024;23.182;15.196;2.266;24.112;13.277;0.354;30.210;11.851;-0.150;32.768;10.306;-0.416;34.614;9.101;-0.561;35.812;15.284;3.159;24.284;14.347;2.455;30.748;12.584;1.802;34.706;10.394;1.487;37.227;8.947;1.401;38.744;14.629;4.278;24.532;14.414;4.722;31.519;12.443;4.339;35.707;10.252;4.132;37.817;8.546;4.138;39.182;14.628;5.186;24.379;13.911;7.228;31.240;11.715;7.255;34.475;9.867;6.959;36.255;8.085;6.763;37.579;14.111;6.123;24.753;13.808;9.382;26.732;13.234;10.565;29.820;12.524;13.039;30.793;0.000;0.000;0.000;-7.615;-12.235;-0.958;-9.574;-33.094;-0.477;-11.872;-57.581;0.088;-10.467;-101.679;-8.435;7.582;-12.342;-1.613;9.449;-33.159;-0.874;11.644;-57.595;-0.008;10.904;-101.976;-9.340
813.000;32.520;0.035;7.195;-0.152;0.069;13.967;-0.361;0.131;25.946;-0.816;-0.174;41.823;-1.610;-0.302;46.073;1.624;-0.060;52.368;3.318;-6.942;56.367;4.385;6.830;56.458;3.841;-3.055;57.937;11.823;3.521;57.981;11.563;-1.598;36.591;-2.984;-15.659;34.759;-2.043;-21.064;21.859;-3.173;-27.038;7.601;-4.421;-22.633;6.018;7.649;-17.719;4.061;21.854;-18.172;2.416;22.635;-14.458;-0.092;28.692;-13.109;-0.045;30.831;-11.946;-0.635;33.006;-11.023;-0.505;34.395;-18.210;3.246;22.798;-15.468;2.048;29.672;-13.243;2.059;33.128;-11.471;2.184;35.512;-10.207;2.116;37.118;-17.618;4.460;22.415;-15.304;4.707;30.234;-13.060;4.879;33.657;-11.081;5.070;36.357;-9.956;5.153;38.206;-17.803;5.539;22.317;-15.023;7.002;29.792;-12.672;7.294;32.824;-10.751;7.372;34.883;-9.219;7.157;36.250;-16.387;6.180;23.885;-15.522;9.226;25.576;-13.881;10.515;27.409;-14.344;12.954;28.692;1.624;36.662;-2.800;15.654;34.106;-0.524;21.395;20.613;-1.442;27.741;5.700;-2.457;21.974;5.087;9.046;15.278;4.024;23.178;15.171;2.268;24.106;13.252;0.357;30.205;11.808;-0.148;32.758;10.263;-0.416;34.598;9.054;-0.564;35.792;15.259;3.162;24.279;14.316;2.460;30.740;12.545;1.805;34.695;10.339;1.502;37.212;8.889;1.429;38.726;14.611;4.283;24.525;14.389;4.729;31.511;12.397;4.352;35.696;10.203;4.146;37.795;8.489;4.157;39.152;14.611;5.191;24.372;13.882;7.245;31.232;11.668;7.258;34.465;9.828;6.968;36.231;8.045;6.776;37.553;14.095;6.126;24.746;13.792;9.387;26.720;13.219;10.575;29.810;12.514;13.051;30.781;0.000;0.000;0.000;-7.615;-12.236;-0.946;-9.571;-33.094;-0.459;-11.865;-57.579;0.114;-10.459;-101.681;-8.398;7.582;-12.343;-1.608;9.452;-33.159;-0.857;11.650;-57.595;0.024;10.911;-101.978;-9.296
814.000;32.560;0.033;7.194;-0.156;0.064;13.966;-0.370;0.121;25.944;-0.832;-0.184;41.822;-1.624;-0.309;46.072;1.611;-0.065;52.369;3.305;-6.945;56.369;4.379;6.826;56.460;3.812;-3.046;57.948;11.809;3.530;57.992;11.538;-1.609;36.589;-2.997;-15.666;34.759;-2.043;-21.088;21.868;-3.169;-27.082;7.620;-4.414;-22.700;6.045;7.665;-17.813;4.098;21.881;-18.266;2.466;22.669;-14.561;-0.073;28.725;-13.211;-0.045;30.853;-12.056;-0.628;33.034;-11.118;-0.508;34.414;-18.309;3.295;22.832;-15.585;2.088;29.699;-13.350;2.094;33.154;-11.565;2.214;35.537;-10.311;2.160;37.151;-17.707;4.477;22.447;-15.389;4.749;30.260;-13.124;4.891;33.662;-11.092;5.088;36.331;-9.960;5.166;38.176;-17.890;5.571;22.346;-15.107;7.047;29.816;-12.745;7.319;32.840;-10.798;7.405;34.882;-9.277;7.162;36.257;-16.477;6.225;23.913;-15.600;9.263;25.602;-13.956;10.542;27.439;-14.406;12.993;28.703;1.613;36.660;-2.816;15.645;34.099;-0.551;21.387;20.607;-1.473;27.734;5.694;-2.491;21.971;5.083;9.014;15.277;4.018;23.149;15.162;2.266;24.079;13.242;0.341;30.169;11.801;-0.166;32.723;10.244;-0.443;34.553;9.030;-0.604;35.741;15.252;3.160;24.252;14.300;2.439;30.711;12.539;1.803;34.665;10.318;1.463;37.177;8.862;1.429;38.686;14.619;4.290;24.493;14.407;4.729;31.484;12.396;4.347;35.666;10.195;4.149;37.758;8.483;4.163;39.117;14.625;5.198;24.341;13.888;7.239;31.204;11.672;7.254;34.435;9.837;6.978;36.198;8.044;6.787;37.508;14.093;6.129;24.705;13.814;9.386;26.700;13.239;10.574;29.791;12.538;13.055;30.754;0.000;0.000;0.000;-7.611;-12.240;-0.932;-9.557;-33.097;-0.437;-11.840;-57.583;0.143;-10.418;-101.681;-8.363;7.585;-12.341;-1.608;9.465;-33.156;-0.846;11.675;-57.590;0.047;10.953;-101.974;-9.265
815.000;32.600;0.031;7.192;-0.160;0.061;13.962;-0.377;0.115;25.938;-0.848;-0.191;41.816;-1.637;-0.313;46.068;1.600;-0.068;52.370;3.290;-6.948;56.369;4.366;6.822;56.464;3.783;-3.041;57.961;11.789;3.534;58.006;11.511;-1.617;36.583;-3.010;-15.672;34.755;-2.046;-21.114;21.871;-3.169;-27.128;7.631;-4.411;-22.766;6.060;7.675;-17.898;4.118;21.901;-18.344;2.484;22.685;-14.690;-0.030;28.756;-13.326;-0.022;30.885;-12.181;-0.590;33.067;-11.233;-0.478;34.441;-18.389;3.313;22.846;-15.674;2.142;29.720;-13.447;2.134;33.176;-11.672;2.263;35.556;-10.403;2.208;37.158;-17.796;4.517;22.464;-15.482;4.776;30.279;-13.192;4.887;33.665;-11.150;5.101;36.317;-9.985;5.192;38.140;-17.978;5.610;22.366;-15.209;7.075;29.833;-12.845;7.350;32.858;-10.901;7.428;34.908;-9.374;7.209;36.280;-16.576;6.245;23.926;-15.701;9.294;25.614;-14.062;10.567;27.459;-14.494;13.027;28.712;1.605;36.654;-2.832;15.639;34.092;-0.577;21.385;20.600;-1.509;27.737;5.688;-2.540;21.983;5.076;8.971;15.296;4.007;23.113;15.174;2.256;24.037;13.243;0.316;30.121;11.789;-0.193;32.666;10.231;-0.455;34.497;9.014;-0.608;35.682;15.263;3.149;24.212;14.318;2.406;30.670;12.530;1.770;34.615;10.301;1.461;37.102;8.836;1.387;38.602;14.640;4.278;24.460;14.419;4.710;31.446;12.399;4.319;35.620;10.188;4.117;37.704;8.474;4.148;39.060;14.648;5.187;24.310;13.910;7.216;31.172;11.687;7.220;34.385;9.838;6.951;36.142;8.036;6.749;37.438;14.123;6.120;24.672;13.848;9.373;26.673;13.258;10.555;29.747;12.566;13.029;30.734;0.000;0.000;0.000;-7.609;-12.242;-0.921;-9.547;-33.100;-0.419;-11.819;-57.586;0.169;-10.380;-101.682;-8.331;7.586;-12.340;-1.610;9.478;-33.156;-0.841;11.701;-57.591;0.060;10.995;-101.976;-9.237
816.000;32.640;0.029;7.192;-0.162;0.057;13.961;-0.385;0.108;25.934;-0.868;-0.197;41.812;-1.658;-0.316;46.066;1.578;-0.067;52.371;3.263;-6.947;56.367;4.345;6.822;56.469;3.742;-3.030;57.968;11.761;3.546;58.017;11.473;-1.625;36.580;-3.029;-15.680;34.756;-2.050;-21.132;21.875;-3.171;-27.157;7.640;-4.411;-22.812;6.076;7.682;-17.966;4.143;21.915;-18.422;2.520;22.705;-14.764;0.008;28.779;-13.417;0.024;30.913;-12.254;-0.567;33.090;-11.304;-0.452;34.461;-18.471;3.348;22.869;-15.752;2.173;29.742;-13.531;2.163;33.200;-11.764;2.289;35.581;-10.499;2.255;37.188;-17.865;4.542;22.478;-15.578;4.799;30.300;-13.296;4.933;33.689;-11.229;5.141;36.339;-10.081;5.212;38.174;-18.049;5.632;22.380;-15.291;7.100;29.852;-12.930;7.385;32.879;-10.993;7.454;34.936;-9.474;7.249;36.318;-16.648;6.267;23.938;-15.773;9.320;25.634;-14.138;10.596;27.479;-14.574;13.057;28.728;1.597;36.650;-2.854;15.632;34.085;-0.614;21.389;20.597;-1.559;27.752;5.689;-2.603;22.012;5.074;8.915;15.343;4.007;23.065;15.212;2.250;23.988;13.300;0.327;30.078;11.830;-0.198;32.618;10.263;-0.463;34.441;9.042;-0.612;35.623;15.302;3.142;24.164;14.359;2.398;30.622;12.566;1.757;34.565;10.325;1.450;37.051;8.863;1.386;38.554;14.687;4.260;24.418;14.471;4.683;31.400;12.442;4.307;35.571;10.229;4.113;37.648;8.503;4.142;38.989;14.692;5.169;24.268;13.950;7.229;31.125;11.720;7.208;34.329;9.870;6.940;36.076;8.063;6.734;37.363;14.175;6.115;24.626;13.917;9.366;26.633;13.325;10.551;29.689;12.665;13.022;30.704;0.000;0.000;0.000;-7.607;-12.243;-0.914;-9.537;-33.102;-0.403;-11.799;-57.588;0.196;-10.348;-101.682;-8.295;7.587;-12.339;-1.614;9.490;-33.153;-0.837;11.725;-57.587;0.075;11.036;-101.975;-9.206
817.000;32.680;0.027;7.191;-0.168;0.053;13.960;-0.399;0.100;25.932;-0.897;-0.205;41.810;-1.692;-0.318;46.066;1.544;-0.065;52.374;3.227;-6.941;56.373;4.326;6.826;56.471;3.680;-3.000;57.982;11.728;3.574;58.029;11.419;-1.635;36.577;-3.059;-15.687;34.755;-2.062;-21.142;21.876;-3.174;-27.172;7.641;-4.403;-22.836;6.090;7.693;-18.000;4.174;21.927;-18.451;2.553;22.721;-14.791;0.051;28.805;-13.436;0.063;30.931;-12.256;-0.528;33.101;-11.315;-0.409;34.478;-18.498;3.382;22.884;-15.802;2.204;29.766;-13.583;2.178;33.227;-11.804;2.317;35.607;-10.543;2.256;37.216;-17.906;4.567;22.494;-15.617;4.841;30.317;-13.341;4.985;33.709;-11.293;5.169;36.370;-10.139;5.255;38.201;-18.091;5.667;22.392;-15.342;7.145;29.862;-12.989;7.437;32.898;-11.068;7.505;34.962;-9.531;7.309;36.327;-16.698;6.299;23.945;-15.817;9.362;25.636;-14.181;10.633;27.476;-14.614;13.093;28.729;1.588;36.648;-2.889;15.626;34.076;-0.667;21.387;20.592;-1.623;27.755;5.688;-2.680;22.039;5.071;8.850;15.399;4.001;23.014;15.281;2.236;23.933;13.376;0.321;30.029;11.906;-0.204;32.572;10.332;-0.471;34.391;9.110;-0.609;35.574;15.373;3.128;24.107;14.436;2.389;30.572;12.650;1.754;34.516;10.402;1.459;36.999;8.942;1.383;38.503;14.742;4.274;24.367;14.549;4.677;31.350;12.524;4.307;35.524;10.305;4.108;37.600;8.580;4.147;38.942;14.756;5.183;24.219;14.038;7.243;31.080;11.806;7.212;34.290;9.958;6.952;36.035;8.141;6.761;37.312;14.237;6.118;24.587;14.006;9.365;26.583;13.425;10.553;29.662;12.760;13.036;30.644;0.000;0.000;0.000;-7.606;-12.246;-0.895;-9.526;-33.103;-0.378;-11.778;-57.587;0.230;-10.315;-101.683;-8.260;7.589;-12.338;-1.611;9.499;-33.149;-0.827;11.745;-57.580;0.094;11.066;-101.974;-9.170
818.000;32.720;0.026;7.189;-0.176;0.050;13.956;-0.415;0.094;25.925;-0.932;-0.214;41.803;-1.734;-0.321;46.063;1.504;-0.061;52.372;3.193;-6.934;56.368;4.326;6.829;56.475;3.602;-2.953;57.989;11.703;3.619;58.040;11.357;-1.645;36.569;-3.097;-15.694;34.747;-2.077;-21.149;21.869;-3.174;-27.177;7.636;-4.386;-22.838;6.100;7.706;-18.000;4.200;21.936;-18.461;2.570;22.732;-14.762;0.095;28.814;-13.344;0.095;30.912;-12.156;-0.476;33.081;-11.230;-0.352;34.468;-18.506;3.400;22.892;-15.818;2.226;29.783;-13.594;2.195;33.248;-11.797;2.313;35.621;-10.517;2.248;37.215;-17.901;4.602;22.496;-15.619;4.877;30.329;-13.354;5.026;33.736;-11.325;5.217;36.401;-10.181;5.296;38.238;-18.093;5.690;22.395;-15.356;7.182;29.867;-13.017;7.479;32.922;-11.098;7.563;34.997;-9.597;7.350;36.399;-16.669;6.333;23.951;-15.811;9.396;25.636;-14.168;10.668;27.451;-14.599;13.116;28.728;1.578;36.640;-2.931;15.618;34.072;-0.729;21.384;20.590;-1.698;27.756;5.688;-2.769;22.074;5.067;8.779;15.476;3.991;22.962;15.362;2.229;23.877;13.470;0.301;29.977;11.989;-0.221;32.518;10.436;-0.492;34.340;9.209;-0.618;35.518;15.458;3.122;24.052;14.535;2.385;30.520;12.760;1.741;34.472;10.512;1.449;36.958;9.063;1.373;38.472;14.822;4.267;24.316;14.645;4.677;31.299;12.633;4.283;35.477;10.415;4.105;37.551;8.683;4.144;38.884;14.835;5.176;24.169;14.145;7.217;31.033;11.925;7.192;34.252;10.073;6.955;36.000;8.270;6.735;37.290;14.326;6.111;24.531;14.111;9.353;26.542;13.557;10.546;29.621;12.889;13.026;30.610;0.000;0.000;0.000;-7.605;-12.248;-0.875;-9.515;-33.104;-0.354;-11.756;-57.587;0.257;-10.283;-101.682;-8.234;7.588;-12.339;-1.608;9.509;-33.148;-0.817;11.767;-57.577;0.111;11.097;-101.975;-9.136
819.000;32.760;0.024;7.188;-0.183;0.046;13.954;-0.431;0.087;25.921;-0.967;-0.219;41.798;-1.779;-0.321;46.061;1.461;-0.059;52.372;3.156;-6.924;56.367;4.338;6.833;56.477;3.504;-2.885;58.000;11.681;3.684;58.052;11.283;-1.653;36.564;-3.136;-15.705;34.743;-2.094;-21.155;21.863;-3.179;-27.179;7.627;-4.377;-22.829;6.101;7.713;-17.979;4.213;21.942;-18.437;2.584;22.739;-14.726;0.097;28.817;-13.312;0.141;30.917;-12.083;-0.435;33.076;-11.165;-0.321;34.469;-18.487;3.413;22.900;-15.765;2.273;29.785;-13.595;2.184;33.264;-11.787;2.302;35.634;-10.508;2.212;37.227;-17.873;4.618;22.500;-15.578;4.894;30.330;-13.329;5.038;33.734;-11.286;5.227;36.390;-10.134;5.301;38.221;-18.066;5.705;22.398;-15.328;7.202;29.870;-13.005;7.494;32.933;-11.091;7.596;35.015;-9.608;7.367;36.433;-16.654;6.337;23.947;-15.773;9.405;25.633;-14.112;10.680;27.456;-14.544;13.132;28.725;1.570;36.634;-2.975;15.610;34.067;-0.793;21.375;20.584;-1.770;27.748;5.682;-2.850;22.097;5.064;8.714;15.537;3.991;22.917;15.421;2.235;23.835;13.551;0.295;29.933;12.084;-0.208;32.488;10.534;-0.487;34.315;9.320;-0.625;35.506;15.523;3.126;24.011;14.630;2.377;30.476;12.875;1.736;34.439;10.643;1.450;36.941;9.187;1.393;38.450;14.895;4.264;24.268;14.743;4.668;31.256;12.748;4.280;35.440;10.541;4.112;37.522;8.811;4.129;38.857;14.909;5.174;24.122;14.249;7.203;30.996;12.047;7.184;34.228;10.200;6.961;35.982;8.403;6.735;37.280;14.407;6.112;24.504;14.201;9.352;26.507;13.652;10.544;29.596;13.000;13.034;30.568;0.000;0.000;0.000;-7.603;-12.250;-0.857;-9.506;-33.105;-0.326;-11.738;-57.587;0.299;-10.252;-101.683;-8.194;7.589;-12.338;-1.607;9.519;-33.145;-0.805;11.788;-57.570;0.135;11.127;-101.974;-9.091
820.000;32.800;0.022;7.187;-0.189;0.043;13.952;-0.445;0.082;25.916;-0.997;-0.229;41.792;-1.821;-0.325;46.060;1.418;-0.058;52.373;3.110;-6.916;56.367;4.330;6.835;56.482;3.407;-2.830;58.014;11.644;3.737;58.068;11.203;-1.664;36.557;-3.172;-15.715;34.732;-2.104;-21.152;21.847;-3.172;-27.162;7.606;-4.353;-22.793;6.086;7.732;-17.915;4.210;21.959;-18.376;2.562;22.744;-14.642;0.106;28.820;-13.184;0.139;30.910;-11.963;-0.444;33.039;-10.996;-0.331;34.399;-18.416;3.393;22.900;-15.713;2.258;29.794;-13.488;2.185;33.265;-11.686;2.285;35.621;-10.379;2.212;37.192;-17.823;4.606;22.524;-15.496;4.889;30.337;-13.228;5.021;33.725;-11.150;5.196;36.361;-9.963;5.284;38.170;-18.004;5.686;22.420;-15.249;7.200;29.874;-12.919;7.498;32.923;-11.008;7.586;35.009;-9.507;7.411;36.416;-16.591;6.345;23.967;-15.703;9.403;25.641;-14.029;10.670;27.459;-14.446;13.126;28.725;1.559;36.628;-3.016;15.602;34.061;-0.862;21.370;20.582;-1.844;27.745;5.683;-2.930;22.131;5.071;8.651;15.613;4.007;22.872;15.504;2.258;23.797;13.634;0.305;29.892;12.191;-0.191;32.456;10.628;-0.461;34.283;9.420;-0.593;35.480;15.608;3.148;23.975;14.731;2.425;30.443;12.983;1.767;34.407;10.768;1.485;36.916;9.315;1.419;38.428;14.970;4.284;24.229;14.838;4.679;31.214;12.857;4.309;35.404;10.652;4.152;37.488;8.936;4.164;38.841;14.986;5.193;24.081;14.357;7.215;30.953;12.174;7.223;34.191;10.322;6.984;35.955;8.533;6.751;37.264;14.496;6.124;24.446;14.279;9.374;26.461;13.743;10.565;29.530;13.105;13.044;30.541;0.000;0.000;0.000;-7.601;-12.253;-0.838;-9.495;-33.108;-0.298;-11.715;-57.590;0.336;-10.218;-101.684;-8.159;7.591;-12.337;-1.608;9.532;-33.144;-0.794;11.814;-57.570;0.162;11.164;-101.976;-9.037
