Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1440.000;57.600;0.084;7.152;-0.213;0.087;13.886;-0.422;-0.002;25.801;-0.804;-0.328;41.677;-1.632;-0.448;46.046;1.437;-0.156;52.641;2.549;-7.009;56.600;3.907;6.670;56.858;2.243;-2.572;58.721;10.886;3.960;58.845;10.092;-1.743;36.439;-2.996;-15.818;34.542;-1.820;-21.037;21.558;-2.965;-26.805;7.208;-4.231;-22.234;6.664;7.752;-17.117;5.970;21.829;-17.644;4.412;22.801;-14.455;2.832;29.495;-13.363;2.986;31.694;-12.191;2.708;33.990;-11.329;2.915;35.408;-17.666;5.258;22.810;-15.434;5.289;29.976;-13.536;5.944;33.570;-11.449;6.446;35.679;-9.935;6.715;37.028;-16.975;6.433;22.300;-15.171;7.843;30.133;-13.183;8.163;33.705;-10.775;8.616;36.037;-9.324;8.775;37.637;-17.133;7.455;22.001;-14.867;10.086;29.243;-12.511;10.623;32.270;-10.423;10.830;34.185;-8.765;10.773;35.415;-15.865;8.399;23.523;-14.605;11.641;24.471;-12.598;12.588;26.023;-11.604;15.123;26.649;1.479;36.515;-2.810;15.576;34.164;-0.543;21.062;20.642;-1.659;27.125;5.697;-2.894;22.236;6.108;8.912;16.570;6.176;23.383;16.451;4.522;24.441;13.702;2.532;30.327;12.111;1.427;32.611;10.480;0.710;34.219;9.215;0.202;35.245;16.425;5.428;24.565;14.192;4.921;30.887;11.384;4.115;34.175;8.833;3.503;36.205;7.123;3.254;37.393;15.660;6.593;24.491;13.909;7.223;31.472;11.333;6.743;35.321;8.914;6.421;37.122;7.087;6.260;38.310;15.629;7.496;24.312;13.351;9.661;31.092;11.290;10.012;34.326;9.431;9.795;36.122;7.648;9.619;37.447;14.952;8.365;24.684;14.138;11.749;26.242;13.153;13.499;28.761;12.625;16.199;28.833;0.000;0.000;0.000;-7.719;-12.166;-1.011;-10.285;-32.975;0.023;-13.296;-57.402;1.237;-12.898;-101.567;-6.628;7.488;-12.442;-1.242;9.322;-33.197;-0.196;11.474;-57.562;1.032;10.970;-101.854;-8.109
1441.000;57.640;0.084;7.152;-0.211;0.088;13.887;-0.417;-0.002;25.802;-0.789;-0.325;41.678;-1.612;-0.444;46.047;1.459;-0.152;52.644;2.573;-7.004;56.603;3.930;6.675;56.860;2.264;-2.567;58.727;10.909;3.966;58.850;10.113;-1.741;36.441;-2.978;-15.816;34.546;-1.801;-21.036;21.562;-2.950;-26.806;7.211;-4.221;-22.234;6.664;7.762;-17.114;5.965;21.839;-17.641;4.394;22.806;-14.448;2.836;29.501;-13.350;2.978;31.701;-12.175;2.695;33.995;-11.318;2.886;35.418;-17.660;5.240;22.813;-15.416;5.278;29.984;-13.539;5.923;33.576;-11.442;6.430;35.684;-9.917;6.704;37.019;-16.955;6.448;22.301;-15.162;7.844;30.138;-13.165;8.156;33.700;-10.741;8.609;36.021;-9.296;8.764;37.627;-17.115;7.469;22.006;-14.860;10.082;29.249;-12.506;10.598;32.279;-10.412;10.811;34.198;-8.764;10.767;35.441;-15.870;8.389;23.526;-14.618;11.640;24.472;-12.604;12.585;26.035;-11.626;15.126;26.659;1.480;36.516;-2.792;15.578;34.162;-0.525;21.057;20.637;-1.649;27.112;5.688;-2.892;22.223;6.102;8.914;16.557;6.170;23.386;16.424;4.505;24.437;13.675;2.524;30.320;12.077;1.426;32.608;10.443;0.708;34.207;9.178;0.200;35.233;16.395;5.411;24.558;14.185;4.907;30.895;11.363;4.099;34.168;8.799;3.502;36.197;7.085;3.258;37.381;15.646;6.601;24.486;13.896;7.215;31.473;11.306;6.735;35.317;8.891;6.424;37.116;7.065;6.280;38.309;15.619;7.504;24.310;13.331;9.668;31.090;11.268;10.009;34.321;9.397;9.784;36.109;7.621;9.618;37.445;14.954;8.357;24.670;14.129;11.748;26.252;13.159;13.502;28.771;12.647;16.204;28.841;0.000;0.000;0.000;-7.719;-12.166;-1.013;-10.286;-32.975;0.023;-13.300;-57.403;1.240;-12.904;-101.569;-6.617;7.488;-12.442;-1.242;9.319;-33.198;-0.201;11.467;-57.564;1.021;10.961;-101.856;-8.118
1442.000;57.680;0.084;7.154;-0.209;0.088;13.890;-0.411;-0.002;25.808;-0.779;-0.322;41.684;-1.594;-0.440;46.048;1.476;-0.148;52.640;2.589;-7.002;56.596;3.951;6.677;56.860;2.284;-2.564;58.715;10.931;3.968;58.841;10.135;-1.739;36.448;-2.962;-15.816;34.555;-1.786;-21.035;21.571;-2.947;-26.803;7.220;-4.229;-22.233;6.661;7.754;-17.112;5.953;21.834;-17.642;4.385;22.799;-14.440;2.821;29.487;-13.341;2.950;31.690;-12.162;2.656;33.973;-11.307;2.874;35.394;-17.663;5.230;22.808;-15.420;5.248;29.977;-13.514;5.910;33.565;-11.417;6.390;35.670;-9.903;6.665;37.018;-16.956;6.434;22.297;-15.159;7.822;30.134;-13.158;8.111;33.704;-10.734;8.565;36.014;-9.278;8.716;37.610;-17.115;7.461;22.003;-14.855;10.063;29.242;-12.511;10.584;32.275;-10.378;10.792;34.186;-8.763;10.722;35.471;-15.854;8.379;23.522;-14.641;11.635;24.472;-12.629;12.580;26.042;-11.653;15.122;26.671;1.482;36.523;-2.776;15.581;34.165;-0.513;21.057;20.640;-1.646;27.110;5.692;-2.898;22.225;6.099;8.908;16.562;6.159;23.380;16.427;4.497;24.429;13.682;2.509;30.312;12.079;1.421;32.600;10.451;0.699;34.205;9.186;0.197;35.234;16.399;5.403;24.551;14.192;4.889;30.887;11.384;4.100;34.175;8.804;3.495;36.196;7.100;3.259;37.396;15.661;6.581;24.488;13.901;7.183;31.472;11.330;6.725;35.317;8.922;6.427;37.124;7.080;6.270;38.290;15.632;7.484;24.310;13.340;9.651;31.087;11.294;10.007;34.323;9.427;9.785;36.112;7.646;9.621;37.443;14.916;8.350;24.663;14.135;11.742;26.255;13.157;13.489;28.742;12.642;16.190;28.839;0.000;0.000;0.000;-7.719;-12.165;-1.018;-10.288;-32.974;0.011;-13.303;-57.403;1.219;-12.913;-101.569;-6.637;7.488;-12.441;-1.247;9.316;-33.197;-0.213;11.463;-57.562;1.000;10.955;-101.855;-8.138
1443.000;57.720;0.085;7.154;-0.206;0.088;13.891;-0.405;-0.004;25.810;-0.768;-0.319;41.686;-1.585;-0.433;46.050;1.485;-0.137;52.639;2.599;-6.988;56.600;3.965;6.691;56.854;2.292;-2.545;58.713;10.944;3.987;58.835;10.144;-1.738;36.450;-2.952;-15.814;34.562;-1.770;-21.034;21.581;-2.935;-26.802;7.235;-4.223;-22.233;6.666;7.758;-17.117;5.943;21.835;-17.650;4.377;22.803;-14.423;2.802;29.490;-13.337;2.938;31.688;-12.156;2.637;33.972;-11.300;2.853;35.392;-17.668;5.223;22.813;-15.433;5.238;29.981;-13.515;5.874;33.572;-11.416;6.377;35.667;-9.892;6.644;37.004;-16.973;6.406;22.312;-15.146;7.823;30.132;-13.136;8.093;33.695;-10.699;8.559;35.992;-9.234;8.711;37.580;-17.128;7.431;22.014;-14.849;10.043;29.251;-12.495;10.558;32.277;-10.365;10.777;34.167;-8.719;10.703;35.411;-15.866;8.371;23.527;-14.649;11.635;24.494;-12.631;12.575;26.039;-11.682;15.120;26.698;1.484;36.524;-2.767;15.584;34.162;-0.508;21.058;20.637;-1.649;27.108;5.688;-2.911;22.224;6.087;8.900;16.564;6.141;23.377;16.428;4.490;24.430;13.678;2.494;30.308;12.074;1.392;32.588;10.440;0.664;34.186;9.177;0.156;35.215;16.405;5.395;24.557;14.190;4.859;30.881;11.369;4.080;34.157;8.788;3.454;36.175;7.088;3.219;37.380;15.648;6.565;24.484;13.910;7.168;31.465;11.313;6.693;35.300;8.901;6.391;37.103;7.070;6.241;38.287;15.621;7.469;24.308;13.351;9.630;31.081;11.301;9.975;34.320;9.445;9.780;36.115;7.655;9.605;37.431;14.951;8.337;24.668;14.150;11.725;26.242;13.167;13.472;28.760;12.674;16.178;28.834;0.000;0.000;0.000;-7.722;-12.163;-1.022;-10.296;-32.972;0.004;-13.318;-57.400;1.208;-12.944;-101.570;-6.648;7.485;-12.443;-1.252;9.310;-33.200;-0.222;11.452;-57.568;0.986;10.937;-101.858;-8.153
1444.000;57.760;0.085;7.155;-0.205;0.088;13.893;-0.403;-0.004;25.814;-0.763;-0.318;41.690;-1.587;-0.429;46.054;1.480;-0.129;52.641;2.592;-6.976;56.605;3.964;6.701;56.853;2.279;-2.527;58.717;10.938;4.004;58.835;10.134;-1.738;36.454;-2.951;-15.813;34.571;-1.765;-21.042;21.593;-2.927;-26.821;7.249;-4.211;-22.242;6.679;7.765;-17.115;5.950;21.838;-17.646;4.380;22.811;-14.412;2.797;29.492;-13.320;2.934;31.688;-12.141;2.640;33.970;-11.290;2.851;35.394;-17.665;5.226;22.820;-15.417;5.239;29.983;-13.500;5.876;33.570;-11.392;6.395;35.661;-9.867;6.625;37.004;-16.965;6.419;22.314;-15.152;7.808;30.145;-13.095;8.108;33.681;-10.664;8.541;35.983;-9.186;8.698;37.558;-17.124;7.435;22.021;-14.845;10.059;29.252;-12.488;10.556;32.280;-10.349;10.770;34.170;-8.697;10.677;35.405;-15.848;8.374;23.533;-14.639;11.634;24.484;-12.630;12.578;26.050;-11.665;15.118;26.698;1.483;36.527;-2.767;15.586;34.169;-0.512;21.063;20.642;-1.649;27.117;5.692;-2.906;22.236;6.089;8.906;16.578;6.138;23.385;16.442;4.476;24.434;13.697;2.497;30.318;12.087;1.384;32.592;10.447;0.662;34.192;9.187;0.151;35.223;16.418;5.382;24.557;14.208;4.861;30.892;11.375;4.058;34.155;8.785;3.463;36.162;7.071;3.231;37.349;15.674;6.573;24.485;13.917;7.161;31.470;11.325;6.707;35.308;8.913;6.388;37.107;7.074;6.239;38.279;15.646;7.477;24.311;13.375;9.631;31.089;11.311;9.982;34.323;9.440;9.762;36.113;7.660;9.599;37.444;14.970;8.332;24.672;14.173;11.715;26.260;13.205;13.469;28.769;12.692;16.172;28.848;0.000;0.000;0.000;-7.722;-12.163;-1.022;-10.301;-32.973;-0.000;-13.328;-57.403;1.199;-12.964;-101.567;-6.666;7.485;-12.443;-1.254;9.304;-33.200;-0.232;11.439;-57.567;0.969;10.912;-101.859;-8.168
1445.000;57.800;0.085;7.157;-0.202;0.088;13.897;-0.398;-0.004;25.821;-0.753;-0.315;41.697;-1.576;-0.425;46.057;1.490;-0.123;52.639;2.604;-6.966;56.605;3.988;6.709;56.847;2.286;-2.507;58.707;10.959;4.023;58.823;10.147;-1.737;36.461;-2.940;-15.813;34.578;-1.748;-21.046;21.599;-2.905;-26.830;7.254;-4.183;-22.240;6.684;7.791;-17.098;5.955;21.862;-17.628;4.408;22.834;-14.408;2.813;29.506;-13.297;2.970;31.705;-12.125;2.668;33.979;-11.250;2.891;35.387;-17.650;5.254;22.846;-15.381;5.255;30.001;-13.462;5.901;33.577;-11.358;6.411;35.669;-9.842;6.633;37.023;-16.956;6.425;22.334;-15.109;7.819;30.154;-13.059;8.117;33.688;-10.623;8.576;35.987;-9.154;8.724;37.571;-17.104;7.454;22.034;-14.808;10.066;29.265;-12.450;10.571;32.288;-10.330;10.788;34.192;-8.678;10.697;35.426;-15.832;8.389;23.560;-14.561;11.632;24.508;-12.530;12.564;26.048;-11.530;15.107;26.635;1.485;36.534;-2.757;15.585;34.173;-0.503;21.063;20.649;-1.642;27.118;5.702;-2.901;22.245;6.083;8.910;16.598;6.110;23.387;16.468;4.448;24.439;13.708;2.460;30.319;12.104;1.354;32.599;10.467;0.628;34.191;9.203;0.107;35.212;16.442;5.353;24.562;14.212;4.846;30.895;11.378;4.037;34.157;8.781;3.422;36.158;7.079;3.189;37.361;15.690;6.540;24.492;13.934;7.146;31.478;11.324;6.682;35.311;8.904;6.358;37.104;7.075;6.195;38.288;15.663;7.443;24.316;13.369;9.597;31.091;11.295;9.952;34.320;9.421;9.731;36.105;7.650;9.559;37.448;14.995;8.309;24.680;14.190;11.697;26.241;13.219;13.446;28.750;12.710;16.149;28.837;0.000;0.000;0.000;-7.722;-12.162;-1.026;-10.296;-32.975;-0.008;-13.317;-57.406;1.187;-12.946;-101.582;-6.678;7.485;-12.442;-1.259;9.308;-33.200;-0.239;11.448;-57.568;0.959;10.929;-101.860;-8.180
1446.000;57.840;0.085;7.163;-0.200;0.088;13.908;-0.394;-0.004;25.842;-0.745;-0.323;41.719;-1.549;-0.431;46.066;1.507;-0.126;52.634;2.607;-6.967;56.599;4.004;6.706;56.842;2.289;-2.501;58.690;10.974;4.028;58.806;10.155;-1.743;36.485;-2.918;-15.809;34.561;-1.709;-21.068;21.598;-2.854;-26.880;7.270;-4.118;-22.336;6.735;7.860;-17.257;6.054;21.928;-17.891;4.529;22.941;-14.647;3.018;29.650;-13.500;3.186;31.858;-12.482;2.887;34.165;-11.657;3.084;35.606;-17.883;5.375;22.934;-15.547;5.479;30.084;-13.662;6.133;33.671;-11.689;6.639;35.884;-10.312;6.878;37.377;-17.066;6.574;22.364;-15.205;8.025;30.195;-13.156;8.316;33.726;-10.874;8.746;36.173;-9.543;8.930;37.871;-17.200;7.598;22.052;-14.828;10.221;29.266;-12.426;10.701;32.287;-10.441;10.922;34.316;-8.926;10.824;35.716;-15.850;8.482;23.633;-14.273;11.630;24.467;-12.197;12.516;25.875;-11.074;15.054;26.202;1.479;36.558;-2.737;15.583;34.144;-0.475;21.052;20.616;-1.602;27.096;5.663;-2.848;22.365;6.108;8.984;16.935;6.230;23.491;16.930;4.521;24.539;14.087;2.378;30.347;12.595;1.125;32.581;11.027;0.233;34.202;9.862;-0.407;35.271;16.830;5.423;24.648;14.370;4.839;30.900;11.688;3.937;34.268;9.226;3.232;36.388;7.572;2.902;37.636;15.965;6.614;24.580;14.001;7.112;31.553;11.473;6.630;35.453;9.120;6.162;37.302;7.335;5.912;38.538;15.884;7.514;24.403;13.294;9.556;31.159;11.232;9.867;34.421;9.429;9.593;36.262;7.684;9.366;37.630;15.094;8.359;24.769;14.100;11.733;26.279;13.046;13.510;28.681;12.433;16.192;28.636;0.000;0.000;0.000;-7.723;-12.162;-1.029;-10.297;-32.973;-0.010;-13.319;-57.404;1.186;-12.953;-101.583;-6.687;7.484;-12.442;-1.266;9.307;-33.202;-0.245;11.448;-57.572;0.953;10.926;-101.863;-8.190
1447.000;57.880;0.085;7.163;-0.198;0.087;13.908;-0.375;-0.009;25.842;-0.680;-0.316;41.722;-1.429;-0.419;46.056;1.619;-0.110;52.628;2.682;-6.951;56.597;4.070;6.722;56.834;2.354;-2.484;58.704;11.035;4.045;58.818;10.216;-1.740;36.493;-2.816;-15.788;34.529;-1.604;-21.287;21.658;-2.612;-27.364;7.431;-3.725;-22.957;7.139;8.259;-18.068;6.782;22.304;-19.076;5.565;23.468;-16.610;4.270;30.497;-15.818;4.606;32.848;-15.384;4.507;35.394;-15.005;4.816;36.993;-18.880;6.382;23.367;-16.797;6.914;30.561;-15.372;7.733;34.317;-14.336;8.450;37.024;-13.681;8.906;38.907;-17.745;7.342;22.626;-15.903;9.235;30.476;-14.511;9.823;34.246;-13.282;10.533;37.315;-12.641;10.955;39.340;-17.654;8.333;22.186;-14.930;11.155;29.308;-13.057;11.795;32.682;-11.866;12.344;35.183;-11.093;12.492;37.092;-16.191;9.167;23.905;-13.343;11.512;24.449;-11.028;11.919;25.527;-9.399;14.111;24.934;1.482;36.564;-2.636;15.580;34.041;-0.401;21.153;20.543;-1.334;27.312;5.624;-2.364;22.975;6.499;9.458;18.172;7.289;23.989;18.697;5.804;25.149;16.558;2.829;30.922;16.166;1.147;33.262;15.784;-0.309;35.136;15.440;-1.324;36.463;18.282;6.615;25.219;15.695;5.214;31.327;14.061;3.811;35.108;12.921;2.735;38.017;12.084;2.095;39.831;17.066;7.498;24.953;14.478;7.274;31.950;12.899;6.465;36.243;11.535;5.680;38.821;10.475;5.203;40.672;16.693;8.313;24.743;12.941;9.244;31.471;11.153;9.086;34.912;9.927;8.550;37.181;8.775;8.095;39.034;15.638;8.853;25.185;13.379;11.670;26.424;11.784;13.432;28.382;10.665;15.871;27.774;0.000;0.000;0.000;-7.722;-12.163;-1.022;-10.298;-32.976;0.017;-13.321;-57.409;1.237;-12.957;-101.589;-6.634;7.485;-12.442;-1.259;9.307;-33.203;-0.219;11.446;-57.575;1.002;10.913;-101.867;-8.134
1448.000;57.920;0.081;7.158;-0.196;0.077;13.899;-0.353;-0.032;25.826;-0.597;-0.307;41.706;-1.367;-0.399;46.060;1.704;-0.082;52.648;2.809;-6.921;56.623;4.191;6.750;56.853;2.461;-2.448;58.753;11.144;4.081;58.863;10.318;-1.745;36.478;-2.744;-15.768;34.589;-1.488;-21.881;21.969;-2.116;-28.637;8.020;-2.809;-24.539;8.379;9.226;-19.973;8.848;23.300;-21.389;8.154;24.502;-20.418;7.856;31.982;-20.319;8.671;34.245;-20.724;9.458;36.720;-20.889;10.313;38.147;-20.860;8.781;24.295;-19.297;10.054;31.532;-18.377;11.512;35.203;-18.381;13.175;37.631;-18.411;14.225;39.386;-19.633;9.248;23.640;-17.617;12.047;31.135;-16.737;13.568;34.887;-16.399;15.446;37.642;-16.413;16.666;39.430;-19.081;9.991;23.014;-15.994;13.191;29.896;-14.542;14.715;33.200;-13.886;16.216;35.498;-13.593;17.148;37.317;-17.428;10.564;24.764;-13.778;11.432;25.507;-11.494;11.078;26.367;-9.230;12.293;25.267;1.477;36.542;-2.571;15.552;34.041;-0.370;21.700;20.742;-0.723;28.495;6.043;-1.114;24.410;7.516;10.664;19.996;9.250;25.124;21.126;8.327;26.355;20.983;5.559;32.559;22.098;4.348;34.929;23.090;3.330;36.881;23.743;2.615;38.285;20.418;8.903;26.402;19.077;7.251;32.885;19.242;5.865;36.900;19.998;5.510;40.101;20.307;5.267;42.161;18.923;9.169;26.179;17.070;8.716;33.445;16.737;8.229;37.947;16.683;8.173;40.980;16.572;8.236;43.162;18.227;9.720;25.935;14.857;9.772;32.967;13.722;9.482;36.638;13.297;9.270;39.250;12.908;9.177;41.443;17.039;9.870;26.481;13.900;11.584;27.583;11.855;12.991;29.305;9.880;14.659;28.362;0.000;0.000;0.000;-7.718;-12.167;-1.006;-10.294;-32.979;0.065;-13.319;-57.410;1.323;-12.962;-101.589;-6.524;7.489;-12.440;-1.255;9.313;-33.197;-0.186;11.454;-57.565;1.068;10.912;-101.862;-8.021
