Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
917.000;36.680;0.046;7.229;-0.207;0.012;14.037;-0.334;-0.144;26.084;-0.472;-0.476;41.974;-0.938;-0.614;46.196;2.243;-0.337;52.612;3.659;-7.222;56.598;4.752;6.508;56.809;3.569;-3.027;58.749;11.871;3.529;58.849;11.306;-1.879;36.769;-2.430;-15.911;34.757;-1.399;-21.209;21.872;-3.068;-27.065;7.631;-4.914;-22.342;4.130;6.758;-17.004;-0.024;20.431;-17.334;-1.827;20.965;-14.453;-4.590;27.334;-13.268;-4.896;29.482;-11.199;-5.135;31.138;-9.941;-4.937;32.222;-17.473;-1.015;21.160;-15.810;-2.441;28.301;-13.339;-2.206;31.650;-10.886;-1.780;33.323;-9.069;-1.580;34.240;-16.820;0.239;21.047;-15.927;0.072;28.926;-13.677;0.109;32.349;-10.859;0.343;34.212;-8.993;0.407;35.308;-17.102;1.261;20.947;-15.922;2.513;28.610;-13.531;2.646;31.579;-11.046;2.596;32.943;-9.100;2.310;33.570;-16.261;1.956;22.571;-15.849;5.035;24.340;-14.280;5.925;26.445;-13.753;8.111;28.104;1.341;36.842;-2.223;15.436;34.463;0.090;20.945;21.038;-1.625;27.034;6.201;-3.521;21.473;4.670;7.989;15.117;2.509;22.102;15.012;0.709;23.063;12.829;-1.452;29.095;11.368;-2.675;31.436;9.656;-3.410;33.008;8.352;-3.884;34.000;14.955;1.609;23.209;13.407;0.954;29.680;11.003;0.120;33.285;8.266;-0.367;35.151;6.448;-0.513;36.187;14.257;2.871;23.289;13.177;3.255;30.336;10.773;2.839;34.326;8.142;2.506;35.855;6.138;2.375;36.719;14.234;3.779;23.137;12.581;5.828;29.937;10.400;6.443;33.100;8.521;6.368;34.862;6.710;6.258;36.157;13.638;4.584;23.589;12.758;7.944;25.114;11.584;9.526;27.678;10.757;12.146;27.837;0.000;0.000;0.000;-7.649;-12.211;-1.000;-9.871;-32.976;-0.065;-12.480;-57.352;1.032;-11.201;-101.594;-6.663;7.560;-12.406;-1.165;9.368;-33.114;0.085;11.490;-57.424;1.554;10.833;-101.905;-7.434
918.000;36.720;0.046;7.230;-0.207;0.012;14.039;-0.332;-0.145;26.088;-0.463;-0.472;41.978;-0.932;-0.607;46.199;2.249;-0.325;52.610;3.669;-7.204;56.602;4.775;6.524;56.802;3.563;-2.992;58.751;11.885;3.563;58.847;11.306;-1.878;36.773;-2.422;-15.912;34.777;-1.384;-21.216;21.891;-3.054;-27.078;7.648;-4.899;-22.344;4.148;6.770;-16.992;-0.003;20.439;-17.323;-1.805;20.974;-14.451;-4.576;27.342;-13.236;-4.860;29.477;-11.184;-5.115;31.144;-9.924;-4.928;32.228;-17.462;-0.993;21.169;-15.793;-2.423;28.310;-13.304;-2.179;31.650;-10.850;-1.754;33.311;-9.042;-1.572;34.250;-16.804;0.273;21.055;-15.906;0.125;28.931;-13.669;0.113;32.364;-10.831;0.369;34.214;-8.969;0.417;35.319;-17.085;1.294;20.954;-15.896;2.530;28.618;-13.515;2.672;31.588;-11.024;2.629;32.949;-9.074;2.339;33.562;-16.130;1.986;22.618;-15.831;5.056;24.340;-14.254;5.940;26.448;-13.717;8.126;28.104;1.343;36.845;-2.216;15.439;34.463;0.093;20.949;21.038;-1.623;27.039;6.200;-3.519;21.478;4.677;7.992;15.132;2.530;22.103;15.007;0.714;23.061;12.822;-1.433;29.100;11.354;-2.667;31.435;9.640;-3.398;32.998;8.334;-3.891;33.979;14.949;1.614;23.205;13.414;0.978;29.689;10.981;0.113;33.271;8.246;-0.351;35.135;6.415;-0.504;36.148;14.267;2.883;23.284;13.167;3.272;30.333;10.752;2.856;34.313;8.122;2.512;35.841;6.117;2.394;36.703;14.245;3.791;23.132;12.566;5.837;29.940;10.391;6.465;33.093;8.500;6.386;34.862;6.701;6.283;36.174;13.633;4.597;23.588;12.751;7.959;25.109;11.566;9.541;27.673;10.744;12.162;27.835;0.000;0.000;0.000;-7.648;-12.211;-0.999;-9.871;-32.978;-0.067;-12.480;-57.356;1.027;-11.203;-101.597;-6.674;7.561;-12.405;-1.165;9.367;-33.115;0.082;11.488;-57.425;1.545;10.827;-101.906;-7.438
919.000;36.760;0.046;7.232;-0.204;0.012;14.043;-0.326;-0.142;26.094;-0.452;-0.471;41.984;-0.919;-0.604;46.202;2.263;-0.319;52.610;3.687;-7.192;56.605;4.812;6.532;56.797;3.566;-2.962;58.749;11.912;3.592;58.840;11.317;-1.876;36.779;-2.409;-15.911;34.782;-1.367;-21.219;21.896;-3.036;-27.085;7.653;-4.881;-22.337;4.165;6.783;-16.969;0.026;20.449;-17.305;-1.773;20.989;-14.428;-4.546;27.353;-13.214;-4.817;29.503;-11.152;-5.077;31.159;-9.893;-4.885;32.243;-17.451;-0.963;21.183;-15.761;-2.397;28.322;-13.293;-2.146;31.669;-10.836;-1.731;33.330;-9.023;-1.519;34.252;-16.782;0.306;21.063;-15.890;0.149;28.949;-13.652;0.179;32.376;-10.808;0.407;34.215;-8.947;0.461;35.321;-17.068;1.327;20.963;-15.868;2.570;28.625;-13.487;2.698;31.593;-11.011;2.648;32.951;-9.050;2.412;33.556;-16.188;2.018;22.622;-15.804;5.087;24.344;-14.231;5.968;26.464;-13.674;8.162;28.103;1.344;36.851;-2.204;15.441;34.471;0.096;20.957;21.049;-1.616;27.054;6.214;-3.508;21.495;4.700;8.002;15.141;2.564;22.114;15.019;0.755;23.076;12.859;-1.397;29.109;11.378;-2.634;31.441;9.648;-3.369;32.998;8.336;-3.858;33.973;14.966;1.656;23.220;13.430;1.008;29.699;10.996;0.165;33.283;8.239;-0.313;35.124;6.409;-0.466;36.137;14.277;2.902;23.303;13.186;3.324;30.345;10.781;2.907;34.330;8.147;2.553;35.855;6.144;2.430;36.719;14.251;3.809;23.147;12.574;5.889;29.946;10.419;6.498;33.108;8.545;6.431;34.877;6.731;6.324;36.168;13.600;4.612;23.560;12.764;7.993;25.122;11.586;9.578;27.686;10.755;12.198;27.826;0.000;0.000;0.000;-7.648;-12.211;-1.004;-9.873;-32.977;-0.072;-12.485;-57.354;1.022;-11.215;-101.595;-6.678;7.561;-12.404;-1.170;9.367;-33.113;0.077;11.487;-57.423;1.540;10.816;-101.904;-7.437
920.000;36.800;0.046;7.234;-0.203;0.014;14.046;-0.323;-0.138;26.101;-0.445;-0.468;41.991;-0.919;-0.598;46.208;2.261;-0.308;52.613;3.686;-7.178;56.609;4.832;6.543;56.797;3.550;-2.929;58.746;11.922;3.624;58.836;11.310;-1.873;36.785;-2.407;-15.909;34.786;-1.354;-21.220;21.901;-3.021;-27.091;7.660;-4.862;-22.327;4.192;6.802;-16.940;0.077;20.467;-17.262;-1.730;21.004;-14.386;-4.497;27.368;-13.189;-4.737;29.531;-11.128;-5.010;31.173;-9.851;-4.800;32.232;-17.394;-0.917;21.195;-15.733;-2.331;28.345;-13.253;-2.071;31.684;-10.785;-1.651;33.335;-8.976;-1.436;34.264;-16.752;0.369;21.079;-15.849;0.212;28.958;-13.611;0.239;32.388;-10.747;0.506;34.212;-8.897;0.542;35.337;-17.040;1.390;20.980;-15.833;2.635;28.637;-13.469;2.765;31.609;-10.964;2.727;32.955;-9.021;2.447;33.593;-16.163;2.067;22.615;-15.783;5.149;24.358;-14.207;6.031;26.478;-13.650;8.233;28.107;1.347;36.857;-2.204;15.445;34.480;0.091;20.965;21.057;-1.621;27.066;6.222;-3.512;21.502;4.730;7.998;15.141;2.618;22.110;15.038;0.816;23.076;12.878;-1.324;29.119;11.392;-2.573;31.443;9.666;-3.317;32.995;8.347;-3.801;33.963;14.982;1.718;23.218;13.439;1.092;29.703;11.015;0.218;33.285;8.252;-0.234;35.115;6.417;-0.385;36.119;14.307;2.939;23.303;13.209;3.390;30.342;10.806;2.977;34.334;8.176;2.650;35.859;6.165;2.519;36.705;14.272;3.845;23.142;12.599;5.957;29.942;10.452;6.578;33.115;8.567;6.516;34.883;6.765;6.406;36.188;13.677;4.680;23.566;12.781;8.057;25.114;11.598;9.648;27.670;10.781;12.271;27.824;0.000;0.000;0.000;-7.647;-12.212;-1.006;-9.872;-32.976;-0.073;-12.484;-57.352;1.021;-11.215;-101.594;-6.676;7.562;-12.404;-1.172;9.368;-33.112;0.073;11.488;-57.422;1.535;10.819;-101.906;-7.441
921.000;36.840;0.046;7.235;-0.202;0.014;14.048;-0.320;-0.135;26.105;-0.439;-0.462;41.995;-0.913;-0.590;46.210;2.268;-0.296;52.611;3.697;-7.159;56.613;4.862;6.559;56.790;3.543;-2.889;58.745;11.941;3.662;58.830;11.311;-1.870;36.789;-2.400;-15.906;34.790;-1.339;-21.222;21.910;-3.010;-27.098;7.675;-4.857;-22.315;4.256;6.807;-16.903;0.199;20.475;-17.223;-1.606;21.019;-14.337;-4.351;27.391;-13.158;-4.612;29.557;-11.089;-4.860;31.191;-9.801;-4.646;32.236;-17.359;-0.792;21.208;-15.702;-2.178;28.355;-13.216;-1.934;31.693;-10.743;-1.492;33.346;-8.927;-1.289;34.266;-16.725;0.488;21.089;-15.803;0.360;28.962;-13.563;0.397;32.388;-10.699;0.674;34.193;-8.852;0.699;35.322;-17.014;1.510;20.989;-15.796;2.775;28.637;-13.432;2.927;31.607;-10.928;2.854;32.960;-8.964;2.662;33.566;-16.121;2.200;22.634;-15.751;5.279;24.360;-14.166;6.168;26.460;-13.619;8.360;28.105;1.351;36.861;-2.198;15.451;34.481;0.089;20.973;21.058;-1.627;27.076;6.222;-3.523;21.520;4.769;7.993;15.168;2.709;22.114;15.056;0.909;23.081;12.901;-1.233;29.129;11.431;-2.478;31.463;9.681;-3.231;32.990;8.341;-3.702;33.935;15.000;1.810;23.221;13.472;1.193;29.713;11.040;0.333;33.295;8.235;-0.135;35.079;6.386;-0.271;36.059;14.323;3.012;23.314;13.229;3.504;30.348;10.836;3.080;34.341;8.204;2.752;35.855;6.185;2.632;36.683;14.281;3.917;23.150;12.633;6.068;29.938;10.481;6.682;33.116;8.600;6.603;34.892;6.810;6.500;36.216;13.686;4.776;23.575;12.793;8.152;25.109;11.613;9.747;27.663;10.771;12.364;27.799;0.000;0.000;0.000;-7.645;-12.212;-1.007;-9.871;-32.979;-0.072;-12.483;-57.357;1.026;-11.216;-101.597;-6.669;7.564;-12.403;-1.173;9.370;-33.112;0.071;11.489;-57.423;1.532;10.820;-101.906;-7.446
922.000;36.880;0.044;7.236;-0.199;0.012;14.050;-0.314;-0.138;26.109;-0.426;-0.469;41.999;-0.896;-0.595;46.212;2.285;-0.294;52.610;3.716;-7.154;56.613;4.897;6.561;56.789;3.547;-2.868;58.745;11.966;3.682;58.829;11.322;-1.876;36.793;-2.384;-15.910;34.782;-1.313;-21.232;21.912;-3.017;-27.113;7.688;-4.900;-22.300;4.404;6.778;-16.853;0.505;20.461;-17.156;-1.282;21.016;-14.241;-3.986;27.397;-13.054;-4.286;29.531;-10.976;-4.476;31.189;-9.715;-4.298;32.272;-17.295;-0.469;21.205;-15.605;-1.833;28.341;-13.128;-1.590;31.677;-10.657;-1.135;33.319;-8.840;-0.929;34.234;-16.672;0.815;21.068;-15.734;0.720;28.945;-13.490;0.783;32.364;-10.619;1.071;34.165;-8.759;1.110;35.274;-16.975;1.829;20.965;-15.749;3.107;28.615;-13.373;3.255;31.567;-10.860;3.258;32.905;-8.901;3.038;33.517;-16.090;2.519;22.616;-15.717;5.609;24.326;-14.118;6.506;26.415;-13.604;8.696;28.072;1.345;36.866;-2.183;15.446;34.489;0.098;20.976;21.068;-1.624;27.087;6.235;-3.527;21.524;4.836;7.987;15.152;2.840;22.110;15.062;1.050;23.081;12.899;-1.089;29.138;11.464;-2.375;31.462;9.670;-3.111;32.958;8.317;-3.582;33.883;15.004;1.951;23.218;13.497;1.332;29.720;11.043;0.463;33.298;8.160;-0.025;34.993;6.297;-0.145;35.948;14.337;3.169;23.301;13.227;3.650;30.347;10.892;3.225;34.364;8.261;2.879;35.903;6.247;2.768;36.746;14.301;4.075;23.136;12.637;6.196;29.940;10.476;6.790;33.126;8.605;6.683;34.904;6.825;6.553;36.239;13.673;4.915;23.548;12.767;8.293;25.104;11.565;9.880;27.638;10.700;12.488;27.787;0.000;0.000;0.000;-7.641;-12.214;-1.013;-9.868;-32.977;-0.077;-12.482;-57.351;1.023;-11.219;-101.594;-6.671;7.568;-12.400;-1.177;9.371;-33.109;0.067;11.488;-57.420;1.527;10.814;-101.900;-7.452
923.000;36.920;0.046;7.235;-0.197;0.013;14.048;-0.311;-0.141;26.105;-0.419;-0.478;41.995;-0.884;-0.598;46.207;2.298;-0.289;52.604;3.728;-7.143;56.613;4.925;6.569;56.777;3.539;-2.836;58.745;11.982;3.712;58.824;11.320;-1.884;36.789;-2.372;-15.919;34.759;-1.271;-21.258;21.903;-3.034;-27.158;7.694;-4.983;-22.257;4.779;6.712;-16.698;1.302;20.424;-16.952;-0.457;20.986;-13.959;-3.147;27.350;-12.804;-3.417;29.498;-10.737;-3.588;31.143;-9.467;-3.334;32.201;-17.119;0.349;21.181;-15.405;-1.008;28.303;-12.931;-0.745;31.645;-10.469;-0.247;33.285;-8.648;0.004;34.181;-16.588;1.629;21.024;-15.580;1.555;28.909;-13.232;1.662;32.249;-10.422;2.022;34.076;-8.558;2.134;35.174;-16.921;2.628;20.927;-15.676;3.945;28.585;-13.295;4.175;31.542;-10.781;4.220;32.895;-8.843;4.005;33.573;-16.024;3.346;22.570;-15.721;6.449;24.324;-14.166;7.381;26.418;-13.693;9.580;28.076;1.337;36.863;-2.174;15.444;34.480;0.100;20.979;21.066;-1.646;27.096;6.241;-3.576;21.521;5.007;7.940;15.128;3.211;22.073;15.054;1.417;23.040;12.895;-0.725;29.098;11.466;-2.020;31.416;9.640;-2.771;32.862;8.250;-3.249;33.729;14.994;2.319;23.174;13.499;1.693;29.689;11.005;0.791;33.229;8.026;0.317;34.751;6.133;0.168;35.642;14.302;3.546;23.261;13.254;4.042;30.324;11.102;3.539;34.437;8.503;3.182;36.042;6.497;3.047;36.899;14.262;4.451;23.099;12.617;6.565;29.913;10.514;7.031;33.141;8.637;6.860;34.934;6.867;6.691;36.277;13.639;5.279;23.535;12.671;8.644;25.102;11.390;10.166;27.628;10.455;12.745;27.832;0.000;0.000;0.000;-7.649;-12.210;-1.009;-9.870;-32.975;-0.073;-12.478;-57.352;1.027;-11.215;-101.597;-6.674;7.560;-12.404;-1.185;9.368;-33.113;0.061;11.491;-57.425;1.524;10.818;-101.902;-7.450
924.000;36.960;0.043;7.234;-0.195;0.008;14.046;-0.306;-0.151;26.101;-0.410;-0.505;41.991;-0.854;-0.624;46.198;2.331;-0.304;52.595;3.765;-7.153;56.609;4.967;6.556;56.763;3.560;-2.834;58.747;12.015;3.713;58.821;11.343;-1.906;36.786;-2.348;-15.937;34.732;-1.230;-21.307;21.900;-3.088;-27.242;7.717;-5.141;-22.183;5.580;6.590;-16.409;3.033;20.372;-16.469;1.238;20.849;-13.568;-1.413;27.198;-12.424;-1.725;29.390;-10.395;-1.882;31.053;-9.150;-1.587;32.129;-16.666;2.036;21.050;-15.095;0.613;28.191;-12.713;0.785;31.603;-10.264;1.407;33.219;-8.445;1.745;34.090;-16.364;3.333;20.984;-15.442;3.162;28.862;-13.061;3.314;32.210;-10.307;3.748;34.041;-8.424;3.977;35.086;-16.775;4.315;20.909;-15.702;5.536;28.614;-13.475;5.725;31.703;-11.041;5.918;33.137;-9.110;5.777;33.855;-15.865;5.082;22.597;-15.715;8.077;24.550;-14.252;8.981;26.722;-13.951;11.119;28.496;1.315;36.863;-2.151;15.430;34.486;0.118;20.975;21.097;-1.671;27.104;6.300;-3.649;21.482;5.456;7.861;15.005;4.142;22.009;14.962;2.361;22.966;12.913;0.143;29.015;11.497;-1.214;31.291;9.588;-1.927;32.655;8.143;-2.386;33.437;14.890;3.262;23.105;13.528;2.557;29.651;10.789;1.510;32.987;7.643;1.052;34.086;5.643;0.933;34.706;14.227;4.390;23.230;13.245;4.901;30.289;11.261;4.279;34.454;8.705;3.856;36.120;6.719;3.652;37.009;14.146;5.292;23.063;12.530;7.383;29.931;10.502;7.583;33.228;8.733;7.278;35.054;6.972;7.008;36.393;13.440;6.166;23.500;12.280;9.405;25.267;10.915;10.684;27.885;9.740;13.133;28.327;0.000;0.000;0.000;-7.644;-12.213;-1.010;-9.867;-32.977;-0.075;-12.478;-57.353;1.023;-11.225;-101.596;-6.684;7.565;-12.400;-1.190;9.373;-33.112;0.054;11.494;-57.425;1.516;10.815;-101.903;-7.462
925.000;37.000;0.042;7.241;-0.191;0.007;14.060;-0.299;-0.148;26.125;-0.399;-0.510;42.017;-0.798;-0.629;46.210;2.401;-0.307;52.591;3.866;-7.156;56.608;5.064;6.552;56.760;3.648;-2.833;58.760;12.105;3.714;58.833;11.429;-1.909;36.815;-2.307;-15.935;34.758;-1.196;-21.331;21.942;-3.110;-27.295;7.776;-5.225;-22.096;6.872;6.499;-16.134;5.789;20.305;-16.053;4.049;20.798;-12.956;1.583;27.139;-11.838;1.067;29.296;-9.894;0.871;31.027;-8.674;1.116;32.143;-16.297;4.833;21.000;-14.549;3.538;28.119;-12.321;3.554;31.622;-9.811;4.325;33.121;-7.993;4.806;33.925;-16.173;6.112;20.893;-15.081;6.091;28.835;-12.834;6.182;32.295;-10.036;6.868;34.045;-8.181;7.232;35.103;-16.658;7.082;20.829;-15.545;8.420;28.574;-13.689;8.681;31.858;-11.349;9.065;33.450;-9.474;9.102;34.315;-15.672;7.905;22.529;-15.541;10.920;24.546;-14.005;11.840;26.656;-13.578;13.953;28.435;1.312;36.893;-2.110;15.420;34.543;0.137;20.987;21.191;-1.640;27.141;6.434;-3.604;21.388;6.326;7.842;14.703;5.920;21.950;14.701;4.215;22.910;12.791;1.870;28.911;11.407;0.456;31.159;9.506;-0.264;32.484;8.025;-0.722;33.195;14.667;5.113;23.076;13.451;4.284;29.613;10.468;3.084;32.697;7.153;2.644;33.271;5.076;2.551;33.545;13.988;6.145;23.207;13.233;6.610;30.259;11.460;5.782;34.491;8.951;5.313;36.225;6.999;5.092;37.183;13.903;7.048;23.048;12.498;9.067;29.991;10.662;8.954;33.381;8.950;8.496;35.248;7.243;8.117;36.629;13.167;7.887;23.551;11.656;10.902;25.547;10.277;11.848;28.356;8.799;14.094;28.939;0.000;0.000;0.000;-7.637;-12.217;-1.018;-9.861;-32.976;-0.082;-12.471;-57.347;1.016;-11.219;-101.589;-6.691;7.572;-12.395;-1.199;9.378;-33.108;0.044;11.498;-57.423;1.503;10.815;-101.904;-7.482
