Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1603.000;64.120;-0.049;7.107;-0.186;-0.105;13.792;-0.553;-0.219;25.611;-1.444;-0.600;41.441;-2.886;-0.584;45.886;0.096;-0.219;52.402;1.222;-7.090;56.440;2.204;6.650;56.560;1.131;-2.942;58.664;9.327;3.620;58.722;8.815;-2.064;36.154;-3.980;-16.129;34.285;-2.290;-21.441;21.234;-2.641;-27.312;6.809;-3.028;-21.759;6.960;8.586;-15.355;7.143;22.240;-15.905;5.625;23.116;-13.561;4.105;29.996;-12.806;4.481;32.290;-11.939;4.333;34.735;-11.249;4.681;36.218;-15.988;6.467;23.150;-14.709;6.343;30.422;-12.911;6.931;34.081;-11.135;7.427;36.410;-9.852;7.685;37.982;-15.335;7.504;22.784;-14.649;8.910;30.648;-13.004;9.281;34.359;-10.834;9.634;36.917;-9.509;9.729;38.628;-15.450;8.531;22.455;-14.299;11.214;29.860;-12.333;11.682;33.136;-10.301;11.730;35.125;-8.673;11.538;36.380;-14.333;9.379;23.966;-13.751;12.707;25.502;-12.307;14.131;27.629;-12.598;16.567;28.967;1.162;36.236;-3.933;15.334;33.760;-2.331;20.778;20.218;-3.470;26.794;5.250;-4.730;22.384;6.469;7.199;17.311;7.638;21.846;17.284;6.160;23.022;16.708;4.611;29.508;16.441;3.652;32.284;15.731;3.138;34.526;15.091;2.801;36.070;17.476;7.050;23.107;17.698;6.857;29.608;17.160;6.620;33.951;16.110;6.513;37.095;15.331;6.568;39.042;16.905;8.072;23.216;18.070;9.136;30.160;17.999;9.165;34.794;17.073;9.258;37.683;16.242;9.511;39.688;16.907;8.963;22.982;17.718;11.655;29.802;17.062;12.303;33.597;16.259;12.437;36.092;15.414;12.530;38.152;16.512;10.050;23.351;16.895;13.545;24.946;16.962;15.071;27.944;16.519;17.681;28.696;0.000;0.000;0.000;-7.504;-12.315;-0.800;-9.156;-33.184;-0.887;-11.095;-57.682;-0.988;-9.309;-101.730;-10.181;7.673;-12.257;-1.817;9.619;-33.160;-1.133;11.902;-57.699;-0.330;11.091;-102.018;-9.650
1604.000;64.160;-0.049;7.106;-0.186;-0.106;13.791;-0.553;-0.220;25.609;-1.443;-0.601;41.440;-2.883;-0.581;45.886;0.098;-0.212;52.404;1.222;-7.078;56.443;2.237;6.656;56.562;1.087;-2.890;58.679;9.333;3.669;58.735;8.785;-2.067;36.153;-3.977;-16.129;34.281;-2.275;-21.434;21.229;-2.621;-27.296;6.802;-3.004;-21.735;6.958;8.607;-15.321;7.146;22.254;-15.876;5.634;23.132;-13.511;4.111;30.015;-12.769;4.472;32.301;-11.896;4.352;34.751;-11.208;4.697;36.235;-15.959;6.475;23.167;-14.673;6.351;30.438;-12.861;6.938;34.094;-11.094;7.451;36.422;-9.796;7.722;37.979;-15.312;7.504;22.804;-14.616;8.920;30.663;-12.972;9.307;34.375;-10.816;9.663;36.929;-9.477;9.753;38.629;-15.424;8.531;22.474;-14.268;11.234;29.868;-12.303;11.700;33.149;-10.271;11.756;35.133;-8.644;11.559;36.389;-14.306;9.383;23.969;-13.714;12.713;25.512;-12.274;14.145;27.634;-12.571;16.578;28.976;1.159;36.235;-3.933;15.331;33.758;-2.345;20.776;20.216;-3.492;26.794;5.249;-4.760;22.409;6.469;7.177;17.366;7.646;21.833;17.339;6.158;23.008;16.778;4.618;29.498;16.512;3.656;32.274;15.796;3.140;34.516;15.159;2.796;36.061;17.527;7.049;23.091;17.761;6.863;29.597;17.247;6.629;33.936;16.183;6.519;37.084;15.410;6.585;39.033;16.961;8.080;23.204;18.133;9.152;30.147;18.073;9.173;34.778;17.148;9.278;37.668;16.317;9.529;39.674;16.965;8.970;22.970;17.790;11.664;29.786;17.143;12.315;33.583;16.338;12.441;36.078;15.501;12.538;38.141;16.549;10.048;23.353;16.958;13.549;24.929;17.018;15.080;27.935;16.582;17.693;28.679;0.000;0.000;0.000;-7.504;-12.315;-0.797;-9.157;-33.185;-0.886;-11.097;-57.684;-0.990;-9.316;-101.729;-10.190;7.673;-12.257;-1.821;9.615;-33.165;-1.138;11.896;-57.709;-0.337;11.090;-102.018;-9.655
1605.000;64.200;-0.049;7.106;-0.184;-0.106;13.790;-0.549;-0.220;25.608;-1.436;-0.603;41.439;-2.872;-0.580;45.885;0.111;-0.209;52.407;1.232;-7.070;56.449;2.266;6.660;56.562;1.064;-2.854;58.694;9.344;3.702;58.748;8.769;-2.070;36.152;-3.965;-16.131;34.280;-2.249;-21.430;21.225;-2.591;-27.286;6.795;-2.969;-21.715;6.954;8.638;-15.293;7.149;22.278;-15.872;5.648;23.161;-13.477;4.114;30.038;-12.739;4.473;32.316;-11.843;4.360;34.775;-11.161;4.708;36.262;-15.966;6.488;23.198;-14.637;6.353;30.461;-12.823;6.948;34.115;-11.036;7.452;36.439;-9.752;7.736;38.005;-15.285;7.498;22.830;-14.571;8.928;30.681;-12.926;9.325;34.385;-10.760;9.679;36.931;-9.425;9.754;38.635;-15.392;8.527;22.500;-14.237;11.234;29.892;-12.274;11.691;33.174;-10.234;11.767;35.148;-8.611;11.569;36.410;-14.282;9.384;23.991;-13.688;12.712;25.539;-12.254;14.144;27.670;-12.521;16.590;28.994;1.157;36.234;-3.924;15.328;33.757;-2.354;20.779;20.220;-3.512;26.805;5.259;-4.792;22.437;6.474;7.151;17.413;7.643;21.816;17.391;6.164;22.992;16.841;4.607;29.479;16.591;3.650;32.253;15.874;3.126;34.494;15.236;2.777;36.037;17.585;7.054;23.076;17.822;6.858;29.577;17.307;6.622;33.922;16.262;6.515;37.063;15.485;6.581;39.010;17.008;8.072;23.193;18.195;9.152;30.127;18.141;9.165;34.758;17.204;9.268;37.647;16.373;9.510;39.654;17.009;8.962;22.958;17.843;11.661;29.771;17.211;12.316;33.561;16.407;12.427;36.058;15.562;12.527;38.118;16.603;10.047;23.335;16.998;13.547;24.909;17.085;15.071;27.903;16.624;17.673;28.670;0.000;0.000;0.000;-7.502;-12.316;-0.794;-9.156;-33.186;-0.886;-11.097;-57.684;-0.994;-9.323;-101.729;-10.203;7.674;-12.255;-1.829;9.615;-33.165;-1.146;11.895;-57.711;-0.343;11.081;-102.006;-9.665
1606.000;64.240;-0.050;7.106;-0.184;-0.107;13.790;-0.548;-0.221;25.607;-1.435;-0.605;41.438;-2.867;-0.579;45.885;0.115;-0.206;52.407;1.235;-7.063;56.451;2.286;6.663;56.562;1.041;-2.825;58.703;9.348;3.730;58.756;8.753;-2.073;36.152;-3.960;-16.133;34.280;-2.233;-21.430;21.224;-2.564;-27.285;6.793;-2.930;-21.704;6.955;8.669;-15.269;7.151;22.302;-15.841;5.649;23.188;-13.437;4.126;30.062;-12.672;4.500;32.343;-11.788;4.366;34.791;-11.098;4.722;36.272;-15.932;6.489;23.225;-14.590;6.363;30.488;-12.769;6.963;34.134;-10.971;7.455;36.451;-9.687;7.726;38.020;-15.255;7.509;22.850;-14.527;8.934;30.708;-12.869;9.340;34.402;-10.688;9.684;36.942;-9.343;9.775;38.637;-15.373;8.533;22.522;-14.201;11.243;29.913;-12.231;11.708;33.191;-10.199;11.775;35.163;-8.563;11.582;36.408;-14.235;9.394;24.033;-13.655;12.722;25.557;-12.207;14.145;27.675;-12.490;16.579;29.019;1.154;36.234;-3.922;15.326;33.759;-2.362;20.783;20.225;-3.533;26.816;5.265;-4.827;22.458;6.472;7.121;17.448;7.632;21.791;17.431;6.156;22.970;16.881;4.598;29.459;16.628;3.635;32.231;15.921;3.105;34.470;15.289;2.767;36.018;17.625;7.045;23.054;17.865;6.837;29.553;17.360;6.602;33.895;16.316;6.499;37.040;15.527;6.573;38.981;17.042;8.071;23.164;18.234;9.145;30.105;18.179;9.156;34.734;17.243;9.248;37.623;16.409;9.499;39.628;17.046;8.962;22.930;17.895;11.647;29.747;17.266;12.298;33.540;16.468;12.415;36.034;15.634;12.530;38.098;16.674;10.042;23.322;17.041;13.536;24.887;17.130;15.060;27.879;16.670;17.663;28.645;0.000;0.000;0.000;-7.503;-12.316;-0.791;-9.157;-33.186;-0.881;-11.100;-57.684;-0.987;-9.332;-101.733;-10.195;7.673;-12.255;-1.833;9.613;-33.165;-1.153;11.892;-57.711;-0.355;11.072;-102.005;-9.670
1607.000;64.280;-0.050;7.106;-0.183;-0.107;13.791;-0.546;-0.221;25.609;-1.429;-0.608;41.440;-2.855;-0.579;45.887;0.127;-0.204;52.412;1.243;-7.057;56.459;2.311;6.665;56.564;1.027;-2.798;58.714;9.360;3.754;58.765;8.746;-2.076;36.154;-3.949;-16.133;34.280;-2.209;-21.434;21.223;-2.536;-27.293;6.792;-2.897;-21.700;6.962;8.695;-15.255;7.167;22.319;-15.814;5.650;23.207;-13.414;4.151;30.082;-12.641;4.496;32.360;-11.759;4.371;34.798;-11.042;4.727;36.266;-15.898;6.491;23.241;-14.565;6.383;30.504;-12.728;6.991;34.146;-10.929;7.495;36.457;-9.634;7.767;38.016;-15.239;7.503;22.881;-14.490;8.947;30.722;-12.819;9.358;34.410;-10.615;9.708;36.925;-9.252;9.795;38.606;-15.341;8.530;22.548;-14.160;11.256;29.927;-12.197;11.725;33.199;-10.141;11.822;35.158;-8.521;11.568;36.412;-14.206;9.401;24.045;-13.620;12.734;25.562;-12.187;14.157;27.684;-12.431;16.600;29.018;1.151;36.236;-3.914;15.326;33.762;-2.369;20.789;20.229;-3.550;26.827;5.272;-4.856;22.476;6.476;7.096;17.476;7.633;21.767;17.459;6.145;22.942;16.921;4.587;29.428;16.667;3.613;32.202;15.953;3.074;34.437;15.318;2.724;35.981;17.648;7.035;23.025;17.910;6.839;29.527;17.398;6.597;33.870;16.339;6.491;37.011;15.550;6.559;38.953;17.072;8.051;23.147;18.265;9.140;30.082;18.187;9.150;34.713;17.241;9.241;37.594;16.391;9.491;39.592;17.068;8.941;22.913;17.918;11.654;29.725;17.300;12.296;33.515;16.500;12.415;36.008;15.651;12.517;38.066;16.698;10.034;23.291;17.067;13.534;24.865;17.137;15.055;27.848;16.694;17.654;28.636;0.000;0.000;0.000;-7.503;-12.316;-0.789;-9.153;-33.186;-0.879;-11.090;-57.685;-0.984;-9.316;-101.731;-10.195;7.672;-12.255;-1.839;9.614;-33.164;-1.158;11.893;-57.709;-0.360;11.067;-102.004;-9.670
1608.000;64.320;-0.050;7.106;-0.182;-0.106;13.790;-0.546;-0.219;25.607;-1.434;-0.603;41.439;-2.858;-0.571;45.885;0.127;-0.193;52.409;1.248;-7.043;56.457;2.332;6.677;56.561;1.015;-2.767;58.713;9.370;3.784;58.763;8.741;-2.073;36.153;-3.951;-16.128;34.282;-2.206;-21.436;21.228;-2.526;-27.303;6.800;-2.880;-21.698;6.974;8.707;-15.241;7.184;22.326;-15.811;5.674;23.216;-13.394;4.165;30.086;-12.561;4.473;32.350;-11.694;4.383;34.801;-10.989;4.744;36.275;-15.905;6.514;23.250;-14.518;6.399;30.510;-12.691;7.015;34.145;-10.904;7.519;36.461;-9.590;7.806;38.001;-15.206;7.530;22.884;-14.467;8.960;30.722;-12.764;9.382;34.402;-10.539;9.716;36.905;-9.177;9.821;38.586;-15.319;8.555;22.552;-14.140;11.271;29.928;-12.156;11.743;33.193;-10.102;11.826;35.151;-8.462;11.625;36.390;-14.199;9.425;24.048;-13.595;12.753;25.565;-12.133;14.166;27.686;-12.379;16.616;29.008;1.153;36.234;-3.918;15.329;33.756;-2.379;20.796;20.226;-3.570;26.838;5.272;-4.887;22.489;6.476;7.063;17.489;7.634;21.736;17.463;6.155;22.913;16.947;4.580;29.396;16.696;3.577;32.157;15.966;3.036;34.389;15.312;2.687;35.925;17.652;7.045;22.998;17.921;6.827;29.495;17.445;6.579;33.834;16.334;6.465;36.964;15.529;6.524;38.900;17.081;8.080;23.107;18.294;9.143;30.046;18.206;9.141;34.679;17.204;9.228;37.544;16.302;9.473;39.519;17.086;8.971;22.874;17.968;11.656;29.682;17.322;12.288;33.490;16.503;12.403;35.965;15.640;12.507;38.017;16.705;10.029;23.227;17.070;13.542;24.825;17.136;15.064;27.842;16.666;17.670;28.589;0.000;0.000;0.000;-7.503;-12.316;-0.788;-9.152;-33.187;-0.883;-11.088;-57.687;-0.994;-9.318;-101.736;-10.207;7.671;-12.254;-1.846;9.614;-33.165;-1.168;11.895;-57.712;-0.371;11.065;-102.008;-9.682
1609.000;64.360;-0.050;7.105;-0.182;-0.107;13.788;-0.547;-0.220;25.603;-1.439;-0.597;41.435;-2.865;-0.560;45.883;0.122;-0.174;52.407;1.247;-7.018;56.460;2.348;6.698;56.553;1.004;-2.727;58.706;9.379;3.823;58.751;8.737;-2.070;36.150;-3.957;-16.125;34.286;-2.201;-21.445;21.236;-2.516;-27.324;6.814;-2.864;-21.706;6.994;8.716;-15.230;7.214;22.328;-15.784;5.685;23.215;-13.352;4.191;30.086;-12.538;4.552;32.358;-11.622;4.426;34.793;-10.908;4.775;36.265;-15.867;6.526;23.245;-14.512;6.438;30.511;-12.671;7.054;34.141;-10.831;7.512;36.442;-9.533;7.796;37.997;-15.208;7.553;22.887;-14.446;9.014;30.720;-12.731;9.409;34.397;-10.442;9.761;36.842;-9.034;9.830;38.486;-15.320;8.583;22.553;-14.121;11.310;29.925;-12.160;11.777;33.187;-10.086;11.841;35.132;-8.444;11.625;36.365;-14.201;9.453;24.043;-13.562;12.776;25.548;-12.114;14.182;27.676;-12.286;16.649;28.978;1.156;36.230;-3.925;15.331;33.744;-2.392;20.798;20.213;-3.589;26.841;5.257;-4.913;22.493;6.472;7.038;17.494;7.645;21.714;17.465;6.157;22.886;16.964;4.581;29.373;16.699;3.552;32.128;15.920;2.996;34.339;15.238;2.651;35.863;17.651;7.048;22.969;17.942;6.835;29.473;17.455;6.558;33.813;16.251;6.427;36.913;15.398;6.494;38.828;17.080;8.111;23.083;18.308;9.156;30.020;18.191;9.124;34.665;17.046;9.219;37.484;16.008;9.468;39.391;17.094;9.002;22.850;17.964;11.666;29.658;17.359;12.308;33.452;16.435;12.380;35.905;15.493;12.483;37.922;16.714;10.038;23.217;17.031;13.556;24.810;17.079;15.072;27.813;16.539;17.658;28.582;0.000;0.000;0.000;-7.503;-12.316;-0.788;-9.153;-33.188;-0.883;-11.089;-57.690;-0.995;-9.322;-101.737;-10.212;7.671;-12.254;-1.848;9.614;-33.164;-1.172;11.895;-57.711;-0.377;11.063;-102.011;-9.686
1610.000;64.400;-0.050;7.104;-0.182;-0.106;13.786;-0.550;-0.217;25.600;-1.450;-0.593;41.432;-2.872;-0.552;45.880;0.116;-0.157;52.406;1.240;-6.997;56.463;2.348;6.719;56.547;0.995;-2.699;58.703;9.377;3.850;58.743;8.731;-2.067;36.147;-3.964;-16.118;34.282;-2.197;-21.455;21.239;-2.512;-27.353;6.824;-2.861;-21.712;7.030;8.705;-15.206;7.289;22.298;-15.765;5.753;23.189;-13.328;4.311;30.074;-12.455;4.683;32.339;-11.438;4.522;34.716;-10.661;4.885;36.151;-15.850;6.594;23.213;-14.529;6.550;30.483;-12.726;7.132;34.138;-10.818;7.622;36.382;-9.452;7.837;37.889;-15.181;7.627;22.858;-14.461;9.131;30.681;-12.808;9.544;34.377;-10.404;9.839;36.741;-8.899;9.912;38.297;-15.302;8.651;22.516;-14.150;11.411;29.867;-12.187;11.878;33.132;-10.063;11.937;35.053;-8.425;11.695;36.286;-14.152;9.526;24.031;-13.416;12.842;25.517;-11.859;14.247;27.591;-12.010;16.754;28.817;1.159;36.227;-3.934;15.333;33.735;-2.420;20.801;20.204;-3.609;26.846;5.249;-4.923;22.507;6.476;7.035;17.519;7.670;21.724;17.473;6.156;22.883;16.976;4.563;29.357;16.655;3.490;32.099;15.760;2.955;34.269;14.966;2.610;35.739;17.646;7.050;22.966;17.967;6.837;29.475;17.374;6.493;33.800;15.906;6.397;36.799;14.872;6.478;38.622;17.099;8.102;23.104;18.304;9.181;30.027;18.011;9.076;34.672;16.555;9.175;37.352;15.250;9.433;39.087;17.105;8.993;22.870;17.986;11.652;29.638;17.307;12.250;33.426;16.206;12.245;35.826;15.096;12.324;37.757;16.732;10.048;23.223;16.858;13.590;24.854;16.665;15.025;27.912;15.905;17.507;28.827;0.000;0.000;0.000;-7.503;-12.316;-0.788;-9.154;-33.187;-0.887;-11.092;-57.688;-1.002;-9.331;-101.738;-10.214;7.671;-12.253;-1.851;9.614;-33.164;-1.178;11.895;-57.710;-0.389;11.062;-102.010;-9.701
1611.000;64.440;-0.050;7.102;-0.184;-0.106;13.782;-0.554;-0.216;25.591;-1.457;-0.599;41.425;-2.867;-0.549;45.873;0.126;-0.131;52.401;1.256;-6.971;56.459;2.363;6.744;56.543;1.009;-2.673;58.700;9.392;3.877;58.740;8.745;-2.072;36.140;-3.962;-16.115;34.261;-2.165;-21.517;21.258;-2.429;-27.487;6.885;-2.722;-21.763;7.200;8.792;-15.145;7.597;22.315;-15.743;6.050;23.211;-13.472;4.810;30.184;-12.429;5.106;32.388;-10.932;5.029;34.504;-9.810;5.487;35.656;-15.824;6.892;23.206;-14.757;7.040;30.512;-13.057;7.499;34.227;-10.758;7.965;36.122;-9.059;8.153;37.245;-15.050;7.981;22.847;-14.682;9.684;30.642;-13.108;10.069;34.400;-10.359;10.310;36.352;-8.470;10.291;37.410;-15.176;8.976;22.476;-14.296;11.910;29.751;-12.354;12.329;33.041;-10.062;12.245;34.681;-8.203;11.926;35.520;-14.106;9.857;24.058;-12.808;13.060;25.455;-10.975;14.221;27.498;-10.647;16.767;28.602;1.154;36.221;-3.935;15.326;33.736;-2.453;20.835;20.233;-3.554;26.925;5.309;-4.772;22.538;6.548;7.173;17.489;7.770;21.860;17.441;6.226;23.010;16.903;4.595;29.471;16.404;3.518;32.204;15.169;3.058;34.217;14.089;2.807;35.513;17.582;7.126;23.092;17.903;6.886;29.631;16.936;6.497;33.898;14.826;6.452;36.510;13.348;6.567;37.994;17.061;8.137;23.249;18.097;9.278;30.173;17.354;9.141;34.771;15.445;9.169;37.152;13.725;9.372;38.485;17.034;9.027;23.012;17.689;11.728;29.785;16.774;12.130;33.537;15.478;12.005;35.816;14.179;11.984;37.627;16.666;10.097;23.455;16.215;13.598;25.175;15.520;14.674;28.389;14.092;16.615;29.716;0.000;0.000;0.000;-7.503;-12.317;-0.782;-9.156;-33.187;-0.879;-11.096;-57.687;-0.992;-9.348;-101.735;-10.215;7.671;-12.254;-1.850;9.613;-33.164;-1.172;11.894;-57.710;-0.376;11.055;-102.010;-9.691
