Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
82.000;3.280;-0.280;7.346;-1.660;-0.533;14.446;-2.141;-0.964;27.244;-1.628;-1.422;43.131;-2.116;-1.035;47.308;0.991;-0.177;53.628;2.286;-6.835;57.785;3.981;6.719;57.662;1.482;-1.927;59.918;10.634;4.545;59.859;9.441;-2.982;37.913;-3.393;-16.812;35.984;-0.120;-20.895;22.543;0.608;-25.407;7.687;1.412;-21.728;8.705;13.633;-17.642;9.846;27.999;-18.172;8.398;29.035;-15.254;7.175;35.879;-14.117;7.316;38.105;-12.961;7.092;40.444;-12.198;7.137;41.931;-18.210;9.243;29.008;-16.289;9.579;36.250;-14.307;10.035;39.863;-12.807;10.487;42.366;-11.723;10.691;44.088;-17.505;10.393;28.420;-16.176;12.162;36.333;-14.602;12.491;40.127;-12.525;13.149;42.712;-11.248;13.492;44.428;-17.680;11.412;28.076;-15.879;14.414;35.367;-14.199;15.354;38.682;-12.426;15.852;40.858;-11.029;15.869;42.378;-16.486;12.321;29.641;-15.753;15.702;30.690;-14.398;17.231;32.314;-14.232;19.972;32.826;0.238;37.999;-3.601;14.574;35.481;-2.697;19.277;21.659;-2.634;24.475;6.382;-2.565;22.312;7.993;9.921;20.030;9.640;25.204;20.106;8.021;26.457;19.668;7.213;33.213;19.224;6.394;36.036;17.926;5.992;38.245;17.175;5.927;39.775;20.139;8.934;26.429;20.528;9.593;33.096;20.108;9.592;37.464;18.675;9.675;40.474;17.651;9.836;42.297;19.679;10.258;26.422;20.736;11.907;33.436;20.707;12.231;38.109;19.383;12.410;40.857;18.194;12.795;42.650;19.664;11.130;26.127;20.278;14.362;32.852;19.762;15.565;36.543;18.770;15.797;38.985;17.794;16.117;40.962;19.196;12.114;26.681;19.327;15.755;27.910;19.276;17.794;30.505;19.273;20.544;30.612;0.000;0.000;0.000;-7.162;-12.163;3.061;-7.828;-29.718;13.121;-8.611;-50.326;24.931;-6.844;-95.178;34.721;7.905;-12.206;0.972;10.522;-30.256;11.458;13.594;-51.445;23.767;12.856;-95.306;34.143
83.000;3.320;-0.281;7.344;-1.662;-0.535;14.442;-2.147;-0.970;27.239;-1.639;-1.429;43.126;-2.127;-1.043;47.306;0.983;-0.187;53.632;2.281;-6.841;57.792;3.982;6.711;57.662;1.475;-1.929;59.918;10.634;4.543;59.856;9.437;-2.989;37.907;-3.404;-16.819;35.980;-0.129;-20.899;22.537;0.605;-25.410;7.678;1.416;-21.731;8.706;13.635;-17.646;9.861;27.999;-18.171;8.410;29.037;-15.266;7.193;35.883;-14.107;7.343;38.110;-12.963;7.138;40.444;-12.185;7.192;41.923;-18.209;9.255;29.008;-16.292;9.611;36.249;-14.308;10.072;39.858;-12.804;10.525;42.362;-11.723;10.734;44.086;-17.510;10.415;28.415;-16.186;12.185;36.330;-14.601;12.518;40.124;-12.521;13.186;42.711;-11.245;13.543;44.423;-17.688;11.439;28.072;-15.882;14.431;35.367;-14.205;15.375;38.680;-12.431;15.880;40.848;-11.022;15.882;42.357;-16.487;12.338;29.640;-15.762;15.729;30.695;-14.396;17.250;32.304;-14.232;19.992;32.818;0.231;37.994;-3.613;14.567;35.480;-2.706;19.274;21.660;-2.641;24.477;6.386;-2.569;22.314;7.998;9.917;20.032;9.646;25.201;20.110;8.026;26.453;19.662;7.221;33.218;19.232;6.398;36.033;17.936;5.994;38.240;17.189;5.915;39.771;20.143;8.940;26.424;20.536;9.597;33.089;20.113;9.601;37.459;18.679;9.675;40.473;17.660;9.829;42.300;19.672;10.269;26.416;20.729;11.921;33.434;20.701;12.240;38.101;19.375;12.410;40.850;18.190;12.810;42.643;19.657;11.142;26.122;20.259;14.363;32.857;19.755;15.567;36.541;18.752;15.803;38.981;17.789;16.126;40.964;19.189;12.116;26.678;19.319;15.759;27.905;19.253;17.800;30.483;19.255;20.549;30.605;0.000;0.000;0.000;-7.162;-12.162;3.068;-7.828;-29.716;13.126;-8.609;-50.324;24.933;-6.846;-95.180;34.724;7.905;-12.205;0.977;10.521;-30.254;11.461;13.592;-51.442;23.768;12.853;-95.305;34.144
84.000;3.360;-0.282;7.343;-1.662;-0.536;14.440;-2.148;-0.972;27.235;-1.641;-1.434;43.121;-2.125;-1.048;47.302;0.988;-0.189;53.628;2.289;-6.843;57.786;3.998;6.709;57.660;1.486;-1.928;59.904;10.651;4.543;59.844;9.451;-2.993;37.903;-3.403;-16.822;35.972;-0.130;-20.903;22.529;0.607;-25.413;7.671;1.422;-21.733;8.707;13.639;-17.649;9.867;28.000;-18.172;8.420;29.040;-15.262;7.201;35.888;-14.113;7.375;38.108;-12.957;7.157;40.445;-12.193;7.227;41.932;-18.209;9.264;29.011;-16.298;9.617;36.251;-14.308;10.076;39.862;-12.798;10.535;42.366;-11.738;10.739;44.103;-17.515;10.411;28.424;-16.190;12.207;36.329;-14.602;12.542;40.122;-12.533;13.200;42.714;-11.254;13.558;44.424;-17.681;11.438;28.076;-15.891;14.444;35.362;-14.212;15.390;38.674;-12.438;15.884;40.851;-11.028;15.893;42.359;-16.489;12.340;29.630;-15.753;15.730;30.695;-14.397;17.258;32.303;-14.226;20.001;32.809;0.226;37.990;-3.612;14.561;35.479;-2.708;19.273;21.660;-2.648;24.480;6.385;-2.581;22.317;7.991;9.907;20.036;9.630;25.194;20.114;8.004;26.445;19.687;7.205;33.203;19.257;6.378;36.020;17.958;5.985;38.232;17.215;5.899;39.765;20.141;8.918;26.416;20.541;9.558;33.088;20.122;9.573;37.449;18.704;9.660;40.465;17.680;9.819;42.289;19.685;10.248;26.410;20.739;11.905;33.426;20.713;12.222;38.095;19.402;12.399;40.845;18.205;12.777;42.634;19.665;11.120;26.116;20.259;14.346;32.853;19.744;15.573;36.529;18.760;15.775;38.975;17.793;16.105;40.956;19.242;12.104;26.667;19.320;15.748;27.894;19.256;17.789;30.496;19.245;20.539;30.588;0.000;0.000;0.000;-7.161;-12.162;3.069;-7.825;-29.717;13.128;-8.605;-50.324;24.937;-6.838;-95.177;34.725;7.906;-12.205;0.977;10.524;-30.255;11.462;13.598;-51.444;23.771;12.864;-95.302;34.149
85.000;3.400;-0.281;7.342;-1.663;-0.536;14.438;-2.150;-0.974;27.231;-1.646;-1.437;43.118;-2.127;-1.051;47.299;0.988;-0.194;53.625;2.294;-6.849;57.781;4.004;6.703;57.658;1.495;-1.936;59.895;10.659;4.535;59.837;9.461;-2.996;37.900;-3.406;-16.827;35.967;-0.134;-20.907;22.523;0.602;-25.415;7.664;1.414;-21.736;8.715;13.630;-17.651;9.894;27.991;-18.180;8.440;29.029;-15.265;7.249;35.878;-14.124;7.402;38.097;-12.952;7.187;40.427;-12.181;7.255;41.910;-18.218;9.285;28.999;-16.299;9.650;36.243;-14.293;10.095;39.852;-12.780;10.544;42.347;-11.719;10.757;44.082;-17.518;10.435;28.414;-16.201;12.227;36.316;-14.604;12.579;40.108;-12.507;13.261;42.675;-11.230;13.597;44.392;-17.689;11.454;28.067;-15.898;14.468;35.354;-14.215;15.419;38.665;-12.445;15.908;40.842;-11.048;15.919;42.362;-16.495;12.372;29.624;-15.753;15.759;30.684;-14.383;17.283;32.296;-14.223;20.028;32.794;0.223;37.987;-3.615;14.558;35.479;-2.712;19.270;21.661;-2.653;24.478;6.387;-2.589;22.320;7.986;9.901;20.048;9.616;25.188;20.130;7.991;26.436;19.701;7.194;33.195;19.261;6.361;36.017;17.977;5.964;38.228;17.225;5.886;39.758;20.156;8.904;26.407;20.553;9.571;33.075;20.113;9.564;37.449;18.704;9.644;40.458;17.679;9.792;42.282;19.688;10.239;26.408;20.749;11.895;33.419;20.720;12.209;38.090;19.389;12.372;40.844;18.203;12.777;42.636;19.668;11.112;26.114;20.258;14.337;32.855;19.747;15.565;36.527;18.760;15.759;38.968;17.792;16.083;40.950;19.238;12.090;26.648;19.324;15.738;27.890;19.263;17.771;30.465;19.257;20.520;30.602;0.000;0.000;0.000;-7.160;-12.162;3.071;-7.823;-29.716;13.134;-8.601;-50.324;24.946;-6.831;-95.180;34.730;7.906;-12.204;0.977;10.527;-30.251;11.465;13.603;-51.437;23.775;12.873;-95.297;34.162
86.000;3.440;-0.281;7.340;-1.664;-0.536;14.434;-2.152;-0.976;27.224;-1.651;-1.440;43.110;-2.127;-1.054;47.293;0.992;-0.196;53.623;2.303;-6.853;57.776;4.010;6.699;57.660;1.506;-1.944;59.895;10.667;4.528;59.839;9.471;-2.999;37.892;-3.407;-16.828;35.958;-0.127;-20.912;22.517;0.599;-25.426;7.660;1.402;-21.738;8.746;13.609;-17.645;9.965;27.961;-18.171;8.510;29.004;-15.231;7.333;35.848;-14.049;7.508;38.043;-12.806;7.323;40.345;-12.002;7.395;41.809;-18.205;9.355;28.971;-16.292;9.718;36.215;-14.255;10.131;39.812;-12.661;10.575;42.255;-11.526;10.759;43.945;-17.527;10.522;28.375;-16.184;12.311;36.279;-14.551;12.678;40.050;-12.378;13.352;42.566;-11.067;13.682;44.258;-17.715;11.541;28.031;-15.891;14.554;35.310;-14.205;15.505;38.622;-12.437;15.995;40.806;-11.055;15.999;42.339;-16.488;12.445;29.587;-15.729;15.839;30.637;-14.348;17.349;32.238;-14.147;20.090;32.742;0.221;37.980;-3.617;14.553;35.478;-2.722;19.274;21.661;-2.661;24.492;6.389;-2.594;22.331;7.972;9.901;20.058;9.584;25.192;20.135;7.965;26.445;19.714;7.153;33.197;19.284;6.320;36.020;17.978;5.907;38.230;17.246;5.813;39.768;20.161;8.879;26.417;20.557;9.531;33.084;20.124;9.512;37.454;18.697;9.593;40.461;17.673;9.744;42.285;19.694;10.210;26.411;20.748;11.858;33.428;20.710;12.167;38.100;19.387;12.326;40.849;18.193;12.715;42.639;19.673;11.083;26.119;20.258;14.297;32.863;19.740;15.516;36.530;18.748;15.706;38.977;17.759;16.023;40.949;19.159;12.053;26.668;19.324;15.701;27.904;19.237;17.744;30.505;19.227;20.494;30.595;0.000;0.000;0.000;-7.160;-12.161;3.074;-7.821;-29.717;13.134;-8.597;-50.325;24.943;-6.826;-95.181;34.734;7.907;-12.204;0.978;10.529;-30.251;11.469;13.607;-51.436;23.783;12.880;-95.292;34.176
87.000;3.480;-0.282;7.339;-1.664;-0.539;14.433;-2.152;-0.983;27.222;-1.652;-1.458;43.108;-2.125;-1.065;47.294;1.006;-0.188;53.623;2.339;-6.847;57.779;4.031;6.706;57.659;1.525;-1.937;59.926;10.678;4.534;59.869;9.482;-3.014;37.890;-3.406;-16.834;35.960;-0.142;-20.952;22.545;0.616;-25.503;7.718;1.454;-21.777;8.926;13.633;-17.639;10.296;27.961;-18.153;8.811;29.002;-15.115;7.662;35.808;-13.795;7.888;37.896;-12.134;7.862;39.871;-10.908;8.095;40.983;-18.175;9.656;28.965;-16.275;10.055;36.196;-14.149;10.344;39.749;-11.922;10.769;41.719;-10.305;10.880;42.965;-17.490;10.906;28.347;-16.119;12.654;36.249;-14.284;12.970;39.941;-11.845;13.571;42.147;-10.131;13.772;43.454;-17.716;11.918;28.015;-15.856;14.902;35.284;-14.127;15.832;38.572;-12.329;16.305;40.725;-10.914;16.286;42.228;-16.476;12.777;29.566;-15.582;16.151;30.617;-14.108;17.596;32.225;-13.784;20.319;32.763;0.206;37.980;-3.616;14.540;35.489;-2.736;19.284;21.676;-2.665;24.528;6.409;-2.587;22.343;7.943;9.917;20.041;9.495;25.220;20.133;7.872;26.463;19.724;7.024;33.213;19.285;6.172;36.025;17.995;5.740;38.243;17.267;5.651;39.784;20.155;8.786;26.441;20.544;9.405;33.110;20.108;9.367;37.480;18.678;9.437;40.484;17.647;9.575;42.305;19.681;10.103;26.445;20.726;11.742;33.463;20.685;12.018;38.135;19.350;12.169;40.881;18.148;12.541;42.668;19.657;10.977;26.155;20.229;14.171;32.899;19.687;15.353;36.587;18.692;15.536;39.028;17.696;15.837;40.999;19.207;11.952;26.704;19.276;15.588;27.966;19.184;17.605;30.549;19.150;20.352;30.706;0.000;0.000;0.000;-7.159;-12.162;3.072;-7.825;-29.716;13.134;-8.606;-50.323;24.947;-6.841;-95.179;34.733;7.907;-12.204;0.979;10.526;-30.251;11.470;13.599;-51.437;23.786;12.865;-95.294;34.169
88.000;3.520;-0.281;7.339;-1.664;-0.537;14.432;-2.155;-0.979;27.220;-1.663;-1.465;43.106;-2.126;-1.076;47.296;1.044;-0.202;53.617;2.464;-6.858;57.799;4.104;6.692;57.640;1.588;-1.942;60.035;10.716;4.529;59.959;9.515;-3.017;37.887;-3.411;-16.822;35.973;-0.224;-21.074;22.615;0.724;-25.774;7.852;1.771;-21.964;9.552;13.842;-17.733;11.509;28.070;-18.117;9.970;29.116;-14.863;8.852;35.746;-13.273;9.072;37.668;-10.846;9.397;38.518;-9.243;9.852;38.659;-18.137;10.814;29.068;-15.970;11.241;36.260;-13.080;11.394;39.224;-10.157;11.868;39.691;-8.141;12.097;39.434;-17.565;12.110;28.469;-15.859;13.898;36.243;-13.406;14.174;39.562;-10.205;14.608;40.577;-8.063;14.647;40.895;-17.842;13.127;28.156;-15.796;16.203;35.275;-13.863;17.196;38.450;-11.975;17.697;40.533;-10.522;17.738;41.999;-16.510;14.071;29.652;-15.250;17.348;30.540;-13.374;18.401;32.143;-12.319;20.881;32.881;0.203;37.980;-3.620;14.529;35.509;-2.731;19.333;21.709;-2.651;24.643;6.457;-2.564;22.370;7.841;9.962;19.957;9.223;25.294;20.046;7.582;26.518;19.637;6.651;33.242;19.204;5.782;36.053;17.899;5.328;38.262;17.157;5.223;39.795;20.061;8.496;26.504;20.462;9.046;33.175;19.975;8.983;37.536;18.488;9.004;40.524;17.435;9.129;42.334;19.592;9.786;26.541;20.597;11.377;33.555;20.481;11.613;38.230;19.086;11.728;40.947;17.858;12.075;42.721;19.553;10.662;26.259;20.074;13.804;33.016;19.474;14.906;36.718;18.447;15.050;39.138;17.409;15.312;41.093;19.095;11.650;26.804;19.098;15.270;28.124;18.950;17.252;30.750;18.857;19.996;30.935;0.000;0.000;0.000;-7.162;-12.162;3.067;-7.828;-29.717;13.132;-8.610;-50.326;24.948;-6.841;-95.182;34.739;7.905;-12.205;0.982;10.523;-30.255;11.472;13.596;-51.444;23.787;12.860;-95.302;34.166
89.000;3.560;-0.279;7.337;-1.665;-0.528;14.429;-2.162;-0.951;27.213;-1.684;-1.455;43.099;-2.148;-1.090;47.300;1.083;-0.248;53.610;2.639;-6.905;57.824;4.189;6.646;57.616;1.681;-1.992;60.199;10.755;4.479;60.100;9.557;-2.995;37.878;-3.440;-16.791;36.025;-0.430;-21.359;22.788;1.060;-26.408;8.159;2.707;-22.374;10.988;14.467;-17.864;14.286;28.397;-18.125;12.707;29.490;-14.221;11.737;35.694;-12.337;11.942;37.308;-9.958;12.529;36.633;-8.798;13.143;35.596;-18.138;13.550;29.410;-15.159;14.157;36.325;-11.217;14.411;37.572;-8.870;14.886;35.698;-7.851;14.908;33.924;-17.779;14.951;28.785;-15.149;16.792;36.171;-11.638;16.895;38.421;-8.404;17.007;37.448;-6.557;16.786;36.339;-18.116;15.953;28.508;-15.227;19.128;35.260;-12.836;20.121;38.123;-10.752;20.632;39.945;-9.132;20.643;41.226;-16.512;16.938;29.836;-14.806;20.032;30.482;-12.423;20.670;31.866;-10.655;22.591;32.861;0.226;37.975;-3.635;14.525;35.540;-2.668;19.447;21.778;-2.580;24.886;6.567;-2.482;22.391;7.565;10.085;19.711;8.488;25.467;19.848;6.784;26.616;19.401;5.664;33.316;18.956;4.757;36.103;17.626;4.192;38.279;16.893;4.043;39.812;19.839;7.698;26.624;20.159;8.057;33.326;19.503;7.909;37.656;17.937;7.859;40.588;16.806;7.925;42.353;19.300;8.949;26.785;20.274;10.403;33.765;19.964;10.529;38.432;18.474;10.536;41.094;17.142;10.799;42.806;19.229;9.828;26.522;19.657;12.809;33.304;18.920;13.737;37.024;17.830;13.750;39.410;16.697;13.887;41.324;18.800;10.827;27.076;18.522;14.355;28.562;18.206;16.166;31.280;17.903;18.856;31.777;0.000;0.000;0.000;-7.160;-12.165;3.061;-7.830;-29.719;13.132;-8.617;-50.327;24.955;-6.851;-95.186;34.747;7.909;-12.202;0.988;10.522;-30.253;11.477;13.589;-51.443;23.791;12.850;-95.307;34.171
90.000;3.600;-0.275;7.335;-1.671;-0.511;14.425;-2.183;-0.902;27.206;-1.747;-1.398;43.090;-2.271;-1.092;47.313;1.040;-0.352;53.603;2.796;-7.023;57.823;4.270;6.527;57.612;1.757;-2.112;60.339;10.786;4.358;60.238;9.586;-2.926;37.866;-3.560;-16.729;36.180;-0.820;-21.809;23.233;1.739;-27.422;8.923;4.567;-22.932;13.447;15.586;-17.844;18.782;28.699;-18.033;17.262;29.942;-13.646;16.660;35.677;-11.499;16.962;36.834;-9.644;17.396;35.176;-9.236;17.838;33.615;-17.976;18.087;29.761;-14.273;19.179;36.058;-10.180;19.173;35.396;-9.462;19.039;32.433;-10.030;18.991;30.469;-17.695;19.439;29.099;-14.169;21.767;35.574;-10.108;21.452;36.143;-7.817;20.922;33.795;-6.965;20.297;31.905;-17.979;20.415;28.747;-14.217;24.001;34.653;-11.177;24.808;36.875;-8.719;25.208;38.162;-6.857;25.022;39.036;-16.286;21.391;29.676;-13.932;24.158;29.953;-11.291;24.423;31.087;-8.947;25.731;31.861;0.297;37.961;-3.723;14.543;35.547;-2.549;19.643;21.848;-2.430;25.279;6.707;-2.299;22.377;6.981;10.282;19.197;7.047;25.692;19.473;5.291;26.711;19.094;3.750;33.305;18.690;2.668;36.028;17.336;1.906;38.120;16.527;1.641;39.598;19.396;6.199;26.775;19.736;6.178;33.466;18.758;5.699;37.727;16.929;5.350;40.496;15.669;5.220;42.168;18.797;7.312;27.063;19.578;8.447;34.055;19.027;8.229;38.686;17.324;7.972;41.211;15.894;7.971;42.864;18.633;8.193;26.852;18.759;10.826;33.756;17.815;11.308;37.490;16.676;11.016;39.794;15.391;10.848;41.607;18.016;9.117;27.366;17.300;12.399;29.397;16.673;13.753;32.340;15.867;16.177;33.363;0.000;0.000;0.000;-7.160;-12.168;3.048;-7.841;-29.721;13.124;-8.641;-50.327;24.953;-6.877;-95.193;34.743;7.913;-12.198;1.006;10.515;-30.253;11.486;13.569;-51.449;23.788;12.821;-95.312;34.172
