Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
302.000;12.080;0.058;7.171;-0.251;0.075;13.923;-0.475;0.057;25.870;-0.856;-0.169;41.740;-1.814;-0.238;46.067;1.251;0.102;52.528;2.491;-6.716;56.576;3.758;6.967;56.675;2.107;-2.269;58.802;10.698;4.266;58.849;9.909;-1.628;36.501;-3.125;-15.809;34.608;-1.868;-20.567;21.315;-2.371;-25.825;6.622;-2.928;-22.467;6.346;9.508;-18.694;5.968;24.130;-19.175;4.311;24.831;-16.792;2.234;31.579;-16.272;2.339;33.893;-15.703;2.074;36.472;-15.356;2.261;38.098;-19.302;5.139;24.948;-17.926;4.338;32.254;-16.496;4.703;36.068;-15.463;5.070;38.797;-14.670;5.210;40.677;-18.818;6.358;24.665;-18.046;6.864;32.817;-16.910;7.029;36.698;-15.530;7.204;39.754;-14.784;7.262;41.787;-19.036;7.441;24.493;-17.936;9.186;32.350;-16.624;9.483;35.992;-15.608;9.613;38.563;-14.686;9.460;40.404;-17.776;8.154;26.227;-17.620;11.314;28.156;-16.431;12.794;30.274;-17.442;15.190;31.295;1.596;36.556;-2.960;15.755;34.098;-0.675;20.578;20.352;-0.949;25.909;5.159;-1.252;21.510;6.652;10.643;16.505;8.180;25.259;16.631;6.647;26.451;15.391;5.224;32.925;14.480;4.341;35.630;12.896;3.896;37.455;11.655;3.584;38.584;16.643;7.560;26.505;16.100;7.599;33.106;14.680;7.159;37.243;12.543;6.850;39.777;11.064;6.739;41.260;15.817;8.634;26.554;16.034;9.985;33.588;15.004;9.842;38.163;13.000;9.728;40.450;11.259;9.647;41.769;15.741;9.513;26.292;15.379;12.410;33.146;14.453;12.981;36.815;13.023;12.835;38.985;11.520;12.716;40.626;15.166;10.401;26.610;14.883;13.877;28.311;14.835;15.696;31.007;14.505;18.413;31.287;0.000;0.000;0.000;-7.648;-12.217;-0.925;-9.765;-33.067;-0.003;-12.251;-57.543;1.079;-10.810;-101.746;-6.573;7.561;-12.405;-1.170;9.179;-33.241;0.069;11.079;-57.701;1.523;10.082;-102.062;-7.401
303.000;12.120;0.059;7.173;-0.249;0.076;13.927;-0.471;0.059;25.877;-0.847;-0.168;41.747;-1.809;-0.238;46.071;1.251;0.100;52.526;2.489;-6.719;56.572;3.754;6.964;56.675;2.108;-2.275;58.797;10.696;4.260;58.847;9.910;-1.625;36.507;-3.119;-15.806;34.612;-1.867;-20.557;21.316;-2.370;-25.808;6.621;-2.926;-22.440;6.364;9.506;-18.655;6.009;24.124;-19.142;4.357;24.827;-16.747;2.294;31.571;-16.211;2.406;33.885;-15.646;2.142;36.462;-15.290;2.336;38.084;-19.267;5.185;24.943;-17.867;4.391;32.249;-16.448;4.761;36.057;-15.397;5.136;38.785;-14.624;5.266;40.674;-18.757;6.448;24.651;-18.005;6.927;32.806;-16.859;7.086;36.686;-15.476;7.261;39.748;-14.739;7.319;41.784;-19.002;7.500;24.484;-17.885;9.245;32.336;-16.580;9.554;35.976;-15.566;9.688;38.550;-14.653;9.528;40.395;-17.730;8.198;26.207;-17.580;11.362;28.142;-16.392;12.850;30.241;-17.400;15.245;31.270;1.598;36.563;-2.954;15.757;34.104;-0.665;20.584;20.361;-0.944;25.919;5.171;-1.252;21.518;6.678;10.636;16.510;8.221;25.245;16.634;6.685;26.435;15.385;5.277;32.913;14.471;4.407;35.623;12.884;3.957;37.446;11.649;3.662;38.585;16.646;7.597;26.486;16.109;7.648;33.089;14.685;7.222;37.235;12.541;6.909;39.766;11.064;6.810;41.252;15.820;8.695;26.533;16.034;10.035;33.574;14.990;9.889;38.144;13.003;9.791;40.443;11.247;9.720;41.743;15.751;9.576;26.271;15.387;12.476;33.131;14.459;13.044;36.803;13.034;12.901;38.967;11.543;12.798;40.621;15.195;10.454;26.600;14.905;13.931;28.289;14.875;15.760;30.979;14.549;18.478;31.255;0.000;0.000;0.000;-7.648;-12.217;-0.929;-9.769;-33.067;-0.009;-12.257;-57.543;1.072;-10.821;-101.744;-6.582;7.560;-12.406;-1.169;9.176;-33.243;0.068;11.073;-57.703;1.520;10.071;-102.060;-7.418
304.000;12.160;0.059;7.174;-0.249;0.078;13.929;-0.470;0.062;25.880;-0.841;-0.164;41.750;-1.806;-0.234;46.072;1.252;0.103;52.525;2.487;-6.717;56.569;3.752;6.967;56.676;2.111;-2.275;58.792;10.697;4.259;58.843;9.913;-1.621;36.510;-3.116;-15.803;34.617;-1.867;-20.551;21.321;-2.373;-25.798;6.624;-2.931;-22.428;6.385;9.498;-18.641;6.050;24.114;-19.130;4.399;24.820;-16.731;2.336;31.568;-16.199;2.470;33.878;-15.627;2.200;36.459;-15.263;2.383;38.081;-19.257;5.227;24.936;-17.837;4.452;32.241;-16.427;4.815;36.046;-15.393;5.186;38.781;-14.605;5.337;40.662;-18.745;6.482;24.641;-17.981;6.981;32.797;-16.841;7.130;36.677;-15.466;7.306;39.730;-14.707;7.365;41.758;-18.984;7.533;24.472;-17.855;9.295;32.324;-16.555;9.603;35.960;-15.548;9.720;38.536;-14.625;9.576;40.377;-17.714;8.244;26.198;-17.552;11.406;28.124;-16.354;12.901;30.200;-17.357;15.288;31.252;1.602;36.566;-2.949;15.761;34.106;-0.661;20.589;20.363;-0.943;25.924;5.172;-1.253;21.520;6.700;10.630;16.508;8.268;25.234;16.627;6.733;26.429;15.374;5.337;32.904;14.456;4.469;35.613;12.876;4.036;37.442;11.640;3.725;38.576;16.643;7.646;26.480;16.110;7.704;33.077;14.692;7.291;37.227;12.536;6.990;39.751;11.060;6.874;41.236;15.826;8.740;26.521;16.031;10.087;33.562;14.987;9.950;38.130;13.000;9.858;40.427;11.252;9.798;41.738;15.758;9.620;26.259;15.401;12.521;33.119;14.474;13.104;36.783;13.037;12.958;38.952;11.549;12.863;40.608;15.209;10.501;26.590;14.922;13.982;28.272;14.891;15.816;30.952;14.571;18.535;31.229;0.000;0.000;0.000;-7.649;-12.216;-0.929;-9.772;-33.065;-0.006;-12.264;-57.540;1.077;-10.832;-101.745;-6.572;7.559;-12.406;-1.167;9.172;-33.243;0.072;11.066;-57.704;1.526;10.060;-102.062;-7.412
305.000;12.200;0.060;7.175;-0.248;0.078;13.930;-0.466;0.063;25.884;-0.830;-0.161;41.753;-1.800;-0.233;46.075;1.257;0.103;52.525;2.495;-6.719;56.567;3.760;6.966;56.676;2.123;-2.280;58.786;10.707;4.255;58.838;9.926;-1.619;36.513;-3.109;-15.802;34.622;-1.863;-20.551;21.325;-2.370;-25.800;6.629;-2.930;-22.429;6.401;9.498;-18.641;6.080;24.112;-19.125;4.429;24.823;-16.716;2.376;31.570;-16.188;2.515;33.881;-15.609;2.253;36.459;-15.244;2.440;38.080;-19.247;5.258;24.938;-17.834;4.484;32.241;-16.399;4.849;36.046;-15.375;5.258;38.779;-14.579;5.395;40.658;-18.745;6.518;24.640;-17.960;7.022;32.802;-16.809;7.193;36.674;-15.411;7.364;39.730;-14.670;7.421;41.764;-18.981;7.574;24.470;-17.846;9.332;32.321;-16.546;9.617;35.958;-15.524;9.796;38.527;-14.597;9.639;40.365;-17.729;8.280;26.187;-17.535;11.443;28.116;-16.340;12.934;30.206;-17.327;15.337;31.235;1.604;36.569;-2.941;15.761;34.109;-0.649;20.597;20.369;-0.931;25.942;5.182;-1.243;21.526;6.729;10.633;16.499;8.323;25.229;16.608;6.783;26.424;15.369;5.399;32.896;14.452;4.536;35.614;12.864;4.108;37.441;11.624;3.805;38.573;16.619;7.695;26.475;16.089;7.771;33.071;14.662;7.351;37.218;12.507;7.042;39.742;11.028;6.931;41.224;15.819;8.798;26.505;16.014;10.143;33.551;14.947;10.022;38.113;12.954;9.916;40.403;11.216;9.858;41.727;15.751;9.678;26.244;15.378;12.584;33.105;14.457;13.141;36.768;13.006;13.020;38.932;11.506;12.926;40.577;15.163;10.548;26.552;14.909;14.040;28.254;14.863;15.874;30.934;14.562;18.595;31.216;0.000;0.000;0.000;-7.649;-12.216;-0.932;-9.775;-33.064;-0.008;-12.271;-57.538;1.076;-10.843;-101.745;-6.571;7.559;-12.406;-1.164;9.170;-33.243;0.075;11.062;-57.703;1.530;10.055;-102.062;-7.408
306.000;12.240;0.061;7.176;-0.246;0.081;13.932;-0.461;0.068;25.888;-0.819;-0.153;41.757;-1.789;-0.225;46.077;1.268;0.110;52.525;2.507;-6.711;56.567;3.776;6.973;56.677;2.135;-2.270;58.783;10.723;4.265;58.836;9.939;-1.611;36.517;-3.098;-15.795;34.629;-1.850;-20.555;21.335;-2.362;-25.817;6.642;-2.927;-22.440;6.422;9.500;-18.647;6.110;24.110;-19.140;4.457;24.825;-16.722;2.409;31.575;-16.196;2.532;33.887;-15.619;2.289;36.460;-15.249;2.486;38.079;-19.260;5.287;24.938;-17.836;4.526;32.242;-16.400;4.904;36.047;-15.374;5.303;38.774;-14.576;5.447;40.652;-18.753;6.551;24.638;-17.963;7.068;32.797;-16.820;7.218;36.676;-15.397;7.403;39.731;-14.678;7.449;41.773;-18.999;7.600;24.467;-17.842;9.369;32.315;-16.553;9.674;35.954;-15.522;9.822;38.529;-14.606;9.671;40.374;-17.716;8.312;26.188;-17.528;11.482;28.111;-16.300;12.967;30.192;-17.287;15.371;31.220;1.612;36.572;-2.930;15.768;34.113;-0.638;20.616;20.376;-0.922;25.975;5.192;-1.236;21.541;6.758;10.628;16.493;8.374;25.210;16.603;6.828;26.408;15.365;5.487;32.888;14.443;4.639;35.609;12.862;4.218;37.452;11.636;3.928;38.602;16.613;7.741;26.455;16.077;7.832;33.055;14.632;7.421;37.195;12.480;7.131;39.723;11.007;7.029;41.213;15.809;8.847;26.491;15.993;10.210;33.529;14.947;10.123;38.094;12.948;10.008;40.388;11.210;9.945;41.712;15.741;9.726;26.226;15.361;12.658;33.076;14.436;13.231;36.737;12.994;13.123;38.911;11.481;13.016;40.544;15.162;10.603;26.529;14.908;14.099;28.231;14.851;15.939;30.911;14.531;18.660;31.172;0.000;0.000;0.000;-7.650;-12.215;-0.934;-9.771;-33.065;-0.015;-12.261;-57.540;1.065;-10.828;-101.747;-6.585;7.558;-12.407;-1.168;9.173;-33.244;0.070;11.069;-57.705;1.524;10.065;-102.062;-7.414
307.000;12.280;0.061;7.177;-0.245;0.083;13.935;-0.457;0.074;25.892;-0.807;-0.145;41.762;-1.771;-0.218;46.080;1.285;0.114;52.525;2.523;-6.706;56.570;3.792;6.978;56.675;2.153;-2.264;58.782;10.740;4.270;58.832;9.957;-1.604;36.523;-3.082;-15.787;34.631;-1.838;-20.560;21.341;-2.357;-25.837;6.651;-2.929;-22.461;6.440;9.498;-18.668;6.144;24.108;-19.157;4.509;24.827;-16.753;2.445;31.573;-16.204;2.559;33.890;-15.626;2.333;36.459;-15.249;2.524;38.077;-19.281;5.339;24.940;-17.857;4.567;32.241;-16.405;4.961;36.038;-15.378;5.355;38.759;-14.552;5.514;40.623;-18.784;6.565;24.641;-17.975;7.120;32.788;-16.806;7.274;36.662;-15.364;7.463;39.705;-14.634;7.510;41.744;-19.001;7.626;24.465;-17.846;9.416;32.308;-16.553;9.723;35.939;-15.504;9.897;38.508;-14.583;9.729;40.348;-17.727;8.363;26.195;-17.514;11.530;28.089;-16.269;13.016;30.149;-17.219;15.436;31.172;1.619;36.577;-2.914;15.775;34.116;-0.622;20.635;20.381;-0.911;26.006;5.199;-1.231;21.559;6.790;10.621;16.496;8.435;25.189;16.616;6.895;26.389;15.356;5.551;32.868;14.442;4.725;35.596;12.858;4.312;37.438;11.633;4.018;38.588;16.623;7.808;26.434;16.054;7.911;33.038;14.602;7.506;37.173;12.451;7.207;39.696;10.969;7.098;41.176;15.809;8.927;26.459;15.977;10.292;33.505;14.921;10.195;38.070;12.899;10.080;40.350;11.164;10.023;41.679;15.746;9.806;26.193;15.325;12.729;33.056;14.390;13.300;36.714;12.957;13.179;38.868;11.449;13.086;40.507;15.151;10.666;26.512;14.868;14.162;28.191;14.770;16.015;30.865;14.446;18.736;31.121;0.000;0.000;0.000;-7.651;-12.214;-0.936;-9.775;-33.064;-0.020;-12.269;-57.539;1.056;-10.844;-101.744;-6.593;7.557;-12.407;-1.169;9.169;-33.244;0.065;11.061;-57.705;1.513;10.048;-102.062;-7.423
308.000;12.320;0.062;7.177;-0.242;0.084;13.935;-0.450;0.079;25.892;-0.794;-0.139;41.762;-1.750;-0.211;46.079;1.308;0.122;52.526;2.545;-6.696;56.571;3.818;6.987;56.675;2.171;-2.251;58.782;10.764;4.284;58.832;9.978;-1.599;36.524;-3.063;-15.782;34.634;-1.821;-20.567;21.349;-2.352;-25.856;6.666;-2.939;-22.484;6.476;9.485;-18.698;6.203;24.092;-19.193;4.558;24.812;-16.761;2.521;31.561;-16.199;2.654;33.873;-15.618;2.412;36.439;-15.235;2.609;38.055;-19.311;5.388;24.923;-17.860;4.644;32.224;-16.398;5.036;36.017;-15.342;5.436;38.735;-14.553;5.592;40.615;-18.778;6.668;24.617;-17.974;7.184;32.770;-16.775;7.340;36.631;-15.305;7.546;39.659;-14.546;7.593;41.687;-19.019;7.719;24.446;-17.855;9.488;32.280;-16.547;9.780;35.918;-15.493;9.945;38.488;-14.599;9.787;40.343;-17.792;8.429;26.189;-17.492;11.596;28.068;-16.218;13.094;30.110;-17.158;15.541;31.078;1.624;36.578;-2.896;15.777;34.112;-0.608;20.651;20.381;-0.911;26.038;5.204;-1.246;21.579;6.820;10.596;16.499;8.501;25.152;16.615;6.964;26.360;15.378;5.656;32.846;14.467;4.824;35.577;12.906;4.432;37.438;11.681;4.124;38.585;16.620;7.877;26.403;16.062;8.007;33.003;14.614;7.609;37.142;12.469;7.323;39.670;10.990;7.211;41.152;15.802;8.980;26.428;15.985;10.377;33.461;14.926;10.303;38.030;12.937;10.204;40.331;11.187;10.147;41.639;15.729;9.857;26.159;15.326;12.825;32.994;14.408;13.397;36.664;12.961;13.288;38.829;11.464;13.201;40.477;15.152;10.730;26.463;14.832;14.233;28.140;14.715;16.099;30.786;14.350;18.816;31.030;0.000;0.000;0.000;-7.652;-12.214;-0.939;-9.774;-33.063;-0.025;-12.265;-57.539;1.048;-10.840;-101.745;-6.604;7.556;-12.407;-1.176;9.170;-33.244;0.054;11.065;-57.704;1.497;10.052;-102.061;-7.436
309.000;12.360;0.061;7.176;-0.240;0.083;13.933;-0.448;0.077;25.889;-0.793;-0.142;41.760;-1.738;-0.214;46.076;1.324;0.121;52.523;2.568;-6.698;56.569;3.842;6.986;56.672;2.194;-2.251;58.781;10.787;4.283;58.829;10.001;-1.601;36.523;-3.055;-15.784;34.630;-1.812;-20.580;21.349;-2.359;-25.880;6.669;-2.964;-22.510;6.510;9.457;-18.726;6.272;24.062;-19.224;4.642;24.794;-16.759;2.621;31.541;-16.198;2.741;33.833;-15.600;2.517;36.407;-15.205;2.717;38.019;-19.352;5.471;24.905;-17.853;4.747;32.196;-16.361;5.145;35.974;-15.290;5.558;38.696;-14.513;5.709;40.582;-18.812;6.716;24.588;-17.993;7.273;32.727;-16.732;7.443;36.573;-15.240;7.653;39.593;-14.441;7.715;41.605;-19.043;7.770;24.410;-17.847;9.589;32.232;-16.529;9.896;35.862;-15.475;10.055;38.421;-14.568;9.896;40.269;-17.827;8.501;26.156;-17.419;11.682;28.004;-16.110;13.196;29.998;-16.964;15.710;30.869;1.621;36.577;-2.887;15.774;34.109;-0.594;20.663;20.383;-0.915;26.066;5.213;-1.269;21.601;6.852;10.564;16.516;8.565;25.110;16.643;7.031;26.321;15.409;5.757;32.820;14.510;4.940;35.556;12.987;4.542;37.442;11.777;4.241;38.606;16.643;7.944;26.360;16.087;8.094;32.962;14.651;7.724;37.106;12.512;7.439;39.643;11.034;7.329;41.127;15.835;9.052;26.373;15.997;10.466;33.412;14.966;10.409;37.986;12.983;10.320;40.292;11.241;10.265;41.611;15.761;9.929;26.100;15.327;12.903;32.937;14.412;13.512;36.600;12.981;13.409;38.774;11.479;13.304;40.417;15.137;10.801;26.420;14.814;14.312;28.081;14.666;16.185;30.709;14.252;18.898;30.909;0.000;0.000;0.000;-7.650;-12.214;-0.944;-9.773;-33.063;-0.038;-12.264;-57.538;1.026;-10.843;-101.744;-6.625;7.558;-12.406;-1.180;9.170;-33.244;0.043;11.063;-57.705;1.479;10.049;-102.061;-7.457
310.000;12.400;0.060;7.174;-0.238;0.081;13.930;-0.446;0.073;25.883;-0.794;-0.143;41.755;-1.729;-0.212;46.072;1.338;0.128;52.523;2.586;-6.688;56.571;3.866;6.995;56.669;2.213;-2.237;58.774;10.812;4.297;58.821;10.022;-1.604;36.518;-3.049;-15.786;34.624;-1.803;-20.590;21.347;-2.371;-25.901;6.673;-2.998;-22.560;6.573;9.419;-18.820;6.412;24.022;-19.332;4.778;24.769;-16.754;2.757;31.482;-16.161;2.902;33.778;-15.533;2.681;36.336;-15.112;2.882;37.942;-19.454;5.608;24.879;-17.815;4.899;32.152;-16.268;5.308;35.906;-15.207;5.709;38.622;-14.404;5.879;40.495;-18.896;6.855;24.544;-17.903;7.448;32.678;-16.633;7.580;36.500;-15.118;7.819;39.485;-14.203;7.877;41.447;-19.120;7.913;24.366;-17.815;9.738;32.164;-16.428;10.055;35.787;-15.381;10.186;38.355;-14.485;10.025;40.209;-17.905;8.660;26.144;-17.218;11.852;27.911;-15.758;13.390;29.737;-16.482;16.020;30.343;1.619;36.572;-2.881;15.770;34.082;-0.593;20.697;20.363;-0.910;26.143;5.200;-1.261;21.654;6.875;10.554;16.544;8.633;25.078;16.688;7.118;26.309;15.478;5.879;32.805;14.581;5.086;35.554;13.107;4.698;37.470;11.913;4.406;38.653;16.680;8.031;26.342;16.096;8.216;32.934;14.701;7.849;37.087;12.575;7.554;39.634;11.126;7.431;41.146;15.873;9.100;26.337;15.959;10.599;33.369;14.979;10.567;37.940;13.028;10.467;40.272;11.300;10.387;41.608;15.777;9.973;26.058;15.301;13.004;32.878;14.393;13.644;36.542;12.983;13.526;38.732;11.505;13.432;40.398;15.153;10.885;26.422;14.713;14.385;28.006;14.491;16.312;30.591;13.966;19.010;30.714;0.000;0.000;0.000;-7.649;-12.215;-0.949;-9.773;-33.064;-0.049;-12.266;-57.539;1.008;-10.848;-101.744;-6.650;7.559;-12.404;-1.185;9.170;-33.241;0.030;11.062;-57.701;1.457;10.047;-102.061;-7.481
