Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
137.000;5.480;-0.318;7.363;-1.788;-0.517;14.549;-1.972;-0.739;27.590;-0.404;-1.495;43.464;0.137;-1.553;47.359;3.380;-1.274;53.547;4.894;-7.955;57.795;6.237;5.667;57.515;4.157;-3.237;60.141;12.956;3.268;60.007;11.963;-2.835;38.321;-1.611;-16.847;35.412;0.225;-21.336;22.456;-2.469;-26.298;8.137;-5.446;-21.329;7.735;5.752;-16.316;7.889;20.170;-16.390;6.224;21.089;-12.444;5.168;27.441;-11.200;5.571;29.518;-9.809;5.716;31.728;-8.917;6.045;33.104;-16.574;7.048;21.141;-13.808;7.288;28.126;-11.704;8.275;31.513;-10.423;9.077;34.081;-9.520;9.563;35.851;-16.184;8.439;20.600;-14.178;9.778;28.426;-12.142;10.578;31.887;-9.934;11.629;34.270;-8.670;12.169;35.943;-16.602;9.402;20.398;-14.471;12.037;27.750;-12.658;13.021;30.990;-10.846;13.694;33.105;-9.488;13.886;34.648;-15.447;10.393;21.927;-15.309;13.770;23.183;-13.966;15.474;24.756;-14.560;18.139;25.347;0.389;38.472;-1.547;14.664;36.146;0.304;20.036;22.864;-1.971;25.973;8.184;-4.485;21.159;9.043;6.992;16.033;10.273;21.620;15.612;8.721;22.862;13.252;8.034;29.208;11.828;7.503;31.794;9.937;7.319;33.551;8.745;7.359;34.771;15.754;9.624;22.867;14.307;10.350;29.353;12.601;10.539;33.408;10.728;10.860;36.114;9.441;11.146;37.745;15.358;10.955;22.672;14.546;12.590;29.766;13.315;13.097;34.226;11.545;13.464;36.667;10.149;14.014;38.256;15.513;11.820;22.398;14.535;15.092;29.147;13.464;16.236;32.661;12.047;16.582;34.863;10.742;17.063;36.605;15.078;12.827;22.857;15.334;16.405;24.034;15.044;18.573;26.421;15.519;21.282;26.495;0.000;0.000;0.000;-6.950;-12.272;3.057;-8.192;-25.376;20.433;-9.651;-40.759;40.831;-4.258;-69.668;5.320;7.993;-11.903;1.933;9.946;-29.805;12.511;12.239;-50.822;24.930;8.806;-94.682;35.941
138.000;5.520;-0.318;7.359;-1.792;-0.516;14.542;-1.986;-0.736;27.578;-0.442;-1.474;43.453;0.071;-1.528;47.354;3.309;-1.248;53.541;4.816;-7.931;57.790;6.149;5.695;57.510;4.093;-3.225;60.132;12.878;3.281;59.998;11.896;-2.821;38.310;-1.666;-16.838;35.418;0.187;-21.337;22.462;-2.487;-26.309;8.143;-5.444;-21.333;7.751;5.753;-16.314;7.921;20.167;-16.392;6.261;21.089;-12.473;5.218;27.455;-11.197;5.634;29.524;-9.791;5.804;31.715;-8.885;6.147;33.078;-16.576;7.086;21.141;-13.807;7.339;28.129;-11.720;8.320;31.513;-10.402;9.111;34.071;-9.493;9.600;35.836;-16.181;8.474;20.596;-14.189;9.825;28.420;-12.144;10.638;31.869;-9.936;11.706;34.235;-8.644;12.263;35.881;-16.598;9.435;20.391;-14.494;12.079;27.743;-12.691;13.067;30.989;-10.888;13.746;33.094;-9.500;13.925;34.612;-15.458;10.422;21.913;-15.305;13.805;23.173;-13.953;15.504;24.749;-14.538;18.171;25.340;0.403;38.457;-1.605;14.677;36.109;0.248;20.067;22.821;-1.990;26.025;8.134;-4.464;21.168;9.008;6.993;15.984;10.267;21.598;15.576;8.724;22.843;13.196;8.029;29.186;11.764;7.486;31.768;9.873;7.288;33.519;8.673;7.323;34.732;15.714;9.627;22.848;14.227;10.355;29.323;12.502;10.528;33.370;10.611;10.843;36.069;9.316;11.122;37.695;15.288;10.956;22.647;14.433;12.588;29.733;13.152;13.098;34.179;11.374;13.454;36.605;9.937;14.008;38.156;15.442;11.822;22.373;14.406;15.091;29.103;13.277;16.226;32.602;11.834;16.561;34.782;10.491;17.010;36.503;14.990;12.815;22.829;15.207;16.392;24.005;14.900;18.561;26.376;15.333;21.278;26.458;0.000;0.000;0.000;-6.950;-12.271;3.061;-8.191;-25.376;20.440;-9.648;-40.760;40.841;-4.256;-69.668;5.332;7.993;-11.902;1.937;9.945;-29.804;12.514;12.237;-50.820;24.931;8.819;-94.681;35.948
139.000;5.560;-0.318;7.352;-1.799;-0.515;14.529;-2.007;-0.732;27.558;-0.496;-1.433;43.436;-0.011;-1.472;47.342;3.216;-1.180;53.533;4.703;-7.851;57.798;6.038;5.772;57.484;3.974;-3.136;60.132;12.763;3.370;59.982;11.777;-2.795;38.291;-1.736;-16.819;35.435;0.152;-21.306;22.451;-2.441;-26.265;8.100;-5.307;-21.242;7.768;5.873;-16.167;8.021;20.262;-16.237;6.346;21.182;-12.360;5.368;27.573;-11.037;5.784;29.628;-9.484;6.003;31.709;-8.461;6.408;32.969;-16.416;7.172;21.222;-13.712;7.462;28.233;-11.592;8.420;31.643;-10.181;9.221;34.143;-9.202;9.662;35.884;-16.015;8.622;20.661;-14.040;9.962;28.498;-12.020;10.803;31.943;-9.753;11.938;34.274;-8.471;12.493;35.928;-16.451;9.589;20.459;-14.334;12.211;27.816;-12.563;13.206;31.048;-10.740;13.862;33.151;-9.323;14.044;34.642;-15.301;10.535;22.018;-15.118;13.920;23.235;-13.728;15.605;24.798;-14.277;18.283;25.374;0.429;38.432;-1.682;14.700;36.042;0.162;20.082;22.729;-2.010;26.031;8.016;-4.412;21.152;8.923;7.033;15.940;10.225;21.626;15.538;8.666;22.863;13.144;7.995;29.212;11.715;7.419;31.786;9.829;7.215;33.543;8.624;7.235;34.751;15.668;9.571;22.862;14.167;10.272;29.357;12.413;10.466;33.389;10.504;10.763;36.075;9.191;11.043;37.687;15.224;10.919;22.678;14.352;12.549;29.759;13.029;13.045;34.188;11.188;13.411;36.574;9.732;13.928;38.119;15.375;11.785;22.403;14.312;15.047;29.113;13.142;16.177;32.598;11.641;16.492;34.766;10.258;16.922;36.460;14.924;12.768;22.864;15.083;16.351;24.029;14.723;18.509;26.401;15.102;21.233;26.501;0.000;0.000;0.000;-6.949;-12.269;3.071;-8.186;-25.361;20.462;-9.639;-40.730;40.878;-4.243;-69.644;5.369;7.994;-11.900;1.947;9.946;-29.793;12.532;12.237;-50.799;24.957;8.828;-94.662;35.965
140.000;5.600;-0.319;7.350;-1.807;-0.514;14.527;-2.024;-0.726;27.556;-0.530;-1.405;43.435;-0.070;-1.436;47.346;3.150;-1.135;53.537;4.627;-7.792;57.820;5.976;5.825;57.471;3.873;-3.052;60.150;12.685;3.451;59.983;11.680;-2.775;38.290;-1.786;-16.802;35.453;0.126;-21.277;22.438;-2.365;-26.223;8.053;-5.119;-21.052;7.714;6.013;-15.935;8.146;20.369;-16.015;6.478;21.302;-12.139;5.513;27.716;-10.870;5.906;29.788;-8.936;6.261;31.537;-7.667;6.787;32.492;-16.181;7.307;21.333;-13.500;7.650;28.348;-11.439;8.508;31.802;-9.698;9.291;34.133;-8.518;9.721;35.747;-15.777;8.699;20.791;-13.793;10.163;28.580;-11.749;11.054;32.005;-9.488;12.182;34.322;-8.185;12.774;35.947;-16.186;9.668;20.568;-14.062;12.394;27.871;-12.217;13.392;31.077;-10.304;14.060;33.128;-8.913;14.241;34.643;-15.069;10.671;22.117;-14.820;14.070;23.292;-13.412;15.744;24.808;-13.884;18.440;25.370;0.449;38.427;-1.735;14.719;36.012;0.115;20.077;22.673;-2.003;25.999;7.930;-4.344;21.125;8.867;7.103;15.914;10.208;21.699;15.517;8.638;22.933;13.157;7.944;29.292;11.724;7.360;31.863;9.831;7.139;33.607;8.628;7.181;34.816;15.643;9.543;22.932;14.175;10.284;29.436;12.405;10.373;33.469;10.483;10.649;36.144;9.162;10.908;37.752;15.219;10.902;22.753;14.353;12.515;29.848;13.041;12.942;34.288;11.192;13.315;36.658;9.685;13.819;38.159;15.368;11.769;22.481;14.312;15.006;29.208;13.135;16.109;32.709;11.661;16.392;34.875;10.265;16.780;36.569;14.895;12.739;22.925;15.028;16.334;24.135;14.596;18.479;26.553;14.953;21.206;26.636;0.000;0.000;0.000;-6.944;-12.269;3.085;-8.185;-25.349;20.479;-9.643;-40.703;40.898;-4.232;-69.633;5.399;7.999;-11.895;1.959;9.958;-29.782;12.561;12.258;-50.780;25.007;8.858;-94.661;36.005
141.000;5.640;-0.319;7.351;-1.813;-0.514;14.529;-2.036;-0.726;27.563;-0.556;-1.390;43.444;-0.129;-1.413;47.358;3.083;-1.105;53.545;4.553;-7.751;57.838;5.921;5.860;57.466;3.786;-2.991;60.155;12.620;3.509;59.977;11.600;-2.767;38.297;-1.832;-16.790;35.484;0.108;-21.291;22.455;-2.283;-26.267;8.054;-4.926;-20.977;7.777;6.159;-15.706;8.302;20.451;-15.785;6.644;21.387;-11.998;5.680;27.860;-10.844;5.950;30.028;-8.516;6.579;31.051;-6.998;7.267;31.190;-15.947;7.474;21.410;-13.333;7.853;28.450;-11.274;8.715;31.894;-9.179;9.570;33.878;-7.659;10.033;35.166;-15.534;8.883;20.863;-13.563;10.376;28.635;-11.459;11.300;32.025;-9.237;12.455;34.312;-7.881;13.078;35.881;-15.950;9.848;20.637;-13.819;12.594;27.922;-11.944;13.576;31.103;-10.021;14.242;33.136;-8.598;14.434;34.621;-14.819;10.834;22.188;-14.569;14.231;23.325;-13.140;15.906;24.843;-13.613;18.605;25.392;0.457;38.431;-1.785;14.725;36.004;0.059;20.069;22.648;-2.011;25.975;7.886;-4.298;21.100;8.840;7.154;15.883;10.203;21.755;15.477;8.645;22.992;13.180;7.909;29.343;11.743;7.341;31.922;9.849;7.126;33.663;8.636;7.170;34.862;15.601;9.551;22.993;14.198;10.230;29.502;12.428;10.339;33.531;10.465;10.613;36.180;9.131;10.873;37.778;15.207;10.887;22.814;14.370;12.520;29.907;13.065;12.940;34.343;11.207;13.284;36.712;9.679;13.787;38.192;15.351;11.755;22.540;14.341;14.994;29.264;13.174;16.084;32.775;11.688;16.364;34.938;10.290;16.756;36.629;14.860;12.747;22.985;15.015;16.341;24.187;14.557;18.459;26.630;14.906;21.186;26.749;0.000;0.000;0.000;-6.945;-12.266;3.091;-8.199;-25.349;20.481;-9.672;-40.707;40.894;-4.234;-69.636;5.400;7.998;-11.894;1.966;9.957;-29.779;12.581;12.257;-50.776;25.043;8.848;-94.665;36.006
142.000;5.680;-0.317;7.353;-1.816;-0.511;14.533;-2.048;-0.719;27.570;-0.589;-1.372;43.452;-0.199;-1.386;47.370;3.004;-1.064;53.554;4.466;-7.706;57.850;5.844;5.904;57.471;3.700;-2.940;60.154;12.543;3.559;59.973;11.519;-2.756;38.302;-1.887;-16.771;35.521;0.089;-21.316;22.492;-2.224;-26.340;8.090;-4.780;-20.968;7.867;6.268;-15.595;8.472;20.510;-15.674;6.780;21.445;-11.941;5.838;27.974;-10.797;6.045;30.149;-8.408;6.951;30.309;-7.169;7.685;29.458;-15.809;7.616;21.448;-13.237;8.084;28.519;-11.089;8.932;31.907;-8.531;9.838;33.240;-6.662;10.341;33.900;-15.424;9.044;20.916;-13.439;10.585;28.676;-11.310;11.578;32.033;-9.095;12.737;34.307;-7.714;13.386;35.843;-15.835;10.000;20.686;-13.695;12.783;27.962;-11.848;13.790;31.172;-9.970;14.459;33.236;-8.570;14.666;34.739;-14.673;11.020;22.245;-14.412;14.420;23.349;-12.955;16.080;24.856;-13.376;18.792;25.382;0.469;38.433;-1.847;14.739;36.005;-0.018;20.094;22.645;-2.049;26.013;7.879;-4.293;21.128;8.843;7.158;15.902;10.222;21.760;15.528;8.648;22.992;13.238;7.908;29.359;11.804;7.350;31.933;9.894;7.127;33.662;8.670;7.180;34.849;15.647;9.555;22.990;14.257;10.251;29.505;12.476;10.348;33.536;10.502;10.627;36.173;9.149;10.893;37.754;15.215;10.914;22.822;14.416;12.506;29.915;13.089;12.942;34.347;11.174;13.268;36.686;9.639;13.791;38.151;15.360;11.782;22.549;14.361;15.005;29.278;13.191;16.071;32.786;11.674;16.360;34.929;10.263;16.754;36.609;14.857;12.755;22.988;15.007;16.338;24.217;14.570;18.439;26.672;14.852;21.174;26.799;0.000;0.000;0.000;-6.949;-12.264;3.092;-8.213;-25.355;20.473;-9.698;-40.723;40.876;-4.246;-69.644;5.381;7.994;-11.897;1.962;9.948;-29.784;12.576;12.243;-50.780;25.036;8.813;-94.673;35.977
143.000;5.720;-0.315;7.354;-1.817;-0.505;14.535;-2.057;-0.707;27.573;-0.620;-1.342;43.457;-0.255;-1.343;47.376;2.940;-1.008;53.555;4.394;-7.649;57.855;5.766;5.962;57.469;3.636;-2.889;60.154;12.471;3.611;59.969;11.454;-2.735;38.305;-1.932;-16.746;35.554;0.081;-21.340;22.531;-2.145;-26.418;8.137;-4.605;-21.041;7.986;6.440;-15.637;8.728;20.662;-15.789;7.028;21.605;-12.155;5.985;28.187;-11.013;6.183;30.384;-8.752;7.034;29.699;-8.176;7.577;28.226;-15.888;7.868;21.594;-13.422;8.322;28.719;-10.995;9.114;31.936;-8.074;9.838;32.343;-6.068;10.165;32.120;-15.440;9.314;21.058;-13.547;10.827;28.843;-11.487;11.773;32.255;-9.259;12.953;34.566;-7.975;13.556;36.202;-15.814;10.294;20.815;-13.722;13.027;28.115;-11.873;13.983;31.357;-10.051;14.614;33.480;-8.704;14.762;35.038;-14.696;11.247;22.385;-14.328;14.673;23.508;-12.817;16.283;25.008;-13.184;19.003;25.530;0.490;38.433;-1.898;14.760;36.003;-0.099;20.142;22.640;-2.089;26.090;7.870;-4.289;21.202;8.805;7.175;15.956;10.170;21.795;15.619;8.586;23.020;13.407;7.802;29.391;11.944;7.204;31.955;10.009;6.969;33.651;8.768;7.010;34.820;15.726;9.494;23.021;14.380;10.141;29.544;12.586;10.224;33.565;10.482;10.455;36.130;9.099;10.692;37.689;15.273;10.805;22.887;14.505;12.396;29.952;13.099;12.804;34.369;11.064;13.111;36.619;9.474;13.537;38.058;15.389;11.676;22.611;14.380;14.897;29.331;13.115;15.894;32.834;11.596;16.130;34.922;10.079;16.460;36.521;14.876;12.664;23.022;14.947;16.239;24.302;14.482;18.293;26.799;14.678;21.032;26.977;0.000;0.000;0.000;-6.953;-12.261;3.095;-8.222;-25.353;20.475;-9.712;-40.721;40.878;-4.261;-69.648;5.382;7.990;-11.901;1.959;9.940;-29.784;12.570;12.230;-50.778;25.027;8.794;-94.665;36.003
144.000;5.760;-0.312;7.354;-1.819;-0.494;14.535;-2.064;-0.675;27.574;-0.640;-1.289;43.459;-0.297;-1.277;47.381;2.893;-0.926;53.557;4.340;-7.567;57.863;5.696;6.050;57.465;3.600;-2.821;60.158;12.413;3.681;59.968;11.412;-2.692;38.306;-1.963;-16.695;35.621;0.087;-21.362;22.606;-1.967;-26.522;8.221;-4.237;-21.170;8.195;6.831;-15.771;9.137;21.054;-16.002;7.409;22.011;-12.619;6.270;28.654;-11.286;6.510;30.772;-9.322;7.293;29.488;-9.298;7.650;27.855;-16.024;8.254;21.970;-13.800;8.690;29.190;-11.027;9.352;32.120;-8.123;9.836;31.438;-6.392;10.025;30.366;-15.604;9.760;21.419;-13.898;11.236;29.296;-11.985;12.159;32.790;-9.975;13.251;35.315;-8.840;13.810;37.071;-15.950;10.753;21.171;-13.939;13.437;28.541;-12.189;14.319;31.874;-10.540;14.923;34.140;-9.351;15.052;35.823;-14.763;11.612;22.731;-14.307;15.055;23.900;-12.812;16.617;25.502;-13.062;19.363;25.958;0.533;38.430;-1.936;14.794;36.000;-0.168;20.219;22.638;-2.109;26.214;7.870;-4.255;21.320;8.681;7.243;16.049;9.911;21.918;15.773;8.267;23.100;13.678;7.349;29.464;12.174;6.709;32.005;10.137;6.475;33.585;8.820;6.516;34.669;15.839;9.179;23.102;14.596;9.736;29.670;12.650;9.668;33.616;10.258;9.825;35.944;8.627;9.987;37.253;15.360;10.456;23.071;14.609;12.010;30.082;12.943;12.316;34.416;10.610;12.489;36.409;8.853;12.861;37.654;15.423;11.333;22.798;14.373;14.462;29.486;12.911;15.344;32.933;11.188;15.423;34.897;9.537;15.628;36.381;14.896;12.331;23.190;14.802;15.878;24.590;14.295;17.830;27.152;14.265;20.566;27.450;0.000;0.000;0.000;-6.954;-12.260;3.097;-8.219;-25.350;20.476;-9.704;-40.717;40.877;-4.261;-69.643;5.386;7.988;-11.902;1.957;9.938;-29.789;12.561;12.227;-50.786;25.009;8.790;-94.669;35.986
145.000;5.800;-0.305;7.357;-1.823;-0.476;14.540;-2.078;-0.632;27.583;-0.682;-1.204;43.470;-0.361;-1.172;47.394;2.827;-0.789;53.564;4.277;-7.429;57.878;5.611;6.195;57.462;3.567;-2.707;60.161;12.348;3.799;59.962;11.372;-2.624;38.318;-2.017;-16.615;35.741;0.067;-21.429;22.730;-1.587;-26.750;8.350;-3.414;-21.429;8.633;7.684;-15.973;10.100;21.875;-16.438;8.407;22.854;-13.554;7.179;29.599;-11.933;7.362;31.566;-10.238;7.925;29.784;-10.312;8.292;28.154;-16.350;9.246;22.785;-14.574;9.638;30.139;-11.418;9.964;32.720;-9.008;10.005;30.859;-7.790;9.885;29.221;-15.773;10.672;22.254;-14.495;12.223;30.151;-12.705;12.983;33.765;-10.960;13.961;36.531;-10.046;14.445;38.432;-15.985;11.691;21.953;-14.195;14.420;29.354;-12.639;15.141;32.811;-11.281;15.633;35.263;-10.254;15.697;37.053;-14.730;12.504;23.570;-14.152;15.878;24.767;-12.711;17.351;26.505;-12.883;20.105;26.948;0.602;38.434;-1.997;14.851;35.987;-0.263;20.336;22.622;-2.114;26.398;7.850;-4.161;21.468;8.323;7.393;16.104;9.168;22.162;15.984;7.430;23.266;13.918;6.269;29.590;12.374;5.583;32.101;10.070;5.346;33.301;8.549;5.430;34.070;15.965;8.343;23.278;14.696;8.664;29.895;12.352;8.462;33.604;9.450;8.435;35.303;7.571;8.485;36.234;15.403;9.601;23.373;14.568;10.921;30.326;12.362;11.018;34.424;9.751;10.921;36.020;7.740;11.082;36.862;15.398;10.485;23.118;14.122;13.322;29.811;12.329;13.952;33.125;10.403;13.729;34.887;8.592;13.681;36.184;14.808;11.413;23.484;14.307;14.855;25.130;13.572;16.562;27.794;13.143;19.211;28.401;0.000;0.000;0.000;-6.963;-12.255;3.093;-8.221;-25.343;20.469;-9.697;-40.708;40.867;-4.263;-69.648;5.383;7.980;-11.907;1.961;9.933;-29.789;12.569;12.226;-50.780;25.021;8.791;-94.666;35.994
