Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1115.000;44.600;-0.332;7.331;-1.885;-0.531;14.498;-2.240;-0.738;27.523;-1.075;-1.142;43.419;-1.147;-1.159;47.368;2.113;-0.901;53.377;3.910;-7.785;57.461;4.543;5.995;57.474;4.284;-4.047;59.551;11.930;2.533;59.556;11.806;-2.599;38.244;-2.693;-16.630;35.953;-0.700;-21.769;22.981;-2.030;-27.448;8.645;-3.500;-22.661;8.392;8.405;-17.222;8.038;22.367;-17.669;6.451;23.315;-15.048;5.291;30.210;-14.052;5.643;32.414;-12.824;5.747;34.798;-12.109;6.026;36.284;-17.758;7.292;23.308;-16.295;7.593;30.603;-14.190;8.478;34.066;-12.840;9.270;36.595;-11.964;9.703;38.391;-16.990;8.654;22.775;-16.457;10.099;30.720;-14.987;10.809;34.469;-13.226;11.737;37.244;-12.293;12.248;39.131;-17.306;9.641;22.467;-16.295;12.375;29.912;-14.935;13.282;33.419;-13.747;13.894;35.879;-12.813;14.053;37.713;-16.177;10.401;24.129;-15.961;13.763;25.383;-14.594;15.167;27.335;-14.751;17.807;28.237;0.627;38.326;-2.639;14.824;35.565;-0.483;20.621;22.140;-1.517;27.029;7.303;-2.661;21.836;9.624;8.649;15.762;12.181;22.615;15.435;10.600;23.812;14.039;9.746;30.297;13.111;9.318;33.034;11.656;9.164;35.179;10.795;9.223;36.651;15.585;11.501;23.836;15.246;11.876;30.388;13.985;11.907;34.606;12.263;12.106;37.421;11.042;12.346;39.109;15.277;12.828;23.797;15.560;14.113;30.864;14.961;14.375;35.474;13.491;14.612;38.126;12.319;15.054;39.917;15.421;13.699;23.534;15.481;16.638;30.408;14.798;17.473;34.116;13.672;17.577;36.500;12.660;17.834;38.469;14.946;14.640;23.970;15.337;18.118;25.650;15.219;19.819;28.494;15.372;22.471;29.213;0.000;0.000;0.000;-6.950;-12.267;3.136;-8.398;-25.519;20.396;-10.099;-41.076;40.657;-4.002;-69.878;5.220;8.218;-11.858;2.062;10.281;-29.819;12.693;12.702;-50.904;25.173;8.725;-94.701;35.997
1116.000;44.640;-0.329;7.328;-1.884;-0.526;14.492;-2.241;-0.728;27.511;-1.078;-1.125;43.407;-1.139;-1.139;47.361;2.129;-0.877;53.377;3.938;-7.761;57.461;4.577;6.019;57.475;4.298;-4.012;59.558;11.956;2.568;59.564;11.823;-2.585;38.233;-2.689;-16.613;35.951;-0.699;-21.761;22.983;-2.015;-27.451;8.649;-3.471;-22.651;8.495;8.422;-17.198;8.257;22.370;-17.636;6.684;23.334;-14.991;5.583;30.226;-13.963;5.965;32.423;-12.715;6.096;34.800;-12.019;6.393;36.291;-17.738;7.524;23.322;-16.246;7.875;30.605;-14.132;8.801;34.058;-12.786;9.611;36.574;-11.896;10.060;38.359;-16.958;8.891;22.763;-16.388;10.401;30.703;-14.928;11.142;34.443;-13.161;12.098;37.190;-12.225;12.617;39.072;-17.291;9.865;22.448;-16.271;12.649;29.883;-14.892;13.593;33.371;-13.669;14.229;35.818;-12.752;14.428;37.657;-16.167;10.636;24.109;-15.949;14.019;25.320;-14.592;15.440;27.258;-14.736;18.093;28.125;0.642;38.314;-2.635;14.837;35.548;-0.492;20.636;22.125;-1.533;27.045;7.289;-2.685;21.841;9.580;8.633;15.755;12.095;22.610;15.438;10.515;23.804;14.065;9.644;30.284;13.128;9.214;33.030;11.674;9.030;35.164;10.805;9.088;36.630;15.578;11.418;23.829;15.247;11.799;30.381;13.974;11.801;34.593;12.234;12.007;37.400;10.990;12.236;39.073;15.269;12.730;23.798;15.539;14.033;30.867;14.903;14.277;35.463;13.397;14.506;38.098;12.207;14.951;39.876;15.403;13.602;23.534;15.443;16.562;30.394;14.740;17.386;34.101;13.568;17.450;36.489;12.570;17.715;38.464;14.916;14.555;23.951;15.252;18.027;25.653;15.108;19.733;28.511;15.280;22.387;29.216;0.000;0.000;0.000;-6.955;-12.264;3.138;-8.406;-25.518;20.394;-10.111;-41.077;40.651;-4.026;-69.872;5.210;8.214;-11.861;2.064;10.275;-29.820;12.697;12.696;-50.902;25.178;8.714;-94.698;36.009
1117.000;44.680;-0.328;7.325;-1.887;-0.522;14.487;-2.247;-0.719;27.503;-1.092;-1.118;43.398;-1.150;-1.124;47.358;2.131;-0.848;53.382;3.957;-7.724;57.475;4.616;6.054;57.473;4.281;-3.944;59.583;11.975;2.636;59.582;11.815;-2.579;38.225;-2.698;-16.605;35.963;-0.684;-21.766;23.004;-1.951;-27.470;8.681;-3.351;-22.610;8.657;8.505;-17.089;8.576;22.411;-17.498;7.011;23.396;-14.781;6.009;30.277;-13.709;6.444;32.451;-12.455;6.598;34.800;-11.699;6.913;36.258;-17.604;7.851;23.379;-16.038;8.285;30.642;-13.934;9.255;34.068;-12.571;10.093;36.564;-11.644;10.563;38.325;-16.855;9.209;22.795;-16.247;10.810;30.720;-14.709;11.555;34.442;-12.945;12.599;37.164;-12.008;13.129;39.043;-17.188;10.181;22.475;-16.132;13.064;29.874;-14.741;14.043;33.331;-13.495;14.705;35.777;-12.583;14.909;37.619;-16.075;10.985;24.122;-15.891;14.396;25.274;-14.525;15.852;27.177;-14.690;18.506;28.035;0.648;38.306;-2.649;14.844;35.543;-0.524;20.647;22.119;-1.566;27.062;7.282;-2.718;21.851;9.506;8.617;15.758;11.945;22.615;15.455;10.355;23.803;14.093;9.482;30.288;13.161;8.987;33.022;11.708;8.795;35.151;10.839;8.843;36.619;15.592;11.259;23.830;15.261;11.606;30.389;13.970;11.593;34.591;12.180;11.763;37.358;10.895;11.962;39.003;15.262;12.566;23.813;15.513;13.872;30.879;14.869;14.067;35.472;13.271;14.274;38.061;12.033;14.711;39.809;15.387;13.440;23.551;15.422;16.371;30.414;14.689;17.145;34.105;13.462;17.212;36.470;12.375;17.438;38.403;14.910;14.384;23.986;15.200;17.859;25.680;15.035;19.531;28.527;15.146;22.168;29.307;0.000;0.000;0.000;-6.957;-12.260;3.146;-8.404;-25.515;20.401;-10.102;-41.075;40.657;-4.021;-69.872;5.217;8.210;-11.863;2.065;10.273;-29.819;12.702;12.696;-50.898;25.189;8.705;-94.689;36.022
1118.000;44.720;-0.327;7.324;-1.891;-0.524;14.485;-2.256;-0.733;27.499;-1.110;-1.139;43.395;-1.146;-1.132;47.354;2.143;-0.822;53.380;3.979;-7.684;57.493;4.672;6.092;57.453;4.251;-3.852;59.605;12.003;2.727;59.586;11.803;-2.600;38.223;-2.700;-16.614;35.990;-0.656;-21.797;23.039;-1.739;-27.526;8.724;-2.937;-22.538;9.023;8.821;-16.868;9.318;22.619;-17.219;7.769;23.642;-14.400;6.939;30.510;-13.321;7.453;32.672;-11.991;7.652;34.975;-11.193;8.007;36.401;-17.338;8.606;23.608;-15.721;9.194;30.868;-13.550;10.263;34.246;-12.194;11.114;36.726;-11.250;11.667;38.454;-16.623;9.972;22.985;-15.962;11.730;30.890;-14.372;12.614;34.562;-12.649;13.667;37.299;-11.709;14.254;39.160;-16.992;10.926;22.651;-15.913;13.984;29.988;-14.515;15.053;33.434;-13.269;15.802;35.866;-12.383;16.045;37.715;-15.950;11.786;24.243;-15.789;15.254;25.326;-14.437;16.781;27.185;-14.626;19.456;27.970;0.627;38.305;-2.655;14.829;35.547;-0.550;20.644;22.127;-1.596;27.071;7.295;-2.752;21.859;9.380;8.626;15.765;11.657;22.679;15.489;10.033;23.838;14.131;9.063;30.319;13.203;8.511;33.027;11.685;8.300;35.117;10.785;8.303;36.567;15.604;10.939;23.870;15.315;11.233;30.441;13.946;11.153;34.622;11.912;11.290;37.262;10.546;11.488;38.841;15.257;12.254;23.887;15.506;13.505;30.944;14.704;13.664;35.510;12.950;13.800;37.994;11.478;14.213;39.557;15.366;13.132;23.633;15.377;15.974;30.504;14.545;16.694;34.203;13.160;16.692;36.437;11.906;16.891;38.268;14.830;14.059;24.040;15.019;17.513;25.826;14.727;19.134;28.715;14.713;21.741;29.595;0.000;0.000;0.000;-6.961;-12.257;3.147;-8.418;-25.508;20.403;-10.127;-41.062;40.661;-4.027;-69.869;5.231;8.207;-11.864;2.074;10.265;-29.816;12.714;12.682;-50.891;25.205;8.695;-94.686;36.037
1119.000;44.760;-0.323;7.325;-1.897;-0.523;14.489;-2.267;-0.744;27.508;-1.131;-1.159;43.403;-1.147;-1.141;47.360;2.150;-0.804;53.383;3.997;-7.645;57.524;4.724;6.128;57.429;4.230;-3.766;59.626;12.034;2.811;59.580;11.798;-2.618;38.233;-2.705;-16.618;36.034;-0.641;-21.872;23.063;-1.232;-27.680;8.727;-1.884;-22.461;9.828;9.665;-16.526;11.050;23.227;-16.810;9.531;24.353;-13.777;9.210;31.196;-12.650;9.833;33.269;-11.220;10.178;35.532;-10.390;10.608;36.918;-16.934;10.364;24.264;-15.142;11.440;31.451;-12.900;12.732;34.710;-11.522;13.701;37.126;-10.509;14.321;38.790;-16.279;11.780;23.515;-15.434;13.996;31.328;-13.794;15.074;34.942;-12.056;16.313;37.586;-11.079;17.003;39.391;-16.685;12.695;23.148;-15.430;16.167;30.296;-13.991;17.479;33.658;-12.768;18.367;36.035;-11.852;18.754;37.845;-15.623;13.676;24.703;-15.464;17.170;25.510;-14.135;18.877;27.216;-14.401;21.587;27.843;0.608;38.317;-2.663;14.809;35.579;-0.572;20.644;22.169;-1.606;27.094;7.348;-2.749;21.877;9.135;8.722;15.779;11.058;22.895;15.594;9.368;24.005;14.264;8.247;30.448;13.210;7.626;33.110;11.531;7.357;35.045;10.462;7.370;36.374;15.659;10.279;24.039;15.387;10.500;30.641;13.636;10.308;34.682;11.234;10.402;37.008;9.605;10.580;38.316;15.241;11.538;24.176;15.505;12.773;31.142;14.330;12.839;35.662;12.137;12.953;37.794;10.387;13.239;39.073;15.284;12.424;23.927;15.191;15.231;30.735;14.067;15.769;34.348;12.404;15.582;36.377;10.857;15.653;37.979;14.726;13.333;24.273;14.546;16.743;26.225;13.988;18.184;29.188;13.567;20.646;30.343;0.000;0.000;0.000;-6.970;-12.253;3.146;-8.445;-25.492;20.403;-10.176;-41.034;40.662;-4.039;-69.862;5.255;8.200;-11.866;2.093;10.252;-29.812;12.741;12.662;-50.879;25.242;8.683;-94.680;36.064
1120.000;44.800;-0.319;7.326;-1.906;-0.521;14.492;-2.282;-0.754;27.518;-1.155;-1.182;43.413;-1.192;-1.160;47.373;2.114;-0.815;53.388;3.988;-7.634;57.563;4.730;6.138;57.398;4.225;-3.739;59.627;12.041;2.838;59.548;11.800;-2.639;38.239;-2.741;-16.629;36.109;-0.656;-21.956;23.110;-0.308;-27.845;8.742;0.077;-22.348;11.243;11.207;-16.098;14.115;24.283;-16.354;12.778;25.607;-13.112;13.248;32.352;-11.856;14.103;34.320;-10.480;14.699;36.491;-9.580;15.296;37.768;-16.475;13.594;25.421;-14.440;15.556;32.358;-12.141;17.141;35.414;-10.699;18.381;37.658;-9.633;19.202;39.198;-15.836;14.858;24.464;-14.687;18.061;31.927;-13.021;19.541;35.374;-11.254;21.124;37.808;-10.281;22.016;39.525;-16.233;15.734;23.992;-14.737;20.064;30.633;-13.227;21.802;33.761;-12.028;23.058;35.982;-11.073;23.561;37.742;-15.190;16.891;25.390;-14.976;20.475;25.740;-13.628;22.380;27.158;-13.870;25.154;27.385;0.588;38.326;-2.703;14.778;35.634;-0.610;20.650;22.244;-1.579;27.141;7.445;-2.651;21.881;8.628;8.956;15.755;9.818;23.294;15.794;8.072;24.341;14.547;6.729;30.707;13.273;6.041;33.331;11.357;5.664;35.008;10.124;5.601;36.185;15.764;8.985;24.385;15.415;9.084;31.039;13.048;8.706;34.746;10.245;8.551;36.524;8.378;8.523;37.479;15.195;10.157;24.627;15.302;11.325;31.518;13.568;11.191;35.850;11.046;10.972;37.588;9.050;11.013;38.478;15.124;11.044;24.390;14.702;13.726;31.137;13.145;13.938;34.615;11.268;13.473;36.358;9.451;13.195;37.618;14.497;11.888;24.693;13.672;15.106;26.870;12.812;16.247;29.951;11.758;18.364;31.359;0.000;0.000;0.000;-6.981;-12.246;3.150;-8.487;-25.477;20.411;-10.255;-41.009;40.675;-4.053;-69.861;5.291;8.191;-11.867;2.121;10.237;-29.806;12.776;12.640;-50.866;25.283;8.665;-94.674;36.107
1121.000;44.840;-0.317;7.327;-1.919;-0.517;14.496;-2.308;-0.748;27.531;-1.205;-1.160;43.426;-1.302;-1.140;47.398;2.008;-0.822;53.407;3.907;-7.623;57.609;4.660;6.150;57.380;4.202;-3.743;59.592;12.002;2.834;59.483;11.783;-2.626;38.248;-2.828;-16.615;36.237;-0.674;-21.931;23.276;1.075;-27.807;8.951;3.008;-22.052;13.286;13.331;-15.490;18.300;25.483;-15.740;17.227;27.034;-12.418;18.894;33.544;-11.173;20.069;35.340;-9.800;21.037;37.369;-8.890;21.836;38.523;-15.832;17.996;26.695;-13.726;21.210;33.126;-11.411;23.315;35.840;-9.950;24.995;37.799;-8.919;26.047;39.217;-15.231;19.094;25.488;-13.928;23.593;32.238;-12.268;25.661;35.381;-10.531;27.722;37.442;-9.563;28.926;38.959;-15.635;19.872;24.875;-13.952;25.326;30.584;-12.412;27.646;33.302;-11.228;29.292;35.223;-10.266;30.205;36.806;-14.445;21.223;26.044;-14.298;24.812;25.724;-12.911;26.962;26.681;-13.256;29.720;26.390;0.601;38.332;-2.797;14.773;35.655;-0.664;20.706;22.279;-1.519;27.262;7.496;-2.464;21.906;7.825;9.231;15.651;7.991;23.686;15.925;6.268;24.641;14.712;4.251;30.808;13.488;3.300;33.324;11.524;2.554;34.788;10.149;2.299;35.765;15.778;7.164;24.746;15.291;6.673;31.370;12.496;5.653;34.652;9.476;4.902;35.907;7.530;4.540;36.599;15.046;8.135;25.051;14.752;8.855;31.936;12.478;8.086;35.913;9.862;7.304;37.256;7.762;6.970;37.760;14.831;9.011;24.864;13.809;11.149;31.674;11.912;10.761;34.984;9.993;9.804;36.475;8.158;9.118;37.536;14.074;9.725;25.177;12.474;12.398;27.671;11.224;12.966;30.804;9.718;14.687;32.335;0.000;0.000;0.000;-6.983;-12.242;3.159;-8.518;-25.471;20.418;-10.320;-41.000;40.677;-4.044;-69.854;5.316;8.190;-11.863;2.147;10.230;-29.801;12.802;12.626;-50.859;25.309;8.667;-94.669;36.136
1122.000;44.880;-0.314;7.326;-1.925;-0.515;14.494;-2.335;-0.750;27.525;-1.284;-1.141;43.420;-1.479;-1.119;47.416;1.837;-0.841;53.426;3.769;-7.630;57.651;4.506;6.146;57.363;4.162;-3.803;59.544;11.900;2.776;59.407;11.736;-2.620;38.234;-2.967;-16.602;36.390;-0.678;-21.783;23.661;2.837;-27.509;9.593;6.722;-21.580;15.875;15.791;-14.821;23.169;26.490;-15.130;22.497;28.246;-11.837;25.546;34.264;-10.632;27.093;35.801;-9.322;28.439;37.660;-8.536;29.496;38.689;-15.193;23.168;27.735;-13.027;27.699;33.298;-10.778;30.373;35.530;-9.367;32.439;37.113;-8.412;33.808;38.295;-14.588;23.878;26.385;-13.145;29.862;31.850;-11.619;32.621;34.452;-9.945;35.136;36.033;-9.069;36.706;37.240;-14.911;24.504;25.583;-13.129;31.143;29.867;-11.595;34.062;31.949;-10.480;36.126;33.501;-9.565;37.425;34.820;-13.688;26.148;26.378;-13.480;29.535;25.222;-12.101;31.828;25.639;-12.432;34.442;24.709;0.607;38.313;-2.951;14.766;35.640;-0.816;20.791;22.275;-1.476;27.449;7.503;-2.206;21.908;6.775;9.471;15.439;5.653;23.889;15.979;3.901;24.674;14.778;1.076;30.526;13.657;-0.477;32.777;11.792;-1.795;34.003;10.509;-2.445;34.920;15.649;4.737;24.842;14.821;3.438;31.353;12.090;1.440;34.212;9.245;-0.047;35.153;7.377;-0.879;35.621;14.708;5.645;25.193;13.868;5.450;32.126;11.452;3.667;35.696;8.933;2.275;36.676;6.925;1.475;37.002;14.372;6.495;25.083;12.448;7.472;32.029;10.493;6.416;35.108;8.748;4.917;36.347;7.027;3.798;37.214;13.428;6.928;25.433;11.227;8.891;28.129;9.811;8.904;31.189;7.901;10.113;32.759;0.000;0.000;0.000;-6.991;-12.237;3.160;-8.549;-25.468;20.416;-10.379;-41.001;40.673;-4.039;-69.854;5.319;8.183;-11.867;2.152;10.224;-29.806;12.800;12.620;-50.864;25.300;8.673;-94.675;36.129
1123.000;44.920;-0.320;7.320;-1.937;-0.525;14.483;-2.376;-0.769;27.505;-1.400;-1.160;43.397;-1.718;-1.118;47.427;1.602;-0.856;53.446;3.558;-7.627;57.701;4.283;6.149;57.338;4.071;-3.864;59.477;11.738;2.715;59.303;11.637;-2.653;38.200;-3.150;-16.587;36.510;-0.605;-21.468;24.312;4.848;-26.862;10.830;10.875;-20.877;18.817;18.355;-14.071;28.126;27.197;-14.488;27.929;29.046;-11.525;32.367;34.333;-10.502;34.248;35.585;-9.443;36.037;37.225;-8.760;37.304;38.076;-14.502;28.443;28.374;-12.473;34.225;32.702;-10.456;37.452;34.323;-9.156;39.898;35.408;-8.329;41.569;36.248;-13.785;28.757;26.990;-12.462;35.951;30.750;-11.101;39.405;32.484;-9.579;42.282;33.476;-8.847;44.157;34.274;-14.019;29.150;26.014;-12.262;36.679;28.490;-10.869;40.085;29.713;-9.725;42.583;30.651;-9.213;44.301;31.677;-12.846;30.879;26.379;-12.392;33.891;24.392;-10.999;36.212;24.298;-11.172;38.438;22.619;0.573;38.279;-3.165;14.735;35.637;-1.099;20.854;22.273;-1.462;27.617;7.503;-1.862;21.845;5.421;9.651;15.115;2.652;23.841;15.899;0.916;24.495;14.754;-2.650;29.956;13.900;-4.631;31.971;12.332;-6.436;32.968;11.201;-7.440;33.756;15.409;1.662;24.694;14.248;-0.402;30.988;11.827;-3.159;33.437;9.312;-5.227;34.166;7.632;-6.441;34.492;14.331;2.373;25.091;12.911;1.363;31.862;10.633;-1.203;35.016;8.367;-3.093;35.732;6.524;-4.248;35.941;13.847;3.153;25.015;11.149;3.152;31.787;9.122;1.428;34.496;7.563;-0.448;35.453;6.007;-1.904;36.107;12.752;3.388;25.326;10.024;4.594;27.929;8.381;4.066;30.837;6.103;4.868;32.156;0.000;0.000;0.000;-6.978;-12.246;3.154;-8.544;-25.488;20.400;-10.383;-41.033;40.646;-4.018;-69.865;5.279;8.197;-11.853;2.174;10.236;-29.809;12.791;12.630;-50.888;25.256;8.686;-94.695;36.084
