Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
4105.000;164.200;0.044;7.294;-0.263;0.011;14.160;-0.485;-0.137;26.310;-0.842;-0.399;42.195;-1.502;-0.507;46.436;1.675;-0.390;52.805;3.155;-7.415;56.667;3.608;6.359;57.117;3.731;-3.951;58.847;11.101;2.627;59.062;11.160;-1.867;36.978;-2.891;-15.880;35.176;-1.710;-21.492;22.498;-3.276;-27.694;8.485;-5.008;-22.399;6.938;6.790;-16.335;5.114;20.697;-17.109;3.444;21.372;-13.733;1.143;27.334;-11.630;1.523;28.631;-9.009;1.754;29.230;-7.424;2.277;29.326;-17.190;4.271;21.528;-15.182;3.028;28.480;-11.537;2.879;30.500;-8.532;3.229;30.348;-6.539;3.353;29.907;-16.195;5.384;21.404;-15.094;5.640;28.831;-11.554;5.061;30.939;-8.204;4.868;30.446;-6.164;4.722;29.733;-16.331;6.418;21.237;-14.613;8.008;28.382;-11.124;7.344;30.000;-8.421;6.801;30.564;-6.444;6.208;30.522;-15.128;6.916;22.644;-13.489;9.607;24.609;-11.590;9.945;26.632;-10.115;11.654;28.279;1.358;37.037;-2.767;15.444;34.593;-0.807;21.219;21.229;-2.459;27.602;6.457;-4.284;22.160;5.746;7.386;15.825;4.543;21.741;15.508;2.706;22.506;12.913;0.376;28.256;10.996;-0.603;30.363;8.833;-0.825;31.465;7.204;-0.929;31.960;15.554;3.593;22.723;13.844;2.504;29.137;10.549;1.729;32.016;7.415;1.481;33.153;5.409;1.509;33.765;15.007;4.850;22.985;13.743;4.788;29.931;10.596;4.120;33.294;7.773;3.921;34.400;5.644;3.977;34.893;15.071;5.766;22.920;13.387;7.268;29.795;10.769;7.149;32.595;8.419;6.701;33.595;6.275;6.417;34.133;14.534;6.646;23.308;14.114;9.797;25.446;13.017;10.904;28.370;12.436;13.397;29.381;0.000;0.000;0.000;-7.674;-12.213;-0.754;-9.989;-32.843;0.313;-12.708;-57.061;1.565;-12.157;-101.358;-6.653;7.527;-12.413;-1.296;9.650;-33.006;-0.215;12.142;-57.180;1.055;12.119;-101.529;-8.350
4106.000;164.240;0.044;7.294;-0.262;0.013;14.162;-0.482;-0.132;26.313;-0.836;-0.392;42.197;-1.500;-0.497;46.438;1.674;-0.376;52.806;3.151;-7.398;56.674;3.608;6.377;57.114;3.714;-3.923;58.859;11.094;2.655;59.070;11.145;-1.861;36.981;-2.887;-15.872;35.181;-1.701;-21.486;22.503;-3.266;-27.691;8.491;-4.995;-22.399;6.960;6.803;-16.337;5.156;20.713;-17.113;3.500;21.397;-13.729;1.202;27.355;-11.622;1.581;28.653;-8.996;1.809;29.235;-7.414;2.340;29.338;-17.199;4.326;21.555;-15.181;3.090;28.506;-11.533;2.928;30.522;-8.521;3.281;30.357;-6.529;3.402;29.910;-16.204;5.439;21.415;-15.094;5.698;28.851;-11.539;5.138;30.940;-8.183;4.959;30.417;-6.127;4.801;29.754;-16.343;6.482;21.250;-14.603;8.057;28.390;-11.115;7.399;30.000;-8.419;6.849;30.574;-6.444;6.247;30.537;-15.111;6.953;22.648;-13.481;9.651;24.629;-11.567;9.962;26.627;-10.088;11.660;28.280;1.364;37.039;-2.765;15.450;34.592;-0.805;21.229;21.229;-2.461;27.617;6.459;-4.291;22.179;5.736;7.384;15.850;4.519;21.744;15.538;2.698;22.513;12.953;0.356;28.262;11.019;-0.632;30.356;8.861;-0.849;31.461;7.231;-0.948;31.954;15.585;3.584;22.733;13.881;2.485;29.142;10.563;1.696;31.999;7.431;1.448;33.132;5.421;1.480;33.732;15.050;4.816;22.991;13.776;4.766;29.934;10.611;4.090;33.279;7.780;3.876;34.381;5.654;3.952;34.883;15.107;5.733;22.925;13.405;7.254;29.798;10.801;7.132;32.595;8.429;6.665;33.588;6.289;6.396;34.145;14.577;6.623;23.326;14.150;9.777;25.452;13.020;10.882;28.381;12.458;13.388;29.369;0.000;0.000;0.000;-7.671;-12.214;-0.756;-9.988;-32.844;0.312;-12.709;-57.062;1.565;-12.164;-101.359;-6.657;7.529;-12.411;-1.301;9.651;-33.005;-0.220;12.141;-57.181;1.049;12.113;-101.532;-8.350
4107.000;164.280;0.044;7.296;-0.261;0.015;14.165;-0.480;-0.127;26.319;-0.833;-0.381;42.203;-1.516;-0.481;46.444;1.650;-0.353;52.809;3.115;-7.369;56.688;3.583;6.407;57.109;3.648;-3.869;58.887;11.054;2.709;59.088;11.085;-1.853;36.986;-2.895;-15.868;35.201;-1.701;-21.485;22.521;-3.243;-27.694;8.507;-4.946;-22.401;7.022;6.855;-16.334;5.274;20.770;-17.097;3.604;21.453;-13.703;1.343;27.412;-11.607;1.724;28.713;-8.978;1.961;29.280;-7.392;2.482;29.371;-17.180;4.433;21.605;-15.172;3.219;28.565;-11.497;3.091;30.553;-8.503;3.459;30.402;-6.514;3.561;29.938;-16.177;5.574;21.463;-15.085;5.846;28.901;-11.513;5.286;30.950;-8.180;5.078;30.482;-6.146;4.933;29.753;-16.330;6.605;21.296;-14.599;8.212;28.427;-11.098;7.554;30.035;-8.414;6.994;30.636;-6.443;6.384;30.551;-15.127;7.088;22.698;-13.467;9.788;24.647;-11.539;10.090;26.653;-9.999;11.735;28.306;1.372;37.042;-2.775;15.459;34.594;-0.826;21.241;21.233;-2.481;27.631;6.465;-4.310;22.213;5.729;7.373;15.904;4.495;21.744;15.603;2.675;22.510;13.043;0.326;28.275;11.090;-0.673;30.351;8.920;-0.897;31.445;7.291;-0.998;31.941;15.650;3.560;22.733;13.912;2.438;29.124;10.640;1.633;32.010;7.469;1.426;33.080;5.456;1.418;33.668;15.091;4.796;22.996;13.839;4.718;29.936;10.662;4.025;33.270;7.833;3.835;34.363;5.702;3.903;34.844;15.149;5.712;22.932;13.473;7.206;29.799;10.831;7.085;32.582;8.482;6.633;33.582;6.332;6.337;34.090;14.627;6.597;23.345;14.193;9.744;25.456;13.085;10.845;28.396;12.477;13.344;29.375;0.000;0.000;0.000;-7.674;-12.213;-0.753;-9.992;-32.845;0.311;-12.713;-57.065;1.560;-12.174;-101.362;-6.673;7.526;-12.412;-1.306;9.648;-33.007;-0.232;12.139;-57.184;1.029;12.107;-101.534;-8.374
4108.000;164.320;0.046;7.298;-0.260;0.019;14.168;-0.477;-0.116;26.325;-0.827;-0.364;42.208;-1.524;-0.457;46.450;1.635;-0.317;52.812;3.091;-7.323;56.706;3.571;6.454;57.099;3.597;-3.799;58.913;11.028;2.780;59.100;11.040;-1.840;36.990;-2.898;-15.849;35.217;-1.689;-21.475;22.536;-3.204;-27.693;8.522;-4.879;-22.388;7.087;6.920;-16.307;5.397;20.832;-17.061;3.746;21.527;-13.684;1.495;27.503;-11.571;1.887;28.780;-8.947;2.119;29.355;-7.361;2.644;29.437;-17.153;4.574;21.678;-15.146;3.393;28.647;-11.464;3.250;30.631;-8.465;3.614;30.463;-6.475;3.698;29.999;-16.186;5.675;21.532;-15.054;6.003;28.966;-11.478;5.452;31.025;-8.144;5.254;30.524;-6.104;5.110;29.811;-16.320;6.723;21.349;-14.559;8.353;28.475;-11.065;7.720;30.088;-8.378;7.164;30.667;-6.405;6.559;30.599;-15.107;7.221;22.755;-13.412;9.924;24.675;-11.455;10.213;26.657;-9.881;11.774;28.358;1.386;37.045;-2.781;15.475;34.593;-0.844;21.262;21.235;-2.507;27.659;6.471;-4.345;22.265;5.721;7.348;15.990;4.474;21.730;15.683;2.647;22.494;13.122;0.275;28.246;11.197;-0.721;30.340;9.032;-0.957;31.437;7.404;-1.055;31.939;15.729;3.533;22.715;14.020;2.419;29.127;10.727;1.582;31.986;7.567;1.340;33.066;5.549;1.362;33.640;15.180;4.756;22.983;13.937;4.676;29.934;10.770;3.975;33.275;7.923;3.765;34.345;5.793;3.833;34.831;15.231;5.673;22.918;13.553;7.162;29.794;10.920;7.035;32.582;8.566;6.565;33.566;6.420;6.254;34.080;14.715;6.575;23.331;14.265;9.717;25.453;13.141;10.804;28.378;12.559;13.292;29.401;0.000;0.000;0.000;-7.676;-12.212;-0.751;-9.994;-32.845;0.312;-12.715;-57.067;1.560;-12.180;-101.358;-6.685;7.524;-12.413;-1.310;9.645;-33.009;-0.240;12.136;-57.185;1.016;12.100;-101.534;-8.387
4109.000;164.360;0.048;7.299;-0.260;0.024;14.171;-0.477;-0.105;26.331;-0.824;-0.336;42.213;-1.534;-0.421;46.456;1.620;-0.271;52.816;3.071;-7.269;56.723;3.562;6.509;57.092;3.559;-3.725;58.929;11.010;2.854;59.105;11.009;-1.818;36.996;-2.903;-15.831;35.242;-1.676;-21.466;22.563;-3.171;-27.694;8.550;-4.822;-22.385;7.161;6.981;-16.296;5.527;20.898;-17.045;3.873;21.598;-13.660;1.662;27.583;-11.572;2.022;28.872;-8.935;2.276;29.416;-7.351;2.806;29.489;-17.122;4.703;21.743;-15.129;3.545;28.717;-11.441;3.419;30.693;-8.456;3.773;30.531;-6.470;3.851;30.045;-16.154;5.832;21.590;-15.029;6.166;29.026;-11.455;5.641;31.058;-8.120;5.416;30.578;-6.085;5.260;29.856;-16.298;6.858;21.416;-14.542;8.514;28.531;-11.042;7.885;30.143;-8.357;7.332;30.723;-6.390;6.712;30.639;-15.104;7.362;22.810;-13.391;10.073;24.706;-11.409;10.355;26.685;-9.821;11.899;28.389;1.407;37.048;-2.788;15.497;34.582;-0.864;21.281;21.222;-2.537;27.674;6.456;-4.387;22.305;5.714;7.317;16.059;4.479;21.713;15.758;2.646;22.475;13.218;0.275;28.242;11.289;-0.741;30.326;9.130;-0.986;31.419;7.499;-1.073;31.910;15.801;3.532;22.697;14.097;2.397;29.099;10.831;1.564;31.983;7.647;1.328;33.041;5.630;1.335;33.614;15.251;4.752;22.967;14.010;4.675;29.915;10.847;3.966;33.253;8.013;3.759;34.328;5.878;3.822;34.790;15.299;5.669;22.902;13.629;7.172;29.779;11.001;7.026;32.560;8.641;6.559;33.549;6.501;6.237;34.080;14.780;6.568;23.302;14.325;9.713;25.439;13.215;10.798;28.372;12.612;13.281;29.394;0.000;0.000;0.000;-7.678;-12.211;-0.750;-9.997;-32.843;0.306;-12.719;-57.064;1.546;-12.191;-101.358;-6.698;7.522;-12.414;-1.312;9.642;-33.008;-0.245;12.131;-57.184;1.008;12.089;-101.535;-8.389
4110.000;164.400;0.050;7.300;-0.258;0.031;14.172;-0.472;-0.090;26.332;-0.814;-0.301;42.215;-1.528;-0.378;46.456;1.623;-0.218;52.812;3.070;-7.210;56.730;3.572;6.568;57.077;3.550;-3.652;58.928;11.016;2.928;59.094;11.005;-1.791;36.999;-2.894;-15.807;35.261;-1.657;-21.455;22.586;-3.136;-27.698;8.577;-4.770;-22.391;7.252;7.036;-16.303;5.693;20.959;-17.069;4.070;21.678;-13.651;1.832;27.642;-11.574;2.236;28.945;-8.936;2.480;29.487;-7.346;2.993;29.575;-17.160;4.898;21.826;-15.138;3.754;28.789;-11.463;3.629;30.773;-8.460;3.987;30.582;-6.471;4.068;30.113;-16.205;5.948;21.672;-15.025;6.379;29.078;-11.470;5.857;31.164;-8.131;5.632;30.631;-6.092;5.476;29.916;-16.309;7.001;21.472;-14.541;8.725;28.572;-11.055;8.092;30.194;-8.373;7.505;30.781;-6.405;6.886;30.696;-15.096;7.540;22.875;-13.393;10.256;24.747;-11.424;10.533;26.754;-9.783;12.091;28.394;1.434;37.047;-2.782;15.521;34.565;-0.871;21.293;21.203;-2.567;27.672;6.436;-4.441;22.329;5.721;7.276;16.117;4.519;21.688;15.831;2.678;22.447;13.318;0.317;28.232;11.393;-0.708;30.322;9.228;-0.956;31.423;7.604;-1.072;31.932;15.868;3.565;22.665;14.200;2.468;29.102;10.934;1.607;31.976;7.748;1.347;33.038;5.732;1.355;33.616;15.305;4.795;22.945;14.095;4.735;29.898;10.953;3.995;33.257;8.100;3.790;34.289;5.960;3.859;34.729;15.352;5.712;22.878;13.708;7.201;29.755;11.076;7.052;32.542;8.731;6.590;33.538;6.584;6.262;34.039;14.816;6.613;23.270;14.369;9.750;25.411;13.256;10.832;28.339;12.642;13.312;29.362;0.000;0.000;0.000;-7.680;-12.209;-0.749;-9.997;-32.846;0.313;-12.716;-57.071;1.560;-12.181;-101.366;-6.687;7.519;-12.416;-1.314;9.644;-33.010;-0.244;12.139;-57.186;1.012;12.105;-101.544;-8.373
4111.000;164.440;0.051;7.301;-0.256;0.034;14.174;-0.468;-0.078;26.336;-0.808;-0.275;42.219;-1.527;-0.345;46.458;1.621;-0.177;52.812;3.064;-7.163;56.738;3.573;6.615;57.068;3.536;-3.595;58.934;11.012;2.985;59.092;10.994;-1.771;37.004;-2.890;-15.786;35.280;-1.636;-21.452;22.612;-3.103;-27.715;8.611;-4.725;-22.401;7.402;7.080;-16.309;5.980;20.999;-17.064;4.368;21.734;-13.674;2.171;27.716;-11.616;2.583;29.021;-8.976;2.805;29.568;-7.388;3.326;29.622;-17.148;5.198;21.873;-15.161;4.115;28.852;-11.473;4.005;30.818;-8.488;4.308;30.662;-6.500;4.397;30.190;-16.188;6.278;21.695;-15.026;6.739;29.104;-11.479;6.217;31.186;-8.143;5.969;30.678;-6.106;5.790;29.966;-16.300;7.328;21.492;-14.549;9.079;28.589;-11.056;8.445;30.217;-8.368;7.883;30.786;-6.408;7.237;30.743;-15.098;7.849;22.901;-13.363;10.559;24.748;-11.364;10.858;26.719;-9.749;12.332;28.458;1.454;37.049;-2.780;15.543;34.549;-0.881;21.306;21.188;-2.594;27.676;6.422;-4.488;22.354;5.786;7.237;16.165;4.678;21.662;15.899;2.857;22.433;13.438;0.477;28.235;11.563;-0.589;30.325;9.392;-0.862;31.421;7.772;-0.997;31.937;15.924;3.745;22.648;14.325;2.634;29.090;11.093;1.740;31.998;7.901;1.439;33.037;5.884;1.425;33.615;15.372;4.928;22.930;14.197;4.900;29.885;11.075;4.135;33.255;8.221;3.897;34.254;6.069;3.952;34.628;15.403;5.845;22.853;13.771;7.385;29.730;11.159;7.200;32.533;8.794;6.683;33.514;6.664;6.345;34.074;14.865;6.760;23.227;14.354;9.906;25.403;13.197;10.952;28.336;12.525;13.413;29.367;0.000;0.000;0.000;-7.681;-12.209;-0.751;-9.998;-32.844;0.306;-12.718;-57.068;1.548;-12.186;-101.353;-6.693;7.519;-12.416;-1.319;9.641;-33.010;-0.254;12.133;-57.186;0.997;12.091;-101.544;-8.385
4112.000;164.480;0.054;7.300;-0.254;0.045;14.173;-0.461;-0.049;26.334;-0.790;-0.230;42.217;-1.500;-0.291;46.452;1.643;-0.115;52.803;3.075;-7.096;56.736;3.596;6.683;57.052;3.534;-3.512;58.929;11.028;3.068;59.080;10.999;-1.733;37.004;-2.863;-15.750;35.273;-1.581;-21.505;22.649;-3.026;-27.865;8.696;-4.623;-22.420;7.743;7.116;-16.173;6.635;20.949;-17.032;5.093;21.729;-13.974;2.941;27.846;-11.794;3.253;29.097;-9.180;3.269;29.700;-7.558;3.666;29.792;-17.050;5.934;21.822;-15.263;5.073;28.891;-11.594;4.744;30.857;-8.571;4.781;30.738;-6.570;4.666;30.329;-16.029;7.003;21.597;-14.896;7.665;29.004;-11.431;7.005;31.249;-8.120;6.367;30.704;-6.088;6.006;30.049;-16.103;8.002;21.368;-14.234;9.956;28.416;-10.819;9.057;30.101;-8.181;8.333;30.718;-6.315;7.450;30.732;-14.739;8.463;22.758;-12.913;11.165;24.498;-10.925;11.318;26.573;-9.159;12.527;28.369;1.492;37.046;-2.758;15.583;34.519;-0.876;21.350;21.181;-2.582;27.724;6.440;-4.467;22.306;6.040;7.221;16.017;5.247;21.618;16.073;3.481;22.480;14.067;1.087;28.387;12.286;-0.121;30.490;10.166;-0.658;31.561;8.565;-0.990;32.046;15.994;4.375;22.655;14.769;3.425;29.192;11.582;2.203;32.026;8.462;1.544;33.023;6.449;1.246;33.533;15.292;5.366;22.954;14.390;5.681;29.873;11.395;4.637;33.269;8.571;4.012;34.220;6.436;3.763;34.616;15.162;6.266;22.812;13.591;8.097;29.606;11.090;7.590;32.482;8.884;6.796;33.556;6.843;6.113;34.136;14.435;7.197;23.117;13.558;10.313;25.248;12.456;11.213;28.270;11.347;13.457;29.414;0.000;0.000;0.000;-7.683;-12.207;-0.752;-9.996;-32.844;0.303;-12.711;-57.071;1.541;-12.189;-101.369;-6.703;7.516;-12.417;-1.323;9.639;-33.013;-0.259;12.131;-57.191;0.989;12.075;-101.549;-8.389
4113.000;164.520;0.057;7.301;-0.250;0.053;14.175;-0.446;-0.027;26.339;-0.746;-0.207;42.224;-1.428;-0.266;46.451;1.710;-0.086;52.803;3.125;-7.057;56.749;3.683;6.722;57.042;3.532;-3.421;58.951;11.087;3.158;59.091;11.015;-1.711;37.014;-2.801;-15.714;35.268;-1.501;-21.840;22.796;-2.799;-28.612;9.010;-4.234;-22.632;8.625;7.210;-15.700;8.195;20.707;-16.954;7.098;21.621;-14.620;5.042;28.036;-12.474;4.815;29.260;-9.989;4.195;30.029;-8.338;4.076;30.272;-16.732;7.914;21.601;-15.321;7.536;28.753;-11.847;6.456;30.783;-8.974;5.586;30.944;-7.072;4.856;30.765;-15.491;8.579;21.362;-14.239;9.950;28.555;-11.061;8.470;30.794;-8.005;6.978;30.638;-6.111;5.963;30.368;-15.257;9.496;20.992;-12.884;11.849;27.732;-9.847;10.099;29.541;-7.532;8.799;30.394;-5.949;7.526;30.763;-13.845;9.774;22.269;-11.355;12.084;23.916;-9.479;12.100;26.055;-7.506;13.130;27.744;1.515;37.055;-2.696;15.598;34.534;-0.819;21.505;21.258;-2.400;28.034;6.585;-4.148;22.186;6.734;7.303;15.403;6.710;21.445;16.075;5.270;22.500;15.355;3.242;28.787;14.398;1.806;31.231;12.775;0.727;32.710;11.500;-0.072;33.514;15.732;6.114;22.571;15.213;5.705;29.216;12.752;3.903;32.411;10.231;2.385;33.957;8.558;1.483;34.844;14.596;6.947;22.772;14.131;7.829;29.653;11.741;6.356;33.353;9.438;5.023;34.811;7.606;4.121;35.590;14.245;7.764;22.532;12.512;9.825;29.180;10.405;8.969;32.325;8.736;7.806;33.905;7.184;6.676;35.037;13.195;8.201;22.799;11.419;11.047;24.808;10.307;11.810;27.865;8.629;13.737;28.885;0.000;0.000;0.000;-7.685;-12.206;-0.754;-9.999;-32.845;0.305;-12.715;-57.073;1.547;-12.196;-101.375;-6.691;7.514;-12.418;-1.325;9.638;-33.015;-0.258;12.133;-57.194;0.994;12.078;-101.553;-8.369
