Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1226.000;49.040;-0.006;7.147;-0.135;0.003;13.876;-0.321;0.038;25.779;-0.723;-0.261;41.640;-1.794;-0.255;46.028;1.170;0.054;52.599;2.116;-6.619;56.804;3.622;6.977;56.599;1.371;-1.826;59.031;10.327;4.667;58.933;9.253;-1.750;36.388;-3.015;-15.854;34.485;-1.496;-20.577;21.288;-2.443;-25.796;6.703;-3.489;-22.456;6.331;8.901;-18.783;5.786;23.482;-19.231;4.169;24.367;-16.076;2.458;30.989;-15.051;2.689;33.212;-14.104;2.429;35.588;-13.375;2.696;37.070;-19.308;5.010;24.422;-17.098;4.690;31.626;-14.901;5.317;35.018;-13.162;5.876;37.373;-11.945;6.127;38.998;-18.702;6.265;24.013;-17.059;7.348;31.882;-14.950;7.940;35.295;-12.892;8.455;37.912;-11.722;8.736;39.713;-18.914;7.302;23.785;-16.821;9.634;31.153;-14.274;10.153;34.052;-12.339;10.465;36.075;-10.861;10.371;37.514;-17.718;8.171;25.313;-17.147;11.452;26.721;-15.581;12.983;28.524;-16.213;15.537;29.466;1.477;36.452;-2.961;15.668;33.941;-1.366;20.452;20.240;-2.599;25.740;5.096;-3.962;22.519;6.352;8.283;18.907;7.430;23.259;18.792;5.839;24.462;16.920;4.544;30.868;15.987;3.565;33.532;14.644;2.994;35.459;13.554;2.604;36.711;18.841;6.751;24.494;17.685;6.966;31.093;15.966;6.846;35.161;13.729;6.771;37.645;12.205;6.837;39.084;18.178;7.895;24.518;17.701;9.358;31.511;16.037;9.734;35.880;13.900;9.909;38.065;12.178;10.134;39.391;18.156;8.772;24.236;17.196;11.919;30.821;15.240;13.145;33.977;13.392;13.415;35.783;11.620;13.569;37.125;17.688;9.795;24.523;17.466;13.406;25.829;17.129;15.432;28.367;16.935;18.171;28.181;0.000;0.000;0.000;-7.557;-12.283;-0.794;-9.397;-33.203;-0.447;-11.557;-57.761;-0.041;-10.155;-101.913;-8.534;7.621;-12.292;-1.804;9.385;-33.233;-0.744;11.456;-57.816;0.500;10.262;-102.198;-8.014
1227.000;49.080;-0.006;7.146;-0.135;0.004;13.874;-0.322;0.039;25.775;-0.727;-0.260;41.636;-1.799;-0.254;46.023;1.165;0.054;52.596;2.109;-6.622;56.797;3.616;6.975;56.599;1.366;-1.830;59.025;10.322;4.663;58.930;9.247;-1.749;36.384;-3.019;-15.853;34.482;-1.499;-20.575;21.284;-2.443;-25.794;6.697;-3.486;-22.455;6.331;8.904;-18.784;5.790;23.484;-19.240;4.173;24.372;-16.067;2.455;31.000;-15.062;2.708;33.217;-14.103;2.445;35.594;-13.368;2.709;37.072;-19.322;5.013;24.428;-17.100;4.702;31.631;-14.904;5.328;35.024;-13.171;5.885;37.370;-11.945;6.156;38.984;-18.706;6.280;24.014;-17.046;7.352;31.884;-14.958;7.936;35.299;-12.893;8.474;37.915;-11.723;8.748;39.717;-18.926;7.316;23.789;-16.826;9.645;31.160;-14.284;10.168;34.055;-12.354;10.470;36.081;-10.877;10.371;37.520;-17.741;8.180;25.317;-17.166;11.462;26.717;-15.602;12.992;28.521;-16.222;15.546;29.470;1.477;36.448;-2.965;15.670;33.937;-1.373;20.457;20.236;-2.603;25.749;5.093;-3.963;22.535;6.363;8.281;18.929;7.459;23.255;18.812;5.865;24.460;16.913;4.583;30.879;15.981;3.617;33.537;14.648;3.041;35.458;13.552;2.664;36.710;18.863;6.777;24.491;17.684;7.012;31.094;15.960;6.871;35.152;13.720;6.830;37.627;12.179;6.900;39.048;18.203;7.920;24.518;17.730;9.393;31.507;16.030;9.793;35.863;13.915;9.962;38.054;12.171;10.198;39.350;18.180;8.796;24.234;17.219;11.968;30.810;15.257;13.208;33.948;13.403;13.475;35.758;11.625;13.641;37.092;17.717;9.823;24.519;17.493;13.438;25.817;17.154;15.465;28.357;16.959;18.204;28.177;0.000;0.000;0.000;-7.557;-12.283;-0.794;-9.397;-33.203;-0.454;-11.557;-57.762;-0.054;-10.157;-101.915;-8.553;7.621;-12.291;-1.807;9.385;-33.233;-0.749;11.457;-57.817;0.493;10.260;-102.199;-8.030
1228.000;49.120;-0.007;7.147;-0.135;0.001;13.874;-0.321;0.034;25.775;-0.728;-0.266;41.637;-1.801;-0.261;46.025;1.163;0.044;52.597;2.109;-6.630;56.799;3.617;6.966;56.599;1.367;-1.838;59.023;10.324;4.655;58.928;9.249;-1.755;36.384;-3.020;-15.860;34.480;-1.500;-20.576;21.279;-2.444;-25.788;6.688;-3.487;-22.457;6.328;8.906;-18.796;5.792;23.488;-19.247;4.178;24.377;-16.075;2.455;31.006;-15.054;2.711;33.227;-14.105;2.447;35.594;-13.350;2.702;37.064;-19.329;5.018;24.434;-17.116;4.708;31.636;-14.906;5.339;35.025;-13.171;5.892;37.363;-11.932;6.168;38.966;-18.709;6.296;24.016;-17.063;7.358;31.886;-14.984;7.950;35.310;-12.906;8.505;37.908;-11.728;8.774;39.706;-18.934;7.331;23.790;-16.851;9.660;31.161;-14.335;10.185;34.072;-12.402;10.482;36.098;-10.924;10.421;37.538;-17.762;8.183;25.323;-17.179;11.466;26.720;-15.608;13.004;28.512;-16.243;15.547;29.478;1.472;36.449;-2.967;15.661;33.936;-1.377;20.456;20.239;-2.606;25.757;5.100;-3.964;22.551;6.374;8.282;18.958;7.477;23.260;18.840;5.881;24.463;16.948;4.609;30.889;16.034;3.625;33.539;14.686;3.045;35.460;13.600;2.667;36.720;18.892;6.794;24.493;17.724;7.024;31.101;15.967;6.893;35.144;13.712;6.826;37.603;12.149;6.893;39.000;18.240;7.930;24.527;17.759;9.413;31.510;16.038;9.803;35.858;13.893;9.988;38.025;12.143;10.218;39.314;18.213;8.806;24.243;17.254;11.991;30.803;15.259;13.228;33.933;13.375;13.494;35.718;11.600;13.662;37.057;17.743;9.842;24.536;17.521;13.452;25.819;17.179;15.477;28.343;16.992;18.218;28.184;0.000;0.000;0.000;-7.557;-12.283;-0.794;-9.397;-33.202;-0.457;-11.557;-57.760;-0.062;-10.158;-101.911;-8.564;7.621;-12.291;-1.807;9.385;-33.233;-0.755;11.455;-57.818;0.480;10.261;-102.198;-8.046
1229.000;49.160;-0.007;7.146;-0.134;0.000;13.873;-0.322;0.032;25.774;-0.731;-0.272;41.635;-1.807;-0.267;46.024;1.158;0.039;52.597;2.105;-6.635;56.798;3.617;6.960;56.600;1.361;-1.841;59.020;10.323;4.652;58.926;9.245;-1.760;36.382;-3.025;-15.863;34.476;-1.506;-20.576;21.273;-2.446;-25.784;6.680;-3.485;-22.453;6.326;8.910;-18.788;5.797;23.494;-19.231;4.192;24.384;-16.083;2.468;31.011;-15.084;2.740;33.237;-14.105;2.460;35.600;-13.349;2.727;37.067;-19.318;5.032;24.440;-17.125;4.725;31.643;-14.905;5.358;35.023;-13.166;5.942;37.360;-11.909;6.194;38.953;-18.730;6.282;24.023;-17.080;7.380;31.888;-14.979;7.978;35.297;-12.898;8.521;37.892;-11.706;8.817;39.676;-18.943;7.316;23.794;-16.880;9.667;31.169;-14.363;10.212;34.082;-12.419;10.491;36.118;-10.950;10.440;37.568;-17.744;8.187;25.319;-17.181;11.478;26.726;-15.605;13.015;28.520;-16.232;15.565;29.473;1.467;36.447;-2.972;15.660;33.942;-1.381;20.464;20.245;-2.612;25.775;5.107;-3.973;22.578;6.373;8.277;18.993;7.467;23.258;18.875;5.866;24.461;17.012;4.591;30.879;16.060;3.610;33.539;14.739;3.022;35.457;13.637;2.640;36.702;18.922;6.778;24.490;17.760;6.999;31.096;16.010;6.873;35.147;13.743;6.819;37.594;12.188;6.872;39.001;18.269;7.915;24.531;17.800;9.406;31.508;16.077;9.805;35.855;13.931;9.974;38.020;12.173;10.199;39.299;18.241;8.789;24.245;17.282;11.976;30.801;15.304;13.224;33.920;13.406;13.481;35.719;11.641;13.649;37.070;17.752;9.844;24.547;17.543;13.442;25.810;17.230;15.460;28.338;17.024;18.200;28.188;0.000;0.000;0.000;-7.557;-12.283;-0.795;-9.397;-33.202;-0.459;-11.557;-57.759;-0.066;-10.157;-101.910;-8.581;7.620;-12.291;-1.809;9.385;-33.233;-0.758;11.457;-57.816;0.476;10.262;-102.198;-8.054
1230.000;49.200;-0.007;7.146;-0.134;-0.000;13.873;-0.322;0.031;25.773;-0.733;-0.274;41.634;-1.806;-0.270;46.023;1.160;0.031;52.596;2.108;-6.643;56.796;3.623;6.951;56.601;1.362;-1.846;59.020;10.326;4.646;58.927;9.247;-1.761;36.381;-3.026;-15.868;34.471;-1.508;-20.578;21.266;-2.449;-25.784;6.670;-3.489;-22.448;6.325;8.905;-18.779;5.805;23.490;-19.239;4.230;24.383;-16.082;2.491;31.011;-15.085;2.755;33.242;-14.092;2.469;35.596;-13.337;2.744;37.063;-19.341;5.067;24.446;-17.124;4.741;31.638;-14.888;5.372;35.013;-13.160;5.935;37.349;-11.893;6.194;38.933;-18.720;6.291;24.018;-17.082;7.388;31.885;-14.963;8.003;35.285;-12.844;8.531;37.840;-11.609;8.820;39.596;-18.933;7.319;23.789;-16.887;9.672;31.171;-14.383;10.210;34.089;-12.429;10.502;36.112;-10.954;10.432;37.555;-17.742;8.200;25.322;-17.179;11.485;26.730;-15.631;13.017;28.511;-16.228;15.568;29.483;1.466;36.447;-2.971;15.652;33.944;-1.381;20.472;20.251;-2.616;25.799;5.116;-3.981;22.609;6.367;8.273;19.037;7.440;23.260;18.920;5.846;24.461;17.086;4.549;30.870;16.128;3.565;33.534;14.800;2.973;35.458;13.710;2.590;36.714;18.966;6.758;24.491;17.835;6.965;31.100;16.045;6.837;35.137;13.769;6.764;37.589;12.202;6.841;38.982;18.310;7.900;24.528;17.858;9.377;31.510;16.139;9.761;35.863;13.958;9.933;38.006;12.197;10.152;39.282;18.283;8.776;24.245;17.330;11.934;30.813;15.352;13.179;33.934;13.465;13.451;35.729;11.698;13.608;37.079;17.818;9.809;24.556;17.593;13.410;25.817;17.247;15.442;28.355;17.066;18.182;28.181;0.000;0.000;0.000;-7.557;-12.283;-0.796;-9.397;-33.201;-0.462;-11.557;-57.757;-0.070;-10.158;-101.908;-8.588;7.620;-12.291;-1.811;9.385;-33.232;-0.765;11.456;-57.816;0.463;10.262;-102.196;-8.070
1231.000;49.240;-0.008;7.145;-0.134;-0.003;13.871;-0.322;0.021;25.770;-0.735;-0.290;41.631;-1.805;-0.288;46.021;1.162;0.015;52.597;2.113;-6.662;56.793;3.626;6.933;56.605;1.369;-1.868;59.019;10.332;4.624;58.929;9.254;-1.775;36.378;-3.026;-15.879;34.462;-1.511;-20.588;21.258;-2.459;-25.793;6.663;-3.506;-22.451;6.324;8.888;-18.772;5.814;23.469;-19.224;4.213;24.358;-16.079;2.504;30.995;-15.042;2.748;33.226;-14.068;2.474;35.578;-13.315;2.748;37.046;-19.318;5.052;24.415;-17.139;4.744;31.626;-14.912;5.353;35.005;-13.161;5.898;37.328;-11.883;6.160;38.903;-18.697;6.320;23.986;-17.114;7.403;31.871;-14.995;7.992;35.287;-12.815;8.551;37.797;-11.553;8.819;39.537;-18.921;7.338;23.761;-16.927;9.681;31.157;-14.437;10.230;34.090;-12.510;10.496;36.135;-11.029;10.404;37.571;-17.740;8.202;25.297;-17.164;11.488;26.706;-15.606;13.023;28.517;-16.205;15.576;29.484;1.451;36.445;-2.972;15.637;33.944;-1.382;20.473;20.257;-2.619;25.818;5.129;-3.987;22.641;6.349;8.275;19.085;7.389;23.270;18.975;5.787;24.466;17.134;4.489;30.879;16.188;3.472;33.534;14.853;2.867;35.450;13.762;2.462;36.697;19.019;6.700;24.498;17.877;6.896;31.108;16.071;6.747;35.139;13.777;6.663;37.555;12.193;6.705;38.930;18.363;7.842;24.538;17.895;9.286;31.527;16.130;9.657;35.857;13.929;9.821;37.980;12.153;10.030;39.236;18.334;8.719;24.256;17.362;11.868;30.828;15.355;13.073;33.961;13.490;13.343;35.749;11.709;13.504;37.079;17.849;9.748;24.555;17.623;13.353;25.840;17.266;15.375;28.384;17.068;18.114;28.209;0.000;0.000;0.000;-7.557;-12.283;-0.796;-9.395;-33.201;-0.463;-11.554;-57.757;-0.072;-10.152;-101.910;-8.594;7.621;-12.290;-1.812;9.387;-33.232;-0.768;11.459;-57.815;0.458;10.267;-102.191;-8.078
1232.000;49.280;-0.009;7.143;-0.132;-0.004;13.866;-0.322;0.023;25.760;-0.741;-0.299;41.622;-1.809;-0.296;46.012;1.161;0.013;52.588;2.117;-6.668;56.780;3.627;6.928;56.601;1.377;-1.879;59.008;10.335;4.614;58.922;9.261;-1.781;36.367;-3.031;-15.882;34.444;-1.506;-20.594;21.246;-2.469;-25.803;6.660;-3.534;-22.442;6.359;8.851;-18.738;5.903;23.420;-19.193;4.308;24.300;-16.078;2.629;30.968;-15.033;2.843;33.191;-14.020;2.565;35.524;-13.217;2.854;36.963;-19.298;5.145;24.358;-17.175;4.869;31.583;-15.020;5.405;35.029;-13.197;5.902;37.306;-11.861;6.137;38.837;-18.666;6.426;23.927;-17.166;7.498;31.834;-15.081;8.086;35.287;-12.819;8.639;37.713;-11.455;8.868;39.379;-18.916;7.454;23.701;-16.978;9.761;31.133;-14.574;10.301;34.128;-12.688;10.491;36.213;-11.229;10.385;37.669;-17.711;8.284;25.260;-17.079;11.567;26.655;-15.473;13.063;28.497;-15.986;15.617;29.507;1.446;36.437;-2.976;15.640;33.949;-1.389;20.495;20.266;-2.632;25.860;5.143;-4.006;22.684;6.303;8.269;19.125;7.271;23.280;19.020;5.645;24.458;17.198;4.295;30.870;16.258;3.240;33.509;14.908;2.625;35.407;13.815;2.224;36.654;19.057;6.557;24.492;17.951;6.705;31.110;16.143;6.534;35.145;13.794;6.412;37.520;12.183;6.443;38.863;18.409;7.686;24.568;17.929;9.126;31.544;16.152;9.423;35.877;13.909;9.551;37.960;12.083;9.736;39.148;18.367;8.564;24.292;17.402;11.664;30.876;15.370;12.810;34.023;13.506;13.056;35.797;11.696;13.163;37.094;17.899;9.605;24.572;17.636;13.203;25.912;17.253;15.203;28.471;17.053;17.944;28.322;0.000;0.000;0.000;-7.556;-12.284;-0.797;-9.392;-33.204;-0.468;-11.548;-57.762;-0.081;-10.148;-101.912;-8.603;7.621;-12.289;-1.821;9.389;-33.230;-0.779;11.465;-57.814;0.445;10.273;-102.194;-8.088
1233.000;49.320;-0.009;7.135;-0.130;0.003;13.852;-0.322;0.046;25.734;-0.749;-0.283;41.596;-1.805;-0.279;45.988;1.171;0.044;52.569;2.132;-6.651;56.751;3.604;6.958;56.592;1.426;-1.901;58.990;10.336;4.598;58.915;9.296;-1.761;36.342;-3.031;-15.854;34.414;-1.527;-20.561;21.248;-2.470;-25.762;6.697;-3.513;-22.351;6.622;8.830;-18.582;6.444;23.340;-19.096;4.850;24.221;-16.181;3.238;31.018;-15.076;3.383;33.234;-13.802;3.117;35.430;-12.807;3.409;36.741;-19.186;5.691;24.259;-17.356;5.527;31.557;-15.614;5.820;35.266;-13.413;6.222;37.267;-11.760;6.385;38.459;-18.509;7.007;23.804;-17.333;8.115;31.826;-15.625;8.658;35.533;-13.141;9.056;37.791;-11.528;9.150;39.232;-18.758;8.013;23.566;-17.052;10.405;31.069;-15.042;10.905;34.346;-13.174;11.047;36.480;-11.704;10.922;37.925;-17.504;8.853;25.197;-16.608;12.100;26.485;-14.740;13.311;28.447;-14.447;15.679;29.901;1.465;36.413;-2.975;15.661;33.944;-1.394;20.551;20.272;-2.666;25.955;5.160;-4.072;22.759;6.208;8.224;19.172;7.058;23.269;19.114;5.386;24.390;17.344;3.847;30.772;16.388;2.746;33.378;15.000;2.109;35.233;13.860;1.710;36.438;19.132;6.299;24.443;18.048;6.300;31.072;16.185;5.989;35.067;13.704;5.801;37.312;12.017;5.803;38.558;18.474;7.410;24.580;17.995;8.681;31.567;16.167;8.802;35.912;13.806;8.839;37.865;11.913;8.928;38.955;18.410;8.292;24.325;17.400;11.207;30.983;15.316;12.141;34.147;13.438;12.235;35.922;11.598;12.206;37.179;17.921;9.332;24.634;17.478;12.865;26.155;16.979;14.708;28.789;16.490;17.415;28.869;0.000;0.000;0.000;-7.552;-12.286;-0.797;-9.383;-33.209;-0.478;-11.533;-57.771;-0.104;-10.133;-101.917;-8.616;7.624;-12.285;-1.832;9.399;-33.228;-0.792;11.483;-57.814;0.428;10.293;-102.200;-8.097
1234.000;49.360;-0.006;7.127;-0.129;0.024;13.837;-0.320;0.126;25.706;-0.744;-0.181;41.570;-1.775;-0.176;45.963;1.207;0.151;52.556;2.167;-6.579;56.722;3.521;7.063;56.597;1.562;-1.944;58.991;10.323;4.571;58.931;9.388;-1.665;36.319;-3.012;-15.748;34.417;-1.567;-20.499;21.286;-2.282;-25.749;6.774;-3.072;-22.162;7.493;9.139;-18.143;8.300;23.479;-18.930;6.787;24.399;-17.037;5.523;31.642;-16.340;5.553;33.983;-14.473;5.266;35.751;-13.002;5.632;36.457;-18.837;7.627;24.340;-17.892;7.966;31.815;-16.941;8.179;35.800;-14.250;8.340;37.271;-12.236;8.163;37.576;-18.026;8.859;23.897;-17.464;10.619;31.973;-16.778;11.100;35.989;-14.006;10.939;37.822;-11.926;10.507;38.243;-18.062;9.874;23.535;-16.799;12.715;31.006;-15.518;13.278;34.546;-13.389;13.181;36.394;-11.605;12.697;37.315;-16.760;10.799;25.257;-15.005;13.730;26.217;-12.711;14.139;28.329;-11.202;14.681;30.618;1.562;36.386;-2.952;15.746;33.902;-1.374;20.681;20.243;-2.725;26.135;5.147;-4.218;22.824;5.926;8.105;19.144;6.557;23.237;19.177;4.778;24.227;17.759;2.807;30.489;16.667;1.632;33.034;15.084;0.995;34.717;13.814;0.589;35.781;19.124;5.685;24.327;18.322;5.240;30.968;16.213;4.577;34.794;13.474;4.125;36.707;11.661;4.003;37.754;18.503;6.848;24.572;18.101;7.602;31.610;16.122;7.236;35.851;13.634;6.950;37.620;11.632;6.839;38.490;18.409;7.743;24.377;17.355;10.035;31.238;15.220;10.333;34.498;13.330;10.079;36.211;11.489;9.759;37.426;17.760;8.658;24.777;16.883;11.929;26.756;16.047;13.266;29.605;14.969;15.708;30.276;0.000;0.000;0.000;-7.543;-12.291;-0.801;-9.365;-33.215;-0.481;-11.504;-57.779;-0.107;-10.087;-101.928;-8.602;7.633;-12.280;-1.833;9.419;-33.225;-0.791;11.514;-57.813;0.432;10.334;-102.208;-8.086
