Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1804.000;72.160;0.038;7.180;-0.140;0.085;13.939;-0.254;0.180;25.900;-0.430;-0.041;41.785;-1.091;-0.012;46.053;1.930;0.541;52.544;2.969;-6.183;56.724;4.309;7.496;56.544;2.630;-1.674;58.748;11.271;4.858;58.662;10.469;-1.517;36.572;-2.484;-15.653;34.691;-1.114;-20.515;21.625;-2.592;-25.889;7.184;-4.226;-22.631;5.790;8.117;-19.090;4.086;22.604;-19.650;2.486;23.444;-16.713;0.197;30.084;-15.592;0.119;32.337;-14.700;-0.482;34.592;-13.895;-0.389;36.054;-19.666;3.326;23.541;-17.627;2.568;30.759;-15.837;2.865;34.426;-14.263;3.154;36.925;-13.123;3.272;38.619;-18.987;4.508;23.113;-17.419;5.096;31.192;-15.861;5.435;34.922;-14.006;5.599;37.733;-12.924;5.739;39.604;-19.107;5.566;22.928;-17.102;7.451;30.579;-15.336;7.939;33.958;-13.580;8.100;36.161;-12.134;7.974;37.629;-17.915;6.336;24.565;-17.046;9.553;25.992;-15.331;10.819;27.804;-15.560;13.385;28.885;1.707;36.623;-2.351;15.833;34.017;-0.371;20.573;20.381;-2.101;25.812;5.311;-4.014;22.420;4.911;8.278;18.732;4.128;23.280;18.840;2.474;24.439;17.837;0.840;30.970;16.895;-0.093;33.681;15.360;-0.536;35.499;14.120;-0.779;36.646;18.862;3.384;24.521;18.592;3.268;31.178;17.446;2.895;35.416;15.518;2.659;38.135;14.203;2.612;39.769;18.130;4.489;24.592;18.670;5.609;31.698;18.066;5.641;36.331;16.637;5.634;39.024;15.417;5.714;40.836;18.049;5.377;24.362;18.043;8.132;31.304;17.452;9.073;35.040;16.681;9.359;37.529;15.836;9.559;39.581;17.612;6.308;24.845;17.325;9.804;26.436;17.187;11.633;29.091;16.722;14.339;29.271;0.000;0.000;0.000;-7.613;-12.241;-0.898;-9.809;-33.113;-0.131;-12.384;-57.615;0.764;-11.537;-101.853;-6.984;7.583;-12.347;-1.571;9.522;-33.193;-0.427;11.803;-57.664;0.915;11.179;-102.171;-7.753
1805.000;72.200;0.038;7.179;-0.140;0.083;13.938;-0.256;0.174;25.897;-0.440;-0.055;41.782;-1.107;-0.029;46.051;1.913;0.521;52.543;2.949;-6.208;56.718;4.283;7.472;56.548;2.611;-1.704;58.751;11.246;4.829;58.670;10.447;-1.528;36.568;-2.499;-15.662;34.681;-1.134;-20.517;21.611;-2.607;-25.883;7.165;-4.236;-22.656;5.798;8.116;-19.149;4.126;22.612;-19.714;2.514;23.453;-16.787;0.260;30.101;-15.668;0.186;32.357;-14.751;-0.417;34.611;-13.951;-0.340;36.077;-19.727;3.355;23.547;-17.713;2.616;30.773;-15.921;2.920;34.443;-14.360;3.227;36.942;-13.215;3.357;38.631;-19.038;4.567;23.110;-17.473;5.166;31.197;-15.938;5.456;34.938;-14.100;5.666;37.751;-13.023;5.811;39.624;-19.166;5.615;22.927;-17.184;7.502;30.586;-15.424;7.994;33.967;-13.668;8.187;36.161;-12.237;8.005;37.638;-17.983;6.373;24.563;-17.117;9.600;25.988;-15.413;10.863;27.809;-15.629;13.434;28.883;1.697;36.620;-2.364;15.824;34.026;-0.374;20.571;20.388;-2.083;25.819;5.314;-3.972;22.414;4.949;8.315;18.707;4.208;23.314;18.803;2.541;24.474;17.808;0.933;31.006;16.859;0.002;33.719;15.328;-0.438;35.530;14.074;-0.679;36.661;18.822;3.452;24.550;18.575;3.364;31.208;17.410;2.990;35.446;15.469;2.756;38.162;14.149;2.715;39.791;18.091;4.572;24.630;18.620;5.696;31.729;18.033;5.729;36.364;16.587;5.735;39.050;15.363;5.820;40.858;18.010;5.459;24.399;18.007;8.224;31.331;17.421;9.159;35.062;16.636;9.455;37.547;15.777;9.648;39.594;17.572;6.393;24.867;17.294;9.888;26.448;17.149;11.715;29.116;16.686;14.421;29.296;0.000;0.000;0.000;-7.613;-12.240;-0.904;-9.809;-33.112;-0.145;-12.383;-57.615;0.742;-11.533;-101.852;-7.018;7.583;-12.347;-1.573;9.520;-33.193;-0.439;11.799;-57.665;0.892;11.175;-102.168;-7.794
1806.000;72.240;0.037;7.178;-0.140;0.080;13.937;-0.258;0.168;25.895;-0.449;-0.065;41.780;-1.117;-0.044;46.050;1.902;0.498;52.545;2.938;-6.233;56.718;4.268;7.448;56.552;2.603;-1.733;58.753;11.233;4.800;58.674;10.438;-1.536;36.565;-2.510;-15.672;34.673;-1.151;-20.525;21.602;-2.618;-25.890;7.155;-4.239;-22.676;5.810;8.120;-19.185;4.167;22.626;-19.750;2.542;23.465;-16.823;0.317;30.117;-15.692;0.241;32.363;-14.760;-0.351;34.617;-13.944;-0.264;36.074;-19.759;3.383;23.555;-17.754;2.688;30.786;-15.959;2.989;34.456;-14.400;3.311;36.953;-13.243;3.421;38.636;-19.084;4.607;23.122;-17.540;5.228;31.207;-15.975;5.526;34.939;-14.147;5.724;37.755;-13.055;5.877;39.619;-19.213;5.662;22.938;-17.233;7.553;30.594;-15.476;8.046;33.974;-13.711;8.235;36.171;-12.289;8.060;37.658;-18.033;6.425;24.586;-17.164;9.650;26.002;-15.441;10.906;27.817;-15.666;13.483;28.873;1.689;36.618;-2.373;15.816;34.029;-0.376;20.574;20.391;-2.070;25.832;5.318;-3.942;22.409;4.974;8.343;18.681;4.258;23.340;18.778;2.587;24.498;17.770;0.998;31.035;16.823;0.065;33.743;15.290;-0.377;35.553;14.034;-0.621;36.682;18.791;3.498;24.573;18.535;3.426;31.235;17.357;3.057;35.469;15.397;2.808;38.172;14.072;2.769;39.797;18.067;4.620;24.650;18.583;5.768;31.747;17.965;5.805;36.383;16.519;5.805;39.059;15.281;5.880;40.859;17.981;5.507;24.420;17.960;8.279;31.353;17.354;9.213;35.089;16.571;9.482;37.557;15.685;9.683;39.592;17.533;6.448;24.899;17.233;9.935;26.470;17.083;11.753;29.157;16.581;14.453;29.332;0.000;0.000;0.000;-7.613;-12.240;-0.907;-9.812;-33.109;-0.153;-12.390;-57.607;0.729;-11.546;-101.847;-7.032;7.583;-12.347;-1.572;9.520;-33.192;-0.442;11.796;-57.663;0.884;11.175;-102.168;-7.805
1807.000;72.280;0.036;7.176;-0.140;0.078;13.933;-0.261;0.163;25.888;-0.461;-0.074;41.773;-1.131;-0.056;46.045;1.889;0.482;52.544;2.925;-6.253;56.710;4.255;7.429;56.558;2.594;-1.757;58.747;11.222;4.776;58.674;10.429;-1.543;36.557;-2.524;-15.678;34.664;-1.169;-20.532;21.592;-2.629;-25.898;7.143;-4.242;-22.691;5.810;8.120;-19.206;4.183;22.627;-19.777;2.586;23.476;-16.852;0.340;30.115;-15.686;0.288;32.354;-14.724;-0.312;34.591;-13.885;-0.216;36.034;-19.801;3.427;23.572;-17.771;2.696;30.787;-15.956;3.004;34.445;-14.375;3.310;36.935;-13.238;3.428;38.630;-19.113;4.621;23.126;-17.576;5.231;31.209;-15.972;5.551;34.919;-14.094;5.765;37.711;-12.992;5.907;39.570;-19.236;5.673;22.939;-17.264;7.577;30.590;-15.513;8.059;33.971;-13.740;8.242;36.166;-12.301;8.077;37.637;-18.076;6.448;24.605;-17.124;9.656;26.003;-15.370;10.900;27.806;-15.541;13.518;28.767;1.682;36.611;-2.386;15.809;34.026;-0.379;20.581;20.386;-2.062;25.854;5.309;-3.922;22.403;4.984;8.358;18.644;4.291;23.350;18.765;2.621;24.503;17.715;1.046;31.041;16.765;0.142;33.754;15.232;-0.295;35.579;13.992;-0.532;36.727;18.783;3.532;24.577;18.486;3.448;31.243;17.284;3.058;35.469;15.303;2.819;38.157;13.953;2.782;39.762;18.032;4.635;24.669;18.540;5.789;31.765;17.861;5.823;36.386;16.388;5.802;39.048;15.109;5.881;40.819;17.942;5.521;24.437;17.912;8.325;31.361;17.331;9.231;35.090;16.486;9.447;37.554;15.574;9.640;39.579;17.442;6.467;24.894;17.141;9.950;26.515;16.904;11.758;29.185;16.426;14.461;29.377;0.000;0.000;0.000;-7.613;-12.240;-0.910;-9.812;-33.110;-0.166;-12.389;-57.609;0.704;-11.546;-101.847;-7.064;7.584;-12.346;-1.571;9.518;-33.193;-0.451;11.793;-57.665;0.863;11.173;-102.168;-7.837
1808.000;72.320;0.036;7.174;-0.141;0.076;13.929;-0.265;0.157;25.880;-0.474;-0.076;41.765;-1.147;-0.060;46.039;1.876;0.473;52.539;2.916;-6.262;56.703;4.248;7.420;56.553;2.593;-1.770;58.732;11.219;4.764;58.661;10.429;-1.546;36.550;-2.539;-15.684;34.659;-1.184;-20.548;21.589;-2.635;-25.924;7.143;-4.239;-22.711;5.829;8.129;-19.218;4.226;22.647;-19.795;2.615;23.496;-16.828;0.401;30.110;-15.642;0.378;32.338;-14.635;-0.197;34.562;-13.756;-0.063;35.978;-19.814;3.456;23.589;-17.793;2.741;30.797;-15.897;3.102;34.422;-14.298;3.424;36.891;-13.129;3.544;38.565;-19.151;4.640;23.166;-17.547;5.304;31.195;-15.851;5.693;34.838;-13.900;5.891;37.593;-12.773;6.046;39.436;-19.258;5.683;22.961;-17.287;7.650;30.574;-15.483;8.091;33.943;-13.720;8.272;36.142;-12.297;8.087;37.626;-18.102;6.527;24.671;-16.806;9.641;26.000;-14.920;10.763;27.715;-14.852;13.444;28.501;1.678;36.603;-2.401;15.803;34.013;-0.390;20.586;20.373;-2.058;25.872;5.297;-3.902;22.402;5.002;8.378;18.619;4.358;23.373;18.763;2.675;24.515;17.540;1.148;31.029;16.522;0.404;33.747;15.049;0.041;35.617;13.825;-0.172;36.786;18.789;3.586;24.591;18.438;3.499;31.251;17.174;3.097;35.464;15.162;2.871;38.124;13.792;2.838;39.711;18.020;4.708;24.687;18.492;5.822;31.788;17.759;5.814;36.395;16.208;5.759;39.017;14.894;5.815;40.762;17.934;5.596;24.459;17.876;8.349;31.390;17.258;9.161;35.120;16.337;9.297;37.572;15.316;9.412;39.549;17.396;6.520;24.944;16.925;9.985;26.590;16.516;11.720;29.297;15.818;14.373;29.506;0.000;0.000;0.000;-7.612;-12.241;-0.910;-9.811;-33.110;-0.170;-12.388;-57.610;0.695;-11.544;-101.848;-7.088;7.584;-12.346;-1.571;9.515;-33.194;-0.455;11.786;-57.667;0.855;11.158;-102.168;-7.857
1809.000;72.360;0.036;7.172;-0.144;0.075;13.924;-0.275;0.152;25.871;-0.500;-0.082;41.755;-1.170;-0.068;46.032;1.858;0.458;52.533;2.909;-6.282;56.692;4.234;7.402;56.553;2.593;-1.798;58.724;11.210;4.736;58.658;10.427;-1.552;36.541;-2.563;-15.689;34.642;-1.197;-20.573;21.578;-2.656;-25.971;7.139;-4.269;-22.742;5.898;8.117;-19.230;4.406;22.660;-19.814;2.789;23.507;-16.761;0.610;30.079;-15.492;0.598;32.251;-14.390;0.048;34.427;-13.421;0.205;35.782;-19.868;3.627;23.606;-17.798;2.920;30.790;-15.688;3.275;34.289;-14.006;3.597;36.715;-12.837;3.738;38.388;-19.164;4.798;23.194;-17.610;5.534;31.130;-15.456;5.927;34.559;-13.392;6.233;37.172;-12.156;6.432;38.939;-19.284;5.842;22.977;-17.311;7.881;30.491;-15.255;8.382;33.724;-13.492;8.579;35.902;-12.026;8.469;37.351;-18.003;6.684;24.703;-15.990;9.468;25.968;-13.784;10.121;27.489;-12.993;12.671;28.312;1.672;36.594;-2.425;15.796;34.007;-0.432;20.606;20.385;-2.032;25.922;5.328;-3.800;22.410;5.126;8.486;18.576;4.606;23.501;18.774;2.923;24.609;17.258;1.445;31.058;16.016;0.847;33.699;14.646;0.546;35.655;13.516;0.392;36.923;18.853;3.829;24.695;18.379;3.672;31.337;16.922;3.285;35.487;14.796;3.089;38.062;13.362;3.058;39.592;17.959;4.928;24.858;18.479;5.985;31.900;17.514;5.896;36.464;15.777;5.783;38.972;14.310;5.812;40.592;17.883;5.818;24.636;17.847;8.483;31.518;16.898;9.019;35.250;15.731;8.978;37.604;14.556;8.952;39.497;17.387;6.756;25.164;16.500;10.153;26.845;15.672;11.655;29.628;14.554;14.137;30.032;0.000;0.000;0.000;-7.612;-12.241;-0.906;-9.809;-33.110;-0.171;-12.385;-57.610;0.688;-11.543;-101.846;-7.102;7.585;-12.346;-1.568;9.518;-33.193;-0.456;11.791;-57.666;0.849;11.165;-102.163;-7.877
1810.000;72.400;0.034;7.167;-0.146;0.071;13.915;-0.286;0.145;25.853;-0.534;-0.089;41.738;-1.209;-0.062;46.016;1.824;0.485;52.515;2.886;-6.255;56.669;4.226;7.426;56.539;2.567;-1.763;58.692;11.200;4.770;58.630;10.407;-1.562;36.523;-2.596;-15.691;34.632;-1.179;-20.655;21.607;-2.622;-26.141;7.212;-4.217;-22.763;6.130;8.156;-19.050;4.846;22.692;-19.672;3.236;23.577;-16.389;1.164;30.030;-14.981;1.279;32.071;-13.558;0.834;34.133;-12.444;1.061;35.359;-19.760;4.072;23.678;-17.582;3.385;30.802;-15.017;3.745;33.980;-13.283;4.070;36.357;-12.042;4.185;37.978;-18.992;5.180;23.293;-17.425;6.055;31.010;-14.682;6.529;33.955;-12.338;6.844;36.317;-10.930;7.140;37.936;-19.083;6.220;23.020;-17.201;8.472;30.358;-14.664;9.034;33.238;-12.669;9.315;35.243;-11.164;9.280;36.656;-17.721;7.028;24.735;-15.026;9.174;26.020;-12.552;9.037;27.440;-11.013;11.191;28.332;1.662;36.576;-2.466;15.787;34.018;-0.534;20.700;20.404;-1.906;26.129;5.357;-3.422;22.468;5.417;8.863;18.432;5.229;23.906;18.652;3.552;24.994;16.851;2.155;31.307;15.060;1.823;33.659;13.468;1.661;35.462;12.242;1.596;36.647;18.807;4.447;25.099;18.260;4.169;31.695;16.162;3.725;35.556;13.691;3.536;37.805;12.060;3.525;39.124;17.876;5.510;25.327;18.446;6.538;32.242;16.911;6.294;36.644;14.689;6.172;38.748;12.877;6.170;39.970;17.814;6.400;25.102;17.788;9.037;31.798;16.026;9.268;35.288;14.398;9.046;37.302;12.782;8.849;38.823;17.380;7.404;25.742;15.611;10.498;27.327;14.236;11.414;30.192;12.369;13.305;30.905;0.000;0.000;0.000;-7.613;-12.241;-0.898;-9.809;-33.112;-0.165;-12.384;-57.612;0.692;-11.550;-101.850;-7.111;7.583;-12.346;-1.578;9.518;-33.196;-0.469;11.793;-57.671;0.833;11.159;-102.169;-7.883
1811.000;72.440;0.034;7.165;-0.149;0.071;13.910;-0.298;0.143;25.845;-0.570;-0.102;41.729;-1.260;-0.061;46.009;1.781;0.502;52.502;2.866;-6.236;56.655;4.221;7.444;56.525;2.549;-1.738;58.661;11.195;4.795;58.599;10.397;-1.578;36.511;-2.636;-15.679;34.632;-1.119;-20.934;21.694;-2.378;-26.743;7.394;-3.769;-22.801;6.706;8.480;-18.403;5.923;22.862;-19.106;4.291;23.839;-15.525;2.709;30.175;-13.819;3.125;31.964;-12.017;3.019;33.771;-10.745;3.465;34.761;-19.247;5.121;23.915;-16.868;4.770;30.945;-13.875;5.234;33.623;-11.999;5.658;35.872;-10.686;5.852;37.427;-18.314;6.186;23.569;-16.938;7.435;30.945;-13.667;7.907;33.227;-11.008;8.285;35.215;-9.368;8.561;36.602;-18.362;7.200;23.210;-16.748;9.895;30.222;-13.706;10.389;32.607;-11.462;10.720;34.299;-9.825;10.676;35.557;-17.090;7.933;24.765;-14.108;9.607;26.250;-11.793;8.908;27.855;-9.646;10.377;28.874;1.647;36.566;-2.518;15.765;34.044;-0.635;20.996;20.458;-1.472;26.778;5.441;-2.396;22.662;6.026;9.782;18.046;6.492;24.736;18.244;4.829;25.849;15.991;3.575;31.924;13.511;3.730;33.634;11.380;3.993;34.755;9.802;4.247;35.350;18.450;5.712;25.963;17.654;5.535;32.492;14.662;5.216;35.761;11.624;5.268;37.211;9.667;5.470;37.937;17.502;6.751;26.222;17.931;7.876;32.958;15.472;7.705;36.920;12.754;7.655;38.346;10.675;7.718;39.017;17.446;7.636;25.976;17.259;10.334;32.384;14.734;10.498;35.369;12.655;10.158;36.913;10.742;9.857;38.017;16.886;8.540;26.534;14.383;11.053;28.250;12.575;11.444;30.999;10.121;12.520;31.625;0.000;0.000;0.000;-7.614;-12.242;-0.880;-9.806;-33.111;-0.142;-12.376;-57.610;0.721;-11.560;-101.852;-7.091;7.581;-12.345;-1.597;9.523;-33.194;-0.484;11.806;-57.669;0.823;11.163;-102.171;-7.863
1812.000;72.480;0.034;7.161;-0.157;0.073;13.903;-0.313;0.151;25.831;-0.598;-0.111;41.714;-1.299;-0.058;46.000;1.751;0.514;52.495;2.853;-6.228;56.643;4.206;7.456;56.519;2.561;-1.743;58.631;11.194;4.792;58.572;10.408;-1.587;36.494;-2.665;-15.640;34.626;-1.006;-21.450;21.814;-1.754;-27.871;7.654;-2.581;-22.922;7.873;9.306;-17.309;8.194;23.264;-18.102;6.614;24.424;-14.141;5.794;30.550;-12.101;6.570;31.836;-9.887;6.817;33.146;-8.459;7.448;33.746;-18.267;7.444;24.430;-15.595;7.773;31.261;-12.014;8.543;33.057;-9.831;9.132;34.927;-8.290;9.459;36.231;-17.205;8.477;24.005;-15.769;10.428;30.913;-12.206;10.940;32.550;-9.216;11.372;34.049;-7.396;11.679;35.182;-17.246;9.449;23.540;-15.587;12.774;30.019;-12.145;13.165;31.805;-9.668;13.479;33.159;-7.924;13.467;34.264;-16.009;10.152;24.948;-12.957;11.608;26.537;-10.712;10.691;28.231;-8.490;11.856;29.460;1.638;36.552;-2.560;15.753;34.112;-0.682;21.459;20.608;-0.599;27.764;5.682;-0.507;22.847;7.121;11.337;17.205;8.669;25.943;17.334;7.028;27.097;14.583;6.028;32.922;11.669;6.628;33.730;9.388;7.300;34.089;7.761;7.811;34.045;17.580;7.900;27.218;16.315;7.821;33.604;12.819;7.805;36.335;9.525;8.080;37.102;7.477;8.495;37.281;16.583;9.034;27.418;16.752;10.157;34.038;13.543;10.190;37.453;10.618;10.323;38.329;8.440;10.464;38.442;16.586;9.913;27.145;16.168;12.649;33.308;13.123;12.844;35.804;10.824;12.569;37.008;8.736;12.350;37.754;15.955;10.572;27.525;13.076;12.592;29.394;10.966;12.513;32.042;8.297;12.987;32.512;0.000;0.000;0.000;-7.616;-12.243;-0.843;-9.801;-33.112;-0.086;-12.363;-57.610;0.799;-11.565;-101.851;-7.013;7.576;-12.347;-1.604;9.529;-33.193;-0.472;11.825;-57.663;0.856;11.172;-102.171;-7.781
