Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
856.000;34.240;-0.033;7.151;-0.234;-0.111;13.878;-0.589;-0.309;25.772;-1.387;-0.904;41.599;-2.796;-0.850;45.949;0.029;-0.427;52.380;0.864;-7.236;56.290;2.546;6.347;56.646;0.237;-2.489;58.443;9.309;3.997;58.613;8.206;-2.324;36.297;-3.873;-16.365;34.342;-1.788;-20.515;20.942;-0.255;-25.103;6.132;1.439;-20.615;7.910;13.368;-15.503;10.007;27.461;-15.993;8.510;28.390;-13.011;6.807;35.026;-12.309;7.000;37.312;-11.664;6.662;39.799;-11.165;6.904;41.376;-16.034;9.354;28.427;-13.741;9.125;35.549;-11.911;9.526;39.102;-11.239;9.907;41.945;-10.797;10.100;43.932;-15.433;10.508;27.970;-13.622;11.688;35.881;-11.969;12.146;39.525;-10.713;12.687;42.584;-10.032;12.880;44.631;-15.576;11.533;27.721;-13.383;13.999;35.180;-11.576;14.645;38.575;-10.538;15.078;41.138;-9.858;15.101;43.087;-14.279;12.290;29.147;-13.662;15.612;30.832;-12.499;17.438;32.558;-13.477;20.003;33.080;0.901;36.417;-3.883;15.235;34.268;-2.280;20.037;20.556;-1.171;25.345;5.400;0.054;21.299;8.099;11.901;16.713;11.116;26.477;16.921;9.778;27.837;16.238;9.007;34.487;15.944;7.990;37.224;15.289;7.310;39.471;14.697;6.843;41.002;16.990;10.688;27.791;16.945;11.404;34.331;16.527;11.603;38.698;15.659;11.724;41.884;14.939;11.877;43.848;16.291;11.669;27.742;17.077;13.875;34.553;17.310;14.539;39.172;16.698;14.890;42.103;16.042;15.302;44.146;16.190;12.509;27.381;16.420;16.320;33.900;16.220;17.728;37.501;15.820;18.419;39.977;15.250;18.926;42.071;15.612;13.548;27.709;15.571;17.185;29.029;16.058;19.347;31.461;15.538;22.044;31.286;0.000;0.000;0.000;-7.578;-12.285;-0.518;-9.412;-33.201;-0.289;-11.566;-57.754;-0.021;-10.317;-101.945;-8.998;7.575;-12.313;-1.853;9.507;-33.231;-1.208;11.775;-57.787;-0.451;10.730;-102.184;-9.699
857.000;34.280;-0.031;7.152;-0.238;-0.107;13.880;-0.594;-0.302;25.777;-1.388;-0.896;41.604;-2.799;-0.845;45.952;0.023;-0.423;52.382;0.853;-7.234;56.293;2.525;6.352;56.647;0.234;-2.496;58.447;9.294;3.992;58.616;8.200;-2.315;36.301;-3.877;-16.356;34.351;-1.808;-20.518;20.955;-0.278;-25.117;6.148;1.414;-20.654;7.944;13.346;-15.569;10.061;27.445;-16.054;8.569;28.367;-13.083;6.814;35.008;-12.325;6.973;37.283;-11.476;6.562;39.691;-10.817;6.793;41.211;-16.095;9.413;28.405;-13.813;9.149;35.542;-11.985;9.558;39.093;-11.217;9.900;41.931;-10.745;10.091;43.912;-15.491;10.562;27.962;-13.681;11.752;35.867;-11.982;12.179;39.494;-10.654;12.653;42.501;-9.838;12.845;44.498;-15.640;11.590;27.712;-13.447;14.066;35.158;-11.649;14.703;38.565;-10.606;15.127;41.123;-9.914;15.165;43.068;-14.357;12.338;29.129;-13.693;15.656;30.810;-12.522;17.487;32.542;-13.508;20.052;33.050;0.911;36.421;-3.883;15.244;34.271;-2.265;20.051;20.560;-1.150;25.364;5.407;0.084;21.300;8.122;11.920;16.695;11.163;26.488;16.891;9.831;27.852;16.197;9.064;34.507;15.868;8.063;37.243;15.182;7.402;39.481;14.574;6.957;41.012;16.959;10.741;27.805;16.901;11.467;34.342;16.443;11.676;38.700;15.531;11.781;41.874;14.780;11.919;43.828;16.258;11.720;27.748;17.025;13.936;34.564;17.230;14.589;39.176;16.562;14.938;42.097;15.843;15.336;44.122;16.157;12.560;27.386;16.383;16.374;33.897;16.149;17.790;37.506;15.731;18.444;39.978;15.139;18.946;42.067;15.580;13.588;27.700;15.518;17.234;29.023;16.006;19.399;31.463;15.462;22.091;31.285;0.000;0.000;0.000;-7.578;-12.285;-0.516;-9.408;-33.202;-0.268;-11.556;-57.756;0.023;-10.286;-101.953;-8.919;7.576;-12.315;-1.835;9.510;-33.239;-1.172;11.780;-57.801;-0.393;10.768;-102.186;-9.622
858.000;34.320;-0.031;7.154;-0.242;-0.106;13.885;-0.599;-0.299;25.786;-1.394;-0.891;41.612;-2.816;-0.845;45.958;0.005;-0.432;52.382;0.841;-7.247;56.289;2.507;6.342;56.651;0.233;-2.519;58.442;9.282;3.971;58.615;8.196;-2.309;36.309;-3.892;-16.356;34.352;-1.840;-20.514;20.954;-0.307;-25.110;6.146;1.387;-20.671;7.967;13.320;-15.606;10.125;27.419;-16.097;8.622;28.321;-13.228;6.806;35.017;-12.304;6.780;37.277;-11.225;6.245;39.534;-10.325;6.447;40.929;-16.125;9.467;28.356;-13.972;9.235;35.544;-12.251;9.458;39.194;-11.267;9.715;41.971;-10.565;9.810;43.890;-15.539;10.656;27.923;-13.820;11.795;35.871;-12.131;12.094;39.538;-10.455;12.445;42.428;-9.443;12.560;44.339;-15.701;11.707;27.671;-13.558;14.130;35.142;-11.768;14.733;38.555;-10.701;15.107;41.108;-9.960;15.113;43.035;-14.398;12.400;29.115;-13.707;15.721;30.780;-12.520;17.542;32.509;-13.451;20.133;32.987;0.916;36.429;-3.895;15.245;34.278;-2.263;20.052;20.565;-1.150;25.366;5.409;0.080;21.314;8.129;11.920;16.727;11.182;26.491;16.901;9.816;27.858;16.185;9.069;34.501;15.756;8.106;37.250;14.986;7.491;39.472;14.302;7.062;40.974;16.957;10.727;27.808;16.874;11.470;34.352;16.307;11.682;38.698;15.319;11.787;41.853;14.510;11.942;43.782;16.276;11.722;27.759;16.996;13.933;34.568;17.092;14.582;39.185;16.332;14.900;42.097;15.540;15.296;44.095;16.170;12.562;27.397;16.359;16.381;33.891;16.055;17.749;37.505;15.506;18.346;39.981;14.814;18.801;42.050;15.619;13.595;27.706;15.509;17.236;29.028;15.952;19.396;31.461;15.394;22.087;31.309;0.000;0.000;0.000;-7.577;-12.285;-0.515;-9.406;-33.202;-0.248;-11.553;-57.757;0.065;-10.270;-101.959;-8.852;7.578;-12.316;-1.820;9.515;-33.234;-1.135;11.789;-57.789;-0.330;10.777;-102.190;-9.554
859.000;34.360;-0.031;7.155;-0.247;-0.105;13.886;-0.607;-0.296;25.787;-1.404;-0.883;41.612;-2.834;-0.840;45.959;-0.015;-0.433;52.381;0.823;-7.249;56.286;2.487;6.342;56.649;0.229;-2.528;58.429;9.271;3.962;58.602;8.193;-2.301;36.309;-3.909;-16.350;34.354;-1.872;-20.500;20.955;-0.337;-25.088;6.144;1.359;-20.675;7.998;13.296;-15.634;10.198;27.395;-16.130;8.704;28.281;-13.413;6.832;35.043;-12.537;6.705;37.303;-10.603;6.365;38.978;-9.167;6.782;39.726;-16.154;9.549;28.318;-14.267;9.240;35.560;-12.700;9.235;39.336;-10.870;9.372;41.707;-9.550;9.385;43.269;-15.615;10.690;27.923;-14.014;11.868;35.893;-12.409;12.001;39.636;-10.164;12.183;42.159;-8.749;12.187;43.799;-15.748;11.744;27.652;-13.740;14.195;35.155;-12.013;14.779;38.589;-10.923;15.127;41.140;-10.176;15.083;43.065;-14.478;12.490;29.126;-13.669;15.827;30.749;-12.375;17.617;32.469;-13.195;20.260;32.860;0.924;36.429;-3.909;15.251;34.276;-2.268;20.061;20.560;-1.167;25.377;5.401;0.050;21.343;8.109;11.901;16.776;11.151;26.492;16.942;9.784;27.857;16.147;9.027;34.494;15.538;8.120;37.240;14.598;7.591;39.406;13.770;7.227;40.852;16.998;10.695;27.811;16.864;11.403;34.356;16.114;11.595;38.681;14.944;11.700;41.761;14.023;11.839;43.640;16.304;11.694;27.756;16.977;13.863;34.568;16.931;14.495;39.199;16.011;14.757;42.075;15.095;15.165;44.017;16.204;12.536;27.398;16.330;16.321;33.895;15.988;17.629;37.518;15.257;18.123;39.967;14.423;18.549;41.989;15.682;13.555;27.725;15.520;17.184;29.027;15.957;19.325;31.473;15.376;22.012;31.356;0.000;0.000;0.000;-7.577;-12.286;-0.508;-9.405;-33.203;-0.224;-11.550;-57.758;0.110;-10.257;-101.954;-8.783;7.579;-12.317;-1.807;9.519;-33.235;-1.102;11.797;-57.790;-0.275;10.791;-102.195;-9.472
860.000;34.400;-0.030;7.154;-0.251;-0.104;13.885;-0.613;-0.292;25.787;-1.412;-0.886;41.611;-2.845;-0.844;45.960;-0.025;-0.432;52.383;0.813;-7.250;56.286;2.474;6.342;56.653;0.220;-2.532;58.430;9.260;3.959;58.606;8.183;-2.302;36.307;-3.919;-16.353;34.353;-1.889;-20.493;20.955;-0.357;-25.070;6.147;1.336;-20.713;8.057;13.284;-15.722;10.347;27.396;-16.229;8.792;28.260;-13.619;7.067;35.107;-12.667;6.987;37.361;-10.109;7.168;37.775;-8.697;7.832;37.174;-16.237;9.638;28.283;-14.560;9.407;35.610;-12.849;9.347;39.305;-10.121;9.643;40.600;-8.101;9.723;40.909;-15.700;10.875;27.898;-14.366;12.037;35.913;-12.720;12.092;39.700;-9.799;12.157;41.423;-7.814;12.086;42.287;-15.869;11.903;27.638;-14.138;14.377;35.155;-12.529;14.986;38.668;-11.571;15.296;41.255;-10.834;15.262;43.184;-14.658;12.682;29.202;-13.249;15.898;30.696;-11.533;17.469;32.342;-11.873;20.200;32.826;0.924;36.428;-3.918;15.246;34.280;-2.275;20.068;20.561;-1.197;25.398;5.399;-0.006;21.401;8.067;11.875;16.879;11.064;26.507;17.030;9.661;27.861;16.146;8.880;34.482;15.334;8.053;37.208;14.113;7.613;39.248;13.085;7.317;40.577;17.073;10.573;27.814;16.927;11.285;34.367;15.894;11.416;38.641;14.214;11.480;41.510;13.024;11.608;43.232;16.434;11.557;27.782;17.003;13.745;34.590;16.636;14.263;39.217;15.318;14.470;41.948;14.111;14.797;43.741;16.316;12.399;27.428;16.347;16.152;33.920;15.835;17.324;37.562;14.871;17.725;39.936;13.802;18.014;41.870;15.654;13.412;27.697;15.517;17.048;29.105;15.862;19.171;31.613;15.196;21.839;31.522;0.000;0.000;0.000;-7.577;-12.286;-0.504;-9.403;-33.202;-0.202;-11.547;-57.755;0.152;-10.242;-101.970;-8.721;7.579;-12.319;-1.796;9.522;-33.234;-1.077;11.802;-57.786;-0.233;10.803;-102.193;-9.420
861.000;34.440;-0.030;7.155;-0.255;-0.103;13.886;-0.618;-0.287;25.789;-1.413;-0.887;41.614;-2.839;-0.846;45.961;-0.017;-0.436;52.385;0.822;-7.254;56.289;2.482;6.338;56.656;0.230;-2.537;58.435;9.268;3.954;58.610;8.192;-2.300;36.309;-3.916;-16.347;34.357;-1.896;-20.514;20.976;-0.341;-25.120;6.187;1.378;-20.775;8.205;13.322;-15.772;10.643;27.428;-16.310;9.020;28.300;-13.918;7.497;35.240;-12.781;7.468;37.430;-10.460;7.951;36.594;-10.170;8.539;35.056;-16.269;9.865;28.287;-14.980;9.852;35.690;-12.894;9.972;39.175;-9.853;10.338;38.974;-8.160;10.417;37.829;-15.791;11.175;27.914;-14.761;12.524;35.893;-12.653;12.559;39.475;-9.299;12.540;40.078;-7.160;12.270;39.871;-15.914;12.201;27.610;-14.462;14.828;35.093;-13.026;15.589;38.637;-12.177;16.060;41.268;-11.622;16.161;43.254;-14.757;13.004;29.219;-12.739;15.982;30.709;-10.708;17.163;32.281;-10.479;19.931;32.587;0.925;36.432;-3.915;15.244;34.286;-2.277;20.104;20.567;-1.238;25.475;5.404;-0.089;21.541;7.985;11.853;17.087;10.882;26.576;17.245;9.423;27.885;16.258;8.535;34.446;15.151;7.741;37.108;13.575;7.407;38.914;12.315;7.174;40.040;17.263;10.337;27.849;17.093;10.939;34.434;15.301;10.897;38.476;12.948;10.861;40.808;11.283;10.879;42.083;16.611;11.331;27.903;17.037;13.386;34.671;15.926;13.737;39.197;13.963;13.778;41.534;12.272;13.909;42.912;16.478;12.176;27.562;16.309;15.768;34.035;15.317;16.665;37.638;13.967;16.729;39.857;12.569;16.790;41.591;15.840;13.144;27.774;15.383;16.701;29.399;15.441;18.672;32.076;14.506;21.255;32.238;0.000;0.000;0.000;-7.577;-12.286;-0.495;-9.402;-33.203;-0.174;-11.544;-57.757;0.203;-10.231;-101.974;-8.651;7.579;-12.320;-1.786;9.522;-33.235;-1.046;11.804;-57.788;-0.178;10.807;-102.196;-9.351
862.000;34.480;-0.030;7.154;-0.259;-0.100;13.884;-0.620;-0.278;25.785;-1.407;-0.877;41.612;-2.813;-0.837;45.960;0.020;-0.427;52.387;0.878;-7.252;56.286;2.517;6.341;56.665;0.275;-2.544;58.464;9.299;3.948;58.645;8.228;-2.291;36.309;-3.897;-16.324;34.364;-1.909;-20.595;21.036;-0.208;-25.315;6.305;1.671;-20.911;8.590;13.557;-15.829;11.340;27.601;-16.414;9.713;28.561;-14.246;8.515;35.528;-12.745;8.771;37.399;-11.118;9.096;35.645;-11.857;9.567;34.221;-16.336;10.554;28.504;-15.405;10.933;35.932;-12.709;11.272;38.845;-10.098;11.389;37.301;-9.670;11.234;35.307;-15.871;11.826;28.104;-15.153;13.584;35.864;-12.396;13.611;38.969;-9.140;13.343;38.192;-7.578;12.849;36.775;-15.930;12.830;27.728;-14.871;15.910;34.969;-13.462;16.847;38.499;-12.756;17.518;41.119;-12.329;17.713;43.130;-14.839;13.738;29.321;-12.463;16.463;30.811;-10.245;17.365;32.393;-9.578;20.077;32.487;0.935;36.431;-3.895;15.241;34.288;-2.266;20.198;20.589;-1.288;25.677;5.449;-0.206;21.779;7.809;11.827;17.359;10.446;26.681;17.591;8.893;27.892;16.498;7.771;34.363;15.135;6.929;36.900;13.259;6.574;38.398;11.803;6.343;39.255;17.545;9.806;27.878;17.285;10.184;34.538;14.621;9.833;38.081;11.625;9.502;39.589;9.666;9.428;40.336;16.792;10.905;28.039;16.976;12.606;34.805;14.887;12.567;38.973;12.358;12.230;40.676;10.333;12.120;41.491;16.654;11.761;27.730;16.150;14.927;34.224;14.529;15.350;37.690;12.800;15.041;39.585;11.079;14.758;40.972;15.867;12.501;27.934;14.958;15.825;29.931;14.655;17.461;32.840;13.181;19.708;33.432;0.000;0.000;0.000;-7.577;-12.286;-0.491;-9.399;-33.202;-0.148;-11.538;-57.755;0.254;-10.209;-101.975;-8.567;7.580;-12.321;-1.770;9.525;-33.239;-1.008;11.807;-57.794;-0.113;10.840;-102.192;-9.276
863.000;34.520;-0.026;7.153;-0.261;-0.089;13.882;-0.621;-0.248;25.782;-1.401;-0.851;41.610;-2.788;-0.822;45.961;0.084;-0.435;52.385;1.029;-7.267;56.297;2.607;6.331;56.662;0.392;-2.576;58.557;9.374;3.917;58.731;8.317;-2.261;36.308;-3.880;-16.278;34.387;-1.959;-20.723;21.162;0.112;-25.635;6.546;2.402;-21.145;9.425;14.136;-15.936;12.894;27.995;-16.656;11.402;29.123;-15.094;10.717;35.962;-13.048;11.119;37.236;-12.202;11.342;34.950;-13.331;11.522;33.729;-16.493;12.225;29.009;-16.064;13.259;36.264;-12.769;13.534;38.460;-11.050;13.175;36.002;-11.463;12.855;34.024;-15.839;13.452;28.425;-15.635;15.877;35.651;-12.142;15.709;37.950;-9.579;14.758;36.011;-8.832;13.994;34.127;-15.838;14.310;27.978;-15.228;18.164;34.736;-13.862;19.290;38.249;-13.403;20.236;40.805;-13.202;20.608;42.826;-14.857;15.307;29.477;-12.197;17.793;31.015;-9.890;18.285;32.711;-8.659;20.793;32.677;0.964;36.431;-3.874;15.250;34.301;-2.228;20.370;20.650;-1.332;26.030;5.563;-0.342;22.100;7.407;11.808;17.640;9.422;26.810;18.030;7.860;27.913;16.861;6.244;34.233;15.331;5.196;36.652;13.182;4.763;37.698;11.542;4.508;38.091;17.905;8.765;27.950;17.365;8.654;34.607;14.240;7.872;37.684;11.047;7.138;38.457;8.991;6.804;38.705;17.071;9.658;28.240;16.859;11.025;34.985;14.082;10.349;38.681;11.336;9.601;39.808;9.233;9.177;40.225;16.813;10.500;27.973;15.777;13.238;34.515;13.764;13.078;37.806;11.878;12.380;39.414;10.072;11.681;40.516;16.017;11.211;28.201;14.182;13.942;30.510;13.386;15.081;33.594;11.340;16.667;34.526;0.000;0.000;0.000;-7.578;-12.286;-0.495;-9.400;-33.200;-0.126;-11.538;-57.751;0.306;-10.189;-101.974;-8.481;7.581;-12.323;-1.752;9.532;-33.235;-0.963;11.821;-57.783;-0.037;10.871;-102.193;-9.187
864.000;34.560;-0.021;7.156;-0.264;-0.077;13.889;-0.618;-0.221;25.796;-1.380;-0.831;41.627;-2.731;-0.824;45.976;0.196;-0.476;52.384;1.267;-7.319;56.320;2.739;6.292;56.652;0.591;-2.665;58.703;9.490;3.834;58.861;8.464;-2.235;36.327;-3.840;-16.229;34.452;-2.018;-20.918;21.415;0.708;-26.101;7.005;3.720;-21.509;10.920;15.103;-16.141;15.620;28.549;-17.059;14.509;29.826;-16.227;14.645;36.344;-13.824;14.923;37.107;-13.533;14.887;34.614;-14.672;14.851;33.390;-16.830;15.299;29.626;-16.853;17.315;36.350;-13.062;17.005;37.727;-12.151;16.275;34.940;-12.890;15.755;33.106;-15.958;16.251;28.924;-16.212;19.732;35.345;-12.457;19.117;37.119;-10.562;17.572;34.764;-9.946;16.378;33.065;-15.827;16.989;28.357;-15.460;21.827;34.226;-13.954;23.212;37.587;-13.553;24.510;40.033;-13.484;25.305;41.937;-14.966;17.979;29.582;-12.069;20.262;31.250;-9.941;20.659;33.095;-8.106;22.753;32.857;0.991;36.452;-3.824;15.249;34.359;-2.132;20.587;20.777;-1.322;26.486;5.765;-0.427;22.441;6.614;11.845;17.837;7.409;26.986;18.453;5.778;27.943;17.222;3.522;34.045;15.551;2.217;36.242;13.152;1.717;36.528;11.484;1.538;36.222;18.197;6.650;28.041;17.551;5.939;34.690;14.376;4.480;37.473;11.201;3.361;37.654;9.200;2.798;37.370;17.231;7.510;28.391;16.665;8.143;35.206;13.888;6.805;38.677;11.223;5.561;39.577;9.168;4.855;39.813;16.883;8.339;28.191;15.314;10.227;34.925;13.238;9.554;38.067;11.425;8.432;39.528;9.650;7.449;40.451;15.986;8.817;28.507;13.434;10.722;31.005;12.159;11.230;34.101;9.708;12.014;35.076;0.000;0.000;0.000;-7.582;-12.283;-0.506;-9.409;-33.197;-0.108;-11.553;-57.749;0.359;-10.188;-101.980;-8.354;7.580;-12.328;-1.723;9.523;-33.236;-0.906;11.804;-57.779;0.053;10.863;-102.195;-9.069
