Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
630.000;25.200;0.076;7.149;-0.198;0.081;13.880;-0.393;0.007;25.790;-0.749;-0.188;41.668;-1.562;-0.228;46.046;1.578;0.220;52.621;2.849;-6.612;56.689;3.964;7.108;56.745;2.654;-2.330;58.868;11.022;4.221;58.894;10.396;-1.653;36.444;-2.924;-15.739;34.691;-1.649;-21.158;21.848;-3.024;-27.149;7.653;-4.544;-22.018;5.488;7.131;-16.216;2.910;20.783;-16.844;1.340;21.736;-14.138;-0.289;28.521;-12.987;0.078;30.715;-11.866;0.027;33.021;-11.016;0.325;34.430;-16.905;2.183;21.772;-15.118;1.975;29.010;-12.823;2.631;32.347;-11.175;3.182;34.774;-10.027;3.510;36.434;-15.970;3.339;21.237;-15.039;4.572;29.159;-13.402;5.308;32.799;-11.457;5.798;35.548;-10.394;6.103;37.410;-16.128;4.347;20.940;-14.698;6.876;28.366;-12.985;7.508;31.780;-11.521;7.786;34.173;-10.343;7.715;35.867;-14.987;5.170;22.529;-14.306;8.463;23.616;-12.797;9.614;25.490;-12.039;12.071;26.583;1.570;36.493;-2.752;15.632;34.002;-0.485;21.500;20.509;-1.254;27.986;5.595;-2.104;21.713;5.154;9.151;14.487;4.324;22.966;14.264;2.690;24.079;12.067;1.099;30.287;10.871;0.211;32.888;9.248;-0.186;34.638;7.948;-0.471;35.705;14.340;3.594;24.194;12.889;3.415;30.626;10.931;3.141;34.559;8.438;3.026;36.785;6.777;3.067;38.065;13.648;4.740;24.141;13.009;5.695;31.180;11.441;5.768;35.592;9.290;5.825;37.751;7.548;5.946;39.065;13.685;5.634;23.925;12.663;8.240;30.729;10.961;8.770;34.177;9.064;8.677;35.875;7.152;8.672;37.021;13.173;6.572;24.286;12.763;10.109;25.664;11.688;11.601;28.464;10.725;14.092;29.130;0.000;0.000;0.000;-7.692;-12.178;-1.064;-10.081;-33.004;-0.097;-12.887;-57.451;1.039;-12.109;-101.636;-6.863;7.517;-12.425;-1.241;9.248;-33.210;-0.112;11.281;-57.610;1.214;10.535;-101.946;-7.713
631.000;25.240;0.076;7.149;-0.198;0.081;13.880;-0.394;0.008;25.789;-0.749;-0.188;41.667;-1.560;-0.228;46.044;1.581;0.221;52.620;2.852;-6.612;56.687;3.968;7.107;56.745;2.655;-2.329;58.867;11.025;4.222;58.895;10.398;-1.653;36.443;-2.923;-15.739;34.692;-1.648;-21.156;21.847;-3.021;-27.144;7.650;-4.539;-22.011;5.499;7.134;-16.207;2.937;20.785;-16.832;1.344;21.740;-14.117;-0.252;28.525;-12.961;0.131;30.712;-11.842;0.089;33.023;-10.987;0.381;34.430;-16.878;2.188;21.772;-15.113;2.020;29.014;-12.795;2.677;32.344;-11.159;3.224;34.775;-10.014;3.579;36.432;-15.965;3.370;21.237;-15.055;4.591;29.161;-13.386;5.376;32.785;-11.416;5.863;35.539;-10.368;6.177;37.408;-16.129;4.382;20.940;-14.699;6.909;28.367;-12.988;7.555;31.774;-11.508;7.845;34.167;-10.327;7.788;35.859;-14.979;5.210;22.543;-14.296;8.496;23.613;-12.799;9.653;25.479;-12.042;12.107;26.580;1.570;36.492;-2.751;15.632;34.002;-0.486;21.501;20.508;-1.261;27.987;5.593;-2.117;21.719;5.145;9.142;14.503;4.307;22.960;14.284;2.667;24.071;12.068;1.078;30.284;10.878;0.185;32.882;9.263;-0.197;34.630;7.954;-0.476;35.687;14.361;3.570;24.186;12.897;3.386;30.623;10.942;3.120;34.548;8.452;2.991;36.791;6.798;3.066;38.079;13.652;4.754;24.127;13.031;5.667;31.174;11.475;5.738;35.600;9.314;5.794;37.744;7.571;5.906;39.058;13.700;5.649;23.916;12.696;8.216;30.731;11.025;8.738;34.175;9.107;8.677;35.888;7.189;8.663;37.024;13.193;6.564;24.314;12.798;10.085;25.667;11.711;11.586;28.476;10.762;14.086;29.126;0.000;0.000;0.000;-7.692;-12.179;-1.063;-10.081;-33.004;-0.094;-12.885;-57.452;1.043;-12.105;-101.637;-6.863;7.517;-12.425;-1.239;9.250;-33.211;-0.107;11.285;-57.613;1.223;10.539;-101.947;-7.712
632.000;25.280;0.076;7.149;-0.199;0.082;13.881;-0.393;0.009;25.792;-0.745;-0.187;41.671;-1.556;-0.225;46.047;1.582;0.224;52.623;2.847;-6.609;56.689;3.967;7.110;56.749;2.648;-2.323;58.868;11.023;4.229;58.897;10.392;-1.652;36.447;-2.919;-15.739;34.695;-1.640;-21.157;21.850;-3.009;-27.145;7.652;-4.521;-22.008;5.518;7.152;-16.196;2.980;20.805;-16.816;1.380;21.758;-14.100;-0.206;28.546;-12.966;0.162;30.727;-11.802;0.120;33.029;-10.964;0.443;34.440;-16.872;2.224;21.790;-15.078;2.074;29.025;-12.773;2.726;32.357;-11.168;3.284;34.787;-10.022;3.644;36.442;-15.944;3.405;21.254;-15.022;4.652;29.175;-13.385;5.406;32.806;-11.452;5.904;35.568;-10.386;6.232;37.425;-16.110;4.409;20.957;-14.698;6.942;28.384;-12.995;7.601;31.794;-11.542;7.904;34.187;-10.325;7.843;35.854;-14.975;5.246;22.562;-14.310;8.534;23.629;-12.800;9.692;25.492;-12.046;12.148;26.590;1.571;36.495;-2.747;15.635;34.005;-0.486;21.498;20.510;-1.264;27.979;5.595;-2.124;21.724;5.142;9.143;14.519;4.291;22.969;14.273;2.653;24.074;12.051;1.049;30.271;10.846;0.160;32.867;9.233;-0.224;34.611;7.917;-0.477;35.667;14.359;3.555;24.195;12.897;3.348;30.623;10.921;3.071;34.538;8.448;2.990;36.785;6.794;3.052;38.073;13.677;4.740;24.138;13.046;5.631;31.192;11.448;5.674;35.600;9.327;5.754;37.757;7.581;5.881;39.065;13.736;5.636;23.931;12.728;8.198;30.755;11.082;8.712;34.211;9.141;8.630;35.914;7.243;8.629;37.082;13.239;6.547;24.315;12.865;10.077;25.696;11.798;11.571;28.531;10.872;14.085;29.160;0.000;0.000;0.000;-7.692;-12.179;-1.059;-10.080;-33.004;-0.091;-12.884;-57.452;1.046;-12.103;-101.633;-6.862;7.516;-12.425;-1.237;9.249;-33.210;-0.103;11.283;-57.610;1.228;10.535;-101.943;-7.713
633.000;25.320;0.077;7.149;-0.199;0.084;13.881;-0.392;0.013;25.792;-0.740;-0.172;41.671;-1.545;-0.209;46.047;1.595;0.242;52.623;2.860;-6.588;56.696;3.980;7.131;56.743;2.656;-2.297;58.875;11.033;4.254;58.898;10.401;-1.641;36.448;-2.909;-15.728;34.700;-1.629;-21.151;21.858;-2.996;-27.144;7.663;-4.506;-22.010;5.538;7.168;-16.203;3.008;20.821;-16.823;1.400;21.777;-14.097;-0.181;28.566;-12.960;0.189;30.744;-11.790;0.152;33.056;-10.974;0.462;34.482;-16.869;2.245;21.807;-15.077;2.124;29.043;-12.781;2.732;32.383;-11.158;3.315;34.809;-10.027;3.646;36.480;-15.966;3.418;21.271;-15.023;4.667;29.198;-13.393;5.472;32.816;-11.435;5.966;35.571;-10.389;6.278;37.441;-16.133;4.417;20.973;-14.714;6.978;28.393;-13.006;7.631;31.809;-11.517;7.926;34.204;-10.337;7.889;35.898;-14.990;5.272;22.566;-14.316;8.569;23.645;-12.831;9.721;25.521;-12.052;12.176;26.605;1.582;36.494;-2.738;15.644;33.995;-0.480;21.497;20.494;-1.260;27.967;5.572;-2.122;21.735;5.120;9.160;14.554;4.260;22.999;14.235;2.611;24.071;11.928;0.971;30.231;10.669;0.088;32.795;8.996;-0.270;34.526;7.693;-0.506;35.601;14.356;3.506;24.211;12.862;3.221;30.631;10.812;2.976;34.520;8.357;2.951;36.758;6.692;3.064;38.029;13.705;4.782;24.164;13.055;5.524;31.250;11.468;5.525;35.635;9.330;5.668;37.788;7.587;5.823;39.097;13.820;5.678;23.986;12.857;8.041;30.871;11.306;8.596;34.335;9.365;8.557;36.076;7.488;8.589;37.277;13.310;6.546;24.421;13.093;10.036;25.845;12.076;11.522;28.701;11.277;14.068;29.369;0.000;0.000;0.000;-7.695;-12.177;-1.056;-10.078;-33.005;-0.086;-12.877;-57.455;1.053;-12.086;-101.635;-6.855;7.513;-12.427;-1.235;9.250;-33.212;-0.095;11.289;-57.611;1.243;10.546;-101.944;-7.694
634.000;25.360;0.078;7.149;-0.199;0.085;13.881;-0.391;0.015;25.791;-0.738;-0.175;41.671;-1.540;-0.210;46.046;1.596;0.247;52.624;2.853;-6.583;56.697;3.968;7.136;56.743;2.648;-2.294;58.881;11.021;4.257;58.903;10.390;-1.642;36.448;-2.905;-15.727;34.698;-1.624;-21.151;21.855;-2.994;-27.146;7.660;-4.509;-22.012;5.576;7.171;-16.207;3.092;20.830;-16.806;1.479;21.785;-14.051;-0.080;28.570;-12.926;0.310;30.746;-11.779;0.295;33.062;-10.934;0.624;34.467;-16.864;2.323;21.818;-15.049;2.214;29.043;-12.762;2.840;32.380;-11.162;3.436;34.811;-10.015;3.787;36.467;-15.974;3.510;21.287;-15.038;4.753;29.216;-13.401;5.566;32.823;-11.445;6.069;35.577;-10.397;6.407;37.442;-16.147;4.513;20.988;-14.748;7.069;28.412;-13.046;7.711;31.838;-11.556;8.032;34.215;-10.345;8.009;35.888;-14.988;5.358;22.574;-14.367;8.667;23.677;-12.878;9.843;25.521;-12.138;12.300;26.628;1.581;36.495;-2.734;15.644;33.993;-0.473;21.493;20.487;-1.254;27.958;5.559;-2.117;21.778;5.112;9.192;14.640;4.238;23.050;14.210;2.577;24.062;11.611;0.901;30.085;10.090;-0.011;32.519;8.362;-0.326;34.193;7.031;-0.526;35.242;14.426;3.447;24.245;12.822;3.000;30.623;10.698;2.780;34.487;8.233;2.932;36.726;6.585;3.161;38.004;13.844;4.745;24.231;13.212;5.239;31.352;11.664;5.214;35.746;9.580;5.434;37.951;7.905;5.657;39.339;14.026;5.637;24.093;13.255;7.745;31.118;12.058;8.272;34.690;10.219;8.324;36.564;8.406;8.449;37.854;13.565;6.527;24.530;13.647;9.962;26.149;12.787;11.425;29.032;12.248;14.014;29.794;0.000;0.000;0.000;-7.695;-12.177;-1.057;-10.077;-33.005;-0.082;-12.873;-57.454;1.063;-12.079;-101.635;-6.839;7.513;-12.427;-1.236;9.251;-33.211;-0.094;11.291;-57.609;1.246;10.550;-101.945;-7.692
635.000;25.400;0.078;7.151;-0.197;0.086;13.883;-0.386;0.016;25.796;-0.724;-0.177;41.677;-1.501;-0.211;46.045;1.632;0.249;52.624;2.874;-6.578;56.699;3.994;7.140;56.742;2.662;-2.283;58.884;11.042;4.268;58.904;10.406;-1.643;36.456;-2.874;-15.728;34.701;-1.593;-21.155;21.858;-2.980;-27.153;7.663;-4.513;-22.037;5.678;7.187;-16.250;3.313;20.874;-16.783;1.655;21.810;-13.887;0.122;28.550;-12.765;0.557;30.729;-11.642;0.570;33.027;-10.781;0.911;34.420;-16.883;2.494;21.859;-15.033;2.310;29.072;-12.739;3.041;32.409;-11.197;3.669;34.850;-10.067;4.073;36.506;-16.054;3.706;21.337;-15.132;4.892;29.276;-13.497;5.692;32.887;-11.581;6.284;35.648;-10.572;6.606;37.538;-16.273;4.709;21.051;-14.962;7.216;28.513;-13.265;7.900;31.940;-11.785;8.255;34.319;-10.584;8.263;35.999;-15.168;5.612;22.653;-14.680;8.924;23.795;-13.249;10.134;25.660;-12.625;12.613;26.788;1.580;36.503;-2.703;15.644;33.996;-0.438;21.476;20.480;-1.248;27.921;5.541;-2.142;21.863;5.102;9.226;14.863;4.205;23.130;14.221;2.562;24.053;11.208;0.929;29.887;9.487;0.074;32.206;7.672;-0.125;33.839;6.322;-0.241;34.876;14.572;3.365;24.310;12.769;2.750;30.602;10.559;2.594;34.421;8.183;2.876;36.734;6.658;3.205;38.136;14.122;4.814;24.315;13.556;4.804;31.502;12.094;4.606;35.937;10.203;4.890;38.290;8.680;5.249;39.816;14.460;5.668;24.252;13.993;7.215;31.495;13.296;7.618;35.212;11.737;7.756;37.308;10.151;8.023;38.851;14.010;6.540;24.762;14.723;9.760;26.635;14.145;11.126;29.667;14.107;13.701;30.636;0.000;0.000;0.000;-7.695;-12.177;-1.056;-10.074;-33.005;-0.074;-12.866;-57.455;1.078;-12.066;-101.635;-6.815;7.513;-12.427;-1.238;9.254;-33.211;-0.091;11.299;-57.610;1.254;10.564;-101.946;-7.677
636.000;25.440;0.078;7.157;-0.196;0.086;13.896;-0.379;0.016;25.819;-0.700;-0.177;41.702;-1.428;-0.212;46.054;1.694;0.250;52.628;2.906;-6.571;56.713;4.029;7.146;56.736;2.686;-2.267;58.897;11.073;4.284;58.908;10.431;-1.642;36.485;-2.818;-15.722;34.733;-1.531;-21.216;21.918;-2.938;-27.288;7.753;-4.493;-22.230;5.964;7.251;-16.525;3.812;20.988;-16.825;2.057;21.863;-13.640;0.636;28.501;-12.537;1.166;30.672;-11.440;1.243;32.960;-10.573;1.672;34.324;-17.022;2.875;21.949;-15.071;2.645;29.138;-12.878;3.514;32.471;-11.447;4.189;34.964;-10.341;4.660;36.618;-16.370;4.218;21.478;-15.504;5.170;29.447;-13.977;6.014;33.096;-12.107;6.657;35.872;-11.067;7.030;37.735;-16.702;5.196;21.245;-15.615;7.528;28.797;-14.005;8.255;32.219;-12.514;8.706;34.602;-11.338;8.811;36.295;-15.714;6.135;22.837;-15.612;9.447;24.152;-14.296;10.761;26.042;-14.028;13.256;27.273;1.580;36.532;-2.645;15.644;34.013;-0.369;21.453;20.490;-1.227;27.873;5.545;-2.174;22.043;5.132;9.313;15.287;4.217;23.333;14.370;2.586;24.114;11.062;1.160;29.883;9.195;0.438;32.094;7.384;0.388;33.722;6.028;0.464;34.755;14.852;3.298;24.423;12.972;2.564;30.717;10.777;2.417;34.529;8.549;2.826;36.963;7.126;3.241;38.447;14.663;4.823;24.571;14.153;4.340;31.780;12.748;3.889;36.200;11.089;4.181;38.715;9.750;4.574;40.397;15.146;5.607;24.571;15.017;6.583;31.970;14.761;6.680;35.741;13.433;6.793;38.019;12.104;7.102;39.781;14.897;6.484;25.157;16.224;9.350;27.291;15.976;10.549;30.385;16.489;12.952;31.624;0.000;0.000;0.000;-7.695;-12.177;-1.056;-10.070;-33.007;-0.076;-12.859;-57.460;1.074;-12.050;-101.635;-6.830;7.513;-12.427;-1.238;9.260;-33.213;-0.091;11.311;-57.613;1.255;10.587;-101.946;-7.682
637.000;25.480;0.077;7.169;-0.196;0.085;13.919;-0.370;0.015;25.863;-0.668;-0.180;41.749;-1.326;-0.217;46.074;1.778;0.241;52.637;2.945;-6.568;56.738;4.083;7.146;56.729;2.711;-2.244;58.911;11.118;4.305;58.907;10.462;-1.644;36.538;-2.740;-15.709;34.808;-1.447;-21.427;22.079;-2.847;-27.746;8.009;-4.394;-22.835;6.515;7.436;-17.303;4.671;21.279;-17.369;2.897;22.099;-13.790;1.714;28.577;-12.701;2.317;30.734;-11.471;2.549;32.997;-10.724;3.024;34.416;-17.723;3.652;22.243;-15.539;3.335;29.351;-13.421;4.460;32.687;-12.107;5.245;35.213;-11.073;5.731;36.910;-17.209;5.095;21.773;-16.404;5.790;29.795;-14.815;6.687;33.442;-13.109;7.492;36.254;-12.124;7.922;38.134;-17.711;6.034;21.606;-16.875;8.108;29.267;-15.384;8.927;32.720;-13.981;9.523;35.116;-12.786;9.704;36.789;-16.812;7.043;23.249;-17.303;10.229;24.719;-16.195;11.641;26.671;-16.391;14.099;27.984;1.578;36.585;-2.565;15.638;34.092;-0.274;21.473;20.582;-1.134;27.923;5.650;-2.085;22.443;5.245;9.574;16.083;4.288;23.768;14.908;2.803;24.468;11.327;1.595;30.139;9.406;1.049;32.324;7.639;1.188;34.005;6.347;1.434;35.091;15.530;3.366;24.829;13.560;2.431;31.039;11.410;2.327;34.899;9.378;2.852;37.475;8.107;3.264;39.092;15.606;4.869;25.053;15.057;3.865;32.220;13.789;3.214;36.657;12.370;3.488;39.332;11.280;3.822;41.197;16.220;5.553;25.111;16.384;5.885;32.597;16.327;5.527;36.359;15.254;5.610;38.785;14.251;5.872;40.758;16.138;6.404;25.769;18.041;8.765;28.109;18.226;9.679;31.262;19.250;11.822;32.651;0.000;0.000;0.000;-7.696;-12.177;-1.051;-10.079;-33.004;-0.062;-12.876;-57.452;1.099;-12.082;-101.632;-6.802;7.513;-12.428;-1.236;9.252;-33.214;-0.080;11.294;-57.615;1.277;10.552;-101.948;-7.653
638.000;25.520;0.076;7.188;-0.195;0.080;13.956;-0.360;0.002;25.932;-0.627;-0.204;41.820;-1.217;-0.243;46.111;1.865;0.212;52.651;2.988;-6.574;56.780;4.161;7.134;56.713;2.730;-2.211;58.924;11.180;4.335;58.892;10.497;-1.664;36.614;-2.654;-15.701;34.967;-1.349;-21.834;22.408;-2.701;-28.612;8.527;-4.195;-23.999;7.355;7.771;-18.820;5.868;21.788;-18.677;4.113;22.584;-14.679;3.274;28.879;-13.634;4.026;31.026;-12.440;4.375;33.282;-11.707;4.934;34.677;-19.140;4.795;22.775;-16.642;4.624;29.790;-14.534;5.877;33.085;-13.335;6.761;35.616;-12.368;7.325;37.327;-18.795;6.302;22.290;-17.824;6.860;30.330;-16.203;7.890;33.939;-14.497;8.865;36.705;-13.546;9.346;38.590;-19.434;7.171;22.172;-18.664;9.112;29.876;-17.204;9.946;33.337;-15.881;10.615;35.752;-14.675;10.906;37.404;-18.681;8.218;23.814;-19.581;11.260;25.417;-18.688;12.763;27.386;-19.267;15.139;28.739;1.558;36.663;-2.478;15.607;34.248;-0.148;21.580;20.790;-0.933;28.181;5.914;-1.801;23.179;5.468;10.079;17.347;4.397;24.497;15.868;3.163;25.112;12.208;2.240;30.745;10.191;2.047;32.986;8.570;2.430;34.743;7.373;2.841;35.886;16.606;3.525;25.511;14.551;2.477;31.645;12.493;2.440;35.545;10.729;3.156;38.287;9.670;3.731;40.004;17.047;4.981;25.861;16.383;3.322;32.884;15.100;2.536;37.301;13.903;2.764;40.073;13.034;3.071;42.055;17.813;5.482;25.971;18.157;4.860;33.391;18.199;4.163;37.115;17.312;4.115;39.604;16.470;4.360;41.652;17.910;6.207;26.659;20.394;7.726;29.144;20.920;8.222;32.359;22.539;9.876;33.847;0.000;0.000;0.000;-7.697;-12.177;-1.040;-10.080;-33.005;-0.043;-12.878;-57.455;1.127;-12.092;-101.638;-6.762;7.511;-12.429;-1.235;9.252;-33.214;-0.066;11.296;-57.615;1.307;10.548;-101.952;-7.609
