Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2663.000;106.520;0.020;7.250;-0.235;-0.056;14.074;-0.455;-0.311;26.149;-0.846;-0.680;42.027;-1.594;-0.744;46.360;1.626;-0.481;52.840;3.125;-7.427;56.853;3.483;6.352;57.014;3.730;-3.986;59.019;10.991;2.594;59.096;11.108;-2.121;36.794;-2.946;-16.062;35.045;-1.751;-21.471;22.279;-3.213;-27.448;8.170;-4.828;-22.515;6.183;6.983;-16.979;3.763;20.897;-17.344;2.103;21.600;-13.264;-0.784;27.366;-11.912;-1.504;29.229;-10.092;-2.490;30.915;-8.916;-2.772;32.070;-17.391;2.925;21.797;-14.186;1.456;28.475;-11.897;0.988;31.873;-9.631;0.883;33.843;-8.014;0.679;35.079;-16.742;4.295;21.407;-13.989;4.007;29.197;-11.668;3.577;32.589;-9.062;3.494;34.666;-7.387;3.312;36.027;-16.999;5.311;21.408;-13.930;6.404;28.801;-11.691;6.531;31.946;-9.673;6.517;33.923;-8.077;6.248;35.205;-15.654;5.826;22.881;-14.760;8.901;24.651;-13.135;10.117;26.335;-13.149;12.713;27.368;1.104;36.874;-2.839;15.249;34.498;-0.980;20.889;21.138;-2.846;27.123;6.373;-4.908;22.594;5.633;7.054;17.422;4.370;21.706;17.119;2.601;22.542;14.706;0.209;28.427;13.393;-1.284;30.677;11.893;-2.220;32.339;10.717;-2.844;33.405;17.211;3.483;22.763;15.544;2.489;29.183;13.458;1.500;32.926;11.015;1.113;35.170;9.402;0.916;36.496;16.662;4.719;22.936;15.612;4.749;30.085;13.574;4.142;34.257;11.234;3.949;36.167;9.343;3.997;37.262;16.746;5.633;22.857;15.310;7.397;29.927;13.410;7.931;33.248;11.611;7.909;35.179;9.982;8.010;36.697;16.229;6.541;23.375;16.016;9.797;25.382;15.146;11.196;28.194;14.954;13.839;28.936;0.000;0.000;0.000;-7.661;-12.221;-0.754;-10.018;-32.870;0.194;-12.785;-57.111;1.308;-12.413;-101.375;-7.127;7.535;-12.394;-1.425;9.616;-33.011;-0.490;12.059;-57.213;0.608;11.854;-101.570;-8.819
2664.000;106.560;0.023;7.252;-0.235;-0.051;14.079;-0.455;-0.301;26.158;-0.845;-0.670;42.036;-1.594;-0.737;46.364;1.623;-0.482;52.838;3.119;-7.432;56.843;3.477;6.347;57.018;3.728;-3.996;59.010;10.986;2.584;59.093;11.106;-2.111;36.803;-2.945;-16.054;35.048;-1.756;-21.432;22.273;-3.226;-27.376;8.154;-4.852;-22.447;6.168;6.963;-16.915;3.755;20.881;-17.299;2.099;21.589;-13.194;-0.801;27.344;-11.831;-1.504;29.200;-10.016;-2.470;30.900;-8.840;-2.741;32.058;-17.354;2.919;21.789;-14.124;1.434;28.460;-11.841;0.942;31.849;-9.544;0.811;33.810;-7.954;0.606;35.079;-16.686;4.300;21.384;-13.953;4.012;29.187;-11.631;3.576;32.583;-9.022;3.460;34.662;-7.353;3.316;36.036;-16.950;5.315;21.388;-13.881;6.388;28.790;-11.674;6.520;31.942;-9.630;6.505;33.918;-8.045;6.236;35.213;-15.599;5.827;22.876;-14.707;8.893;24.642;-13.076;10.102;26.324;-13.095;12.694;27.369;1.114;36.883;-2.839;15.254;34.506;-0.983;20.902;21.159;-2.894;27.145;6.407;-5.006;22.629;5.619;6.958;17.467;4.296;21.612;17.151;2.511;22.436;14.777;0.111;28.327;13.449;-1.399;30.563;11.952;-2.330;32.221;10.772;-2.958;33.282;17.236;3.394;22.656;15.602;2.398;29.093;13.509;1.394;32.827;11.041;0.984;35.043;9.433;0.772;36.373;16.726;4.641;22.843;15.665;4.635;29.992;13.617;4.011;34.157;11.274;3.813;36.062;9.379;3.849;37.150;16.812;5.555;22.766;15.373;7.295;29.848;13.469;7.841;33.173;11.667;7.783;35.099;10.051;7.873;36.631;16.275;6.466;23.283;16.060;9.714;25.312;15.180;11.091;28.131;14.969;13.730;28.880;0.000;0.000;0.000;-7.664;-12.219;-0.757;-10.020;-32.868;0.192;-12.786;-57.109;1.304;-12.412;-101.384;-7.133;7.532;-12.396;-1.426;9.615;-33.009;-0.491;12.061;-57.208;0.607;11.859;-101.560;-8.827
2665.000;106.600;0.024;7.254;-0.235;-0.045;14.083;-0.455;-0.289;26.165;-0.844;-0.664;42.043;-1.596;-0.736;46.367;1.614;-0.495;52.835;3.105;-7.450;56.832;3.459;6.329;57.023;3.716;-4.018;59.004;10.970;2.561;59.095;11.092;-2.103;36.808;-2.947;-16.045;35.044;-1.754;-21.404;22.260;-3.225;-27.327;8.130;-4.850;-22.404;6.164;6.969;-16.882;3.770;20.893;-17.258;2.101;21.601;-13.123;-0.754;27.348;-11.768;-1.449;29.211;-9.917;-2.400;30.908;-8.753;-2.687;32.074;-17.308;2.922;21.799;-14.092;1.461;28.475;-11.784;0.951;31.849;-9.487;0.851;33.809;-7.881;0.647;35.059;-16.662;4.292;21.405;-13.941;4.030;29.205;-11.617;3.596;32.603;-8.987;3.492;34.665;-7.306;3.343;36.022;-16.928;5.313;21.404;-13.872;6.414;28.806;-11.678;6.537;31.954;-9.613;6.532;33.928;-8.022;6.270;35.217;-15.582;5.824;22.866;-14.698;8.918;24.671;-13.059;10.123;26.343;-13.077;12.719;27.376;1.122;36.890;-2.841;15.269;34.526;-0.987;20.924;21.186;-2.917;27.175;6.441;-5.050;22.657;5.631;6.912;17.494;4.283;21.562;17.191;2.507;22.390;14.768;0.075;28.263;13.450;-1.439;30.479;11.939;-2.369;32.131;10.747;-2.991;33.182;17.283;3.389;22.614;15.609;2.347;29.031;13.460;1.347;32.741;10.965;0.935;34.912;9.333;0.717;36.211;16.746;4.637;22.791;15.668;4.612;29.942;13.587;3.957;34.081;11.219;3.768;35.959;9.321;3.819;37.040;16.836;5.551;22.716;15.380;7.281;29.802;13.476;7.799;33.128;11.678;7.744;35.042;10.048;7.826;36.560;16.301;6.448;23.257;16.089;9.676;25.303;15.202;11.062;28.081;14.998;13.690;28.871;0.000;0.000;0.000;-7.665;-12.218;-0.755;-10.021;-32.866;0.199;-12.786;-57.105;1.318;-12.421;-101.379;-7.121;7.530;-12.396;-1.429;9.615;-33.010;-0.487;12.063;-57.209;0.618;11.860;-101.567;-8.810
2666.000;106.640;0.025;7.257;-0.235;-0.044;14.089;-0.453;-0.285;26.177;-0.834;-0.669;42.055;-1.586;-0.745;46.372;1.620;-0.515;52.832;3.109;-7.475;56.820;3.464;6.303;57.029;3.719;-4.046;58.996;10.974;2.534;59.096;11.096;-2.105;36.819;-2.937;-16.046;35.043;-1.745;-21.399;22.255;-3.216;-27.314;8.121;-4.842;-22.389;6.165;6.979;-16.861;3.787;20.907;-17.231;2.113;21.611;-13.089;-0.757;27.329;-11.714;-1.416;29.207;-9.847;-2.316;30.911;-8.658;-2.618;32.048;-17.280;2.935;21.806;-14.077;1.485;28.490;-11.747;0.965;31.845;-9.450;0.865;33.795;-7.834;0.659;35.031;-16.625;4.342;21.408;-13.925;4.060;29.218;-11.667;3.582;32.652;-8.965;3.506;34.644;-7.220;3.354;35.917;-16.898;5.361;21.412;-13.869;6.431;28.818;-11.664;6.549;31.974;-9.608;6.529;33.932;-8.010;6.259;35.212;-15.561;5.853;22.884;-14.662;8.930;24.682;-13.021;10.135;26.338;-13.041;12.716;27.410;1.120;36.902;-2.830;15.268;34.552;-0.969;20.933;21.215;-2.897;27.194;6.475;-5.027;22.651;5.662;6.924;17.458;4.312;21.562;17.144;2.529;22.387;14.725;0.098;28.251;13.389;-1.409;30.476;11.862;-2.338;32.115;10.662;-2.962;33.154;17.229;3.412;22.610;15.575;2.392;29.034;13.403;1.373;32.732;10.876;0.955;34.864;9.200;0.776;36.113;16.707;4.668;22.788;15.619;4.629;29.938;13.537;3.990;34.079;11.140;3.792;35.923;9.225;3.843;36.976;16.798;5.582;22.714;15.357;7.320;29.792;13.428;7.818;33.117;11.624;7.776;35.036;10.000;7.866;36.560;16.257;6.476;23.204;16.049;9.719;25.268;15.151;11.097;28.056;14.971;13.723;28.858;0.000;0.000;0.000;-7.666;-12.218;-0.753;-10.024;-32.867;0.208;-12.793;-57.108;1.337;-12.433;-101.385;-7.102;7.530;-12.397;-1.427;9.614;-33.011;-0.478;12.060;-57.210;0.635;11.850;-101.567;-8.790
2667.000;106.680;0.025;7.261;-0.235;-0.043;14.096;-0.450;-0.284;26.188;-0.822;-0.663;42.066;-1.578;-0.738;46.380;1.626;-0.508;52.830;3.118;-7.469;56.816;3.481;6.310;57.028;3.728;-4.036;58.986;10.991;2.544;59.087;11.109;-2.101;36.831;-2.927;-16.042;35.062;-1.735;-21.410;22.279;-3.194;-27.342;8.150;-4.807;-22.413;6.209;7.014;-16.882;3.846;20.943;-17.259;2.166;21.650;-13.088;-0.680;27.353;-11.683;-1.295;29.234;-9.793;-2.192;30.911;-8.598;-2.443;32.054;-17.309;2.988;21.845;-14.097;1.534;28.524;-11.756;1.029;31.874;-9.427;0.938;33.793;-7.810;0.751;35.031;-16.658;4.346;21.465;-13.962;4.122;29.265;-11.708;3.622;32.709;-8.908;3.495;34.592;-7.111;3.354;35.792;-16.911;5.382;21.456;-13.895;6.492;28.853;-11.682;6.572;32.009;-9.620;6.548;33.961;-8.013;6.263;35.225;-15.567;5.907;22.922;-14.680;8.981;24.713;-13.053;10.180;26.410;-13.040;12.779;27.436;1.124;36.913;-2.821;15.274;34.558;-0.956;20.939;21.215;-2.862;27.201;6.468;-4.969;22.635;5.679;6.976;17.414;4.354;21.607;17.092;2.562;22.428;14.654;0.148;28.295;13.314;-1.347;30.518;11.767;-2.264;32.147;10.542;-2.867;33.170;17.171;3.446;22.646;15.521;2.441;29.080;13.297;1.436;32.758;10.720;1.045;34.837;9.032;0.897;36.073;16.659;4.702;22.833;15.566;4.693;29.981;13.456;4.062;34.107;11.020;3.899;35.906;9.100;3.949;36.949;16.748;5.616;22.756;15.275;7.367;29.833;13.382;7.894;33.148;11.578;7.864;35.071;9.940;7.945;36.579;16.210;6.519;23.246;16.011;9.759;25.324;15.107;11.157;28.078;14.928;13.786;28.871;0.000;0.000;0.000;-7.666;-12.218;-0.751;-10.029;-32.872;0.219;-12.803;-57.118;1.357;-12.446;-101.375;-7.088;7.529;-12.397;-1.425;9.608;-33.013;-0.472;12.048;-57.213;0.646;11.825;-101.568;-8.779
2668.000;106.720;0.025;7.261;-0.235;-0.044;14.097;-0.447;-0.286;26.191;-0.810;-0.660;42.069;-1.573;-0.736;46.381;1.630;-0.507;52.826;3.127;-7.467;56.814;3.496;6.312;57.022;3.741;-4.031;58.974;11.008;2.549;59.073;11.125;-2.098;36.834;-2.921;-16.041;35.073;-1.729;-21.429;22.296;-3.177;-27.384;8.174;-4.778;-22.447;6.251;7.045;-16.903;3.911;20.976;-17.299;2.270;21.707;-13.078;-0.556;27.394;-11.654;-1.135;29.263;-9.713;-1.942;30.913;-8.467;-2.156;32.009;-17.370;3.088;21.914;-14.141;1.605;28.566;-11.776;1.128;31.902;-9.409;1.092;33.780;-7.738;0.877;34.939;-16.711;4.390;21.502;-14.037;4.184;29.310;-11.784;3.696;32.769;-8.914;3.590;34.500;-7.016;3.465;35.535;-16.962;5.430;21.488;-13.946;6.556;28.894;-11.734;6.653;32.041;-9.686;6.600;33.993;-8.052;6.356;35.232;-15.530;5.963;22.957;-14.695;9.025;24.764;-13.075;10.222;26.449;-13.084;12.810;27.504;1.127;36.915;-2.813;15.279;34.556;-0.936;20.942;21.207;-2.807;27.202;6.454;-4.874;22.612;5.705;7.067;17.361;4.430;21.696;17.035;2.661;22.528;14.678;0.288;28.441;13.199;-1.256;30.586;11.616;-2.135;32.192;10.367;-2.728;33.191;17.120;3.544;22.748;15.451;2.518;29.170;13.130;1.546;32.801;10.476;1.189;34.791;8.757;1.065;35.987;16.601;4.795;22.923;15.503;4.806;30.060;13.333;4.177;34.158;10.865;4.022;35.917;8.922;4.091;36.917;16.696;5.708;22.844;15.219;7.483;29.902;13.322;8.007;33.216;11.500;7.957;35.123;9.861;8.055;36.630;16.175;6.599;23.321;15.948;9.859;25.357;15.071;11.250;28.149;14.872;13.881;28.930;0.000;0.000;0.000;-7.666;-12.218;-0.752;-10.034;-32.872;0.233;-12.815;-57.118;1.388;-12.470;-101.393;-7.037;7.530;-12.398;-1.415;9.602;-33.014;-0.453;12.035;-57.216;0.677;11.801;-101.572;-8.742
2669.000;106.760;0.024;7.264;-0.237;-0.046;14.102;-0.448;-0.287;26.201;-0.806;-0.659;42.078;-1.577;-0.740;46.389;1.627;-0.517;52.827;3.133;-7.472;56.822;3.521;6.308;57.015;3.730;-4.014;58.976;11.025;2.566;59.068;11.124;-2.097;36.842;-2.924;-16.044;35.082;-1.743;-21.452;22.307;-3.177;-27.429;8.188;-4.763;-22.488;6.311;7.071;-16.932;4.027;21.018;-17.332;2.371;21.742;-13.174;-0.410;27.450;-11.651;-0.922;29.270;-9.468;-1.481;30.761;-8.092;-1.529;31.709;-17.400;3.190;21.943;-14.235;1.733;28.623;-11.809;1.282;31.912;-9.305;1.300;33.616;-7.531;1.161;34.624;-16.728;4.541;21.532;-14.120;4.316;29.365;-11.853;3.772;32.803;-8.894;3.655;34.315;-6.862;3.537;35.056;-16.989;5.566;21.521;-14.045;6.676;28.940;-11.845;6.765;32.095;-9.758;6.688;33.991;-8.092;6.397;35.175;-15.592;6.068;22.996;-14.718;9.108;24.826;-13.113;10.271;26.536;-13.087;12.844;27.627;1.128;36.923;-2.813;15.276;34.569;-0.920;20.943;21.211;-2.753;27.207;6.447;-4.779;22.585;5.756;7.151;17.293;4.549;21.769;16.941;2.767;22.596;14.546;0.430;28.534;13.072;-1.087;30.667;11.426;-1.933;32.224;10.130;-2.487;33.185;17.017;3.653;22.808;15.368;2.669;29.255;12.978;1.718;32.846;10.232;1.392;34.718;8.460;1.295;35.836;16.533;4.903;22.998;15.421;4.958;30.132;13.208;4.315;34.198;10.655;4.187;35.868;8.689;4.274;36.819;16.627;5.815;22.915;15.165;7.622;29.969;13.272;8.137;33.280;11.443;8.101;35.180;9.779;8.185;36.661;16.130;6.724;23.415;15.907;9.982;25.446;15.040;11.392;28.237;14.838;14.038;28.968;0.000;0.000;0.000;-7.661;-12.220;-0.757;-10.037;-32.871;0.236;-12.825;-57.112;1.401;-12.497;-101.379;-7.024;7.535;-12.396;-1.406;9.599;-33.014;-0.437;12.022;-57.217;0.700;11.780;-101.570;-8.715
2670.000;106.800;0.025;7.265;-0.237;-0.043;14.104;-0.448;-0.278;26.205;-0.807;-0.651;42.081;-1.589;-0.732;46.392;1.617;-0.502;52.824;3.135;-7.450;56.825;3.570;6.331;57.007;3.682;-3.938;58.980;11.048;2.643;59.066;11.102;-2.087;36.845;-2.934;-16.031;35.085;-1.761;-21.461;22.315;-3.179;-27.462;8.201;-4.746;-22.519;6.414;7.104;-16.956;4.246;21.072;-17.335;2.498;21.759;-13.204;-0.075;27.517;-11.537;-0.358;29.323;-9.071;-0.586;30.415;-7.531;-0.373;31.033;-17.382;3.323;21.938;-14.299;2.000;28.684;-11.713;1.580;31.869;-9.051;1.722;33.264;-7.124;1.696;33.949;-16.756;4.773;21.588;-14.219;4.548;29.432;-11.907;3.974;32.833;-8.801;3.920;34.040;-6.693;3.827;34.528;-17.043;5.797;21.581;-14.190;6.908;29.015;-12.020;6.969;32.156;-9.836;6.900;33.940;-8.060;6.569;34.939;-15.614;6.270;23.050;-14.798;9.282;24.940;-13.211;10.423;26.684;-13.213;12.982;27.806;1.138;36.926;-2.820;15.285;34.572;-0.917;20.956;21.210;-2.718;27.224;6.441;-4.709;22.564;5.837;7.208;17.221;4.737;21.816;16.848;2.929;22.631;14.419;0.652;28.589;12.907;-0.835;30.705;11.158;-1.591;32.200;9.790;-2.070;33.099;16.921;3.817;22.833;15.284;2.883;29.306;12.823;1.945;32.864;10.002;1.685;34.612;8.154;1.643;35.602;16.462;5.093;23.044;15.346;5.187;30.176;13.058;4.543;34.206;10.431;4.438;35.763;8.404;4.578;36.568;16.562;6.005;22.958;15.122;7.837;30.002;13.210;8.329;33.322;11.364;8.278;35.174;9.646;8.350;36.593;16.050;6.927;23.448;15.855;10.189;25.453;15.029;11.584;28.258;14.803;14.218;29.020;0.000;0.000;0.000;-7.661;-12.221;-0.759;-10.042;-32.868;0.239;-12.836;-57.106;1.412;-12.522;-101.391;-6.978;7.536;-12.396;-1.397;9.594;-33.014;-0.421;12.009;-57.216;0.726;11.760;-101.574;-8.680
2671.000;106.840;0.026;7.266;-0.237;-0.042;14.107;-0.448;-0.276;26.209;-0.807;-0.649;42.085;-1.603;-0.733;46.396;1.604;-0.503;52.822;3.133;-7.447;56.826;3.619;6.334;57.003;3.630;-3.880;58.979;11.071;2.701;59.064;11.076;-2.084;36.847;-2.945;-16.029;35.085;-1.778;-21.466;22.314;-3.183;-27.476;8.198;-4.736;-22.528;6.544;7.137;-16.945;4.539;21.134;-17.291;2.779;21.801;-13.184;0.348;27.613;-11.555;0.160;29.487;-8.957;0.306;30.119;-7.398;0.909;30.179;-17.366;3.603;21.974;-14.404;2.400;28.788;-11.795;2.027;31.959;-8.961;2.380;32.978;-6.944;2.512;33.287;-16.754;5.057;21.656;-14.393;4.926;29.513;-12.057;4.429;32.928;-8.850;4.501;33.794;-6.685;4.533;33.838;-17.065;6.069;21.636;-14.419;7.283;29.104;-12.275;7.348;32.220;-9.855;7.366;33.661;-7.921;7.032;34.305;-15.693;6.557;23.134;-14.859;9.491;25.103;-13.321;10.564;26.936;-13.314;13.105;28.099;1.141;36.929;-2.828;15.284;34.582;-0.911;20.973;21.220;-2.681;27.261;6.450;-4.637;22.551;5.962;7.262;17.138;5.002;21.855;16.750;3.209;22.681;14.265;0.971;28.611;12.700;-0.432;30.765;10.762;-1.014;32.130;9.287;-1.359;32.916;16.833;4.098;22.879;15.200;3.181;29.347;12.638;2.311;32.864;9.696;2.141;34.436;7.762;2.222;35.243;16.382;5.408;23.076;15.264;5.503;30.207;12.866;4.898;34.176;10.187;4.845;35.620;8.101;5.032;36.246;16.499;6.318;22.991;15.078;8.147;30.030;13.153;8.534;33.332;11.177;8.435;35.034;9.286;8.451;36.214;15.980;7.202;23.460;15.812;10.459;25.488;14.989;11.852;28.329;14.780;14.495;29.063;0.000;0.000;0.000;-7.662;-12.220;-0.765;-10.045;-32.866;0.234;-12.844;-57.103;1.406;-12.530;-101.393;-6.981;7.536;-12.397;-1.390;9.586;-33.016;-0.417;11.993;-57.220;0.725;11.739;-101.574;-8.683
