Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
510.000;20.400;0.109;7.163;-0.142;0.173;13.906;-0.305;0.236;25.837;-0.633;0.101;41.721;-1.357;0.009;46.065;1.785;0.429;52.614;3.070;-6.415;56.693;4.067;7.344;56.691;3.266;-2.385;58.607;11.347;4.186;58.605;10.964;-1.353;36.509;-2.777;-15.422;34.852;-2.045;-20.615;22.026;-3.895;-26.355;7.850;-5.940;-22.453;5.803;6.209;-18.130;3.318;20.457;-18.540;1.592;21.185;-15.484;-0.682;27.698;-14.463;-0.681;29.880;-13.243;-1.014;32.232;-12.530;-0.895;33.740;-18.611;2.425;21.316;-16.620;1.557;28.489;-14.753;1.864;32.140;-12.870;2.220;34.464;-11.582;2.398;36.042;-18.030;3.743;20.972;-16.585;4.060;29.037;-14.872;4.068;32.776;-12.465;4.370;35.088;-10.916;4.382;36.601;-18.260;4.772;20.840;-16.487;6.410;28.548;-14.660;6.816;31.870;-12.634;6.888;33.889;-10.983;6.717;35.117;-17.096;5.492;22.510;-16.526;8.669;24.134;-15.180;9.869;26.000;-14.801;12.397;27.128;1.866;36.547;-2.544;15.875;34.024;-0.226;21.240;20.524;-1.778;27.169;5.602;-3.492;22.323;4.996;8.353;16.741;3.870;22.847;16.275;2.197;23.821;14.188;0.385;30.010;12.667;-0.462;32.472;10.908;-0.659;34.146;9.577;-0.764;35.208;16.503;3.065;23.994;15.511;2.494;30.545;13.308;2.274;34.367;10.601;2.552;36.392;8.928;2.926;37.600;16.102;4.303;24.155;15.903;4.766;31.238;13.740;4.840;35.372;11.315;5.127;37.209;9.465;5.501;38.310;16.271;5.196;24.011;15.962;7.364;30.928;14.019;7.990;34.218;12.042;8.136;35.929;10.173;8.290;37.133;15.952;6.242;24.456;16.428;9.588;26.090;16.025;11.134;29.002;15.940;13.800;29.676;0.000;0.000;0.000;-7.738;-12.142;-1.140;-10.301;-32.955;-0.379;-13.310;-57.387;0.515;-12.994;-101.551;-7.442;7.468;-12.438;-1.391;9.302;-33.203;-0.574;11.455;-57.580;0.384;10.913;-101.848;-8.915
511.000;20.440;0.109;7.162;-0.145;0.173;13.905;-0.314;0.238;25.834;-0.652;0.103;41.717;-1.383;0.012;46.065;1.760;0.435;52.617;3.045;-6.404;56.704;4.050;7.354;56.688;3.227;-2.360;58.619;11.321;4.210;58.611;10.928;-1.351;36.505;-2.801;-15.422;34.847;-2.068;-20.621;22.023;-3.912;-26.367;7.850;-5.950;-22.465;5.812;6.198;-18.141;3.340;20.446;-18.554;1.628;21.184;-15.486;-0.677;27.689;-14.464;-0.652;29.869;-13.245;-0.977;32.212;-12.509;-0.838;33.707;-18.632;2.460;21.318;-16.629;1.594;28.482;-14.753;1.904;32.127;-12.864;2.246;34.441;-11.565;2.437;36.009;-18.018;3.798;20.953;-16.596;4.108;29.025;-14.878;4.115;32.756;-12.476;4.406;35.068;-10.906;4.454;36.560;-18.265;4.824;20.825;-16.499;6.444;28.535;-14.684;6.840;31.856;-12.633;6.911;33.877;-11.001;6.733;35.129;-17.111;5.497;22.475;-16.525;8.695;24.115;-15.174;9.889;25.975;-14.755;12.424;27.075;1.868;36.543;-2.568;15.876;34.017;-0.247;21.240;20.516;-1.796;27.169;5.594;-3.508;22.333;5.005;8.339;16.757;3.900;22.837;16.298;2.242;23.816;14.209;0.427;30.014;12.695;-0.407;32.481;10.952;-0.608;34.157;9.619;-0.708;35.217;16.530;3.108;23.991;15.541;2.531;30.536;13.351;2.319;34.370;10.641;2.598;36.389;8.968;2.984;37.593;16.127;4.329;24.147;15.941;4.780;31.224;13.771;4.874;35.365;11.348;5.176;37.201;9.494;5.562;38.293;16.297;5.222;24.001;15.998;7.392;30.916;14.076;8.031;34.219;12.107;8.173;35.937;10.242;8.338;37.146;15.992;6.257;24.446;16.445;9.626;26.072;16.029;11.178;28.980;15.979;13.843;29.665;0.000;0.000;0.000;-7.735;-12.144;-1.136;-10.297;-32.960;-0.371;-13.304;-57.395;0.527;-12.981;-101.553;-7.432;7.471;-12.437;-1.386;9.308;-33.202;-0.570;11.463;-57.579;0.387;10.927;-101.846;-8.914
512.000;20.480;0.109;7.161;-0.147;0.174;13.903;-0.319;0.240;25.830;-0.664;0.112;41.713;-1.402;0.024;46.063;1.740;0.452;52.616;3.024;-6.380;56.709;4.043;7.376;56.679;3.194;-2.320;58.618;11.307;4.249;58.604;10.902;-1.344;36.501;-2.817;-15.416;34.847;-2.080;-20.619;22.025;-3.918;-26.369;7.854;-5.949;-22.469;5.828;6.205;-18.146;3.373;20.458;-18.566;1.681;21.203;-15.502;-0.603;27.709;-14.468;-0.593;29.874;-13.234;-0.893;32.219;-12.486;-0.753;33.708;-18.656;2.510;21.341;-16.663;1.626;28.500;-14.759;1.938;32.129;-12.875;2.292;34.436;-11.528;2.499;35.961;-18.043;3.790;20.983;-16.649;4.130;29.037;-14.895;4.157;32.759;-12.471;4.457;35.045;-10.889;4.510;36.523;-18.278;4.823;20.844;-16.535;6.495;28.539;-14.695;6.860;31.861;-12.662;6.956;33.858;-11.034;6.732;35.109;-17.157;5.565;22.559;-16.430;8.732;24.148;-15.019;9.908;25.977;-14.513;12.493;26.908;1.875;36.537;-2.585;15.882;34.008;-0.268;21.244;20.504;-1.811;27.171;5.580;-3.517;22.343;5.023;8.335;16.783;3.960;22.838;16.309;2.290;23.812;14.217;0.497;30.014;12.710;-0.331;32.489;10.968;-0.515;34.166;9.630;-0.592;35.223;16.541;3.158;23.982;15.559;2.595;30.539;13.324;2.401;34.352;10.634;2.693;36.370;8.956;3.075;37.569;16.146;4.409;24.143;15.975;4.861;31.223;13.798;4.955;35.362;11.347;5.276;37.179;9.497;5.665;38.275;16.326;5.301;23.998;16.046;7.467;30.913;14.101;8.116;34.219;12.166;8.261;35.940;10.292;8.425;37.135;16.019;6.318;24.404;16.501;9.687;26.077;16.100;11.244;28.991;16.007;13.919;29.629;0.000;0.000;0.000;-7.736;-12.144;-1.135;-10.301;-32.960;-0.368;-13.312;-57.396;0.532;-12.993;-101.552;-7.431;7.471;-12.437;-1.385;9.304;-33.202;-0.570;11.455;-57.578;0.386;10.911;-101.847;-8.918
513.000;20.520;0.109;7.159;-0.147;0.174;13.900;-0.320;0.240;25.825;-0.666;0.105;41.708;-1.401;0.017;46.058;1.741;0.450;52.613;3.021;-6.383;56.702;4.055;7.372;56.681;3.178;-2.310;58.611;11.312;4.258;58.601;10.893;-1.349;36.495;-2.817;-15.419;34.833;-2.078;-20.620;22.009;-3.930;-26.370;7.835;-5.977;-22.487;5.854;6.197;-18.181;3.466;20.473;-18.599;1.741;21.208;-15.493;-0.450;27.723;-14.393;-0.380;29.873;-13.144;-0.619;32.172;-12.249;-0.408;33.569;-18.708;2.569;21.343;-16.728;1.723;28.503;-14.769;2.044;32.115;-12.808;2.439;34.363;-11.430;2.635;35.862;-18.063;3.892;20.988;-16.772;4.241;29.036;-14.973;4.305;32.730;-12.523;4.636;34.955;-10.845;4.664;36.324;-18.318;4.919;20.843;-16.705;6.586;28.528;-14.833;6.948;31.835;-12.768;7.022;33.812;-11.117;6.825;35.036;-17.268;5.717;22.649;-15.979;8.770;24.120;-14.328;9.805;25.809;-13.406;12.329;26.573;1.870;36.533;-2.585;15.882;34.011;-0.264;21.260;20.519;-1.796;27.203;5.608;-3.489;22.370;5.090;8.363;16.797;4.069;22.869;16.295;2.417;23.849;14.218;0.641;30.044;12.657;-0.106;32.524;10.936;-0.260;34.220;9.613;-0.319;35.296;16.539;3.280;24.026;15.554;2.691;30.566;13.272;2.535;34.357;10.557;2.886;36.343;8.875;3.266;37.537;16.175;4.519;24.171;16.004;4.950;31.253;13.787;5.069;35.376;11.339;5.413;37.183;9.487;5.832;38.266;16.366;5.409;24.029;16.105;7.545;30.967;14.193;8.209;34.283;12.281;8.353;36.020;10.409;8.555;37.213;16.057;6.432;24.442;16.570;9.790;26.133;16.159;11.360;29.017;16.071;14.029;29.681;0.000;0.000;0.000;-7.736;-12.144;-1.134;-10.300;-32.960;-0.362;-13.309;-57.396;0.544;-12.987;-101.553;-7.410;7.471;-12.437;-1.384;9.309;-33.201;-0.562;11.467;-57.575;0.402;10.933;-101.848;-8.888
514.000;20.560;0.109;7.158;-0.153;0.173;13.897;-0.330;0.240;25.821;-0.685;0.103;41.703;-1.426;0.019;46.055;1.711;0.460;52.614;2.980;-6.373;56.699;4.031;7.379;56.687;3.118;-2.283;58.613;11.277;4.285;58.607;10.841;-1.352;36.490;-2.839;-15.429;34.828;-2.054;-20.635;22.013;-3.901;-26.390;7.850;-5.943;-22.499;6.028;6.253;-18.171;3.842;20.557;-18.510;2.017;21.262;-15.367;0.076;27.786;-14.116;0.360;29.858;-12.311;0.425;31.828;-11.128;0.845;32.933;-18.630;2.845;21.386;-16.795;2.084;28.581;-14.783;2.408;32.171;-12.507;2.958;34.087;-10.829;3.210;35.229;-18.091;4.183;21.105;-16.968;4.643;29.105;-15.111;4.793;32.777;-12.400;5.188;34.656;-10.442;5.325;35.571;-18.358;5.213;20.929;-17.006;6.968;28.556;-15.104;7.326;31.856;-12.769;7.465;33.508;-10.911;7.245;34.382;-17.182;6.070;22.758;-15.258;8.816;24.160;-13.242;9.339;25.760;-11.443;11.323;26.558;1.867;36.528;-2.609;15.884;34.041;-0.304;21.260;20.568;-1.734;27.201;5.677;-3.315;22.333;5.256;8.532;16.702;4.354;23.035;16.112;2.706;23.991;13.996;0.942;30.164;12.457;0.367;32.679;10.736;0.357;34.426;9.454;0.381;35.551;16.392;3.555;24.183;15.402;2.881;30.716;13.019;2.920;34.436;10.326;3.372;36.403;8.625;3.842;37.537;16.091;4.860;24.331;15.977;5.083;31.438;13.677;5.244;35.517;11.239;5.685;37.304;9.381;6.141;38.361;16.341;5.739;24.211;16.169;7.662;31.213;14.322;8.212;34.584;12.366;8.354;36.319;10.532;8.591;37.562;16.035;6.713;24.665;16.678;10.012;26.445;16.314;11.555;29.352;16.334;14.222;30.031;0.000;0.000;0.000;-7.737;-12.145;-1.119;-10.300;-32.961;-0.345;-13.308;-57.396;0.564;-12.988;-101.555;-7.388;7.470;-12.438;-1.379;9.305;-33.202;-0.553;11.458;-57.576;0.417;10.916;-101.847;-8.865
515.000;20.600;0.109;7.160;-0.154;0.172;13.902;-0.331;0.234;25.829;-0.686;0.071;41.712;-1.418;0.003;46.060;1.705;0.480;52.623;2.935;-6.358;56.690;4.018;7.392;56.708;3.074;-2.254;58.581;11.262;4.312;58.589;10.811;-1.379;36.497;-2.830;-15.455;34.837;-1.956;-20.713;22.030;-3.729;-26.524;7.875;-5.689;-22.475;6.473;6.501;-17.937;4.818;20.805;-18.154;2.935;21.492;-14.755;1.308;27.915;-13.348;1.882;29.897;-11.046;2.642;31.094;-9.627;3.431;31.495;-18.381;3.738;21.633;-16.551;3.000;28.798;-14.301;3.215;32.263;-11.618;4.122;33.352;-9.695;4.786;33.561;-17.892;5.048;21.426;-17.050;5.576;29.342;-15.107;5.798;33.011;-11.960;6.516;33.977;-9.818;6.834;33.950;-18.192;6.081;21.209;-17.318;7.910;28.802;-15.433;8.400;32.036;-12.784;8.727;33.054;-10.723;8.623;33.120;-17.137;6.954;23.012;-14.888;9.381;24.597;-12.601;9.397;26.168;-10.487;10.851;27.275;1.840;36.540;-2.608;15.875;34.124;-0.328;21.280;20.637;-1.458;27.253;5.730;-2.707;22.216;5.604;9.104;16.313;5.059;23.593;15.579;3.473;24.493;13.453;1.583;30.541;11.847;1.281;33.074;10.179;1.462;34.845;8.903;1.634;35.964;15.938;4.280;24.728;15.028;3.324;31.182;12.420;3.574;34.757;9.762;4.227;36.687;8.060;4.814;37.762;15.766;5.578;24.920;15.727;5.446;31.988;13.282;5.579;35.981;10.835;6.188;37.703;8.981;6.731;38.725;16.095;6.434;24.843;16.095;7.935;31.898;14.156;8.326;35.245;12.172;8.435;36.993;10.369;8.676;38.281;15.891;7.345;25.323;16.712;10.469;27.391;16.597;11.826;30.385;16.756;14.430;31.261;0.000;0.000;0.000;-7.738;-12.145;-1.106;-10.304;-32.961;-0.316;-13.316;-57.398;0.611;-13.008;-101.558;-7.335;7.468;-12.439;-1.386;9.300;-33.204;-0.541;11.451;-57.579;0.451;10.894;-101.855;-8.814
516.000;20.640;0.102;7.163;-0.159;0.156;13.907;-0.333;0.199;25.838;-0.673;0.018;41.720;-1.415;-0.023;46.067;1.697;0.502;52.628;2.903;-6.341;56.672;4.041;7.405;56.728;3.045;-2.214;58.521;11.283;4.350;58.548;10.807;-1.435;36.503;-2.816;-15.501;34.862;-1.808;-20.857;22.048;-3.373;-26.778;7.886;-5.102;-22.442;7.203;7.042;-17.569;6.400;21.305;-17.502;4.470;21.982;-13.646;3.610;28.254;-12.256;4.692;30.102;-10.103;6.221;30.506;-9.037;7.468;30.186;-17.932;5.178;22.152;-15.744;4.708;29.216;-13.302;5.430;32.460;-10.802;7.198;32.692;-9.226;8.354;32.088;-17.534;6.531;21.978;-16.853;7.057;29.813;-14.603;7.737;33.261;-11.548;9.091;33.210;-9.781;9.830;32.199;-17.993;7.491;21.758;-17.670;9.365;29.314;-15.797;10.141;32.467;-13.139;11.042;32.720;-11.262;11.389;31.934;-17.171;8.457;23.568;-15.077;10.917;25.340;-12.772;10.977;26.958;-10.576;12.293;28.078;1.786;36.549;-2.611;15.843;34.208;-0.361;21.316;20.666;-0.820;27.365;5.698;-1.326;21.998;6.083;10.359;15.626;6.163;24.731;14.716;4.656;25.544;12.204;2.777;31.412;10.564;2.674;33.897;8.889;3.029;35.672;7.645;3.330;36.800;15.158;5.403;25.832;13.957;4.171;32.180;11.113;4.689;35.545;8.419;5.541;37.372;6.785;6.217;38.502;15.130;6.635;26.056;14.815;6.255;33.098;12.196;6.420;36.959;9.740;7.196;38.629;7.919;7.875;39.630;15.543;7.457;26.031;15.447;8.668;33.148;13.324;9.006;36.411;11.289;9.191;38.090;9.469;9.536;39.329;15.430;8.388;26.565;16.480;11.296;28.871;16.310;12.510;31.907;16.840;14.995;32.961;0.000;0.000;0.000;-7.733;-12.152;-1.071;-10.296;-32.965;-0.266;-13.304;-57.398;0.679;-13.019;-101.566;-7.235;7.472;-12.435;-1.395;9.307;-33.200;-0.519;11.462;-57.576;0.508;10.897;-101.862;-8.715
517.000;20.680;0.097;7.166;-0.163;0.137;13.914;-0.330;0.144;25.852;-0.642;-0.032;41.732;-1.436;-0.045;46.085;1.665;0.509;52.642;2.859;-6.329;56.672;4.073;7.413;56.740;3.014;-2.169;58.442;11.316;4.394;58.474;10.810;-1.498;36.511;-2.810;-15.550;34.947;-1.669;-21.035;22.096;-2.831;-27.096;7.893;-4.116;-22.395;8.049;7.910;-17.106;8.212;22.054;-16.511;6.340;22.686;-12.338;6.479;28.756;-11.044;7.969;30.399;-9.739;10.163;30.162;-9.451;11.522;29.230;-17.105;6.905;22.896;-14.635;6.831;29.845;-12.158;8.389;32.730;-10.497;10.879;32.219;-9.793;12.282;30.909;-17.023;8.353;22.761;-16.348;8.849;30.484;-13.948;10.248;33.567;-11.556;12.356;32.567;-10.487;13.380;30.986;-17.737;9.157;22.569;-17.756;10.848;30.104;-15.963;12.087;33.068;-13.667;13.620;32.639;-12.215;14.272;31.324;-17.118;10.144;24.332;-15.535;12.852;26.252;-13.401;13.516;27.811;-11.266;14.964;28.884;1.724;36.556;-2.626;15.801;34.259;-0.371;21.283;20.671;0.166;27.342;5.654;0.760;21.560;6.699;12.228;14.641;7.557;26.357;13.505;6.089;27.086;10.406;4.695;32.769;8.515;4.998;35.091;6.773;5.579;36.722;5.500;6.053;37.755;13.945;6.838;27.369;12.180;6.048;33.696;9.063;6.957;36.700;6.358;7.947;38.376;4.663;8.773;39.293;14.078;8.079;27.618;13.102;8.030;34.614;10.246;8.473;38.265;7.762;9.361;39.798;5.945;10.200;40.675;14.542;8.874;27.601;13.877;10.385;34.651;11.428;10.954;37.647;9.295;11.298;39.147;7.427;11.823;40.244;14.468;9.873;28.063;15.514;12.769;30.427;15.209;14.098;33.418;15.828;16.599;34.384;0.000;0.000;0.000;-7.737;-12.154;-1.016;-10.297;-32.967;-0.176;-13.301;-57.400;0.810;-13.050;-101.576;-7.085;7.466;-12.436;-1.417;9.309;-33.199;-0.495;11.473;-57.572;0.587;10.877;-101.872;-8.565
518.000;20.720;0.090;7.168;-0.168;0.128;13.917;-0.328;0.136;25.858;-0.616;-0.014;41.734;-1.484;-0.010;46.096;1.595;0.549;52.648;2.761;-6.281;56.664;4.066;7.455;56.740;2.945;-2.087;58.324;11.315;4.473;58.361;10.780;-1.494;36.509;-2.827;-15.538;35.041;-1.578;-21.167;22.163;-2.222;-27.388;7.931;-2.934;-22.301;8.824;8.895;-16.576;9.803;22.833;-15.467;8.115;23.372;-11.039;9.354;29.087;-9.912;11.124;30.567;-9.503;13.611;29.885;-9.804;14.721;28.671;-16.168;8.507;23.638;-13.210;8.977;30.376;-10.988;11.372;32.897;-10.246;14.140;31.825;-10.266;15.379;30.199;-16.447;9.931;23.558;-15.414;10.518;31.147;-13.081;12.705;33.735;-11.537;15.203;32.318;-11.256;16.132;30.382;-17.343;10.532;23.434;-17.291;12.149;30.905;-15.352;13.945;33.452;-13.655;15.920;32.556;-12.888;16.668;30.790;-16.840;11.583;25.085;-15.842;14.572;26.953;-13.734;15.668;28.442;-11.906;17.540;29.422;1.729;36.549;-2.656;15.813;34.262;-0.324;21.189;20.692;1.398;27.130;5.694;3.302;20.767;7.605;14.365;13.146;9.544;28.047;11.975;8.134;28.827;8.436;7.232;34.348;6.392;7.779;36.442;4.529;8.572;37.857;3.196;9.150;38.750;12.401;8.902;29.084;10.169;8.586;35.298;6.714;9.801;37.811;3.925;10.920;39.187;2.145;11.811;39.849;12.484;10.167;29.217;10.993;10.681;36.081;7.811;11.469;39.371;5.170;12.463;40.556;3.292;13.360;41.224;12.947;10.962;29.169;11.772;12.993;35.966;8.997;13.850;38.615;6.663;14.243;39.832;4.705;14.815;40.729;12.849;11.954;29.525;13.609;15.092;31.709;13.034;16.674;34.504;13.479;19.272;35.294;0.000;0.000;0.000;-7.730;-12.163;-0.954;-10.280;-32.979;-0.080;-13.273;-57.414;0.945;-13.058;-101.591;-6.922;7.470;-12.430;-1.449;9.329;-33.196;-0.492;11.510;-57.574;0.632;10.864;-101.891;-8.406
