Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
139.000;5.560;-0.013;7.196;-0.146;-0.120;13.972;-0.239;-0.431;25.959;-0.347;-0.959;41.838;-0.976;-0.927;46.129;2.012;-0.409;52.696;2.902;-7.251;56.687;4.224;6.426;56.893;2.529;-2.795;58.887;11.167;3.736;58.985;10.357;-2.368;36.601;-2.347;-16.323;34.633;-0.830;-21.133;21.576;-2.183;-26.451;7.145;-3.679;-22.076;5.152;8.412;-17.141;2.757;22.631;-17.706;1.076;23.333;-14.667;-1.369;29.655;-13.186;-1.273;31.650;-11.524;-1.627;33.640;-10.389;-1.462;34.856;-17.770;1.907;23.479;-15.808;0.731;30.581;-13.085;0.792;33.698;-10.832;0.907;35.666;-9.267;0.868;36.983;-17.025;3.175;23.186;-15.696;3.317;31.100;-13.228;2.975;34.346;-10.755;2.994;36.592;-9.216;2.874;38.111;-17.220;4.258;23.066;-15.461;5.697;30.674;-13.173;5.729;33.767;-11.163;5.593;35.768;-9.655;5.252;37.137;-16.037;4.798;24.647;-15.391;7.885;26.452;-13.958;9.010;28.424;-13.807;11.517;29.648;0.857;36.711;-2.281;15.047;34.521;-0.641;20.554;21.078;-2.216;26.642;6.219;-3.958;21.935;5.212;8.017;16.548;3.639;22.669;16.099;1.843;23.560;14.434;-0.180;29.765;12.975;-0.904;32.327;10.950;-0.727;33.715;9.379;-0.451;34.318;16.280;2.717;23.755;15.679;1.863;30.340;13.368;1.545;34.101;10.533;1.764;35.939;8.742;2.104;36.975;15.952;4.016;24.000;16.032;4.093;31.098;13.736;4.004;35.150;11.234;4.270;36.870;9.284;4.573;37.808;16.112;4.917;23.898;16.014;6.717;30.938;14.313;7.323;34.292;12.251;7.340;35.869;10.287;7.443;36.918;15.846;5.838;24.383;16.319;9.136;26.203;16.167;10.529;29.210;16.149;13.167;29.994;0.000;0.000;0.000;-7.622;-12.246;-0.746;-9.623;-32.989;-0.082;-11.973;-57.338;0.698;-10.654;-101.596;-7.487;7.562;-12.348;-1.665;9.635;-33.058;-0.585;12.070;-57.370;0.684;11.404;-101.906;-8.302
140.000;5.600;-0.011;7.194;-0.150;-0.115;13.967;-0.250;-0.418;25.950;-0.378;-0.936;41.830;-1.011;-0.903;46.125;1.978;-0.380;52.699;2.868;-7.218;56.697;4.183;6.459;56.890;2.493;-2.764;58.900;11.126;3.768;58.992;10.319;-2.347;36.593;-2.382;-16.305;34.633;-0.875;-21.124;21.581;-2.246;-26.450;7.154;-3.761;-22.092;5.148;8.331;-17.177;2.740;22.551;-17.748;1.080;23.258;-14.717;-1.420;29.579;-13.224;-1.314;31.567;-11.568;-1.652;33.568;-10.443;-1.489;34.794;-17.818;1.909;23.410;-15.858;0.726;30.504;-13.096;0.756;33.612;-10.892;0.858;35.593;-9.320;0.829;36.901;-17.049;3.151;23.115;-15.734;3.313;31.020;-13.276;2.960;34.268;-10.802;2.962;36.520;-9.262;2.826;38.035;-17.241;4.232;22.994;-15.501;5.671;30.599;-13.209;5.694;33.701;-11.223;5.561;35.692;-9.682;5.215;37.022;-16.053;4.759;24.544;-15.436;7.860;26.376;-14.016;8.978;28.360;-13.857;11.488;29.576;0.878;36.701;-2.314;15.063;34.500;-0.664;20.569;21.054;-2.237;26.655;6.193;-3.976;21.948;5.188;8.002;16.561;3.616;22.657;16.114;1.820;23.546;14.451;-0.211;29.753;12.976;-0.939;32.306;10.944;-0.773;33.684;9.368;-0.496;34.277;16.295;2.694;23.742;15.682;1.811;30.326;13.318;1.517;34.060;10.494;1.714;35.871;8.675;2.054;36.859;15.962;3.997;23.987;16.029;4.064;31.086;13.677;3.967;35.104;11.165;4.235;36.806;9.205;4.544;37.722;16.122;4.898;23.886;16.005;6.690;30.922;14.266;7.284;34.270;12.202;7.286;35.828;10.223;7.365;36.850;15.847;5.816;24.355;16.311;9.114;26.190;16.155;10.500;29.193;16.119;13.133;29.993;0.000;0.000;0.000;-7.624;-12.244;-0.750;-9.630;-32.984;-0.084;-11.986;-57.330;0.698;-10.670;-101.589;-7.492;7.560;-12.350;-1.657;9.628;-33.057;-0.576;12.054;-57.367;0.692;11.386;-101.906;-8.297
141.000;5.640;-0.009;7.192;-0.154;-0.109;13.963;-0.260;-0.403;25.944;-0.400;-0.910;41.823;-1.039;-0.874;46.123;1.951;-0.347;52.702;2.839;-7.182;56.707;4.151;6.495;56.888;2.458;-2.723;58.915;11.090;3.808;59.002;10.281;-2.324;36.587;-2.409;-16.282;34.636;-0.906;-21.108;21.591;-2.284;-26.443;7.173;-3.807;-22.099;5.156;8.288;-17.200;2.735;22.510;-17.779;1.080;23.219;-14.747;-1.408;29.537;-13.259;-1.255;31.541;-11.636;-1.619;33.542;-10.481;-1.433;34.736;-17.855;1.909;23.372;-15.906;0.720;30.464;-13.156;0.760;33.574;-10.937;0.862;35.559;-9.373;0.845;36.876;-17.081;3.149;23.072;-15.761;3.287;30.974;-13.306;2.965;34.226;-10.834;2.959;36.478;-9.305;2.837;38.007;-17.277;4.228;22.952;-15.523;5.665;30.556;-13.227;5.689;33.641;-11.220;5.552;35.660;-9.729;5.220;37.050;-16.076;4.768;24.516;-15.465;7.857;26.323;-14.035;8.976;28.315;-13.894;11.482;29.544;0.901;36.693;-2.340;15.084;34.482;-0.688;20.577;21.036;-2.267;26.648;6.173;-4.013;21.957;5.162;7.972;16.589;3.583;22.639;16.147;1.793;23.529;14.491;-0.255;29.720;13.001;-0.987;32.272;10.965;-0.850;33.629;9.380;-0.558;34.189;16.328;2.667;23.725;15.700;1.785;30.313;13.257;1.446;33.986;10.417;1.645;35.753;8.566;1.999;36.675;15.989;3.949;23.976;16.052;4.035;31.060;13.623;3.912;35.045;11.047;4.209;36.658;9.069;4.485;37.547;16.139;4.852;23.875;15.999;6.668;30.894;14.219;7.236;34.213;12.115;7.207;35.730;10.109;7.276;36.699;15.868;5.791;24.348;16.345;9.085;26.158;16.147;10.482;29.174;16.140;13.124;29.941;0.000;0.000;0.000;-7.626;-12.243;-0.745;-9.637;-32.983;-0.075;-11.998;-57.330;0.711;-10.686;-101.584;-7.484;7.558;-12.352;-1.648;9.621;-33.060;-0.564;12.041;-57.369;0.708;11.361;-101.899;-8.294
142.000;5.680;-0.007;7.191;-0.158;-0.103;13.961;-0.271;-0.387;25.940;-0.425;-0.883;41.820;-1.063;-0.845;46.121;1.926;-0.313;52.703;2.808;-7.144;56.716;4.115;6.533;56.883;2.423;-2.685;58.926;11.052;3.847;59.006;10.244;-2.300;36.585;-2.433;-16.261;34.643;-0.940;-21.094;21.602;-2.325;-26.437;7.189;-3.857;-22.111;5.173;8.244;-17.237;2.739;22.469;-17.811;1.098;23.188;-14.788;-1.361;29.507;-13.284;-1.243;31.497;-11.663;-1.580;33.511;-10.539;-1.396;34.735;-17.882;1.928;23.339;-15.947;0.754;30.435;-13.208;0.791;33.551;-10.971;0.898;35.525;-9.419;0.870;36.855;-17.148;3.143;23.039;-15.808;3.314;30.942;-13.347;2.983;34.184;-10.877;3.002;36.437;-9.342;2.876;37.960;-17.330;4.238;22.913;-15.573;5.699;30.516;-13.247;5.714;33.599;-11.292;5.599;35.626;-9.789;5.250;36.998;-16.106;4.788;24.506;-15.509;7.880;26.297;-14.084;9.003;28.278;-13.943;11.508;29.507;0.925;36.688;-2.363;15.109;34.468;-0.709;20.585;21.018;-2.305;26.638;6.152;-4.068;21.953;5.140;7.915;16.589;3.561;22.582;16.164;1.756;23.465;14.528;-0.288;29.669;13.020;-1.055;32.213;10.971;-0.907;33.557;9.380;-0.624;34.103;16.336;2.633;23.658;15.713;1.761;30.254;13.320;1.424;33.954;10.459;1.608;35.709;8.602;1.971;36.614;15.994;3.921;23.925;16.047;4.020;31.004;13.580;3.884;34.965;10.982;4.167;36.549;8.992;4.475;37.399;16.139;4.825;23.823;15.997;6.635;30.832;14.172;7.176;34.139;12.069;7.154;35.638;10.045;7.216;36.569;15.870;5.765;24.296;16.314;9.067;26.085;16.138;10.459;29.092;16.130;13.095;29.883;0.000;0.000;0.000;-7.627;-12.243;-0.742;-9.640;-32.981;-0.072;-12.004;-57.325;0.714;-10.696;-101.582;-7.482;7.558;-12.353;-1.642;9.616;-33.059;-0.556;12.033;-57.366;0.719;11.349;-101.900;-8.288
143.000;5.720;-0.005;7.189;-0.162;-0.099;13.958;-0.280;-0.376;25.935;-0.448;-0.863;41.815;-1.087;-0.823;46.118;1.903;-0.287;52.703;2.785;-7.119;56.719;4.084;6.560;56.879;2.403;-2.664;58.932;11.024;3.868;59.009;10.221;-2.283;36.580;-2.457;-16.243;34.646;-0.969;-21.084;21.608;-2.357;-26.434;7.196;-3.892;-22.131;5.197;8.221;-17.282;2.791;22.461;-17.864;1.133;23.172;-14.852;-1.322;29.505;-13.358;-1.179;31.508;-11.721;-1.531;33.510;-10.599;-1.352;34.737;-17.930;1.963;23.320;-16.012;0.806;30.427;-13.267;0.849;33.541;-11.049;0.964;35.529;-9.490;0.915;36.852;-17.177;3.197;23.029;-15.870;3.379;30.925;-13.375;3.076;34.153;-10.883;3.097;36.391;-9.351;2.975;37.917;-17.362;4.278;22.903;-15.632;5.747;30.503;-13.308;5.750;33.586;-11.376;5.638;35.616;-9.852;5.335;36.976;-16.155;4.831;24.490;-15.562;7.926;26.270;-14.139;9.046;28.255;-13.991;11.551;29.485;0.942;36.682;-2.387;15.122;34.454;-0.731;20.580;21.001;-2.346;26.613;6.133;-4.131;21.933;5.116;7.856;16.575;3.528;22.529;16.150;1.717;23.405;14.515;-0.335;29.601;12.988;-1.089;32.148;10.949;-0.956;33.483;9.353;-0.667;34.010;16.320;2.594;23.598;15.715;1.714;30.195;13.316;1.363;33.905;10.448;1.565;35.640;8.583;1.927;36.529;15.984;3.907;23.865;16.029;3.983;30.947;13.564;3.840;34.908;10.940;4.129;36.455;8.941;4.431;37.288;16.134;4.811;23.766;15.983;6.596;30.784;14.154;7.121;34.084;12.035;7.058;35.582;10.007;7.136;36.502;15.843;5.741;24.250;16.293;9.037;26.029;16.139;10.421;29.055;16.116;13.056;29.849;0.000;0.000;0.000;-7.627;-12.243;-0.739;-9.648;-32.979;-0.068;-12.019;-57.321;0.720;-10.722;-101.580;-7.472;7.557;-12.354;-1.635;9.613;-33.059;-0.544;12.026;-57.365;0.736;11.337;-101.894;-8.291
144.000;5.760;-0.003;7.188;-0.165;-0.094;13.955;-0.289;-0.365;25.928;-0.467;-0.842;41.809;-1.103;-0.802;46.114;1.890;-0.267;52.703;2.775;-7.095;56.725;4.071;6.585;56.872;2.398;-2.642;58.934;11.013;3.891;59.004;10.214;-2.265;36.576;-2.474;-16.226;34.650;-0.988;-21.075;21.613;-2.379;-26.433;7.203;-3.917;-22.145;5.226;8.202;-17.317;2.843;22.447;-17.897;1.180;23.162;-14.893;-1.260;29.509;-13.402;-1.095;31.515;-11.798;-1.444;33.526;-10.658;-1.244;34.733;-17.961;2.011;23.306;-16.061;0.844;30.421;-13.322;0.920;33.559;-11.133;1.043;35.542;-9.556;1.013;36.844;-17.204;3.287;23.007;-15.903;3.445;30.904;-13.404;3.213;34.123;-10.942;3.211;36.370;-9.387;3.121;37.875;-17.410;4.371;22.886;-15.695;5.822;30.486;-13.357;5.847;33.573;-11.421;5.724;35.616;-9.922;5.431;37.005;-16.235;4.898;24.478;-15.587;7.978;26.253;-14.191;9.100;28.249;-14.027;11.608;29.470;0.960;36.675;-2.403;15.139;34.436;-0.748;20.569;20.977;-2.380;26.571;6.101;-4.185;21.903;5.082;7.806;16.559;3.493;22.481;16.129;1.696;23.363;14.472;-0.370;29.555;12.935;-1.166;32.079;10.872;-1.021;33.383;9.272;-0.711;33.888;16.305;2.571;23.560;15.686;1.661;30.145;13.274;1.310;33.845;10.396;1.518;35.541;8.510;1.881;36.384;15.966;3.854;23.823;16.009;3.942;30.907;13.496;3.777;34.843;10.856;4.066;36.335;8.829;4.380;37.089;16.112;4.758;23.725;15.972;6.542;30.740;14.150;7.022;34.060;12.035;6.979;35.548;10.007;7.026;36.471;15.836;5.708;24.219;16.288;8.996;25.995;16.125;10.375;29.014;16.105;13.004;29.827;0.000;0.000;0.000;-7.631;-12.241;-0.738;-9.657;-32.979;-0.060;-12.037;-57.324;0.736;-10.746;-101.578;-7.462;7.554;-12.357;-1.627;9.603;-33.062;-0.529;12.008;-57.368;0.759;11.311;-101.896;-8.270
145.000;5.800;-0.003;7.186;-0.168;-0.091;13.952;-0.297;-0.358;25.923;-0.490;-0.826;41.804;-1.121;-0.784;46.111;1.878;-0.247;52.702;2.772;-7.072;56.728;4.071;6.608;56.868;2.398;-2.618;58.927;11.015;3.915;58.994;10.216;-2.253;36.572;-2.493;-16.217;34.653;-1.007;-21.069;21.618;-2.392;-26.432;7.212;-3.924;-22.159;5.264;8.200;-17.347;2.917;22.452;-17.917;1.249;23.162;-14.914;-1.171;29.527;-13.462;-1.016;31.545;-11.777;-1.379;33.523;-10.664;-1.177;34.755;-17.979;2.081;23.302;-16.075;0.945;30.426;-13.404;0.969;33.610;-11.170;1.086;35.544;-9.558;1.036;36.801;-17.243;3.353;23.012;-15.937;3.555;30.906;-13.441;3.346;34.108;-10.925;3.405;36.323;-9.362;3.306;37.819;-17.451;4.441;22.884;-15.728;5.926;30.482;-13.394;5.948;33.559;-11.426;5.856;35.581;-9.967;5.509;36.999;-16.238;4.981;24.481;-15.597;8.056;26.258;-14.157;9.133;28.252;-13.962;11.630;29.489;0.973;36.670;-2.423;15.151;34.414;-0.765;20.564;20.951;-2.404;26.546;6.070;-4.215;21.881;5.054;7.774;16.540;3.472;22.451;16.105;1.666;23.325;14.409;-0.399;29.530;12.898;-1.233;32.023;10.755;-1.025;33.244;9.153;-0.674;33.713;16.280;2.541;23.522;15.666;1.625;30.105;13.295;1.227;33.830;10.399;1.487;35.487;8.489;1.843;36.276;15.953;3.829;23.789;16.000;3.894;30.876;13.441;3.755;34.795;10.757;4.030;36.217;8.703;4.372;36.882;16.103;4.732;23.690;15.947;6.515;30.719;14.130;6.984;34.028;12.021;6.949;35.528;9.991;6.996;36.447;15.811;5.688;24.177;16.264;8.970;25.973;16.053;10.350;28.981;16.058;12.976;29.805;0.000;0.000;0.000;-7.630;-12.241;-0.740;-9.665;-32.977;-0.062;-12.054;-57.319;0.735;-10.776;-101.574;-7.464;7.556;-12.357;-1.621;9.596;-33.062;-0.520;11.991;-57.367;0.774;11.278;-101.879;-8.273
146.000;5.840;-0.003;7.184;-0.171;-0.091;13.949;-0.306;-0.356;25.917;-0.514;-0.813;41.798;-1.147;-0.767;46.108;1.860;-0.224;52.699;2.770;-7.044;56.728;4.081;6.635;56.859;2.402;-2.585;58.908;11.028;3.947;58.970;10.226;-2.243;36.567;-2.519;-16.208;34.657;-1.030;-21.067;21.621;-2.408;-26.439;7.213;-3.931;-22.169;5.317;8.203;-17.356;3.035;22.470;-17.910;1.357;23.171;-14.963;-1.027;29.554;-13.527;-0.948;31.583;-11.666;-1.257;33.439;-10.467;-1.059;34.588;-17.965;2.190;23.305;-16.114;1.082;30.443;-13.534;1.021;33.677;-11.133;1.155;35.433;-9.385;1.129;36.494;-17.232;3.493;23.023;-15.950;3.700;30.894;-13.409;3.548;34.071;-10.854;3.625;36.239;-9.262;3.568;37.707;-17.455;4.559;22.894;-15.756;6.069;30.476;-13.400;6.100;33.543;-11.426;6.012;35.562;-9.958;5.678;36.975;-16.257;5.092;24.513;-15.548;8.167;26.279;-14.034;9.137;28.308;-13.751;11.649;29.499;0.982;36.662;-2.449;15.157;34.387;-0.792;20.554;20.917;-2.433;26.518;6.029;-4.247;21.865;5.039;7.752;16.538;3.485;22.440;16.115;1.684;23.313;14.334;-0.400;29.499;12.683;-1.220;31.929;10.385;-0.712;32.711;8.803;-0.080;32.622;16.294;2.558;23.514;15.653;1.629;30.087;13.271;1.217;33.810;10.255;1.570;35.240;8.293;2.012;35.833;15.953;3.838;23.780;16.005;3.912;30.864;13.419;3.733;34.782;10.669;4.040;36.096;8.604;4.410;36.707;16.105;4.741;23.682;15.941;6.514;30.713;14.114;6.992;34.014;11.995;6.935;35.503;9.964;6.980;36.421;15.830;5.688;24.157;16.234;8.996;25.963;15.975;10.357;28.998;15.893;12.979;29.828;0.000;0.000;0.000;-7.629;-12.242;-0.739;-9.671;-32.976;-0.057;-12.067;-57.317;0.744;-10.799;-101.573;-7.446;7.557;-12.357;-1.616;9.591;-33.062;-0.513;11.979;-57.369;0.782;11.259;-101.885;-8.266
147.000;5.880;-0.002;7.182;-0.174;-0.090;13.944;-0.316;-0.352;25.908;-0.537;-0.806;41.790;-1.171;-0.755;46.102;1.843;-0.201;52.694;2.769;-7.018;56.724;4.096;6.660;56.850;2.406;-2.551;58.883;11.045;3.980;58.944;10.238;-2.237;36.558;-2.542;-16.202;34.647;-1.043;-21.062;21.610;-2.420;-26.433;7.201;-3.942;-22.184;5.414;8.215;-17.398;3.273;22.514;-17.934;1.580;23.206;-14.926;-0.776;29.584;-13.500;-0.695;31.647;-10.934;-0.459;32.360;-9.358;0.080;32.509;-18.005;2.412;23.338;-16.172;1.316;30.506;-13.430;1.221;33.596;-10.508;1.540;34.225;-8.475;1.754;34.185;-17.290;3.697;23.070;-16.012;3.937;30.920;-13.415;3.860;34.048;-10.782;3.995;36.122;-9.141;3.935;37.533;-17.524;4.763;22.936;-15.839;6.319;30.498;-13.440;6.381;33.542;-11.489;6.318;35.554;-10.005;5.980;36.948;-16.301;5.365;24.573;-15.329;8.356;26.323;-13.616;9.069;28.315;-12.879;11.394;29.679;0.988;36.653;-2.473;15.167;34.371;-0.821;20.550;20.890;-2.455;26.499;5.990;-4.261;21.885;5.075;7.764;16.602;3.609;22.488;16.137;1.779;23.336;14.139;-0.274;29.470;12.092;-0.943;31.687;9.856;0.183;31.342;8.954;1.215;30.325;16.318;2.651;23.542;15.655;1.729;30.112;13.208;1.344;33.828;9.921;1.991;34.347;7.972;2.680;33.990;16.021;3.956;23.821;16.075;3.987;30.902;13.405;3.829;34.774;10.562;4.190;35.923;8.465;4.614;36.367;16.186;4.857;23.729;16.028;6.579;30.747;14.123;7.004;34.033;11.961;6.993;35.478;9.927;7.042;36.387;15.883;5.836;24.244;16.198;9.156;26.028;15.580;10.401;29.109;14.968;12.846;30.214;0.000;0.000;0.000;-7.629;-12.242;-0.736;-9.672;-32.974;-0.054;-12.070;-57.311;0.747;-10.806;-101.572;-7.434;7.557;-12.358;-1.609;9.588;-33.061;-0.506;11.972;-57.364;0.790;11.247;-101.881;-8.257
