Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
702.000;28.080;-0.023;7.117;-0.468;-0.092;13.803;-1.101;-0.274;25.615;-2.464;-0.739;41.404;-4.286;-0.662;45.837;-1.552;-0.192;52.298;-0.839;-7.031;56.276;0.531;6.654;56.486;-1.089;-2.607;58.320;7.541;3.929;58.420;6.767;-2.196;36.086;-5.231;-16.256;34.450;-3.323;-20.146;21.094;-0.875;-24.446;6.332;1.831;-20.521;10.107;13.386;-16.025;14.631;27.042;-16.569;13.221;27.858;-14.060;11.210;34.519;-13.476;11.081;36.882;-13.106;10.370;39.318;-12.785;10.239;40.954;-16.614;14.063;27.924;-14.885;13.479;35.176;-13.223;13.490;38.887;-12.070;13.556;41.589;-11.223;13.544;43.450;-16.143;14.981;27.658;-14.696;16.080;35.647;-13.302;15.967;39.443;-11.776;16.059;42.464;-10.988;15.905;44.476;-16.145;16.056;27.381;-14.399;18.401;35.070;-12.981;18.654;38.665;-11.849;18.775;41.174;-10.794;18.534;42.932;-14.798;16.954;28.799;-14.397;20.210;30.807;-13.474;22.038;32.687;-14.652;24.522;33.187;1.030;36.181;-5.230;15.341;33.964;-3.377;19.852;20.353;-0.864;24.838;5.308;1.912;20.610;9.302;13.325;15.671;13.903;27.470;15.725;12.478;28.644;14.586;11.035;35.026;13.869;9.905;37.662;12.695;9.239;39.661;11.687;8.813;40.970;15.815;13.386;28.703;15.397;13.367;35.258;14.438;12.936;39.504;12.722;12.692;42.346;11.483;12.635;44.037;15.192;14.366;28.818;15.504;15.769;35.812;15.112;15.669;40.455;13.789;15.570;43.180;12.562;15.680;44.985;15.129;15.244;28.549;14.918;18.220;35.429;13.958;18.775;39.150;12.771;18.779;41.455;11.546;18.807;43.316;14.594;16.361;28.835;14.380;19.867;30.676;14.489;21.550;33.607;13.754;24.185;33.907;0.000;0.000;0.000;-7.602;-12.281;-0.083;-9.560;-33.128;0.377;-11.858;-57.601;0.916;-11.113;-101.799;-8.601;7.537;-12.376;-1.565;9.330;-33.240;-0.764;11.434;-57.732;0.176;9.960;-102.050;-9.329
703.000;28.120;-0.024;7.118;-0.471;-0.093;13.806;-1.105;-0.275;25.619;-2.469;-0.737;41.408;-4.295;-0.656;45.842;-1.563;-0.183;52.303;-0.856;-7.019;56.286;0.517;6.664;56.489;-1.128;-2.581;58.345;7.515;3.953;58.442;6.729;-2.198;36.091;-5.237;-16.255;34.458;-3.306;-20.146;21.103;-0.853;-24.446;6.343;1.859;-20.505;10.120;13.409;-15.995;14.642;27.058;-16.544;13.247;27.876;-14.021;11.220;34.537;-13.448;11.108;36.906;-13.087;10.385;39.327;-12.759;10.276;40.963;-16.597;14.088;27.944;-14.840;13.501;35.187;-13.175;13.515;38.900;-12.041;13.584;41.602;-11.167;13.564;43.450;-16.098;15.003;27.671;-14.630;16.086;35.665;-13.265;15.974;39.463;-11.733;16.053;42.479;-10.943;15.907;44.490;-16.107;16.078;27.396;-14.342;18.415;35.087;-12.951;18.649;38.676;-11.784;18.756;41.192;-10.761;18.509;42.968;-14.756;16.970;28.823;-14.357;20.225;30.830;-13.428;22.053;32.698;-14.619;24.530;33.201;1.029;36.185;-5.239;15.342;33.964;-3.401;19.854;20.351;-0.890;24.841;5.305;1.885;20.636;9.316;13.299;15.728;13.939;27.448;15.782;12.504;28.617;14.645;11.075;35.012;13.930;9.943;37.643;12.750;9.274;39.645;11.750;8.856;40.962;15.866;13.412;28.675;15.469;13.411;35.235;14.517;12.981;39.483;12.786;12.741;42.324;11.554;12.666;44.020;15.248;14.409;28.797;15.563;15.792;35.792;15.169;15.703;40.431;13.819;15.607;43.146;12.603;15.711;44.959;15.190;15.288;28.527;14.986;18.256;35.402;13.993;18.803;39.125;12.797;18.803;41.421;11.585;18.835;43.291;14.648;16.405;28.830;14.450;19.903;30.659;14.563;21.591;33.586;13.831;24.226;33.887;0.000;0.000;0.000;-7.601;-12.281;-0.073;-9.547;-33.130;0.398;-11.833;-57.604;0.950;-11.055;-101.794;-8.578;7.537;-12.376;-1.562;9.343;-33.240;-0.743;11.462;-57.733;0.218;10.012;-102.048;-9.291
704.000;28.160;-0.025;7.120;-0.474;-0.095;13.809;-1.108;-0.277;25.626;-2.465;-0.737;41.415;-4.286;-0.651;45.847;-1.558;-0.176;52.307;-0.860;-7.008;56.293;0.522;6.671;56.491;-1.149;-2.556;58.358;7.509;3.976;58.452;6.711;-2.199;36.098;-5.228;-16.258;34.468;-3.284;-20.151;21.115;-0.832;-24.453;6.356;1.878;-20.499;10.134;13.422;-15.971;14.661;27.065;-16.513;13.247;27.883;-13.994;11.245;34.547;-13.423;11.118;36.897;-13.058;10.434;39.347;-12.749;10.324;40.987;-16.561;14.090;27.948;-14.818;13.528;35.196;-13.156;13.543;38.901;-12.005;13.631;41.607;-11.147;13.599;43.463;-16.093;15.007;27.678;-14.627;16.105;35.670;-13.242;15.994;39.469;-11.694;16.073;42.479;-10.905;15.932;44.491;-16.097;16.082;27.401;-14.324;18.413;35.096;-12.918;18.678;38.684;-11.754;18.800;41.183;-10.700;18.532;42.938;-14.774;16.990;28.821;-14.335;20.237;30.830;-13.396;22.074;32.706;-14.597;24.548;33.200;1.028;36.192;-5.234;15.339;33.967;-3.412;19.851;20.355;-0.912;24.838;5.309;1.851;20.660;9.325;13.273;15.784;13.952;27.431;15.834;12.538;28.609;14.720;11.097;34.997;14.005;9.971;37.633;12.823;9.301;39.633;11.812;8.871;40.938;15.923;13.446;28.669;15.538;13.429;35.217;14.580;12.993;39.466;12.856;12.739;42.304;11.625;12.671;44.001;15.323;14.413;28.778;15.635;15.813;35.773;15.223;15.715;40.417;13.904;15.615;43.129;12.673;15.731;44.932;15.261;15.291;28.507;15.068;18.274;35.381;14.090;18.817;39.111;12.888;18.822;41.407;11.677;18.844;43.277;14.717;16.421;28.807;14.519;19.921;30.640;14.638;21.610;33.575;13.916;24.249;33.869;0.000;0.000;0.000;-7.599;-12.282;-0.060;-9.539;-33.131;0.420;-11.816;-57.605;0.983;-11.016;-101.789;-8.527;7.538;-12.376;-1.557;9.351;-33.240;-0.718;11.479;-57.732;0.267;10.041;-102.049;-9.246
705.000;28.200;-0.028;7.121;-0.476;-0.100;13.813;-1.107;-0.287;25.633;-2.456;-0.753;41.423;-4.270;-0.668;45.855;-1.543;-0.193;52.316;-0.851;-7.022;56.305;0.539;6.654;56.499;-1.156;-2.558;58.376;7.517;3.973;58.468;6.707;-2.214;36.106;-5.214;-16.273;34.470;-3.265;-20.160;21.113;-0.817;-24.456;6.351;1.888;-20.506;10.141;13.426;-15.985;14.679;27.062;-16.524;13.257;27.884;-13.999;11.286;34.546;-13.433;11.177;36.917;-13.063;10.491;39.354;-12.738;10.364;40.989;-16.566;14.100;27.946;-14.842;13.565;35.197;-13.150;13.606;38.902;-12.016;13.710;41.609;-11.148;13.687;43.460;-16.096;15.040;27.673;-14.648;16.126;35.666;-13.242;16.046;39.464;-11.694;16.126;42.463;-10.880;15.982;44.465;-16.104;16.115;27.398;-14.348;18.451;35.087;-12.931;18.720;38.677;-11.763;18.860;41.169;-10.685;18.610;42.913;-14.777;17.016;28.822;-14.337;20.269;30.812;-13.409;22.101;32.688;-14.585;24.584;33.193;1.013;36.201;-5.221;15.325;33.981;-3.405;19.842;20.367;-0.917;24.834;5.319;1.833;20.678;9.342;13.259;15.830;13.981;27.423;15.876;12.555;28.597;14.769;11.127;34.988;14.049;9.993;37.624;12.864;9.339;39.628;11.858;8.930;40.943;15.965;13.463;28.655;15.590;13.455;35.208;14.631;13.024;39.458;12.910;12.781;42.299;11.681;12.729;43.998;15.357;14.446;28.775;15.698;15.839;35.763;15.304;15.759;40.408;13.976;15.654;43.123;12.755;15.765;44.932;15.298;15.324;28.504;15.136;18.320;35.370;14.162;18.863;39.093;12.947;18.858;41.399;11.737;18.880;43.270;14.758;16.445;28.785;14.589;19.952;30.631;14.708;21.637;33.546;13.989;24.275;33.859;0.000;0.000;0.000;-7.594;-12.286;-0.053;-9.524;-33.131;0.439;-11.790;-57.602;1.016;-10.968;-101.796;-8.476;7.543;-12.374;-1.553;9.366;-33.239;-0.687;11.506;-57.734;0.330;10.102;-102.045;-9.194
706.000;28.240;-0.029;7.124;-0.478;-0.102;13.818;-1.108;-0.289;25.644;-2.448;-0.758;41.434;-4.262;-0.670;45.864;-1.535;-0.190;52.324;-0.841;-7.013;56.318;0.564;6.660;56.502;-1.165;-2.530;58.389;7.529;3.999;58.477;6.704;-2.218;36.117;-5.206;-16.276;34.479;-3.251;-20.168;21.125;-0.809;-24.469;6.365;1.890;-20.525;10.168;13.425;-16.008;14.723;27.056;-16.537;13.303;27.879;-14.001;11.348;34.550;-13.437;11.253;36.915;-13.071;10.579;39.354;-12.742;10.463;40.989;-16.579;14.146;27.940;-14.837;13.635;35.188;-13.171;13.695;38.890;-12.028;13.809;41.601;-11.177;13.794;43.461;-16.120;15.075;27.665;-14.635;16.187;35.655;-13.263;16.107;39.450;-11.692;16.196;42.463;-10.910;16.077;44.479;-16.130;16.149;27.385;-14.366;18.511;35.072;-12.941;18.791;38.659;-11.788;18.879;41.164;-10.764;18.624;42.940;-14.791;17.064;28.810;-14.368;20.324;30.798;-13.429;22.163;32.660;-14.611;24.645;33.162;1.008;36.212;-5.213;15.323;33.993;-3.403;19.840;20.378;-0.920;24.833;5.329;1.824;20.693;9.365;13.251;15.863;14.022;27.415;15.915;12.593;28.586;14.801;11.170;34.983;14.088;10.033;37.614;12.905;9.384;39.625;11.910;8.956;40.943;16.007;13.501;28.643;15.633;13.493;35.200;14.676;13.064;39.450;12.963;12.828;42.293;11.727;12.782;43.987;15.396;14.486;28.764;15.741;15.887;35.754;15.352;15.809;40.395;14.007;15.696;43.111;12.790;15.812;44.923;15.338;15.365;28.493;15.184;18.368;35.357;14.202;18.900;39.080;12.977;18.897;41.379;11.741;18.903;43.233;14.798;16.487;28.775;14.623;19.992;30.618;14.747;21.682;33.542;14.026;24.321;33.843;0.000;0.000;0.000;-7.593;-12.286;-0.044;-9.512;-33.136;0.461;-11.764;-57.611;1.055;-10.912;-101.791;-8.437;7.544;-12.374;-1.549;9.379;-33.237;-0.657;11.533;-57.728;0.389;10.152;-102.044;-9.144
707.000;28.280;-0.030;7.125;-0.481;-0.105;13.820;-1.109;-0.295;25.648;-2.442;-0.766;41.437;-4.257;-0.678;45.867;-1.529;-0.196;52.325;-0.832;-7.011;56.323;0.605;6.654;56.500;-1.188;-2.495;58.391;7.550;4.030;58.475;6.694;-2.226;36.120;-5.200;-16.282;34.480;-3.244;-20.173;21.124;-0.807;-24.474;6.363;1.885;-20.540;10.178;13.419;-16.037;14.746;27.050;-16.573;13.322;27.875;-14.051;11.390;34.551;-13.486;11.320;36.930;-13.131;10.661;39.373;-12.815;10.544;41.011;-16.616;14.165;27.934;-14.889;13.669;35.188;-13.198;13.761;38.902;-12.089;13.878;41.601;-11.223;13.900;43.453;-16.165;15.086;27.670;-14.693;16.241;35.654;-13.312;16.172;39.447;-11.766;16.271;42.455;-10.951;16.142;44.458;-16.161;16.165;27.386;-14.421;18.543;35.062;-12.997;18.854;38.652;-11.868;18.944;41.164;-10.827;18.685;42.928;-14.839;17.093;28.795;-14.414;20.357;30.787;-13.474;22.196;32.657;-14.644;24.686;33.141;1.001;36.215;-5.208;15.318;34.000;-3.407;19.839;20.386;-0.926;24.835;5.340;1.816;20.697;9.383;13.238;15.871;14.047;27.396;15.921;12.633;28.576;14.797;11.196;34.964;14.081;10.069;37.602;12.901;9.423;39.608;11.894;9.012;40.923;16.016;13.540;28.634;15.634;13.535;35.188;14.670;13.105;39.431;12.929;12.858;42.271;11.704;12.812;43.973;15.404;14.523;28.737;15.739;15.921;35.740;15.323;15.828;40.382;13.976;15.729;43.085;12.745;15.845;44.887;15.352;15.402;28.465;15.198;18.381;35.341;14.221;18.935;39.069;13.002;18.934;41.363;11.785;18.952;43.230;14.817;16.516;28.775;14.631;20.023;30.598;14.750;21.718;33.524;14.032;24.359;33.811;0.000;0.000;0.000;-7.590;-12.288;-0.037;-9.503;-33.141;0.484;-11.747;-57.621;1.096;-10.867;-101.792;-8.381;7.546;-12.373;-1.541;9.389;-33.236;-0.633;11.552;-57.727;0.434;10.188;-102.046;-9.095
708.000;28.320;-0.031;7.127;-0.482;-0.107;13.824;-1.111;-0.298;25.655;-2.443;-0.776;41.444;-4.262;-0.689;45.872;-1.534;-0.206;52.327;-0.832;-7.017;56.317;0.639;6.638;56.508;-1.220;-2.470;58.388;7.562;4.051;58.479;6.675;-2.234;36.126;-5.203;-16.289;34.476;-3.246;-20.176;21.119;-0.809;-24.472;6.356;1.884;-20.559;10.181;13.421;-16.081;14.758;27.056;-16.622;13.347;27.885;-14.102;11.408;34.565;-13.556;11.331;36.938;-13.190;10.702;39.384;-12.884;10.611;41.025;-16.670;14.190;27.944;-14.953;13.685;35.194;-13.277;13.790;38.903;-12.157;13.913;41.615;-11.307;13.932;43.475;-16.200;15.119;27.660;-14.741;16.266;35.655;-13.384;16.201;39.460;-11.828;16.285;42.449;-10.990;16.172;44.443;-16.213;16.191;27.380;-14.479;18.564;35.070;-13.105;18.870;38.661;-11.959;18.972;41.164;-10.870;18.797;42.909;-14.863;17.100;28.796;-14.447;20.369;30.783;-13.507;22.218;32.643;-14.698;24.696;33.142;0.993;36.222;-5.212;15.309;34.013;-3.406;19.835;20.401;-0.923;24.838;5.356;1.822;20.686;9.411;13.235;15.843;14.087;27.383;15.892;12.677;28.562;14.746;11.245;34.951;14.038;10.128;37.588;12.853;9.471;39.595;11.850;9.065;40.913;15.988;13.584;28.621;15.595;13.571;35.171;14.601;13.152;39.416;12.881;12.918;42.250;11.634;12.863;43.936;15.369;14.577;28.722;15.702;15.972;35.725;15.260;15.881;40.365;13.892;15.771;43.061;12.652;15.899;44.856;15.321;15.456;28.451;15.149;18.431;35.326;14.173;18.968;39.046;12.947;18.986;41.330;11.706;19.010;43.181;14.773;16.556;28.727;14.602;20.071;30.571;14.710;21.765;33.493;14.008;24.409;33.792;0.000;0.000;0.000;-7.588;-12.290;-0.034;-9.493;-33.143;0.494;-11.729;-57.624;1.115;-10.822;-101.793;-8.343;7.549;-12.372;-1.539;9.398;-33.241;-0.617;11.570;-57.740;0.464;10.233;-102.051;-9.049
709.000;28.360;-0.032;7.130;-0.483;-0.107;13.830;-1.109;-0.298;25.667;-2.431;-0.783;41.456;-4.250;-0.696;45.881;-1.526;-0.212;52.331;-0.830;-7.018;56.323;0.659;6.632;56.511;-1.238;-2.451;58.394;7.569;4.068;58.483;6.664;-2.238;36.137;-5.191;-16.292;34.480;-3.230;-20.178;21.119;-0.803;-24.473;6.352;1.879;-20.578;10.179;13.422;-16.124;14.758;27.062;-16.666;13.363;27.896;-14.138;11.432;34.581;-13.576;11.384;36.965;-13.215;10.747;39.400;-12.898;10.678;41.040;-16.723;14.205;27.958;-15.000;13.701;35.205;-13.326;13.804;38.914;-12.168;13.923;41.624;-11.359;13.926;43.502;-16.247;15.125;27.656;-14.806;16.280;35.667;-13.453;16.198;39.475;-11.863;16.304;42.453;-11.011;16.186;44.441;-16.264;16.202;27.374;-14.553;18.576;35.073;-13.188;18.876;38.679;-12.024;18.978;41.175;-10.967;18.773;42.937;-14.946;17.112;28.813;-14.495;20.379;30.776;-13.541;22.233;32.627;-14.711;24.723;33.116;0.988;36.235;-5.200;15.308;34.033;-3.402;19.842;20.421;-0.921;24.854;5.376;1.820;20.691;9.436;13.227;15.832;14.118;27.368;15.882;12.705;28.550;14.736;11.289;34.939;14.005;10.170;37.577;12.815;9.518;39.574;11.798;9.081;40.872;15.975;13.613;28.605;15.556;13.624;35.158;14.548;13.199;39.400;12.800;12.957;42.224;11.553;12.907;43.910;15.356;14.602;28.705;15.676;16.019;35.702;15.208;15.929;40.344;13.809;15.847;43.029;12.560;15.956;44.819;15.303;15.480;28.432;15.103;18.471;35.300;14.100;19.012;39.019;12.857;19.028;41.299;11.617;19.044;43.151;14.782;16.587;28.722;14.562;20.099;30.554;14.669;21.801;33.462;13.944;24.438;33.767;0.000;0.000;0.000;-7.586;-12.290;-0.030;-9.478;-33.144;0.507;-11.699;-57.624;1.137;-10.762;-101.793;-8.301;7.550;-12.372;-1.535;9.413;-33.233;-0.604;11.600;-57.723;0.488;10.290;-102.056;-9.008
710.000;28.400;-0.033;7.133;-0.482;-0.108;13.835;-1.105;-0.297;25.677;-2.423;-0.785;41.466;-4.240;-0.696;45.887;-1.520;-0.205;52.333;-0.832;-7.008;56.329;0.660;6.641;56.509;-1.247;-2.435;58.401;7.566;4.083;58.487;6.656;-2.240;36.147;-5.182;-16.294;34.483;-3.216;-20.188;21.122;-0.807;-24.491;6.356;1.855;-20.613;10.183;13.402;-16.176;14.765;27.048;-16.710;13.332;27.890;-14.148;11.479;34.603;-13.538;11.476;36.968;-13.160;10.886;39.392;-12.782;10.855;41.020;-16.753;14.175;27.940;-15.033;13.760;35.201;-13.386;13.893;38.909;-12.226;14.069;41.610;-11.380;14.099;43.472;-16.275;15.140;27.637;-14.907;16.329;35.641;-13.529;16.286;39.458;-11.867;16.427;42.402;-10.980;16.309;44.373;-16.307;16.213;27.353;-14.641;18.633;35.027;-13.290;18.943;38.648;-12.138;19.027;41.145;-11.080;18.805;42.905;-15.003;17.123;28.796;-14.481;20.411;30.749;-13.460;22.281;32.557;-14.569;24.813;32.964;0.987;36.246;-5.191;15.307;34.046;-3.402;19.854;20.435;-0.921;24.880;5.391;1.820;20.703;9.448;13.223;15.826;14.128;27.360;15.870;12.701;28.539;14.706;11.292;34.929;13.964;10.170;37.560;12.755;9.513;39.548;11.729;9.091;40.845;15.960;13.609;28.593;15.533;13.615;35.150;14.465;13.186;39.380;12.666;12.947;42.169;11.375;12.886;43.821;15.340;14.618;28.697;15.655;16.016;35.693;15.126;15.912;40.330;13.683;15.814;42.999;12.407;15.941;44.769;15.292;15.496;28.424;15.072;18.475;35.292;14.074;19.018;39.010;12.830;19.013;41.286;11.580;19.034;43.131;14.747;16.586;28.728;14.519;20.095;30.553;14.603;21.794;33.456;13.879;24.431;33.763;0.000;0.000;0.000;-7.584;-12.292;-0.030;-9.465;-33.147;0.515;-11.673;-57.629;1.155;-10.715;-101.811;-8.258;7.552;-12.370;-1.539;9.427;-33.230;-0.601;11.628;-57.718;0.500;10.339;-102.057;-8.979
