Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2908.000;116.320;-0.309;7.469;-1.590;-0.511;14.710;-1.609;-0.753;27.793;0.224;-1.104;43.684;0.662;-1.021;47.582;3.919;-0.591;53.709;5.516;-7.484;57.741;6.363;6.272;57.877;5.522;-3.461;60.004;13.545;3.108;60.070;13.144;-2.600;38.565;-1.027;-16.581;36.405;1.083;-21.505;23.289;0.018;-26.947;8.793;-1.158;-20.576;9.403;9.445;-13.930;11.284;22.962;-14.259;9.770;24.121;-10.753;9.469;30.750;-9.532;9.971;32.841;-8.147;10.277;35.096;-7.304;10.652;36.490;-14.347;10.605;24.013;-12.018;11.812;31.013;-9.955;13.067;34.370;-8.384;14.064;36.696;-7.315;14.646;38.339;-13.705;11.879;23.319;-12.075;14.321;30.867;-9.996;15.202;34.270;-7.951;16.299;36.780;-6.846;16.904;38.541;-14.041;12.836;22.919;-11.980;16.481;29.688;-9.657;17.673;32.602;-7.776;18.411;34.591;-6.400;18.643;36.113;-12.806;13.860;24.320;-12.170;17.335;24.985;-10.495;18.946;26.455;-10.295;21.702;26.876;0.627;38.636;-1.015;14.817;35.867;0.705;20.351;22.345;-0.375;26.468;7.400;-1.568;20.647;8.838;9.513;14.292;10.955;23.611;14.214;9.342;24.903;13.090;8.838;31.527;12.138;8.279;34.277;10.307;8.138;36.123;9.131;8.194;37.358;14.223;10.254;24.845;14.118;11.134;31.431;12.376;11.346;35.512;9.861;11.619;37.705;8.144;11.870;38.882;13.727;11.639;24.787;14.175;13.458;31.654;12.449;13.961;35.981;10.130;14.178;37.943;8.272;14.545;39.034;13.756;12.500;24.463;13.778;15.923;30.937;12.573;16.908;34.449;10.912;16.935;36.480;9.294;17.117;38.001;13.297;13.357;24.797;13.331;17.015;26.013;13.135;19.192;28.446;13.020;21.942;28.446;0.000;0.000;0.000;-6.973;-12.359;2.623;-8.316;-25.708;19.799;-9.893;-41.379;39.961;-4.419;-70.095;4.383;7.978;-11.959;1.621;8.772;-30.041;11.996;9.702;-51.268;24.175;6.649;-95.149;33.023
2909.000;116.360;-0.309;7.470;-1.590;-0.511;14.711;-1.609;-0.753;27.795;0.223;-1.104;43.685;0.659;-1.022;47.583;3.915;-0.592;53.709;5.513;-7.485;57.740;6.360;6.272;57.877;5.520;-3.461;60.004;13.542;3.108;60.069;13.141;-2.600;38.566;-1.029;-16.580;36.407;1.080;-21.504;23.291;0.018;-26.946;8.794;-1.155;-20.576;9.406;9.448;-13.930;11.290;22.966;-14.257;9.781;24.124;-10.747;9.477;30.753;-9.524;9.978;32.841;-8.130;10.285;35.091;-7.282;10.659;36.482;-14.345;10.616;24.019;-12.011;11.824;31.013;-9.947;13.079;34.370;-8.373;14.076;36.693;-7.301;14.661;38.333;-13.709;11.883;23.323;-12.072;14.329;30.869;-9.993;15.211;34.272;-7.945;16.310;36.779;-6.840;16.914;38.540;-14.044;12.838;22.924;-11.978;16.490;29.689;-9.660;17.682;32.603;-7.770;18.424;34.589;-6.396;18.650;36.113;-12.810;13.867;24.323;-12.172;17.342;24.984;-10.498;18.954;26.452;-10.293;21.709;26.873;0.627;38.637;-1.018;14.817;35.868;0.702;20.351;22.347;-0.378;26.469;7.402;-1.571;20.647;8.835;9.510;14.291;10.946;23.609;14.213;9.333;24.900;13.087;8.827;31.525;12.134;8.263;34.274;10.303;8.123;36.120;9.126;8.174;37.354;14.222;10.245;24.843;14.116;11.121;31.430;12.369;11.331;35.510;9.845;11.597;37.695;8.127;11.846;38.872;13.724;11.629;24.787;14.170;13.444;31.655;12.448;13.942;35.982;10.119;14.157;37.941;8.263;14.531;39.032;13.754;12.491;24.462;13.773;15.911;30.937;12.565;16.891;34.450;10.905;16.918;36.480;9.286;17.098;38.001;13.291;13.347;24.795;13.327;17.004;26.015;13.125;19.182;28.455;13.007;21.931;28.445;0.000;0.000;0.000;-6.973;-12.359;2.623;-8.316;-25.708;19.799;-9.893;-41.378;39.961;-4.419;-70.095;4.382;7.978;-11.959;1.621;8.772;-30.041;11.996;9.702;-51.268;24.175;6.649;-95.149;33.023
2910.000;116.400;-0.308;7.472;-1.592;-0.509;14.716;-1.616;-0.750;27.804;0.205;-1.100;43.695;0.625;-1.017;47.592;3.878;-0.586;53.713;5.475;-7.480;57.743;6.322;6.277;57.882;5.484;-3.458;60.005;13.506;3.111;60.071;13.106;-2.596;38.575;-1.058;-16.579;36.420;1.053;-21.502;23.304;0.011;-26.944;8.807;-1.141;-20.579;9.432;9.462;-13.940;11.330;22.980;-14.271;9.859;24.145;-10.742;9.521;30.771;-9.502;10.011;32.852;-8.079;10.303;35.071;-7.197;10.688;36.438;-14.371;10.694;24.048;-12.008;11.862;31.032;-9.946;13.124;34.387;-8.349;14.114;36.704;-7.277;14.704;38.343;-13.722;11.925;23.335;-12.087;14.378;30.880;-9.978;15.271;34.285;-7.980;16.373;36.810;-6.876;16.971;38.573;-14.050;12.883;22.935;-11.983;16.542;29.694;-9.691;17.746;32.608;-7.786;18.505;34.606;-6.430;18.701;36.151;-12.824;13.910;24.329;-12.186;17.394;24.984;-10.486;19.000;26.441;-10.279;21.755;26.858;0.631;38.645;-1.047;14.822;35.870;0.676;20.367;22.353;-0.399;26.495;7.413;-1.587;20.664;8.821;9.496;14.301;10.900;23.596;14.218;9.282;24.885;13.098;8.769;31.507;12.135;8.195;34.255;10.317;8.021;36.096;9.126;8.102;37.315;14.228;10.194;24.828;14.105;11.062;31.415;12.376;11.261;35.501;9.839;11.503;37.676;8.119;11.741;38.853;13.733;11.575;24.776;14.174;13.377;31.646;12.441;13.869;35.977;10.131;14.070;37.939;8.270;14.426;39.027;13.758;12.437;24.453;13.759;15.850;30.939;12.554;16.813;34.450;10.890;16.840;36.486;9.274;17.022;38.009;13.279;13.299;24.790;13.311;16.952;26.020;13.098;19.115;28.465;12.987;21.864;28.481;0.000;0.000;0.000;-6.973;-12.359;2.623;-8.317;-25.708;19.798;-9.895;-41.378;39.959;-4.418;-70.094;4.382;7.979;-11.959;1.621;8.772;-30.040;11.996;9.702;-51.266;24.174;6.649;-95.142;33.021
2911.000;116.440;-0.308;7.474;-1.593;-0.508;14.718;-1.622;-0.748;27.808;0.186;-1.088;43.700;0.589;-1.003;47.597;3.834;-0.568;53.714;5.422;-7.462;57.744;6.269;6.294;57.883;5.433;-3.441;60.005;13.453;3.128;60.072;13.054;-2.587;38.578;-1.089;-16.571;36.443;1.022;-21.509;23.329;0.001;-26.966;8.835;-1.128;-20.611;9.475;9.479;-13.985;11.391;22.997;-14.300;9.899;24.161;-10.780;9.571;30.802;-9.590;10.033;32.881;-8.109;10.316;35.093;-7.199;10.672;36.450;-14.390;10.734;24.057;-12.053;11.925;31.052;-10.032;13.157;34.429;-8.422;14.153;36.738;-7.330;14.738;38.365;-13.762;11.985;23.355;-12.131;14.450;30.897;-10.064;15.333;34.323;-8.054;16.445;36.842;-6.957;17.041;38.610;-14.091;12.942;22.954;-12.023;16.603;29.717;-9.723;17.801;32.647;-7.854;18.553;34.645;-6.512;18.795;36.196;-12.838;13.971;24.353;-12.232;17.460;25.015;-10.515;19.052;26.468;-10.308;21.807;26.888;0.640;38.647;-1.077;14.827;35.865;0.649;20.383;22.349;-0.414;26.524;7.411;-1.589;20.674;8.789;9.489;14.286;10.830;23.585;14.209;9.213;24.871;13.100;8.679;31.495;12.130;8.088;34.241;10.317;7.900;36.080;9.123;7.977;37.296;14.214;10.126;24.816;14.091;10.985;31.409;12.377;11.153;35.498;9.832;11.397;37.672;8.107;11.613;38.846;13.707;11.493;24.770;14.147;13.306;31.639;12.438;13.774;35.982;10.109;13.951;37.941;8.249;14.292;39.036;13.727;12.355;24.447;13.718;15.768;30.934;12.516;16.723;34.454;10.850;16.755;36.483;9.230;16.907;38.006;13.253;13.223;24.787;13.249;16.876;26.017;13.047;19.023;28.440;12.875;21.769;28.497;0.000;0.000;0.000;-6.972;-12.360;2.622;-8.319;-25.709;19.796;-9.900;-41.380;39.958;-4.415;-70.093;4.383;7.979;-11.959;1.622;8.771;-30.040;11.997;9.701;-51.266;24.175;6.649;-95.147;33.023
2912.000;116.480;-0.308;7.474;-1.595;-0.507;14.720;-1.629;-0.744;27.812;0.167;-1.079;43.704;0.557;-0.993;47.602;3.798;-0.559;53.716;5.382;-7.451;57.751;6.221;6.306;57.881;5.386;-3.429;60.022;13.402;3.141;60.084;13.003;-2.580;38.581;-1.117;-16.561;36.454;0.995;-21.513;23.346;-0.007;-26.986;8.858;-1.114;-20.644;9.513;9.499;-14.031;11.451;23.022;-14.360;9.977;24.187;-10.829;9.649;30.836;-9.649;10.118;32.913;-8.205;10.419;35.125;-7.264;10.790;36.457;-14.454;10.812;24.085;-12.131;12.019;31.076;-10.110;13.260;34.456;-8.487;14.255;36.761;-7.391;14.835;38.388;-13.827;12.063;23.370;-12.211;14.527;30.927;-10.130;15.423;34.346;-8.147;16.535;36.881;-7.054;17.149;38.646;-14.161;13.021;22.968;-12.100;16.673;29.736;-9.803;17.885;32.675;-7.955;18.634;34.676;-6.595;18.882;36.210;-12.892;14.031;24.360;-12.281;17.526;25.013;-10.568;19.124;26.490;-10.351;21.882;26.883;0.647;38.649;-1.105;14.832;35.861;0.623;20.403;22.351;-0.438;26.559;7.419;-1.610;20.688;8.750;9.467;14.268;10.737;23.562;14.236;9.137;24.846;13.129;8.572;31.457;12.158;7.995;34.220;10.339;7.786;36.062;9.153;7.829;37.288;14.235;10.050;24.792;14.075;10.897;31.383;12.345;11.050;35.466;9.788;11.255;37.632;8.065;11.457;38.810;13.704;11.398;24.738;14.109;13.239;31.609;12.416;13.690;35.964;10.068;13.832;37.905;8.193;14.135;38.987;13.715;12.260;24.413;13.642;15.672;30.907;12.443;16.613;34.423;10.765;16.628;36.449;9.144;16.777;37.971;13.228;13.112;24.741;13.167;16.779;25.991;12.946;18.947;28.470;12.705;21.688;28.449;0.000;0.000;0.000;-6.972;-12.360;2.622;-8.319;-25.709;19.796;-9.900;-41.379;39.957;-4.414;-70.093;4.380;7.979;-11.958;1.622;8.771;-30.041;11.998;9.701;-51.268;24.177;6.650;-95.149;33.022
2913.000;116.520;-0.307;7.474;-1.595;-0.506;14.720;-1.631;-0.742;27.812;0.158;-1.069;43.704;0.537;-0.981;47.603;3.773;-0.544;53.718;5.347;-7.433;57.759;6.180;6.323;57.879;5.343;-3.409;60.040;13.357;3.160;60.098;12.956;-2.573;38.581;-1.133;-16.554;36.468;0.982;-21.521;23.364;-0.003;-27.012;8.882;-1.091;-20.690;9.563;9.528;-14.104;11.533;23.056;-14.437;10.047;24.226;-10.889;9.771;30.874;-9.718;10.253;32.943;-8.210;10.551;35.145;-7.287;10.907;36.493;-14.528;10.882;24.119;-12.216;12.126;31.103;-10.174;13.383;34.476;-8.549;14.395;36.768;-7.444;14.983;38.385;-13.900;12.130;23.413;-12.288;14.634;30.950;-10.232;15.548;34.372;-8.214;16.670;36.900;-7.132;17.284;38.672;-14.224;13.090;23.004;-12.185;16.777;29.757;-9.884;18.002;32.692;-8.051;18.725;34.722;-6.718;19.016;36.272;-12.994;14.110;24.375;-12.355;17.614;25.030;-10.654;19.213;26.489;-10.418;21.967;26.896;0.654;38.647;-1.121;14.839;35.857;0.605;20.422;22.352;-0.460;26.592;7.425;-1.638;20.686;8.691;9.434;14.212;10.609;23.522;14.233;9.013;24.809;13.117;8.447;31.428;12.177;7.853;34.192;10.378;7.610;36.047;9.194;7.646;37.274;14.210;9.925;24.753;14.028;10.802;31.337;12.325;10.921;35.434;9.785;11.070;37.624;8.052;11.255;38.790;13.626;11.254;24.712;14.023;13.143;31.560;12.395;13.541;35.956;9.998;13.680;37.875;8.119;13.938;38.961;13.613;12.115;24.385;13.507;15.566;30.843;12.273;16.472;34.367;10.617;16.467;36.387;8.968;16.581;37.882;13.162;12.979;24.749;12.983;16.637;25.937;12.717;18.779;28.330;12.425;21.514;28.427;0.000;0.000;0.000;-6.972;-12.360;2.622;-8.318;-25.707;19.797;-9.898;-41.375;39.959;-4.416;-70.091;4.386;7.979;-11.959;1.622;8.772;-30.042;11.997;9.703;-51.269;24.177;6.652;-95.144;33.021
2914.000;116.560;-0.307;7.476;-1.596;-0.505;14.723;-1.634;-0.740;27.817;0.149;-1.057;43.710;0.515;-0.965;47.611;3.744;-0.524;53.726;5.308;-7.406;57.778;6.145;6.349;57.878;5.288;-3.369;60.064;13.312;3.200;60.111;12.903;-2.564;38.587;-1.150;-16.548;36.485;0.971;-21.533;23.387;0.007;-27.042;8.911;-1.060;-20.741;9.625;9.569;-14.184;11.636;23.102;-14.516;10.172;24.274;-10.978;9.907;30.929;-9.773;10.420;32.997;-8.335;10.715;35.189;-7.377;11.124;36.498;-14.613;11.006;24.167;-12.299;12.249;31.154;-10.253;13.526;34.519;-8.642;14.556;36.803;-7.533;15.153;38.414;-13.978;12.231;23.458;-12.375;14.770;30.988;-10.323;15.681;34.422;-8.321;16.817;36.925;-7.217;17.444;38.678;-14.304;13.194;23.040;-12.277;16.909;29.786;-10.021;18.135;32.729;-8.165;18.899;34.739;-6.801;19.166;36.266;-13.043;14.230;24.424;-12.434;17.739;25.069;-10.720;19.328;26.522;-10.455;22.085;26.887;0.663;38.651;-1.141;14.840;35.858;0.580;20.446;22.359;-0.489;26.642;7.439;-1.671;20.684;8.618;9.384;14.131;10.448;23.455;14.173;8.822;24.742;13.035;8.253;31.360;12.122;7.642;34.120;10.332;7.356;35.967;9.153;7.353;37.200;14.114;9.733;24.682;13.910;10.674;31.264;12.186;10.696;35.358;9.649;10.815;37.534;7.891;10.936;38.671;13.525;11.095;24.633;13.866;12.987;31.493;12.162;13.342;35.859;9.773;13.409;37.776;7.888;13.645;38.856;13.502;11.955;24.306;13.291;15.391;30.775;12.007;16.252;34.285;10.319;16.212;36.288;8.661;16.266;37.776;13.068;12.794;24.663;12.728;16.444;25.868;12.386;18.571;28.281;12.010;21.295;28.378;0.000;0.000;0.000;-6.972;-12.360;2.622;-8.318;-25.705;19.798;-9.897;-41.372;39.961;-4.417;-70.091;4.390;7.979;-11.959;1.622;8.772;-30.040;11.996;9.704;-51.266;24.175;6.653;-95.145;33.019
2915.000;116.600;-0.307;7.478;-1.596;-0.505;14.726;-1.639;-0.737;27.822;0.131;-1.049;43.716;0.467;-0.950;47.619;3.687;-0.498;53.731;5.242;-7.373;57.793;6.084;6.381;57.873;5.206;-3.322;60.082;13.243;3.247;60.120;12.823;-2.559;38.590;-1.187;-16.538;36.508;0.947;-21.542;23.412;0.018;-27.072;8.939;-1.010;-20.796;9.700;9.627;-14.270;11.777;23.159;-14.593;10.304;24.344;-11.057;10.099;30.998;-9.857;10.644;33.050;-8.357;10.936;35.237;-7.419;11.313;36.570;-14.691;11.136;24.229;-12.380;12.438;31.210;-10.343;13.743;34.559;-8.715;14.780;36.842;-7.610;15.381;38.455;-14.051;12.392;23.499;-12.479;14.963;31.028;-10.449;15.886;34.474;-8.406;17.031;36.967;-7.299;17.663;38.717;-14.392;13.342;23.085;-12.374;17.073;29.814;-10.104;18.336;32.738;-8.249;19.108;34.753;-6.899;19.383;36.292;-13.143;14.376;24.466;-12.515;17.899;25.085;-10.768;19.479;26.514;-10.520;22.239;26.873;0.668;38.653;-1.180;14.844;35.854;0.529;20.494;22.365;-0.535;26.738;7.458;-1.711;20.683;8.535;9.310;14.000;10.241;23.355;14.038;8.596;24.623;12.836;7.946;31.209;11.896;7.312;33.960;10.076;6.965;35.770;8.883;6.951;36.990;13.954;9.505;24.568;13.667;10.396;31.165;11.850;10.344;35.214;9.274;10.395;37.327;7.461;10.425;38.381;13.353;10.873;24.544;13.538;12.693;31.404;11.760;12.999;35.729;9.340;12.977;37.600;7.410;13.163;38.609;13.317;11.735;24.222;12.953;15.101;30.701;11.531;15.887;34.175;9.788;15.771;36.125;8.068;15.744;37.542;12.810;12.550;24.486;12.400;16.198;25.817;11.885;18.264;28.323;11.416;20.974;28.419;0.000;0.000;0.000;-6.973;-12.361;2.617;-8.317;-25.708;19.793;-9.896;-41.376;39.957;-4.418;-70.095;4.385;7.979;-11.960;1.615;8.774;-30.041;11.991;9.708;-51.268;24.171;6.661;-95.145;33.016
2916.000;116.640;-0.307;7.480;-1.597;-0.504;14.730;-1.644;-0.734;27.828;0.114;-1.044;43.723;0.434;-0.939;47.627;3.650;-0.474;53.736;5.201;-7.344;57.805;6.053;6.409;57.871;5.147;-3.276;60.099;13.200;3.292;60.131;12.767;-2.556;38.595;-1.214;-16.533;36.519;0.939;-21.552;23.430;0.048;-27.098;8.962;-0.937;-20.862;9.791;9.711;-14.383;11.958;23.246;-14.702;10.491;24.440;-11.174;10.316;31.098;-9.940;10.900;33.145;-8.427;11.193;35.310;-7.481;11.595;36.629;-14.794;11.323;24.320;-12.501;12.670;31.295;-10.456;13.989;34.642;-8.793;15.039;36.890;-7.668;15.657;38.482;-14.161;12.575;23.578;-12.573;15.191;31.095;-10.573;16.144;34.545;-8.509;17.285;37.008;-7.344;17.918;38.720;-14.496;13.523;23.157;-12.470;17.278;29.873;-10.189;18.551;32.789;-8.348;19.315;34.801;-6.991;19.599;36.331;-13.260;14.552;24.536;-12.577;18.087;25.120;-10.820;19.637;26.518;-10.491;22.391;26.855;0.671;38.658;-1.210;14.843;35.852;0.486;20.569;22.385;-0.570;26.898;7.500;-1.738;20.705;8.435;9.225;13.812;9.981;23.229;13.842;8.327;24.451;12.480;7.444;30.950;11.440;6.718;33.666;9.556;6.290;35.385;8.289;6.229;36.526;13.765;9.238;24.417;13.223;9.902;31.031;11.160;9.698;34.938;8.432;9.689;36.830;6.567;9.666;37.789;13.152;10.524;24.435;13.031;12.212;31.309;11.114;12.350;35.588;8.519;12.190;37.264;6.538;12.303;38.180;13.098;11.391;24.130;12.418;14.596;30.648;10.758;15.222;34.049;8.891;14.935;35.865;7.070;14.813;37.144;12.504;12.225;24.393;11.887;15.830;25.805;10.939;17.645;28.388;10.254;20.277;28.803;0.000;0.000;0.000;-6.973;-12.361;2.617;-8.316;-25.706;19.792;-9.893;-41.373;39.954;-4.421;-70.088;4.385;7.978;-11.960;1.614;8.775;-30.041;11.991;9.710;-51.266;24.171;6.663;-95.149;33.019
