Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3122.000;124.880;-0.333;7.423;-1.699;-0.587;14.639;-1.861;-0.958;27.700;-0.328;-1.455;43.592;-0.122;-1.396;47.571;3.056;-0.987;53.803;4.455;-7.821;57.874;5.552;5.914;57.908;4.407;-3.617;59.929;12.694;2.941;59.945;12.147;-2.904;38.435;-1.735;-16.889;36.104;0.333;-21.872;23.073;-1.140;-27.380;8.671;-2.769;-20.918;8.943;7.781;-14.213;10.092;21.523;-14.144;8.354;22.321;-10.044;7.275;28.545;-8.660;7.391;30.565;-6.544;7.764;32.066;-5.180;8.335;32.848;-14.350;9.172;22.391;-11.688;9.311;29.375;-9.551;9.856;32.867;-7.090;10.821;34.335;-5.266;11.341;35.099;-14.092;10.645;21.974;-12.172;11.801;29.844;-10.473;11.953;33.618;-7.606;12.952;35.163;-5.598;13.452;35.798;-14.605;11.581;21.802;-12.585;14.078;29.130;-10.689;14.982;32.321;-8.453;15.674;33.940;-6.625;15.768;34.896;-13.448;12.591;23.369;-12.755;15.947;24.531;-10.584;17.103;25.997;-9.524;19.360;27.257;0.322;38.536;-1.727;14.526;35.939;-0.021;20.374;22.637;-2.023;26.837;7.934;-4.235;20.933;8.079;6.980;14.214;8.119;21.551;13.644;6.326;21.751;11.287;2.330;26.214;9.309;0.770;27.799;6.810;0.834;28.491;5.203;1.232;28.902;13.791;7.052;22.288;12.593;3.772;27.768;9.140;2.368;30.151;5.821;2.978;30.334;3.848;3.689;30.276;13.594;8.020;22.893;12.669;5.611;29.282;9.430;4.043;32.214;6.384;4.396;32.385;4.414;5.240;31.956;13.746;8.894;23.140;12.635;7.897;30.151;10.075;6.800;32.672;7.549;6.345;33.104;5.324;6.307;33.230;13.281;9.592;23.705;11.470;11.103;27.084;9.417;10.274;29.730;7.356;10.649;31.515;0.000;0.000;0.000;-6.950;-12.337;2.786;-8.245;-25.638;19.984;-9.767;-41.252;40.174;-4.401;-70.035;4.624;8.001;-11.920;1.788;8.783;-29.975;12.215;9.700;-51.171;24.455;6.680;-95.073;33.267
3123.000;124.920;-0.333;7.422;-1.700;-0.586;14.637;-1.862;-0.957;27.697;-0.330;-1.454;43.588;-0.121;-1.394;47.568;3.056;-0.982;53.803;4.451;-7.813;57.878;5.546;5.921;57.905;4.398;-3.607;59.937;12.686;2.951;59.949;12.137;-2.903;38.431;-1.735;-16.888;36.099;0.330;-21.884;23.073;-1.134;-27.407;8.675;-2.751;-20.954;8.978;7.798;-14.258;10.170;21.536;-14.190;8.446;22.343;-10.083;7.387;28.571;-8.693;7.476;30.579;-6.555;7.872;32.063;-5.195;8.433;32.858;-14.396;9.264;22.413;-11.744;9.413;29.389;-9.592;9.975;32.877;-7.119;10.937;34.330;-5.286;11.458;35.072;-14.141;10.738;21.978;-12.198;11.901;29.849;-10.440;12.070;33.570;-7.616;13.048;35.137;-5.592;13.565;35.709;-14.656;11.674;21.808;-12.617;14.182;29.129;-10.716;15.089;32.314;-8.458;15.748;33.926;-6.643;15.916;34.896;-13.487;12.681;23.381;-12.776;16.031;24.522;-10.588;17.181;25.989;-9.551;19.466;27.220;0.323;38.532;-1.727;14.529;35.935;-0.023;20.374;22.632;-2.026;26.834;7.928;-4.240;20.938;8.081;6.980;14.225;8.132;21.558;13.648;6.346;21.766;11.293;2.328;26.200;9.320;0.768;27.781;6.851;0.826;28.513;5.248;1.236;28.927;13.796;7.069;22.306;12.615;3.767;27.767;9.164;2.358;30.159;5.849;2.975;30.336;3.879;3.690;30.264;13.610;8.016;22.893;12.690;5.621;29.295;9.439;4.030;32.208;6.392;4.389;32.370;4.430;5.250;31.937;13.756;8.891;23.140;12.647;7.884;30.145;10.072;6.791;32.663;7.530;6.342;33.070;5.307;6.297;33.224;13.291;9.597;23.714;11.448;11.093;27.085;9.373;10.229;29.698;7.268;10.524;31.446;0.000;0.000;0.000;-6.950;-12.336;2.787;-8.245;-25.638;19.988;-9.765;-41.253;40.180;-4.400;-70.037;4.631;8.001;-11.920;1.789;8.782;-29.975;12.216;9.699;-51.170;24.457;6.679;-95.072;33.271
3124.000;124.960;-0.333;7.421;-1.700;-0.584;14.635;-1.861;-0.951;27.693;-0.327;-1.450;43.584;-0.109;-1.388;47.565;3.073;-0.970;53.803;4.471;-7.800;57.881;5.567;5.934;57.903;4.411;-3.589;59.944;12.703;2.969;59.954;12.151;-2.899;38.429;-1.725;-16.878;36.093;0.341;-21.898;23.072;-1.110;-27.447;8.681;-2.714;-21.009;9.022;7.837;-14.329;10.266;21.572;-14.257;8.539;22.386;-10.137;7.479;28.602;-8.732;7.620;30.613;-6.591;7.971;32.070;-5.220;8.553;32.830;-14.458;9.359;22.450;-11.764;9.556;29.422;-9.629;10.093;32.906;-7.126;11.071;34.329;-5.295;11.592;35.074;-14.196;10.844;22.009;-12.236;12.021;29.873;-10.479;12.221;33.602;-7.609;13.196;35.103;-5.576;13.699;35.652;-14.712;11.778;21.836;-12.654;14.317;29.141;-10.744;15.215;32.327;-8.469;15.892;33.910;-6.660;16.077;34.888;-13.539;12.778;23.395;-12.810;16.132;24.523;-10.638;17.284;25.986;-9.580;19.574;27.188;0.327;38.530;-1.718;14.533;35.937;-0.015;20.380;22.633;-2.018;26.842;7.929;-4.231;20.952;8.077;6.992;14.243;8.115;21.576;13.640;6.342;21.786;11.310;2.320;26.209;9.311;0.770;27.806;6.816;0.851;28.513;5.215;1.268;28.931;13.802;7.060;22.328;12.586;3.739;27.758;9.128;2.346;30.139;5.817;2.996;30.309;3.855;3.735;30.236;13.630;8.015;22.918;12.679;5.574;29.294;9.421;4.032;32.211;6.374;4.405;32.367;4.427;5.291;31.918;13.788;8.887;23.170;12.657;7.849;30.166;10.080;6.766;32.673;7.542;6.330;33.071;5.315;6.328;33.170;13.344;9.567;23.747;11.512;11.075;27.124;9.423;10.221;29.734;7.314;10.541;31.472;0.000;0.000;0.000;-6.950;-12.336;2.788;-8.244;-25.635;19.987;-9.764;-41.248;40.176;-4.400;-70.031;4.630;8.001;-11.920;1.790;8.782;-29.974;12.218;9.699;-51.169;24.458;6.679;-95.070;33.273
3125.000;125.000;-0.331;7.418;-1.700;-0.581;14.630;-1.862;-0.943;27.686;-0.329;-1.443;43.577;-0.113;-1.379;47.558;3.069;-0.951;53.795;4.470;-7.782;57.874;5.556;5.952;57.896;4.403;-3.573;59.952;12.688;2.986;59.963;12.137;-2.892;38.421;-1.729;-16.866;36.085;0.333;-22.006;23.101;-1.028;-27.687;8.750;-2.533;-21.224;9.188;7.982;-14.507;10.565;21.674;-14.438;8.847;22.505;-10.278;7.818;28.710;-8.874;7.951;30.706;-6.709;8.265;32.139;-5.323;8.849;32.870;-14.639;9.667;22.563;-11.909;9.896;29.529;-9.736;10.453;32.998;-7.203;11.421;34.380;-5.362;11.925;35.112;-14.368;11.150;22.107;-12.335;12.396;29.959;-10.545;12.570;33.670;-7.635;13.584;35.108;-5.597;14.062;35.662;-14.884;12.082;21.930;-12.741;14.677;29.206;-10.808;15.591;32.368;-8.529;16.244;33.951;-6.693;16.383;34.885;-13.689;13.107;23.481;-12.918;16.468;24.561;-10.725;17.607;25.980;-9.655;19.895;27.175;0.335;38.522;-1.721;14.537;35.931;-0.014;20.393;22.632;-1.984;26.866;7.933;-4.161;20.977;8.075;7.066;14.267;8.066;21.651;13.613;6.321;21.849;11.066;2.303;26.159;9.042;0.831;27.775;6.553;1.008;28.486;4.976;1.497;28.914;13.803;7.023;22.401;12.470;3.650;27.777;8.931;2.405;30.140;5.667;3.177;30.335;3.738;3.993;30.229;13.657;7.970;22.986;12.601;5.485;29.333;9.280;4.019;32.225;6.250;4.479;32.433;4.381;5.492;31.925;13.848;8.831;23.251;12.677;7.772;30.245;10.062;6.745;32.763;7.501;6.388;33.153;5.276;6.431;33.271;13.419;9.551;23.817;11.724;11.121;27.254;9.668;10.376;29.917;7.659;10.845;31.738;0.000;0.000;0.000;-6.950;-12.336;2.788;-8.249;-25.636;19.989;-9.774;-41.249;40.182;-4.393;-70.033;4.641;8.001;-11.919;1.796;8.783;-29.973;12.224;9.701;-51.167;24.465;6.688;-95.072;33.280
3126.000;125.040;-0.327;7.415;-1.704;-0.563;14.625;-1.870;-0.892;27.679;-0.347;-1.383;43.570;-0.127;-1.316;47.546;3.065;-0.875;53.770;4.497;-7.709;57.855;5.535;6.028;57.871;4.417;-3.519;59.988;12.662;3.041;59.995;12.128;-2.832;38.415;-1.747;-16.782;36.107;0.289;-22.383;23.266;-0.743;-28.574;9.073;-1.884;-21.944;9.732;8.475;-14.961;11.451;21.984;-14.919;9.774;22.880;-10.606;8.779;28.972;-9.107;8.940;30.922;-6.868;9.224;32.274;-5.445;9.745;32.982;-15.088;10.603;22.920;-12.088;10.969;29.769;-9.796;11.540;33.151;-7.210;12.426;34.468;-5.334;12.939;35.100;-14.816;12.052;22.382;-12.438;13.455;30.142;-10.467;13.641;33.761;-7.478;14.634;35.069;-5.418;15.069;35.573;-15.292;13.010;22.194;-12.803;15.750;29.320;-10.756;16.678;32.412;-8.401;17.280;33.916;-6.560;17.425;34.841;-13.975;14.027;23.659;-13.070;17.402;24.622;-10.790;18.502;25.923;-9.593;20.792;26.987;0.394;38.515;-1.734;14.583;35.955;-0.001;20.490;22.672;-1.805;27.018;7.992;-3.799;21.043;8.150;7.389;14.223;8.048;21.912;13.268;6.376;21.959;10.234;2.566;26.184;8.002;1.255;27.709;5.542;1.703;28.446;4.051;2.358;28.956;13.525;7.032;22.541;11.857;3.674;27.844;8.463;2.544;30.453;5.289;3.531;30.995;3.414;4.466;31.092;13.590;8.010;23.258;12.255;5.271;29.486;8.978;4.030;32.526;6.035;4.784;33.009;4.188;5.935;32.802;13.928;8.806;23.572;12.723;7.424;30.557;10.182;6.539;33.242;7.606;6.462;33.782;5.431;6.798;34.130;13.628;9.527;24.268;12.464;11.327;27.760;10.476;10.950;30.536;8.985;12.049;32.571;0.000;0.000;0.000;-6.950;-12.335;2.792;-8.253;-25.636;19.995;-9.783;-41.251;40.189;-4.389;-70.036;4.647;8.001;-11.917;1.805;8.786;-29.971;12.230;9.707;-51.165;24.468;6.701;-95.077;33.278
3127.000;125.080;-0.315;7.419;-1.710;-0.527;14.634;-1.883;-0.797;27.698;-0.369;-1.265;43.590;-0.169;-1.212;47.556;3.043;-0.783;53.740;4.553;-7.602;57.874;5.499;6.137;57.812;4.398;-3.412;60.135;12.586;3.149;60.105;12.061;-2.714;38.436;-1.790;-16.627;36.219;0.175;-23.190;23.741;-0.116;-30.444;9.950;-0.438;-23.447;10.988;9.577;-15.877;13.313;22.644;-15.929;11.765;23.691;-11.303;10.861;29.566;-9.625;11.009;31.374;-7.306;11.187;32.607;-5.784;11.562;33.189;-16.030;12.605;23.677;-12.528;13.231;30.257;-9.918;13.816;33.420;-7.220;14.549;34.550;-5.271;14.937;35.034;-15.704;13.941;22.980;-12.604;15.759;30.430;-10.386;16.023;33.903;-7.272;16.814;34.961;-5.144;17.056;35.279;-16.099;14.917;22.746;-12.844;17.987;29.448;-10.554;19.000;32.342;-8.127;19.525;33.701;-6.216;19.550;34.484;-14.622;15.978;24.060;-13.239;19.275;24.596;-10.737;20.222;25.644;-9.348;22.528;26.395;0.512;38.531;-1.762;14.669;36.024;0.071;20.671;22.726;-1.320;27.304;8.029;-2.858;21.089;8.297;8.184;13.906;8.106;22.489;12.577;6.811;22.527;8.487;3.533;26.264;5.733;2.806;27.439;3.405;3.614;28.245;2.047;4.385;28.933;13.028;7.252;23.188;10.388;3.901;27.939;7.365;2.719;30.977;4.452;3.812;32.274;2.739;4.880;32.844;13.310;8.103;23.803;11.312;5.057;29.885;8.470;3.743;33.350;5.794;4.593;34.561;4.082;5.878;34.999;13.853;8.734;24.196;12.305;6.892;31.236;10.207;5.984;34.251;7.835;6.167;35.374;5.859;6.693;36.259;13.760;9.477;25.083;13.955;10.995;28.884;12.501;11.046;31.936;12.205;12.410;34.307;0.000;0.000;0.000;-6.961;-12.328;2.796;-8.271;-25.635;20.004;-9.810;-41.256;40.205;-4.419;-70.040;4.663;7.992;-11.922;1.817;8.774;-29.975;12.243;9.692;-51.168;24.483;6.680;-95.077;33.297
3128.000;125.120;-0.298;7.428;-1.719;-0.477;14.653;-1.899;-0.662;27.737;-0.398;-1.065;43.632;-0.263;-1.039;47.594;2.951;-0.649;53.743;4.506;-7.451;57.929;5.341;6.286;57.780;4.231;-3.245;60.371;12.359;3.315;60.300;11.828;-2.523;38.477;-1.875;-16.394;36.487;-0.004;-24.336;24.741;0.846;-33.114;11.759;1.786;-25.615;13.297;11.262;-17.189;16.450;23.576;-17.341;15.075;24.844;-12.265;14.290;30.375;-10.395;14.396;31.979;-7.982;14.345;32.985;-6.374;14.585;33.379;-17.321;15.910;24.707;-13.077;16.892;30.825;-10.063;17.489;33.614;-7.213;17.936;34.444;-5.197;18.092;34.751;-16.917;17.084;23.814;-12.809;19.420;30.628;-10.251;19.860;33.886;-6.927;20.237;34.535;-4.765;20.184;34.640;-17.193;18.075;23.467;-12.784;21.491;29.321;-10.087;22.542;31.833;-7.484;22.883;32.929;-5.522;22.726;33.553;-15.344;19.017;24.435;-13.394;22.069;24.306;-10.702;22.742;25.003;-8.767;24.752;25.155;0.703;38.559;-1.822;14.807;36.107;0.198;20.859;22.759;-0.556;27.548;8.006;-1.389;21.100;8.434;9.470;13.499;8.229;23.490;11.944;7.275;23.432;6.539;5.418;26.720;3.670;5.338;27.499;1.488;6.488;28.239;0.204;7.378;28.925;12.471;7.448;24.158;8.572;4.734;28.400;5.273;3.417;31.039;2.582;4.171;32.882;1.016;5.020;33.990;12.878;8.292;24.745;9.749;5.138;30.497;7.184;2.997;33.774;4.859;3.464;35.719;3.370;4.612;36.833;13.562;8.678;25.226;11.295;6.334;32.140;9.756;4.990;35.328;7.691;5.072;37.010;5.986;5.520;38.374;13.598;9.361;26.313;14.835;9.734;30.135;13.947;9.394;33.426;14.589;10.031;36.024;0.000;0.000;0.000;-6.975;-12.318;2.803;-8.298;-25.626;20.013;-9.850;-41.247;40.217;-4.459;-70.041;4.674;7.978;-11.929;1.832;8.754;-29.982;12.258;9.663;-51.176;24.496;6.634;-95.087;33.312
3129.000;125.160;-0.281;7.443;-1.724;-0.423;14.682;-1.916;-0.517;27.791;-0.447;-0.806;43.689;-0.420;-0.810;47.652;2.758;-0.479;53.776;4.287;-7.267;57.999;5.045;6.467;57.786;3.909;-3.038;60.580;11.999;3.520;60.479;11.456;-2.285;38.535;-2.014;-16.112;36.882;-0.268;-25.568;26.370;2.042;-36.019;14.752;4.596;-27.928;16.816;13.343;-18.414;20.652;24.546;-18.723;19.617;26.114;-13.221;18.828;31.260;-11.187;18.823;32.696;-8.702;18.462;33.490;-7.050;18.383;33.735;-18.576;20.394;25.814;-13.443;21.523;31.227;-10.139;22.067;33.669;-7.181;22.068;34.232;-5.155;21.822;34.372;-17.982;21.255;24.630;-12.739;23.902;30.498;-9.866;24.485;33.450;-6.489;24.389;33.848;-4.370;23.946;33.862;-18.091;22.199;24.095;-12.488;25.632;28.825;-9.428;26.626;30.913;-6.685;26.686;31.726;-4.726;26.341;32.279;-16.023;22.911;24.750;-13.365;25.252;23.803;-10.555;25.310;24.089;-8.237;26.757;23.506;0.941;38.593;-1.928;14.983;36.143;0.371;21.008;22.731;0.387;27.667;7.908;0.405;20.896;8.485;11.081;12.779;8.360;24.823;11.128;7.594;24.711;5.351;6.702;27.609;2.470;7.232;28.285;0.418;8.698;28.942;-0.748;9.737;29.629;11.659;7.566;25.455;7.098;5.523;29.383;3.555;4.498;31.836;0.837;5.096;33.595;-0.700;5.920;34.759;12.185;8.510;26.111;8.296;5.406;31.504;5.241;3.142;34.255;2.884;3.400;36.212;1.437;4.231;37.622;12.907;8.715;26.645;9.983;6.170;33.265;8.424;4.494;36.289;6.413;4.360;38.048;4.826;4.612;39.593;12.948;9.373;27.731;14.218;9.056;31.556;13.473;8.454;34.768;14.674;8.695;37.232;0.000;0.000;0.000;-6.988;-12.315;2.785;-8.323;-25.625;19.992;-9.889;-41.249;40.192;-4.482;-70.042;4.660;7.967;-11.935;1.839;8.735;-29.991;12.253;9.637;-51.186;24.478;6.597;-95.094;33.294
3130.000;125.200;-0.265;7.458;-1.723;-0.368;14.710;-1.929;-0.366;27.839;-0.499;-0.494;43.739;-0.613;-0.533;47.711;2.514;-0.297;53.818;3.982;-7.078;58.060;4.698;6.654;57.814;3.542;-2.834;60.722;11.612;3.723;60.605;11.060;-2.010;38.586;-2.176;-15.818;37.371;-0.510;-26.624;28.628;3.363;-38.568;18.964;7.643;-29.735;21.230;15.487;-19.026;25.423;25.333;-19.371;24.760;27.117;-13.600;23.837;31.976;-11.494;23.775;33.280;-9.050;23.015;33.983;-7.422;22.669;34.137;-19.107;25.412;26.647;-13.302;26.514;31.385;-9.816;26.833;33.585;-6.862;26.446;34.014;-4.891;25.906;34.080;-18.525;25.928;25.323;-12.228;28.526;30.142;-9.098;29.166;32.796;-5.782;28.516;33.073;-3.769;27.718;33.040;-18.471;26.723;24.588;-11.841;29.796;28.171;-8.478;30.634;29.762;-5.702;30.399;30.387;-3.798;29.750;30.854;-16.207;27.246;24.944;-13.203;28.496;23.344;-10.415;27.842;23.434;-7.978;28.613;22.304;1.216;38.613;-2.059;15.177;36.130;0.540;21.082;22.672;1.430;27.608;7.798;2.413;20.349;8.618;12.796;11.615;8.769;26.164;10.005;7.975;26.115;4.051;7.497;28.819;1.255;8.246;29.534;-0.824;9.764;30.002;-1.973;10.846;30.650;10.518;7.880;26.866;5.744;6.195;30.634;2.183;5.200;33.043;-0.582;5.698;34.866;-2.132;6.368;36.110;11.039;8.937;27.432;6.985;5.989;32.782;4.076;3.586;35.621;1.756;3.659;37.677;0.310;4.163;39.237;11.765;9.110;27.972;8.666;6.693;34.536;7.170;5.045;37.645;5.286;4.752;39.531;3.779;4.824;41.171;11.725;9.718;29.110;13.035;9.373;32.865;12.461;8.749;36.091;14.096;8.759;38.304;0.000;0.000;0.000;-7.000;-12.314;2.761;-8.335;-25.638;19.963;-9.904;-41.280;40.157;-4.501;-70.062;4.620;7.957;-11.943;1.829;8.728;-30.002;12.233;9.633;-51.202;24.446;6.586;-95.106;33.254
