Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3095.000;123.800;0.035;7.323;-0.097;-0.021;14.216;-0.077;-0.229;26.413;0.099;-0.565;42.308;-0.140;-0.573;46.425;3.005;-0.219;52.753;4.354;-7.094;56.812;5.211;6.679;56.850;4.691;-3.219;58.737;12.571;3.358;58.755;12.323;-2.028;37.123;-1.649;-15.983;35.357;-0.240;-21.161;22.439;-1.607;-26.884;8.162;-3.117;-23.289;5.397;9.158;-19.109;1.911;23.533;-18.631;0.120;23.700;-13.949;-2.133;29.222;-12.609;-2.034;31.334;-10.811;-2.161;33.209;-9.811;-1.902;34.525;-19.037;0.765;24.068;-15.930;-1.025;30.689;-13.513;-0.769;34.066;-11.416;0.034;36.078;-9.919;0.472;37.401;-19.162;2.167;24.208;-16.925;0.976;31.896;-14.250;1.270;35.044;-11.867;1.938;37.290;-10.362;2.231;38.820;-19.859;2.953;24.399;-18.003;3.226;32.171;-15.539;3.741;35.142;-13.518;4.282;37.005;-11.842;4.468;38.196;-18.987;3.656;26.077;-19.642;6.150;28.662;-18.533;7.340;30.841;-19.305;9.157;32.818;1.198;37.193;-1.561;15.344;34.746;0.249;21.112;21.302;-1.158;27.487;6.442;-2.713;22.272;4.675;9.027;16.189;2.144;23.398;15.538;0.339;23.929;12.962;-2.561;29.440;11.182;-3.773;31.578;9.187;-4.040;32.944;7.639;-4.050;33.662;15.749;1.149;24.297;14.189;-0.814;30.456;11.570;-1.803;33.907;8.725;-1.837;35.614;6.840;-1.657;36.516;15.492;2.402;24.679;14.497;1.301;31.736;11.934;0.250;35.519;9.110;0.499;36.710;7.015;0.964;37.123;15.726;3.288;24.768;14.720;3.739;32.089;12.971;3.567;35.453;10.770;3.325;36.910;8.785;3.346;37.923;15.391;4.145;25.364;15.805;6.969;27.947;15.204;7.811;31.085;15.354;10.169;32.496;0.000;0.000;0.000;-7.682;-12.199;-0.883;-10.108;-32.869;-0.023;-12.957;-57.134;0.986;-12.835;-101.443;-7.384;7.511;-12.386;-1.606;9.527;-33.028;-0.786;11.892;-57.261;0.178;11.436;-101.630;-9.071
3096.000;123.840;0.035;7.322;-0.097;-0.020;14.215;-0.078;-0.228;26.410;0.095;-0.563;42.306;-0.149;-0.570;46.426;2.993;-0.213;52.759;4.333;-7.083;56.824;5.198;6.689;56.850;4.659;-3.196;58.747;12.553;3.381;58.759;12.295;-2.026;37.120;-1.655;-15.980;35.357;-0.251;-21.165;22.441;-1.617;-26.895;8.167;-3.126;-23.301;5.407;9.150;-19.124;1.928;23.527;-18.646;0.150;23.701;-13.953;-2.113;29.214;-12.617;-2.015;31.324;-10.814;-2.132;33.199;-9.811;-1.877;34.513;-19.056;0.791;24.071;-15.948;-1.008;30.686;-13.519;-0.743;34.056;-11.415;0.063;36.066;-9.921;0.484;37.397;-19.179;2.169;24.198;-16.938;1.013;31.890;-14.255;1.294;35.030;-11.871;1.960;37.272;-10.364;2.253;38.800;-19.871;2.961;24.389;-18.008;3.239;32.160;-15.542;3.760;35.133;-13.537;4.303;37.004;-11.852;4.471;38.185;-18.998;3.676;26.072;-19.656;6.166;28.651;-18.558;7.346;30.835;-19.295;9.179;32.812;1.200;37.190;-1.568;15.342;34.743;0.237;21.107;21.296;-1.171;27.479;6.434;-2.728;22.274;4.680;9.018;16.205;2.165;23.397;15.560;0.347;23.920;12.985;-2.548;29.443;11.202;-3.749;31.586;9.212;-4.008;32.956;7.671;-4.019;33.688;15.770;1.158;24.284;14.215;-0.780;30.462;11.591;-1.786;33.911;8.748;-1.806;35.617;6.859;-1.626;36.510;15.504;2.440;24.679;14.527;1.329;31.738;11.964;0.277;35.530;9.141;0.533;36.710;7.042;0.994;37.112;15.744;3.324;24.769;14.740;3.772;32.094;12.994;3.580;35.445;10.813;3.356;36.920;8.816;3.378;37.909;15.432;4.151;25.377;15.807;6.997;27.942;15.238;7.831;31.092;15.289;10.217;32.462;0.000;0.000;0.000;-7.682;-12.199;-0.883;-10.111;-32.869;-0.025;-12.963;-57.134;0.983;-12.850;-101.443;-7.391;7.511;-12.386;-1.607;9.523;-33.031;-0.791;11.885;-57.266;0.168;11.422;-101.629;-9.088
3097.000;123.880;0.035;7.322;-0.098;-0.020;14.215;-0.082;-0.227;26.410;0.083;-0.565;42.305;-0.164;-0.572;46.426;2.978;-0.214;52.760;4.317;-7.080;56.832;5.186;6.691;56.845;4.632;-3.183;58.759;12.534;3.394;58.765;12.270;-2.027;37.120;-1.669;-15.983;35.351;-0.268;-21.163;22.435;-1.639;-26.890;8.160;-3.154;-23.305;5.412;9.126;-19.136;1.948;23.510;-18.653;0.166;23.681;-13.963;-2.074;29.204;-12.625;-1.962;31.319;-10.824;-2.087;33.181;-9.826;-1.811;34.494;-19.063;0.808;24.049;-15.955;-0.977;30.672;-13.530;-0.695;34.042;-11.442;0.102;36.046;-9.940;0.562;37.355;-19.185;2.200;24.180;-16.953;1.025;31.873;-14.273;1.347;35.014;-11.890;2.015;37.250;-10.385;2.332;38.774;-19.884;2.987;24.368;-18.039;3.272;32.141;-15.568;3.807;35.109;-13.551;4.371;36.980;-11.879;4.556;38.177;-19.013;3.703;26.069;-19.681;6.192;28.622;-18.562;7.397;30.781;-19.336;9.179;32.790;1.199;37.190;-1.582;15.342;34.746;0.223;21.117;21.302;-1.180;27.499;6.443;-2.730;22.294;4.700;9.017;16.223;2.201;23.400;15.589;0.401;23.935;13.008;-2.505;29.454;11.224;-3.710;31.594;9.234;-3.969;32.956;7.692;-3.970;33.684;15.806;1.209;24.303;14.210;-0.765;30.463;11.570;-1.737;33.887;8.735;-1.749;35.591;6.844;-1.559;36.477;15.517;2.463;24.685;14.548;1.364;31.735;11.979;0.339;35.524;9.144;0.581;36.696;7.047;1.045;37.102;15.750;3.349;24.774;14.768;3.819;32.088;13.008;3.628;35.443;10.807;3.398;36.899;8.818;3.431;37.904;15.440;4.188;25.381;15.809;7.040;27.932;15.241;7.873;31.091;15.276;10.261;32.458;0.000;0.000;0.000;-7.682;-12.199;-0.883;-10.114;-32.868;-0.024;-12.968;-57.131;0.984;-12.860;-101.442;-7.392;7.511;-12.386;-1.608;9.521;-33.030;-0.792;11.880;-57.264;0.166;11.411;-101.630;-9.090
3098.000;123.920;0.035;7.320;-0.098;-0.019;14.210;-0.085;-0.225;26.403;0.072;-0.568;42.297;-0.171;-0.576;46.421;2.973;-0.217;52.759;4.312;-7.081;56.834;5.187;6.690;56.843;4.616;-3.174;58.764;12.529;3.402;58.768;12.257;-2.028;37.112;-1.678;-15.981;35.340;-0.275;-21.157;22.423;-1.657;-26.877;8.147;-3.183;-23.297;5.411;9.102;-19.132;1.959;23.493;-18.650;0.184;23.670;-13.956;-2.039;29.188;-12.614;-1.927;31.298;-10.808;-2.013;33.170;-9.812;-1.742;34.485;-19.065;0.822;24.039;-15.950;-0.947;30.656;-13.518;-0.657;34.025;-11.433;0.151;36.030;-9.931;0.604;37.342;-19.178;2.205;24.164;-16.955;1.058;31.856;-14.262;1.398;34.986;-11.885;2.065;37.221;-10.380;2.394;38.743;-19.872;2.979;24.347;-18.041;3.292;32.121;-15.563;3.855;35.077;-13.563;4.388;36.951;-11.871;4.553;38.123;-18.997;3.723;26.023;-19.691;6.211;28.602;-18.572;7.433;30.746;-19.339;9.200;32.770;1.198;37.183;-1.591;15.340;34.742;0.214;21.121;21.301;-1.189;27.510;6.444;-2.739;22.303;4.706;9.007;16.229;2.213;23.392;15.578;0.404;23.921;13.023;-2.493;29.443;11.213;-3.690;31.579;9.241;-3.939;32.948;7.694;-3.948;33.666;15.786;1.216;24.285;14.218;-0.734;30.461;11.550;-1.701;33.867;8.689;-1.732;35.541;6.800;-1.513;36.428;15.523;2.477;24.678;14.543;1.390;31.723;11.979;0.352;35.512;9.130;0.609;36.662;7.034;1.087;37.057;15.756;3.363;24.766;14.764;3.842;32.070;12.992;3.667;35.419;10.786;3.422;36.858;8.784;3.459;37.837;15.438;4.215;25.357;15.805;7.063;27.915;15.172;7.908;31.078;15.244;10.301;32.435;0.000;0.000;0.000;-7.683;-12.199;-0.882;-10.115;-32.868;-0.023;-12.969;-57.133;0.986;-12.866;-101.444;-7.381;7.510;-12.387;-1.608;9.520;-33.030;-0.788;11.880;-57.264;0.174;11.408;-101.630;-9.082
3099.000;123.960;0.036;7.318;-0.099;-0.017;14.208;-0.088;-0.221;26.398;0.062;-0.558;42.293;-0.177;-0.565;46.417;2.969;-0.203;52.757;4.309;-7.063;56.836;5.190;6.707;56.837;4.609;-3.150;58.762;12.530;3.426;58.762;12.253;-2.020;37.108;-1.686;-15.976;35.339;-0.288;-21.147;22.423;-1.676;-26.863;8.148;-3.210;-23.290;5.424;9.080;-19.131;1.987;23.474;-18.642;0.194;23.641;-13.955;-2.018;29.174;-12.642;-1.918;31.280;-10.818;-1.986;33.157;-9.820;-1.705;34.469;-19.053;0.837;24.006;-15.962;-0.922;30.642;-13.526;-0.656;34.009;-11.442;0.184;36.020;-9.944;0.604;37.346;-19.181;2.202;24.149;-16.958;1.088;31.836;-14.287;1.414;34.978;-11.897;2.082;37.207;-10.394;2.408;38.732;-19.870;2.987;24.330;-18.044;3.309;32.099;-15.566;3.873;35.052;-13.562;4.421;36.920;-11.861;4.610;38.075;-18.996;3.750;26.004;-19.694;6.233;28.587;-18.582;7.427;30.764;-19.350;9.245;32.742;1.205;37.178;-1.598;15.345;34.731;0.209;21.126;21.290;-1.195;27.515;6.434;-2.747;22.306;4.698;9.000;16.231;2.207;23.385;15.588;0.410;23.923;13.036;-2.514;29.428;11.211;-3.701;31.565;9.245;-3.957;32.934;7.696;-3.958;33.648;15.797;1.221;24.289;14.211;-0.738;30.453;11.548;-1.707;33.856;8.645;-1.719;35.488;6.755;-1.524;36.376;15.531;2.480;24.670;14.531;1.391;31.715;11.974;0.371;35.500;9.115;0.619;36.633;7.015;1.092;37.010;15.764;3.366;24.758;14.757;3.839;32.055;12.954;3.659;35.393;10.722;3.422;36.805;8.716;3.444;37.776;15.427;4.213;25.338;15.780;7.065;27.907;15.143;7.905;31.047;15.182;10.287;32.425;0.000;0.000;0.000;-7.683;-12.198;-0.882;-10.115;-32.868;-0.022;-12.970;-57.132;0.986;-12.868;-101.443;-7.385;7.510;-12.387;-1.608;9.519;-33.029;-0.793;11.877;-57.261;0.164;11.403;-101.626;-9.104
3100.000;124.000;0.037;7.317;-0.101;-0.015;14.205;-0.094;-0.217;26.394;0.047;-0.554;42.289;-0.195;-0.561;46.416;2.954;-0.201;52.761;4.297;-7.059;56.843;5.177;6.711;56.837;4.598;-3.146;58.767;12.517;3.430;58.764;12.241;-2.015;37.104;-1.703;-15.971;35.331;-0.309;-21.133;22.410;-1.699;-26.839;8.129;-3.234;-23.184;5.376;9.014;-19.117;2.008;23.457;-18.625;0.216;23.625;-13.957;-2.008;29.156;-12.602;-1.893;31.257;-10.802;-1.971;33.142;-9.804;-1.687;34.453;-19.035;0.859;23.991;-15.954;-0.907;30.624;-13.523;-0.624;34.000;-11.441;0.204;36.006;-9.945;0.621;37.337;-19.169;2.227;24.128;-16.941;1.111;31.815;-14.278;1.431;34.961;-11.890;2.116;37.189;-10.387;2.435;38.715;-19.864;3.008;24.309;-18.043;3.338;32.083;-15.566;3.900;35.039;-13.569;4.429;36.900;-11.849;4.618;38.028;-18.996;3.766;25.999;-19.680;6.251;28.563;-18.560;7.466;30.710;-19.330;9.251;32.718;1.210;37.173;-1.614;15.350;34.730;0.192;21.129;21.287;-1.214;27.517;6.428;-2.768;22.307;4.689;8.981;16.230;2.196;23.368;15.578;0.396;23.906;13.035;-2.526;29.411;11.209;-3.715;31.541;9.240;-3.980;32.904;7.686;-3.984;33.609;15.787;1.206;24.273;14.204;-0.749;30.433;11.531;-1.716;33.827;8.633;-1.725;35.440;6.732;-1.508;36.297;15.531;2.448;24.651;14.531;1.379;31.694;11.969;0.347;35.476;9.100;0.607;36.595;6.998;1.086;36.957;15.759;3.336;24.738;14.753;3.838;32.035;12.936;3.642;35.362;10.721;3.414;36.777;8.702;3.452;37.720;15.444;4.191;25.336;15.782;7.049;27.888;15.083;7.909;31.010;15.192;10.270;32.419;0.000;0.000;0.000;-7.683;-12.198;-0.882;-10.115;-32.867;-0.032;-12.970;-57.130;0.966;-12.866;-101.436;-7.436;7.510;-12.387;-1.606;9.518;-33.028;-0.798;11.875;-57.260;0.151;11.399;-101.621;-9.133
3101.000;124.040;0.037;7.315;-0.102;-0.015;14.201;-0.099;-0.215;26.386;0.030;-0.553;42.281;-0.214;-0.562;46.412;2.937;-0.204;52.760;4.283;-7.063;56.842;5.159;6.707;56.836;4.588;-3.154;58.765;12.502;3.422;58.762;12.229;-2.014;37.095;-1.722;-15.971;35.319;-0.336;-21.123;22.395;-1.724;-26.818;8.110;-3.258;-23.176;5.368;8.999;-19.126;2.016;23.451;-18.636;0.224;23.618;-13.955;-1.978;29.162;-12.636;-1.852;31.275;-10.814;-1.930;33.143;-9.818;-1.637;34.454;-19.046;0.868;23.983;-15.964;-0.890;30.618;-13.541;-0.593;34.000;-11.466;0.216;36.003;-9.965;0.677;37.313;-19.170;2.264;24.126;-16.959;1.137;31.809;-14.299;1.466;34.961;-11.916;2.140;37.194;-10.406;2.469;38.712;-19.865;3.035;24.303;-18.051;3.366;32.076;-15.575;3.923;35.023;-13.566;4.471;36.890;-11.859;4.639;38.039;-19.007;3.778;25.976;-19.676;6.276;28.548;-18.565;7.466;30.712;-19.308;9.291;32.693;1.212;37.165;-1.632;15.349;34.720;0.179;21.123;21.275;-1.225;27.504;6.416;-2.777;22.299;4.680;8.972;16.227;2.194;23.362;15.573;0.388;23.897;13.047;-2.535;29.408;11.226;-3.725;31.543;9.251;-3.979;32.916;7.705;-3.979;33.637;15.779;1.200;24.262;14.232;-0.709;30.448;11.542;-1.729;33.824;8.652;-1.734;35.453;6.753;-1.514;36.316;15.534;2.453;24.645;14.541;1.381;31.693;11.989;0.365;35.485;9.117;0.602;36.597;7.017;1.089;36.958;15.766;3.340;24.731;14.759;3.829;32.033;12.965;3.650;35.367;10.736;3.414;36.777;8.722;3.442;37.731;15.460;4.174;25.344;15.766;7.052;27.883;15.096;7.898;31.019;15.130;10.283;32.391;0.000;0.000;0.000;-7.683;-12.198;-0.885;-10.116;-32.867;-0.031;-12.972;-57.129;0.971;-12.867;-101.437;-7.425;7.510;-12.387;-1.603;9.518;-33.029;-0.790;11.875;-57.260;0.165;11.403;-101.622;-9.113
3102.000;124.080;0.037;7.314;-0.103;-0.014;14.199;-0.105;-0.213;26.382;0.015;-0.551;42.277;-0.232;-0.561;46.411;2.920;-0.205;52.762;4.265;-7.065;56.843;5.140;6.706;56.839;4.575;-3.159;58.764;12.486;3.417;58.762;12.216;-2.011;37.092;-1.740;-15.965;35.317;-0.362;-21.113;22.391;-1.753;-26.802;8.104;-3.291;-23.170;5.371;8.972;-19.129;2.030;23.432;-18.647;0.242;23.603;-13.998;-1.967;29.153;-12.679;-1.869;31.248;-10.846;-1.915;33.136;-9.857;-1.626;34.453;-19.060;0.884;23.969;-15.983;-0.875;30.604;-13.575;-0.581;33.990;-11.494;0.234;35.992;-10.001;0.677;37.318;-19.183;2.259;24.105;-16.971;1.149;31.786;-14.316;1.467;34.944;-11.946;2.141;37.182;-10.441;2.477;38.703;-19.873;3.037;24.280;-18.068;3.373;32.051;-15.597;3.931;35.001;-13.581;4.479;36.869;-11.874;4.661;38.015;-19.024;3.787;25.974;-19.676;6.296;28.535;-18.531;7.520;30.656;-19.290;9.300;32.671;1.215;37.162;-1.649;15.350;34.711;0.163;21.115;21.263;-1.242;27.487;6.398;-2.794;22.286;4.667;8.954;16.219;2.187;23.344;15.569;0.376;23.876;13.039;-2.529;29.403;11.218;-3.728;31.531;9.245;-3.973;32.909;7.699;-3.983;33.632;15.780;1.188;24.238;14.212;-0.745;30.422;11.556;-1.733;33.826;8.652;-1.730;35.444;6.753;-1.511;36.306;15.520;2.452;24.628;14.540;1.361;31.671;11.993;0.352;35.473;9.117;0.605;36.595;7.014;1.093;36.941;15.754;3.338;24.715;14.762;3.820;32.015;12.953;3.626;35.348;10.735;3.418;36.766;8.717;3.425;37.711;15.417;4.177;25.323;15.762;7.043;27.870;15.099;7.887;31.007;15.135;10.267;32.389;0.000;0.000;0.000;-7.683;-12.198;-0.886;-10.124;-32.863;-0.033;-12.989;-57.123;0.969;-12.899;-101.430;-7.433;7.510;-12.388;-1.601;9.508;-33.027;-0.791;11.854;-57.257;0.160;11.363;-101.618;-9.130
3103.000;124.120;0.037;7.312;-0.106;-0.013;14.196;-0.110;-0.209;26.377;0.003;-0.542;42.272;-0.239;-0.553;46.407;2.916;-0.197;52.762;4.264;-7.057;56.844;5.133;6.715;56.837;4.577;-3.155;58.767;12.480;3.421;58.764;12.215;-2.003;37.087;-1.749;-15.961;35.308;-0.381;-21.109;22.385;-1.778;-26.800;8.102;-3.322;-23.175;5.378;8.943;-19.144;2.048;23.405;-18.672;0.263;23.579;-14.008;-1.949;29.133;-12.675;-1.814;31.241;-10.879;-1.886;33.128;-9.881;-1.588;34.436;-19.092;0.900;23.944;-16.015;-0.856;30.588;-13.602;-0.560;33.977;-11.533;0.246;35.990;-10.055;0.689;37.333;-19.195;2.282;24.078;-17.003;1.178;31.772;-14.359;1.493;34.928;-11.976;2.174;37.166;-10.483;2.496;38.702;-19.885;3.060;24.252;-18.100;3.383;32.026;-15.598;3.942;34.970;-13.606;4.482;36.843;-11.911;4.671;38.007;-19.043;3.805;25.950;-19.683;6.326;28.506;-18.565;7.512;30.650;-19.258;9.380;32.608;1.223;37.156;-1.657;15.354;34.700;0.158;21.112;21.249;-1.254;27.475;6.382;-2.815;22.278;4.656;8.938;16.213;2.180;23.330;15.568;0.371;23.860;13.040;-2.528;29.392;11.225;-3.719;31.531;9.252;-3.972;32.909;7.709;-3.991;33.637;15.777;1.184;24.222;14.216;-0.734;30.415;11.556;-1.720;33.814;8.674;-1.732;35.450;6.769;-1.487;36.294;15.520;2.447;24.615;14.549;1.381;31.668;12.003;0.350;35.469;9.132;0.623;36.581;7.030;1.106;36.937;15.752;3.334;24.701;14.773;3.823;32.001;12.950;3.642;35.329;10.730;3.423;36.745;8.716;3.457;37.698;15.442;4.175;25.307;15.766;7.047;27.849;15.082;7.903;30.978;15.108;10.292;32.345;0.000;0.000;0.000;-7.683;-12.198;-0.886;-10.125;-32.865;-0.034;-12.991;-57.126;0.967;-12.900;-101.429;-7.444;7.510;-12.388;-1.597;9.507;-33.028;-0.787;11.851;-57.259;0.164;11.358;-101.616;-9.143
