Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2605.000;104.200;-0.206;7.812;-0.537;-0.418;15.133;0.807;-0.815;28.056;5.525;-1.731;43.880;6.778;-1.876;47.750;9.846;-1.869;54.287;10.584;-8.704;58.322;11.802;4.955;58.473;9.968;-4.185;60.819;18.602;2.337;60.892;17.726;-3.029;38.807;4.811;-16.960;36.171;5.972;-21.384;23.236;3.551;-26.274;8.940;0.875;-21.597;9.205;12.713;-16.331;9.422;26.591;-16.467;7.771;27.632;-13.484;7.339;34.487;-12.359;8.092;36.571;-11.029;8.574;38.813;-10.191;9.107;40.158;-16.604;8.604;27.572;-14.924;9.560;34.772;-13.205;11.023;38.248;-11.724;12.129;40.582;-10.637;12.852;42.156;-16.198;9.979;26.968;-15.227;12.060;34.770;-13.860;13.164;38.487;-11.660;14.410;40.781;-10.224;15.069;42.261;-16.592;10.924;26.613;-15.265;14.206;33.805;-13.608;15.454;37.082;-12.039;16.273;39.326;-10.871;16.586;41.000;-15.447;11.995;28.222;-15.195;15.426;29.174;-13.567;16.873;30.888;-13.357;19.504;31.805;0.193;38.990;4.862;14.359;37.007;6.299;20.094;23.812;4.306;26.433;9.228;2.104;22.368;10.747;14.015;17.758;12.324;28.644;17.726;10.714;29.955;17.241;10.212;36.642;16.589;10.032;39.495;15.292;10.040;41.707;14.441;10.229;43.173;17.779;11.626;29.908;18.227;12.465;36.454;17.576;12.680;40.761;15.921;13.009;43.626;14.707;13.281;45.314;17.362;12.974;29.829;18.507;14.737;36.715;18.204;15.254;41.358;16.629;15.550;43.946;15.190;15.992;45.530;17.394;13.838;29.510;18.185;17.204;36.156;18.200;18.237;39.799;17.075;18.377;42.177;15.893;18.658;44.045;16.975;14.753;29.990;17.177;18.371;31.249;17.052;20.302;33.968;17.136;22.991;34.545;0.000;0.000;0.000;-7.286;-12.409;1.244;-9.487;-21.404;21.115;-12.072;-31.964;44.441;-11.740;-66.693;15.897;7.870;-12.267;-0.050;13.079;-22.155;19.620;19.191;-33.764;42.711;14.203;-67.227;13.124
2606.000;104.240;-0.215;7.809;-0.535;-0.441;15.128;0.812;-0.870;28.045;5.536;-1.807;43.867;6.796;-1.951;47.738;9.869;-1.966;54.277;10.613;-8.812;58.290;11.838;4.846;58.485;9.999;-4.299;60.793;18.640;2.223;60.886;17.761;-3.104;38.792;4.832;-17.018;36.150;6.038;-21.506;23.228;3.655;-26.468;8.945;1.021;-21.773;9.285;12.846;-16.486;9.592;26.709;-16.639;7.959;27.765;-13.673;7.554;34.635;-12.556;8.339;36.723;-11.266;8.812;38.980;-10.445;9.350;40.333;-16.785;8.790;27.700;-15.103;9.799;34.886;-13.347;11.278;38.333;-11.844;12.417;40.650;-10.796;13.194;42.225;-16.351;10.138;27.086;-15.410;12.306;34.851;-14.106;13.482;38.567;-11.960;14.740;40.923;-10.600;15.461;42.446;-16.738;11.078;26.718;-15.428;14.423;33.874;-13.775;15.681;37.152;-12.225;16.523;39.382;-11.034;16.842;41.038;-15.606;12.167;28.338;-15.235;15.585;29.255;-13.564;16.992;30.970;-13.244;19.619;31.867;0.118;38.980;4.871;14.295;37.012;6.259;20.039;23.825;4.229;26.387;9.250;1.986;22.279;10.749;13.889;17.618;12.308;28.508;17.589;10.682;29.811;16.991;10.170;36.490;16.312;9.992;39.331;14.989;9.984;41.540;14.150;10.158;43.015;17.634;11.593;29.764;17.972;12.441;36.319;17.243;12.707;40.606;15.585;13.025;43.475;14.372;13.320;45.161;17.195;12.940;29.699;18.260;14.698;36.583;17.835;15.266;41.218;16.246;15.566;43.789;14.793;16.005;45.361;17.220;13.805;29.383;17.920;17.174;36.035;17.864;18.182;39.686;16.700;18.283;42.052;15.489;18.538;43.906;16.802;14.712;29.841;16.947;18.337;31.132;16.801;20.256;33.859;16.823;22.946;34.438;0.000;0.000;0.000;-7.277;-12.413;1.255;-9.465;-21.411;21.125;-12.034;-31.973;44.450;-11.721;-66.691;15.885;7.877;-12.263;-0.064;13.117;-22.149;19.597;19.266;-33.755;42.678;14.225;-67.227;13.102
2607.000;104.280;-0.221;7.807;-0.531;-0.456;15.123;0.820;-0.905;28.033;5.554;-1.851;43.855;6.825;-1.988;47.726;9.903;-2.005;54.269;10.652;-8.851;58.277;11.895;4.803;58.481;10.029;-4.325;60.775;18.690;2.196;60.872;17.799;-3.150;38.780;4.863;-17.054;36.135;6.120;-21.607;23.218;3.793;-26.640;8.942;1.220;-21.929;9.338;13.034;-16.621;9.713;26.887;-16.785;8.075;27.947;-13.799;7.698;34.816;-12.725;8.508;36.905;-11.396;8.946;39.160;-10.577;9.476;40.518;-16.924;8.906;27.874;-15.218;9.954;35.062;-13.354;11.457;38.444;-11.769;12.597;40.697;-10.668;13.367;42.239;-16.504;10.281;27.253;-15.543;12.477;35.002;-14.120;13.672;38.670;-11.973;14.974;40.970;-10.578;15.681;42.469;-16.894;11.220;26.884;-15.543;14.596;34.007;-13.879;15.826;37.278;-12.305;16.635;39.511;-11.115;16.954;41.167;-15.740;12.287;28.502;-15.275;15.698;29.407;-13.547;17.038;31.112;-13.092;19.639;32.027;0.072;38.970;4.891;14.254;37.009;6.232;19.996;23.822;4.203;26.342;9.245;1.962;22.207;10.749;13.856;17.518;12.312;28.468;17.503;10.693;29.765;16.863;10.191;36.440;16.192;10.021;39.281;14.927;9.988;41.513;14.105;10.154;42.998;17.541;11.605;29.715;17.817;12.480;36.264;17.095;12.826;40.543;15.502;13.165;43.452;14.353;13.453;45.182;17.069;12.971;29.657;18.075;14.743;36.533;17.502;15.327;41.152;15.900;15.606;43.718;14.470;16.036;45.314;17.093;13.835;29.340;17.684;17.199;35.995;17.503;18.118;39.672;16.342;18.222;42.030;15.127;18.453;43.884;16.654;14.713;29.793;16.752;18.336;31.097;16.593;20.252;33.845;16.586;22.949;34.389;0.000;0.000;0.000;-7.270;-12.417;1.260;-9.431;-21.418;21.131;-11.968;-31.985;44.457;-11.707;-66.695;15.883;7.882;-12.259;-0.079;13.148;-22.147;19.578;19.327;-33.756;42.652;14.246;-67.232;13.091
2608.000;104.320;-0.226;7.807;-0.530;-0.467;15.121;0.827;-0.932;28.027;5.575;-1.878;43.847;6.857;-2.010;47.718;9.940;-2.024;54.262;10.697;-8.865;58.274;11.956;4.785;58.470;10.060;-4.323;60.768;18.742;2.196;60.862;17.837;-3.181;38.773;4.895;-17.078;36.136;6.196;-21.687;23.218;3.948;-26.782;8.941;1.463;-22.036;9.409;13.260;-16.688;9.873;27.093;-16.855;8.225;28.156;-13.830;7.892;35.017;-12.773;8.693;37.113;-11.460;9.132;39.378;-10.661;9.657;40.750;-16.988;9.056;28.076;-15.242;10.148;35.260;-13.288;11.680;38.573;-11.557;12.800;40.735;-10.359;13.547;42.214;-16.579;10.445;27.460;-15.588;12.677;35.175;-14.060;13.906;38.790;-11.848;15.211;41.022;-10.406;15.900;42.483;-16.970;11.378;27.087;-15.589;14.798;34.164;-13.862;15.995;37.411;-12.248;16.795;39.617;-11.020;17.060;41.255;-15.785;12.456;28.704;-15.246;15.850;29.601;-13.466;17.148;31.277;-12.954;19.738;32.194;0.041;38.964;4.917;14.227;37.006;6.232;19.967;23.812;4.220;26.311;9.229;1.996;22.153;10.736;13.886;17.439;12.312;28.493;17.447;10.685;29.793;16.799;10.220;36.472;16.146;10.081;39.306;14.909;10.034;41.566;14.135;10.215;43.075;17.476;11.597;29.738;17.727;12.508;36.281;16.989;12.923;40.547;15.415;13.251;43.477;14.310;13.550;45.234;16.989;12.962;29.682;17.951;14.779;36.544;17.275;15.381;41.137;15.677;15.668;43.700;14.263;16.093;45.312;17.002;13.825;29.361;17.538;17.215;36.002;17.292;18.138;39.676;16.129;18.243;42.037;14.915;18.467;43.893;16.478;14.708;29.821;16.597;18.323;31.108;16.440;20.243;33.856;16.309;22.942;34.376;0.000;0.000;0.000;-7.266;-12.418;1.265;-9.406;-21.421;21.134;-11.918;-31.989;44.458;-11.706;-66.699;15.875;7.885;-12.257;-0.083;13.158;-22.149;19.569;19.346;-33.763;42.639;14.248;-67.240;13.088
2609.000;104.360;-0.226;7.808;-0.528;-0.472;15.121;0.834;-0.952;28.026;5.597;-1.890;43.846;6.889;-2.018;47.716;9.974;-2.033;54.260;10.733;-8.872;58.274;11.996;4.777;58.466;10.094;-4.326;60.764;18.781;2.192;60.855;17.873;-3.197;38.774;4.925;-17.090;36.154;6.249;-21.737;23.226;4.102;-26.872;8.936;1.728;-22.092;9.527;13.499;-16.703;10.140;27.303;-16.878;8.478;28.380;-13.855;8.191;35.255;-12.814;8.952;37.372;-11.521;9.364;39.635;-10.704;9.873;41.002;-16.997;9.311;28.284;-15.252;10.498;35.458;-13.263;12.032;38.749;-11.467;13.166;40.856;-10.185;13.898;42.272;-16.599;10.715;27.665;-15.580;13.029;35.342;-13.995;14.303;38.918;-11.728;15.617;41.101;-10.271;16.315;42.544;-16.982;11.646;27.281;-15.572;15.129;34.310;-13.820;16.341;37.531;-12.160;17.146;39.709;-10.903;17.434;41.322;-15.795;12.728;28.903;-15.099;16.113;29.752;-13.270;17.341;31.428;-12.608;19.916;32.287;0.026;38.963;4.944;14.213;37.000;6.250;19.963;23.804;4.258;26.318;9.219;2.056;22.134;10.708;13.943;17.388;12.260;28.550;17.414;10.631;29.846;16.761;10.180;36.518;16.094;10.052;39.358;14.900;10.013;41.629;14.162;10.188;43.157;17.432;11.543;29.790;17.658;12.458;36.331;16.878;12.876;40.592;15.324;13.212;43.525;14.233;13.505;45.292;16.917;12.914;29.749;17.811;14.746;36.608;17.041;15.318;41.168;15.392;15.597;43.703;13.987;16.003;45.327;16.924;13.777;29.427;17.401;17.155;36.044;17.026;18.066;39.728;15.795;18.134;42.049;14.524;18.330;43.870;16.468;14.654;29.879;16.449;18.268;31.161;16.260;20.161;33.880;16.107;22.842;34.481;0.000;0.000;0.000;-7.268;-12.417;1.264;-9.398;-21.419;21.135;-11.899;-31.986;44.461;-11.720;-66.699;15.878;7.882;-12.259;-0.082;13.150;-22.148;19.572;19.332;-33.759;42.645;14.237;-67.239;13.092
2610.000;104.400;-0.225;7.807;-0.526;-0.472;15.119;0.839;-0.952;28.021;5.607;-1.882;43.842;6.899;-2.009;47.711;9.984;-2.028;54.255;10.743;-8.870;58.266;11.996;4.782;58.464;10.116;-4.336;60.756;18.789;2.183;60.851;17.891;-3.192;38.770;4.936;-17.082;36.173;6.280;-21.750;23.224;4.256;-26.909;8.913;2.018;-22.103;9.691;13.762;-16.679;10.529;27.534;-16.859;8.886;28.626;-13.898;8.634;35.543;-12.909;9.251;37.702;-11.625;9.586;39.968;-10.750;10.054;41.315;-16.962;9.718;28.517;-15.267;11.006;35.685;-13.256;12.531;38.975;-11.385;13.674;41.026;-10.074;14.394;42.420;-16.564;11.119;27.893;-15.541;13.547;35.524;-13.895;14.846;39.053;-11.589;16.174;41.177;-10.091;16.903;42.560;-16.948;12.041;27.497;-15.543;15.615;34.470;-13.757;16.859;37.657;-12.058;17.686;39.797;-10.777;17.984;41.389;-15.785;13.122;29.099;-14.923;16.507;29.924;-13.067;17.693;31.572;-12.275;20.251;32.369;0.030;38.958;4.954;14.216;36.992;6.264;19.988;23.801;4.283;26.367;9.220;2.094;22.145;10.644;13.983;17.357;12.119;28.594;17.399;10.472;29.877;16.736;10.004;36.546;16.079;9.871;39.381;14.889;9.791;41.664;14.158;9.948;43.197;17.401;11.385;29.824;17.599;12.295;36.364;16.804;12.665;40.634;15.200;12.971;43.562;14.134;13.255;45.345;16.865;12.743;29.817;17.726;14.573;36.656;16.800;15.083;41.200;15.066;15.311;43.683;13.599;15.681;45.261;16.851;13.607;29.498;17.252;16.976;36.081;16.656;17.834;39.755;15.346;17.852;42.018;13.967;18.017;43.761;16.351;14.492;29.919;16.299;18.106;31.212;16.053;19.975;33.952;15.836;22.650;34.557;0.000;0.000;0.000;-7.270;-12.417;1.258;-9.407;-21.415;21.129;-11.917;-31.979;44.455;-11.747;-66.700;15.875;7.882;-12.259;-0.083;13.134;-22.148;19.576;19.298;-33.757;42.654;14.225;-67.236;13.093
2611.000;104.440;-0.223;7.808;-0.524;-0.465;15.121;0.841;-0.933;28.023;5.608;-1.863;43.844;6.896;-1.989;47.714;9.983;-2.004;54.255;10.750;-8.856;58.262;11.967;4.803;58.470;10.136;-4.350;60.775;18.770;2.173;60.875;17.895;-3.173;38.772;4.934;-17.060;36.218;6.277;-21.735;23.247;4.448;-26.902;8.911;2.426;-22.078;9.935;14.141;-16.624;11.072;27.880;-16.810;9.422;28.981;-13.987;9.195;35.952;-13.087;9.577;38.192;-11.787;9.785;40.496;-10.976;10.148;41.913;-16.889;10.255;28.850;-15.283;11.678;36.028;-13.186;13.173;39.287;-10.988;14.244;41.043;-9.464;14.911;42.232;-16.506;11.688;28.226;-15.506;14.195;35.823;-13.768;15.515;39.312;-11.313;16.835;41.267;-9.694;17.537;42.522;-16.887;12.604;27.813;-15.555;16.252;34.732;-13.756;17.539;37.909;-11.987;18.384;39.999;-10.652;18.720;41.538;-15.727;13.685;29.444;-14.632;17.048;30.211;-12.639;18.137;31.786;-11.798;20.702;32.508;0.049;38.960;4.952;14.235;36.998;6.273;20.037;23.819;4.284;26.449;9.254;2.086;22.169;10.541;13.983;17.312;11.858;28.607;17.375;10.209;29.873;16.716;9.662;36.521;16.023;9.470;39.357;14.817;9.353;41.621;14.064;9.479;43.146;17.361;11.122;29.827;17.533;11.951;36.382;16.662;12.278;40.634;14.989;12.527;43.518;13.852;12.754;45.265;16.822;12.447;29.850;17.598;14.240;36.683;16.495;14.658;41.198;14.580;14.832;43.545;12.998;15.104;45.028;16.783;13.313;29.538;17.085;16.655;36.098;16.293;17.449;39.754;14.856;17.385;41.940;13.374;17.446;43.603;16.306;14.202;29.927;16.099;17.798;31.277;15.750;19.615;34.066;15.409;22.269;34.707;0.000;0.000;0.000;-7.271;-12.417;1.250;-9.425;-21.416;21.120;-11.953;-31.980;44.446;-11.762;-66.703;15.868;7.881;-12.260;-0.083;13.118;-22.154;19.581;19.264;-33.770;42.666;14.212;-67.238;13.089
2612.000;104.480;-0.219;7.813;-0.524;-0.457;15.132;0.839;-0.923;28.044;5.600;-1.831;43.867;6.874;-1.957;47.734;9.971;-1.981;54.259;10.774;-8.851;58.255;11.922;4.817;58.489;10.167;-4.391;60.833;18.731;2.137;60.945;17.893;-3.148;38.795;4.917;-17.036;36.336;6.254;-21.728;23.329;4.801;-26.914;8.953;3.193;-22.016;10.351;14.835;-16.466;11.947;28.494;-16.677;10.296;29.600;-14.086;10.000;36.621;-13.347;10.139;38.950;-12.213;10.012;41.368;-11.507;10.160;42.876;-16.709;11.127;29.448;-15.219;12.639;36.659;-12.816;13.911;39.815;-10.135;14.782;40.900;-8.237;15.267;41.486;-16.293;12.571;28.843;-15.380;15.186;36.376;-13.355;16.461;39.747;-10.553;17.528;41.332;-8.653;18.049;42.232;-16.657;13.480;28.408;-15.395;17.230;35.267;-13.718;18.521;38.466;-11.780;19.294;40.452;-10.336;19.556;41.905;-15.480;14.541;30.053;-14.014;17.794;30.857;-11.931;18.691;32.435;-10.790;21.159;33.079;0.075;38.979;4.935;14.247;37.028;6.272;20.091;23.869;4.269;26.550;9.325;2.056;22.167;10.367;13.969;17.177;11.399;28.622;17.300;9.680;29.835;16.660;9.009;36.461;15.913;8.672;39.284;14.582;8.427;41.467;13.728;8.479;42.943;17.243;10.592;29.796;17.393;11.381;36.384;16.387;11.533;40.615;14.461;11.635;43.356;13.187;11.789;45.015;16.702;11.910;29.904;17.431;13.666;36.710;15.974;13.921;41.146;13.784;13.963;43.237;11.918;14.098;44.368;16.630;12.777;29.600;16.774;16.046;36.140;15.646;16.693;39.732;14.003;16.460;41.743;12.334;16.371;43.217;16.094;13.658;29.959;15.661;17.207;31.428;15.050;18.871;34.301;14.401;21.377;35.235;0.000;0.000;0.000;-7.278;-12.414;1.237;-9.457;-21.412;21.103;-12.016;-31.976;44.423;-11.785;-66.706;15.863;7.876;-12.263;-0.073;13.097;-22.161;19.597;19.224;-33.782;42.688;14.196;-67.236;13.094
2613.000;104.520;-0.214;7.821;-0.527;-0.450;15.147;0.830;-0.911;28.076;5.578;-1.786;43.904;6.820;-1.911;47.767;9.937;-1.946;54.262;10.816;-8.852;58.222;11.861;4.827;58.532;10.204;-4.461;60.922;18.668;2.071;61.070;17.876;-3.115;38.830;4.874;-17.000;36.507;6.207;-21.764;23.452;5.449;-27.028;9.023;4.613;-21.924;11.003;16.089;-16.106;13.308;29.577;-16.498;11.797;30.727;-14.141;11.369;37.753;-13.619;11.106;40.117;-12.974;10.378;42.607;-12.611;10.182;44.227;-16.476;12.626;30.550;-14.963;14.226;37.763;-11.919;15.126;40.507;-8.933;15.520;40.373;-6.927;15.658;39.997;-15.877;13.947;29.937;-14.897;16.793;37.275;-12.283;17.816;40.353;-8.985;18.181;40.982;-6.822;18.132;41.082;-16.144;14.867;29.452;-14.709;18.815;36.083;-12.724;19.881;39.130;-10.109;20.100;40.320;-8.230;19.923;41.158;-14.982;15.840;30.994;-12.965;18.920;31.826;-10.814;19.654;33.338;-9.446;22.079;33.579;0.108;39.007;4.889;14.264;37.051;6.243;20.167;23.915;4.267;26.692;9.395;2.084;22.134;9.979;14.018;16.928;10.472;28.705;17.176;8.708;29.845;16.594;7.780;36.415;15.740;7.258;39.201;14.147;6.873;41.201;13.108;6.834;42.553;17.046;9.612;29.827;17.185;10.224;36.454;15.681;10.123;40.554;13.352;9.957;42.916;11.730;9.895;44.245;16.427;10.869;30.050;17.003;12.500;36.810;15.096;12.448;41.074;12.570;12.106;42.756;10.525;12.035;43.524;16.281;11.733;29.766;16.134;14.807;36.311;14.676;15.137;39.804;12.813;14.587;41.559;11.000;14.201;42.797;15.634;12.538;30.093;14.681;15.920;31.827;13.733;17.214;34.860;12.485;19.265;36.206;0.000;0.000;0.000;-7.283;-12.412;1.222;-9.500;-21.404;21.087;-12.103;-31.959;44.406;-11.804;-66.708;15.865;7.874;-12.265;-0.056;13.079;-22.165;19.622;19.188;-33.789;42.722;14.185;-67.234;13.111
