Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
407.000;16.280;0.044;7.218;-0.210;0.035;14.015;-0.362;-0.044;26.041;-0.575;-0.188;41.931;-1.129;-0.236;46.209;2.007;0.228;52.710;3.270;-6.645;56.726;4.328;7.095;56.871;3.253;-2.495;58.821;11.490;4.066;58.891;10.976;-1.656;36.734;-2.589;-15.682;35.094;-1.614;-21.021;22.275;-3.306;-26.921;8.106;-5.175;-23.263;6.124;7.043;-19.251;3.707;21.353;-19.828;2.106;22.212;-16.853;-0.101;28.890;-15.757;-0.192;31.051;-14.431;-0.655;33.200;-13.466;-0.562;34.562;-19.846;2.947;22.299;-17.974;2.310;29.525;-16.057;2.677;33.158;-14.003;3.016;35.364;-12.599;3.113;36.847;-19.057;4.145;21.833;-17.741;4.854;29.926;-16.237;5.147;33.732;-13.851;5.287;36.122;-12.285;5.348;37.617;-19.192;5.181;21.632;-17.440;7.077;29.318;-15.950;7.525;32.771;-13.926;7.642;34.837;-12.298;7.400;36.083;-18.015;5.946;23.336;-17.079;9.133;24.630;-15.287;10.012;26.308;-14.645;12.478;27.455;1.565;36.771;-2.389;15.627;34.118;-0.049;21.310;20.647;-1.352;27.590;5.757;-2.793;21.855;5.059;8.688;15.195;3.869;22.766;14.944;2.148;23.746;13.183;0.119;29.969;12.145;-1.146;32.470;10.712;-1.857;34.270;9.564;-2.288;35.455;15.016;3.045;23.909;14.089;2.434;30.444;12.486;1.732;34.468;10.176;1.494;36.897;8.649;1.466;38.334;14.483;4.284;24.020;14.225;4.681;31.181;12.801;4.370;35.620;10.623;4.255;37.755;8.833;4.302;39.009;14.543;5.192;23.876;13.881;7.275;30.929;12.321;7.811;34.404;10.655;7.741;36.377;8.959;7.735;37.822;14.141;6.074;24.370;14.271;9.401;26.149;13.960;11.107;28.912;14.035;13.816;29.388;0.000;0.000;0.000;-7.642;-12.222;-0.913;-9.690;-32.990;0.211;-12.093;-57.371;1.531;-10.756;-101.550;-6.339;7.564;-12.392;-1.280;9.337;-33.115;0.061;11.419;-57.442;1.636;10.638;-101.830;-7.401
408.000;16.320;0.044;7.218;-0.211;0.035;14.014;-0.366;-0.045;26.041;-0.586;-0.187;41.931;-1.144;-0.233;46.210;1.992;0.233;52.712;3.255;-6.636;56.734;4.317;7.103;56.869;3.226;-2.476;58.833;11.472;4.085;58.897;10.951;-1.656;36.734;-2.602;-15.683;35.094;-1.623;-21.022;22.277;-3.307;-26.924;8.111;-5.168;-23.274;6.143;7.056;-19.272;3.746;21.377;-19.850;2.149;22.236;-16.864;-0.067;28.901;-15.759;-0.112;31.068;-14.416;-0.588;33.196;-13.424;-0.494;34.539;-19.873;2.990;22.324;-17.989;2.351;29.543;-16.028;2.712;33.156;-13.961;3.059;35.343;-12.541;3.166;36.811;-19.082;4.186;21.851;-17.740;4.897;29.939;-16.247;5.196;33.739;-13.834;5.330;36.102;-12.248;5.379;37.576;-19.220;5.225;21.649;-17.470;7.112;29.335;-15.959;7.559;32.778;-13.905;7.650;34.838;-12.310;7.426;36.130;-18.028;5.994;23.365;-17.100;9.170;24.643;-15.287;10.046;26.314;-14.667;12.512;27.472;1.565;36.769;-2.403;15.629;34.117;-0.071;21.308;20.643;-1.381;27.585;5.752;-2.830;21.847;5.063;8.650;15.182;3.885;22.729;14.935;2.163;23.709;13.158;0.122;29.920;12.130;-1.125;32.433;10.668;-1.843;34.221;9.530;-2.278;35.414;15.008;3.059;23.872;14.067;2.458;30.409;12.435;1.739;34.418;10.119;1.504;36.827;8.562;1.463;38.232;14.473;4.289;23.987;14.186;4.716;31.144;12.734;4.379;35.570;10.537;4.269;37.684;8.719;4.321;38.896;14.528;5.197;23.843;13.861;7.310;30.886;12.296;7.831;34.359;10.578;7.745;36.325;8.908;7.747;37.801;14.122;6.090;24.311;14.259;9.416;26.096;13.968;11.117;28.875;14.003;13.828;29.346;0.000;0.000;0.000;-7.641;-12.223;-0.908;-9.691;-32.989;0.217;-12.099;-57.366;1.539;-10.771;-101.549;-6.329;7.565;-12.391;-1.279;9.336;-33.114;0.063;11.414;-57.440;1.640;10.624;-101.829;-7.393
409.000;16.360;0.044;7.217;-0.215;0.033;14.012;-0.374;-0.053;26.036;-0.602;-0.201;41.926;-1.164;-0.246;46.207;1.970;0.222;52.712;3.230;-6.647;56.730;4.296;7.090;56.872;3.194;-2.484;58.835;11.446;4.076;58.902;10.921;-1.670;36.728;-2.620;-15.693;35.080;-1.628;-21.031;22.260;-3.310;-26.932;8.090;-5.170;-23.277;6.147;7.057;-19.267;3.779;21.382;-19.844;2.180;22.249;-16.853;-0.015;28.887;-15.721;-0.039;31.037;-14.284;-0.464;33.139;-13.251;-0.348;34.449;-19.868;3.021;22.336;-17.967;2.400;29.548;-15.917;2.792;33.115;-13.822;3.099;35.255;-12.354;3.219;36.674;-19.082;4.231;21.850;-17.726;4.958;29.934;-16.199;5.248;33.723;-13.745;5.413;36.038;-12.128;5.457;37.478;-19.232;5.259;21.652;-17.472;7.150;29.330;-15.931;7.613;32.755;-13.915;7.672;34.814;-12.270;7.437;36.040;-18.017;6.009;23.332;-17.100;9.209;24.629;-15.293;10.084;26.302;-14.640;12.551;27.442;1.552;36.765;-2.424;15.618;34.120;-0.097;21.308;20.650;-1.411;27.596;5.763;-2.864;21.858;5.078;8.617;15.195;3.903;22.698;14.943;2.190;23.681;13.159;0.153;29.886;12.086;-1.110;32.373;10.626;-1.820;34.161;9.465;-2.250;35.336;15.016;3.086;23.844;14.058;2.476;30.376;12.345;1.761;34.358;9.984;1.510;36.713;8.381;1.463;38.065;14.478;4.309;23.955;14.174;4.726;31.108;12.644;4.421;35.515;10.392;4.302;37.568;8.510;4.353;38.678;14.533;5.217;23.810;13.842;7.324;30.838;12.263;7.858;34.300;10.533;7.790;36.258;8.830;7.774;37.697;14.122;6.113;24.281;14.254;9.442;26.044;13.917;11.157;28.832;13.995;13.873;29.271;0.000;0.000;0.000;-7.644;-12.222;-0.900;-9.697;-32.988;0.222;-12.108;-57.365;1.538;-10.795;-101.548;-6.334;7.562;-12.393;-1.280;9.332;-33.115;0.065;11.411;-57.441;1.645;10.610;-101.830;-7.387
410.000;16.400;0.044;7.216;-0.217;0.033;14.011;-0.382;-0.052;26.034;-0.623;-0.207;41.924;-1.190;-0.253;46.207;1.944;0.207;52.714;3.200;-6.663;56.733;4.264;7.075;56.874;3.164;-2.499;58.840;11.414;4.061;58.908;10.889;-1.674;36.725;-2.643;-15.698;35.071;-1.640;-21.041;22.253;-3.323;-26.946;8.085;-5.184;-23.276;6.190;7.045;-19.250;3.880;21.374;-19.819;2.263;22.247;-16.765;0.126;28.847;-15.557;0.171;30.947;-13.932;-0.121;32.926;-12.741;0.099;34.078;-19.841;3.105;22.330;-17.885;2.526;29.537;-15.693;2.905;33.013;-13.485;3.196;35.008;-11.875;3.319;36.263;-19.056;4.328;21.845;-17.697;5.057;29.906;-16.051;5.339;33.661;-13.478;5.531;35.830;-11.762;5.520;37.151;-19.201;5.363;21.645;-17.429;7.265;29.294;-15.825;7.698;32.712;-13.755;7.759;34.721;-12.121;7.516;35.959;-17.997;6.120;23.318;-17.032;9.310;24.594;-15.178;10.166;26.240;-14.502;12.631;27.368;1.547;36.763;-2.449;15.615;34.122;-0.138;21.316;20.655;-1.456;27.618;5.771;-2.914;21.899;5.101;8.579;15.258;3.944;22.678;15.014;2.232;23.662;13.154;0.165;29.835;12.044;-1.088;32.302;10.512;-1.770;34.046;9.312;-2.192;35.182;15.087;3.128;23.824;14.126;2.496;30.366;12.159;1.789;34.252;9.601;1.575;36.386;7.865;1.570;37.563;14.538;4.322;23.943;14.191;4.803;31.080;12.358;4.441;35.358;9.948;4.351;37.224;7.999;4.420;38.210;14.583;5.230;23.795;13.872;7.383;30.788;12.207;7.905;34.219;10.417;7.816;36.117;8.668;7.780;37.497;14.185;6.163;24.262;14.298;9.496;25.990;13.951;11.211;28.783;13.969;13.930;29.207;0.000;0.000;0.000;-7.645;-12.222;-0.893;-9.698;-32.986;0.224;-12.108;-57.361;1.534;-10.801;-101.543;-6.349;7.561;-12.394;-1.284;9.330;-33.115;0.058;11.407;-57.439;1.632;10.598;-101.827;-7.403
411.000;16.440;0.044;7.213;-0.220;0.033;14.006;-0.389;-0.050;26.024;-0.640;-0.210;41.914;-1.212;-0.253;46.199;1.922;0.214;52.706;3.183;-6.659;56.719;4.242;7.079;56.871;3.149;-2.502;58.832;11.394;4.059;58.905;10.872;-1.677;36.714;-2.662;-15.699;35.065;-1.633;-21.058;22.253;-3.312;-26.981;8.093;-5.169;-23.257;6.342;7.054;-19.170;4.203;21.385;-19.656;2.532;22.242;-16.457;0.522;28.782;-15.086;0.660;30.820;-13.173;0.499;32.579;-11.925;0.802;33.650;-19.694;3.373;22.326;-17.661;2.791;29.526;-15.297;3.204;32.894;-12.878;3.536;34.659;-11.131;3.698;35.710;-18.988;4.697;21.835;-17.566;5.371;29.902;-15.919;5.664;33.663;-13.242;5.917;35.694;-11.371;5.942;36.784;-19.191;5.731;21.651;-17.397;7.590;29.287;-15.723;8.005;32.683;-13.584;8.088;34.603;-11.915;7.819;35.789;-17.970;6.525;23.371;-16.852;9.668;24.577;-14.854;10.384;26.136;-13.928;12.775;27.249;1.545;36.753;-2.471;15.617;34.121;-0.174;21.333;20.660;-1.499;27.650;5.781;-2.962;21.962;5.125;8.554;15.358;3.985;22.690;15.100;2.262;23.658;13.186;0.196;29.797;11.899;-1.041;32.199;10.176;-1.621;33.810;8.847;-1.986;34.815;15.174;3.159;23.815;14.147;2.520;30.380;11.700;1.823;34.006;8.799;1.680;35.666;6.904;1.774;36.561;14.616;4.369;23.965;14.202;4.859;31.060;11.909;4.478;35.118;9.236;4.426;36.605;7.151;4.536;37.250;14.666;5.276;23.818;13.836;7.417;30.746;11.966;7.861;34.069;10.003;7.695;35.778;8.153;7.612;37.019;14.252;6.194;24.215;14.248;9.570;25.939;13.681;11.219;28.761;13.544;13.921;29.267;0.000;0.000;0.000;-7.645;-12.222;-0.884;-9.698;-32.987;0.234;-12.108;-57.364;1.548;-10.802;-101.546;-6.344;7.560;-12.394;-1.283;9.330;-33.115;0.058;11.409;-57.438;1.632;10.597;-101.830;-7.399
412.000;16.480;0.045;7.212;-0.224;0.038;14.003;-0.400;-0.037;26.020;-0.669;-0.207;41.910;-1.227;-0.246;46.193;1.917;0.237;52.698;3.194;-6.645;56.714;4.192;7.102;56.863;3.214;-2.547;58.831;11.377;4.018;58.902;10.910;-1.670;36.710;-2.682;-15.687;35.050;-1.625;-21.115;22.247;-3.197;-27.116;8.098;-4.935;-23.306;6.847;7.269;-19.004;5.135;21.557;-19.293;3.363;22.401;-15.579;1.666;28.736;-13.997;1.914;30.647;-11.880;2.014;32.156;-10.508;2.445;33.010;-19.358;4.203;22.480;-16.920;3.772;29.598;-14.263;4.266;32.742;-11.641;4.785;34.152;-9.755;5.041;34.899;-18.937;5.583;22.019;-17.056;6.360;30.012;-15.139;6.788;33.640;-12.306;7.138;35.392;-10.296;7.268;36.187;-19.200;6.592;21.851;-17.102;8.603;29.413;-15.377;9.110;32.755;-13.134;9.343;34.537;-11.337;9.182;35.540;-17.899;7.591;23.548;-16.719;10.765;24.664;-14.560;11.416;26.026;-13.479;13.775;27.062;1.552;36.751;-2.490;15.629;34.143;-0.196;21.372;20.694;-1.522;27.719;5.829;-2.988;22.045;5.148;8.550;15.451;3.983;22.731;15.167;2.211;23.652;13.140;0.162;29.730;11.541;-1.002;32.010;9.500;-1.413;33.297;7.967;-1.629;34.015;15.203;3.112;23.806;14.093;2.463;30.390;11.136;1.846;33.655;7.905;1.790;34.615;5.863;1.973;35.057;14.690;4.330;24.006;14.075;4.816;31.023;11.297;4.401;34.763;8.405;4.397;35.772;6.231;4.478;35.982;14.730;5.239;23.860;13.693;7.346;30.698;11.455;7.661;33.805;9.284;7.409;35.199;7.269;7.210;36.129;14.263;6.192;24.227;13.915;9.569;25.937;12.750;10.970;28.772;12.053;13.526;29.517;0.000;0.000;0.000;-7.645;-12.222;-0.886;-9.698;-32.989;0.239;-12.108;-57.366;1.560;-10.795;-101.549;-6.325;7.561;-12.395;-1.275;9.332;-33.114;0.069;11.411;-57.438;1.647;10.605;-101.829;-7.387
413.000;16.520;0.048;7.210;-0.229;0.049;13.998;-0.412;-0.006;26.010;-0.694;-0.189;41.901;-1.228;-0.238;46.180;1.928;0.238;52.683;3.228;-6.664;56.701;4.061;7.103;56.846;3.410;-2.737;58.822;11.340;3.837;58.891;11.029;-1.646;36.702;-2.694;-15.647;35.023;-1.635;-21.299;22.235;-2.850;-27.545;8.101;-4.192;-23.394;7.782;7.881;-18.718;7.145;22.063;-18.864;5.450;23.020;-14.262;4.162;28.884;-12.472;4.571;30.577;-10.165;4.787;31.754;-8.700;5.327;32.353;-18.978;6.286;23.085;-15.631;6.249;29.871;-12.619;6.979;32.667;-9.915;7.613;33.781;-7.972;7.968;34.313;-18.587;7.706;22.465;-15.836;8.852;30.201;-13.418;9.440;33.541;-10.330;9.900;34.760;-8.213;10.131;35.158;-18.936;8.669;22.325;-16.041;11.028;29.519;-14.066;11.692;32.700;-11.640;12.130;34.185;-9.719;12.133;34.942;-17.599;9.816;23.872;-16.210;13.036;24.638;-13.878;13.798;25.611;-12.828;16.317;26.211;1.576;36.746;-2.496;15.652;34.179;-0.173;21.444;20.757;-1.509;27.847;5.923;-2.985;22.129;5.160;8.538;15.481;3.896;22.718;15.253;2.131;23.608;12.911;-0.052;29.533;10.968;-1.223;31.579;8.671;-1.410;32.425;6.993;-1.435;32.729;15.272;3.028;23.782;13.771;2.229;30.301;10.392;1.542;33.129;7.020;1.468;33.390;4.932;1.653;33.302;14.665;4.200;23.977;13.624;4.564;30.921;10.484;4.033;34.338;7.462;3.903;34.875;5.281;3.920;34.720;14.685;5.111;23.844;13.165;7.038;30.585;10.565;7.179;33.391;8.195;6.699;34.406;6.075;6.353;34.998;14.093;6.045;24.193;13.295;9.380;25.902;11.556;10.366;28.638;10.149;12.549;29.548;0.000;0.000;0.000;-7.644;-12.222;-0.893;-9.702;-32.991;0.244;-12.119;-57.371;1.579;-10.789;-101.538;-6.298;7.562;-12.396;-1.251;9.328;-33.115;0.100;11.402;-57.437;1.686;10.608;-101.828;-7.359
414.000;16.560;0.054;7.209;-0.234;0.067;13.997;-0.422;0.042;26.007;-0.715;-0.123;41.898;-1.251;-0.194;46.176;1.908;0.233;52.675;3.223;-6.708;56.673;3.790;7.073;56.856;3.689;-3.081;58.784;11.225;3.500;58.871;11.177;-1.580;36.701;-2.721;-15.567;35.061;-1.685;-21.614;22.327;-2.179;-28.298;8.252;-2.725;-23.547;9.392;8.987;-18.182;10.471;22.807;-18.144;8.888;23.932;-12.671;8.280;29.165;-10.779;8.874;30.642;-8.272;9.273;31.367;-6.761;9.927;31.660;-18.283;9.722;23.941;-13.951;10.388;30.127;-10.718;11.398;32.557;-7.925;12.268;33.199;-5.937;12.730;33.323;-18.077;11.086;23.152;-14.211;12.981;30.278;-11.346;13.934;33.179;-8.066;14.594;33.672;-5.923;14.891;33.569;-18.473;12.047;22.975;-14.609;15.119;29.414;-12.111;16.083;32.154;-9.480;16.670;33.187;-7.480;16.777;33.688;-16.911;13.334;24.177;-15.390;16.647;24.400;-12.928;17.455;24.879;-11.902;20.054;24.937;1.641;36.741;-2.513;15.692;34.198;-0.121;21.563;20.818;-1.457;28.053;6.029;-2.933;22.192;5.090;8.514;15.351;3.610;22.620;15.180;1.783;23.427;12.569;-0.660;29.123;10.488;-1.949;30.951;8.055;-2.183;31.414;6.350;-2.219;31.419;15.110;2.676;23.610;13.191;1.661;30.002;9.563;0.643;32.407;6.215;0.406;32.248;4.160;0.516;31.844;14.459;3.897;23.827;12.907;3.931;30.706;9.473;3.111;33.764;6.417;2.707;33.971;4.265;2.635;33.596;14.447;4.812;23.724;12.228;6.374;30.363;9.340;6.215;32.844;6.904;5.515;33.555;4.754;5.030;33.884;13.696;5.632;24.060;12.345;8.801;25.810;10.199;9.373;28.448;8.355;11.214;29.336;0.000;0.000;0.000;-7.644;-12.220;-0.917;-9.712;-32.983;0.229;-12.140;-57.357;1.574;-10.796;-101.545;-6.239;7.563;-12.399;-1.212;9.314;-33.115;0.147;11.369;-57.433;1.742;10.588;-101.823;-7.313
415.000;16.600;0.059;7.207;-0.238;0.086;13.993;-0.429;0.099;26.000;-0.724;-0.009;41.890;-1.294;-0.108;46.170;1.865;0.229;52.657;3.200;-6.764;56.595;3.432;7.001;56.887;4.054;-3.549;58.677;11.062;3.025;58.816;11.360;-1.480;36.695;-2.757;-15.434;35.179;-1.737;-22.000;22.607;-1.127;-29.257;8.712;-0.453;-23.774;11.566;10.530;-17.563;14.665;23.575;-17.268;13.242;24.863;-10.890;13.507;29.041;-8.807;14.363;30.060;-6.260;15.065;30.046;-4.783;15.817;29.824;-17.470;14.063;24.820;-12.123;15.660;29.976;-8.624;17.103;31.691;-5.795;18.111;31.566;-3.879;18.657;31.105;-17.458;15.290;23.879;-12.462;18.257;29.899;-9.315;19.526;32.343;-6.043;20.393;31.989;-4.020;20.718;31.289;-17.914;16.210;23.650;-13.214;20.185;28.957;-10.437;21.643;31.176;-7.762;22.512;31.750;-5.717;22.758;31.897;-16.276;17.744;24.415;-14.717;21.074;23.948;-12.265;21.919;23.806;-11.237;24.461;23.270;1.740;36.725;-2.540;15.753;34.174;-0.078;21.726;20.839;-1.371;28.327;6.101;-2.800;22.197;4.834;8.497;15.005;2.966;22.436;14.999;1.111;23.169;12.288;-1.809;28.557;10.282;-3.367;30.226;7.849;-3.864;30.493;6.161;-4.075;30.367;14.836;1.988;23.372;12.637;0.492;29.586;8.966;-0.964;31.680;5.692;-1.596;31.231;3.673;-1.732;30.680;14.032;3.060;23.628;12.046;2.666;30.351;8.513;1.304;33.108;5.517;0.580;33.058;3.425;0.285;32.497;13.898;3.968;23.542;11.096;5.032;30.055;8.047;4.385;32.282;5.681;3.344;32.737;3.603;2.545;32.830;13.038;4.700;23.888;10.967;7.470;25.736;8.574;7.524;28.207;6.402;8.948;29.119;0.000;0.000;0.000;-7.639;-12.221;-0.949;-9.727;-32.983;0.208;-12.177;-57.356;1.566;-10.821;-101.544;-6.177;7.570;-12.400;-1.162;9.299;-33.119;0.206;11.329;-57.441;1.813;10.567;-101.832;-7.247
