Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2160.000;86.400;0.042;7.166;-0.295;0.059;13.913;-0.579;0.060;25.850;-1.089;-0.294;41.706;-2.232;-0.371;46.048;0.685;-0.058;52.536;1.624;-6.902;56.563;2.815;6.817;56.683;1.497;-2.621;58.630;9.908;3.930;58.687;9.278;-1.721;36.440;-3.472;-15.869;34.411;-2.065;-20.066;20.875;-1.508;-24.706;5.914;-0.892;-22.072;7.414;11.600;-19.125;9.225;26.366;-19.507;7.604;26.916;-17.047;4.935;33.382;-16.099;4.653;35.691;-15.089;3.889;37.866;-14.291;3.859;39.335;-19.666;8.417;27.091;-18.386;7.021;34.286;-17.057;6.775;38.135;-15.511;6.786;40.703;-14.375;6.752;42.403;-19.378;9.362;27.052;-18.365;9.522;35.084;-16.930;9.228;38.841;-14.810;9.099;41.480;-13.548;8.967;43.234;-19.466;10.455;26.914;-18.256;11.958;34.787;-16.090;11.857;38.008;-14.111;11.762;40.016;-12.559;11.374;41.322;-18.434;11.374;28.586;-17.627;14.270;30.907;-16.171;15.377;33.082;-16.614;17.708;34.558;1.503;36.523;-3.329;15.671;34.139;-1.021;20.275;20.296;-0.686;25.364;4.995;-0.316;21.786;6.302;11.970;17.657;7.541;27.088;17.446;5.896;27.961;16.275;3.472;34.045;15.322;2.262;36.604;13.577;1.958;38.262;12.176;1.902;39.233;17.648;6.759;28.185;17.423;5.551;34.640;15.730;4.669;38.591;13.209;4.537;40.777;11.513;4.616;42.009;17.254;7.809;28.530;17.737;7.797;35.558;16.171;7.092;39.880;13.789;7.073;41.784;11.840;7.261;42.755;17.339;8.720;28.432;17.519;10.309;35.505;15.535;10.321;38.861;13.607;9.990;40.543;11.753;9.834;41.770;16.959;9.760;28.930;17.233;12.828;31.319;17.239;13.929;34.397;17.168;16.459;35.478;0.000;0.000;0.000;-7.643;-12.238;-0.653;-9.848;-33.094;0.387;-12.436;-57.578;1.608;-11.473;-101.822;-5.889;7.552;-12.395;-1.320;9.596;-33.242;0.020;11.994;-57.716;1.593;11.704;-102.082;-7.402
2161.000;86.440;0.042;7.164;-0.299;0.059;13.909;-0.590;0.059;25.843;-1.118;-0.293;41.698;-2.266;-0.365;46.043;0.654;-0.045;52.534;1.600;-6.884;56.566;2.805;6.833;56.675;1.464;-2.590;58.625;9.892;3.960;58.677;9.251;-1.721;36.432;-3.504;-15.868;34.405;-2.089;-20.071;20.871;-1.534;-24.717;5.913;-0.921;-22.087;7.432;11.568;-19.144;9.267;26.330;-19.526;7.647;26.883;-17.056;4.993;33.354;-16.117;4.705;35.637;-15.029;3.960;37.811;-14.201;3.956;39.263;-19.682;8.460;27.057;-18.398;7.071;34.257;-17.063;6.806;38.098;-15.474;6.819;40.641;-14.295;6.788;42.312;-19.396;9.407;27.014;-18.384;9.591;35.048;-16.977;9.276;38.823;-14.745;9.164;41.368;-13.369;9.056;43.037;-19.482;10.501;26.873;-18.283;12.018;34.743;-16.117;11.923;37.965;-14.117;11.835;39.955;-12.540;11.476;41.238;-18.441;11.415;28.532;-17.639;14.324;30.851;-16.177;15.430;33.020;-16.616;17.763;34.493;1.503;36.514;-3.362;15.671;34.127;-1.064;20.282;20.284;-0.735;25.379;4.985;-0.370;21.820;6.283;11.927;17.716;7.510;27.055;17.509;5.868;27.927;16.348;3.428;34.009;15.390;2.214;36.567;13.643;1.913;38.220;12.240;1.859;39.189;17.714;6.730;28.152;17.501;5.510;34.604;15.792;4.632;38.554;13.261;4.504;40.725;11.557;4.592;41.945;17.310;7.773;28.499;17.804;7.756;35.524;16.242;7.050;39.847;13.831;7.026;41.721;11.867;7.230;42.660;17.394;8.685;28.401;17.588;10.265;35.471;15.612;10.279;38.826;13.654;9.942;40.482;11.788;9.795;41.691;17.024;9.724;28.895;17.293;12.792;31.286;17.307;13.887;34.382;17.222;16.423;35.447;0.000;0.000;0.000;-7.645;-12.237;-0.649;-9.853;-33.093;0.386;-12.444;-57.576;1.601;-11.489;-101.819;-5.907;7.551;-12.396;-1.315;9.590;-33.243;0.020;11.984;-57.715;1.587;11.684;-102.081;-7.421
2162.000;86.480;0.043;7.162;-0.303;0.061;13.904;-0.603;0.060;25.832;-1.151;-0.291;41.686;-2.310;-0.358;46.037;0.614;-0.029;52.531;1.570;-6.862;56.568;2.790;6.852;56.666;1.426;-2.554;58.616;9.871;3.995;58.663;9.220;-1.720;36.420;-3.543;-15.865;34.397;-2.117;-20.081;20.868;-1.565;-24.740;5.915;-0.956;-22.100;7.467;11.524;-19.145;9.343;26.276;-19.525;7.725;26.835;-17.037;5.089;33.308;-16.088;4.788;35.575;-14.912;4.077;37.720;-14.008;4.084;39.127;-19.681;8.539;27.006;-18.389;7.159;34.206;-17.029;6.854;38.038;-15.337;6.874;40.522;-14.075;6.815;42.131;-19.396;9.486;26.958;-18.386;9.694;34.990;-16.974;9.393;38.778;-14.612;9.273;41.190;-13.066;9.175;42.703;-19.483;10.580;26.814;-18.302;12.113;34.681;-16.140;12.031;37.902;-14.105;11.927;39.852;-12.493;11.581;41.095;-18.462;11.497;28.481;-17.651;14.411;30.783;-16.196;15.521;32.950;-16.649;17.851;34.425;1.504;36.502;-3.404;15.671;34.116;-1.120;20.294;20.275;-0.792;25.404;4.976;-0.429;21.864;6.238;11.880;17.782;7.422;27.024;17.585;5.783;27.889;16.440;3.317;33.967;15.476;2.082;36.519;13.733;1.781;38.168;12.318;1.735;39.120;17.791;6.644;28.116;17.591;5.395;34.565;15.874;4.504;38.515;13.306;4.385;40.641;11.580;4.492;41.828;17.380;7.676;28.469;17.884;7.640;35.493;16.326;6.922;39.816;13.860;6.897;41.630;11.863;7.125;42.488;17.460;8.588;28.374;17.668;10.155;35.447;15.702;10.156;38.797;13.703;9.806;40.407;11.815;9.651;41.580;17.097;9.626;28.864;17.346;12.692;31.270;17.366;13.775;34.370;17.263;16.309;35.438;0.000;0.000;0.000;-7.648;-12.235;-0.645;-9.858;-33.091;0.385;-12.452;-57.574;1.594;-11.507;-101.817;-5.932;7.548;-12.398;-1.311;9.585;-33.244;0.016;11.975;-57.716;1.575;11.668;-102.081;-7.448
2163.000;86.520;0.044;7.158;-0.307;0.062;13.897;-0.612;0.061;25.819;-1.175;-0.291;41.672;-2.345;-0.353;46.029;0.580;-0.012;52.527;1.536;-6.839;56.572;2.764;6.875;56.654;1.387;-2.521;58.613;9.842;4.027;58.652;9.184;-1.721;36.405;-3.573;-15.863;34.384;-2.128;-20.113;20.867;-1.562;-24.811;5.928;-0.936;-22.121;7.576;11.519;-19.100;9.566;26.243;-19.482;7.954;26.812;-16.994;5.375;33.311;-15.997;5.099;35.548;-14.373;4.642;37.466;-13.150;4.859;38.585;-19.641;8.769;26.977;-18.400;7.431;34.192;-16.918;7.061;37.979;-14.899;7.139;40.212;-13.379;7.117;41.580;-19.340;9.742;26.912;-18.424;9.989;34.945;-16.940;9.727;38.727;-14.281;9.660;40.808;-12.440;9.613;41.947;-19.450;10.835;26.761;-18.359;12.405;34.617;-16.231;12.347;37.832;-14.058;12.223;39.622;-12.301;11.857;40.642;-18.464;11.735;28.443;-17.600;14.655;30.715;-16.127;15.744;32.896;-16.549;18.101;34.336;1.503;36.487;-3.436;15.668;34.107;-1.171;20.329;20.271;-0.846;25.481;4.979;-0.487;21.934;6.151;11.837;17.844;7.228;27.000;17.654;5.569;27.841;16.524;3.065;33.907;15.544;1.806;36.444;13.785;1.510;38.070;12.336;1.488;38.970;17.851;6.431;28.075;17.664;5.135;34.524;15.893;4.218;38.445;13.218;4.124;40.455;11.440;4.272;41.557;17.443;7.465;28.447;17.939;7.380;35.466;16.301;6.631;39.757;13.715;6.603;41.430;11.670;6.861;42.157;17.519;8.379;28.360;17.707;9.906;35.442;15.727;9.837;38.760;13.699;9.468;40.316;11.756;9.281;41.391;17.150;9.405;28.841;17.335;12.452;31.304;17.306;13.496;34.414;17.155;16.000;35.544;0.000;0.000;0.000;-7.650;-12.234;-0.639;-9.862;-33.090;0.384;-12.459;-57.572;1.586;-11.524;-101.814;-5.959;7.546;-12.400;-1.308;9.579;-33.245;0.012;11.966;-57.715;1.561;11.651;-102.081;-7.473
2164.000;86.560;0.046;7.153;-0.309;0.064;13.888;-0.617;0.065;25.801;-1.185;-0.290;41.655;-2.355;-0.348;46.016;0.574;0.002;52.521;1.530;-6.820;56.576;2.753;6.894;56.640;1.385;-2.505;58.612;9.834;4.044;58.642;9.181;-1.720;36.388;-3.582;-15.850;34.357;-2.120;-20.280;20.898;-1.469;-25.176;6.022;-0.749;-22.212;7.885;11.612;-18.848;10.140;26.227;-19.268;8.527;26.837;-16.959;6.207;33.484;-15.879;6.001;35.677;-13.492;6.242;36.639;-12.009;7.010;36.725;-19.406;9.352;26.966;-18.439;8.241;34.265;-16.529;7.966;37.866;-13.833;8.398;39.186;-11.848;8.658;39.605;-19.045;10.439;26.848;-18.451;10.876;34.877;-16.773;10.643;38.614;-13.603;10.677;39.801;-11.450;10.714;40.039;-19.196;11.517;26.668;-18.352;13.282;34.466;-16.335;13.238;37.652;-13.820;13.104;38.917;-11.825;12.729;39.295;-18.199;12.323;28.355;-17.189;15.254;30.562;-15.640;16.265;32.747;-15.869;18.702;34.095;1.504;36.470;-3.447;15.664;34.100;-1.200;20.413;20.284;-0.897;25.661;5.014;-0.563;22.069;5.975;11.786;17.930;6.795;26.979;17.745;5.103;27.783;16.603;2.510;33.794;15.561;1.246;36.304;13.712;0.985;37.849;12.212;0.993;38.662;17.924;5.967;28.026;17.724;4.589;34.467;15.735;3.660;38.281;12.857;3.561;40.017;10.982;3.764;40.935;17.514;6.985;28.435;17.967;6.826;35.425;16.106;6.031;39.620;13.364;6.002;41.042;11.253;6.258;41.547;17.573;7.901;28.362;17.686;9.340;35.448;15.658;9.166;38.707;13.570;8.747;40.169;11.566;8.510;41.114;17.142;8.907;28.840;17.129;11.874;31.434;16.942;12.798;34.597;16.508;15.177;35.910;0.000;0.000;0.000;-7.652;-12.233;-0.636;-9.868;-33.088;0.386;-12.470;-57.570;1.585;-11.547;-101.811;-5.970;7.544;-12.402;-1.305;9.572;-33.244;0.011;11.952;-57.711;1.556;11.626;-102.078;-7.487
2165.000;86.600;0.047;7.146;-0.310;0.069;13.873;-0.620;0.081;25.775;-1.188;-0.279;41.628;-2.354;-0.341;45.999;0.587;0.010;52.517;1.558;-6.813;56.587;2.721;6.912;56.618;1.472;-2.555;58.616;9.838;3.999;58.630;9.242;-1.706;36.361;-3.584;-15.808;34.316;-2.121;-20.662;20.992;-1.125;-26.027;6.266;-0.025;-22.392;8.644;12.063;-18.211;11.525;26.343;-18.808;9.915;27.092;-17.016;8.360;34.056;-15.792;8.406;36.185;-13.387;9.048;35.574;-12.664;9.788;34.260;-18.819;10.762;27.107;-18.391;10.509;34.544;-16.084;10.529;37.903;-13.069;11.009;37.693;-11.334;11.163;36.622;-18.315;11.945;26.894;-18.221;13.206;34.819;-16.289;13.186;38.452;-12.954;12.983;38.381;-11.072;12.768;37.331;-18.401;12.977;26.592;-17.847;15.512;34.145;-16.060;15.573;37.339;-13.314;15.232;37.824;-11.399;14.652;37.312;-17.373;13.781;28.244;-15.943;16.691;30.243;-14.301;17.615;32.380;-14.119;20.184;33.465;1.518;36.444;-3.446;15.667;34.114;-1.197;20.579;20.348;-0.939;26.009;5.133;-0.653;22.298;5.629;11.730;18.029;5.881;26.955;17.898;4.156;27.703;16.724;1.379;33.597;15.518;0.122;36.047;13.521;-0.098;37.413;11.951;-0.063;38.081;18.043;5.017;27.968;17.779;3.460;34.376;15.394;2.482;37.957;12.298;2.359;39.260;10.299;2.575;39.859;17.565;5.988;28.422;17.921;5.660;35.362;15.659;4.738;39.319;12.796;4.627;40.429;10.625;4.817;40.597;17.579;6.907;28.376;17.517;8.126;35.455;15.420;7.767;38.630;13.257;7.203;39.949;11.212;6.846;40.759;17.080;7.847;28.872;16.596;10.614;31.679;16.077;11.269;34.904;15.079;13.299;36.471;0.000;0.000;0.000;-7.652;-12.233;-0.641;-9.877;-33.087;0.382;-12.490;-57.569;1.584;-11.581;-101.809;-5.961;7.545;-12.402;-1.292;9.562;-33.244;0.025;11.930;-57.710;1.571;11.593;-102.076;-7.484
2166.000;86.640;0.049;7.142;-0.313;0.077;13.866;-0.623;0.105;25.762;-1.191;-0.259;41.615;-2.357;-0.331;45.991;0.592;0.019;52.515;1.576;-6.811;56.613;2.591;6.939;56.588;1.651;-2.706;58.614;9.805;3.861;58.602;9.356;-1.680;36.347;-3.591;-15.739;34.301;-2.131;-21.253;21.250;-0.478;-27.347;6.825;1.349;-22.753;10.032;12.882;-17.415;13.891;26.474;-18.409;12.543;27.515;-17.335;12.264;34.680;-15.784;12.567;36.539;-14.026;12.473;34.847;-14.442;12.603;33.233;-18.174;13.336;27.346;-18.202;14.833;34.642;-15.641;15.149;37.711;-12.960;14.524;36.384;-12.334;13.879;34.547;-17.377;14.395;26.923;-17.438;17.373;34.288;-15.288;17.617;37.702;-12.422;16.330;36.905;-11.650;15.447;35.084;-17.224;15.284;26.424;-16.497;19.323;33.193;-14.883;19.622;36.358;-12.341;18.532;36.287;-11.046;17.379;35.166;-16.160;16.189;27.901;-14.026;18.951;29.479;-12.274;19.899;31.498;-11.496;22.563;31.825;1.543;36.432;-3.444;15.666;34.167;-1.158;20.828;20.491;-0.948;26.534;5.374;-0.717;22.606;4.990;11.667;18.090;4.182;26.878;18.100;2.368;27.498;16.946;-0.712;33.222;15.531;-2.045;35.551;13.426;-2.311;36.707;11.791;-2.287;37.192;18.165;3.228;27.802;17.818;1.370;34.151;15.055;0.176;37.396;11.808;-0.083;38.225;9.730;0.013;38.496;17.546;4.199;28.340;17.769;3.496;35.212;15.223;2.298;38.886;12.300;1.914;39.723;10.116;1.977;39.638;17.500;5.119;28.343;17.171;5.891;35.423;15.025;5.210;38.491;12.856;4.387;39.671;10.817;3.817;40.367;16.959;5.877;28.892;15.705;8.248;31.867;14.780;8.467;35.074;13.199;9.919;36.796;0.000;0.000;0.000;-7.648;-12.234;-0.659;-9.891;-33.087;0.370;-12.523;-57.567;1.577;-11.621;-101.811;-5.941;7.550;-12.402;-1.264;9.548;-33.245;0.056;11.893;-57.713;1.605;11.552;-102.077;-7.460
2167.000;86.680;0.052;7.145;-0.316;0.086;13.872;-0.627;0.126;25.773;-1.195;-0.232;41.626;-2.375;-0.312;46.001;0.568;0.034;52.523;1.548;-6.811;56.643;2.347;6.964;56.565;1.899;-2.958;58.575;9.717;3.620;58.538;9.504;-1.649;36.357;-3.610;-15.652;34.376;-2.152;-21.999;21.815;0.505;-29.013;7.932;3.442;-23.392;12.149;14.120;-16.799;17.171;26.695;-18.223;16.530;27.928;-17.925;18.168;34.616;-16.035;18.250;36.166;-15.068;17.285;34.164;-15.934;17.424;32.740;-17.697;17.111;27.608;-17.831;20.829;33.873;-15.082;20.818;36.722;-13.363;18.886;35.137;-13.752;17.992;33.340;-16.637;17.755;27.071;-16.199;22.728;32.855;-13.936;22.900;36.131;-12.132;20.375;35.316;-12.400;19.236;33.494;-16.132;18.322;26.350;-14.645;23.910;31.485;-12.974;24.267;34.502;-11.288;22.120;34.331;-10.950;20.463;33.147;-14.979;19.279;27.477;-12.155;21.715;28.569;-10.335;22.764;30.362;-8.707;24.980;29.865;1.573;36.442;-3.452;15.654;34.240;-1.098;21.108;20.675;-0.919;27.136;5.682;-0.721;22.953;3.907;11.538;18.154;1.424;26.571;18.373;-0.510;26.982;17.260;-4.092;32.414;15.813;-5.666;34.561;13.662;-6.177;35.516;11.993;-6.311;35.845;18.303;0.329;27.342;17.896;-2.013;33.559;15.033;-3.688;36.497;11.751;-4.295;36.978;9.658;-4.420;37.028;17.571;1.229;27.999;17.563;0.013;34.773;14.999;-1.729;38.216;12.076;-2.511;38.787;9.910;-2.673;38.543;17.402;2.130;28.072;16.704;2.277;35.151;14.540;1.123;38.063;12.460;-0.029;39.083;10.485;-0.902;39.636;16.785;2.749;28.652;14.818;4.467;31.732;13.600;4.159;34.819;11.657;4.982;36.585;0.000;0.000;0.000;-7.647;-12.234;-0.684;-9.912;-33.086;0.353;-12.570;-57.564;1.571;-11.677;-101.815;-5.902;7.554;-12.403;-1.226;9.526;-33.248;0.100;11.840;-57.717;1.656;11.493;-102.082;-7.416
2168.000;86.720;0.056;7.148;-0.317;0.096;13.878;-0.629;0.152;25.785;-1.196;-0.171;41.635;-2.418;-0.264;46.017;0.514;0.065;52.538;1.484;-6.794;56.680;2.017;6.987;56.543;2.199;-3.274;58.510;9.578;3.306;58.444;9.665;-1.594;36.366;-3.645;-15.541;34.513;-2.173;-22.807;22.724;1.741;-30.838;9.694;6.067;-24.261;14.852;15.676;-16.503;20.930;26.981;-18.015;21.191;28.069;-18.158;24.938;33.221;-16.195;24.687;34.697;-15.830;23.058;32.914;-16.757;23.171;31.527;-17.342;21.525;27.679;-17.337;27.103;31.844;-14.708;26.690;34.759;-13.983;24.097;33.369;-14.815;23.248;31.704;-16.213;21.618;27.219;-15.162;28.029;30.443;-13.058;28.119;33.835;-12.326;25.061;33.325;-13.105;23.886;31.681;-15.448;21.694;26.443;-13.186;28.297;29.166;-11.596;28.784;32.160;-11.007;26.110;32.291;-11.412;24.333;31.322;-14.207;22.685;27.271;-10.985;24.762;27.818;-9.152;26.046;29.312;-6.830;27.395;28.539;1.629;36.445;-3.475;15.657;34.262;-1.034;21.347;20.781;-0.820;27.636;5.882;-0.584;23.273;2.256;11.291;18.288;-2.452;25.820;18.790;-4.368;26.029;17.864;-8.686;30.931;16.594;-10.686;32.785;14.473;-11.592;33.516;12.830;-12.001;33.726;18.576;-3.597;26.469;18.155;-6.692;32.341;15.450;-9.095;34.894;12.274;-10.206;35.079;10.226;-10.644;34.967;17.688;-2.940;27.171;17.467;-4.893;33.759;15.073;-7.391;36.837;12.303;-8.655;37.180;10.208;-9.144;36.794;17.367;-2.091;27.322;16.242;-2.862;34.308;14.185;-4.634;36.970;12.298;-6.164;37.793;10.464;-7.376;38.157;16.590;-1.622;27.889;14.193;-0.753;31.024;12.833;-1.627;33.919;10.676;-1.467;35.620;0.000;0.000;0.000;-7.645;-12.233;-0.715;-9.934;-33.083;0.331;-12.621;-57.559;1.560;-11.740;-101.823;-5.838;7.558;-12.405;-1.186;9.500;-33.252;0.152;11.780;-57.724;1.723;11.420;-102.087;-7.360
