Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2207.000;88.280;0.051;7.185;-0.194;0.044;13.951;-0.369;-0.035;25.921;-0.667;-0.257;41.810;-1.232;-0.394;46.140;1.876;-0.169;52.753;2.997;-7.065;56.812;3.672;6.716;56.857;3.475;-3.364;58.776;11.112;3.217;58.797;11.017;-1.699;36.605;-2.689;-15.753;34.760;-1.699;-20.638;21.728;-3.309;-26.036;7.325;-5.089;-21.886;6.415;7.089;-17.188;5.304;21.395;-17.715;3.663;22.170;-15.281;2.015;28.977;-13.941;2.326;31.088;-12.036;2.364;32.887;-10.778;2.800;33.897;-17.833;4.499;22.217;-16.672;4.171;29.564;-13.915;4.785;32.637;-11.457;5.244;34.263;-9.660;5.515;35.201;-17.122;5.733;21.971;-16.661;6.766;29.664;-13.852;7.301;32.610;-10.978;7.638;34.304;-9.143;7.815;35.441;-17.370;6.716;21.702;-16.476;9.144;29.030;-13.698;9.549;31.664;-11.207;9.652;33.050;-9.312;9.325;33.801;-16.369;7.519;23.303;-15.917;10.764;24.861;-14.524;11.935;26.821;-14.402;14.460;28.012;1.522;36.657;-2.488;15.683;34.311;-0.194;20.661;20.785;-1.650;26.163;5.835;-3.260;21.095;6.627;8.483;15.231;7.272;22.925;14.922;5.658;24.000;13.067;4.246;30.337;11.532;3.391;32.832;9.645;3.243;34.389;8.209;3.184;35.308;15.072;6.554;24.102;14.123;6.439;30.670;12.056;6.243;34.574;9.292;6.433;36.473;7.460;6.731;37.450;14.577;7.711;24.230;14.335;8.767;31.209;12.232;8.893;35.383;9.629;9.120;36.935;7.555;9.432;37.551;14.670;8.599;24.001;14.118;11.303;30.677;11.837;12.115;33.704;9.561;12.067;34.967;7.467;12.092;35.729;14.230;9.621;24.355;14.154;13.108;25.974;13.097;14.562;28.846;12.312;17.017;29.809;0.000;0.000;0.000;-7.634;-12.212;-1.091;-10.475;-32.891;-0.244;-13.810;-57.166;0.750;-14.116;-101.350;-7.772;7.576;-12.392;-1.205;9.568;-33.038;-0.228;11.907;-57.274;0.920;11.848;-101.636;-8.473
2208.000;88.320;0.050;7.185;-0.197;0.044;13.950;-0.374;-0.035;25.919;-0.676;-0.250;41.808;-1.253;-0.381;46.139;1.853;-0.151;52.749;2.974;-7.045;56.806;3.679;6.735;56.853;3.435;-3.319;58.759;11.109;3.262;58.782;10.992;-1.697;36.602;-2.704;-15.750;34.766;-1.689;-20.645;21.733;-3.273;-26.056;7.329;-5.023;-21.892;6.464;7.150;-17.180;5.403;21.450;-17.707;3.770;22.243;-15.211;2.153;29.034;-13.889;2.488;31.149;-11.978;2.538;32.943;-10.715;2.972;33.950;-17.831;4.606;22.288;-16.620;4.310;29.627;-13.842;4.956;32.670;-11.382;5.440;34.288;-9.589;5.715;35.231;-17.126;5.806;22.034;-16.622;6.916;29.707;-13.768;7.464;32.613;-10.924;7.800;34.327;-9.082;8.008;35.446;-17.370;6.790;21.756;-16.461;9.290;29.060;-13.650;9.711;31.681;-11.168;9.804;33.075;-9.281;9.490;33.851;-16.331;7.632;23.347;-15.918;10.896;24.864;-14.480;12.078;26.810;-14.390;14.609;27.990;1.525;36.653;-2.507;15.689;34.302;-0.229;20.662;20.771;-1.660;26.159;5.815;-3.242;21.133;6.640;8.514;15.315;7.323;22.972;14.982;5.690;24.041;13.124;4.307;30.382;11.591;3.463;32.878;9.697;3.338;34.434;8.267;3.287;35.362;15.131;6.586;24.138;14.203;6.505;30.722;12.081;6.320;34.599;9.283;6.525;36.467;7.451;6.873;37.428;14.664;7.811;24.261;14.415;8.819;31.253;12.301;8.960;35.421;9.684;9.207;36.950;7.614;9.542;37.565;14.777;8.697;24.037;14.211;11.376;30.728;11.963;12.188;33.759;9.699;12.165;35.033;7.590;12.200;35.755;14.339;9.681;24.401;14.307;13.172;26.017;13.287;14.634;28.895;12.521;17.097;29.853;0.000;0.000;0.000;-7.634;-12.214;-1.079;-10.464;-32.893;-0.232;-13.788;-57.168;0.762;-14.083;-101.356;-7.753;7.576;-12.392;-1.205;9.578;-33.037;-0.224;11.928;-57.273;0.928;11.884;-101.640;-8.443
2209.000;88.360;0.051;7.186;-0.198;0.044;13.952;-0.376;-0.035;25.923;-0.678;-0.247;41.811;-1.271;-0.375;46.143;1.832;-0.146;52.749;2.953;-7.037;56.806;3.683;6.742;56.853;3.394;-3.287;58.755;11.102;3.293;58.778;10.963;-1.696;36.604;-2.715;-15.753;34.775;-1.681;-20.658;21.740;-3.228;-26.079;7.333;-4.937;-21.906;6.514;7.232;-17.184;5.506;21.528;-17.714;3.891;22.335;-15.197;2.297;29.131;-13.847;2.652;31.231;-11.961;2.736;33.038;-10.712;3.179;34.058;-17.845;4.725;22.376;-16.607;4.459;29.710;-13.853;5.112;32.765;-11.412;5.625;34.417;-9.624;5.864;35.380;-17.126;5.938;22.099;-16.608;7.057;29.781;-13.756;7.604;32.685;-10.929;7.968;34.432;-9.107;8.211;35.578;-17.380;6.920;21.820;-16.441;9.429;29.119;-13.627;9.864;31.738;-11.160;9.970;33.157;-9.283;9.686;33.968;-16.324;7.758;23.440;-15.913;11.020;24.922;-14.472;12.214;26.859;-14.368;14.756;28.015;1.525;36.654;-2.522;15.689;34.304;-0.262;20.669;20.766;-1.659;26.172;5.803;-3.202;21.171;6.659;8.564;15.388;7.379;23.034;15.056;5.740;24.102;13.217;4.365;30.441;11.677;3.553;32.958;9.807;3.412;34.522;8.368;3.392;35.438;15.204;6.637;24.197;14.297;6.551;30.786;12.198;6.404;34.679;9.402;6.614;36.553;7.571;6.934;37.525;14.743;7.863;24.327;14.531;8.891;31.316;12.427;9.026;35.508;9.810;9.298;37.035;7.738;9.629;37.647;14.855;8.749;24.102;14.324;11.434;30.788;12.072;12.251;33.828;9.820;12.234;35.107;7.712;12.287;35.828;14.420;9.745;24.450;14.416;13.237;26.056;13.409;14.705;28.977;12.654;17.191;29.882;0.000;0.000;0.000;-7.635;-12.213;-1.072;-10.459;-32.897;-0.219;-13.775;-57.178;0.781;-14.058;-101.358;-7.732;7.575;-12.393;-1.208;9.586;-33.036;-0.223;11.946;-57.269;0.934;11.915;-101.641;-8.426
2210.000;88.400;0.051;7.187;-0.199;0.046;13.953;-0.376;-0.029;25.926;-0.678;-0.241;41.813;-1.291;-0.366;46.146;1.804;-0.141;52.751;2.914;-7.029;56.809;3.662;6.750;56.852;3.335;-3.258;58.758;11.070;3.322;58.779;10.914;-1.692;36.605;-2.727;-15.744;34.780;-1.675;-20.660;21.741;-3.173;-26.094;7.330;-4.827;-21.913;6.564;7.345;-17.184;5.617;21.640;-17.714;3.991;22.455;-15.192;2.454;29.258;-13.825;2.809;31.347;-11.974;2.914;33.169;-10.716;3.377;34.169;-17.836;4.827;22.491;-16.624;4.618;29.832;-13.839;5.303;32.868;-11.413;5.806;34.536;-9.644;6.047;35.534;-17.121;6.043;22.215;-16.610;7.204;29.886;-13.778;7.750;32.812;-10.932;8.140;34.528;-9.107;8.381;35.669;-17.370;7.025;21.929;-16.443;9.584;29.210;-13.630;10.027;31.829;-11.178;10.164;33.255;-9.295;9.833;34.036;-16.331;7.876;23.536;-15.915;11.147;25.005;-14.474;12.348;26.938;-14.368;14.901;28.068;1.530;36.655;-2.537;15.698;34.310;-0.287;20.675;20.768;-1.656;26.176;5.801;-3.169;21.208;6.686;8.607;15.465;7.444;23.091;15.134;5.813;24.167;13.313;4.458;30.521;11.787;3.636;33.034;9.914;3.500;34.602;8.483;3.488;35.531;15.287;6.709;24.260;14.393;6.629;30.848;12.295;6.482;34.737;9.519;6.704;36.623;7.681;7.034;37.578;14.817;7.943;24.381;14.636;8.966;31.367;12.535;9.109;35.564;9.918;9.394;37.098;7.850;9.730;37.719;14.935;8.828;24.155;14.432;11.512;30.837;12.182;12.334;33.885;9.928;12.301;35.168;7.830;12.372;35.917;14.505;9.812;24.510;14.509;13.309;26.105;13.484;14.782;29.000;12.737;17.262;29.931;0.000;0.000;0.000;-7.636;-12.213;-1.067;-10.453;-32.895;-0.219;-13.760;-57.173;0.777;-14.038;-101.359;-7.731;7.573;-12.393;-1.211;9.592;-33.036;-0.226;11.961;-57.268;0.931;11.943;-101.642;-8.423
2211.000;88.440;0.052;7.188;-0.200;0.048;13.955;-0.377;-0.024;25.929;-0.679;-0.233;41.816;-1.304;-0.356;46.149;1.785;-0.133;52.750;2.887;-7.021;56.808;3.644;6.757;56.853;3.294;-3.238;58.762;11.045;3.342;58.784;10.877;-1.686;36.607;-2.735;-15.740;34.784;-1.663;-20.669;21.741;-3.121;-26.117;7.324;-4.733;-21.933;6.622;7.438;-17.199;5.750;21.736;-17.731;4.134;22.560;-15.243;2.650;29.369;-13.838;2.999;31.437;-12.000;3.137;33.273;-10.746;3.621;34.268;-17.859;4.969;22.594;-16.631;4.778;29.932;-13.843;5.482;32.954;-11.420;5.981;34.619;-9.661;6.270;35.621;-17.148;6.166;22.312;-16.631;7.384;29.972;-13.798;7.899;32.900;-10.946;8.371;34.597;-9.135;8.575;35.767;-17.394;7.144;22.022;-16.465;9.755;29.283;-13.639;10.196;31.906;-11.181;10.356;33.323;-9.309;10.035;34.132;-16.383;8.017;23.598;-15.933;11.295;25.060;-14.505;12.508;27.002;-14.362;15.065;28.120;1.536;36.657;-2.548;15.706;34.318;-0.306;20.677;20.774;-1.662;26.172;5.804;-3.160;21.232;6.716;8.624;15.520;7.504;23.118;15.197;5.866;24.193;13.369;4.525;30.551;11.868;3.709;33.074;9.993;3.598;34.650;8.564;3.585;35.581;15.351;6.762;24.283;14.464;6.699;30.877;12.361;6.558;34.766;9.584;6.798;36.640;7.751;7.137;37.601;14.883;8.025;24.403;14.713;9.034;31.395;12.609;9.203;35.583;10.002;9.492;37.123;7.934;9.836;37.744;15.009;8.909;24.177;14.516;11.584;30.864;12.283;12.407;33.925;10.029;12.372;35.216;7.945;12.467;36.001;14.574;9.877;24.535;14.597;13.374;26.123;13.602;14.860;29.046;12.858;17.357;29.932;0.000;0.000;0.000;-7.638;-12.212;-1.064;-10.448;-32.895;-0.213;-13.747;-57.174;0.786;-14.017;-101.364;-7.712;7.572;-12.394;-1.212;9.594;-33.037;-0.228;11.968;-57.270;0.928;11.959;-101.645;-8.418
2212.000;88.480;0.053;7.189;-0.201;0.052;13.957;-0.380;-0.016;25.933;-0.685;-0.222;41.820;-1.328;-0.344;46.152;1.752;-0.127;52.750;2.840;-7.016;56.806;3.594;6.762;56.856;3.231;-3.227;58.778;10.987;3.353;58.802;10.813;-1.678;36.609;-2.751;-15.734;34.791;-1.662;-20.689;21.749;-3.083;-26.166;7.334;-4.654;-21.962;6.721;7.508;-17.201;5.960;21.795;-17.739;4.346;22.634;-15.225;2.934;29.455;-13.852;3.357;31.521;-12.032;3.502;33.376;-10.771;3.990;34.359;-17.870;5.182;22.662;-16.641;5.054;30.001;-13.857;5.800;33.016;-11.422;6.333;34.691;-9.676;6.606;35.720;-17.161;6.375;22.369;-16.647;7.654;30.015;-13.811;8.214;32.939;-10.976;8.669;34.657;-9.161;8.905;35.815;-17.414;7.367;22.065;-16.499;10.026;29.322;-13.678;10.497;31.944;-11.207;10.631;33.380;-9.366;10.337;34.268;-16.412;8.229;23.619;-15.952;11.532;25.082;-14.528;12.757;27.009;-14.410;15.323;28.108;1.544;36.658;-2.568;15.714;34.324;-0.337;20.680;20.775;-1.678;26.168;5.800;-3.160;21.252;6.747;8.629;15.564;7.576;23.130;15.223;5.947;24.209;13.402;4.596;30.556;11.883;3.841;33.105;10.023;3.763;34.685;8.591;3.778;35.612;15.388;6.841;24.301;14.520;6.787;30.899;12.407;6.654;34.787;9.617;6.923;36.654;7.791;7.276;37.625;14.927;8.118;24.414;14.773;9.109;31.415;12.665;9.310;35.596;10.065;9.608;37.146;7.995;9.973;37.747;15.068;9.001;24.191;14.617;11.673;30.883;12.400;12.475;33.961;10.147;12.457;35.268;8.070;12.587;36.066;14.633;9.957;24.549;14.716;13.448;26.140;13.755;14.951;29.062;13.063;17.455;29.970;0.000;0.000;0.000;-7.641;-12.211;-1.055;-10.443;-32.893;-0.202;-13.732;-57.173;0.799;-13.989;-101.368;-7.687;7.568;-12.396;-1.213;9.599;-33.037;-0.226;11.983;-57.268;0.933;11.988;-101.646;-8.398
2213.000;88.520;0.053;7.190;-0.201;0.052;13.960;-0.380;-0.015;25.938;-0.685;-0.217;41.824;-1.340;-0.336;46.155;1.734;-0.123;52.748;2.816;-7.013;56.800;3.577;6.764;56.861;3.193;-3.214;58.782;10.962;3.365;58.811;10.778;-1.676;36.613;-2.757;-15.730;34.805;-1.642;-20.710;21.768;-3.031;-26.215;7.359;-4.566;-21.969;6.853;7.577;-17.159;6.212;21.841;-17.684;4.601;22.704;-15.143;3.297;29.527;-13.761;3.768;31.567;-11.956;3.955;33.437;-10.701;4.464;34.418;-17.811;5.437;22.723;-16.556;5.407;30.054;-13.756;6.192;33.030;-11.346;6.726;34.728;-9.611;7.036;35.765;-17.120;6.659;22.401;-16.601;7.989;30.051;-13.765;8.618;32.956;-10.892;9.089;34.646;-9.089;9.326;35.823;-17.375;7.663;22.090;-16.439;10.359;29.321;-13.636;10.858;31.962;-11.189;11.043;33.423;-9.361;10.773;34.344;-16.350;8.510;23.645;-15.921;11.830;25.072;-14.474;13.089;26.951;-14.366;15.643;28.079;1.547;36.661;-2.577;15.723;34.326;-0.361;20.683;20.773;-1.678;26.164;5.793;-3.133;21.275;6.771;8.664;15.616;7.630;23.175;15.249;6.032;24.255;13.394;4.669;30.586;11.859;3.970;33.138;9.997;3.931;34.722;8.578;3.987;35.668;15.439;6.920;24.359;14.542;6.833;30.936;12.376;6.709;34.798;9.541;7.026;36.619;7.736;7.434;37.607;14.995;8.164;24.463;14.850;9.138;31.469;12.684;9.348;35.626;10.084;9.689;37.155;8.016;10.091;37.736;15.147;9.045;24.244;14.718;11.693;30.948;12.494;12.521;34.015;10.272;12.550;35.329;8.176;12.702;36.074;14.748;10.018;24.616;14.867;13.505;26.208;13.931;15.007;29.098;13.305;17.502;30.075;0.000;0.000;0.000;-7.641;-12.211;-1.054;-10.441;-32.895;-0.206;-13.727;-57.176;0.789;-13.982;-101.369;-7.703;7.568;-12.396;-1.215;9.605;-33.037;-0.231;11.996;-57.267;0.925;12.018;-101.646;-8.397
2214.000;88.560;0.053;7.191;-0.201;0.052;13.962;-0.383;-0.016;25.942;-0.692;-0.210;41.827;-1.372;-0.326;46.160;1.693;-0.122;52.749;2.764;-7.014;56.795;3.542;6.762;56.869;3.121;-3.197;58.785;10.915;3.381;58.820;10.714;-1.674;36.615;-2.779;-15.724;34.821;-1.634;-20.736;21.787;-2.971;-26.275;7.381;-4.450;-21.961;7.020;7.665;-17.074;6.548;21.898;-17.602;4.956;22.785;-14.992;3.715;29.598;-13.618;4.263;31.630;-11.788;4.460;33.481;-10.538;5.003;34.450;-17.739;5.791;22.796;-16.414;5.832;30.120;-13.549;6.657;33.032;-11.145;7.183;34.725;-9.419;7.561;35.756;-17.032;7.004;22.456;-16.444;8.439;30.067;-13.615;9.055;32.973;-10.702;9.601;34.618;-8.918;9.821;35.826;-17.283;7.983;22.129;-16.291;10.777;29.317;-13.448;11.318;31.919;-11.062;11.506;33.428;-9.216;11.295;34.330;-16.232;8.862;23.658;-15.801;12.209;25.018;-14.347;13.467;26.916;-14.186;16.054;27.960;1.548;36.662;-2.604;15.727;34.322;-0.402;20.690;20.761;-1.672;26.175;5.773;-3.076;21.312;6.793;8.728;15.675;7.702;23.249;15.274;6.108;24.317;13.366;4.741;30.627;11.782;4.087;33.176;9.912;4.070;34.749;8.486;4.132;35.683;15.482;6.992;24.427;14.562;6.885;31.010;12.306;6.782;34.830;9.466;7.152;36.624;7.659;7.613;37.584;15.063;8.232;24.533;14.890;9.164;31.548;12.719;9.389;35.701;10.109;9.797;37.201;8.048;10.205;37.804;15.232;9.112;24.321;14.796;11.740;31.055;12.698;12.565;34.148;10.401;12.623;35.453;8.319;12.816;36.224;14.852;10.101;24.712;15.063;13.571;26.319;14.161;15.081;29.197;13.618;17.580;30.214;0.000;0.000;0.000;-7.643;-12.211;-1.049;-10.432;-32.895;-0.200;-13.708;-57.177;0.797;-13.952;-101.372;-7.686;7.567;-12.396;-1.221;9.606;-33.037;-0.231;12.000;-57.267;0.931;12.022;-101.653;-8.373
2215.000;88.600;0.053;7.190;-0.203;0.051;13.960;-0.386;-0.019;25.939;-0.699;-0.214;41.823;-1.390;-0.328;46.158;1.669;-0.129;52.749;2.729;-7.020;56.789;3.545;6.753;56.873;3.046;-3.164;58.784;10.896;3.414;58.824;10.658;-1.680;36.609;-2.791;-15.728;34.819;-1.615;-20.776;21.790;-2.884;-26.356;7.388;-4.286;-21.949;7.197;7.785;-16.954;6.917;21.970;-17.463;5.344;22.888;-14.853;4.224;29.718;-13.421;4.855;31.715;-11.627;5.061;33.571;-10.374;5.640;34.515;-17.589;6.181;22.884;-16.244;6.375;30.197;-13.366;7.202;33.100;-10.992;7.852;34.805;-9.297;8.156;35.908;-16.917;7.356;22.520;-16.269;8.957;30.105;-13.424;9.659;32.971;-10.582;10.151;34.709;-8.797;10.496;35.886;-17.163;8.340;22.180;-16.111;11.276;29.314;-13.299;11.857;31.919;-10.862;12.022;33.423;-9.077;11.808;34.439;-16.099;9.282;23.688;-15.622;12.637;24.972;-14.152;13.924;26.812;-13.966;16.518;27.833;1.543;36.656;-2.621;15.727;34.319;-0.435;20.696;20.748;-1.619;26.187;5.749;-2.929;21.352;6.823;8.884;15.738;7.795;23.420;15.293;6.170;24.452;13.229;4.822;30.735;11.679;4.241;33.290;9.798;4.293;34.859;8.381;4.407;35.801;15.525;7.046;24.566;14.535;6.922;31.164;12.249;6.861;34.952;9.399;7.304;36.741;7.595;7.836;37.670;15.129;8.314;24.711;14.933;9.176;31.735;12.747;9.426;35.862;10.106;9.923;37.314;8.076;10.399;37.970;15.321;9.192;24.511;14.952;11.758;31.268;12.839;12.584;34.366;10.564;12.693;35.689;8.507;12.926;36.514;15.004;10.200;24.913;15.304;13.649;26.536;14.443;15.159;29.468;14.006;17.688;30.462;0.000;0.000;0.000;-7.643;-12.211;-1.045;-10.430;-32.896;-0.191;-13.702;-57.180;0.812;-13.944;-101.376;-7.662;7.566;-12.397;-1.222;9.607;-33.037;-0.233;12.004;-57.267;0.928;12.031;-101.653;-8.375
