Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
430.000;17.200;0.064;7.164;-0.122;0.064;13.909;-0.222;-0.013;25.845;-0.380;-0.227;41.728;-1.078;-0.267;46.057;2.026;0.175;52.610;3.210;-6.638;56.663;4.488;7.047;56.749;2.850;-2.193;58.852;11.442;4.342;58.893;10.659;-1.687;36.512;-2.477;-15.793;34.762;-1.312;-20.795;21.700;-2.344;-26.324;7.263;-3.484;-23.077;6.451;8.969;-19.418;5.516;23.687;-20.059;3.893;24.120;-17.435;0.493;30.211;-16.368;0.062;32.381;-15.020;-0.688;34.462;-14.112;-0.816;35.860;-20.127;4.695;24.378;-18.585;2.517;31.329;-16.859;1.796;34.990;-14.933;1.474;37.247;-13.526;1.252;38.714;-19.493;5.779;24.349;-18.239;4.864;32.304;-16.637;3.978;35.924;-13.922;3.448;37.900;-12.099;3.051;39.001;-19.568;6.872;24.353;-17.898;7.333;32.212;-15.616;6.717;35.264;-13.489;6.176;37.047;-11.835;5.558;38.116;-18.261;7.249;25.958;-17.569;9.797;28.626;-16.442;10.617;30.801;-16.324;12.925;32.372;1.535;36.563;-2.307;15.617;34.067;-0.095;21.142;20.530;-1.303;27.248;5.568;-2.637;22.648;4.824;9.372;17.355;3.580;24.104;17.133;1.818;24.831;15.386;-1.027;30.613;13.954;-2.203;33.014;12.070;-2.580;34.537;10.646;-2.774;35.458;17.289;2.665;25.138;16.386;1.018;31.451;14.297;-0.078;35.160;11.714;-0.516;37.254;10.061;-0.634;38.539;16.740;3.790;25.482;16.566;3.156;32.516;14.528;2.184;36.594;12.198;1.914;38.496;10.300;1.827;39.577;16.825;4.706;25.473;16.307;5.681;32.678;14.398;5.368;35.992;12.365;4.862;37.593;10.500;4.563;38.776;16.356;5.577;26.009;16.191;8.550;28.481;15.600;9.332;31.677;15.000;11.644;33.043;0.000;0.000;0.000;-7.676;-12.183;-1.126;-10.045;-33.028;-0.228;-12.827;-57.500;0.828;-12.120;-101.700;-6.893;7.531;-12.399;-1.405;9.279;-33.211;-0.319;11.332;-57.644;0.956;10.536;-102.012;-7.739
431.000;17.240;0.064;7.165;-0.126;0.062;13.911;-0.229;-0.018;25.848;-0.393;-0.229;41.731;-1.112;-0.269;46.061;1.984;0.172;52.610;3.159;-6.642;56.662;4.432;7.042;56.751;2.794;-2.198;58.861;11.383;4.337;58.903;10.601;-1.691;36.514;-2.504;-15.798;34.766;-1.335;-20.800;21.705;-2.352;-26.329;7.269;-3.476;-23.078;6.458;8.975;-19.417;5.526;23.691;-20.054;3.910;24.132;-17.419;0.514;30.215;-16.371;0.128;32.403;-14.999;-0.652;34.465;-14.078;-0.779;35.854;-20.133;4.711;24.392;-18.584;2.528;31.331;-16.845;1.827;34.999;-14.928;1.519;37.261;-13.519;1.281;38.725;-19.510;5.754;24.357;-18.232;4.888;32.308;-16.620;4.019;35.924;-13.884;3.460;37.878;-12.067;3.065;38.989;-19.559;6.851;24.349;-17.896;7.337;32.213;-15.605;6.748;35.264;-13.475;6.202;37.040;-11.816;5.585;38.102;-18.264;7.264;25.974;-17.568;9.814;28.617;-16.456;10.638;30.793;-16.327;12.943;32.367;1.532;36.564;-2.335;15.614;34.069;-0.122;21.149;20.533;-1.320;27.267;5.573;-2.645;22.672;4.833;9.369;17.386;3.592;24.108;17.157;1.834;24.838;15.421;-1.003;30.623;13.978;-2.190;33.016;12.095;-2.570;34.528;10.660;-2.754;35.431;17.314;2.680;25.147;16.423;1.027;31.452;14.325;-0.074;35.164;11.727;-0.512;37.242;10.068;-0.630;38.520;16.774;3.775;25.483;16.590;3.164;32.517;14.548;2.173;36.590;12.197;1.924;38.474;10.307;1.833;39.568;16.849;4.693;25.473;16.333;5.691;32.680;14.423;5.385;35.996;12.387;4.870;37.592;10.522;4.570;38.774;16.404;5.583;26.017;16.218;8.568;28.479;15.636;9.341;31.677;15.034;11.646;33.054;0.000;0.000;0.000;-7.677;-12.183;-1.120;-10.051;-33.028;-0.215;-12.838;-57.499;0.848;-12.141;-101.705;-6.869;7.531;-12.400;-1.398;9.273;-33.214;-0.305;11.318;-57.649;0.978;10.508;-102.014;-7.709
432.000;17.280;0.064;7.166;-0.130;0.062;13.914;-0.237;-0.018;25.853;-0.408;-0.229;41.735;-1.146;-0.268;46.065;1.943;0.172;52.612;3.110;-6.642;56.668;4.379;7.043;56.751;2.741;-2.198;58.872;11.327;4.337;58.912;10.546;-1.691;36.515;-2.531;-15.798;34.769;-1.360;-20.800;21.706;-2.369;-26.328;7.269;-3.484;-23.080;6.458;8.971;-19.420;5.528;23.695;-20.060;3.909;24.132;-17.405;0.526;30.216;-16.343;0.130;32.394;-14.991;-0.604;34.472;-14.061;-0.717;35.857;-20.138;4.711;24.391;-18.581;2.550;31.332;-16.841;1.876;35.007;-14.943;1.564;37.277;-13.544;1.337;38.752;-19.519;5.758;24.358;-18.247;4.901;32.302;-16.626;4.080;35.943;-13.891;3.536;37.886;-12.040;3.157;38.944;-19.566;6.865;24.349;-17.898;7.355;32.210;-15.618;6.763;35.261;-13.496;6.208;37.044;-11.833;5.612;38.114;-18.263;7.264;25.945;-17.573;9.821;28.617;-16.455;10.643;30.800;-16.339;12.966;32.350;1.532;36.566;-2.362;15.614;34.075;-0.154;21.153;20.539;-1.350;27.276;5.578;-2.671;22.687;4.840;9.345;17.409;3.602;24.083;17.182;1.841;24.809;15.416;-1.001;30.595;13.993;-2.201;32.980;12.126;-2.590;34.501;10.681;-2.769;35.391;17.338;2.687;25.117;16.439;1.046;31.431;14.376;-0.076;35.148;11.789;-0.524;37.242;10.136;-0.642;38.527;16.789;3.786;25.467;16.620;3.177;32.499;14.573;2.184;36.572;12.227;1.919;38.459;10.333;1.848;39.547;16.864;4.704;25.457;16.354;5.688;32.661;14.450;5.385;35.973;12.430;4.872;37.569;10.550;4.572;38.729;16.409;5.599;25.998;16.234;8.575;28.458;15.636;9.348;31.671;14.996;11.664;33.011;0.000;0.000;0.000;-7.677;-12.183;-1.113;-10.050;-33.029;-0.200;-12.836;-57.499;0.871;-12.135;-101.701;-6.836;7.530;-12.400;-1.391;9.275;-33.213;-0.288;11.323;-57.646;1.006;10.511;-102.013;-7.683
433.000;17.320;0.064;7.167;-0.134;0.062;13.915;-0.246;-0.020;25.856;-0.425;-0.231;41.737;-1.179;-0.273;46.068;1.904;0.164;52.612;3.062;-6.653;56.663;4.326;7.032;56.756;2.693;-2.213;58.875;11.275;4.322;58.920;10.495;-1.693;36.517;-2.559;-15.800;34.771;-1.385;-20.800;21.708;-2.390;-26.327;7.269;-3.500;-23.080;6.459;8.956;-19.422;5.527;23.677;-20.069;3.912;24.119;-17.421;0.518;30.198;-16.347;0.158;32.394;-15.001;-0.583;34.463;-14.070;-0.690;35.849;-20.147;4.714;24.379;-18.578;2.554;31.326;-16.869;1.896;35.000;-14.959;1.576;37.268;-13.575;1.373;38.760;-19.521;5.742;24.346;-18.249;4.917;32.289;-16.657;4.109;35.941;-13.890;3.551;37.863;-12.056;3.170;38.950;-19.561;6.850;24.335;-17.902;7.361;32.195;-15.637;6.756;35.248;-13.507;6.219;37.033;-11.871;5.590;38.124;-18.280;7.270;25.949;-17.589;9.823;28.592;-16.462;10.648;30.778;-16.362;12.959;32.345;1.530;36.567;-2.390;15.615;34.083;-0.181;21.162;20.552;-1.376;27.294;5.597;-2.697;22.707;4.862;9.319;17.431;3.631;24.058;17.207;1.876;24.785;15.436;-0.983;30.563;14.006;-2.182;32.945;12.136;-2.583;34.454;10.685;-2.755;35.333;17.365;2.721;25.096;16.470;1.076;31.404;14.433;-0.049;35.134;11.849;-0.503;37.230;10.193;-0.621;38.511;16.814;3.811;25.441;16.646;3.195;32.473;14.603;2.209;36.542;12.268;1.950;38.435;10.355;1.868;39.490;16.890;4.729;25.430;16.381;5.727;32.636;14.478;5.408;35.947;12.463;4.894;37.542;10.577;4.623;38.698;16.447;5.626;25.979;16.244;8.606;28.429;15.661;9.381;31.633;14.993;11.685;32.980;0.000;0.000;0.000;-7.681;-12.181;-1.109;-10.060;-33.025;-0.193;-12.853;-57.494;0.883;-12.163;-101.699;-6.833;7.527;-12.403;-1.385;9.269;-33.216;-0.271;11.313;-57.647;1.037;10.493;-102.013;-7.658
434.000;17.360;0.065;7.169;-0.138;0.064;13.919;-0.253;-0.016;25.862;-0.438;-0.223;41.742;-1.213;-0.263;46.076;1.863;0.174;52.618;3.013;-6.641;56.674;4.271;7.044;56.758;2.638;-2.200;58.894;11.216;4.335;58.935;10.437;-1.686;36.520;-2.586;-15.795;34.778;-1.416;-20.802;21.716;-2.414;-26.336;7.279;-3.517;-23.095;6.471;8.941;-19.446;5.544;23.665;-20.091;3.929;24.108;-17.437;0.552;30.198;-16.389;0.201;32.390;-15.018;-0.548;34.465;-14.104;-0.657;35.861;-20.173;4.731;24.367;-18.598;2.595;31.316;-16.884;1.934;34.993;-14.986;1.646;37.272;-13.591;1.432;38.752;-19.543;5.758;24.335;-18.293;4.927;32.277;-16.696;4.124;35.939;-13.924;3.599;37.854;-12.066;3.219;38.900;-19.584;6.863;24.321;-17.938;7.387;32.182;-15.672;6.796;35.243;-13.566;6.266;37.044;-11.912;5.647;38.114;-18.305;7.292;25.940;-17.608;9.844;28.575;-16.491;10.676;30.755;-16.406;12.990;32.319;1.537;36.571;-2.417;15.621;34.087;-0.209;21.168;20.558;-1.407;27.299;5.604;-2.731;22.718;4.886;9.288;17.445;3.678;24.032;17.223;1.922;24.760;15.453;-0.939;30.532;14.033;-2.151;32.927;12.127;-2.537;34.415;10.679;-2.718;35.299;17.384;2.767;25.070;16.487;1.131;31.383;14.484;-0.012;35.123;11.888;-0.463;37.212;10.222;-0.566;38.482;16.830;3.871;25.414;16.677;3.268;32.453;14.624;2.279;36.520;12.246;2.040;38.382;10.332;1.978;39.435;16.912;4.788;25.402;16.405;5.787;32.607;14.497;5.483;35.917;12.489;4.971;37.527;10.597;4.676;38.667;16.482;5.670;25.964;16.265;8.655;28.400;15.666;9.453;31.587;15.027;11.766;32.934;0.000;0.000;0.000;-7.682;-12.181;-1.102;-10.062;-33.024;-0.172;-12.857;-57.492;0.921;-12.167;-101.701;-6.772;7.525;-12.405;-1.375;9.264;-33.215;-0.251;11.305;-57.644;1.069;10.480;-102.018;-7.605
435.000;17.400;0.067;7.169;-0.140;0.067;13.919;-0.258;-0.011;25.863;-0.447;-0.218;41.743;-1.234;-0.259;46.076;1.837;0.173;52.617;2.981;-6.643;56.672;4.235;7.042;56.758;2.605;-2.204;58.898;11.180;4.331;58.940;10.402;-1.680;36.520;-2.603;-15.790;34.778;-1.434;-20.798;21.719;-2.432;-26.332;7.284;-3.536;-23.103;6.480;8.924;-19.467;5.552;23.651;-20.109;3.932;24.091;-17.462;0.570;30.190;-16.392;0.242;32.395;-15.045;-0.509;34.463;-14.121;-0.607;35.853;-20.188;4.734;24.347;-18.639;2.581;31.297;-16.928;1.952;34.985;-15.030;1.665;37.262;-13.638;1.453;38.745;-19.589;5.747;24.323;-18.329;4.957;32.270;-16.727;4.118;35.911;-13.947;3.613;37.828;-12.095;3.230;38.884;-19.623;6.853;24.304;-17.976;7.402;32.170;-15.726;6.808;35.239;-13.608;6.267;37.040;-11.955;5.664;38.121;-18.331;7.300;25.913;-17.633;9.854;28.567;-16.501;10.679;30.761;-16.428;13.005;32.308;1.543;36.570;-2.434;15.625;34.091;-0.229;21.179;20.566;-1.428;27.319;5.617;-2.753;22.737;4.912;9.265;17.465;3.717;24.006;17.237;1.974;24.746;15.470;-0.883;30.523;14.057;-2.109;32.903;12.157;-2.499;34.393;10.705;-2.665;35.274;17.399;2.819;25.056;16.509;1.186;31.363;14.515;0.031;35.108;11.929;-0.409;37.199;10.261;-0.515;38.467;16.853;3.895;25.393;16.683;3.312;32.428;14.628;2.346;36.497;12.233;2.099;38.332;10.321;2.048;39.389;16.928;4.813;25.380;16.429;5.837;32.582;14.531;5.535;35.895;12.512;5.017;37.496;10.608;4.729;38.617;16.488;5.720;25.917;16.294;8.693;28.385;15.692;9.501;31.575;15.040;11.820;32.905;0.000;0.000;0.000;-7.682;-12.182;-1.100;-10.059;-33.027;-0.165;-12.850;-57.497;0.933;-12.151;-101.707;-6.760;7.526;-12.406;-1.370;9.266;-33.217;-0.239;11.310;-57.647;1.089;10.488;-102.019;-7.587
436.000;17.440;0.067;7.170;-0.143;0.068;13.921;-0.263;-0.008;25.867;-0.455;-0.215;41.746;-1.252;-0.256;46.080;1.811;0.175;52.621;2.942;-6.642;56.676;4.190;7.043;56.764;2.562;-2.205;58.910;11.134;4.330;58.953;10.356;-1.677;36.522;-2.618;-15.788;34.783;-1.449;-20.801;21.726;-2.443;-26.342;7.295;-3.541;-23.122;6.494;8.921;-19.496;5.574;23.651;-20.145;3.961;24.097;-17.499;0.592;30.193;-16.429;0.301;32.412;-15.086;-0.455;34.472;-14.165;-0.545;35.864;-20.225;4.763;24.355;-18.686;2.601;31.302;-16.959;1.983;34.989;-15.066;1.680;37.261;-13.673;1.481;38.744;-19.615;5.771;24.321;-18.365;4.969;32.266;-16.799;4.154;35.946;-13.965;3.609;37.788;-12.105;3.241;38.835;-19.648;6.877;24.303;-18.014;7.419;32.173;-15.776;6.815;35.245;-13.655;6.283;37.049;-11.998;5.683;38.126;-18.387;7.317;25.932;-17.667;9.876;28.572;-16.526;10.697;30.758;-16.448;13.017;32.314;1.546;36.573;-2.449;15.626;34.095;-0.240;21.189;20.571;-1.427;27.336;5.623;-2.739;22.749;4.939;9.277;17.473;3.769;24.017;17.238;2.032;24.762;15.497;-0.814;30.544;14.059;-2.038;32.926;12.157;-2.425;34.410;10.700;-2.597;35.282;17.399;2.877;25.073;16.517;1.230;31.375;14.514;0.102;35.122;11.930;-0.344;37.211;10.250;-0.448;38.463;16.849;3.949;25.407;16.677;3.361;32.436;14.612;2.402;36.500;12.212;2.173;38.334;10.286;2.133;39.366;16.925;4.866;25.392;16.428;5.896;32.584;14.507;5.613;35.900;12.501;5.095;37.497;10.594;4.815;38.615;16.486;5.772;25.938;16.290;8.761;28.376;15.691;9.558;31.573;15.028;11.876;32.900;0.000;0.000;0.000;-7.681;-12.182;-1.097;-10.058;-33.027;-0.149;-12.849;-57.498;0.964;-12.149;-101.712;-6.702;7.526;-12.406;-1.365;9.268;-33.216;-0.226;11.312;-57.645;1.111;10.495;-102.020;-7.551
437.000;17.480;0.067;7.171;-0.144;0.069;13.923;-0.264;-0.007;25.870;-0.457;-0.213;41.748;-1.267;-0.255;46.082;1.790;0.175;52.621;2.913;-6.643;56.676;4.159;7.042;56.764;2.525;-2.203;58.921;11.098;4.332;58.962;10.318;-1.676;36.523;-2.629;-15.788;34.785;-1.459;-20.806;21.729;-2.445;-26.352;7.299;-3.535;-23.134;6.503;8.930;-19.514;5.588;23.661;-20.152;3.966;24.112;-17.499;0.605;30.194;-16.396;0.314;32.406;-15.076;-0.414;34.489;-14.149;-0.512;35.878;-20.234;4.768;24.370;-18.670;2.625;31.311;-16.952;2.007;34.995;-15.034;1.722;37.263;-13.648;1.497;38.750;-19.620;5.786;24.331;-18.341;4.983;32.275;-16.744;4.165;35.930;-13.909;3.627;37.740;-12.025;3.270;38.748;-19.661;6.888;24.315;-18.017;7.427;32.180;-15.762;6.836;35.247;-13.632;6.305;37.028;-11.960;5.687;38.070;-18.388;7.324;25.937;-17.658;9.881;28.576;-16.521;10.706;30.757;-16.436;13.016;32.327;1.547;36.574;-2.460;15.629;34.102;-0.252;21.202;20.579;-1.424;27.362;5.634;-2.720;22.764;4.960;9.292;17.473;3.804;24.030;17.251;2.055;24.765;15.478;-0.763;30.566;14.050;-1.998;32.938;12.142;-2.385;34.412;10.681;-2.548;35.277;17.410;2.901;25.072;16.510;1.273;31.387;14.498;0.146;35.128;11.913;-0.287;37.211;10.226;-0.380;38.454;16.847;3.986;25.421;16.671;3.417;32.446;14.554;2.458;36.487;12.120;2.229;38.278;10.205;2.181;39.332;16.922;4.904;25.406;16.407;5.948;32.591;14.483;5.654;35.899;12.454;5.145;37.487;10.558;4.841;38.618;16.480;5.810;25.935;16.285;8.796;28.382;15.673;9.602;31.562;15.027;11.916;32.905;0.000;0.000;0.000;-7.682;-12.182;-1.095;-10.058;-33.025;-0.142;-12.848;-57.493;0.977;-12.148;-101.709;-6.678;7.526;-12.407;-1.362;9.268;-33.216;-0.219;11.313;-57.645;1.124;10.496;-102.020;-7.529
438.000;17.520;0.067;7.171;-0.146;0.069;13.923;-0.267;-0.005;25.870;-0.461;-0.218;41.748;-1.280;-0.261;46.083;1.773;0.168;52.622;2.886;-6.651;56.676;4.127;7.033;56.768;2.490;-2.211;58.933;11.061;4.324;58.977;10.280;-1.679;36.522;-2.639;-15.789;34.778;-1.460;-20.813;21.722;-2.441;-26.367;7.291;-3.525;-23.136;6.494;8.940;-19.499;5.578;23.673;-20.144;3.963;24.119;-17.490;0.600;30.205;-16.383;0.311;32.404;-15.045;-0.410;34.478;-14.122;-0.494;35.870;-20.230;4.765;24.376;-18.647;2.617;31.317;-16.907;2.008;34.993;-14.996;1.760;37.267;-13.593;1.507;38.734;-19.583;5.804;24.338;-18.338;4.964;32.269;-16.691;4.181;35.926;-13.795;3.635;37.663;-11.881;3.289;38.616;-19.639;6.909;24.324;-17.994;7.417;32.179;-15.705;6.817;35.229;-13.574;6.292;36.994;-11.897;5.663;38.021;-18.378;7.320;25.938;-17.630;9.882;28.575;-16.474;10.695;30.764;-16.360;13.024;32.304;1.544;36.574;-2.469;15.627;34.106;-0.263;21.217;20.588;-1.420;27.396;5.647;-2.699;22.780;4.972;9.308;17.469;3.814;24.037;17.251;2.073;24.777;15.464;-0.760;30.563;14.031;-1.987;32.944;12.098;-2.360;34.400;10.629;-2.523;35.251;17.411;2.918;25.085;16.493;1.283;31.390;14.486;0.168;35.135;11.892;-0.273;37.213;10.194;-0.362;38.442;16.837;3.996;25.428;16.652;3.436;32.457;14.519;2.473;36.487;12.050;2.251;38.248;10.124;2.207;39.280;16.912;4.913;25.411;16.378;5.967;32.594;14.429;5.678;35.885;12.416;5.177;37.476;10.503;4.874;38.578;16.459;5.825;25.948;16.270;8.819;28.376;15.639;9.621;31.588;15.025;11.964;32.894;0.000;0.000;0.000;-7.682;-12.182;-1.090;-10.061;-33.024;-0.125;-12.854;-57.491;1.008;-12.163;-101.717;-6.616;7.526;-12.407;-1.358;9.263;-33.218;-0.202;11.302;-57.648;1.155;10.476;-102.028;-7.462
