Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
661.000;26.440;-0.370;7.415;-1.565;-0.455;14.582;-1.866;-0.271;27.505;-0.914;-0.391;43.405;-0.916;-0.182;47.413;2.302;0.320;53.581;3.865;-6.426;57.673;5.356;7.220;57.665;3.428;-1.815;59.703;12.249;4.702;59.699;11.328;-2.003;38.264;-2.418;-15.944;36.315;0.201;-21.108;23.318;-0.814;-26.816;8.952;-1.937;-21.071;7.204;9.563;-14.489;5.135;23.094;-14.810;3.391;23.693;-11.600;0.867;29.987;-10.412;0.612;32.130;-8.713;0.211;34.081;-7.569;0.216;35.300;-14.875;4.218;23.856;-12.874;3.033;30.946;-11.022;2.695;34.588;-8.706;2.920;36.489;-7.013;2.971;37.635;-14.214;5.688;23.618;-12.887;5.506;31.630;-11.126;5.031;35.333;-8.335;5.271;37.238;-6.446;5.293;38.298;-14.538;6.716;23.544;-12.760;7.921;31.195;-10.651;8.053;34.399;-8.488;8.041;36.233;-6.796;7.715;37.371;-13.416;7.171;25.209;-12.903;10.201;27.075;-11.394;11.245;29.109;-11.317;13.709;30.423;1.223;38.288;-2.496;15.384;35.445;-1.114;20.791;22.003;-2.910;26.766;7.145;-4.895;22.710;6.270;7.269;18.135;4.906;22.166;18.162;3.075;23.138;17.011;1.222;29.539;15.905;0.187;32.093;13.912;-0.347;33.661;12.547;-0.453;34.678;18.110;3.981;23.248;17.862;3.634;29.933;16.075;2.858;33.892;13.496;2.517;36.004;11.778;2.404;37.201;17.511;5.302;23.468;17.727;5.890;30.586;16.306;5.366;34.988;13.932;5.041;36.903;12.045;5.065;38.006;17.476;6.208;23.308;17.269;8.378;30.318;15.884;8.544;33.931;14.336;8.153;35.948;12.716;7.951;37.464;17.032;6.994;23.755;16.974;10.320;25.636;17.000;12.044;28.373;17.174;14.761;28.778;0.000;0.000;0.000;-6.808;-12.452;2.685;-6.791;-29.143;15.531;-6.771;-48.737;30.611;-4.744;-95.057;30.475;8.312;-11.920;1.112;9.470;-30.138;11.162;10.829;-51.524;22.959;7.163;-95.231;32.152
662.000;26.480;-0.370;7.414;-1.567;-0.455;14.580;-1.870;-0.270;27.503;-0.922;-0.387;43.403;-0.929;-0.177;47.414;2.288;0.329;53.585;3.850;-6.415;57.679;5.342;7.231;57.666;3.407;-1.801;59.712;12.231;4.716;59.706;11.308;-2.001;38.261;-2.430;-15.941;36.317;0.191;-21.111;23.321;-0.816;-26.825;8.956;-1.930;-21.080;7.211;9.571;-14.498;5.149;23.104;-14.824;3.408;23.706;-11.631;0.875;30.003;-10.461;0.584;32.147;-8.707;0.193;34.057;-7.516;0.214;35.230;-14.893;4.235;23.871;-12.903;3.050;30.958;-11.046;2.721;34.598;-8.704;2.939;36.464;-6.982;3.014;37.565;-14.234;5.658;23.636;-12.923;5.518;31.645;-11.167;5.018;35.359;-8.285;5.281;37.143;-6.356;5.305;38.128;-14.542;6.687;23.554;-12.784;7.935;31.210;-10.736;8.051;34.437;-8.569;8.041;36.260;-6.839;7.706;37.336;-13.411;7.172;25.202;-12.914;10.213;27.084;-11.398;11.255;29.109;-11.327;13.709;30.444;1.226;38.285;-2.508;15.386;35.438;-1.129;20.790;21.994;-2.918;26.762;7.135;-4.895;22.702;6.262;7.270;18.120;4.901;22.170;18.151;3.070;23.137;17.009;1.219;29.536;15.886;0.166;32.090;13.886;-0.366;33.641;12.513;-0.470;34.649;18.095;3.975;23.247;17.862;3.636;29.938;16.036;2.841;33.886;13.436;2.508;35.967;11.690;2.379;37.123;17.496;5.309;23.474;17.697;5.887;30.591;16.276;5.367;34.991;13.873;5.032;36.865;11.967;5.050;37.934;17.464;6.216;23.315;17.255;8.380;30.322;15.865;8.538;33.930;14.312;8.148;35.946;12.691;7.950;37.462;17.027;6.996;23.766;16.953;10.318;25.639;16.944;12.053;28.389;17.153;14.769;28.780;0.000;0.000;0.000;-6.809;-12.451;2.687;-6.792;-29.143;15.531;-6.771;-48.739;30.608;-4.745;-95.059;30.464;8.311;-11.920;1.113;9.468;-30.139;11.157;10.826;-51.526;22.948;7.160;-95.235;32.142
663.000;26.520;-0.370;7.413;-1.569;-0.454;14.578;-1.873;-0.269;27.500;-0.929;-0.388;43.400;-0.940;-0.177;47.413;2.277;0.332;53.587;3.836;-6.412;57.682;5.331;7.233;57.667;3.388;-1.792;59.718;12.217;4.724;59.710;11.289;-2.001;38.257;-2.439;-15.943;36.313;0.185;-21.111;23.317;-0.823;-26.824;8.953;-1.936;-21.079;7.213;9.565;-14.501;5.156;23.095;-14.808;3.427;23.705;-11.642;0.867;30.006;-10.486;0.600;32.162;-8.668;0.263;34.015;-7.426;0.324;35.134;-14.880;4.254;23.870;-12.925;3.076;30.961;-11.056;2.752;34.593;-8.675;3.002;36.404;-6.902;3.091;37.418;-14.278;5.646;23.624;-12.942;5.533;31.645;-11.137;5.012;35.314;-8.221;5.313;37.006;-6.230;5.351;37.857;-14.595;6.681;23.546;-12.810;7.944;31.211;-10.779;8.059;34.436;-8.580;8.016;36.219;-6.839;7.683;37.279;-13.393;7.164;25.199;-12.846;10.227;27.080;-11.284;11.251;29.071;-11.120;13.709;30.390;1.226;38.281;-2.518;15.387;35.442;-1.143;20.793;21.996;-2.919;26.769;7.135;-4.882;22.705;6.254;7.282;18.121;4.887;22.180;18.152;3.062;23.150;17.043;1.203;29.540;15.894;0.135;32.095;13.875;-0.401;33.634;12.498;-0.506;34.635;18.100;3.968;23.262;17.832;3.629;29.955;15.980;2.787;33.874;13.314;2.461;35.892;11.556;2.341;37.029;17.488;5.294;23.484;17.678;5.856;30.599;16.213;5.319;34.980;13.776;4.995;36.807;11.834;5.006;37.811;17.457;6.201;23.326;17.230;8.351;30.330;15.823;8.505;33.932;14.255;8.100;35.936;12.626;7.890;37.443;17.008;6.977;23.776;16.918;10.302;25.649;16.916;12.019;28.421;17.079;14.737;28.819;0.000;0.000;0.000;-6.809;-12.450;2.690;-6.792;-29.140;15.535;-6.772;-48.733;30.615;-4.747;-95.052;30.477;8.311;-11.921;1.115;9.468;-30.138;11.161;10.825;-51.523;22.955;7.160;-95.230;32.156
664.000;26.560;-0.369;7.412;-1.569;-0.453;14.578;-1.876;-0.266;27.498;-0.939;-0.383;43.398;-0.951;-0.169;47.413;2.266;0.347;53.590;3.824;-6.394;57.691;5.319;7.250;57.666;3.370;-1.770;59.727;12.202;4.746;59.715;11.271;-1.996;38.256;-2.450;-15.938;36.312;0.183;-21.107;23.317;-0.818;-26.821;8.954;-1.925;-21.070;7.229;9.578;-14.478;5.204;23.110;-14.800;3.459;23.718;-11.699;0.959;30.075;-10.573;0.734;32.244;-8.502;0.598;33.851;-7.094;0.847;34.719;-14.873;4.287;23.876;-13.006;3.162;30.994;-11.106;2.846;34.610;-8.598;3.139;36.226;-6.715;3.291;37.007;-14.258;5.690;23.639;-13.050;5.614;31.670;-11.292;5.118;35.374;-8.260;5.365;36.821;-6.142;5.435;37.268;-14.584;6.726;23.551;-12.896;8.003;31.213;-10.944;8.073;34.474;-8.654;8.047;36.117;-6.823;7.699;37.006;-13.382;7.204;25.243;-12.628;10.249;27.103;-10.945;11.179;29.040;-10.557;13.636;30.313;1.230;38.280;-2.529;15.389;35.440;-1.156;20.802;21.992;-2.915;26.784;7.128;-4.858;22.709;6.216;7.307;18.114;4.811;22.207;18.141;2.977;23.167;17.032;1.076;29.540;15.871;-0.013;32.090;13.820;-0.538;33.604;12.443;-0.657;34.604;18.087;3.883;23.280;17.831;3.498;29.978;15.815;2.668;33.835;13.065;2.292;35.733;11.253;2.215;36.788;17.475;5.201;23.521;17.670;5.757;30.626;16.063;5.179;34.964;13.561;4.871;36.689;11.577;4.859;37.605;17.438;6.108;23.366;17.198;8.243;30.359;15.738;8.391;33.947;14.162;7.949;35.932;12.519;7.732;37.421;16.967;6.895;23.809;16.874;10.213;25.694;16.812;11.910;28.487;16.975;14.626;28.902;0.000;0.000;0.000;-6.810;-12.450;2.690;-6.792;-29.143;15.532;-6.771;-48.738;30.609;-4.747;-95.058;30.461;8.310;-11.921;1.114;9.467;-30.138;11.156;10.824;-51.522;22.945;7.164;-95.231;32.141
665.000;26.600;-0.368;7.409;-1.569;-0.450;14.572;-1.878;-0.261;27.487;-0.948;-0.384;43.387;-0.965;-0.164;47.406;2.251;0.372;53.589;3.802;-6.370;57.686;5.296;7.274;57.667;3.351;-1.750;59.724;12.180;4.766;59.714;11.252;-1.996;38.243;-2.462;-15.932;36.302;0.186;-21.096;23.319;-0.781;-26.804;8.969;-1.849;-21.021;7.308;9.660;-14.359;5.376;23.201;-14.761;3.558;23.787;-12.028;1.333;30.347;-10.794;1.264;32.477;-8.349;1.749;33.138;-6.866;2.450;32.810;-14.785;4.395;23.908;-13.384;3.477;31.165;-11.409;3.223;34.712;-8.506;3.695;35.379;-6.493;4.022;35.224;-14.104;5.879;23.735;-13.402;5.938;31.790;-11.718;5.452;35.488;-8.481;5.675;36.028;-6.429;5.689;35.336;-14.427;6.894;23.604;-13.242;8.278;31.282;-11.413;8.269;34.521;-8.763;8.121;35.442;-6.740;7.719;35.347;-13.331;7.375;25.374;-12.018;10.291;27.120;-10.083;10.861;29.056;-9.006;13.037;30.439;1.231;38.268;-2.542;15.394;35.444;-1.182;20.826;21.994;-2.906;26.831;7.130;-4.811;22.725;6.141;7.356;18.094;4.645;22.262;18.112;2.798;23.197;16.969;0.822;29.532;15.817;-0.269;32.068;13.747;-0.833;33.544;12.355;-0.934;34.524;18.052;3.702;23.316;17.812;3.239;30.024;15.560;2.380;33.750;12.662;2.029;35.413;10.756;1.953;36.286;17.462;5.017;23.577;17.616;5.512;30.663;15.795;4.892;34.908;13.233;4.532;36.513;11.161;4.530;37.208;17.426;5.925;23.428;17.119;7.996;30.429;15.652;8.030;33.997;13.988;7.586;35.921;12.320;7.336;37.377;16.877;6.704;23.854;16.699;10.002;25.825;16.466;11.604;28.636;16.444;14.283;29.264;0.000;0.000;0.000;-6.810;-12.450;2.690;-6.790;-29.141;15.533;-6.766;-48.735;30.609;-4.739;-95.058;30.462;8.310;-11.922;1.113;9.467;-30.138;11.159;10.826;-51.523;22.953;7.169;-95.232;32.142
666.000;26.640;-0.365;7.405;-1.573;-0.450;14.563;-1.886;-0.274;27.472;-0.964;-0.409;43.372;-0.979;-0.178;47.397;2.240;0.392;53.589;3.787;-6.355;57.681;5.273;7.290;57.674;3.335;-1.740;59.731;12.157;4.776;59.728;11.232;-2.018;38.228;-2.475;-15.932;36.310;0.169;-21.110;23.354;-0.545;-26.833;9.034;-1.335;-20.867;7.725;10.105;-13.872;6.284;23.566;-14.714;4.578;24.220;-13.569;2.667;31.204;-12.411;2.528;33.393;-10.148;2.886;32.363;-9.539;3.214;30.840;-14.509;5.399;24.253;-14.540;5.146;31.688;-12.545;4.822;35.108;-9.676;4.720;34.200;-8.641;4.643;32.438;-13.512;6.767;24.094;-13.996;7.680;32.076;-12.586;7.072;35.691;-9.539;6.553;35.070;-8.668;6.312;33.102;-13.558;7.802;23.812;-13.277;9.828;31.378;-12.124;9.741;34.756;-9.521;8.966;34.756;-8.328;8.272;33.221;-12.608;8.179;25.618;-10.456;10.574;27.421;-8.598;10.366;29.582;-6.818;11.849;31.143;1.209;38.255;-2.557;15.372;35.464;-1.230;20.877;22.031;-2.887;26.961;7.185;-4.720;22.744;5.995;7.424;17.969;4.265;22.314;18.040;2.385;23.197;16.873;0.295;29.483;15.733;-0.866;31.992;13.590;-1.426;33.385;12.171;-1.587;34.318;17.955;3.286;23.325;17.678;2.686;30.047;15.186;1.799;33.617;12.100;1.361;34.926;10.121;1.266;35.611;17.316;4.541;23.655;17.407;4.938;30.700;15.353;4.221;34.827;12.641;3.745;36.159;10.515;3.667;36.658;17.237;5.448;23.520;16.791;7.386;30.505;15.245;7.318;34.020;13.509;6.711;35.841;11.781;6.353;37.202;16.651;6.216;23.946;16.076;9.432;26.041;15.356;10.709;28.988;14.772;13.172;30.066;0.000;0.000;0.000;-6.820;-12.444;2.692;-6.803;-29.139;15.537;-6.783;-48.737;30.617;-4.756;-95.059;30.475;8.302;-11.926;1.125;9.460;-30.141;11.173;10.820;-51.524;22.968;7.155;-95.233;32.155
667.000;26.680;-0.361;7.401;-1.575;-0.439;14.556;-1.894;-0.244;27.459;-0.986;-0.391;43.359;-1.017;-0.158;47.394;2.209;0.416;53.596;3.765;-6.331;57.696;5.228;7.317;57.677;3.307;-1.724;59.767;12.112;4.794;59.758;11.194;-1.996;38.212;-2.508;-15.889;36.317;0.118;-21.144;23.357;0.033;-26.951;9.033;-0.062;-20.887;8.919;11.317;-13.713;8.862;24.685;-15.047;7.521;25.565;-15.319;7.302;32.690;-14.028;7.405;34.698;-12.511;6.987;32.999;-13.121;7.132;31.449;-14.515;8.173;25.469;-15.442;10.087;32.598;-13.242;9.630;35.724;-11.312;8.629;33.654;-11.808;8.402;31.683;-13.485;9.218;25.292;-14.114;12.293;32.451;-12.654;11.758;35.891;-10.568;10.066;34.340;-11.106;10.145;32.243;-13.036;10.064;24.782;-12.816;13.942;31.544;-11.860;13.995;34.784;-9.868;12.486;34.153;-9.769;11.823;32.200;-12.069;10.818;26.358;-9.324;12.552;28.217;-7.956;12.088;30.658;-5.859;12.914;32.311;1.230;38.241;-2.591;15.381;35.495;-1.288;21.005;22.086;-2.824;27.221;7.265;-4.521;22.781;5.666;7.537;17.739;3.460;22.342;17.977;1.551;23.125;16.626;-0.941;29.234;15.423;-2.334;31.567;13.304;-3.193;32.803;11.868;-3.538;33.658;17.779;2.429;23.283;17.147;1.426;29.940;14.495;0.190;33.284;11.424;-0.635;34.347;9.424;-0.992;34.868;17.009;3.582;23.654;16.600;3.634;30.715;14.397;2.517;34.689;11.711;1.647;35.828;9.573;1.292;36.113;16.831;4.480;23.553;15.678;5.941;30.616;13.923;5.450;33.957;12.014;4.472;35.412;10.171;3.765;36.446;16.013;5.124;24.056;14.757;7.961;26.386;13.559;8.715;29.417;12.227;10.692;30.791;0.000;0.000;0.000;-6.822;-12.445;2.680;-6.811;-29.137;15.529;-6.797;-48.731;30.613;-4.760;-95.060;30.492;8.303;-11.923;1.144;9.461;-30.137;11.194;10.820;-51.518;22.991;7.153;-95.235;32.164
668.000;26.720;-0.361;7.391;-1.586;-0.434;14.539;-1.919;-0.227;27.431;-1.040;-0.381;43.330;-1.130;-0.163;47.391;2.108;0.369;53.611;3.690;-6.376;57.718;5.144;7.272;57.687;3.227;-1.769;59.799;12.025;4.748;59.785;11.109;-1.984;38.177;-2.602;-15.869;36.390;-0.012;-21.271;23.499;1.119;-27.242;9.250;2.369;-21.157;11.331;13.440;-13.930;13.782;26.471;-15.362;13.351;27.479;-16.751;15.124;33.355;-14.916;14.892;34.927;-14.107;14.049;32.881;-15.359;14.358;31.816;-14.750;13.908;27.302;-16.148;17.731;32.815;-13.695;16.810;35.509;-12.780;15.348;33.069;-13.819;15.428;31.309;-13.745;14.340;27.044;-14.198;19.430;32.160;-12.679;18.635;35.398;-11.466;16.810;33.297;-12.526;16.880;31.410;-12.973;14.787;26.439;-12.372;20.516;31.249;-11.304;20.489;34.331;-10.260;18.336;33.323;-10.798;17.685;31.439;-11.895;15.914;27.598;-9.066;17.556;29.183;-8.149;17.620;31.975;-7.051;17.933;34.526;1.242;38.208;-2.685;15.367;35.509;-1.345;21.150;22.132;-2.664;27.542;7.347;-4.122;22.751;5.047;7.748;17.248;1.995;22.347;17.705;0.106;22.982;16.248;-3.210;28.626;15.063;-5.022;30.699;13.008;-6.376;31.630;11.603;-7.037;32.336;17.364;0.926;23.200;16.174;-0.869;29.615;13.532;-2.990;32.498;10.620;-4.432;33.252;8.682;-5.198;33.490;16.434;1.923;23.587;15.201;1.054;30.516;12.877;-0.824;34.113;10.303;-2.196;34.968;8.235;-2.904;34.982;16.126;2.790;23.551;13.864;3.108;30.522;11.771;1.873;33.422;9.830;0.390;34.303;7.984;-0.757;34.794;15.165;3.181;24.013;12.921;5.232;26.535;11.168;5.182;29.379;9.228;6.419;30.889;0.000;0.000;0.000;-6.816;-12.449;2.677;-6.825;-29.144;15.521;-6.837;-48.743;30.598;-4.790;-95.069;30.486;8.313;-11.913;1.185;9.453;-30.132;11.221;10.792;-51.521;23.002;7.123;-95.242;32.167
669.000;26.760;-0.359;7.391;-1.595;-0.426;14.539;-1.953;-0.202;27.430;-1.138;-0.319;43.328;-1.347;-0.118;47.417;1.892;0.330;53.642;3.498;-6.431;57.721;4.958;7.221;57.742;3.062;-1.841;59.790;11.854;4.678;59.800;10.948;-1.937;38.168;-2.777;-15.809;36.601;-0.167;-21.403;24.004;2.729;-27.585;10.081;5.930;-21.534;14.767;16.056;-14.356;20.261;27.983;-15.836;20.331;28.857;-17.404;23.646;33.829;-15.520;23.533;35.362;-14.931;22.070;33.653;-16.056;22.375;32.454;-15.181;20.781;28.566;-16.493;25.884;32.647;-14.149;25.079;35.454;-13.487;23.072;33.374;-14.588;22.900;31.659;-13.999;20.997;28.332;-14.264;27.087;31.700;-12.949;26.585;35.060;-12.085;24.410;33.171;-13.163;24.278;31.297;-13.172;21.206;27.649;-12.199;27.786;30.768;-11.216;27.999;33.739;-10.623;25.588;33.145;-11.163;24.971;31.250;-12.039;22.409;28.641;-9.106;24.208;29.737;-8.233;24.999;32.514;-8.063;25.770;35.195;1.290;38.190;-2.865;15.376;35.487;-1.455;21.361;22.137;-2.350;27.977;7.381;-3.340;22.640;4.042;8.130;16.471;-0.274;22.237;17.173;-2.112;22.701;15.659;-6.356;27.675;14.554;-8.604;29.335;12.721;-10.395;29.855;11.416;-11.394;30.313;16.690;-1.381;22.963;15.017;-4.282;28.878;12.519;-7.128;31.167;9.836;-9.154;31.356;8.088;-10.313;31.320;15.575;-0.656;23.372;13.611;-2.634;29.892;11.315;-5.407;32.872;8.951;-7.300;33.218;7.060;-8.369;32.978;15.120;0.144;23.385;11.928;-0.857;29.958;9.771;-2.901;32.273;8.047;-4.775;32.641;6.402;-6.278;32.668;14.036;0.349;23.808;10.998;1.245;26.188;8.952;0.306;28.676;6.564;0.709;29.982;0.000;0.000;0.000;-6.816;-12.450;2.675;-6.829;-29.148;15.510;-6.845;-48.750;30.577;-4.798;-95.073;30.478;8.314;-11.911;1.193;9.447;-30.139;11.216;10.777;-51.536;22.983;7.107;-95.246;32.159
