Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
152.000;6.080;-0.021;7.123;-0.178;0.013;13.827;-0.448;0.141;25.683;-1.056;0.105;41.552;-2.057;0.413;45.882;0.849;1.199;52.385;1.673;-5.532;56.546;3.041;8.118;56.424;1.135;-0.921;58.744;9.882;5.597;58.686;8.972;-1.532;36.335;-3.236;-15.586;34.886;-1.160;-20.721;21.903;-1.963;-26.397;7.552;-2.850;-23.533;5.596;9.597;-20.435;3.237;24.170;-21.156;1.714;24.988;-18.977;-0.635;31.848;-18.165;-0.856;34.166;-17.455;-1.567;36.535;-16.848;-1.590;38.093;-21.152;2.556;25.071;-19.761;1.781;32.414;-17.698;1.901;35.962;-15.949;2.101;38.358;-14.666;2.130;39.949;-20.225;3.720;24.658;-19.397;4.374;32.701;-17.402;4.760;36.265;-15.487;5.175;38.921;-14.206;5.284;40.664;-20.331;4.753;24.450;-18.966;6.697;32.140;-17.203;7.312;35.539;-15.740;7.532;37.901;-14.561;7.354;39.586;-19.266;5.409;26.137;-18.380;8.626;27.504;-16.771;9.922;29.479;-17.066;12.535;30.424;1.695;36.337;-3.310;15.898;33.367;-2.291;20.416;19.575;-3.982;25.409;4.331;-5.850;22.985;3.250;6.704;20.487;1.611;21.948;20.428;-0.153;23.011;19.432;-1.911;29.534;18.793;-2.844;32.280;17.719;-3.311;34.396;16.844;-3.645;35.821;20.561;0.745;23.122;20.490;0.377;29.787;19.546;0.113;34.073;18.056;0.002;37.057;17.029;0.054;38.885;19.997;1.888;23.320;20.780;2.670;30.418;20.177;2.847;35.015;18.973;2.906;37.787;17.897;3.163;39.672;19.982;2.789;23.134;20.516;5.264;30.115;20.037;6.282;33.840;19.395;6.604;36.346;18.613;6.895;38.412;19.668;3.809;23.634;19.876;7.252;25.231;20.088;8.879;28.062;19.755;11.588;28.413;0.000;0.000;0.000;-7.546;-12.311;-0.335;-9.087;-33.217;-0.188;-10.897;-57.759;-0.016;-9.452;-101.784;-9.650;7.554;-12.273;-2.176;9.695;-33.175;-1.646;12.208;-57.712;-1.024;11.302;-102.028;-10.435
153.000;6.120;-0.021;7.123;-0.186;0.011;13.827;-0.462;0.134;25.684;-1.080;0.095;41.552;-2.094;0.399;45.886;0.812;1.180;52.391;1.638;-5.551;56.550;3.003;8.099;56.431;1.100;-0.942;58.752;9.845;5.576;58.695;8.936;-1.541;36.333;-3.269;-15.595;34.883;-1.200;-20.721;21.893;-1.976;-26.386;7.534;-2.833;-23.527;5.626;9.622;-20.437;3.323;24.203;-21.159;1.806;25.030;-18.975;-0.508;31.894;-18.148;-0.678;34.213;-17.406;-1.371;36.579;-16.773;-1.365;38.127;-21.160;2.648;25.111;-19.748;1.906;32.452;-17.661;2.027;35.979;-15.880;2.249;38.354;-14.582;2.259;39.935;-20.218;3.811;24.684;-19.396;4.510;32.723;-17.428;4.922;36.298;-15.469;5.346;38.944;-14.205;5.465;40.699;-20.326;4.835;24.474;-18.981;6.813;32.160;-17.230;7.438;35.555;-15.716;7.670;37.895;-14.544;7.490;39.585;-19.276;5.507;26.160;-18.390;8.723;27.495;-16.787;10.031;29.489;-17.083;12.649;30.420;1.686;36.337;-3.342;15.888;33.371;-2.313;20.415;19.580;-3.998;25.418;4.338;-5.860;22.985;3.272;6.694;20.477;1.650;21.939;20.421;-0.114;23.002;19.418;-1.861;29.529;18.775;-2.797;32.271;17.695;-3.261;34.380;16.805;-3.595;35.797;20.552;0.785;23.113;20.469;0.422;29.778;19.517;0.157;34.057;17.992;0.044;37.036;16.955;0.101;38.858;19.987;1.935;23.311;20.759;2.729;30.406;20.132;2.908;35.002;18.896;2.958;37.763;17.805;3.213;39.641;19.972;2.836;23.123;20.501;5.306;30.104;20.022;6.323;33.827;19.372;6.641;36.339;18.592;6.930;38.406;19.653;3.853;23.614;19.862;7.298;25.211;20.066;8.927;28.040;19.737;11.636;28.394;0.000;0.000;0.000;-7.546;-12.311;-0.332;-9.103;-33.215;-0.160;-10.930;-57.755;0.041;-9.496;-101.781;-9.593;7.556;-12.276;-2.152;9.682;-33.176;-1.601;12.179;-57.710;-0.954;11.257;-102.024;-10.378
154.000;6.160;-0.020;7.123;-0.192;0.011;13.828;-0.473;0.128;25.685;-1.096;0.086;41.553;-2.116;0.385;45.889;0.791;1.159;52.396;1.622;-5.579;56.547;2.984;8.073;56.444;1.089;-0.976;58.752;9.829;5.543;58.703;8.924;-1.548;36.333;-3.290;-15.605;34.882;-1.230;-20.720;21.885;-1.989;-26.374;7.520;-2.828;-23.521;5.647;9.634;-20.439;3.383;24.223;-21.164;1.865;25.052;-18.968;-0.428;31.915;-18.146;-0.569;34.230;-17.361;-1.242;36.599;-16.716;-1.228;38.142;-21.163;2.708;25.132;-19.747;1.981;32.472;-17.617;2.118;35.974;-15.811;2.342;38.328;-14.502;2.346;39.900;-20.229;3.856;24.708;-19.403;4.582;32.738;-17.442;5.026;36.308;-15.445;5.454;38.931;-14.165;5.569;40.674;-20.330;4.881;24.493;-18.990;6.882;32.172;-17.228;7.494;35.560;-15.695;7.716;37.894;-14.514;7.531;39.577;-19.271;5.575;26.177;-18.398;8.795;27.508;-16.798;10.103;29.504;-17.094;12.725;30.423;1.679;36.337;-3.362;15.880;33.375;-2.324;20.414;19.587;-4.005;25.426;4.347;-5.862;22.979;3.286;6.689;20.449;1.669;21.933;20.401;-0.093;22.996;19.392;-1.843;29.525;18.752;-2.777;32.262;17.661;-3.236;34.372;16.770;-3.577;35.787;20.531;0.805;23.106;20.439;0.438;29.772;19.480;0.175;34.049;17.947;0.066;37.022;16.903;0.124;38.840;19.961;1.951;23.308;20.734;2.751;30.399;20.092;2.932;34.994;18.837;2.981;37.751;17.755;3.239;39.633;19.945;2.852;23.120;20.473;5.330;30.099;20.013;6.339;33.821;19.365;6.657;36.336;18.593;6.943;38.407;19.617;3.873;23.611;19.843;7.321;25.196;20.041;8.947;28.030;19.720;11.657;28.383;0.000;0.000;0.000;-7.550;-12.309;-0.329;-9.120;-33.212;-0.133;-10.962;-57.751;0.096;-9.538;-101.777;-9.534;7.555;-12.280;-2.129;9.671;-33.177;-1.556;12.156;-57.708;-0.882;11.216;-102.022;-10.317
155.000;6.200;-0.018;7.123;-0.198;0.013;13.828;-0.481;0.128;25.685;-1.107;0.081;41.553;-2.128;0.377;45.890;0.781;1.143;52.398;1.614;-5.598;56.543;2.977;8.054;56.453;1.085;-1.000;58.749;9.824;5.519;58.705;8.921;-1.550;36.332;-3.303;-15.609;34.877;-1.252;-20.717;21.877;-2.013;-26.363;7.509;-2.854;-23.517;5.650;9.612;-20.445;3.403;24.206;-21.169;1.888;25.037;-18.975;-0.397;31.898;-18.144;-0.530;34.212;-17.311;-1.195;36.569;-16.640;-1.179;38.100;-21.171;2.730;25.115;-19.760;2.003;32.451;-17.624;2.140;35.955;-15.814;2.348;38.308;-14.510;2.358;39.883;-20.242;3.873;24.693;-19.424;4.604;32.721;-17.443;5.060;36.281;-15.410;5.496;38.869;-14.098;5.601;40.589;-20.339;4.898;24.476;-18.996;6.909;32.147;-17.212;7.498;35.527;-15.657;7.697;37.857;-14.459;7.502;39.527;-19.279;5.597;26.160;-18.405;8.817;27.496;-16.807;10.118;29.481;-17.106;12.736;30.410;1.677;36.337;-3.372;15.878;33.380;-2.325;20.421;19.595;-4.005;25.442;4.360;-5.862;22.974;3.297;6.685;20.417;1.678;21.924;20.370;-0.083;22.988;19.349;-1.833;29.518;18.711;-2.773;32.250;17.627;-3.221;34.363;16.738;-3.557;35.780;20.498;0.815;23.099;20.403;0.445;29.764;19.441;0.183;34.039;17.916;0.079;37.011;16.862;0.136;38.824;19.933;1.953;23.301;20.696;2.746;30.394;20.061;2.932;34.985;18.799;2.982;37.744;17.721;3.242;39.627;19.916;2.854;23.113;20.443;5.343;30.095;19.996;6.344;33.813;19.351;6.661;36.331;18.572;6.951;38.398;19.596;3.880;23.595;19.820;7.331;25.186;20.009;8.957;28.024;19.710;11.670;28.377;0.000;0.000;0.000;-7.553;-12.306;-0.325;-9.137;-33.211;-0.111;-10.996;-57.752;0.141;-9.577;-101.778;-9.482;7.553;-12.285;-2.112;9.657;-33.185;-1.517;12.127;-57.721;-0.818;11.182;-102.024;-10.265
156.000;6.240;-0.017;7.124;-0.201;0.014;13.828;-0.486;0.127;25.686;-1.113;0.075;41.554;-2.128;0.366;45.891;0.783;1.129;52.402;1.621;-5.612;56.545;2.984;8.040;56.457;1.094;-1.015;58.749;9.833;5.504;58.707;8.930;-1.553;36.333;-3.307;-15.613;34.868;-1.266;-20.713;21.867;-2.040;-26.351;7.496;-2.895;-23.513;5.640;9.572;-20.447;3.395;24.168;-21.170;1.886;25.001;-18.977;-0.398;31.863;-18.107;-0.524;34.169;-17.229;-1.178;36.505;-16.513;-1.145;38.016;-21.176;2.729;25.080;-19.758;1.993;32.407;-17.631;2.130;35.915;-15.820;2.330;38.267;-14.516;2.342;39.842;-20.244;3.870;24.657;-19.464;4.576;32.689;-17.423;5.050;36.226;-15.359;5.484;38.785;-14.013;5.588;40.479;-20.343;4.895;24.442;-19.011;6.902;32.112;-17.220;7.487;35.489;-15.665;7.681;37.819;-14.465;7.476;39.487;-19.285;5.588;26.125;-18.407;8.807;27.462;-16.802;10.100;29.452;-17.097;12.720;30.379;1.674;36.340;-3.373;15.875;33.388;-2.313;20.427;19.607;-3.997;25.458;4.374;-5.859;22.961;3.306;6.683;20.370;1.679;21.915;20.318;-0.080;22.976;19.282;-1.835;29.501;18.639;-2.782;32.231;17.555;-3.227;34.341;16.661;-3.558;35.756;20.447;0.818;23.090;20.345;0.435;29.752;19.374;0.174;34.025;17.847;0.067;36.995;16.790;0.129;38.806;19.882;1.958;23.291;20.646;2.737;30.385;19.999;2.909;34.977;18.731;2.959;37.731;17.650;3.216;39.613;19.869;2.860;23.106;20.400;5.337;30.087;19.961;6.329;33.808;19.309;6.639;36.328;18.528;6.939;38.393;19.552;3.885;23.580;19.786;7.332;25.180;19.983;8.958;28.019;19.682;11.670;28.376;0.000;0.000;0.000;-7.556;-12.305;-0.326;-9.152;-33.210;-0.097;-11.026;-57.752;0.171;-9.611;-101.782;-9.432;7.552;-12.287;-2.099;9.645;-33.190;-1.483;12.102;-57.728;-0.760;11.149;-102.028;-10.214
157.000;6.280;-0.016;7.124;-0.203;0.014;13.829;-0.489;0.126;25.688;-1.114;0.068;41.557;-2.120;0.356;45.894;0.797;1.121;52.405;1.642;-5.619;56.552;3.002;8.033;56.458;1.114;-1.022;58.757;9.851;5.497;58.712;8.949;-1.556;36.336;-3.304;-15.618;34.862;-1.280;-20.711;21.859;-2.079;-26.341;7.487;-2.962;-23.519;5.623;9.508;-20.471;3.370;24.108;-21.197;1.861;24.939;-18.993;-0.417;31.792;-18.021;-0.531;34.072;-17.041;-1.149;36.351;-16.201;-1.065;37.794;-21.205;2.703;25.020;-19.794;1.964;32.341;-17.669;2.093;35.847;-15.840;2.290;38.187;-14.522;2.284;39.751;-20.255;3.871;24.586;-19.520;4.534;32.625;-17.432;5.031;36.135;-15.337;5.439;38.678;-13.955;5.547;40.342;-20.367;4.883;24.375;-19.067;6.861;32.058;-17.289;7.449;35.445;-15.740;7.647;37.773;-14.551;7.436;39.447;-19.313;5.559;26.067;-18.430;8.774;27.411;-16.812;10.052;29.423;-17.095;12.676;30.340;1.671;36.344;-3.366;15.872;33.397;-2.287;20.433;19.618;-3.975;25.473;4.389;-5.840;22.942;3.319;6.695;20.306;1.684;21.921;20.245;-0.076;22.974;19.192;-1.851;29.485;18.538;-2.781;32.225;17.446;-3.221;34.333;16.552;-3.534;35.752;20.378;0.821;23.092;20.264;0.422;29.750;19.266;0.147;34.022;17.723;0.046;36.983;16.664;0.114;38.793;19.817;1.964;23.295;20.573;2.724;30.393;19.885;2.868;34.983;18.622;2.919;37.728;17.535;3.168;39.608;19.807;2.866;23.111;20.340;5.310;30.099;19.893;6.295;33.830;19.231;6.599;36.348;18.460;6.887;38.420;19.522;3.892;23.592;19.749;7.332;25.196;19.961;8.951;28.038;19.647;11.661;28.400;0.000;0.000;0.000;-7.557;-12.304;-0.330;-9.163;-33.209;-0.091;-11.048;-57.750;0.188;-9.639;-101.786;-9.392;7.552;-12.289;-2.085;9.639;-33.190;-1.453;12.089;-57.725;-0.712;11.125;-102.035;-10.173
158.000;6.320;-0.015;7.124;-0.203;0.015;13.829;-0.488;0.127;25.688;-1.111;0.068;41.558;-2.104;0.352;45.893;0.818;1.124;52.403;1.673;-5.612;56.556;3.035;8.040;56.450;1.149;-1.014;58.753;9.885;5.505;58.702;8.985;-1.554;36.338;-3.294;-15.619;34.854;-1.291;-20.708;21.852;-2.130;-26.333;7.481;-3.056;-23.534;5.619;9.422;-20.510;3.372;24.033;-21.240;1.847;24.851;-19.059;-0.376;31.718;-18.062;-0.472;33.989;-16.760;-1.010;36.126;-15.655;-0.824;37.367;-21.246;2.689;24.931;-19.885;1.965;32.257;-17.752;2.076;35.774;-15.807;2.255;38.024;-14.376;2.222;39.484;-20.300;3.875;24.506;-19.589;4.524;32.543;-17.507;5.002;36.050;-15.353;5.392;38.560;-13.933;5.468;40.194;-20.417;4.886;24.297;-19.160;6.838;31.990;-17.414;7.402;35.401;-15.884;7.580;37.735;-14.705;7.357;39.415;-19.365;5.552;26.002;-18.402;8.735;27.396;-16.733;9.918;29.436;-16.894;12.533;30.409;1.673;36.346;-3.351;15.872;33.402;-2.251;20.450;19.631;-3.935;25.510;4.410;-5.797;22.923;3.337;6.728;20.211;1.695;21.947;20.113;-0.071;22.989;19.029;-1.866;29.483;18.336;-2.745;32.231;17.233;-3.153;34.348;16.345;-3.440;35.776;20.260;0.822;23.112;20.134;0.385;29.765;19.087;0.094;34.031;17.518;0.004;36.975;16.445;0.083;38.776;19.733;1.991;23.313;20.473;2.672;30.430;19.764;2.791;35.021;18.496;2.841;37.763;17.399;3.091;39.637;19.749;2.895;23.136;20.289;5.258;30.151;19.839;6.220;33.897;19.165;6.523;36.413;18.395;6.789;38.487;19.466;3.911;23.648;19.749;7.344;25.241;19.985;8.943;28.104;19.707;11.656;28.474;0.000;0.000;0.000;-7.558;-12.303;-0.338;-9.171;-33.209;-0.094;-11.065;-57.750;0.193;-9.657;-101.783;-9.366;7.554;-12.290;-2.074;9.633;-33.190;-1.432;12.073;-57.725;-0.679;11.104;-102.039;-10.142
159.000;6.360;-0.015;7.122;-0.203;0.017;13.825;-0.486;0.130;25.680;-1.105;0.067;41.550;-2.088;0.352;45.885;0.839;1.144;52.395;1.701;-5.595;56.544;3.066;8.059;56.443;1.188;-1.001;58.729;9.923;5.519;58.681;9.027;-1.551;36.330;-3.284;-15.615;34.830;-1.287;-20.706;21.840;-2.178;-26.332;7.483;-3.162;-23.535;5.726;9.333;-20.496;3.618;23.984;-21.237;2.057;24.746;-19.162;-0.252;31.616;-18.201;-0.392;33.873;-15.978;-0.634;35.152;-14.391;-0.197;35.442;-21.222;2.898;24.833;-20.042;2.044;32.176;-17.894;1.958;35.693;-15.411;1.981;37.383;-13.561;1.853;38.244;-20.340;4.113;24.464;-19.683;4.644;32.505;-17.653;4.972;36.061;-15.372;5.232;38.475;-13.847;5.195;40.012;-20.451;5.139;24.276;-19.221;6.922;32.001;-17.504;7.299;35.453;-15.983;7.295;37.800;-14.779;6.973;39.446;-19.349;5.717;26.031;-18.037;8.709;27.639;-16.208;9.527;29.769;-15.891;11.997;31.038;1.676;36.340;-3.336;15.870;33.406;-2.218;20.508;19.650;-3.836;25.633;4.445;-5.624;22.857;3.413;6.878;19.885;1.805;22.078;19.627;0.056;23.108;18.484;-1.783;29.552;17.718;-2.552;32.316;16.629;-2.853;34.460;15.751;-3.063;35.908;19.851;0.931;23.252;19.767;0.320;29.864;18.671;0.082;34.121;17.078;0.078;37.059;16.002;0.216;38.854;19.442;2.178;23.423;20.262;2.575;30.555;19.586;2.665;35.158;18.331;2.764;37.908;17.244;3.058;39.781;19.553;3.079;23.264;20.280;5.182;30.337;19.898;6.038;34.130;19.232;6.334;36.644;18.474;6.586;38.725;19.258;4.048;23.829;19.913;7.409;25.469;20.212;8.931;28.384;20.176;11.651;28.799;0.000;0.000;0.000;-7.558;-12.303;-0.348;-9.177;-33.208;-0.099;-11.078;-57.750;0.193;-9.672;-101.783;-9.343;7.556;-12.290;-2.065;9.625;-33.193;-1.419;12.054;-57.731;-0.661;11.084;-102.041;-10.116
160.000;6.400;-0.014;7.118;-0.201;0.024;13.816;-0.482;0.154;25.665;-1.094;0.073;41.536;-2.059;0.361;45.868;0.872;1.178;52.379;1.733;-5.564;56.518;3.108;8.092;56.435;1.244;-0.979;58.679;9.979;5.542;58.639;9.088;-1.537;36.315;-3.263;-15.588;34.790;-1.260;-20.781;21.854;-2.139;-26.521;7.557;-3.110;-23.615;6.204;9.400;-20.416;4.616;24.096;-21.273;3.030;24.771;-19.354;0.415;31.575;-18.289;0.129;33.731;-15.769;0.208;33.395;-14.721;0.821;32.244;-21.171;3.864;24.870;-20.229;2.724;32.227;-17.840;2.170;35.505;-14.830;1.995;35.687;-12.943;1.784;34.928;-20.296;5.118;24.591;-19.735;5.347;32.679;-18.103;5.292;36.455;-15.614;5.018;38.657;-13.816;4.567;39.778;-20.323;6.166;24.431;-19.034;7.569;32.223;-17.484;7.572;35.742;-15.805;7.192;37.951;-14.404;6.584;39.340;-19.054;6.499;26.287;-16.958;8.842;28.148;-14.834;8.722;30.352;-13.579;10.313;32.276;1.691;36.329;-3.311;15.887;33.452;-2.172;20.705;19.721;-3.570;26.030;4.544;-5.115;22.770;3.715;7.318;19.132;2.298;22.442;18.454;0.681;23.429;16.973;-1.204;29.735;16.173;-1.773;32.540;15.163;-1.833;34.742;14.333;-1.821;36.232;18.897;1.453;23.626;18.709;0.455;30.106;17.714;0.446;34.388;16.245;0.769;37.393;15.309;1.112;39.238;18.788;2.729;23.793;19.735;2.470;30.908;19.203;2.525;35.532;18.117;2.821;38.335;17.183;3.281;40.256;19.137;3.574;23.687;20.365;4.956;30.850;20.214;5.605;34.704;19.664;5.879;37.262;19.062;6.129;39.394;19.031;4.529;24.300;20.576;7.511;26.120;21.217;8.782;29.098;21.880;11.391;29.668;0.000;0.000;0.000;-7.556;-12.304;-0.351;-9.178;-33.209;-0.098;-11.083;-57.750;0.198;-9.683;-101.793;-9.311;7.559;-12.289;-2.064;9.623;-33.194;-1.416;12.047;-57.735;-0.655;11.075;-102.042;-10.089
