Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2413.000;96.520;0.063;7.183;-0.200;0.059;13.945;-0.425;-0.032;25.908;-0.869;-0.306;41.788;-1.642;-0.491;46.158;1.424;-0.263;52.781;2.502;-7.151;56.896;2.815;6.631;56.885;2.822;-3.553;59.317;10.169;3.029;59.312;10.173;-1.707;36.559;-3.052;-15.775;34.639;-2.241;-20.733;21.703;-4.142;-26.213;7.406;-6.242;-22.152;7.044;5.904;-17.590;6.545;20.159;-18.091;4.967;21.114;-15.496;3.924;27.989;-14.143;4.484;29.997;-12.523;4.724;32.003;-11.333;5.290;33.032;-18.199;5.807;21.100;-16.846;6.073;28.426;-14.125;6.962;31.442;-12.041;7.591;33.458;-10.558;7.949;34.821;-17.520;7.058;20.649;-16.858;8.671;28.358;-14.285;9.257;31.451;-11.725;9.861;33.571;-10.226;10.151;35.107;-17.787;8.051;20.321;-16.745;10.931;27.536;-14.226;11.536;30.428;-12.004;11.762;32.203;-10.321;11.653;33.395;-16.720;8.958;21.837;-16.504;12.356;23.023;-15.178;13.811;24.814;-15.238;16.451;25.729;1.510;36.626;-2.806;15.630;34.412;-0.307;20.874;20.908;-1.159;26.670;5.983;-2.101;21.873;8.143;9.432;16.397;10.463;23.654;16.100;8.988;25.004;13.665;8.636;31.378;12.007;7.994;33.871;10.045;7.892;35.311;8.521;7.857;36.077;16.177;9.896;24.931;14.514;10.992;31.329;12.538;11.316;35.283;9.791;11.641;37.248;8.000;12.037;38.265;15.640;11.142;24.720;14.629;13.404;31.489;12.849;14.210;35.773;10.450;14.668;37.608;8.496;15.051;38.510;15.719;11.980;24.348;14.183;15.846;30.457;12.056;17.485;33.282;10.169;18.073;35.002;8.422;18.573;36.293;15.122;13.032;24.612;14.708;16.750;25.444;13.416;18.826;27.643;12.834;21.516;27.620;0.000;0.000;0.000;-7.652;-12.193;-1.173;-10.573;-32.871;-0.478;-14.003;-57.146;0.338;-14.446;-101.276;-8.612;7.557;-12.407;-1.167;9.434;-33.033;-0.420;11.638;-57.246;0.458;11.483;-101.558;-9.300
2414.000;96.560;0.062;7.184;-0.194;0.054;13.947;-0.408;-0.040;25.911;-0.824;-0.325;41.790;-1.602;-0.508;46.160;1.456;-0.278;52.783;2.518;-7.160;56.901;2.927;6.621;56.887;2.706;-3.440;59.353;10.210;3.141;59.346;10.105;-1.724;36.560;-3.010;-15.794;34.635;-2.185;-20.748;21.695;-4.065;-26.223;7.393;-6.143;-22.161;7.103;6.002;-17.595;6.684;20.251;-18.112;5.140;21.226;-15.558;4.213;28.121;-14.184;4.876;30.123;-12.623;5.167;32.156;-11.492;5.787;33.221;-18.237;5.977;21.203;-16.913;6.362;28.514;-14.149;7.301;31.496;-12.150;8.002;33.559;-10.712;8.397;34.958;-17.535;7.203;20.730;-16.949;8.929;28.400;-14.316;9.575;31.442;-11.764;10.265;33.552;-10.286;10.620;35.094;-17.800;8.186;20.386;-16.830;11.182;27.558;-14.367;11.846;30.478;-12.179;12.109;32.295;-10.527;12.042;33.531;-16.813;9.159;21.926;-16.557;12.555;22.993;-15.217;14.020;24.774;-15.225;16.661;25.688;1.494;36.629;-2.765;15.617;34.419;-0.278;20.877;20.921;-1.140;26.690;6.002;-2.093;21.962;8.262;9.452;16.446;10.574;23.661;16.122;9.105;24.995;13.639;8.733;31.342;11.992;8.159;33.844;10.025;8.078;35.310;8.534;8.057;36.139;16.204;10.013;24.930;14.511;11.072;31.327;12.453;11.376;35.241;9.701;11.710;37.182;7.908;12.114;38.191;15.702;11.266;24.711;14.618;13.462;31.504;12.768;14.234;35.767;10.350;14.699;37.578;8.400;15.089;38.485;15.793;12.108;24.349;14.247;15.922;30.512;12.161;17.523;33.405;10.305;18.098;35.161;8.579;18.602;36.478;15.205;13.166;24.639;14.838;16.882;25.486;13.553;18.960;27.722;13.032;21.662;27.695;0.000;0.000;0.000;-7.649;-12.195;-1.178;-10.575;-32.876;-0.465;-14.009;-57.154;0.372;-14.463;-101.287;-8.529;7.561;-12.405;-1.171;9.438;-33.034;-0.403;11.641;-57.251;0.498;11.488;-101.572;-9.224
2415.000;96.600;0.059;7.187;-0.191;0.048;13.952;-0.397;-0.054;25.922;-0.795;-0.341;41.801;-1.571;-0.517;46.168;1.483;-0.277;52.791;2.534;-7.149;56.912;3.046;6.627;56.891;2.609;-3.314;59.371;10.267;3.264;59.361;10.059;-1.742;36.570;-2.977;-15.810;34.646;-2.138;-20.763;21.703;-3.995;-26.237;7.397;-6.049;-22.137;7.208;6.078;-17.525;6.906;20.306;-18.060;5.373;21.305;-15.488;4.564;28.211;-14.140;5.330;30.198;-12.594;5.699;32.244;-11.501;6.340;33.335;-18.194;6.208;21.270;-16.829;6.731;28.553;-14.081;7.738;31.513;-12.187;8.521;33.640;-10.776;8.925;35.063;-17.447;7.406;20.789;-16.892;9.256;28.405;-14.250;10.025;31.395;-11.726;10.711;33.517;-10.219;11.128;35.016;-17.705;8.393;20.420;-16.795;11.524;27.525;-14.314;12.231;30.429;-12.150;12.543;32.246;-10.485;12.512;33.467;-16.744;9.397;21.928;-16.477;12.813;22.931;-15.149;14.287;24.731;-15.114;16.951;25.574;1.477;36.640;-2.738;15.605;34.424;-0.270;20.890;20.933;-1.146;26.732;6.021;-2.115;21.943;8.282;9.388;16.451;10.713;23.585;16.041;9.218;24.884;13.450;8.812;31.174;11.778;8.321;33.667;9.853;8.267;35.180;8.384;8.267;36.047;16.139;10.125;24.835;14.385;11.109;31.236;12.248;11.390;35.111;9.485;11.748;37.040;7.706;12.173;38.067;15.720;11.397;24.626;14.538;13.494;31.475;12.598;14.187;35.708;10.186;14.670;37.494;8.255;15.087;38.430;15.836;12.245;24.286;14.332;15.957;30.566;12.385;17.420;33.643;10.583;17.960;35.461;8.880;18.403;36.830;15.277;13.331;24.617;14.994;17.032;25.541;13.742;19.087;27.818;13.294;21.802;27.851;0.000;0.000;0.000;-7.646;-12.197;-1.175;-10.573;-32.876;-0.451;-14.010;-57.151;0.400;-14.478;-101.294;-8.467;7.564;-12.402;-1.178;9.440;-33.034;-0.393;11.642;-57.254;0.528;11.473;-101.579;-9.161
2416.000;96.640;0.056;7.188;-0.192;0.042;13.955;-0.394;-0.069;25.927;-0.780;-0.363;41.805;-1.562;-0.533;46.174;1.490;-0.293;52.795;2.537;-7.152;56.927;3.130;6.618;56.885;2.544;-3.235;59.368;10.313;3.340;59.348;10.033;-1.765;36.574;-2.962;-15.834;34.649;-2.087;-20.786;21.703;-3.911;-26.258;7.394;-5.928;-22.095;7.326;6.168;-17.409;7.167;20.361;-17.950;5.651;21.391;-15.362;5.003;28.300;-14.036;5.887;30.250;-12.507;6.307;32.319;-11.467;6.998;33.431;-18.085;6.485;21.344;-16.761;7.107;28.635;-13.896;8.210;31.493;-12.076;9.024;33.649;-10.697;9.489;35.086;-17.300;7.675;20.849;-16.782;9.663;28.399;-14.100;10.451;31.356;-11.553;11.169;33.456;-10.061;11.607;34.963;-17.569;8.659;20.455;-16.682;11.909;27.485;-14.163;12.642;30.351;-11.985;12.959;32.157;-10.350;12.949;33.418;-16.608;9.688;21.952;-16.347;13.116;22.863;-14.995;14.612;24.632;-14.972;17.275;25.478;1.454;36.645;-2.731;15.587;34.432;-0.293;20.924;20.952;-1.148;26.822;6.053;-2.094;21.996;8.382;9.372;16.427;10.895;23.531;15.921;9.417;24.793;13.157;8.953;30.987;11.421;8.554;33.450;9.514;8.566;34.978;8.069;8.625;35.882;16.067;10.319;24.776;14.221;11.176;31.150;11.931;11.494;34.948;9.149;11.915;36.844;7.396;12.374;37.900;15.697;11.593;24.553;14.413;13.534;31.448;12.361;14.205;35.621;9.964;14.702;37.424;8.041;15.160;38.359;15.855;12.446;24.244;14.335;16.035;30.632;12.443;17.238;33.846;10.652;17.707;35.702;8.952;18.148;37.074;15.291;13.532;24.558;15.114;17.225;25.599;13.858;19.246;27.904;13.501;21.971;28.040;0.000;0.000;0.000;-7.645;-12.199;-1.161;-10.570;-32.880;-0.420;-14.005;-57.158;0.449;-14.480;-101.300;-8.407;7.565;-12.401;-1.186;9.446;-33.035;-0.384;11.654;-57.258;0.558;11.479;-101.580;-9.106
2417.000;96.680;0.052;7.189;-0.196;0.033;13.957;-0.399;-0.087;25.930;-0.781;-0.382;41.808;-1.576;-0.539;46.178;1.480;-0.288;52.796;2.541;-7.136;56.937;3.196;6.629;56.874;2.511;-3.163;59.350;10.358;3.410;59.320;10.031;-1.789;36.576;-2.967;-15.854;34.660;-2.027;-20.822;21.712;-3.807;-26.313;7.401;-5.774;-22.057;7.491;6.282;-17.260;7.521;20.427;-17.807;5.993;21.483;-15.184;5.507;28.387;-13.838;6.464;30.304;-12.393;7.007;32.391;-11.399;7.745;33.515;-17.948;6.825;21.421;-16.582;7.618;28.685;-13.725;8.748;31.503;-11.954;9.617;33.693;-10.652;10.164;35.172;-17.110;8.100;20.894;-16.666;10.147;28.415;-13.953;10.961;31.335;-11.436;11.735;33.424;-9.902;12.174;34.888;-17.402;9.042;20.495;-16.558;12.365;27.458;-13.986;13.079;30.283;-11.804;13.430;32.094;-10.160;13.417;33.343;-16.456;10.038;21.956;-16.228;13.497;22.822;-14.885;15.000;24.623;-14.821;17.688;25.384;1.430;36.646;-2.746;15.569;34.431;-0.345;21.014;20.966;-1.097;27.032;6.085;-1.928;22.094;8.532;9.465;16.359;11.181;23.550;15.790;9.759;24.773;12.776;9.222;30.839;10.950;8.949;33.229;9.072;9.017;34.786;7.667;9.090;35.752;15.993;10.650;24.796;13.900;11.405;31.088;11.452;11.755;34.767;8.700;12.225;36.660;6.946;12.688;37.713;15.624;11.884;24.581;14.164;13.722;31.454;11.969;14.312;35.560;9.539;14.803;37.346;7.659;15.308;38.339;15.823;12.737;24.297;14.178;16.156;30.722;12.141;17.198;33.930;10.356;17.536;35.814;8.639;17.924;37.181;15.258;13.845;24.590;15.137;17.513;25.739;13.778;19.483;28.065;13.361;22.193;28.295;0.000;0.000;0.000;-7.643;-12.203;-1.135;-10.566;-32.883;-0.380;-13.998;-57.159;0.506;-14.483;-101.302;-8.342;7.567;-12.399;-1.193;9.453;-33.032;-0.371;11.666;-57.254;0.593;11.476;-101.585;-9.040
2418.000;96.720;0.049;7.188;-0.201;0.025;13.956;-0.405;-0.108;25.929;-0.784;-0.397;41.806;-1.597;-0.539;46.180;1.463;-0.279;52.796;2.537;-7.120;56.940;3.244;6.641;56.869;2.487;-3.108;59.321;10.395;3.463;59.287;10.033;-1.814;36.572;-2.975;-15.874;34.665;-1.957;-20.892;21.727;-3.673;-26.437;7.426;-5.569;-22.047;7.739;6.421;-17.089;8.031;20.488;-17.620;6.507;21.578;-15.026;6.240;28.474;-13.707;7.297;30.358;-12.291;7.940;32.455;-11.355;8.744;33.583;-17.770;7.336;21.498;-16.429;8.272;28.740;-13.547;9.512;31.495;-11.907;10.440;33.729;-10.652;11.038;35.229;-16.988;8.614;20.931;-16.519;10.817;28.404;-13.784;11.680;31.280;-11.266;12.530;33.358;-9.783;12.983;34.870;-17.283;9.544;20.515;-16.450;13.008;27.411;-13.863;13.745;30.215;-11.686;14.152;32.029;-10.062;14.196;33.303;-16.314;10.567;21.953;-16.097;14.041;22.779;-14.785;15.574;24.572;-14.728;18.270;25.305;1.406;36.642;-2.769;15.549;34.425;-0.432;21.191;20.995;-0.945;27.427;6.152;-1.511;22.283;8.805;9.747;16.266;11.702;23.691;15.575;10.290;24.833;12.183;9.738;30.665;10.282;9.628;32.970;8.474;9.740;34.593;7.111;9.856;35.613;15.812;11.170;24.897;13.363;11.811;31.084;10.597;12.193;34.492;7.893;12.648;36.466;6.238;13.090;37.677;15.513;12.506;24.673;13.650;14.079;31.524;11.183;14.619;35.438;8.735;15.070;37.217;6.896;15.565;38.289;15.778;13.358;24.447;13.776;16.483;30.898;11.460;17.240;33.992;9.672;17.438;35.932;8.090;17.710;37.478;15.202;14.385;24.753;14.946;18.055;25.953;13.276;19.831;28.274;12.473;22.423;28.733;0.000;0.000;0.000;-7.643;-12.206;-1.101;-10.563;-32.886;-0.333;-13.991;-57.162;0.567;-14.485;-101.304;-8.275;7.567;-12.398;-1.203;9.462;-33.032;-0.359;11.686;-57.254;0.631;11.485;-101.594;-8.974
2419.000;96.760;0.047;7.188;-0.206;0.020;13.955;-0.412;-0.119;25.927;-0.790;-0.395;41.803;-1.622;-0.507;46.182;1.444;-0.212;52.792;2.536;-7.045;56.940;3.297;6.712;56.858;2.466;-2.993;59.286;10.437;3.577;59.247;10.040;-1.826;36.570;-2.985;-15.870;34.677;-1.850;-21.021;21.785;-3.477;-26.715;7.536;-5.275;-22.104;8.197;6.592;-16.881;8.897;20.514;-17.423;7.415;21.648;-14.889;7.423;28.544;-13.579;8.530;30.393;-12.219;9.261;32.494;-11.298;10.124;33.592;-17.565;8.243;21.543;-16.264;9.438;28.739;-13.360;10.703;31.451;-11.819;11.694;33.729;-10.654;12.337;35.282;-16.775;9.503;20.923;-16.365;11.930;28.335;-13.601;12.805;31.196;-11.107;13.724;33.270;-9.636;14.223;34.779;-17.088;10.435;20.479;-16.251;14.096;27.251;-13.634;14.858;30.052;-11.502;15.336;31.888;-9.965;15.357;33.267;-16.046;11.446;21.877;-15.867;14.939;22.628;-14.560;16.520;24.428;-14.498;19.207;25.190;1.396;36.636;-2.798;15.542;34.423;-0.555;21.496;21.050;-0.604;28.077;6.268;-0.659;22.640;9.321;10.380;16.084;12.620;24.025;15.271;11.186;25.006;11.255;10.521;30.347;9.160;10.538;32.461;7.378;10.663;34.093;6.065;10.766;35.178;15.526;12.054;25.136;12.353;12.475;31.035;9.129;12.750;33.957;6.581;12.978;36.110;5.036;13.239;37.504;15.297;13.472;24.965;12.599;14.739;31.616;9.627;14.999;35.152;7.319;15.305;37.040;5.598;15.681;38.333;15.613;14.326;24.826;12.789;17.043;31.190;10.158;17.426;34.084;8.442;17.356;36.131;7.060;17.328;37.879;14.959;15.284;25.074;14.411;18.871;26.582;12.198;20.291;28.836;10.399;22.242;29.563;0.000;0.000;0.000;-7.645;-12.208;-1.059;-10.558;-32.889;-0.277;-13.977;-57.166;0.642;-14.483;-101.312;-8.200;7.564;-12.398;-1.223;9.468;-33.032;-0.352;11.703;-57.254;0.671;11.479;-101.597;-8.899
2420.000;96.800;0.044;7.186;-0.212;0.017;13.951;-0.418;-0.119;25.921;-0.792;-0.397;41.796;-1.646;-0.474;46.180;1.431;-0.131;52.784;2.556;-6.954;56.939;3.369;6.798;56.840;2.464;-2.860;59.252;10.496;3.707;59.205;10.063;-1.839;36.561;-2.991;-15.852;34.695;-1.724;-21.340;21.912;-3.133;-27.405;7.784;-4.691;-22.325;9.003;6.904;-16.530;10.389;20.503;-17.275;9.121;21.702;-15.053;9.402;28.678;-13.663;10.526;30.476;-12.330;11.258;32.602;-11.433;12.117;33.722;-17.350;9.946;21.529;-16.141;11.524;28.624;-13.266;12.653;31.373;-11.776;13.672;33.683;-10.642;14.274;35.275;-16.352;11.047;20.850;-15.975;14.004;28.040;-13.265;14.751;30.949;-10.835;15.486;33.147;-9.383;15.947;34.686;-16.568;11.975;20.316;-15.537;16.043;26.795;-12.982;16.648;29.698;-11.020;17.012;31.697;-9.589;17.008;33.186;-15.366;12.920;21.734;-14.987;16.392;22.295;-13.729;17.961;24.121;-13.335;20.579;25.015;1.384;36.626;-2.827;15.526;34.454;-0.687;21.950;21.220;0.068;29.052;6.593;0.901;23.040;10.102;11.516;15.716;13.995;24.662;14.891;12.575;25.444;9.971;11.474;29.844;7.665;11.401;31.651;5.720;11.403;33.100;4.318;11.415;34.072;15.141;13.410;25.722;10.832;13.269;30.880;7.137;13.164;33.110;4.734;12.833;35.373;3.265;12.724;36.866;14.766;14.700;25.600;10.908;15.426;31.671;7.413;15.238;34.653;5.157;15.099;36.572;3.516;15.128;38.016;15.052;15.574;25.561;11.000;17.716;31.531;8.029;17.618;34.101;6.396;17.075;36.091;5.085;16.602;37.830;14.373;16.615;25.660;13.173;19.959;27.506;10.352;20.759;29.450;7.720;21.490;29.782;0.000;0.000;0.000;-7.647;-12.212;-1.008;-10.551;-32.895;-0.202;-13.962;-57.175;0.744;-14.480;-101.322;-8.092;7.562;-12.396;-1.250;9.480;-33.029;-0.347;11.731;-57.251;0.713;11.484;-101.605;-8.798
2421.000;96.840;0.042;7.185;-0.222;0.018;13.950;-0.436;-0.106;25.918;-0.819;-0.387;41.790;-1.723;-0.433;46.187;1.373;-0.039;52.784;2.553;-6.840;56.964;3.418;6.908;56.810;2.455;-2.707;59.219;10.540;3.858;59.146;10.080;-1.837;36.551;-3.043;-15.802;34.757;-1.671;-21.927;22.200;-2.564;-28.697;8.321;-3.551;-22.802;10.236;7.499;-16.004;12.461;20.445;-17.067;11.628;21.738;-15.458;12.793;28.747;-13.977;13.895;30.490;-12.749;14.735;32.604;-11.793;15.594;33.675;-16.906;12.394;21.415;-15.920;15.025;28.190;-13.099;16.028;31.048;-11.745;17.150;33.379;-10.772;17.856;35.033;-15.723;13.107;20.721;-15.093;17.261;27.202;-12.601;17.973;30.275;-10.420;18.624;32.737;-9.122;19.124;34.397;-15.655;13.906;20.009;-14.087;18.840;25.742;-11.701;19.426;28.793;-10.092;19.852;31.018;-8.922;19.889;32.719;-14.326;14.763;21.344;-13.257;18.172;21.536;-11.881;19.857;23.243;-10.961;22.299;24.243;1.387;36.616;-2.897;15.515;34.540;-0.765;22.573;21.636;1.195;30.374;7.375;3.361;23.450;11.166;13.316;14.973;15.405;25.659;13.981;13.999;26.150;8.061;12.913;29.091;5.529;12.666;30.462;3.441;12.498;31.656;1.961;12.396;32.498;14.192;14.781;26.574;8.632;14.524;30.402;4.798;14.108;32.146;2.443;13.377;34.350;1.020;12.985;35.841;13.860;16.022;26.427;8.576;16.573;31.454;4.771;16.010;33.843;2.553;15.372;35.688;0.962;15.094;37.160;14.149;16.893;26.510;8.741;18.814;31.565;5.417;18.393;33.564;3.562;17.622;35.285;2.139;16.886;36.835;13.503;18.088;26.540;11.905;21.262;28.458;8.626;21.767;29.612;5.960;21.674;28.936;0.000;0.000;0.000;-7.648;-12.216;-0.941;-10.544;-32.903;-0.107;-13.944;-57.187;0.873;-14.478;-101.330;-7.964;7.559;-12.395;-1.277;9.492;-33.026;-0.343;11.761;-57.244;0.754;11.475;-101.612;-8.672
