Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
785.000;31.400;0.046;7.214;-0.182;0.043;14.006;-0.301;-0.019;26.025;-0.448;-0.222;41.907;-1.198;-0.382;46.168;1.749;-0.166;52.650;2.677;-7.020;56.672;3.828;6.706;56.804;2.584;-2.780;58.747;10.942;3.775;58.810;10.348;-1.653;36.687;-2.610;-15.801;34.842;-1.861;-20.781;21.840;-3.567;-26.285;7.468;-5.453;-23.112;6.413;6.960;-19.495;4.909;21.512;-19.666;3.178;22.210;-16.268;0.903;28.559;-15.490;0.138;30.709;-14.625;-1.169;32.817;-14.158;-1.636;34.353;-19.847;3.992;22.354;-17.453;3.192;29.496;-15.014;3.845;32.737;-13.541;4.290;35.235;-12.422;4.536;36.929;-19.438;5.437;22.062;-17.821;5.823;29.966;-15.389;6.704;33.080;-13.002;7.411;35.389;-11.630;7.834;37.009;-19.860;6.397;21.968;-18.106;8.283;29.529;-15.440;9.233;32.232;-13.352;9.861;34.067;-11.720;10.078;35.312;-18.904;7.234;23.570;-18.918;10.434;25.231;-17.732;12.108;27.154;-18.925;14.404;28.208;1.565;36.739;-2.376;15.685;34.333;0.044;20.100;20.615;-1.475;24.980;5.453;-3.153;21.510;5.727;9.096;17.518;5.560;24.029;17.105;3.943;25.094;14.858;2.357;31.368;13.595;1.218;33.836;12.151;0.570;35.699;11.013;0.149;36.898;17.297;4.828;25.216;15.973;4.676;31.821;14.083;4.487;35.799;11.768;4.638;38.240;10.319;4.815;39.745;16.899;6.053;25.289;16.346;6.936;32.425;14.483;7.334;36.694;12.525;7.706;38.974;11.017;8.065;40.515;17.040;6.942;25.096;16.381;9.588;31.976;14.629;10.730;35.347;13.312;11.213;37.546;12.048;11.671;39.323;16.762;8.004;25.556;17.229;11.497;26.999;17.142;13.411;29.601;17.481;16.140;29.696;0.000;0.000;0.000;-7.606;-12.224;-1.151;-9.856;-33.064;-0.353;-12.497;-57.527;0.584;-11.316;-101.703;-7.252;7.605;-12.382;-1.122;9.126;-33.222;0.034;10.911;-57.686;1.391;9.867;-102.034;-7.560
786.000;31.440;0.045;7.210;-0.182;0.042;14.000;-0.305;-0.022;26.014;-0.462;-0.235;41.895;-1.208;-0.396;46.159;1.743;-0.183;52.648;2.675;-7.038;56.666;3.834;6.686;56.804;2.581;-2.795;58.738;10.946;3.759;58.805;10.348;-1.664;36.674;-2.620;-15.809;34.821;-1.867;-20.786;21.817;-3.582;-26.287;7.444;-5.478;-23.126;6.389;6.939;-19.522;4.885;21.495;-19.699;3.154;22.197;-16.324;0.882;28.547;-15.551;0.131;30.713;-14.667;-1.177;32.819;-14.208;-1.651;34.355;-19.882;3.968;22.340;-17.488;3.173;29.483;-15.051;3.838;32.717;-13.564;4.290;35.206;-12.435;4.507;36.898;-19.474;5.419;22.043;-17.882;5.793;29.953;-15.407;6.712;33.040;-13.048;7.379;35.367;-11.662;7.811;36.974;-19.898;6.377;21.950;-18.158;8.260;29.517;-15.513;9.214;32.217;-13.407;9.821;34.051;-11.760;10.043;35.276;-18.942;7.206;23.546;-18.970;10.411;25.219;-17.791;12.081;27.149;-18.978;14.383;28.197;1.555;36.728;-2.388;15.675;34.328;0.025;20.094;20.613;-1.501;24.978;5.453;-3.187;21.516;5.727;9.064;17.534;5.559;24.000;17.128;3.930;25.059;14.881;2.342;31.333;13.644;1.194;33.802;12.218;0.533;35.673;11.078;0.115;36.871;17.316;4.816;25.178;16.000;4.675;31.788;14.102;4.479;35.767;11.794;4.624;38.204;10.332;4.802;39.698;16.916;6.057;25.258;16.364;6.933;32.395;14.487;7.346;36.653;12.523;7.729;38.926;11.001;8.082;40.455;17.061;6.946;25.065;16.397;9.582;31.947;14.637;10.725;35.313;13.315;11.196;37.523;12.065;11.626;39.317;16.790;8.006;25.543;17.238;11.496;26.968;17.139;13.416;29.576;17.472;16.147;29.647;0.000;0.000;0.000;-7.606;-12.224;-1.148;-9.853;-33.063;-0.357;-12.491;-57.527;0.572;-11.312;-101.704;-7.278;7.604;-12.382;-1.131;9.125;-33.221;0.022;10.911;-57.685;1.374;9.859;-102.032;-7.580
787.000;31.480;0.044;7.208;-0.183;0.039;13.996;-0.310;-0.028;26.006;-0.476;-0.241;41.888;-1.218;-0.400;46.155;1.739;-0.182;52.647;2.678;-7.039;56.662;3.836;6.686;56.807;2.588;-2.799;58.734;10.951;3.756;58.803;10.355;-1.670;36.667;-2.631;-15.815;34.810;-1.874;-20.787;21.808;-3.598;-26.283;7.437;-5.504;-23.137;6.385;6.918;-19.552;4.887;21.479;-19.730;3.141;22.174;-16.342;0.864;28.519;-15.587;0.133;30.703;-14.713;-1.167;32.813;-14.249;-1.659;34.342;-19.905;3.957;22.314;-17.536;3.170;29.470;-15.060;3.820;32.678;-13.578;4.291;35.168;-12.445;4.522;36.855;-19.495;5.412;22.028;-17.939;5.802;29.937;-15.452;6.694;33.017;-13.091;7.387;35.344;-11.697;7.816;36.945;-19.914;6.365;21.932;-18.200;8.244;29.505;-15.570;9.192;32.215;-13.453;9.788;34.055;-11.828;9.994;35.312;-18.990;7.209;23.536;-19.015;10.415;25.203;-17.832;12.082;27.152;-19.028;14.396;28.164;1.549;36.721;-2.400;15.671;34.322;0.004;20.091;20.607;-1.529;24.976;5.448;-3.223;21.525;5.729;9.029;17.559;5.568;23.966;17.159;3.927;25.021;14.903;2.362;31.305;13.687;1.192;33.772;12.271;0.521;35.648;11.135;0.095;36.848;17.342;4.815;25.137;16.017;4.682;31.756;14.116;4.483;35.731;11.797;4.655;38.162;10.339;4.809;39.662;16.940;6.075;25.223;16.394;6.962;32.357;14.489;7.392;36.604;12.508;7.757;38.873;10.969;8.135;40.378;17.087;6.964;25.030;16.421;9.603;31.911;14.645;10.730;35.292;13.344;11.190;37.498;12.092;11.643;39.285;16.809;8.020;25.508;17.248;11.509;26.938;17.147;13.435;29.547;17.484;16.166;29.606;0.000;0.000;0.000;-7.606;-12.225;-1.144;-9.850;-33.063;-0.358;-12.485;-57.525;0.564;-11.307;-101.701;-7.298;7.605;-12.381;-1.134;9.128;-33.221;0.012;10.916;-57.684;1.356;9.865;-102.028;-7.603
788.000;31.520;0.044;7.206;-0.183;0.039;13.992;-0.313;-0.028;25.999;-0.489;-0.240;41.881;-1.226;-0.399;46.151;1.736;-0.182;52.649;2.679;-7.040;56.666;3.825;6.688;56.805;2.607;-2.814;58.728;10.951;3.742;58.795;10.370;-1.671;36.661;-2.640;-15.815;34.803;-1.882;-20.785;21.801;-3.611;-26.278;7.430;-5.522;-23.143;6.389;6.902;-19.569;4.900;21.466;-19.747;3.156;22.161;-16.362;0.892;28.519;-15.609;0.157;30.694;-14.735;-1.144;32.804;-14.280;-1.623;34.340;-19.923;3.971;22.301;-17.552;3.182;29.456;-15.044;3.829;32.645;-13.580;4.297;35.139;-12.453;4.533;36.829;-19.520;5.418;22.018;-17.966;5.817;29.922;-15.477;6.711;33.002;-13.121;7.403;35.325;-11.732;7.841;36.928;-19.937;6.375;21.921;-18.221;8.255;29.497;-15.590;9.195;32.213;-13.475;9.809;34.046;-11.858;10.007;35.314;-18.991;7.231;23.530;-19.037;10.430;25.188;-17.859;12.103;27.140;-19.067;14.402;28.171;1.549;36.715;-2.411;15.670;34.308;-0.014;20.085;20.594;-1.553;24.964;5.435;-3.254;21.526;5.740;9.002;17.575;5.604;23.945;17.171;3.970;25.003;14.938;2.408;31.298;13.736;1.238;33.770;12.335;0.556;35.651;11.215;0.120;36.863;17.357;4.858;25.121;16.051;4.727;31.739;14.142;4.528;35.712;11.823;4.699;38.145;10.370;4.870;39.648;16.960;6.120;25.197;16.427;7.009;32.339;14.527;7.431;36.591;12.529;7.798;38.846;10.994;8.174;40.356;17.109;7.008;25.004;16.453;9.646;31.888;14.734;10.750;35.299;13.429;11.223;37.506;12.182;11.642;39.305;16.827;8.049;25.478;17.264;11.550;26.912;17.143;13.475;29.509;17.478;16.205;29.589;0.000;0.000;0.000;-7.606;-12.225;-1.143;-9.852;-33.063;-0.363;-12.488;-57.524;0.553;-11.318;-101.693;-7.321;7.605;-12.381;-1.140;9.129;-33.219;0.003;10.917;-57.682;1.345;9.862;-102.024;-7.623
789.000;31.560;0.042;7.204;-0.183;0.037;13.987;-0.316;-0.032;25.990;-0.501;-0.245;41.872;-1.239;-0.403;46.146;1.728;-0.185;52.648;2.677;-7.044;56.667;3.806;6.687;56.801;2.631;-2.840;58.722;10.947;3.718;58.786;10.386;-1.676;36.652;-2.652;-15.817;34.797;-1.896;-20.780;21.791;-3.626;-26.266;7.417;-5.537;-23.148;6.389;6.894;-19.598;4.924;21.469;-19.778;3.191;22.166;-16.408;0.908;28.508;-15.616;0.197;30.690;-14.757;-1.080;32.819;-14.301;-1.536;34.362;-19.957;4.005;22.312;-17.555;3.170;29.451;-15.041;3.800;32.617;-13.571;4.261;35.122;-12.446;4.474;36.816;-19.551;5.449;22.021;-17.979;5.789;29.931;-15.457;6.682;33.001;-13.097;7.343;35.333;-11.708;7.766;36.940;-19.970;6.407;21.930;-18.214;8.256;29.509;-15.603;9.173;32.237;-13.483;9.752;34.083;-11.864;9.940;35.351;-18.976;7.241;23.538;-19.033;10.437;25.218;-17.855;12.099;27.156;-19.042;14.403;28.201;1.544;36.706;-2.423;15.665;34.294;-0.030;20.082;20.580;-1.566;24.964;5.422;-3.264;21.534;5.750;8.993;17.597;5.647;23.938;17.194;4.012;24.996;14.969;2.431;31.282;13.819;1.318;33.795;12.457;0.651;35.713;11.386;0.223;36.970;17.370;4.902;25.112;16.099;4.769;31.727;14.177;4.569;35.702;11.889;4.708;38.153;10.432;4.863;39.654;16.984;6.144;25.188;16.437;7.028;32.333;14.556;7.424;36.594;12.547;7.787;38.842;11.021;8.139;40.367;17.124;7.032;24.992;16.455;9.667;31.888;14.736;10.737;35.318;13.448;11.207;37.527;12.204;11.607;39.331;16.808;8.096;25.473;17.208;11.605;26.904;17.031;13.522;29.510;17.287;16.260;29.607;0.000;0.000;0.000;-7.604;-12.227;-1.140;-9.846;-33.062;-0.367;-12.478;-57.521;0.540;-11.305;-101.688;-7.354;7.607;-12.379;-1.144;9.134;-33.217;-0.006;10.927;-57.679;1.330;9.874;-102.018;-7.647
790.000;31.600;0.042;7.201;-0.184;0.036;13.982;-0.322;-0.033;25.979;-0.521;-0.244;41.861;-1.262;-0.400;46.139;1.712;-0.175;52.644;2.676;-7.035;56.663;3.801;6.699;56.796;2.651;-2.843;58.700;10.954;3.716;58.764;10.405;-1.675;36.641;-2.675;-15.820;34.803;-1.916;-20.768;21.796;-3.623;-26.237;7.421;-5.510;-23.153;6.392;6.930;-19.667;4.964;21.535;-19.890;3.222;22.197;-16.493;0.758;28.442;-15.694;0.220;30.664;-14.843;-0.891;32.884;-14.386;-1.242;34.454;-20.043;4.037;22.364;-17.573;2.991;29.445;-14.965;3.478;32.555;-13.468;3.841;35.065;-12.368;3.962;36.785;-19.640;5.419;22.119;-17.915;5.578;30.007;-15.352;6.266;33.078;-12.941;6.791;35.404;-11.549;7.095;37.035;-20.006;6.409;22.046;-18.093;8.048;29.655;-15.475;8.816;32.418;-13.336;9.259;34.299;-11.731;9.370;35.594;-18.996;7.200;23.679;-18.862;10.328;25.491;-17.647;11.878;27.501;-18.765;14.178;28.626;1.544;36.694;-2.446;15.660;34.272;-0.048;20.094;20.566;-1.565;24.995;5.417;-3.242;21.550;5.761;9.015;17.616;5.705;23.979;17.277;4.033;25.019;15.165;2.422;31.316;14.069;1.417;33.883;12.858;0.775;35.902;11.904;0.306;37.236;17.430;4.926;25.135;16.218;4.744;31.755;14.278;4.603;35.713;12.104;4.679;38.258;10.692;4.823;39.802;16.989;6.161;25.248;16.520;6.979;32.391;14.661;7.229;36.670;12.688;7.443;38.980;11.197;7.714;40.554;17.101;7.055;25.056;16.387;9.604;31.984;14.659;10.442;35.473;13.393;10.778;37.721;12.208;11.063;39.587;16.682;8.121;25.526;16.917;11.621;27.062;16.465;13.396;29.750;16.391;16.115;30.167;0.000;0.000;0.000;-7.604;-12.226;-1.141;-9.843;-33.062;-0.375;-12.471;-57.521;0.524;-11.297;-101.691;-7.369;7.606;-12.379;-1.148;9.138;-33.216;-0.017;10.936;-57.676;1.310;9.891;-102.017;-7.668
791.000;31.640;0.043;7.202;-0.193;0.037;13.983;-0.343;-0.032;25.982;-0.568;-0.235;41.865;-1.293;-0.390;46.138;1.706;-0.161;52.632;2.733;-7.016;56.658;3.865;6.716;56.776;2.696;-2.811;58.696;11.012;3.747;58.752;10.453;-1.668;36.647;-2.711;-15.816;34.885;-1.928;-20.766;21.879;-3.408;-26.237;7.504;-5.044;-23.026;6.451;7.382;-19.469;5.174;22.051;-20.114;3.553;22.642;-17.245;0.348;28.750;-16.356;-0.065;30.971;-15.617;-0.942;33.314;-15.140;-1.128;34.906;-20.138;4.373;22.847;-17.877;2.523;29.843;-15.182;2.304;32.869;-13.710;2.157;35.413;-12.684;1.979;37.173;-19.484;5.537;22.686;-17.680;5.075;30.549;-15.091;4.882;33.660;-12.798;4.621;36.105;-11.426;4.491;37.776;-19.603;6.608;22.650;-17.294;7.486;30.345;-14.768;7.333;33.288;-12.807;7.126;35.351;-11.328;6.742;36.740;-18.206;7.073;24.283;-17.368;9.859;26.520;-15.779;10.716;28.770;-16.142;12.938;30.425;1.551;36.698;-2.481;15.662;34.267;-0.054;20.166;20.588;-1.400;25.146;5.469;-2.888;21.409;5.774;9.308;17.226;5.830;24.275;17.332;4.134;25.297;15.954;2.210;31.639;15.213;1.237;34.320;14.349;0.502;36.486;13.711;-0.026;37.978;17.326;5.044;25.412;16.543;4.593;32.058;14.824;4.153;36.072;13.141;3.769;38.938;12.089;3.681;40.750;16.584;6.153;25.608;16.471;6.843;32.739;15.018;6.565;37.152;13.366;6.300;39.701;12.134;6.213;41.504;16.506;7.052;25.424;15.713;9.249;32.462;14.259;9.376;36.150;13.307;9.222;38.593;12.452;9.111;40.648;15.845;7.968;25.921;15.182;11.298;27.806;14.282;12.314;30.912;12.896;14.288;32.235;0.000;0.000;0.000;-7.607;-12.226;-1.130;-9.843;-33.060;-0.365;-12.467;-57.518;0.532;-11.289;-101.692;-7.362;7.604;-12.382;-1.135;9.138;-33.215;-0.006;10.938;-57.672;1.319;9.904;-102.016;-7.658
792.000;31.680;0.046;7.218;-0.212;0.042;14.014;-0.377;-0.024;26.039;-0.627;-0.203;41.923;-1.340;-0.370;46.178;1.704;-0.171;52.620;2.869;-7.021;56.640;4.048;6.701;56.773;2.768;-2.762;58.698;11.156;3.791;58.761;10.545;-1.641;36.708;-2.765;-15.789;35.067;-1.897;-20.834;22.034;-2.652;-26.411;7.630;-3.486;-22.711;6.580;8.817;-18.508;5.405;23.367;-19.906;4.342;23.913;-19.005;0.121;29.867;-18.221;-0.586;32.092;-17.866;-1.508;34.500;-17.474;-1.830;36.094;-19.497;5.053;24.120;-18.330;2.126;31.014;-16.451;0.401;34.171;-15.828;-0.348;36.915;-15.433;-0.941;38.832;-18.453;5.691;24.056;-16.788;4.009;31.835;-15.031;2.375;35.081;-13.766;0.987;37.884;-13.049;0.210;39.774;-17.893;6.649;24.008;-15.253;5.754;31.731;-13.750;4.243;34.986;-12.844;3.155;37.436;-12.381;2.155;39.182;-16.317;6.221;25.545;-13.724;7.521;28.053;-11.837;6.674;30.221;-10.516;7.996;32.298;1.578;36.755;-2.528;15.666;34.351;0.029;20.406;20.702;-0.731;25.645;5.615;-1.572;21.211;5.850;10.435;16.151;5.880;25.234;17.006;4.530;26.185;17.174;2.205;32.450;17.193;1.228;35.192;17.077;0.423;37.469;16.953;-0.165;39.066;16.649;5.356;26.346;16.648;4.503;32.942;15.943;3.344;37.046;15.679;2.600;40.287;15.486;2.308;42.355;15.554;6.072;26.581;15.614;6.413;33.762;15.059;5.450;38.217;14.541;4.657;41.072;14.128;4.227;43.175;15.102;6.857;26.430;13.887;8.201;33.724;13.261;7.460;37.561;13.212;6.967;40.139;13.185;6.598;42.337;13.985;7.247;27.116;11.838;9.463;29.567;10.901;8.962;32.879;8.983;8.306;34.740;0.000;0.000;0.000;-7.609;-12.226;-1.108;-9.846;-33.058;-0.311;-12.472;-57.512;0.625;-11.269;-101.684;-7.259;7.601;-12.388;-1.089;9.135;-33.214;0.073;10.936;-57.663;1.436;9.917;-102.013;-7.553
793.000;31.720;0.047;7.222;-0.231;0.042;14.023;-0.391;-0.024;26.057;-0.603;-0.156;41.941;-1.331;-0.320;46.196;1.765;-0.138;52.602;3.074;-6.991;56.586;4.357;6.717;56.781;2.935;-2.665;58.603;11.436;3.881;58.697;10.757;-1.610;36.729;-2.750;-15.738;35.222;-1.726;-20.920;22.126;-1.186;-26.647;7.650;-0.589;-22.067;6.253;11.362;-16.742;4.773;25.506;-18.491;4.595;26.071;-19.798;0.355;31.865;-19.518;-0.549;34.069;-19.726;-1.347;36.564;-19.516;-1.626;38.199;-17.726;4.911;26.255;-18.085;1.408;32.970;-17.753;-0.523;36.479;-17.844;-0.817;39.402;-17.997;-1.031;41.430;-16.679;5.055;26.314;-15.646;1.830;33.795;-15.394;0.003;37.356;-15.457;-1.045;40.567;-15.485;-1.537;42.676;-15.544;5.402;26.165;-13.553;2.307;33.630;-13.490;0.739;37.158;-13.718;0.037;39.896;-14.130;-0.449;41.860;-14.319;3.942;27.506;-11.559;2.291;29.758;-10.791;-0.205;31.287;-9.037;-0.909;33.345;1.609;36.766;-2.515;15.670;34.356;0.181;20.719;20.714;0.573;26.299;5.636;1.005;20.823;5.612;12.595;14.473;5.381;26.924;15.853;4.596;27.768;17.322;2.359;33.768;17.921;1.674;36.509;18.341;1.142;38.818;18.635;0.740;40.449;15.163;5.151;27.989;15.774;3.874;34.480;16.190;2.526;38.455;17.004;2.465;41.650;17.460;2.500;43.697;14.115;5.195;28.304;13.988;4.884;35.448;14.543;3.921;39.798;15.176;3.545;42.724;15.656;3.525;44.856;13.290;5.592;28.201;11.699;5.597;35.659;12.208;4.740;39.441;13.049;4.554;41.930;13.718;4.515;44.055;11.924;5.395;28.909;9.163;5.155;31.754;9.273;3.309;34.758;8.838;0.971;36.143;0.000;0.000;0.000;-7.609;-12.230;-1.066;-9.849;-33.060;-0.204;-12.479;-57.513;0.808;-11.258;-101.695;-7.010;7.601;-12.392;-1.034;9.131;-33.215;0.192;10.927;-57.659;1.632;9.926;-102.019;-7.309
