Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1957.000;78.280;0.019;7.279;-0.138;-0.042;14.132;-0.224;-0.248;26.257;-0.320;-0.629;42.140;-0.950;-0.663;46.384;2.122;-0.329;52.824;3.315;-7.376;56.585;4.131;6.386;57.209;3.708;-3.637;58.656;11.522;2.935;58.954;11.320;-2.069;36.916;-2.338;-16.069;35.088;-0.965;-21.049;22.180;-2.623;-26.554;7.913;-4.455;-22.566;5.796;7.657;-18.130;3.316;21.994;-19.395;2.012;22.611;-16.814;-2.902;27.534;-15.582;-4.526;28.916;-13.764;-6.321;29.532;-12.349;-7.143;29.878;-18.935;2.705;22.769;-16.220;-0.712;29.025;-13.393;-3.278;30.673;-10.749;-4.693;30.387;-9.001;-5.638;29.905;-17.802;3.632;22.668;-14.515;1.180;29.579;-11.853;-1.291;31.561;-9.129;-3.204;31.391;-7.421;-4.480;31.012;-17.408;4.638;22.695;-13.086;3.132;29.295;-10.453;1.088;31.154;-8.341;-0.587;31.854;-6.933;-2.083;32.051;-15.738;3.868;23.569;-12.903;4.943;26.002;-10.915;4.943;27.636;-9.500;7.125;28.657;1.156;36.997;-2.238;15.358;34.586;-0.359;20.902;21.095;-1.909;27.029;6.184;-3.623;22.974;4.938;8.522;18.222;2.976;23.359;18.079;1.101;23.952;15.866;-2.078;29.466;14.193;-3.730;31.398;12.013;-4.362;32.353;10.395;-4.680;32.790;18.042;1.968;24.241;16.471;0.127;30.590;13.239;-1.409;33.242;9.974;-1.819;33.805;7.878;-1.839;33.890;17.451;3.098;24.663;16.132;2.340;31.618;13.149;0.909;34.916;10.214;0.432;35.634;8.030;0.395;35.712;17.424;4.019;24.670;15.505;4.787;31.655;12.841;4.156;34.329;10.478;3.387;35.112;8.338;2.832;35.393;16.711;4.868;25.193;15.765;7.717;27.627;14.326;8.312;30.500;13.258;10.490;31.799;0.000;0.000;0.000;-7.654;-12.221;-0.827;-9.990;-32.881;0.027;-12.732;-57.134;1.030;-12.414;-101.429;-7.356;7.536;-12.369;-1.620;9.645;-32.999;-0.784;12.121;-57.217;0.198;11.850;-101.613;-9.044
1958.000;78.320;0.019;7.280;-0.138;-0.039;14.133;-0.223;-0.238;26.259;-0.318;-0.615;42.142;-0.952;-0.650;46.384;2.117;-0.319;52.822;3.305;-7.369;56.582;4.108;6.394;57.210;3.700;-3.639;58.664;11.501;2.933;58.964;11.306;-2.057;36.918;-2.338;-16.059;35.092;-0.970;-21.052;22.188;-2.632;-26.571;7.926;-4.469;-22.583;5.823;7.642;-18.157;3.353;21.976;-19.411;2.041;22.594;-16.820;-2.894;27.477;-15.556;-4.516;28.859;-13.752;-6.325;29.461;-12.341;-7.154;29.806;-18.949;2.733;22.750;-16.190;-0.693;28.988;-13.367;-3.284;30.610;-10.715;-4.698;30.316;-8.968;-5.648;29.837;-17.841;3.681;22.651;-14.485;1.198;29.539;-11.815;-1.296;31.498;-9.097;-3.209;31.343;-7.383;-4.478;30.961;-17.444;4.677;22.679;-13.068;3.134;29.263;-10.449;1.103;31.147;-8.337;-0.542;31.870;-6.921;-2.029;32.089;-15.735;3.888;23.520;-12.900;4.996;25.972;-10.894;5.009;27.585;-9.522;7.226;28.589;1.168;36.998;-2.238;15.368;34.589;-0.359;20.915;21.097;-1.905;27.047;6.186;-3.614;22.982;4.938;8.529;18.217;2.973;23.361;18.069;1.077;23.943;15.855;-2.086;29.460;14.182;-3.735;31.397;11.996;-4.370;32.349;10.381;-4.694;32.794;18.023;1.945;24.227;16.467;0.129;30.596;13.235;-1.431;33.245;9.962;-1.826;33.801;7.866;-1.856;33.892;17.436;3.107;24.665;16.127;2.321;31.611;13.141;0.902;34.918;10.200;0.421;35.629;8.015;0.385;35.701;17.414;4.027;24.673;15.497;4.755;31.652;12.837;4.153;34.333;10.465;3.382;35.109;8.321;2.844;35.395;16.712;4.866;25.183;15.755;7.716;27.629;14.298;8.295;30.519;13.241;10.496;31.788;0.000;0.000;0.000;-7.651;-12.222;-0.826;-9.987;-32.886;0.033;-12.729;-57.142;1.042;-12.411;-101.436;-7.323;7.539;-12.368;-1.619;9.650;-32.998;-0.778;12.129;-57.217;0.209;11.863;-101.615;-9.024
1959.000;78.360;0.020;7.281;-0.138;-0.035;14.135;-0.223;-0.226;26.262;-0.316;-0.600;42.145;-0.955;-0.635;46.386;2.111;-0.306;52.820;3.295;-7.357;56.580;4.088;6.406;57.210;3.698;-3.637;58.664;11.486;2.935;58.965;11.299;-2.042;36.921;-2.340;-16.043;35.100;-0.977;-21.044;22.200;-2.639;-26.573;7.942;-4.476;-22.587;5.852;7.631;-18.162;3.404;21.965;-19.428;2.094;22.589;-16.800;-2.875;27.434;-15.553;-4.503;28.805;-13.758;-6.319;29.408;-12.345;-7.152;29.731;-18.966;2.785;22.746;-16.172;-0.694;28.939;-13.333;-3.282;30.538;-10.711;-4.716;30.246;-8.968;-5.653;29.728;-17.819;3.740;22.627;-14.452;1.216;29.504;-11.802;-1.315;31.458;-9.080;-3.223;31.299;-7.373;-4.497;30.908;-17.432;4.735;22.662;-13.056;3.151;29.236;-10.484;1.132;31.195;-8.372;-0.477;32.023;-6.964;-1.968;32.263;-15.736;3.946;23.514;-12.876;5.030;25.929;-10.862;5.032;27.537;-9.460;7.247;28.505;1.183;37.001;-2.239;15.382;34.587;-0.350;20.928;21.094;-1.891;27.057;6.181;-3.595;22.982;4.933;8.544;18.206;2.970;23.372;18.055;1.090;23.962;15.828;-2.082;29.473;14.151;-3.741;31.397;11.979;-4.373;32.349;10.357;-4.685;32.775;18.013;1.956;24.251;16.433;0.125;30.597;13.207;-1.427;33.249;9.927;-1.834;33.788;7.833;-1.879;33.886;17.428;3.081;24.677;16.090;2.329;31.622;13.106;0.897;34.917;10.169;0.429;35.629;7.985;0.387;35.695;17.399;4.001;24.683;15.478;4.765;31.661;12.785;4.151;34.323;10.441;3.385;35.113;8.299;2.824;35.370;16.707;4.859;25.202;15.741;7.714;27.631;14.313;8.306;30.502;13.238;10.472;31.815;0.000;0.000;0.000;-7.654;-12.221;-0.826;-9.989;-32.885;0.036;-12.731;-57.143;1.048;-12.411;-101.438;-7.317;7.536;-12.369;-1.619;9.649;-33.000;-0.777;12.129;-57.218;0.211;11.865;-101.617;-9.020
1960.000;78.400;0.022;7.281;-0.138;-0.031;14.136;-0.223;-0.218;26.265;-0.314;-0.585;42.148;-0.958;-0.621;46.388;2.105;-0.295;52.821;3.286;-7.347;56.579;4.078;6.416;57.211;3.694;-3.630;58.659;11.478;2.942;58.961;11.295;-2.029;36.924;-2.342;-16.033;35.107;-0.982;-21.040;22.210;-2.640;-26.573;7.955;-4.473;-22.585;5.887;7.633;-18.157;3.467;21.967;-19.412;2.158;22.590;-16.799;-2.828;27.418;-15.545;-4.466;28.777;-13.757;-6.294;29.382;-12.358;-7.149;29.711;-18.947;2.847;22.747;-16.158;-0.656;28.925;-13.312;-3.258;30.504;-10.704;-4.721;30.210;-8.961;-5.664;29.703;-17.789;3.809;22.619;-14.432;1.250;29.503;-11.769;-1.295;31.426;-9.071;-3.218;31.282;-7.368;-4.497;30.887;-17.407;4.807;22.664;-13.029;3.176;29.228;-10.460;1.167;31.202;-8.372;-0.459;32.048;-6.965;-1.952;32.287;-15.719;4.004;23.527;-12.843;5.074;25.916;-10.802;5.062;27.514;-9.414;7.289;28.473;1.196;37.002;-2.240;15.394;34.583;-0.349;20.934;21.090;-1.887;27.057;6.176;-3.587;22.980;4.934;8.553;18.203;2.977;23.382;18.051;1.083;23.964;15.811;-2.078;29.483;14.141;-3.735;31.402;11.972;-4.367;32.358;10.349;-4.666;32.790;18.008;1.950;24.248;16.430;0.123;30.605;13.193;-1.411;33.258;9.927;-1.812;33.812;7.831;-1.847;33.888;17.411;3.097;24.686;16.079;2.357;31.633;13.097;0.917;34.927;10.162;0.442;35.641;7.978;0.406;35.696;17.386;4.018;24.692;15.467;4.768;31.669;12.785;4.165;34.338;10.420;3.395;35.108;8.280;2.841;35.391;16.699;4.866;25.224;15.732;7.734;27.621;14.296;8.314;30.543;13.201;10.513;31.783;0.000;0.000;0.000;-7.655;-12.220;-0.827;-9.993;-32.886;0.038;-12.737;-57.147;1.052;-12.422;-101.438;-7.306;7.535;-12.370;-1.618;9.648;-32.999;-0.775;12.128;-57.216;0.214;11.866;-101.617;-9.016
1961.000;78.440;0.022;7.282;-0.138;-0.030;14.137;-0.222;-0.215;26.266;-0.313;-0.585;42.149;-0.957;-0.621;46.390;2.106;-0.290;52.824;3.283;-7.340;56.586;4.078;6.423;57.211;3.689;-3.619;58.665;11.476;2.953;58.964;11.290;-2.027;36.925;-2.341;-16.027;35.106;-0.993;-21.030;22.206;-2.653;-26.561;7.948;-4.488;-22.573;5.905;7.616;-18.146;3.514;21.949;-19.399;2.212;22.581;-16.771;-2.801;27.384;-15.519;-4.440;28.740;-13.737;-6.269;29.333;-12.330;-7.114;29.653;-18.934;2.901;22.738;-16.103;-0.615;28.894;-13.273;-3.246;30.457;-10.650;-4.680;30.169;-8.920;-5.645;29.662;-17.784;3.865;22.602;-14.380;1.250;29.458;-11.722;-1.257;31.396;-9.035;-3.198;31.256;-7.330;-4.471;30.850;-17.395;4.869;22.647;-12.973;3.208;29.192;-10.410;1.208;31.175;-8.318;-0.401;32.015;-6.952;-1.930;32.255;-15.708;4.056;23.505;-12.829;5.133;25.891;-10.798;5.130;27.462;-9.373;7.336;28.418;1.198;37.004;-2.238;15.396;34.588;-0.341;20.939;21.093;-1.872;27.066;6.178;-3.564;22.979;4.944;8.571;18.188;2.997;23.396;18.036;1.116;23.985;15.790;-2.037;29.509;14.118;-3.698;31.424;11.943;-4.332;32.380;10.324;-4.650;32.813;17.994;1.983;24.270;16.401;0.171;30.625;13.185;-1.380;33.289;9.901;-1.770;33.831;7.806;-1.813;33.934;17.407;3.138;24.694;16.050;2.380;31.646;13.073;0.959;34.941;10.133;0.474;35.653;7.948;0.438;35.720;17.387;4.059;24.702;15.438;4.807;31.679;12.769;4.216;34.354;10.391;3.437;35.120;8.256;2.868;35.415;16.692;4.896;25.231;15.702;7.752;27.642;14.283;8.345;30.539;13.174;10.527;31.796;0.000;0.000;0.000;-7.656;-12.219;-0.830;-9.997;-32.885;0.039;-12.746;-57.145;1.059;-12.433;-101.427;-7.287;7.534;-12.371;-1.614;9.645;-33.000;-0.769;12.123;-57.217;0.223;11.861;-101.616;-9.004
1962.000;78.480;0.024;7.281;-0.139;-0.027;14.136;-0.223;-0.209;26.265;-0.314;-0.571;42.149;-0.957;-0.607;46.389;2.105;-0.273;52.824;3.282;-7.320;56.590;4.077;6.443;57.206;3.685;-3.597;58.668;11.474;2.976;58.963;11.287;-2.015;36.925;-2.342;-16.018;35.112;-1.004;-21.026;22.216;-2.666;-26.561;7.963;-4.502;-22.571;5.942;7.605;-18.146;3.576;21.941;-19.406;2.263;22.568;-16.757;-2.728;27.377;-15.503;-4.380;28.721;-13.717;-6.206;29.326;-12.315;-7.060;29.642;-18.937;2.950;22.720;-16.100;-0.551;28.892;-13.250;-3.180;30.434;-10.644;-4.628;30.146;-8.906;-5.575;29.632;-17.792;3.914;22.600;-14.376;1.332;29.452;-11.715;-1.193;31.385;-9.022;-3.140;31.242;-7.316;-4.412;30.838;-17.401;4.913;22.640;-12.976;3.277;29.185;-10.417;1.251;31.165;-8.315;-0.334;32.012;-6.918;-1.832;32.269;-15.704;4.113;23.489;-12.807;5.193;25.870;-10.769;5.180;27.447;-9.357;7.398;28.392;1.210;37.002;-2.237;15.406;34.580;-0.333;20.942;21.083;-1.856;27.062;6.164;-3.540;22.964;4.943;8.594;18.160;3.011;23.417;18.003;1.119;24.000;15.753;-2.015;29.529;14.080;-3.668;31.451;11.910;-4.303;32.406;10.290;-4.612;32.840;17.960;1.987;24.282;16.363;0.199;30.643;13.142;-1.339;33.308;9.869;-1.719;33.857;7.775;-1.782;33.955;17.377;3.137;24.716;16.014;2.411;31.665;13.031;0.985;34.956;10.097;0.515;35.663;7.913;0.479;35.722;17.353;4.057;24.721;15.414;4.822;31.692;12.720;4.233;34.354;10.355;3.464;35.128;8.218;2.904;35.425;16.673;4.909;25.245;15.671;7.769;27.652;14.222;8.367;30.507;13.134;10.533;31.810;0.000;0.000;0.000;-7.657;-12.218;-0.831;-9.999;-32.885;0.040;-12.749;-57.146;1.062;-12.437;-101.440;-7.262;7.534;-12.372;-1.608;9.643;-33.000;-0.757;12.118;-57.215;0.243;11.858;-101.618;-8.973
1963.000;78.520;0.025;7.281;-0.140;-0.025;14.136;-0.225;-0.204;26.265;-0.317;-0.557;42.149;-0.958;-0.590;46.391;2.107;-0.248;52.826;3.290;-7.288;56.602;4.098;6.476;57.199;3.682;-3.548;58.675;11.489;3.024;58.960;11.290;-2.004;36.926;-2.345;-16.009;35.119;-1.011;-21.015;22.224;-2.672;-26.548;7.971;-4.508;-22.559;5.972;7.597;-18.135;3.634;21.931;-19.390;2.338;22.572;-16.749;-2.672;27.377;-15.498;-4.326;28.713;-13.725;-6.168;29.299;-12.316;-7.008;29.622;-18.921;3.025;22.727;-16.074;-0.494;28.875;-13.255;-3.126;30.442;-10.631;-4.578;30.130;-8.901;-5.546;29.628;-17.799;3.957;22.597;-14.354;1.363;29.437;-11.699;-1.161;31.373;-9.002;-3.104;31.225;-7.299;-4.389;30.855;-17.394;4.950;22.628;-12.959;3.326;29.178;-10.421;1.314;31.196;-8.321;-0.288;32.068;-6.941;-1.794;32.370;-15.697;4.178;23.488;-12.753;5.182;25.836;-10.740;5.199;27.412;-9.275;7.380;28.363;1.222;37.002;-2.239;15.415;34.569;-0.331;20.942;21.066;-1.850;27.051;6.141;-3.530;22.949;4.928;8.604;18.142;3.004;23.424;17.980;1.117;24.009;15.736;-2.005;29.548;14.072;-3.664;31.468;11.910;-4.299;32.440;10.290;-4.606;32.880;17.937;1.985;24.292;16.357;0.208;30.660;13.144;-1.342;33.347;9.866;-1.731;33.885;7.772;-1.787;33.986;17.356;3.148;24.725;16.000;2.404;31.675;13.020;0.980;34.963;10.081;0.513;35.675;7.897;0.484;35.729;17.336;4.069;24.731;15.404;4.820;31.700;12.717;4.234;34.374;10.342;3.458;35.140;8.205;2.900;35.438;16.632;4.903;25.259;15.626;7.767;27.659;14.163;8.358;30.525;13.009;10.530;31.759;0.000;0.000;0.000;-7.658;-12.218;-0.829;-10.002;-32.883;0.051;-12.755;-57.142;1.085;-12.441;-101.439;-7.225;7.533;-12.374;-1.602;9.639;-33.000;-0.744;12.112;-57.214;0.263;11.851;-101.619;-8.940
1964.000;78.560;0.026;7.279;-0.142;-0.021;14.133;-0.231;-0.195;26.258;-0.329;-0.544;42.142;-0.967;-0.575;46.387;2.105;-0.226;52.827;3.295;-7.258;56.613;4.126;6.504;57.190;3.666;-3.493;58.679;11.505;3.079;58.955;11.286;-1.992;36.920;-2.355;-15.996;35.116;-1.019;-20.999;22.218;-2.677;-26.530;7.962;-4.510;-22.535;5.977;7.594;-18.104;3.655;21.927;-19.361;2.336;22.555;-16.708;-2.657;27.365;-15.452;-4.295;28.715;-13.671;-6.137;29.297;-12.267;-6.986;29.619;-18.891;3.024;22.704;-16.022;-0.474;28.856;-13.210;-3.093;30.429;-10.598;-4.555;30.163;-8.866;-5.518;29.658;-17.756;3.991;22.586;-14.297;1.411;29.430;-11.657;-1.128;31.385;-8.955;-3.059;31.244;-7.257;-4.348;30.863;-17.354;4.990;22.621;-12.947;3.336;29.185;-10.476;1.367;31.309;-8.394;-0.211;32.257;-7.014;-1.704;32.619;-15.672;4.211;23.501;-12.700;5.188;25.815;-10.670;5.185;27.366;-9.195;7.362;28.311;1.233;36.995;-2.248;15.427;34.554;-0.343;20.947;21.052;-1.868;27.047;6.128;-3.555;22.957;4.920;8.581;18.167;3.006;23.403;18.014;1.128;23.992;15.760;-1.994;29.536;14.104;-3.643;31.476;11.961;-4.279;32.475;10.344;-4.593;32.921;17.975;1.996;24.278;16.384;0.176;30.633;13.187;-1.342;33.345;9.915;-1.744;33.900;7.822;-1.796;34.013;17.381;3.130;24.710;16.047;2.373;31.653;13.044;0.986;34.946;10.110;0.518;35.659;7.926;0.481;35.732;17.358;4.050;24.714;15.430;4.821;31.679;12.721;4.228;34.343;10.375;3.477;35.174;8.245;2.908;35.502;16.636;4.901;25.231;15.635;7.756;27.646;14.153;8.348;30.519;13.015;10.538;31.737;0.000;0.000;0.000;-7.659;-12.217;-0.827;-10.004;-32.883;0.048;-12.756;-57.143;1.075;-12.447;-101.437;-7.244;7.532;-12.374;-1.603;9.637;-33.002;-0.745;12.108;-57.218;0.263;11.842;-101.623;-8.939
1965.000;78.600;0.026;7.278;-0.145;-0.019;14.129;-0.238;-0.188;26.252;-0.350;-0.532;42.136;-0.989;-0.560;46.384;2.085;-0.206;52.825;3.279;-7.232;56.615;4.147;6.528;57.185;3.615;-3.426;58.679;11.507;3.145;58.951;11.252;-1.981;36.914;-2.376;-15.987;35.113;-1.036;-20.985;22.215;-2.700;-26.510;7.959;-4.540;-22.530;5.980;7.563;-18.118;3.665;21.884;-19.377;2.329;22.500;-16.656;-2.617;27.346;-15.387;-4.248;28.717;-13.635;-6.091;29.329;-12.231;-6.937;29.662;-18.919;3.024;22.651;-16.007;-0.412;28.808;-13.360;-2.919;30.805;-10.766;-4.419;30.873;-9.006;-5.433;30.635;-17.852;3.976;22.568;-14.311;1.423;29.410;-11.719;-1.033;31.513;-8.992;-2.949;31.440;-7.269;-4.229;31.150;-17.425;4.999;22.593;-13.064;3.388;29.225;-10.854;1.641;31.771;-8.917;0.157;33.112;-7.635;-1.304;33.807;-15.693;4.230;23.471;-12.680;5.168;25.786;-10.590;5.121;27.271;-9.103;7.276;28.246;1.244;36.989;-2.270;15.435;34.541;-0.362;20.943;21.032;-1.895;27.031;6.101;-3.589;22.949;4.918;8.553;18.170;3.037;23.384;18.018;1.154;23.968;15.742;-1.964;29.504;14.101;-3.509;31.528;11.984;-4.135;32.580;10.382;-4.474;33.057;17.985;2.022;24.253;16.384;0.220;30.612;13.209;-1.347;33.326;9.934;-1.765;33.887;7.840;-1.823;34.003;17.380;3.198;24.694;16.059;2.410;31.631;13.059;1.017;34.933;10.133;0.546;35.680;7.948;0.521;35.735;17.372;4.119;24.699;15.408;4.865;31.643;12.659;4.239;34.289;10.389;3.465;35.405;8.403;2.858;36.214;16.656;4.926;25.219;15.622;7.772;27.637;14.113;8.366;30.528;12.930;10.578;31.659;0.000;0.000;0.000;-7.658;-12.218;-0.824;-10.004;-32.882;0.063;-12.759;-57.138;1.105;-12.449;-101.425;-7.211;7.533;-12.374;-1.601;9.637;-33.000;-0.738;12.108;-57.213;0.274;11.838;-101.617;-8.915
